༄༅། །རྒྱ་གར་སྐད་དུ། དྷརྨ་ས་མུ་དྲ་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
ཐེག་པ་ཆེན་པོའི་མདོ་ཆོས་རྒྱ་མཚོ་ཞེས་བྱ་བ། འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| The Mahāyāna Sūtra The Ocean of Dharma Thus did I hear at one time.
གང་དོན་དམ་པ་དེ་ནི་ཆོས་ཀྱི་དབྱིངས། ||| What is the ultimate is the realm of phenomena.
གང་ཆོས་ཀྱི་དབྱིངས་དེ་ནི་གཉིས་སུ་མེད་པའི་མཐའ། ||| What is the realm of phenomena is the extent of nonduality.
གང་གཉིས་སུ་མེད་པའི་མཐའ་དེ་ནི་དབུ་མར་སྒྲུབ་པ། ||| What is the extent of nonduality is the achievement of the middle way.
གང་དབུ་མར་སྒྲུབ་པ་དེ་ནི་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་ཆོས་ཀྱི་སྐུ་རྟག་པ། བརྟན་པ། མི་འགྱུར་བ་སྟེ། རྟག་པ་ཡང་མ་ཡིན། མི་རྟག་པ་ཡང་མ་ཡིན་ཏེ། དེ་ནི་གདགས་པ་ཡང་མ་ཡིན། མི་གདགས་པ་ཡང་མ་ཡིན། ||| What is the achievement of the middle way is the completely perfect Buddha’s dharma body, which is permanent, perpetual, and unchanging—that is to say, it is neither permanent nor impermanent, neither imputed nor not imputed, and not the one who imputes.
གང་གདགས་པ་ཡང་མ་ཡིན། མི་གདགས་པ་ཡང་མ་ཡིན་པ་དེ་ནི་འཇིག་རྟེན་པ་ཡང་མ་ཡིན། འཇིག་རྟེན་ལས་འདས་པ་ཡང་མ་ཡིན། ||| What is not imputed is neither worldly nor transcendent.
གང་འཇིག་རྟེན་པ་ཡང་མ་ཡིན། འཇིག་རྟེན་ལས་འདས་པ་ཡང་མ་ཡིན་པ་དེ་ནི་བརྗོད་དུ་མེད་པ། ||| What is neither worldly nor transcendent is ineffable.
གང་བརྗོད་དུ་མེད་པ་དེ་ནི་ཆུང་ཟད་ཀྱང་མེད་པ། ||| What is ineffable does not exist even in the slightest.
གང་ཆུང་ཟད་ཀྱང་མེད་པ་དེ་ནི་སེམས་ཅན་རྣམས་ཀྱི་བསོད་ནམས་ཀྱི་ཞིང་། ||| What does not exist even in the slightest is the field of merit for beings.
གང་སེམས་ཅན་རྣམས་ཀྱི་བསོད་ནམས་ཀྱི་ཞིང་དེ་ནི་སྟོན་པ། ||| What is the field of merit for beings is the Teacher.
གང་སྟོན་པ་དེ་ནི་རྣམ་པར་མི་རྟོག་པ། ||| What is the Teacher is the unconceived.
གང་རྣམ་པར་མི་རྟོག་པ་དེ་ནི་དམིགས་པ་མེད་པ། ||| What is the unconceived is the absence of apprehending.
གང་དམིགས་པ་མེད་པ་དེ་ནི་མི་འགྱུར་བ་གྲུབ་པ། ||| What is the absence of apprehending is unchanging presence.
གང་མི་འགྱུར་བ་གྲུབ་པ་དེ་ནི་ཡིད་བཞིན་གྱི་ནོར་བུ་རིན་པོ་ཆེ་སྟེ། འདུལ་བའི་སེམས་ཅན་རྣམས་ཀྱི་བསམ་པ་ཐམས་ཅད་ཡོངས་སུ་རྫོགས་པར་བྱ་བའི་ཕྱིར་ཇི་ལྟར་མོས་པ་ཐམས་ཅད་བྱེད་དོ། ། ||| What is unchanging presence is the precious, wish-fulfilling jewel, which fulfills all the wishes of beings to be tamed in accordance with their inclinations.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་མང་པོ་དེ་དག་གིས་ཚིག་འཐུན་པར་སྨྲས་པ། ཆོས་ཀྱི་གཞུང་འདི་གང་ན་སྤྱོད་པའི་ས་ཕྱོགས་དེ་རྡོ་རྗེ་ལྟ་བུ་སྟེ། ||| Then the many bodhisattvas present spoke in unison: “Any place in which this Dharma discourse is recited will be like vajra.
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བཞུགས་པས་ན་སེམས་ཅན་དེ་མྱུར་དུ་མངོན་པར་ཤེས་པ་དང་། དབང་པོ་རྣོན་པོར་འགྱུར་བར་རིག་པར་བྱའོ། །གང་ཞིག་ཆོས་ཀྱི་གཞུང་འདི་ལ་བརྗོད་དམ། འཛིན་ཏམ། ||| Since the buddhas and bodhisattvas will be present there, understand that any being there will swiftly gain the higher perceptions and sharp faculties.
ཀློག་གམ། ཆུབ་པར་བྱེད་དམ། ཁ་ཏོན་དུ་བྱེད་དམ། ཚུལ་བཞིན་དུ་ཡིད་ལ་བྱེད་ན་དེ་བདུད་ཀྱི་དབང་དུ་མི་འགྱུར་རོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དགོངས་པ་འདི་བཤད་ནས་འཇིག་རྟེན་གྱི་དབང་པོ་དང་། ||| Whoever explains, memorizes, reads aloud, masters, chants, or properly contemplates this Dharma discourse will not fall prey to Māra.”
བྱམས་པ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་། ཉན་ཐོས་ཆེན་པོ་རྣམས་དང་། ལྷ་དང་མིར་བཅས་པ་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟའི་འཇིག་རྟེན་རྣམས་བཅོམ་ལྡན་འདས་ཀྱིས་བཤད་པ་ལ་མངོན་པར་དགའོ། ། ||| When the Blessed One had elucidated his intent, bodhisattvas such as Lord of the World, Maitreya, and others, as well as hearers, and the entire world with its gods and humans, asuras, and gandharvas all rejoiced in what the Blessed One had taught.
ཐེག་པ་ཆེན་པོའི་མདོ་ཆོས་རྒྱ་མཚོ་ཞེས་བྱ་བ་རྫོགས་སོ།། །། ||| This completes The Mahāyāna Sūtra “The Ocean of Dharma.”
རྒྱ་ལས་འགྱུར་བ་སྐད་གསར་ཆད་ཀྱིས་གཏན་ལ་ཕབ་པའོ།། །། ||| Translated from Chinese and established according to the new terminology.
