འཕགས་པ་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Pratibhānamati
ཚེ་རིང་དམ་པ་ཐོབ་པས་འཆི་འཕོ་མེད་པ་ཡིན། ། ||| They will attain the greatness of longevity and thus be free from death’s passing.
བདེ་བ་ཐོབ་པས་སྐྱོན་མེད་རབ་ཏུ་དགའ་བར་འགྱུར། ། ||| Because they will attain happiness, they become faultless and joyful.
དེས་པའི་མི་ནི་ཕ་རོལ་སེམས་འཁྲུགས་མ་བྱས་ཤིང་། ། ||| “Being gentle people, they do not upset others’ minds.
གཞན་དག་རྣམས་ཀྱིས་གནོད་བྱས་ཕྱིར་ནི་གནོད་མི་བྱེད། ། ||| Likewise, though nasty words are lobbed at them,
དེ་བཞིན་ཚིག་ངན་བརྗོད་ཀྱང་གཤེ་བར་མི་བྱེད་པས། ། ||| They do not criticize in return,
དགེ་བ་མཆོག་གི་ཚུལ་ཐོབ་ནས་ནི་མཛེས་པར་འགྱུར། ། ||| And so they will attain the way of supreme virtue and become beautiful.
བརྩོན་འགྲུས་བཟང་ལ་ལྷག་པའི་བསམ་པས་སེམས་དཀར་ཞིང་། ། ||| “Because their intention toward excellent discipline is sublime, their minds are clean.
སྟོབས་དང་གཟི་བརྗིད་ཆེན་པོ་དགེ་བ་རྣམས་དང་ལྡན། ། ||| They are replete with great strength and splendor and possess virtues.
དམག་དཔོན་ཉིད་ཀྱི་དམ་པ་ཐོབ་པར་གྱུར་པས་ན། །ལོངས་སྤྱོད་འབྱོར་པའི་སྤྱོད་ཡུལ་ལྡན་པས་ལྷ་དེར་འགྱུར། ། ||| Because they attain the excellence of military leadership, They shall have dominion over wealth and enjoyment and become like gods.
མི་འཕྲོག་སེམས་ལྡན་མཁས་ཤིང་ཤིན་ཏུ་འཐུན་པ་སྟེ། ། ||| “They do not covet and are intelligent, knowledgeable, and agreeable.
བྱས་པ་གཟོ་ཞིང་ལས་ལ་འདོད་པར་རབ་ཏུ་བྱེད། ། ||| They are grateful and keen to work.
དཀོན་མཆོག་གསུམ་དང་མ་ལ་སོགས་ལ་མཆོད་མཛངས་པ། ||| They are courageous in venerating the Jewels, their mothers, and so on,
ནམ་ཡང་ཀུན་ལ་ཐེ་ཙོམ་བྱེད་པར་མི་འགྱུར་རོ། ། ||| And so they never have doubt in any situation.
མི་གང་ཁྱད་པར་འཕགས་པ་དགེ་བ་ལྔ་པོ་རྣམས། །བྱེད་པ་དེ་ནི་ས་ཡི་བདག་པོར་རབ་ཏུ་འགྱུར། ། ||| “Whoever performs these extraordinary virtues Will become the lords of the land.
སྟོབས་ལ་སོགས་དང་གཟུགས་དང་ལོངས་སྤྱོད་མི་ཟད་ལྡན། ། ||| They shall attain unfailing strength, health, wealth, and other qualities.
གྲགས་ལྡན་ཤིན་ཏུ་གཙོ་བོ་རྣམས་ཀྱིས་རིམ་གྲོ་བྱས། ། ||| Renowned, they will be respected by important people.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་སེམས་ཅན་དམྱལ་བ་རྣམས་སུ་སྐྱེ་བར་འགྱུར་ཞིང་སྐྱེས་ནས་ཀྱང་དེ་དག་ཏུ་བསྐལ་པ་བྱེ་བ་མང་པོར་གནས་པར་འགྱུར་ཏེ ||| “Pratibhānamati, beings who engage in the following five actions are reborn among hell beings, where they remain for millions of eons.
ལྔ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these five?
སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་འདུན་དཀོན་མཆོག་ལ་དད་པར་མི་བྱེད་ལ་ ||| (1) They have no faith in the Jewels of the Buddha, Dharma, and Saṅgha.
ཀུན་དུ་བསྔགས་པ་མ་ཡིན་བརྗོད་པས་སྐུར་པ་འདེབས་པར་བྱེད་ཅིང་འཕགས་པའི་ལམ་ལ་བརྙས་པ་དང་། ||| They disparage them through unflattering speech and belittle the path of noble beings.
དེ་བཞིན་གཤེགས་པའི་མཆོད་རྟེན་འཇིག་པ་དང་། ||| (2) They destroy the stūpas of the thus-gone ones.
བར་གྱི་དུས་ན་ཡང་དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་གང་ཟག་བཞི་པོ་མང་པོར་མི་གུས་པ་འཐུན་པར་མི་འཛིན་པ། འཇིག་རྟེན་གྱི་སྨྲ་བ་ལྷུར་ལེན་པ། ||| (3) In the intermediate times as well, they are extremely disrespectful and disharmonious with monks, nuns, laymen, and laywomen, but love having worldly conversations.
དཀོན་མཆོག་གསུམ་གྱི་དཀོར་འཕྲོག་པ་དང་། ||| (4) They steal donations made to the Three Jewels.
གཅིག་ལ་གཅིག་ཉེས་རྩོམ་གྱིས། གཅིག་ལ་གཅིག་སྐུར་པ་འདེབས་པའི་ཚིག་གིས་རྒྱལ་པོ་དང་། རྗེ་དཔོན་དང་། བློན་པོ་དང་། ཕ་དང་། བུ་རྣམས་གཅིག་ལ་གཅིག་མི་འཐུན་པས་མི་གུས་པ་རྣམས་དང་། ||| (5) Through their disparaging words that enrage others, they are disrespectful and create discord between kings, leaders, ministers, fathers, and sons.
མ་འོངས་པའི་དུས་ན་དགེ་སློང་རྣམས་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་ཞུགས་ཏེ ||| “In the future, those monks who enter into the teachings of the thus-gone ones,
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྟོན་པ་ལ་བརྟེན་ནས་ཁྱིམ་ནས་ཁྱིམ་མེད་པར་རབ་ཏུ་བྱུང་སྟེ། ||| who follow the teacher—the thus-gone, worthy, perfect Buddha—and go forth from the home into homelessness,
བདག་ཉིད་དགེ་སློང་ཡིན་པར་ཁས་འཆེ་ཞིང་དགེ་བའི་ཆོས་ཡང་དག་པར་སྒྲུབ་པ་ལ་མི་གནས་ལ། ||| will pass themselves off as monks yet not maintain the genuine practice of the virtuous Dharma.
མཁན་པོ་དང་། སློབ་དཔོན་རྣམས་མགུ་བར་མི་བྱེད་ཅིང་བཀའ་བློ་མི་བདེ་ལ་འཐུན་པར་མི་འཛིན་ཅིང་ ||| They will not maintain harmony but will displease their preceptors and instructors and speak harshly.
ཡང་དག་པར་རྗེས་སུ་བསྟན་ཀྱང་རྗེས་སུ་བསྟན་པ་ལ་སྒྲུབ་པར་མི་བྱེད་ཅིང་ ||| Even though they have been taught correctly, they will not practice those teachings.
སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་སྤོང་བར་བྱེད་ལ་བདག་ལ་སྟོད་པར་བྱེད། ||| They will spurn the awakening of the buddhas, praise themselves,
གཞན་ལ་སྨོད་པར་བྱེད་ཅིང་ང་རྒྱལ་དང་། རྒྱགས་པ་དང་། དྲེགས་པའི་ཤས་ཆེ་ལ་བླ་མ་རྣམས་ལ་བརྙས་པར་བྱེད། ||| and slander others. For the most part, they will be proud, conceited, and haughty, and will denigrate spiritual teachers.
རྙེད་པ་དང་བཀུར་སྟི་ལ་ལྷག་པར་ཞེན་ཅིང་སྐུར་པ་འདེབས་པར་བྱེད་པ་སྟེ། ||| They will yearn for praise and respect but disparage others.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི་སེམས་ཅན་དམྱལ་བ་རྣམས་སུ་སྐྱེ་བར་འགྱུར་ཞིང་། ||| “Pratibhānamati, beings who engage in those five actions will be reborn among the hell beings
སྐྱེས་ནས་ཀྱང་ཇི་སྲིད་དུ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདིར་འཇིག་པ་མ་བྱུང་བ་དེ་སྲིད་དུ་གནས་པར་འགྱུར་ཞིང་། ||| where they will remain until the trichiliocosm is destroyed.
འཇིག་པ་བྱུང་ནས་ཀྱང་འཇིག་རྟེན་གྱི་ཁམས་གཞན་ན་སེམས་ཅན་དམྱལ་བ་གང་དག་ཡོད་པ་དེ་དག་ཏུ་འཕེན་པར་འགྱུར་རོ། ། ||| Even when it is destroyed, they will be propelled into other world-systems in which there are hells.
གང་གི་ཚེ་དེར་ཡང་འཇིག་པ་བྱུང་བར་གྱུར་ན། ||| When those world-systems are also destroyed,
དེའི་ཚེ་འཇིག་རྟེན་གྱི་ཁམས་གཞན་ན་སེམས་ཅན་དམྱལ་བ་གང་དག་ཡོད་པ་དེ་དག་ཏུ་འཕེན་པར་འགྱུར་རོ། ། ||| they will be further propelled into still other world-systems in which there are hells.
དེ་བཞིན་དུ་སྦྱར་ཏེ། ||| And so, on and on,
ཀུན་དུ་འཇིག་རྟེན་གྱི་ཁམས་གྲངས་མེད་པ་དག་ན་སེམས་ཅན་དམྱལ་བ་གང་དག་ཡོད་པ་དེ་དག་ཏུ་འཁྱམ་ཞིང་སྡུག་བསྔལ་ཉམས་སུ་མྱོང་ལ་འབྱུང་བའི་མཐའ་མེད་དོ། ། ||| they will wander amidst all the countless world-systems of hells, and their experience of suffering will find no end.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
རྨོངས་པས་ཐོག་མ་མེད་ནས་འཇིགས་པའི་སྡུག་བསྔལ་བྱིང་གྱུར་པའི། །འཇིག་རྟེན་སངས་རྒྱས་ཡོན་ཏན་རྒྱ་མཚོ་ཁས་ལེན་མི་བྱེད་དེ། ། ||| “Deluded beings are oblivious to the terrible suffering in the world since beginningless time. And do not acknowledge the oceanic qualities of the Buddha.
དེ་ནི་ཀུན་རིག་མ་ཡིན་རྣལ་འབྱོར་རྒྱལ་པོ་མ་ཡིན་ཞེས། ། ||| Declaring, ‘He is neither omniscient nor the king of practitioners,’
བདག་ཉིད་ཆུད་གཟན་སྐྱེ་བོ་གཞན་རྣམས་ལ་ཡང་སླུ་བར་བྱེད། ། ||| They waste their own lives and deceive other beings.
བདེ་བར་གཤེགས་པའི་མཆོད་རྟེན་འབྱོར་པ་སྡུག་པའི་མཆོག་བྱས་ན། ། ||| “They say, ‘If you make a reliquary of the blissful ones, supreme in its materials and beauty,
དེ་ནི་དགེ་བ་ཆུང་འགྱུར་འཇིག་པར་བྱེད་པའི་ཆར་འགྱུར་ཞེས། ། ||| It will be of little virtue and bring down a rain of destruction.’
མི་དགེ་འདི་ནི་མངོན་སུམ་དགེ་བ་མདུན་ན་ཡོད་བཞིན་དུ། ། ||| This non-virtue, on the face of it, may seem virtuous;
འོན་ཀྱང་སྡིག་པ་རྣམ་པ་སྣ་ཚོགས་ཀུན་ཏུ་སྤྱོད་པར་བྱེད། ||| But actually it brings about all manner of evil.
བར་མ་རྩོད་པའི་དུས་འདིར་བཞི་པོ་བཀྲེས་པས་ཉམ་ཐག་པ། ། ||| “In this intermediate period of strife, the four types of beings are weakened by hunger.
ཕན་ཚུན་འཁོན་དུ་འཛིན་པས་དཀྲུགས་ཤིང་བླ་མ་སྨོད་པར་བྱེད། ། ||| Because of their mutual animosity they fight and belittle spiritual masters.
འཁོར་དུ་འདུས་པ་འདུལ་བའི་དགའ་བ་འདི་ནི་རྣམ་བཤིག་པས། །མི་བཟད་རོ་མེད་ལོག་པར་ལྟུང་བའི་སར་ནི་འགྲོ་བར་འགྱུར། ། ||| They destroy the enthusiasm of the community of moral discipline, Thus leading them to the terrifying and unpleasant lower realms.
རྒྱལ་པོ་ཕ་དང་སྲིང་མོ་སྤུན་དང་གཞོན་ནུ་བུ་མོ་རྣམས། །བྱམས་པའི་ཡིད་ནི་ལོག་གྱུར་ལོངས་སྤྱོད་རྣམས་ལ་བརྐམ་ཆགས་ཏེ། ། ||| “Kings, fathers, daughters, relatives, and young women Lose their caring minds and become envious of possessions.
བྱིས་པ་བུ་ལྟར་ཐམས་ཅད་གཅིག་ལ་གཅིག་ནི་བཞད་གད་བྱེད། ། ||| They laugh at one another like immature children,
ལོག་ལྟུང་དམ་པ་རྣམ་པར་འབྱིང་བར་མྱུར་དུ་འགྲོ་བར་འགྱུར། ། ||| And hasten to the mire of the fathomless lower realms.
མ་འོངས་དུས་འདིར་གང་དག་ཤིན་ཏུ་སྡིག་ཅན་སེམས་ཅན་རྣམས། །འཐུན་པར་མི་འཛིན་དགེ་སྦྱོང་ཁ་དོག་འཛིན་པ་གཟུགས་མི་སྡུག། ། ||| “In future times those who are wantonly evil will not get along. Faking the appearance of mendicants, they will have repugnant forms.
ངན་པའི་བདག་ཉིད་ལྡན་པ་སྡིག་པ་ཁྲག་ཁྲིག་བྱེད་འགྱུར་བ། ། ||| They will be of vile character and perform millions of evil deeds.
དེ་དག་ཤི་འཕོས་ནས་ནི་སྡིག་པ་རྩོད་པའི་མཆོག་གིས་གནོན། ། ||| When they die and transmigrate, they will be dragged down by their intense evil deeds and quarreling.
མི་ཡིས་བསྐལ་པ་བརྒྱ་ཕྲག་མང་པོར་སྡིག་པ་ལྔ་པོ་དག །བསྒྲུབས་ཤིང་བྱས་པ་དག་ནི་བཤགས་པར་ནུས་པ་མ་ཡིན་ཏེ། ། ||| “The five evil deeds perpetrated by people Cannot be confessed for hundreds of eons.
གང་དུ་སངས་རྒྱས་ཁྲག་ཁྲིག་གིས་ཀྱང་བསྐྱབ་པར་མི་སྤྱོད་པའི། །མེ་རི་དྲག་པོ་མནར་མེད་པ་ཡི་མེར་ནི་སྲེག་པར་འགྱུར། ། ||| Such people are burned in a terrible mountain of fire in the hell of ceaseless torment— A place where even millions of buddhas can offer no protection.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་དུད་འགྲོ་རྣམས་སུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| “Pratibhānamati, beings who engage in the following five actions are reborn among animals.
ལྔ་གང་ཞེ་ན། ||| What are these five?
དང་པོ་འཆལ་པའི་ཚུལ་ཁྲིམས་དང་། ||| (1) The first is corrupt discipline.
ཆོམ་རྐུན་དང་། ||| (2) robbery and theft,
གཞན་གྱི་བུ་ལོན་བླངས་ནས་གནོད་སེམས་སུ་བྱེད་པ་དང་། ||| (3) taking loans from others and then conspiring against them,
སྲོག་གཅོད་པ་དང་། ||| (4) murder, and
མ་དད་པས་དམ་པའི་ཆོས་མ་ཡིན་པ་ཉན་པར་དགའ་ཞིང་དམ་པའི་ཆོས་མ་ཡིན་པ་ཉན་པ་ལ་དགའ་བས་ལོག་པས་འཚོ་བ་ཐམས་ཅད་ལ་དགའ་བ་སྟེ། ||| (5) lacking faith, which makes one delight in studying something other than the sublime Dharma and relish perverted ways of life because of finding such studies enjoyable.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི་དུད་འགྲོ་རྣམས་སུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| Pratibhānamati, beings who engage in these five actions are reborn as animals.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
རྟག་ཏུ་གཞན་གྱི་ནོར་འཕྲོག་པ་ལ་དགའ་བའི་མི་རྣམས་ནི། །བུ་ལོན་བྱིན་པ་རྣམ་པར་བླངས་ནས་མི་གཞན་གསོད་པར་བྱེད། ། ||| “People who always delight in stealing from others Take out loans and then murder the lender.
སྲོག་གཅོད་པ་ལ་དགའ་བའི་རི་དགས་འཆི་བདག་རྒྱལ་པོ་རྣམས། །རྒྱ་ལ་སོགས་པས་བཟུང་ནས་སེམས་ཅན་རྣམས་ལ་གསོད་པར་བྱེད། ། ||| Beasts, lords of death who love killing, Catch such beings in traps and then slaughter them.
དད་པ་ལ་སོགས་དམན་པའི་བློ་གྲོས་དཀར་པོའི་འདུ་ཤེས་ཅན། །ནག་པོ་དཔག་ཏུ་མེད་པ་བདག་ཅག་སྤྱོད་པར་མི་ཤེས་པ། ། ||| “Their minds, weak in faith and the rest, Cannot see the limitless evil deeds they do, thinking it all to be virtuous.
རྨོངས་པ་རྣམས་ནི་དམ་ཆོས་དཀོན་མཆོག་གཏམ་ལ་དགའ་མི་བྱེད། ། ||| Deluded, they do not enjoy discussions on the sublime Jewel of the Dharma.
འཇིག་རྟེན་ཞུགས་པའི་ཆོས་ལ་འདིར་ནི་རྗེས་སུ་འགྲོ་བར་འགྱུར། ། ||| Instead they follow worldly teachings.
ཇི་ལྟར་གངས་རི་ལས་འདིར་ཁ་བ་བབ་དང་རབ་བབ་པ། ཆུ་ནི་ཆུ་ཡི་ཤུགས་ཀྱིས་འཕྲལ་དུ་ས་འོག་འགྲོ་བ་བཞིན། ། ||| “Just as snow tumbles down from a mountain, And water naturally seeps straight underground,
ལྷ་མིའི་གྲོང་དུ་སྡིག་པའི་ཕུང་པོ་མང་དུ་བྱས་པས་ན། ། ||| In the same way they amass many evil deeds in the realms of gods and humans,
རྨོངས་པ་རྣམས་ནི་དེ་བཞིན་དུད་འགྲོ་རྣམས་སུ་མྱུར་དུ་འགྲོ། ། ||| And so these fools go swiftly to the animals.
རྟ་དྲེའུ་རྔ་བོང་གླང་ཆེན་བ་ལང་མ་ཧེ་སེང་གེ་དང་། །ཝ་དང་སྦྲུལ་དང་ཕག་དང་ཁྱི་ལ་སོགས་པར་གྱུར་ནས་སུ། ། ||| “Born as horses, mules, camels, elephants, Oxen, cattle, lions, foxes, snakes, pigs, or dogs,
རྩྭ་ཟ་བ་དང་ཤ་དང་བདུད་རྩི་ལོ་མའི་ཟས་ཟ་ཞིང་། ། ||| They eat grass, flesh, and foliage,
དེ་དག་རྟག་ཏུ་གཞན་གྱི་ཁུར་ཁྱེར་བྱེད་ཅིང་དུབ་པར་འགྱུར། ། ||| And constantly carry the burdens of others until exhaustion.
བཀྲེས་པས་ཟིལ་གྱིས་ནོན་པས་གཅིག་ལ་གཅིག་ཟ་ལྷུར་བྱེད་པ། ། ||| “Driven by hunger, they eagerly prey on one another.
བསྐལ་པ་ཁྲག་ཁྲིག་རྣམས་སུའང་ནམ་ཡང་ཐར་བར་མི་འགྱུར་ཞིང་། ། ||| Even after millions of eons, they will never be freed from this state.
ཇི་ལྟར་རྒྱ་མཚོ་གཅིག་ན་རུ་སྦལ་མིག་ནི་གཅིག་ཡོད་པས། །གཉའ་ཤིང་བུ་གར་མགྲིན་པ་བཏད་པར་ནུས་པ་མ་ཡིན་པ། ། ||| Just as a one-eyed turtle living in the ocean Could not stick its neck through a floating yoke,
དེ་བཞིན་ལྷ་དང་མི་དང་དབང་ཕྱུག་ཆེ་ཉིད་བདེ་བླག་ཏུ། །ལོག་པར་ལྷུང་བ་བརྒྱ་ཡིས་ཐོབ་པར་ནུས་པ་མ་ཡིན་ཏེ ||| “Because of their hundreds of downfalls They will not easily obtain the states of gods, humans, or great lords.
སངས་རྒྱས་འོད་ཟེར་དམ་པའི་ཚོགས་ཅན་དཔག་ཏུ་མེད་པ་དང་། །བྱང་ཆུབ་སེམས་དཔའ་ཁྱུ་མཆོག་འོད་ཀྱིས་དེ་དག་འབྱིན་པར་འགྱུར། ། ||| They will be delivered by a sublime and limitless matrix of the Buddha’s light rays And the light of the mighty bodhisattvas.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ། ||| Then the Blessed One said, “Pratibhānamati,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་ཡི་དགས་ཀྱི་འཇིག་རྟེན་དུ་སྐྱེ་བར་འགྱུར་ཏེ། ||| beings who engage in the following five actions are reborn as hungry spirits.
ལྔ་གང་ཞེ་ན། ||| What are these five?
དང་པོ་བཀྲེན་ཞིང་ཆགས་པ་དང་། ||| (1) The first is being stingy and craving.
མུན་པ་མུན་ནག་ཆེན་པོའི་བཤེས་གཉེན་དང་། སོགས་པ་ལྷུར་བྱེད་པའི་ཕྱིར་བདག་ཉིད་ཀྱང་ལོངས་སྤྱོད་པར་མི་བྱེད་པ་དང་། ||| (2) Next, because they esteem extremely ignorant spiritual teachers and their ilk, they block their own happiness.
ཆོས་མ་ཡིན་པ་དང་ལྡན་པའི་ཕྱིར་ཕྲག་དོག་དང་། ||| (3) Because they are inclined to unwholesome ways, they are jealous.
སེར་སྣ་ལྷུར་བྱེད་པས་སྤུན་དང་། སྲིང་མོ་དང་། བུ་དང་། ཆུང་མ་དང་། བྲན་དང་། ལས་བྱེད་པ་དང་། ཞོ་ཤས་འཚོ་བ་དང་། མཛའ་བཤེས་དང་། བློན་པོ་དང་། ཉེ་དུ་དང་། འབྲེལ་པ་དང་། སྦྱིན་གནས་དང་། དགེ་སྦྱོང་དང་། བྲམ་ཟེ་དང་། བཀྲེན་པ་ཐམས་ཅད་ལ་རབ་ཏུ་སྦྱིན་པར་མི་བྱེད་ཅིང་ ||| (4) Because they are excessively stingy, they are in no way generous towards brothers, sisters, children, wives, servants, laborers, wageworkers, friends, government officials, kinfolk, relatives, the venerable, mendicants, priests, and the poor.
ཕ་མ་དག་ལ་ཡང་རབ་ཏུ་སྦྱིན་པར་མི་བྱེད་པ་དང་། ངེས་པར་བསྐྱང་བར་འོས་པ་དག་མི་སྐྱོང་ལ་ ||| They cannot even give anything to their own mothers and fathers, nor do they care for those who are in need of care.
བསྙེན་བཀུར་མི་བྱེད་ཅིང་བླ་མ་ལ་མི་གུས་ལ་གཅེས་པར་མི་བྱེད་པ་སྟེ། ||| (5) They are also not respectful, nor do they venerate spiritual teachers or regard them as precious.
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་པོ་དེ་དག་དང་ལྡན་པ་རྣམས་ནི་ཡི་དགས་རྣམས་སུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| Pratibhānamati, beings who engage in these five actions are reborn as hungry spirits.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One expressed this in verse:
བཀྲེན་པའི་ཉེས་པས་བཅོམ་པ་ནོར་གཏོང་མི་ཕོད་པ། ། ||| “Defeated by the adversity of privation, they are unable to give away their wealth.
དེ་དག་གཞན་དག་ལས་ནི་བླང་བར་འདོད་པར་བྱེད། ། ||| They only wish to take from others.
མཛོད་རྣམས་ཀྱི་ནི་སྒོ་འཕར་དམ་དུ་བསྡམས་པ་རྣམས། ། ||| They are keepers of a treasury whose doors are tightly shut.
འདིར་ནི་བསྐྱང་འོས་རྩ་ལག་མཆོག་རྣམས་གསོ་མི་བྱེད། ། ||| Thinking it ought to be guarded, they do not care for even their closest kin.
གཞན་ནོར་ཆུད་གཟོན་པ་ཡིས་རྟག་ཏུ་སྐྲག་པ་རྣམས། །བླ་མ་ལ་ཡང་དེ་དག་རབ་རྩུབ་བྱམས་ཅན་མིན། ། ||| “These squanderers of others’ wealth always live in anxiety. Even to spiritual teachers they are rude and have no love.
དེ་དག་བདག་གི་ཆུང་མ་ལ་སོགས་གཡོག་ཚོགས་ལ། །དབྱིག་སྦྱིན་མི་བྱེད་ཤིན་ཏུ་སྙིང་བརྩེ་ཤེས་མེད་ཅིང་། ། ||| To their own wives and servants they give nothing precious, Nor do they understand how to show love and affection.
དཀར་པོ་དག་ལས་ལོག་པ་དེ་དག་འདི་ནས་ཤི་འཕོས་ནས། །ཡུན་རིང་མཆོག་ཏུ་ལུས་འབར་སྡུག་བསྔལ་ཡི་དགས་འགྱུར། ། ||| “They turn away from what is good, and when they pass on They become suffering spirits whose bodies burn over and over.
དེ་དག་ལོ་བརྒྱ་རྣམས་སུ་རྨི་ལམ་རྨིས་པར་ཡང་། །གོས་དང་ཟས་དང་བཏུང་བའང་ནམ་ཡང་རྨི་མི་འགྱུར། ། ||| Though they dream for hundreds of years, They never even dream of clothing, food, and drink.
ཁབ་འདྲའི་ཁ་དང་རི་ཆེན་ལྟ་བུའི་ལྟོ་ཅན་རྣམས། །ཉམ་ཐག་ཤར་དང་ནུབ་ཀྱི་རྒྱ་མཚོར་རྒྱུག་པར་བྱེད། ། ||| “Their throats are like needles and their stomachs like huge mountains. Desperately they scramble from the eastern to the western ocean.
ཁ་ནས་མེ་འབར་ལུས་ངན་ཕྱོགས་དང་ལྷོ་ཕྱོགས་གཞན། །སྐམས་པར་མཐོང་ནས་རིན་ཆེན་མེ་ནང་ལྷུང་བར་འགྱུར། ། ||| With mouths ablaze they run to Kauverī and to the south. Seeing everything dried up they fall into a blazing fire.
གཤིན་རྗེའི་ཕོ་ཉ་དཔུང་མགོ་ལས་གྲུབ་རབ་སྟུག་ཅིང་། ། ||| “The henchmen of the Lord of Death grab them by the shoulders,
སྲ་ལྡན་རྣམས་ཀྱིས་མནན་ནས་ཟངས་ཞུན་བཟོད་དཀའ་རབ། །མི་འདྲ་རོ་བྲོ་མེད་པ་དེ་དག་རྣམས་ལ་ལྡུད། ། ||| Pile them together, and crush them with boulders. Then they are given molten copper to drink, which is incredibly difficult to bear.
རྨོངས་རྣམས་ཡན་ལག་བརྒྱད་ལྡན་ཆུ་བཞིན་འཐུང་བར་བྱེད། ། ||| Ignorant, they are made to drink disgusting substances as if they were water with eight qualities.
ནང་གྲོལ་ལུས་ཀྱི་ཁོག་པ་བསྲེགས་པ་བསལ་བའི་རླུང་གིས་སུ། །སྐྱེས་པའི་བདག་ཉིད་རྣམས་ལ་སྟོབས་ཆེན་ཡང་ལྡུད་བྱེད། ། ||| “After their entrails have been burned from their body cavities by the evacuating wind, The powerful ones force these beings to drink again.
དེ་ནས་ཤི་འཕོས་མི་ཡི་འཇིག་རྟེན་འདིར་སྐྱེས་རྣམས། །རིགས་དང་ལོངས་སྤྱོད་ལུས་གཡོག་རྣམས་ཀྱིས་དམན་པར་འགྱུར། ། ||| When these beings die and are reborn in the human world, They will be inferior in their caste, wealth, health, and servants.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་སྤོབས་པའི་བློ་གྲོས་ལ་བཀའ་སྩལ་པ། ། ||| Then the Blessed One said,
སྤོབས་པའི་བློ་གྲོས་སེམས་ཅན་ལས་ལྔ་དང་ལྡན་པ་རྣམས་ནི་རིགས་མཐོན་པོ་རྣམས་སུ་འགྱུར་ཏེ། ||| “Pratibhānamati, beings who engage in the following five actions are reborn among the higher castes.
ལྔ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are these five? They are
ཟང་ཟིང་དང་། ཆོས་ཀྱི་སྦྱིན་པ་ ||| (1) giving material goods and Dharma,
དག་གིས་འཇིག་རྟེན་ཐམས་ཅད་ལ་གནོད་སེམས་མེད་པར་གྱུར་པ་དང་། ||| (2) not having hostility towards anyone,
དཀོན་མཆོག་གསུམ་དང་། ཕ་མ་ལ་གུས་པ་དང་། ||| (3) being respectful of the Three Jewels and one’s parents,
