སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ། བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་འོད་ཟེར་ཀུན་ནས་མངོན་འཕགས་དཔལ་བརྩེགས་རྒྱལ་པོ་ཞེས་བྱ་བར་འགྱུར་རོ། ། ||| He will be someone learned and virtuous, a well-gone one, a knower of the world, a charioteer who guides beings, an unsurpassed being, a teacher of gods and humans, a blessed buddha known as Splendorous King of Shining Light.
འཇིག་རྟེན་གྱི་ཁམས་ནི་ཀུན་ནས་རིན་པོ་ཆེས་ཡང་དག་པར་བྲིས་པ་ཞེས་བྱ་བར་འགྱུར་རོ། ། ||| His world will be known as Painted with Many Jewels.
དེའི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ནི་ཚད་མེད་པར་འགྱུར་རོ། ། ||| He will have an immeasurable saṅgha of hearers.
དེའི་ཚེའི་ཚད་ནི་བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་དགུ་བཅུ་རྩ་དྲུག་ཐུབ་པར་འགྱུར་རོ། ། ||| He will have a lifespan of ninety-six trillion eons.
དེའི་དམ་པའི་ཆོས་ཀྱི་གཟུགས་བརྙན་ནི་ལོ་འབུམ་ཕྲག་བདུན་ཅུ་རྩ་ལྔར་གནས་པར་འགྱུར་རོ། ། ||| The appearance of his sacred Dharma will remain for seven million five hundred thousand years.’
རིགས་ཀྱི་བུ་དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་ལུང་བསྟན་པ་བརྗོད་པ་བཤད་པ་ན་སྲོག་ཆགས་བརྒྱད་ཁྲི་བཞི་སྟོང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ། ||| “Noble son, at that time, when the prophecy concerning that bodhisattva great being was made, eighty-four thousand beings gained acceptance that phenomena are unborn.
རིགས་ཀྱི་བུ་དེའི་ཚེ་དེའི་དུས་ཀྱི་དེ་བཞིན་གཤེགས་པ་དེ་གཞན་ཞིག་ཡིན་པ་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཚོམ་ཟའམ་ཡིད་གཉིས་སུ་གྱུར་ན་དེ་ལྟར་མི་བལྟའོ། ||| Noble son, should you wonder, question, or have doubts regarding the identity of the thus-gone one of that time, there is no need.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ། ||| Why so?
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་ཅེས་བྱ་བ་འདི་དེའི་ཚེ་དེའི་དུས་ན་དེ་བཞིན་གཤེགས་པ་མེ་ཏོག་ལས་བྱུང་བ་ཞེས་བྱ་བར་གྱུར་ཏེ། འཇིག་རྟེན་གྱི་ཁམས་དེར་ཆོས་བསྟན་པར་གྱུར་ཏོ། ། ||| Noble son, it is the thus-gone, worthy, perfect buddha Amitābha who was known at that time as the thus-gone Arisen from Flowers and who taught the Dharma in that world.
རིགས་ཀྱི་བུ་དེའི་ཚེ་དེའི་དུས་ན་གཞོན་ནུ་རིན་ཆེན་འབྱུང་གནས་ཞེས་བྱ་བ་དེ་གཞན་ཞིག་ཡིན་པ་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཙོམ་ཟའམ་ཡིད་གཉིས་སུ་གྱུར་ན་དེ་ལྟར་མི་བལྟའོ། ||| Noble son, should you wonder, question, or have doubts regarding the identity of the prince known as Ratnākara at that time, there is no need.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་འདི་དེའི་ཚེ་དེའི་དུས་ན་རྒྱལ་པོ་རྒྱལ་བ་ཐོབ་པ་ཞེས་བྱ་བ་དེའི་བུར་གྱུར་ཏེ། ||| Noble son, it is the bodhisattva Avalokiteśvara who was at that time the son of King Attainment of Victory.
དེ་བཞིན་གཤེགས་པ་དེས་ང་ལས་འཚང་རྒྱ་བར་འགྱུར་རོ་ཞེས་ལུང་བསྟན་ཏོ། ། ||| That thus-gone one prophesied, ‘He will gain awakening from me.’ ”
དེ་ནས་འཁོར་དེའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྒྱལ་བས་དགའ་ཞེས་བྱ་བས་བཅོམ་ལྡན་འདས་ལ་སོར་མོ་བཅུའི་ཐལ་མོ་སྦྱར་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Delighted by Victory, who was among the retinue, now joined his palms and asked the Blessed One,
བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ནི་སེམས་ཅན་དགེ་བའི་རྩ་བ་མ་བསྐྱེད་པ་རྣམས་ཀྱི་རྣ་ལམ་དུ་གྲག་པར་ཡང་མི་འགྱུར་ན། གང་དག་ཡི་གེར་འདྲི་བ་དང་། ཡི་གེར་འདྲིར་སྩོལ་བ་དང་། འཛིན་པ་དང་། ཁ་ཏོན་བགྱིད་པ་དང་། མེ་ཏོག་དང་། བདུག་པ་དང་། སྤོས་རྣམས་ཀྱིས་མཆོད་པར་འགྱུར་བ་ལྟ་སྨོས་ཀྱང་ཅི་འཚལ། ། ||| “Blessed One, will beings who have not produced roots of virtue ever even hear this Dharma teaching, let alone commit it to writing, commission it to be written, retain it, recite it, or offer flowers, incense, and incense powder to it?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྒྱལ་བས་དགའ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to the bodhisattva great being Delighted by Victory,
རིགས་ཀྱི་བུ་གང་དག་གིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ལ་བསྙེན་བཀུར་བྱས་པ་དེ་དག་གིས་མདོ་སྡེ་འདི་རྙེད་པར་འགྱུར་རོ། ། ||| “Noble son, only those who have served as many buddhas as there are grains of sand in the Ganges River will come across this discourse.
རིགས་ཀྱི་བུ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་དག་གང་གི་རྣ་ལམ་དུ་གྲག་པར་གྱུར་ལ་ཐེ་ཚོམ་མི་ཟ་བའི་སེམས་ཅན་དེ་དག་འདི་ནས་ཤི་འཕོས་ནས་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| Noble son, those sentient beings who hear this Dharma teaching and do not doubt it will be reborn in the realm of Sukhāvatī after they die and pass from this world.
རིགས་ཀྱི་བུ་གང་ན་མདོ་སྡེ་འདི་ལྟ་བུ་དག་འཛིན་པའི་ས་ཕྱོགས་དེ་དག་ཕྱག་བྱ་བའི་འོས་སུ་འགྱུར་རོ། ། ||| Noble son, any place where this discourse is kept will become worthy of homage.
རིགས་ཀྱི་བུ་ཕྱི་མའི་ཚེ་ཕྱི་མའི་དུས་ན་བུད་མེད་གང་ལ་ལ་ཞིག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཆང་ངམ། ཀློག་ན་དེ་བུད་མེད་ཀྱི་ལུས་རྗེས་ནས་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དུ་སྐྱེ་བར་འགྱུར་ཏེ། ། ||| Noble son, later, in the future, any woman who holds or reads aloud this Dharma teaching will exchange her female body and be reborn in the realm of Sukhāvatī.
དེ་ཉིད་དེའི་བུད་མེད་ཀྱི་ལུས་ཀྱི་ཐ་མ་ཡིན་ནོ། །། ||| That will be her last birth as a female.
འཆི་བའི་དུས་ཀྱི་ཚེ་ན་ཡང་དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་མཐོང་བར་འགྱུར་རོ། ། ||| She will, moreover, behold the thus-gone Amitābha at the moment of death.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྒྱལ་བས་དགའ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། དགེ་སློང་དེ་དག་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| Once the Blessed One had spoken, the bodhisattva great being Delighted by Victory, the other bodhisattvas, the monks, and the rest of the assembly, along with the world with its gods, humans, demigods, and gandharvas, all rejoiced and praised what the Blessed One had said.
འཕགས་པ་ཆོས་དང་དོན་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། ། ||| This concludes the noble Great Vehicle sūtra “Distinguishing Phenomena and What Is Meaningful.”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། དཱ་ན་ཤཱི་ལ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། ||| Translated, edited, and finalized by the Indian preceptors Jinamitra and Dānaśila, and by the chief editor and translator Bandé Yeshé Dé.
