འཕགས་པ་འཇམ་དཔལ་གྱིས་དྲིས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Question of Mañjuśrī
དབུའི་གཙུག་ཏོར་དང་། དབུའི་མཐོན་མཐིང་ལ་གཡས་ཕྱོགས་སུ་འཁྱིལ་བ་དང་། དཔྲལ་བ་མཉམ་པ་དང་། ཁ་དོག་གིས་བརྒྱན་པ་དང་། སྨིན་མཚམས་ཀྱི་མཛོད་སྤུ་དང་། སྤྱན་མཐོན་མཐིང་ལ་བའི་རྫི་མ་འདྲ་བ་དང་། སོ་བཞི་བཅུ་ཐགས་བཟང་བ་དང་། མཆེ་བ་དཀར་བ་དང་། འགྲམ་པ་སེང་གེའི་འདྲ་བ་དང་། ལྕེ་ཆེ་ཞིང་སྲབ་པ་དང་། རོ་སྟོད་སེང་གེ་འདྲ་བ་དང་། ཤིང་ནྱ་གྲོ་དྷ་ལྟར་ཆུ་ཞེང་གབ་པ་དང་། སྤུ་ཁུང་བུ་རེ་རེ་ནས་སྐྱེས་པ་དང་། ཕོ་མཚན་མི་སྣང་བར་ནུབ་པ་དང་། བརླ་གང་ཞིང་ཟླུམ་པ་དང་། བྱིན་པ་རི་དགས་ཀྱི་རྒྱལ་པོ་ཨེ་ནེ་ཡ་འདྲ་བ་དང་། ཞབས་ཀྱི་རྟིང་པ་ཆེ་བ་དང་། ཞབས་དང་ཕྱག་གི་མཐིལ་འཇམ་ཞིང་མཉེན་པ་དང་། ཞབས་དང་ཕྱག་གི་སོར་མོའི་བར་དྲ་བར་འབྲེལ་བ་དང་། ཞབས་དང་ཕྱག་གི་སོར་མོ་རིང་བ་དང་། ཞབས་ཀྱི་སྟེང་མཐོ་བ་དང་། རོ་བྲོ་བའི་མཆོག་དང་། དཔུང་མགོ་ཟླུམ་པ་དང་། བདུན་མཐོ་བ་དང་། པགས་པ་སྲབ་ལ་གསེར་གྱི་མདོག་འདྲ་བ་དང་། མ་བཏུད་པར་ཕྱག་པུས་མོའི་ལྷ་ང་ལ་རེག་པ་དང་། ཞབས་རབ་ཏུ་གནས་པ་དང་། ཞབས་དང་ཕྱག་གི་མཐིལ་ན་འཁོར་ལོའི་མཚན་ཡོད་པ་དང་། ཚངས་པའི་དབྱངས་དང་། འདི་དག་ནི་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཡིན་ཏེ ||| (1) the uṣṇīṣa on the head, (2) right-curling dark blue hair on the head, (3) an even forehead, (4) being adorned with a beautiful complexion, (5) an ūrṇā hair between the eyebrows, (6) dark blue eyes with bovine eyelashes, (7) forty close-fitting teeth, (8) white canine teeth, (9) cheeks like a lion, (10) a large and slender tongue, (11) a torso like a lion, (12) an arm span and height that are identical like the banyan tree, (13) a hair growing from every pore, (14) a concealed male organ, (15) full and rounded thighs, (16) calves like those of Eṇeya, king of antelopes, (17) broad heels, (18) palms and soles that are soft and supple, (19) webbed fingers and toes, (20) long fingers and toes, (21) feet with high arches, (22) a supreme organ of taste, (23) round shoulders, (24) the seven prominent parts, (25) fine skin the color of gold, (26) the ability to reach the hands to the knees without bending, (27) well-positioned feet, (28) palms and soles with the mark of the wheel, and (29) the voice of Brahmā. These are the thirty-two signs of a great being.
དེ་བཞིན་གཤེགས་པའི་སྐུ་ལས་འབྱུང་ངོ་། ། ||| They appear on the body of the Tathāgata.
འཇམ་དཔལ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་སུ་གཏོགས་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོར་གང་གྱུར་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་གྲངས་མེད་པར་བསྒྱུར་བ་དང་། བསམ་གྱིས་མི་ཁྱབ་པར་བསྒྱུར་བ་དང་། དཔག་ཏུ་མེད་པར་བསྒྱུར་བ་དང་། བརྗོད་དུ་མེད་པར་བསྒྱུར་བས་དེ་བཞིན་གཤེགས་པའི་ཆོས་ཀྱི་དུང་དུ་འགྱུར་རོ། ། ||| “Mañjuśrī, if that merit, which is the merit contained in the thirty-two signs of a great being, were multiplied innumerable times, multiplied inconceivably, multiplied incalculably, and multiplied beyond expression, it would be like that of the Tathāgata’s Dharma conch.
ཆོས་ཀྱི་དུང་དེས་འདུལ་བའི་དབང་དུ་དེ་བཞིན་གཤེགས་པ་འཇིག་རྟེན་གྱི་ཁམས་ཚད་མེད་གྲངས་མེད་པར་དབྱངས་ཀྱིས་རིག་པར་བྱེད་དོ། ། ||| By the power of taming with the Dharma conch, with his voice the Tathāgata engenders understanding throughout limitless and countless world realms.
དབྱངས་ཀྱིས་ཇི་ལྟ་བ་དེ་བཞིན་དུ་འོད་དང་སྐུས་ཀྱང་དེ་བཞིན་ནོ། ། ||| Just as with his voice, so it is with his light and his body.
འཇམ་དཔལ་དེ་ལྟར་ཤེས་རབ་ཆེན་པོ་ལས་བྱུང་བ་སྙིང་རྗེ་ཆེན་པོས་ཡོངས་སུ་བསྒོས་པ། ཐབས་མཁས་པ་དང་སྨོན་ལམ་གྱིས་བསྐྱེད་པ། ཚུལ་ཁྲིམས་ཡོངས་སུ་དག་པ་བསྒོམས་པའི་ཁྱད་པར་ལས་ཡང་དག་པར་སྐྱེས་པ། བསོད་ནམས་ཆེན་པོ་འདི་དག་ནི་ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་བསམ་གྱིས་མི་ཁྱབ་བོ། ། ||| “In this way, Mañjuśrī, this great merit, arisen from great insight, imbued with compassion, generated through skill-in-means and aspirations, completely pure in moral discipline, and authentically born from the distinctions of practice, is inconceivable to all śrāvakas and pratyekabuddhas.
འཇམ་དཔལ་རྒྱུ་གཉིས་ཀྱིས་དེ་བཞིན་གཤེགས་པའི་གཟུགས་ཀྱི་སྐུ་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ནོ། ། ||| “Mañjuśrī, the form body of the Tathāgata is especially exalted for two reasons.
རྒྱུ་གཉིས་གང་ཞེ་ན། ||| What are these two reasons?
སྨོན་ལམ་གྱི་དབང་དང་། འདུལ་བའི་སེམས་ཅན་རྣམས་ཀྱི་དགེ་བ་ཡོངས་སུ་སྨིན་པའི་དབང་སྟེ། ||| They are the power of aspiration and the power of the complete ripening of the virtue of sentient beings to be tamed.
འཇམ་དཔལ་རྒྱུ་དེ་གཉིས་ཀྱིས་ན་དེ་བཞིན་གཤེགས་པའི་གཟུགས་ཀྱི་སྐུ་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ནོ། ། ||| Mañjuśrī, for these two reasons the form body of the Tathāgata is especially exalted.
འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པའི་གཟུགས་ཀྱི་སྐུ་ཁྱད་པར་དུ་འཕགས་པ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་ཆོས་བསྟན་པ་ཡང་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ནོ། ། ||| “Mañjuśrī, just as the form body of the Tathāgata is especially exalted, the Dharma taught is also especially exalted.
འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པའི་ཆོས་བསྟན་པ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་འོད་ཀྱང་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ནོ། ། ||| “Mañjuśrī, just as the Dharma taught by the Tathāgata, his light is also especially exalted.
འཇམ་དཔལ་ཇི་ལྟར་དེ་བཞིན་གཤེགས་པའི་འོད་ཁྱད་པར་དུ་འཕགས་པ་དེ་བཞིན་དུ་སྤྱོད་པ་ཡང་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ནོ། ། ||| “Mañjuśrī, just as the light of the Tathāgata is especially exalted, his conduct is also especially exalted.
འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པ་ནི་སྐུས་འཇིག་རྟེན་ཐམས་ཅད་དུ་ཁྱབ་པ་ཡིན་ཏེ། ||| “Mañjuśrī, the Tathāgata pervades the entire world with his body.
འཇམ་དཔལ་ཁ་དོག་དང་། དབྱིབས་དང་། སྤྱོད་པའི་བྱེ་བྲག་གང་དང་གང་གིས་སེམས་ཅན་རྣམས་འདུལ་བར་འགྱུར་བའི་ཁ་དོག་དང་། དབྱིབས་དང་། སྤྱོད་པའི་བྱེ་བྲག་དེ་དང་དེ་ལྟ་བུར་དེ་བཞིན་གཤེགས་པ་སེམས་ཅན་རྣམས་ཀྱིས་མཐོང་ངོ་། ། ||| “Mañjuśrī, whatever particular color, shape, or conduct will tame sentient beings, sentient beings will see the Tathāgata accordingly as having that particular color, shape, and conduct.
འཇམ་དཔལ་མཚན་གྱི་བྱེ་བྲག་གང་དང་གང་གིས་སེམས་ཅན་རྣམས་འདུལ་བར་འགྱུར་བའི་མཚན་གྱི་བྱེ་བྲག་དེ་དང་དེ་ལྟ་བུར་དེ་བཞིན་གཤེགས་པ་སེམས་ཅན་རྣམས་ཀྱིས་མཐོང་ངོ་། ། ||| “Mañjuśrī, whatever particular signs will tame sentient beings, sentient beings will see the Tathāgata accordingly as having those particular signs.
འཇམ་དཔལ་ཆོས་བསྟན་པ་གང་དང་གང་གིས་སེམས་ཅན་རྣམས་ཡོངས་སུ་སྨིན་པར་འགྱུར་བའི་ཆོས་བསྟན་པ་དེ་དང་དེ་ལྟ་བུར་དེ་བཞིན་གཤེགས་པ་ཆོས་བསྟན་པར་སེམས་ཅན་རྣམས་ཀྱིས་ཤེས་སོ། ། ||| “Mañjuśrī, whatever Dharma teachings will fully ripen sentient beings, sentient beings will understand the particular Dharma teachings of the Tathāgata to be Dharma teachings of that kind.
འཇམ་དཔལ་སྤྱོད་པ་གང་གིས་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་འཇུག་པ་དང་འདུལ་བར་འགྱུར་བའི་སྤྱོད་པ་དེ་དང་དེ་ལ་དེ་བཞིན་གཤེགས་པ་གནས་པར་སེམས་ཅན་རྣམས་ཀྱིས་མཐོང་ངོ་། ། ||| “Mañjuśrī, whatever conduct tames sentient beings and causes them to engage with the teachings of the Tathāgata, sentient beings will see the Tathāgata abiding by that conduct.
འཇམ་དཔལ་དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་བ་ཡང་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང་། ལྷ་དང་མི་རྣམས་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེའི་དོན་དང་། ཕན་པ་དང་བདེ་བའི་ཕྱིར་སྐྱེའོ། ། ||| “Mañjuśrī, in this way the tathāgata, arhat, perfect Buddha comes into the world, benefits and brings happiness to many beings, has love and affection for the world, and takes birth in order to help, benefit, and bring happiness to gods, humans, and the host of beings.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་འཇམ་དཔལ་སྟན་ལས་ལངས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then the bodhisattva Mañjuśrī rose from his seat and, approaching the Blessed One, pressed his palms together and said,
བཅོམ་ལྡན་འདས་བདག་གི་སྟོན་པ་མི་མཉམ་པ་དང་མཉམ་པ་དང་གང་ཟག་ཟླ་མེད་པ། ཁམས་གསུམ་ན་མགོན་པོའི་མཆོག་སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པར་མཛད་པ། འཇིག་རྟེན་གྱི་ཆོས་ཀྱིས་མི་བསྐྱོད་པ། ནམ་མཁའ་ལྟར་མི་གོས་པ། བསམ་གྱིས་མི་ཁྱབ་པ། བསམ་པར་འོས་པ། བལྟ་འདོད་པ། བལྟ་ན་སྡུག་པ་འདི་འདྲ་བ་ནི་བདག་གིས་རྙེད་པ་རབ་ཏུ་རྙེད་དོ། ། ||| “Blessed One—my unparalleled, matchless teacher, supreme protector in the three realms and benefactor for all sentient beings, unperturbed by worldly phenomena, unblemished like the sky, inconceivable, a worthy inspiration, desirable to behold, and beautiful to behold—I have truly found a great treasure!
བདེ་བར་གཤེགས་པ་རྙེད་པ་རབ་ཏུ་རྙེད་དོ། ། ||| Sugata, I have truly found a great treasure!”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དགའོ། ། ||| Youthful Mañjuśrī was overjoyed at what the Tathāgata had said.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་དང་། དགེ་སློང་དེ་དག་བཅོམ་ལྡན་འདས་ཀྱིས་བཤད་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| The bodhisattva great beings and the monks praised the words of the Blessed One.
འཕགས་པ་འཇམ་དཔལ་གྱིས་དྲིས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This completes the noble Mahāyāna sūtra “The Question of Mañjuśrī.”
