༄༅། །རྒྱ་གར་སྐད་དུ། པཉྩ་ཤིཀྵྱཱ་ནུ་སྃ་ས་སཱུ་ཏྲ། བོད་སྐད་དུ།
བསླབ་པ་ལྔའི་ཕན་ཡོན་གྱི་མདོ། འཕགས་པ་དཀོན་མཆོག་གསུམ་ལ་གུས་པས་ཕྱག་འཚལ་ལོ། ། ||| The Sūtra on The Benefits of the Five Precepts Homage, with devotion, to the noble Three Jewels.
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རི་ནག་བརྩེགས་པ་མཉམ་ཞིང་མཐོ། །ཤིང་ནི་ཚེར་མར་བཅས་པ་དང་། ། ||| For that reason, the Bhagavān has said: “Tall like the summits of the Kālaparvata mountains, The trees in this forest have thorns.
ལྕགས་ཀྱི་ཚེར་མ་རྣོན་པོ་ཡིས། །འཇིག་རྟེན་མི་ལ་བདེ་བ་མེད། ། ||| In a world of sharp iron thorns, There is no comfort for a human.
ཤིང་གི་རྩེ་མོར་གནས་པ་ཡི། །དུས་ཀྱི་ཆུང་མས་ཅི་ཞིག་བྱ། ། ||| “What is the use of a temporary partner now, When stuck on the tips of those trees?”
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགེ་སློང་དག་འདོད་པ་རྣམས་ལ་ལོག་པར་གཡེམ་པ་ནི། སྦྲུལ་དུག་ཅན་དང་འདྲ་བར་བལྟ་བར་བྱའོ། ། ||| For that reason, the Bhagavān has said, “Monks, sexual misconduct toward what you desire should be regarded as being like a venomous snake.
དམྱལ་བར་འཇུག་པ་དང་། ཡི་དགས་ཀྱི་ཡུལ་དུ་འཇུག་པ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་སུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| It leads to rebirth in the hells, in the realm of ghosts, and as animals.
གང་ཞིག་འདོད་པ་རྣམས་ལ་ལོག་པར་གཡེམ་པའི་རྣམ་པར་སྨིན་པ་ནི་ཤིན་ཏུ་ཆེན་པོའོ། ། ||| The karmic fruition for anyone who commits sexual misconduct is very grave.
དེ་མིར་སྐྱེས་ཀྱང་སྡུག་བསྔལ་ཆེན་པོ་མྱོང་བར་འགྱུར་རོ། ། ||| Even if reborn as a human, they will experience great suffering.”
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། སྐྱེ་བ་ལྔ་བརྒྱར་བུད་མེད་འགྱུར། །དེ་བཞིན་དུ་ནི་མ་ནིང་འགྱུར། ། ||| For that reason, the Bhagavān has said: “For five hundred lives, they will be reborn as women, And likewise as paṇḍakas.
སྐྱུག་བྲོའི་མཛེ་ཅན་ཡང་ཡང་འགྱུར། ། ||| Again and again, they will be repugnant lepers.
ལོག་པར་གཡེམ་པའི་ཉེས་པའོ། ། ||| These are the harms that ensue from from sexual misconduct.
སྐྱེ་བ་དུ་མར་ཉེ་བར་འཚེ་བ་དང་། ||| “They will experience misfortune over many lifetimes.
དགྲ་མང་བར་འགྱུར་བ་དང་། མི་མཛའ་བ་དང་རྟག་ཏུ་ལྷན་ཅིག་ཏུ་གནས་པར་འགྱུར་བ་དང་། ||| They will have many enemies and will always be among hostile people.
ཉལ་བ་དང་ལྡང་བའི་ཚེ་སྡུག་བསྔལ་དང་བཅས་པ་དང་། ||| Whether sleeping or rising, they will be uncomfortable.
དུས་རྟག་ཏུ་ཁྲོ་བ་དང་། ||| They will be constantly angry.
མིས་གནོད་པར་བྱེད་པ་དང་། ||| They will be disturbed by people.
རྟག་ཏུ་ལུས་སྒུར་བར་འགྱུར་བ་དང་། འོན་པ་དང་། ||| Their bodies will always be hunched.
སྐྱེ་བ་ནས་སྐྱེ་བར་དམུས་ལོང་ལ་སོགས་པར་སྐྱེ་བར་འགྱུར། ||| From rebirth to rebirth they will be born deaf and blind and so on.
རྣམ་པར་འགྱུར་བར་ངེས་པ་དང་། ||| Change for the worse will be certain.
རྟག་ཏུ་སེམས་མི་དགའ་བར་འགྱུར་བ་དང་། ||| They will always be dissatisfied.
ཕན་ཚུན་དུ་འཐབ་པ་ལ་དགའ་བ་དང་། ||| They will delight in mutual conflict.
དགའ་བའི་སེམས་དང་འབྲལ་བར་འགྱུར་རོ། ། ||| They will be bereft of faith.
དེ་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་ངུ་འབོད་ཆེན་པོའི་དམྱལ་བར་ལྟུང་ཞིང་སྐྱེ་བར་འགྱུར་རོ། ། ||| “After the destruction of the body, after death, they will fall and be reborn in the Loud Wailing Hell.
དེར་ཡང་དེ་ལ་སྡུག་བསྔལ་དྲག་པ་དང་། རྩུབ་པ་དང་། ཚ་བ་ཉམས་སུ་མྱོང་བར་འགྱུར། ||| There, they will experience terrible, harsh, and intense suffering.”
འདོད་པས་ལོག་པར་གཡེམ་པའི་རྣམ་པར་སྨིན་པའོ། །ལོག་པར་གཡེམ་པ་སྤངས་པ་ཡི། ། ||| This is the karmic fruition of sexual misconduct.
སྐྱེས་པའམ་ནི་བུད་མེད་ཀྱིས། །ཐོབ་པར་འགྱུར་ཏེ་ཕན་ཡོན་ནི། །ཡོན་ཏན་ཉི་ཤུ་མི་དམན་པར། །དེ་ལ་དགྲ་ནི་མེད་པ་དང་། །འཇིག་རྟེན་ཐམས་ཅད་དགའ་བ་དང་། ། ||| “Those who refrain from sexual misconduct Will obtain rebirth as a man or a woman And the benefits they reap will be The full twenty of these qualities: “They will have no enemies, And the whole world will rejoice in them.
བཟའ་དང་བཏུང་བ་རྙེད་པར་སླ། །གོས་དང་སྟན་དང་གནས་རྣམས་དང་། ། ||| They will easily obtain food and drink, Clothing, a bed, and a dwelling.
བདེ་བར་ཉལ་དང་བདེ་བར་འདུག །དེ་ནི་བདེ་བར་ལྡང་བ་དང་། ། ||| “They will sleep well, stay well, And rise well.
ངན་སོང་འཇིགས་ལས་རྣམ་པར་གྲོལ། ། ||| They will be completely free from the fear Of bad rebirth.
མྱ་ངན་མེད་དང་འཇིགས་པའང་མེད། །ནད་རྣམས་ཐམས་ཅད་དེ་ལ་མེད། ། ||| “They will have no sorrow or fear, Nor any illnesses.
མ་ནིང་བུད་མེད་དུ་མི་སྐྱེ། ། ||| They will not be reborn as a paṇḍaka Or as a woman.
ཅུང་ཟད་གང་ནི་དོན་གཉེར་འདོད། །དེ་ཡི་འདོད་པ་གྲུབ་པར་འགྱུར། ། ||| “Whatever they really want, however small, Will be obtained.
ཕན་ཚུན་དུ་ནི་མཛའ་བ་མང་། །གཞན་ནི་མི་དགའ་དེ་ལ་མེད། ། ||| They will enjoy many mutual friendships, And no one will bear them ill will.
དབང་པོ་ཀུན་ནི་ཚང་བ་དང་། །དགེ་བའི་མཚན་ཉིད་ཡང་དག་ལྡན། ། ||| “They will have unimpaired sense faculties And will possess the perfect marks of virtue.
མི་བཟོད་ཆུང་དང་དོགས་པ་མེད། །སྐྱེས་པ་བུད་མེད་དོགས་མེད་དོ། ། ||| They will not be impatient, nor doubtful, And will be trusted by men and women.
ལོག་པར་གཡེམ་པ་སྤངས་པ་ཡི། །སྐྱེས་པ་འམ་ནི་བུད་མེད་ཀྱིས། །ཕན་ཡོན་འདི་ནི་མྱོང་བར་འགྱུར། །ལྷ་འམ་ཡང་ན་མི་རྣམས་ཀྱིས། ། ||| “A man or a woman, By refraining from sexual misconduct, Will experience these benefits As a deva or as a human.
དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་མཐོ་རིས་དང་ལྷའི་འཇིག་རྟེན་དུ་བདེ་འགྲོར་སྐྱེ་བར་འགྱུར་རོ། ། ||| “After the destruction of the body, after death, they will be reborn in a happy rebirth-destiny, in heaven, in a deva world.
གང་ཞིག་སྐྱེས་པ་འདོད་པ་ཡིས། །སྐྱེ་བ་ཡང་དང་ཡང་དུ་ནི། །བུད་མེད་གཞན་ལ་འགྲོ་མི་བྱ། །སེམས་ཀྱི་དྲི་མ་བཀྲུ་བའོ། །བུད་མེད་གང་ཞིག་གི་གྱོས་སྒྱུག་ལ་ཉེ་བར་མི་བསྙེན་པ་དང་། རང་གི་ཁྱོ་ལ་ཉེ་བར་མི་བསྙེན་པ་དང་། ||| “Any man who is driven by desire, In rebirth after rebirth, Should not go after other women But cleanse his mental stain instead.”
རང་གི་ཁྱོ་ལ་མི་བརྩི་བ་དང་། རང་གི་ཁྱོའི་ཕུ་བོ་ལ་མི་འདུད་པ་དང་། རང་གི་ཁྱོའི་སྲིང་མོ་རྣམས་ལ་གནོད་པར་བྱེད་པ་དང་། གཞན་ཡང་ལག་པ་དང་། རྐང་པ་དང་། རྒྱབ་ལ་ལས་སུ་བྱ་བ་མི་བྱེད་པ་དང་། བཟའ་བ་དང་བཏུང་བ་གང་འདོད་པ་མི་སྟེར་བ་དང་། དེ་རྣམས་ལ་ངོ་ཚ་དང་ཁྲེལ་དུ་མི་བྱེད་པ་དང་། ||| “Any woman who does not fully serve her parents-in-law and does not fully serve her husband, who does not care for her husband, who is not respectful toward her husband’s elder brother, who causes trouble for her husband’s sisters, and who moreover does not put her arms, legs, and back into her work and does not give them the food and drink they want, is not modest and humble toward them, and criticizes her husband and recites texts at him will be reborn in hell.
རང་གི་ཁྱོ་བོ་ལ་ཀློག་པར་བྱེད་པ་དང་། སྐུར་པ་བཏབ་ན་དམྱལ་བར་སྐྱེ་བར་འགྱུར་རོ། །ལྕགས་བསྲེགས་ཀྱི་ས་གཞིའི་སྟེང་དུ་ཉལ་བ་དང་། ||| There she will sleep on a floor of burning iron.
འབར་བའི་ལྕགས་ཀྱུ་ཁ་རུ་བཅུག་ནས་མཆིལ་པའི་ཉ་ལ་བྱ་བ་བཞིན་དུ། ལྕེའི་རྩེ་མོ་ཕྱི་རོལ་དུ་ཕྱུང་སྟེ། ཐག་པས་བཅིངས་ནས་ཕྱི་རོལ་དུ་འདོན་ཏོ། ། ||| A flaming iron hook will be inserted into her mouth, as if hooking a fish, and the tip of her tongue will be drawn forth, tied with a rope, and pulled out.
དེ་ལྟར་ཕྱི་རོལ་དུ་བཏོན་པ་ལ། ལྕེའི་རྩེ་མོ་ལ་མཚོན་ཆས་བརྒྱབ་ནས་བརྒྱབ་པའི་གནས་སུ་མཆུ་རང་ལ་སྐྱེས་པའི་སྲིན་བུ་ཆེན་པོས་ཟའོ། ། ||| After it is pulled it out like that, a big worm, born in the lips at the place where the weapon struck the tip of the tongue, will eat the tongue.
དེ་ལྟར་ཟོས་པས་ཅུང་ཟད་ཀྱང་སྨྲ་བར་མི་ནུས་སོ། ། ||| Even after it eats only a little, she will be unable to speak.
དེ་ལྟར་དེ་ནི་དེ་ལ་ལོ་སྟོང་ཕྲག་དུ་མར་འཚེད་པར་འགྱུར་རོ། །བཙོས་ནས་ཡང་དམྱལ་བ་ཆེན་པོར་ལྷུང་བར་འགྱུར་རོ། ། ||| Similarly, she will be cooked there for many thousands of years, and after being cooked there she will fall again into a great hell.”
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གང་ཞིག་བུད་མེད་སྐྱེས་པ་འདོད། །སྐྱེ་བ་སྐྱེ་བར་ཡང་དང་ཡང་། །ལྷ་དང་ལྷ་མོ་ཇི་བཞིན་དུ། །རང་གི་ཁྱོ་ནི་སྤང་མི་བྱ། ། ||| For that reason, the Bhagavān has said: “Any woman who desires a man, In rebirth after rebirth, Like a goddess to a god, Should never abandon her husband.”
བརྫུན་དུ་སྨྲས་པས་སླར་ཡང་ཐིག་ནག་ཏུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| “Lying, in turn, leads to rebirth in the Black Thread Hell.
དེར་ཡང་དམྱལ་བའི་སྲུང་མ་རྣམས་ཀྱིས་སྒྲ་ཆེན་པོའི་ཚིག་སྒྲོགས་ཤིང་། མཚོན་ཆ་འབར་བ་སྣ་ཚོགས་པ་བླངས་ནས་ལྕགས་བསྲེགས་ཀྱི་ས་གཞི་ལ་དམྱལ་བའི་སེམས་ཅན་གཅིག་གིས་གཅིག་འདྲུད་པ་དང་། འབར་བའི་ཐིག་ནག་པོས་འདེབས་པ་དང་། ||| There, the guardians of that hell, shouting and bellowing and bearing a variety of blazing weapons, drag hell beings one by one onto a floor of burning iron and mark them with burning black thread.
འབར་བའི་མཚོན་ཆ་བཟུང་ནས་ཡང་དག་པར་བསྒྱུར་བ་དང་། ཞིབ་མས་འཚག་པ་བཞིན་དུ་སྟེའུ་དང་དགྲ་སྟས་འཇོག་པ་དང་། དེ་རྣམས་ཀྱིས་སྒྲ་ཆེན་པོ་སྒྲོགས་ཏེ་ངུ་ཞིང་གནས་སོ། ། ||| Then, holding blazing weapons, they thoroughly transform them as if separating grain from chaff with a winnowing basket, but using hatchets and axes, leaving them screaming and wailing.
རང་གི་ཁྲག་འཐུང་ཞིང་ནང་དུ་དེར་གནས་པ་དེ་ཐིག་ནག་སྟེ་བརྫུན་དུ་སྨྲས་པས་སྐྱེའོ། ། ||| It is in this Black Thread Hell, drinking one’s own blood, that one is reborn because of telling lies.
དེར་སྡུག་བསྔལ་དྲག་པ་དང་། རྩུབ་པ་དང་། ||| Here, one will experience terrible, harsh, and intense suffering.
ཚ་བའི་ཚོར་བ་མྱོང་བར་འགྱུར་རོ། །དགེ་སློང་དག་བརྫུན་དུ་སྨྲ་བ་ནི་སྦྲུལ་དུག་ཅན་དང་འདྲ་བར་ཡིད་ལ་བྱའོ། ། ||| “Monks, you should keep in mind that lying is like a venomous snake.
དེས་སྡུག་བསྔལ་མང་པོ་བྱེད་དོ། །དམྱལ་བར་འཇུག་པ་དང་། ཡི་དགས་ཀྱི་ཡུལ་དུ་འཇུག་པ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་སུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| It produces great suffering and leads to rebirth in the hells, in the realm of ghosts, and as animals.
གང་ཞིག་བརྫུན་དུ་སྨྲ་བ་ནི་རྣམ་པར་སྨིན་པ་ཆེན་པོའོ། ། ||| The karmic fruition for anyone who lies is grave.
དེ་མིར་སྐྱེས་ཀྱང་སྙིང་རྗེ་མེད་པ་དང་། ||| Even if reborn as a human, they will be without compassion.
སྐད་བྱ་རོག་གི་དང་འདྲ་བ་དང་། ||| They will have a voice like a crow.
ལྕེ་མི་བདེ་བ་དང་། ||| They will be poor at speaking.
སོ་ལ་སྲིན་འབྱུང་བ་དང་། ཁ་དྲི་མི་ཞིམ་པ་དང་། སོ་མི་སྙོམས་པ་དང་། ||| They will have tooth decay, bad breath, and crooked teeth.
ཚིག་རྩུབ་པ་དང་། གྲེ་བ་འཛེར་བ་དང་། ||| Their words will be rough and their voice hoarse.
མཆུ་མི་བདེ་བ་དང་། ||| They will have bad lips.
ཕྲག་དོག་དང་བཅས་པ་དང་། རྟག་ཏུ་སྲེད་པ་དང་ལྡན་པ་དང་། ||| They will be jealous and have insatiable cravings.
དེ་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་ཐིག་ནག་ཏུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| And after the destruction of their body, after death, they will be reborn in the Black Thread Hell.”
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཁ་ནས་རྣག་གི་དྲི་ལྡང་ཞིང་། །དཔག་ཚད་གཅིག་ཏུ་དྲི་ངན་འགྲོ། ། ||| For that reason, the Bhagavān has said: “A putrid stench arises from their mouths, The bad smell spreading for a yojana.
ཆོས་ནི་ཤེས་པར་མི་འགྱུར་བ། ། ||| They will not know the Dharma.
བརྫུན་དུ་སྨྲས་པའི་ཉེས་པའོ། ། ||| These are the harms that ensue from having lied.”
བརྫུན་དུ་སྨྲས་པའི་རྣམ་པར་སྨིན་པའོ། ། ||| This is the karmic fruition of lying.
བརྫུན་དུ་སྨྲ་བ་སྤངས་པ་ཡིས། །སྐྱེས་པའམ་ནི་བུད་མེད་ནི། །ཐོབ་པར་འགྱུར་ཏེ་ཕན་ཡོན་ནི། །སུམ་ཅུ་རྩ་གསུམ་མི་ཉུང་བའི། །མིག་དང་རྣ་བ་སྣ་དང་ནི། ། ||| “Those who refrain from lying Will obtain rebirth as a man or a woman And the benefits they reap will be The full thirty-three of these: “Their eyes, ears, and noses, Tongues, bodies, and minds, too, Will be perfect, Like the anthers of a lotus flower.
ལྕེ་དང་ལུས་དང་དེ་བཞིན་ཡིད། །དེ་ལ་རྣམ་པར་དག་པར་འགྱུར། །པད་མའི་ཟེ་འབྲུ་ལྟར་མཚུངས་སོ། །མིག་དང་སོ་ནི་མཉམ་པ་དང་། ། ||| “Their eyes and teeth will be symmetrical.
ལུས་ནི་མི་རིང་མི་ཐུང་ལ། །ཧ་ཅང་སྦོམ་དང་ཕྲ་བ་མིན། ། ||| They will be neither too tall nor too short, Neither too fat nor too thin.
འདི་ལྟར་ལེགས་པར་བཤད་པའི་ཚིག ། ||| Their speech will be articulate.
ཇི་ལྟར་ཨུད་པ་ལ་ཡི་དྲི། །རྟག་ཏུ་ཀུན་ད་ཁ་ཡི་དྲི། ། ||| “Their breath will always be scented like jasmine, Or like the blue lotus flower.
གཡོག་རྣམས་ཐམས་ཅད་བསྙེན་བཀུར་འགྱུར། །མཆོད་པར་འོས་པའི་ཚིག་གིས་སོ། ། ||| Servants will all respect and obey them, And their utterances will be worthy of veneration.
ཆོས་རྣམས་ཀུན་ལ་མཁས་པ་དང་། །དོན་དང་ཚིག་འབྲུ་རྣམ་པར་མཁས། །སེམས་ཀྱི་རྟོག་ལ་ཞུམ་པ་མེད། ། ||| “They will be adept in all things, Thoroughly learned in words and their meanings, And dauntless in the face of doubt.
རྟག་ཏུ་ཁྱད་པར་འཕགས་པའི་ཚིག །བརྫུན་དུ་སྨྲ་བ་སྤངས་པ་ཡིས། །སྐྱེས་པ་འམ་ནི་བུད་མེད་ཀྱིས། །ཕན་ཡོན་འདི་ནི་མྱོང་བར་འགྱུར། །ལྷ་དང་མི་རུ་སྐྱེས་པ་ན། ||| “A man or woman, By refraining from lying, Will experience these benefits As a deva or as a human.
དེའི་ལུས་ཞིག་ནས་ཤི་བའི་ཕ་རོལ་དུ་བདེ་འགྲོ་ལྷའི་འཇིག་རྟེན་དང་མཐོ་རིས་སུ་སྐྱེའོ། ། ||| “After the destruction of the body, after death, they will be reborn in a happy rebirth-destiny, in a deva world, in heaven.
བརྫུན་དུ་སྨྲ་བ་ཞེས་བྱ་བ་ནི་ཁ་ན་མ་ཐོ་བ་དང་བཅས་པའོ། ། ||| “That which is called lying is reprehensible.
འདོད་པའི་དོན་རྣམས་ལ་རིགས་ཀྱི་བུས་མི་བྱ་བ་ཉིད་དོ། ། ||| Sons of good family should refrain from pursuing the objects of their desire.
བདེན་པ་དང་ལེགས་པའི་བཅུད་རྣམས་དེ་ལྟ་བུ་ནི་བླང་བར་བྱའོ། ། ||| Instead they should extract the essence of that which is true and good.
བརྫུན་དུ་སྨྲ་བ་ཞེས་བྱ་བ་དོན་མེད་པར་བྱེད་པའོ། ། ||| That which is called speaking falsehoods serves no purpose.
འཇིག་རྟེན་སླུ་བར་བྱེད་དོ། །སྐྱེ་བ་གཞན་དུ་མར་མནར་མེད་པའི་དམྱལ་བར་སྐྱེ་བར་འགྱུར་རོ། ། ||| It deceives the world and leads to rebirth in the Hell of Incessant Torture for many future lives.
དེའི་ཕྱིར་འཚོ་བའི་སླད་དུ་བརྫུན་དུ་སྨྲ་བར་མི་བྱའོ། ། ||| Therefore, one should not lie for the sake of one’s livelihood.
ཐམས་ཅད་མཁྱེན་པ་སངས་རྒྱས། བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་དང་བཅས་པའི་དུས་ནའང་ཕྲ་མ་ནི། ཡུང་བའི་ཁ་དོག་ལྟར་ཡུན་རིང་པོར་མི་གནས་སོ། །ཕུབ་མའི་ཕུང་པོའི་སྟེང་དུ་ཕུར་པ་བཙུགས་ན་ཡུན་རིང་དུ་མི་གནས་པ་བཞིན་ནོ། །རྟའི་རྒྱབ་ཏུ་ཤིང་ཐོག་རིལ་བུ་བཞག་ན་ཡུན་རིང་དུ་མི་གནས་པ་བཞིན་དུ། ||| Even at such times as when the omniscient one, the Buddha, the Bodhisattva, is concealed, divisive speech, like the color of turmeric, does not last long; like a dagger planted in a heap of chaff, it does not last long; and like a round fruit placed on the back of a horse, it does not last long.
སྨྲས་པའི་ཚིག་ལ་རལ་གྲིས་སྐེ་འབྲེག་པའི་ཚེ་ཚིག་གཉིས་མི་སྨྲ་བ་བཞིན་ནོ། ། ||| So, too, when a word spoken is cut short by a sword, two words will not be uttered.
བདེན་པ་ཡུན་རིང་པོར་སྨྲས་པས་དགེ་སྦྱོང་དང་བྲམ་ཟེས་ཕ་རོལ་དུ་སྒྲོལ་བར་བྱེད་དོ། ། ||| But, by speaking the truth over a long period of time, ascetics and brahmins reach liberation after they die.
ཆང་འཐུངས་པ་ནི་ཚ་བའི་དམྱལ་བར་ལྟུང་ཞིང་སྐྱེ་བར་འགྱུར་རོ། ། ||| “Drinking alcohol leads to falling into and being reborn in the Burning Hell.
དེར་ལྷུང་བའི་སེམས་ཅན་ནི་ལོ་སྟོང་ཕྲག་མང་པོར་འཚེད་པར་འགྱུར་རོ། ། ||| Beings who have fallen into this hell will be cooked for many thousands of years.
དེ་ནས་ཕྱིར་ཕྱུང་ནས་ཆུ་བོ་རབ་མེད་ཀྱི་ངོགས་སུ་སྐྱུར་བར་བྱེད་དོ། ། ||| After that, they are discarded on the bank of Vaitaraṇī River.
གང་དུའང་འགྲོ་ས་མེད་པར་ཡང་དང་ཡང་དུ་སྐྱལ་བར་བྱེད་དོ། །དེར་དམྱལ་བའི་སྲུང་མ་རྣམས་ཀྱིས་མཆིལ་པས་ཉ་འདོན་པ་ལྟར། ལྕགས་བསྲེགས་ཀྱི་ས་གཞི་ལ་རྡེབས་པར་བྱེད་དོ། །འདི་ལྟར་སྒྲོགས་ཏེ། ཀྱེ་སྐྱེས་བུ་ཁྱོད་ཅི་འདོད། ཇོ་བོ་སྐོམ་མོ། ། ||| With no way across, they try again and again to swim, whereupon the guards of that hell will pull them out with hooks, like fish, and toss them down on the ground of burning iron and bellow, ‘Oi, what do you want?’
དམྱལ་བའི་སྲུང་མ་དེས་ལྕགས་འབར་བའི་ལྕགས་ཀྱུས་ཁ་ཕྱེ་སྟེ་ལྕགས་བཞུ་བའི་ཁུ་བ་ལྡུགས་པར་བྱེད་དོ། །དེ་ལ་དེ་ཡི་མཆུ་སྲེག་གོ། ། ||| ‘Lord, I am parched,’ the beings will reply, and the guardians of that hell will rip open their mouths with red-hot iron hooks and pour molten iron into their gaping mouths.
མགྲིན་པ་ཡང་སྲེག་གོ། ། ||| First, their lips and throats will be scorched.
བྲང་སྲེག་གོ། །རྒྱུ་མ་སྲེག་གོ། །སྙིང་ཡང་སྲེག་གོ། །བཤང་ལམ་ན་མར་འཐོན་པར་བྱེད་དོ། ། ||| Next their chests burn, then their bowels, and their hearts will burn, too, until the molten iron forces its way out through the anus.
དེ་རྣམས་ཀྱིས་སྡུག་བསྔལ་མྱོང་བར་བྱེད་ཅིང་། ངུ་ལ་འགྲེ་བར་བྱེད་དོ། ། ||| Such are the torments they are made to experience, weeping and rolling on the floor in pain.
དེའི་དུས་སུ་ཡང་འཆི་བར་ནི་མི་འགྱུར་ཏེ། ||| However, even then they will not die.
ཇི་སྲིད་ཀྱི་བར་དུ་སྡིག་པའི་ལས་ཀྱི་འབྲས་བུ་མྱོང་བར་བྱེད་དོ། །དེ་སྲིད་དུ་དེ་རྣམས་ཀྱིས་རྣམ་པར་སྨིན་པའི་ཚོར་བ་མྱོང་བར་བྱེད་དོ། ། ||| They will experience these sensations, the karmic ripening of their actions, for as long as the fruits of their negative actions last.”
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཚ་ཞིང་རྩུབ་པའི་ཆུ་བོ་ནི། །རབ་མེད་ཤིན་ཏུ་བགྲོད་པར་དཀའ། །ལྕགས་ཀྱི་པད་མའི་འདབ་མ་རྣམས། །འདབ་མ་རྣོ་བའི་སྟེང་དུ་འགྲེ། ། ||| For that reason, the Bhagavān has said: “The caustic and rough river Vaitaraṇī, Without a ford, is very difficult to cross; With its petals of iron lotuses Rocking on sharp leaves— How can those who do not follow the Dharma Ever hope to traverse the bottomless Vaitaraṇī River?
ཆུ་བོ་རབ་མེད་གཞི་མེད་པར། །ཆོས་མིན་ཇི་ལྟར་སྤྱོད་པར་འགྱུར། །གང་ཞིག་ཆང་འཐུང་བ་དེ་ནི་སྡིག་པ་ཆུང་བ་མ་ཡིན་ནོ། ། ||| “For someone to drink alcohol is not a small misdeed.
དེ་མིར་གྱུར་ཀྱང་རྟག་ཏུ་བརྗེད་ངས་པ་དང་། ལུག་ལྟར་ལྐུགས་པ་དང་། ཤེས་རབ་འཆལ་པ་དང་། ||| Even if they are reborn as a human, they will always be absent-minded and as dull, stupid, and unaware as a sheep.
རིག་པ་མི་ཤེས་པ་དང་། རྟག་ཏུ་གཉིད་དུ་འགྲོ་བ་དང་། བློ་གྲོས་དམན་པ་དང་། གཏི་མུག་ཆེ་བ་དང་། ||| Constantly falling asleep, they will be of low intelligence and very ignorant.
འཇིགས་པ་དང་། སྐྲག་པར་འགྱུར་བ་དང་། དོགས་པར་འགྱུར་བ་དང་། ཕྲ་མ་ཅན་དང་། ཚིག་མི་བརྟན་པ་དང་། སེར་སྣ་ཅན་དང་། ||| They will be scared and fearful, doubtful, divisive, untrustworthy, miserly, envious, and without renunciation.
ཕྲག་དོག་ཅན་དང་། ངེས་པར་མི་འབྱུང་བ་དང་། ངོ་ཚ་མེད་པ་དང་། ཁྲེལ་མེད་པ་དང་། ཤེས་རབ་ཆུང་བ་དང་། ||| They will be without shame, with no sense of decency, and will have poor discernment.
དགེ་བའི་ཆོས་རྣམས་མི་རིག་པ་སྟེ། སྐྱེ་བ་ལྔ་བརྒྱར་གནོད་སྦྱིན་སྐྱེ། །སྐྱེ་བ་ལྔ་བརྒྱར་ཁྱི་དང་ནི། །མཐའ་ཡས་སྨྱོན་པར་སྐྱེ་བར་འགྱུར། ། ||| They will be unaware of virtuous qualities, and for five hundred lives they will be reborn as yakṣas, for another five hundred as dogs, and they will forever thereafter be reborn as lunatics.
ཆང་འཐུངས་པ་ཡི་ཉེས་པའོ། །མྱོས་པར་འགྱུར་བའི་ཆང་གི་བཏུང་བའི་རྣམ་པར་སྨིན་པའོ། །ཆང་འཐུང་བ་ནི་སྤངས་པ་ཡིས། །སྐྱེས་པ་འམ་ནི་བུད་མེད་ནི། ། ||| These are the harms that ensue from having consumed alcohol.
ཐོབ་སྟེ་དེ་ཡི་ཕན་ཡོན་ནི། ། ||| This is the karmic fruition of drinking alcohol that leads to intoxication.
སུམ་ཅུ་རྩ་དྲུག་མི་དམན་པར། །འདས་དང་མ་འོངས་པ་ཡི་དུས། །ད་ལྟར་བྱུང་བ་ཅུང་ཟད་དུ། །མྱུར་དུ་ཤེས་པར་འགྱུར་བ་དང་། །རྟག་ཏུ་དྲན་པ་གནས་པ་དང་། ། ||| “Those who refrain from drinking alcohol Will be reborn as a man or a woman And the benefits they then will reap Will be the full thirty-six of these: “They will quickly become aware Of the past and the future, And the fleeting present too, And they will always remain mindful.
དེ་ནི་སྨྱོ་བར་མི་འགྱུར་ཞིང་། །ཁྱད་པར་འཕགས་པའི་ཤེས་རབ་དང་། ། ||| “They will not be insane— In particular, they will have noble insight.
མི་རྨོངས་པ་དང་བག་ཡོད་དང་། །ཚིག་ནི་ཤིན་ཏུ་གསལ་བ་དང་། ། ||| With minds unclouded and vigilant, They will express themselves clearly.
