༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
།རྣམ་པར་དག་པའི་སེམས་དང་ལྡན་པ་ཁྱེད། ||| You, who have pure minds, should come
།ཆོས་ཀྱི་དམ་པ་མཉན་པའི་ཕྱིར་ཤོག་ཤིག །ཆོས་སྣང་བའི་སྒོའི་ལེའུ་སྟེ། བཞི་པའོ།། །། ||| And listen to the true Dharma.” This concludes the fourth chapter, on the gateways to the light of the Dharma.
དགེ་སློང་དག་དེ་ལྟར་བྱང་ཆུབ་སེམས་དཔས་ལྷའི་འཁོར་ཆེན་པོ་དེ་དག་ལ་ཆོས་ཀྱི་གཏམ་འདི་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་དགའ་བར་བྱས། བཟོད་པར་བྱས་ནས། ||| Monks, in that way the Bodhisattva taught this Dharma discourse to the large congregation of gods, instructed them, inspired them, delighted them, and caused them to be receptive.
ལྷའི་འཁོར་བཀྲ་ཤིས་དང་ལྡན་པ་རྣམས་ལ་སྨྲས་པ། ||| He then said to that assembly of fortunate gods:
གྲོགས་པོ་དག་ཁོ་བོ་ནི་འཛམ་བུའི་གླིང་དུ་འགྲོའོ། ||| “Friends, I will now proceed to Jambudvīpa.
།ཁོ་བོ་སྔོན་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པའི་ཚེ། སེམས་ཅན་རྣམས་བསྡུ་བའི་དངོས་པོ་སྦྱིན་པ་དང་། སྙན་པར་སྨྲ་བ་དང་། དོན་སྤྱད་པ་དང་། དོན་འཐུན་པར་བྱ་བ་བཞི་ལ་མགྲོན་དུ་བོས་ལ། ||| In the past when I practiced the conduct of a bodhisattva, I attracted sentient beings through the four activities of giving, pleasant speech, beneficial activity, and demonstrating consistency in speech and aims.
གྲོགས་པོ་དག་ད་ཁོ་བོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་མི་རྒྱ་བར་འདུག་པ་དེ་ནི་ཁོ་བོས་བྱས་པ་མ་ཤེས་ཤིང་རིགས་པ་མ་ཡིན་པར་འགྱུར་རོ། ||| But friends, I would be acting without gratitude, and it would be inappropriate, if I were not now to achieve unexcelled, perfect, and complete awakening.”
།དེ་ནས་དགའ་ལྡན་གྱི་རིས་ཀྱི་ལྷའི་བུ་དེ་དག་ངུ་ཞིང་བྱང་ཆུབ་སེམས་དཔའི་རྐང་པ་གཉིས་ལ་འཇུས་ཏེ། འདི་སྐད་ཅེས་འཛེར་ཏོ། ||| Hearing that, the gods of the Heaven of Joy wept and embraced the feet of the Bodhisattva.
།སྐྱེས་བུ་དམ་པ་ཁྱོད་མི་བཞུགས་ན་དགའ་ལྡན་གྱི་གནས་འདི་མཛེས་པར་མི་འགྱུར་རོ། ||| They said, “Virtuous One, without you, this Heaven of Joy will lose its splendor.”
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་ལྷའི་འཁོར་ཆེན་པོ་དེ་དག་ལ་འདི་སྐད་དུ་བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པ་འདི་ཁྱེད་ལ་ཆོས་སྟོན་པར་འགྱུར་རོ་ཞེས་དེ་སྐད་སྨྲས་ཏེ། དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་རང་གི་མགོ་ལས་ཐོད་དང་ཅོད་པན་ཕོག་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པའི་མགོ་ལ་བཞག་ནས་འདི་སྐད་དུ། སྐྱེས་བུ་དམ་པ་ཁྱོད་ནི་ངའི་འོག་ཏུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| To this, the Bodhisattva replied to the great retinue of gods, “The bodhisattva Maitreya will teach you the Dharma.” He then took the crown from his own head and placed it on the head of the bodhisattva Maitreya, saying, “You, virtuous one, shall awaken to perfect and complete buddhahood after me.”
ཞེས་དེ་སྐད་སྨྲས་ཏེ། དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པ་དགའ་ལྡན་གྱི་གནས་དམ་པར་དབང་བསྐུར་ནས། ||| Thus it was that the Bodhisattva enthroned the bodhisattva Maitreya in the Heaven of Joy.
ཡང་ལྷའི་འཁོར་ཆེན་པོ་དེ་དག་ལ་སྨྲས་པ། གྲོགས་པོ་དག་ཁོ་བོས་ཇི་ལྟ་བུའི་གཟུགས་ཀྱིས་མའི་མངལ་དུ་འགྲོ་བར་བྱ། ||| Then he again spoke to the great retinue of gods: “Friends, in what form should I enter the womb of a mother?”
དེ་ལ་ཁ་ཅིག་ན་རེ་བྲམ་ཟེའི་ཁྱེའུའི་གཟུགས་སུ་གཤེགས་པའི་རིགས་སོ་ཞེས་ཟེར་རོ། །ལ་ལ་ན་རེ་བརྒྱ་བྱིན་གྱི་གཟུགས་སུ། ལ་ལ་ན་རེ་ཚངས་པའི་གཟུགས་སུ། ལ་ལ་ན་རེ་རྒྱལ་པོ་ཆེན་པོའི་གཟུགས་སུ། ལ་ལ་ན་རེ་རྣམ་ཐོས་ཀྱི་བུའི་གཟུགས་སུ། ལ་ལ་ན་རེ་སྒྲ་གཅན་གྱི་གཟུགས་སུ། ལ་ལ་ན་རེ་དྲི་ཟའི་གཟུགས་སུ། ལ་ལ་ན་རེ་མིའམ་ཅིའི་གཟུགས་སུ། ལ་ལ་ན་རེ་ལྟོ་འཕྱེ་ཆེན་པོའི་གཟུགས་སུ། ལ་ལ་ན་རེ་དབང་ཕྱུག་ཆེན་པོའི་གཟུགས་སུ། ལ་ལ་ན་རེ་ཟླ་བའི་གཟུགས་སུ། ལ་ལ་ན་རེ་ཉི་མའི་གཟུགས་སུ། ||| Some replied, “As a human in the form of a young brahmin.” But other gods suggested, “In the form of Śakra, or Brahmā, or a great king, or Vaiśravaṇa, or a gandharva, or a kinnara, or a mahoraga, or Maheśvara, or the moon god, or the sun god, or a garuḍa.”
ལ་ལ་ན་རེ་ནམ་མཁའ་ལྡིང་གི་དབང་པོའི་གཟུགས་སུ་བཞུད་པའི་རིགས་སོ་ཞེས་ཟེར་རོ། ||| There was also one of the gods of the Brahmā realm present, who was called Ugratejā.
།དེ་ནས་ཚངས་རིས་ཀྱི་ལྷའི་བུ་གཟི་བརྗིད་དམ་པ་ཞེས་བྱ་བ་སྔོན་དྲང་སྲོང་ལས་ཤི་འཕོས་པ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་ཞིག་འདུག་པ་དེས་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| Having been a sage in his previous life, he had taken rebirth among the gods, where his progress toward unexcelled and perfect awakening had become irreversible. He now spoke:
།བྲམ་ཟེ་རྣམས་ཀྱི་གསང་སྔགས་ཀྱི་ཚིག་རིག་བྱེད་ཀྱི་བསྟན་བཅོས་ལས་ཇི་སྐད་དུ་འབྱུང་བ་དེ་ལྟ་བུའི་གཟུགས་སུ་བྱང་ཆུབ་སེམས་དཔའ་ཡུམ་གྱི་ལྷུམས་སུ་བཞུད་པའི་རིགས་སོ། །དེའང་ཅི་འདྲ་ཞེ་ན། ||| “The priests’ mantras and the treatises of the Vedas mention the proper form for a bodhisattva to take when descending into the womb of his mother. How
གླང་པོ་དམ་པ་ལུས་ཆེན་མཆོག་གྱུར་པ། །མཆེ་བ་དྲུག་ཅན་གསེར་གྱི་དྲ་བས་གཡོགས། ||| It should it be? “In the glorious form of an excellent, great, Six-tusked elephant, covered with golden netting, .
།མགོ་བོ་རབ་ཏུ་དམར་ཞིང་ཤིན་ཏུ་མཛེས། ||| Its head intensely red and very handsome,.
།འགྲམ་ནས་ཟག་ཅིང་གཟུགས་ལྡན་དཔལ་ལྡན་པའོ། ||| It With glistening wet cheeks: “Priests body.
།རིག་བྱེད་བསྟན་བཅོས་ཡང་དག་མཁས་པ་ཡི། བྲམ་ཟེས་རྣམ་པ་དེ་འདྲ་དེ་ཤེས་ནས། །སུམ་ཅུ་རྩ་གཉིས་མཚན་དང་ལྡན་འགྱུར་ཞེས། །ཡང་དག་ཉིད་དུ་ལུང་ནི་སྟོན་པར་འགྱུར། ||| Someone who are truly learned in the Vedas Will recognize such features, And will correctly foresee and announce The advent of one with the thirty-two marks.”
།དགེ་སློང་དག་དེ་ལྟར་བྱང་ཆུབ་སེམས་དཔས་སྐྱེ་བའི་དུས་ལ་བལྟས་ནས། ||| Monks, while the Bodhisattva was still residing in the sublime Heaven of Joy, he considered the time for his birth.
དགའ་ལྡན་གྱི་གནས་དམ་པ་ན་གནས་བཞིན་དུ་རྒྱལ་པོ་ཟས་གཙང་མའི་ཁྱིམ་དམ་པ་དེར་སྔ་ལྟས་བརྒྱད་སྟོན་ཏོ། ||| At that time he manifested eight omens at the sublime residence of King Śuddhodana.
།བརྒྱད་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What were these eight?
ཁྱིམ་དེ་རྩྭ་དང་། སྡོང་དུམ་དང་། ཚེར་མ་དང་། གསེག་མ་དང་། གྱོ་མོ་མེད་ཅིང་། ||| The residence was immaculate since all weeds, stumps, brambles, small pebbles, and gravel had been removed.
དྲི་མ་མེད་ལ་ཆག་ཆག་ལེགས་པར་བཏབ་པ་དང་། ཕྱག་དར་ལེགས་པར་བྱས་ཤིང་རླུང་རྡུལ་ཅན་དང་། མུན་པ་དང་། རྡུལ་དང་བྲལ་བ་དང་། སྦྲང་མ་དང་། ཤ་སྦྲང་དང་། སྦྲང་བུ་དང་། ཕྱེ་མ་ལེབ་དང་། སྡིག་སྦྲུལ་མེད་ཅིང་མེ་ཏོག་གིས་ཀུན་ཏུ་གང་བ་ལག་མཐིལ་ལྟར་མཉམ་པར་གནས་པར་གྱུར་ཏེ། ||| It was well watered and very clean. It was undisturbed by wind and free from soot and dust. There were no mosquitoes, flies, bees, or snakes. It was covered with flowers, and the area became level, like the palm of a hand.
འདི་ནི་སྔ་ལྟས་བྱུང་བ་དང་པོའོ། ||| This was the first omen.
།རིའི་རྒྱལ་པོ་གངས་རི་ལ་བྱ་འདབ་སྤེན་དང་། ནེ་ཙོ་དང་། རི་སྐེགས་དང་། ཁུ་བྱུག་དང་། ངང་པ་དང་། རྨ་བྱ་དང་། ངུར་པ་དང་། ཀུན་ལ་དང་། ཀ་ལ་པིང་ཀ་དང་། ཤང་ཤང་ཏེའུ་ལ་སོགས་པ་སྒྲོ་གཤོག་སྣ་ཚོགས་མཛེས་པ་ཡིད་དུ་འོང་ཞིང་སྙན་པའི་སྒྲ་འབྱིན་པའི་བྱའི་ཚོགས་གང་དག་གནས་པ་དེ་དག་དེར་འོངས་ནས། ||| Flocks of birds came to the palace from the Himālayan mountains, the king of mountain ranges. There were pattraguptas, parrots, mynas, cuckoos, swans, curlews, peacocks, wild geese, kunālas, nightingales, pheasants, and many others. The birds had beautiful and delightful wings in many colors and sang in melodious sounds.
རྒྱལ་པོ་ཟས་གཙང་མའི་ཁྱིམ་དམ་པ་དེའི་སྟེགས་བུ་དང་། བ་གམ་དང་། རྟ་བབས་དང་། སྐར་ཁུང་དང་། བསིལ་ཁང་དང་། ཁང་པ་བརྩེགས་པ་དང་། ཁང་བཟངས་ཀྱི་སྟེང་དག་ཏུ་གནས་ཤིང་དགའ་བ་དང་། མགུ་བ་དང་། ཡིད་བདེ་བ་སྐྱེས་ནས་རང་རང་གི་སྒྲ་སྐད་དག་འབྱིན་ཏེ། ||| They perched upon the verandas, turrets, doorways, pavilions, and upper terraces of King Śuddhodana’s sublime residence. The birds were joyful and content, and they each sang happily.
འདི་ནི་སྔ་ལྟས་བྱུང་བ་གཉིས་པའོ། ||| This was the second omen.
།གང་ཡང་རྒྱལ་པོ་ཟས་གཙང་མ་དེའི་ཀུན་དགའ་ར་བ་ཉམས་དགའ་བ་དང་། ནགས་ཚལ་ཉམས་དགའ་བ་དང་། སྐྱེད་མོས་ཚལ་ཉམས་དགའ་བ་དག་ན་མེ་ཏོག་དང་འབྲས་བུའི་ཤིང་ལྗོན་པ་སྣ་ཚོགས་དུས་ཐ་དད་པར་འབྱུང་བ། དེ་ཐམས་ཅད་ཀྱང་ཁ་འབུས་ཤིང་མེ་ཏོག་རྒྱས་པར་གྱུར་ཏེ། ||| In all of King Śuddhodana’s delightful parks, woodlands, and gardens, the various trees blossomed and carried fruits of all seasons.
འདི་ནི་སྔ་ལྟས་བྱུང་བ་གསུམ་པའོ། ||| This was the third omen.
།རྒྱལ་པོ་ཟས་གཙང་མའི་ཆུའི་ལོངས་སྤྱོད་ཀྱི་རྐྱེན་རྫིང་ལ་སོགས་པ་གང་དག་ཡོད་པ་དེ་དག་ཐམས་ཅད་ཀྱང་པད་མ་འདབ་མ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མ་དང་ལྡན་པ་ཚད་ཤིང་རྟའི་འཕང་ལོ་ཙམ་དག་གིས་ཁེབས་པར་གྱུར་ཏེ། ||| In each of King Śuddhodana’s lotus ponds and reservoirs, there appeared lotuses the size of cartwheels, each with many trillions of petals.
འདི་ནི་སྔ་ལྟས་བྱུང་བ་བཞི་པའོ། ||| This was the fourth omen.
།རྒྱལ་པོ་ཟས་གཙང་མའི་ཁྱིམ་དམ་པ་དེ་ན་མར་དང་། འབྲུ་མར་དང་། སྦྲང་རྩི་དང་། བུ་རམ་གྱི་དབུ་བ་དང་། ཤ་ཁ་ར་ལ་སོགས་པ་བཟའ་བའི་རྣམ་པ་གང་དག་ཡོད་པ་དེ་དག་ཀྱང་ཡོངས་སུ་སྤྱད་པས་ཟད་པར་མི་འགྱུར་ཞིང་། ཡོངས་སུ་གང་བར་སྣང་སྟེ། ||| In that sublime residence of King Śuddhodana, all the provisions of butter, sesame oil, honey, raw sugar, and sugar-cane juice were never depleted and appeared to be full even though they were used abundantly.
འདི་ནི་སྔ་ལྟས་བྱུང་བ་ལྔ་པའོ། ||| This was the fifth omen.
།རྒྱལ་པོ་ཟས་གཙང་མའི་ཁྱིམ་མཆོག་དམ་པ་དང་། བཙུན་མོའི་འཁོར་ཆེན་པོ་དག་ན་རྔ་བོ་ཆེ་དང་། རྫ་རྔ་དང་། ཁར་རྔ་དང་། རྒྱུད་གཅིག་པ་དང་། པི་བང་དང་། གླིང་བུ་དང་། རྒྱུད་གསུམ་པ་དང་། ཁར་བའི་སིལ་ཁྲོལ་དང་། ཕེག་ལ་སོགས་པ་རོལ་མོའི་ཆ་སྤྱད་གང་དག་ཡོད་པ་དེ་དག་ཐམས་ཅད་ཀྱང་མ་བླངས་མ་དཀྲོལ་བར་ཡིད་དུ་འོང་བའི་སྒྲ་རང་སྒྲོག་པར་གྱུར་ཏེ། ||| Inside the women’s quarters of King Śuddhodana’s excellent residence, all the instruments, such as the great kettledrums, the clay and wooden kettledrums, the flutes, lutes, reed pipes, three-stringed lutes, bells, and cymbals suddenly emitted wonderful music by themselves without being played.
འདི་ནི་སྔ་ལྟས་བྱུང་བ་དྲུག་པའོ། ||| This was the sixth omen.
།རྒྱལ་པོ་ཟས་གཙང་མའི་ཁྱིམ་མཆོག་དམ་པ་ན། གསེར་དང་། དངུལ་དང་། ནོར་བུ་དང་། མུ་ཏིག་དང་། བཻ་དཱུརྱ་དང་། དུང་དང་། མན་ཤེལ་དང་། བྱི་རུ་ལ་སོགས་པ་རིན་པོ་ཆེ་སྣ་ཚོགས་ཀྱི་སྣོད་གང་དག་ཡོད་པ་དེ་དག་ཐམས་ཅད་ཀྱང་ཁ་བྱེ་ཞིང་དྲི་མ་མེད་ལ་རྣམ་པར་དག་ཅིང་རབ་ཏུ་གང་བར་སྣང་སྟེ། ||| In that most excellent residence of King Śuddhodana, all the containers of different types of precious substances, such as gold, silver, jewels, pearls, beryl, shells, crystals, and corals, opened their lids and displayed their flawless perfection and abundance.
འདི་ནི་སྔ་ལྟས་བྱུང་བ་བདུན་པའོ། ||| This was the seventh omen.
།ཉི་ཟླའི་འོད་ཟིལ་གྱིས་རླག་པར་བྱེད་ཅིང་། ལུས་དང་སེམས་དགའ་བ་སྐྱེད་པའི་འོད་དག་ཅིང་དྲི་མ་མེད་པས་སྣང་བར་གྱུར་ཏེ། འདི་ནི་སྔ་ལྟས་བྱུང་བ་བརྒྱད་པའོ།། ||| A pure and immaculate light, much brighter than those of the sun and the moon, appeared and produced mental and physical pleasure. This was the eighth omen.
།།འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་གསུམ་པ།
ལྷ་མོ་སྒྱུ་འཕྲུལ་ཡང་ཁྲུས་བྱས། ལུས་བྱུག་པས་བྱུགས། ||| Queen Māyā bathed and applied perfumes to her body.
རྒྱན་སྣ་ཚོགས་ཀྱིས་ལག་པ་ཤིན་ཏུ་བརྒྱན་ཏེ། གོས་ཤིན་ཏུ་འཇམ་པ་མཆོག་བགོས་ཤིང་བཙུན་སྤུ་དང་བཅས་ལ། ||| She ornamented her arms with many bracelets and dressed in the softest and most beautiful garments.
དགའ་བ་དང་། མཆོག་ཏུ་དགའ་བ་དང་། རངས་པ་ཐོབ་ནས། བུད་མེད་སྟོང་ཕྲག་བཅུས་བསྐོར་ཅིང་མདུན་དུ་བདར་ཏེ། ལྷན་ཅིག་ཏུ་རྒྱལ་པོ་ཟས་གཙང་མ་རོལ་མོ་བྱ་བའི་ཁང་བཟངས་ན་བདེ་བར་གནས་པའི་དྲུང་དུ་ཕྱིན་ཏེ། ||| Joyful, happy, and rapturous, accompanied and encircled by ten thousand women, she went to where King Śuddhodana was seated comfortably in the music hall.
གཡས་རོལ་ན་ཁྲི་བཟང་པོ་རིན་པོ་ཆེའི་དྲ་བས་བརྒྱན་པ་ལ་འདུག་ནས། ||| She seated herself to his right side on the fine, precious throne draped with jeweled latticework.
འཛུམ་པའི་བཞིན་ཁྲོ་གཉེར་མེད་ཅིང་རབ་ཏུ་དད་པའི་མདོག་གིས་རྒྱལ་པོ་ཟས་གཙང་མ་ལ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། ||| With a smiling and trusting face free from anger, she spoke to King Śuddhodana in these verses:
།རྒྱལ་པོ་ས་བདག་ལེགས་པར་བདག་ལ་གསན་དུ་གསོལ། ||| “Your Majesty, master of the earth, good lord, I pray that you hear me!
།རྒྱལ་པོ་ཁྱོད་ལ་གསོལ་གྱིས་བདག་ལ་དེ་གནོང་ཤིག ། ||| Your Highness, please grant me a favor!
བདག་གི་བསམ་པ་ཡིད་ལ་ཅི་མཆིས་ཅིར་དགའ་བ། །དེ་དག་བདག་ལ་གསན་ཅིང་ཐུགས་དགྱེས་རངས་པར་མཛོད། ། ||| Please listen and rejoice in your heart Concerning these wishes on which my mind is set.
ལྷ་བདག་བསྙེན་གནས་ཚུལ་ཁྲིམས་བརྟུལ་ཞུགས་ལེན་པར་གསོལ། །བདག་ནི་འགྲོ་ལ་བྱམས་པས་ཡན་ལག་བརྒྱད་ལེན་ཏེ། ||| “Lord, out of compassion for all beings, I will adopt the eight precepts, Which include disciplined and moral conduct, as well as fasting.
།སྲོག་ཆགས་གནོད་པ་སྤངས་ཤིང་བསམ་པ་རྟག་དག་པས། ||| Without harming any living creature and always with pure feelings,
།ཇི་ལྟར་བདག་ལ་བྱམས་པ་དེ་ལྟར་གཞན་ལ་བགྱི། ||| I will love others in the same way that I love myself.
།རྐུ་སེམས་རྣམ་པར་སྤངས་ཏེ་འདོད་དང་དྲེགས་པ་སྤངས། ||| “I have renounced any thievish thoughts and given up attachment and arrogance;
།རྒྱལ་པོ་འདོད་པ་རྣམས་ལ་ལོག་པར་གཡེམ་མི་བགྱིད། ||| Your Majesty, I will not act immorally.
།བདེན་ལ་གནས་ཤིང་ཕྲ་མ་མ་མཆིས་ཞེ་གཅོད་སྤང་། ||| I will remain truthful, not slander others, and abandon harsh words;
།མི་དགེ་ཀྱལ་པའི་ཚིག་ཀྱང་ཡོངས་སུ་མི་སྤྱོད་དོ། ||| I will never use idle or nonvirtuous words.
།གནོད་སེམས་ཞེ་སྡང་ཐ་བ་གཏི་མུག་རྒྱགས་པ་དང་། ། བརྣབ་སེམས་ཀུན་སྤངས་རང་གི་ནོར་གྱིས་འཚལ་བར་བགྱི། ། ||| “I renounce all anger, aggression, stupidity, and conceit; Renouncing all covetousness, I will be content with my own wealth.
ཡང་དག་སྦྱོར་བས་ཁ་གསག་ཚུལ་འཆོས་ཕྲག་དོག་སྤང་། །དགེ་བཅུའི་ལས་ལམ་འདི་དག་བདག་གིས་སྤྱད་པར་བགྱི། ||| I will act properly and renounce flattery, hypocrisy, and envy; I will travel this path of the ten virtuous actions.
།བདག་ནི་ཚུལ་ཁྲིམས་བརྟུལ་ཞུགས་མངོན་དགའ་རབ་བསྡམས་ཀྱིས། ||| “I am joyfully engaged in strict disciplined conduct;
།མི་ཡི་དབང་པོ་བདག་ལ་བཞེད་པས་སྲེད་མ་མཛད། ||| So, sovereign master of men, do not act lustfully because of attraction to me.
།རྒྱལ་པོ་ཁྱོད་ལ་ཡུན་རིང་མི་དགེར་གྱུར་དུ་མཆི། ||| Your Majesty, may nonvirtue not arise in you for a long time;
།བདག་གི་ཚུལ་ཁྲིམས་བརྟུལ་ཞུགས་ཉེར་གནས་དགྱེས་པར་མཛོད། ||| Please rejoice as I am nearby you in strict discipline.
།རྒྱལ་པོ་བདག་གི་འཚལ་བ་འདི་ལགས་དེང་མྱུར་སྩོལ། ||| “Your Highness, I beseech you, quick, say yes today!
།ཁང་བཟངས་བསིལ་ཁང་ལྡན་པ་དང་སྐྱ་ལྡན་པའི་ནང་། ||| Inside the cool pavilion at the top of the palace where the swans roost,
།མེ་ཏོག་བཀྲམ་པའི་མཆིས་མལ་འཇམ་ཞིང་དྲི་བདའ་བར། ||| On a soft and sweetly scented bed scattered with flowers,
།གྲོགས་མོས་རྟག་ཏུ་བསྐོར་ཅིང་བདེ་དགར་གནས་སྙམ་བགྱིད། ||| I would like to live happily, always surrounded by my female friends.
།སྐྱེས་པ་ཉུང་རུམ་རྣམས་དང་དེ་བཞིན་ཁྱེའུ་དག་དང་། །བུད་མེད་ཕལ་པ་རྣམས་ཀྱང་མདུན་ན་མཆིས་མི་འཚལ། ||| “May no male servants, boys, Or even common women attend me.
།སྙན་ཅིང་ཡིད་མཆི་སྒྲ་སྙན་ཉན་པ་མ་གཏོགས་པར། ||| May I hear only pleasant and harmonious talk,
།གཟུགས་དང་སྒྲ་བསུང་ཡིད་དུ་མི་མཆི་བདག་མི་འཚལ། ||| And may there be nothing unpleasant to hear or see.
།བཅིངས་དང་བཙོན་རར་སྩལ་བ་ཐམས་ཅད་དགྱེ་བར་གསོལ། ||| “I ask that you release all those held in prisons
།ནོར་གྱིས་བྲེལ་བའི་མི་རྣམས་ནོར་དང་ལྡན་པར་མཛོད། ||| And that you endow the poor with wealth.
།ཟས་སྐོམ་རང་པ་ཤིང་རྟ་ཁྱོགས་དང་བཞོན་པ་རྟ། །འགྲོ་ལ་བདེ་བའི་སླད་དུ་དགུང་བདུན་སྩལ་བ་མཛོད། ||| For one week, for the sake of people’s happiness, Please give food, drink, clothing, chariots, palanquins, and horses.
།ཕོ་བྲང་འདི་ན་སྐྱེས་པ་ཁྱེའུ་དང་བུད་མེད་དག །ཇི་སྙེད་མཆིས་པ་འཐབ་རྩོད་ཁྲོ་བའི་ཚིག་བྲལ་ཞིང་། ||| “May each and every man, woman, and child in this palace Be free from quarreling and angry words.
།ཕན་ཚུན་བྱམས་པའི་ཡིད་ལྡན་ཕན་དང་དེས་སེམས་ཀྱིས། ||| May their minds be full of mutual affection,
།དགའ་ཚལ་གནས་པའི་ལྷ་ལྟར་འཐུན་ཞིང་བདེ་སྤྱོད་མཛོད། ||| And may they enjoy themselves together, like gods in pleasure groves.
།རྒྱལ་པོའི་ཆད་པ་ཆེ་ཕྲ་གཉེར་གྱིས་བདའ་བ་དང་། །གནོད་པ་བགྱིད་དང་རྡེག་བཙོག་སྡིགས་རུ་མི་མཛད་པར། ||| “May no persecution, beating, or malicious threats take place. May there be no royal retribution or unjust punishment.
།ཀུན་ལའང་དད་པའི་ཐུགས་ཀྱིས་བྱམས་དང་ཕན་དགོངས་ཏེ། །ལྷ་ཡིས་སྐྱེ་བོ་རྣམས་ལ་སྲས་གཅིག་བཞིན་དུ་གཟིགས། ||| Lord, please look upon all beings as if upon an only child; Think benevolently and lovingly with a composed mind.”
།རྒྱལ་པོས་དེ་སྐད་ཚིག་ཐོས་རབ་ཏུ་དགར་གྱུར་ནས། ||| When the king heard this speech, he rejoiced and proclaimed:
།སྨྲས་པ་ཁྱོད་ནི་ཅི་འདོད་དེ་ཀུན་དེ་བཞིན་བྱ། ||| “Let everything you wish come to pass!
།ཁྱོད་ཀྱི་བསམ་པ་ཡིད་ཀྱིས་གང་རྣམས་རྗེས་བསམས་ཤིང་། ||| Whatever you seek and wish,
།ཁྱོད་ཀྱིས་མཆོག་བླངས་གང་ཡིན་དེ་ནི་ངས་སྦྱིན་ནོ། ||| That request I shall grant you.”
།རྒྱལ་པོའི་དམ་པས་རང་གི་འཁོར་ལ་བསྒོ་བ་ནི། ||| The excellent king commanded his entourage,
།ཁང་བཟངས་དམ་པའི་སྟེང་དུ་ཕུན་སུམ་ཚོགས་པ་ཤོམས། ||| “Make the finest preparations in the upper quarters of the palace.
།མེ་ཏོག་མཛེས་པ་ཁྲོམ་ལ་བདུག་སྤོས་མཆོག་གིས་བདུགས། ||| Decorate them with beautiful flowers and use the best incense and perfume;
།གདུགས་དང་བ་དན་ཏ་ལའི་ཕྲེང་བའི་རྒྱན་ཀྱང་གྱིས། ||| Adorn them with parasols, banners, and rows of palms trees.
།འཐབ་ཕོད་སྟོང་ཕྲག་ཉི་ཤུ་སྣ་ཚོགས་གོ་ཆ་ཅན། ||| “Place on guard twenty thousand brave fighting men in armor,
།མདའ་མདུང་ལྕགས་མདའ་མདུང་ཐུང་རལ་གྲི་ཐོགས་པ་དག །ཡིད་འོང་སྒྲ་གཅན་དང་སྐྱ་ལྡན་པ་བསྐོར་གྱིས་ཏེ། ||| Brandishing swords, arrows, spears, and lances. Let them guard the quarters where the swans call out melodiously;
།ལྷ་མོ་འཇིགས་པ་མེད་པར་བྱ་ཕྱིར་སྲུང་ཞིང་གནས། ||| Let them guard the queen with loving care so that she is not afraid.”
།ཁྲུས་བྱས་སྤོས་བྱུགས་གོས་མཆོག་དག་གིས་ཡན་ལག་བརྒྱན། ||| Bathed, perfumed, well dressed, and with her arms bejeweled,
།བུད་མེད་རྣམས་ཀྱིས་དེ་བསྐོར་ལྷ་ཡི་བུ་མོ་འདྲ། ||| Surrounded by her female attendants, like a goddess,
།ཡིད་དུ་འོང་བའི་སྒྲ་ལྡན་སིལ་སྙན་སྟོང་བླངས་ཏེ། ||| Accompanied by the pleasant sounds of thousands of cymbals,
།ལྷ་མོ་དེ་བཞུགས་ལྷ་ཡི་བུ་མོ་བཞིན་དུ་གནས། ||| The queen ascended and rested like a divine maiden.
