འཕགས་པ་བདེ་བྱེད་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Question of Kṣemaṅkara
།བྲམ་ཟེ་མ་ཡིན་པ་ཞེས་བྱའོ། །མུ་སྟེགས་ཅན་ཞེས་བྱའོ། །དམིགས་པ་ཅན་ཞེས་བྱའོ། །དཀྲུགས་མ་པ་ཞེས་བྱའོ། །སྡིག་པའི་གྲོགས་པོ་ཞེས་བྱའོ། །ཡོངས་སུ་སྤང་བར་བྱ་བ་ཞེས་བྱའོ། །བྱང་ཆུབ་སེམས་དཔའ་ངན་གཡོ་ཅན་ཞེས་བྱའོ། །བྱང་ཆུབ་སེམས་དཔའ་འཆལ་པ་ཞེས་བྱའོ། །བྱང་ཆུབ་སེམས་དཔའ་ལྟར་བཅོས་པ་ཞེས་བྱའོ། །བྱང་ཆུབ་སེམས་དཔའ་སྲེ་ད་ལྟ་བུ་ཞེས་བྱའོ། །བྱང་ཆུབ་སེམས་དཔའ་སུན་འབྱིན་པ་ཞེས་བྱའོ། །བྱང་ཆུབ་སེམས་དཔའ་གཏུམ་པ་ཞེས་བྱའོ། ||| They are known as not being brahmins, they are known as non-Buddhists, they are known as those who apprehend things, they are known as depraved, they are known as unwholesome companions, they are known as people to avoid, they are known as deceitful bodhisattvas, they are known as immoral bodhisattvas, they are known as fake bodhisattvas, they are known as worthless bodhisattvas, they are known as corrupted bodhisattvas, and they are known as savage bodhisattvas.”
།དེ་ནས་བདུད་སྡིག་ཅན་སྡུག་བསྔལ་ཞིང་ཡིད་མི་བདེ་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པས་སེམས་ཅན་ཇི་སྙེད་ཅིག་གི་དོན་མཛད། ||| At this point the evil Māra, feeling frustrated and unhappy, went to the location where the Blessed One was staying and asked, “Blessed One, by delivering this Dharma teaching, how many beings’ welfare are you accomplishing?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། སྡིག་ཅན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པས་འདོད་པ་ན་སྤྱོད་པ་དང་། གཟུགས་ན་སྤྱོད་པའི་ལྷའི་བུ་བརྒྱད་ཁྲི་བཞི་སྟོང་གིས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་བོ། ||| “Evil one,” replied the Blessed One, “through the delivery of this Dharma teaching, eighty-four thousand deities in the realms of desire and form will attain the acceptance that phenomena are unborn.
།དགེ་སློང་ལྔ་བརྒྱ་ལེན་པ་མེད་པར་ཟག་པ་རྣམས་ལས་སེམས་རྣམ་པར་གྲོལ་ལོ། ||| The minds of five hundred monks will become free of defilements with no further appropriation.
།དགེ་སློང་མ་བདུན་ཅུ་རྩ་ལྔས་ཀྱང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་བོ། ||| Seventy-five nuns will also attain the acceptance that phenomena are unborn.
།བྱང་ཆུབ་སེམས་དཔའ་བདེ་བྱེད་དང་། དགེ་བསྙེན་ལྔ་བརྒྱ་གཞན་དག་ཀྱང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་བོ། ||| The bodhisattva Kṣemaṅkara and five hundred other laymen will also attain the acceptance that phenomena are unborn.
།དགེ་བསྙེན་མ་ཉི་ཤུ་རྩ་ལྔ་ཡང་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་རྣམ་པར་དག་སྟེ། དེ་དག་ཐམས་ཅད་ཀྱང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་དང་ལྡན་པར་གྱུར་ཏོ། ||| Twenty-five female lay practitioners will purify the eye of Dharma, making it free from dust and dirt with regard to all phenomena, and all of them will attain the acceptance that phenomena are unborn.
།དེ་དག་ཐམས་ཅད་ཀྱང་འདི་ནས་ཤི་འཕོས་ནས། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དུ་སྐྱེ་བར་འགྱུར་རོ། ||| When passing away, all of them will be reborn in Sukhāvatī, the buddha realm of the thus-gone, worthy, perfect buddha Amitābha.
།དེར་སྐྱེས་ནས་ཐམས་ཅད་ལྷན་ཅིག་འཐུན་པར་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དཔག་ཏུ་མེད་པ་རྣམས་ཀྱིས་སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་འཛིན་པར་འགྱུར། ||| Once born there, they will all jointly uphold the awakening of the buddhahood of infinite blessed buddhas.
བརྗོད་པར་འགྱུར། སྟོན་པར་འགྱུར། ཡང་དག་པར་རབ་ཏུ་སྟོན་པར་འགྱུར་རོ། ||| They will express it, teach it, and authentically expound it.
།དེ་དག་ཕྱིས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱི་བསྐལ་པ་འདས་ནས། བསྐལ་པ་བཟང་པོ་ཞེས་བྱ་བ་འདི་ཉིད་ལ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདིར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ||| In the future, after as many eons as there are grains of sand in the Ganges River, during the so-called Good Eon of this trichiliocosm, they will fully awaken to unsurpassed and perfect buddhahood.”
།དེ་ནས་བདུད་སྡིག་ཅན་སྡུག་བསྔལ་ཞིང་ཡིད་མི་བདེ་ལ་འགྱོད་ཅིང་མཆི་མས་བརྣངས་ལ་ངུ་བཞིན་དུ་གྱུར་ཏེ། ||| The evil Māra felt frustrated and unhappy. With regret, he began to weep.
དེ་ཉིད་ནས་ཕྱིར་འགྲོ་ཞིང་ཚིག་འདི་སྐད་དུ། བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་སླན་ཅད་མི་བཤད་དུ་གསོལ་ཞེས་སྨྲས་སོ། །བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| As he was leaving, he said, “Blessed One, please do not deliver this Dharma teaching again!”
སྡིག་ཅན་ཁྱོད་དེ་སྐད་མ་སྨྲ་ཤིག །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Evil one, you should not speak like that!” replied the Blessed One. “And why not?
སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཐམས་ཅད་ཀྱི། ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་འདི་ནི་ཐོགས་པ་མེད་པ་ཡིན་ནོ། ||| Because the turning of the Dharma wheel of all the blessed buddhas is unimpeded.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མིང་ཅི་ལགས། འདི་ཇི་ལྟར་གཟུང་བར་བགྱི། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| Then venerable Ānanda asked the Blessed One, “Blessed One, what is this Dharma teaching called, and how should it be identified?”
ཀུན་དགའ་བོ་དེའི་ཕྱིར་ཁྱོད་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བྱང་ཆུབ་སེམས་དཔའ་ངེས་པར་འབྱུང་བ་ཞེས་བྱ་བར་ཟུང་ཤིག །བདེ་བྱེད་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བར་ཡང་ཟུང་ཤིག །ཀུན་དགའ་བོ་ངས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཁྱོད་ལ་གཏད་དེ། ||| The Blessed One responded, “Ānanda, you may call this Dharma discourse The Bodhisattva’s Renunciation , or you should call it The Question of Kṣemaṅkara . Ānanda, I entrust you with this Dharma discourse.
གཟུང་བ་དང་། བཀླག་པ་དང་། བཤད་པ་དང་། གཞན་དག་ལ་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་བསྟན་པར་བྱ་བའི་ཕྱིར་ཡོངས་སུ་གཏད་དོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| I entrust it to you in order that you retain it, read it aloud, explain it, and accurately teach it to others in great detail.
ཀུན་དགའ་བོ་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་ཞུགས་པ་གང་གིས་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་མ་གཏོགས་པར་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་པོ་དག་ལ་བསྐལ་པ་བཅུར་སྤྱད་པ་བས། ||| Ānanda, noble sons and noble daughters who have genuinely entered the Great Vehicle might practice the five perfections without the perfection of insight for ten eons.
རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ཞིག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། ཀུན་ཆུབ་པར་བྱེད་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པ་དང་། ཐ་ན་གླེགས་བམ་དུ་བྱས་ཏེ་འཆང་བ་དེ་ནི་དེ་བསོད་ནམས་ཆེས་མང་དུ་སྐྱེད་པའི་ཕྱིར་རོ། ||| Yet those noble sons and noble daughters who retain this Dharma discourse, hold it, read it aloud, understand it, accurately teach it to others in detail, or even make it into a book and carry it, will create much more merit.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ||| Then the Blessed One spoke these verses: “Whoever practices generosity for ten eons
།གང་ཞིག་ཚུལ་འདི་མ་ཐོས་པར། །བསྐལ་པ་བཅུར་ནི་སྦྱིན་བྱིན་ཡང་། ||| Without having heard about this way of so doing
།བླ་ན་མེད་པའི་སྦྱིན་པ་ཞེས། །དེ་ནི་བསྔགས་པར་མི་འགྱུར་རོ། ||| Will not be praised As having unsurpassed generosity. “Those who observe mundane discipline
།གང་ཞིག་བསྐལ་པ་བཅུ་རྣམས་སུ། །འཇིག་རྟེན་པ་ཡི་ཚུལ་ཁྲིམས་སྲུང་། ||| Even for tens of eons
།དེ་ནི་དམིགས་ལ་གནས་པས་ན། ||| Will continue to dwell on observations—
།ཚུལ་ཁྲིམས་དེ་ནི་དག་མི་འགྱུར། ||| Such discipline will not be pure. “Those who retain this profound discourse,
།གང་ཞིག་སངས་རྒྱས་ཀྱིས་བསྔགས་པའི། །མདོ་སྡེ་ཟབ་མོ་འདི་འཛིན་པ། ||| Which is praised by the buddhas,
།ཚུལ་ཁྲིམས་དེ་ནི་བླ་ན་མེད། ||| Will have unsurpassed discipline
།སངས་རྒྱས་ཀུན་གྱིས་བསྔགས་པ་ཡིན། ||| And will themselves be praised by all the buddhas.
།གང་འདིར་བསྐལ་པ་བཅུ་རྣམས་སུ། ||| “Though people may advocate patience for tens of eons,
།བཟོད་པ་སྨྲ་བའི་མིར་གྱུར་ལ། །གཤེ་བར་བྱེད་པའི་སྲོག་ཆགས་རྣམས། །ཀུན་ལ་བཟོད་པར་བྱེད་གྱུར་ཀྱང་། ||| And practice patience toward all who revile them,
།འདི་ནི་ཚུལ་འདི་མ་ཐོས་ན། །བཟོད་པ་དེ་ནི་བསྔགས་མ་ཡིན། ||| That patience will not be praiseworthy Unless they have heard about this way of doing it.
།གང་ཞིག་མདོ་སྡེ་འདི་འཛིན་ཅིང་། ||| “Those who retain this discourse,
།གཞན་དག་ལ་ཡང་རབ་སྟོན་ན། ||| And correctly teach it to others,
།བཟོད་པ་དེ་ནི་བླ་ན་མེད། ||| Will have unsurpassed patience
།སངས་རྒྱས་ཀུན་གྱིས་བསྔགས་པ་ཡིན། ||| And be praised by all the buddhas.
།གང་ཞིག་ཚུལ་འདི་མ་ཐོས་པར། ||| “Those who have not heard about this way of so doing May never transgress the rules,
།བསྐལ་པ་དག་ནི་བཅུ་རྣམས་སུ། ||| Even for tens of eons,
།འཆག་པ་དག་ལས་མི་འདའ་ཡང་། །བརྩོན་འགྲུས་དེ་ནི་བསྔགས་མ་ཡིན། །གང་ཞིག་སངས་རྒྱས་ཀྱིས་བཤད་པ། ||| Yet such effort will not be praiseworthy.
།མདོ་སྡེ་ཟབ་མོ་འདི་འཛིན་ན། ||| “For those who retain this profound discourse, Explained by the Buddha,
།བརྩོན་འགྲུས་དེ་ནི་བླ་ན་མེད། ||| Their effort will be unsurpassed
།སངས་རྒྱས་ཀུན་གྱིས་བསྔགས་པ་ཡི། ||| And they will be praised by all the buddhas. “Those who practice concentration
།གང་ཞིག་བསྐལ་པ་བཅུ་རྣམས་སུ། །བསམ་གཏན་ལྡན་པའི་མིར་གྱུར་ལ། ||| For tens of eons
།བསམ་གཏན་རོ་ལ་དེ་གནས་ན། ||| May abide in the taste of concentration,
།བསམ་གཏན་པ་ཞེས་དེ་མི་བརྗོད། ||| But will not be known as adepts at concentration.
།ནང་དང་ཕྱི་རོལ་རྣམས་ལ་ཡང་། ||| “Yet those who do not conceive —whether inwardly or outwardly—
།རྡུལ་ཙམ་ཆོས་ཀྱང་མི་རྟོགས་ན། ||| Of any phenomena at all
།བསམ་གཏན་དེ་ནི་བླ་ན་མེད། ||| Have unsurpassed concentration,
།དེ་ནི་བསམ་གཏན་པ་ཞེས་བྱ། ||| And are called adepts at concentration.
།དེ་ལྟར་སྦྱིན་དང་ཚུལ་ཁྲིམས་དང་། །བཟོད་པ་དང་ནི་བརྩོན་འགྲུས་དང་། །བསམ་གཏན་ཤེས་རབ་མཉམ་ཉིད་ཀྱིས། ||| “In this way, through the sameness Of generosity, discipline, patience, diligence, Concentration, and insight,
།དེ་ནི་བྱང་ཆུབ་མྱུར་འཐོབ་འགྱུར། ||| Awakening will be quickly attained.”
།བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་། ཤཱཀྱའི་བུ་བདེ་བྱེད་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དག་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ་བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ||| When the Blessed One had spoken, venerable Ānanda, the Śākya youth Kṣemaṅkara, the entire retinue, and the world including its gods, humans, demigods, and gandharvas rejoiced and praised what the Blessed One had said.
།འཕགས་པ་བདེ་བྱེད་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། ||| This concludes the noble Great Vehicle sūtra “ The Question of Kṣemaṅkara
།།རྒྱ་གར་གྱི་མཁན་པོ་པྲཛྙཱ་བརྨ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བནྡེ་ཡེ་ཤེས་སྡེ་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། ||| This was translated, edited, and finalized by the Indian preceptor Prajñāvarman, and the translator and chief editor Bandé Yeshé Dé, and others.
