འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
བཞི་གང་ཞེ་ན། ||| What are these four?
དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་ལ་ཤིན་ཏུ་ནན་ཏན་བྱེད་པ་དང་། རྣམ་པར་འབྱེད་པའི་ཤེས་རབ་ལ་ཤིན་ཏུ་ནན་ཏན་བྱེད་པ་དང་། ཏིང་ངེ་འཛིན་རྣམས་ཀྱི་ཐོག་མར་ཤེས་རབ་གཏོང་བ་དང་། ངེས་པའི་ཤེས་རབ་ཁོང་དུ་ཆུད་པ་དང་བཞིའོ། ། ||| Strong pursuit of the four applications of mindfulness, strong pursuit of discerning insight, placing insight at the forefront of all absorptions, and mastering definitive insight.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ལུས་འདི་བོར་ནས་ནམ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་རྒྱུན་མི་འཆད་པའི་དྲན་པ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have four qualities will have unbroken mindfulness from the point that they relinquish this body until they awaken to unsurpassed and perfect buddhahood.
བཞི་གང་ཞེ་ན་ ||| What are these four?
གཟུངས་ཀྱི་སྒོ་ཐོབ་པ་དང་། མ་སྐྱེས་པའི་ཡེ་ཤེས་སྒོམ་པ་དང་། ཟད་པའི་ཡེ་ཤེས་ལ་འཇུག་པ་དང་། འགོག་པའི་ཡེ་ཤེས་རྟོགས་པར་བྱ་བ་དང་བཞིའོ། ། ||| Attainment of the dhāraṇī gateways, cultivation of unborn wisdom, understanding the wisdom of exhaustion, and realization of the wisdom of cessation.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ལུས་འདི་བོར་ནས་ནམ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་རྒྱུན་མི་འཆད་པའི་དྲན་པ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have four qualities will have unbroken mindfulness from the point that they relinquish this body until they awaken to unsurpassed and perfect buddhahood.
བཞི་གང་ཞེ་ན། ||| What are these four?
བྱམས་སྡང་མེད་པར་བྱ་བ་དང་། འདུས་བྱས་ཀྱི་ཆོས་ཐམས་ཅད་ལ་མི་ཆགས་པ་དང་། འདུས་མ་བྱས་པའི་ཡེ་ཤེས་རྟོགས་པ་དང་། དེ་བཞིན་གཤེགས་པའི་སྤྱོད་ཡུལ་དུ་ཕྱིན་པར་བྱེད་པའོ། ། ||| Eliminating desire and aversion, being free from attachment to any conditioned phenomenon, realization of unconditioned wisdom, and arriving at the domain of the thus-gone ones.
འཇིག་རྟེན་འཛིན་འདི་དག་ནི་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ལུས་འདི་བོར་ནས་ནམ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་རྒྱུན་མི་འཆད་པའི་དྲན་པ་དང་ལྡན་པར་འགྱུར་རོ། ། ||| Lokadhara, bodhisattva great beings who have these four qualities will have unbroken mindfulness from the point that they relinquish this body until they awaken to unsurpassed and perfect buddhahood.”
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have five types of wisdom strength that purify phenomena will perfect the higher virtues.
ལྔ་གང་ཞེ་ན། ||| What are these five?
ཤིན་ཏུ་ལྷག་པའི་བསམ་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། སྨོན་ལམ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། དགེ་བའི་རྩ་བ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། སྔོ་བ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། ལས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་ལྔའོ། ། ||| The wisdom strength that purifies motivation, the wisdom strength that purifies aspirations, the wisdom strength that purifies roots of virtue, the wisdom strength that purifies dedication, and the wisdom strength that purifies karmic obscurations.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of five types of purificatory wisdom strength will perfect the higher virtues.
ལྔ་གང་ཞེ་ན། ||| What are these five?
སྤྱོད་ལམ་གྱི་གནས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། དྲན་པ་དང་ལྡན་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། སྦྱོར་བའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། སེམས་ལ་དམིགས་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། མཚན་ཉིད་ལ་དམིགས་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་ལྔའོ། ། ||| The wisdom strength that purifies conduct, the wisdom strength that purifies mindfulness, the wisdom strength that purifies practice, the wisdom strength that purifies apprehension of sentient beings, and the wisdom strength that purifies apprehension of characteristics.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of five types of purificatory wisdom strength will perfect the higher virtues.
ལྔ་གང་ཞེ་ན། ||| What are these five?
གཏོང་བའི་སེམས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། སེམས་ཅན་ལ་ཕན་པ་དང་བདེ་བ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། བྱམས་པ་ཆེན་པོ་བསྐྱེད་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། སྙིང་རྗེ་ཆེན་པོ་བསྐྱེད་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། དགའ་བ་ཆེན་པོ་དང་། བཏང་སྙོམས་ཆེན་པོ་བསྐྱེད་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་ལྔའོ། ། ||| The wisdom strength that purifies a detached attitude, the wisdom strength that purifies bringing benefit and happiness to beings, the wisdom strength that purifies the development of great love, the wisdom strength that purifies the development of great compassion, and the wisdom strength that purifies the development of great joy and equanimity.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of five types of purificatory wisdom strength will perfect the higher virtues.
ལྔ་གང་ཞེ་ན། ||| What are these five?
ཚུལ་ཁྲིམས་སྲུང་བའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། ཚུལ་ཁྲིམས་བསྲུང་བ་ལ་མ་ཆགས་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། བཟོད་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། བཟོད་པ་ལ་མ་ཆགས་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། མང་དུ་ཐོས་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་ལྔའོ། ། ||| The wisdom strength that purifies the observance of discipline, the wisdom strength that purifies nonattachment to the observance of discipline, the wisdom strength that purifies patience, the wisdom strength that purifies nonattachment to patience, and the wisdom strength that purifies learnedness.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of five types of purificatory wisdom strength will perfect the higher virtues.
ལྔ་གང་ཞེ་ན། ||| What are these five?
ལྷག་པའི་བརྩོན་འགྲུས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། བརྩོན་འགྲུས་ལེན་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། བསམ་གཏན་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། བསམ་གཏན་གྱི་ཐབས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། ཞི་གནས་དང་ལྷག་མཐོང་གི་ཐབས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་ལྔའོ། ། ||| The wisdom strength that purifies higher diligence, the wisdom strength that purifies the acquisition of diligence, the wisdom strength that purifies concentration, the wisdom strength that purifies the means of concentration, and the wisdom strength that purifies the means of tranquility and special insight.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of five types of purificatory wisdom strength will perfect the higher virtues.
ལྔ་གང་ཞེ་ན། ||| What are these five?
ཤེས་རབ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། མང་དུ་ཐོས་པའི་ངེས་པར་སྦྱོར་བ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། འཇིག་རྟེན་དང་འཇིག་རྟེན་ལས་འདའ་བ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། ཤེས་རབ་དང་ཐབས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། འདུས་བྱས་དང་འདུས་མ་བྱས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་ལྔའོ། ། ||| The wisdom strength that purifies insight, the wisdom strength that purifies the attainment of erudition, the wisdom strength that purifies the worldly and transcendent, the wisdom strength that purifies insight and means, and the wisdom strength that purifies the conditioned and the unconditioned.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of five types of purificatory wisdom strength will perfect the higher virtues.
ལྔ་གང་ཞེ་ན། ||| What are these five?
ཐབས་ལ་རྟོག་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། རིག་པ་དང་རྣམ་པར་གྲོལ་བ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། མ་སྐྱེས་པའི་མཚན་ཉིད་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། མཚན་ཉིད་གཅིག་པ་དང་མཚན་ཉིད་མེད་པ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་། དོན་དམ་པ་དང་ཀུན་རྫོབ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་སོ། ། ||| The wisdom strength that purifies the understanding of means, the wisdom strength that purifies knowledge and liberation, the wisdom strength that purifies the characteristic of the unborn, the wisdom strength that purifies the singularity of characteristics and the absence of characteristics, and the wisdom strength that purifies the relative and the ultimate.
འཇིག་རྟེན་འཛིན་དེ་དག་ནི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་རྣམ་པ་ལྔ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་མྱུར་དུ་ཡོན་ཏན་གོང་མའི་རྣམས་རྫོགས་པ་ཡིན་ནོ། ། ||| Lokadhara, bodhisattva great beings who have these five types of purificatory wisdom strength will perfect the higher virtues.
འཇིག་རྟེན་འཛིན་དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དེ་དག་བསྒོམ་པ་ལ་ཤིན་ཏུ་བརྩོན་པར་བྱའོ། ། ||| Therefore, Lokadhara, bodhisattva great beings must endeavor greatly to cultivate these purificatory wisdom strengths.”
འཇིག་རྟེན་འཛིན་ཆོས་རྣམ་པ་གསུམ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་ལ་བརྩོན་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have three qualities will endeavor in the purificatory wisdom strength.
གསུམ་གང་ཞེ་ན། ||| What are these three?
མོས་པ་དང་། བརྩོན་འགྲུས་དང་། བག་བྱེད་པའོ། ། ||| Interest, diligence, and carefulness.
ཆོས་རྣམ་པ་འདི་གསུམ་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཡོན་ཏན་ཐམས་ཅད་རྫོགས་པའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་ལ་བརྩོན་པ་ཡིན་ནོ། ། ||| Bodhisattva great beings who have these three will endeavor in the wisdom strength that purifies the entirety of virtues.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
འཇིག་རྟེན་འཛིན། མོས་པ་དང་། བརྩོན་འགྲུས་དང་། བག་བྱེད་པ་ནི་ཆོས་ཐམས་ཅད་ཀྱི་རྩ་བ་ཡིན་པས་ ||| Lokadhara, interest, diligence, and carefulness are the roots of all qualities. “Thus,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་ལ་ནན་ཏན་བྱེད་པ་ནི་མྱུར་དུ་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་ཏེ ||| bodhisattva great beings who apply themselves to the purificatory wisdom strength will swiftly attain omniscient wisdom.
བརྩོན་འགྲུས་ལས་ཕྱིར་མི་ལྡོག་པ་ཞེས་བྱའོ། ། ||| They will be called those who do not regress from diligence.
ཆོས་ལས་ཕྱིར་མི་ལྡོག་པ་ཞེས་བྱའོ། ། ||| They will be called those who do not regress from the Dharma.
ཡོན་ཏན་དེ་ཉིད་མྱུར་དུ་འཕེལ་ཞིང་སྐྱེ་བའམ་འཐོབ་པར་འགྱུར་ལ། ||| They will also swiftly attain an exponential growth in those very virtues.
ཆོས་ཐམས་ཅད་ལ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་ཀྱང་མྱུར་དུ་འཐོབ་བོ། ། ||| They will also swiftly achieve the wisdom strength that purifies all qualities.
འཇིག་རྟེན་འཛིན་གང་ཟག་གང་ཞིག་དེ་ལྟར་ཆོས་ཐམས་ཅད་ལ་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་ཐོབ་པ་ནི་འཇིག་རྟེན་གྱི་བསོད་ནམས་ཀྱི་ཞིང་ཞེས་བྱའོ། ། ||| Lokadhara, any person who achieves the wisdom strength that purifies all qualities in this manner is said to be a field of merit for the world.
གང་ཟག་དེ་ནི་ངའི་འོག་ཏུ་མཆོད་པའི་རྙེད་པ་ཞུ་བ་ཞེས་བྱའོ། ། ||| It is said that this person will consume the offering goods after me.
གང་ཟག་དེ་ནི་དེ་བཞིན་གཤེགས་པའི་སྤྱོད་ཡུལ་གྱི་གནས་སུ་ཕྱིན་པ་ཞེས་བྱའོ། ། ||| It is said that this person will arrive at the domain of the thus-gone ones.
གང་ཟག་དེ་ནི་དེ་བཞིན་གཤེགས་པའི་ཆོས་རྟོགས་པ་ཞེས་བྱའོ། ། ||| It is said that this person will realize the qualities of the thus-gone ones.
གང་ཟག་དེས་རིང་པོ་མི་ཐོགས་པར་དེ་བཞིན་གཤེགས་པའི་ཡེ་ཤེས་ཆུད་པར་འགྱུར་རོ། ། ||| Before long, such a person will master the wisdom of the thus-gone ones.
འཇིག་རྟེན་འཛིན་ང་སྔོན་བསྐལ་པ་ཚད་མེད་གྲངས་མེད་པའི་བར་དུ་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་ན། ||| “Lokadhara, many countless immeasurable eons ago, as I was practicing bodhisattva conduct,
སངས་རྒྱས་མར་མེ་མཛད་ཀྱིས་ང་ལ་ཁྱོད་བསྐལ་པ་གྲངས་མེད་པ་འདས་ནས་མངོན་པར་འཚང་རྒྱའོ་ཞེས་ལུང་བསྟན་ཏེ། ||| Buddha Dīpaṅkara prophesied to me, ‘You will fully awaken to buddhahood after countless eons.’
ངས་དེའི་ཚེ་ཉིད་ན་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དེ་དག་ཀུན་ཤེས་པར་གྱུར་ཏོ། ། ||| At that very moment, I understood all these purificatory wisdom strengths.
འཇིག་རྟེན་འཛིན་གང་ཟག་གང་ཞིག་ཆོས་ཐམས་ཅད་ལ་དེ་ལྟ་བུའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་དང་ལྡན་པར་འགྱུར་བ་ནི། གང་ཟག་དེས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཐོབ་པ་ན་ད་ལྟར་ངས་ཇི་ལྟར་ཐོབ་པ་བཞིན་ནོ། ། ||| Lokadhara, any person who has such purificatory wisdom strength will attain unexcelled, perfect, and complete awakening, just as I have attained it now.
གང་ཟག་དེས་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བར་འགྱུར་བའང་ངས་ཇི་ལྟར་བསྐོར་བ་བཞིན་ནོ། ། ||| Such a person will also turn the wheel of Dharma, just as I do now.
གང་ཟག་དེས་སེང་གེའི་སྒྲ་སྒྲོག་པར་འགྱུར་བའང་ངས་ཇི་ལྟར་སྒྲ་བསྒྲགས་པ་བཞིན་ནོ། ། ||| That person will roar the lion’s roar, just as I roar it.
གང་ཟག་དེས་རང་བཞིན་གྱིས་ཆོས་ཐམས་ཅད་ལ་དབང་བ་དང་སྟོབས་ཐོབ་པ་ཡང་ད་ལྟར་གྱི་ང་ཇི་ལྟ་བ་བཞིན་ནོ། ། ||| That person will naturally have power and strength over all phenomena just as I do now.
འཇིག་རྟེན་འཛིན་ཁྱོད་ཀྱིས་ཀྱང་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་འདི་བསྒོམ་པ་ལ་བརྩོན་པར་བྱས་ན་ ||| Lokadhara, if you have exerted yourself in the cultivation of this purificatory wisdom strength,
རིང་པོར་མི་ཐོགས་པར་ཡེ་ཤེས་དང་ཤེས་རབ་ཐམས་ཅད་ལྷུན་གྱིས་གྲུབ་པར་འགྱུར་རོ། ། ||| you will spontaneously accomplish all wisdom and insight before long.
འཇིག་རྟེན་འཛིན་སྔོན་བསྐལ་པ་གྲངས་མེད་ཚད་མེད་པ་འདས་པ་དེའི་ཚེ་དེའི་དུས་ན། བཅོམ་ལྡན་འདས་ཡེ་ཤེས་མཐོ་བའི་རྒྱལ་པོ་ཞེས་བྱ་བ་དེ་བཞིན་གཤེགས་པ་མཁྱེན་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། བླ་ན་མེད་པ་སྐྱེས་བུ་འདུལ་ཞིང་ཁ་ལོ་སྒྱུར་བ། ལྷ་དང་མིའི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་འཇིག་རྟེན་དུ་བྱུང་ངོ་། ། ||| “Lokadhara, countless immeasurable eons ago, the blessed one known as King of Lofty Wisdom appeared in the world. He was a thus-gone one, a learned and virtuous one, a blissful one, a knower of the world, an unsurpassed being, a charioteer who guides beings, a teacher of gods and humans, and a blessed buddha.
འཇིག་རྟེན་འཛིན་བཅོམ་ལྡན་འདས་ཡེ་ཤེས་མཐོ་བའི་རྒྱལ་པོ་དེ་ལ་ཉན་ཐོས་ཀྱི་དགེ་འདུན་ཚད་མེད་པ་དང་། བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཚད་མེད་པ་ཡོད་དོ། ། ||| Lokadhara, the blessed one King of Lofty Wisdom had an immeasurable saṅgha of hearers and an immeasurable saṅgha of bodhisattvas.
དེ་ཡང་བཅོམ་ལྡན་འདས་དེའི་སྔོན་གྱི་སྨོན་ལམ་གྱི་རྒྱུ་དང་རྐྱེན་གྱི་དབང་གིས་སོ། ། ||| This was due to the causes and conditions of this Blessed One’s past aspirations.
བཅོམ་ལྡན་འདས་ཡེ་ཤེས་མཐོ་བའི་རྒྱལ་པོའི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ངན་སོང་གསུམ་གྱི་མིང་ཡང་མི་གྲག་སྟེ། ||| Even the words three lower realms were unheard of in the blessed one King of Lofty Wisdom’s buddha realm.
སེམས་ཅན་དེ་དག་ཀྱང་སྡུག་བསྔལ་ཡོད་པར་མི་ཚོར་ཞིང་། ||| No one there had experienced any suffering;
མཐར་བདེ་བ་དང་སྐྱིད་པ་ཕུན་སུམ་ཚོགས་པ་དང་ལྡན་པས་འདོད་པ་ཡོངས་སུ་སྤངས་པ་མང་སྟེ། སྒྲིབ་པ་ལྔ་ཡང་རབ་ཏུ་བཅིལ་བ་ཤ་སྟག་གོ། ། ||| all in all, everyone there had such an abundance of happiness and joy that they were mostly free of desire, as the five obscurations were eliminated.
སེམས་ཅན་དེ་དག་དེ་ལྟར་ཡོངས་སུ་དག་པའི་བདེ་བ་དང་ལྡན་པ་ནི་བསམ་གཏན་བཞི་པའི་བདེ་བ་ཐོབ་པ་བཞིན་ནོ། ། ||| These beings had such pure happiness that it was as if they had attained the bliss of the four concentrations.
བཅོམ་ལྡན་འདས་ཡེ་ཤེས་མཐོ་བའི་རྒྱལ་པོ་དེའི་ཚེའི་ཚད་ནི་བསྐལ་པ་ཁྲི་ཕྲག་ཁྲག་ཁྲིག་སྙེད་དོ། ། ||| The lifespan of the blessed one King of Lofty Wisdom was one quadrillion eons.
དེའི་ཚེ་ན་འཇིག་རྟེན་དེའི་རྒྱལ་པོ་ཡང་དེ་བཞིན་གཤེགས་པས་མཛད་དེ། ||| The Thus-Gone One acted as the king of the world at that time.
དེ་མ་ཡིན་པའི་རྒྱལ་པོ་གཞན་མེད་པས་ཡུལ་དེའི་སེམས་ཅན་དག་བཅོམ་ལྡན་འདས་ལ་ཆོས་ཀྱི་རྒྱལ་པོ་ཞེས་བརྗོད་དོ། ། ||| As there was no other king, the beings of that realm called the Blessed One their Dharma King .
བཅོམ་ལྡན་འདས་ཡེ་ཤེས་མཐོ་བའི་རྒྱལ་པོ་དེ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཐེ་ཚོམ་གཅོད་ཅིང་སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་མགུ་བར་འགྱུར་བ་ཞེས་བྱ་བའི་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཀྱི་མདོ་སྟོན་ཏོ། ། ||| The blessed one King of Lofty Wisdom taught the bodhisattvas a discourse from the Bodhisattva Collection called Countering the Doubts and Pleasing the Minds of All Beings .
དེའི་ཚེ་ན་བྱང་ཆུབ་སེམས་དཔའ་ལྔ་བརྒྱས་བྱང་ཆུབ་སེམས་དཔའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་བཤད་པ་ཐོས་ནས་ ||| When five hundred of the bodhisattvas heard this description of the bodhisattvas’ purificatory wisdom strength,
འདི་ལྟ་བུའི་བརྩོན་འགྲུས་ཀྱི་སྟོབས་བསྐྱེད་པར་གྱུར་ཏོ། །འདི་ལྟ་སྟེ། ནམ་འཚོའི་བར་དུ་འདུག་པའི་སེམས་མི་སྐྱེད་པ་དང་། ནམ་འཚོའི་བར་དུ་གོས་སུ་འདུ་ཤེས་པ་མི་སྐྱེད་པ་དང་། ནམ་འཚོའི་བར་དུ་བདག་ཏུ་འདུ་ཤེས་པ་དང་། སེམས་ཅན་དུ་འདུ་ཤེས་པ་དང་། སྐྱེས་པ་དང་བུད་མེད་དུ་འདུ་ཤེས་པ་མི་སྐྱེད་པ་དང་། ནམ་འཚོའི་བར་དུ་ཟས་མང་དུ་མི་ཟ་ཞིང་འདི་ལྟ་བུའི་རྣམ་པར་དག་པའི་ཡེ་ཤེས་ཀྱི་སྟོབས་ལ་ནན་ཏན་བྱེད་དོ། ། ||| they generated such strength of diligence that for the rest of their lives, they did not develop the intent to sit; did not develop notions about clothing; did not develop notions about themselves, other beings, men, or women; and did not eat too much food. Rather, they only exerted themselves in this purificatory wisdom strength.
