༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སརྦ་དྷརྨ་སྭ་བྷཱ་བ་ས་མ་ཏཱ་བི་པཉྩི་ཏ་ས་མཱ་དྷི་རཱ་ཛ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་མཉམ་པ་ཉིད་རྣམ་པར་སྤྲོས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra The King of Samādhis, the Revealed Equality of the Nature of All Phenomena
།མིང་དུ་བསྟན་པ་བསླབས་པས་ན། ||| And as they are trained in teaching using terms,
།ཡང་དག་ཉིད་དུ་ཚིག་ཀྱང་སྨྲ། ||| They speak with words that are correct. {17}
།སྒྲ་དབྱངས་གང་དག་ཅི་ཐོས་པ། ||| “Whatever sound they hear,
།དེ་ཡི་སྔོན་གྱི་མཐའ་ཤེས་ཏེ། ||| They know its past.
།སྒྲ་ཡི་སྔོན་གྱི་མཐའ་ཤེས་ནས། ||| Knowing the past of that sound
།སྒྲ་དག་གིས་ནི་དེ་མི་འཕྲོགས། ||| They are not captivated by that sound. {18}
།སྒྲ་ཡི་སྔོན་མཐའ་ཇི་འདྲ་བར། ||| “Just like the past of a sound,
།ཆོས་རྣམས་མཚན་ཉིད་དེ་བཞིན་ཏེ། །ཆོས་རྣམས་དེ་ལྟར་རབ་ཤེས་ན། ||| So are the characteristics of phenomena. Knowing phenomena to be like that
།མངལ་དུ་སྐྱེ་བར་མི་འགྱུར་རོ། ||| They will not be reborn in a womb. {19}
།ཆོས་རྣམས་ཐམས་ཅད་མི་སྐྱེ་ཞིང་། །འབྱུང་བ་མེད་པར་རབ་ཏུ་ཤེས། ||| “They know that all phenomena are unborn And that they have no origin.
།བསྟན་པ་འདི་ནི་རབ་ཤེས་ན། ||| Knowing this teaching on birth
།རྟག་ཏུ་སྐྱེ་བ་དྲན་པར་འགྱུར། ||| They always remember their previous lives. {20}
།ནམ་ཞིག་སྐྱེ་བ་དྲན་གྱུར་ན། ||| “When they remember those lives
།དེ་ཚེ་བྱ་བ་དག་ལ་འཇུག །བྱ་བ་དག་ལ་ཞུགས་པ་ཡི། ||| They perform their actions. For those who perform those actions
།འཁོར་རྣམས་ཤིན་ཏུ་མི་ཕྱེད་འགྱུར། །དེ་ལྟར་ཆོས་རྣམས་སྟོང་པར་ནི། ||| Their community of followers remains united. {21}
།བྱང་ཆུབ་སེམས་དཔའ་སུས་ཤེས་པ། ||| “The bodhisattvas who know The emptiness of phenomena
།དེས་ནི་གང་ཡང་མི་ཤེས་མེད། ||| Will never be without that knowledge.
།འདི་ནི་ཅི་ཡང་མེད་པའི་མཐའ། ||| It is the summit of nothingness. {22} “When the foolish think about
།ཅི་ཡང་མེད་པའི་མཐའ་ལ་ཡང་། ||| The summit of nothingness
།བྱིས་པ་དག་གིས་ཅི་དག་བརྟགས། ||| They continue in saṃsāra
།བསྐལ་པ་བྱེ་བར་དེ་དག་དེས། ||| For millions of eons. {23}
།ཡང་དང་ཡང་དུ་འཁོར་བར་གྱུར། ||| “If they are able to understand it
།ཇི་ལྟར་འདྲེན་པས་མཁྱེན་པ་བཞིན། །གལ་ཏེ་དེ་དག་རྟོག་རིག་ན། ||| Just as the Guide knows it,
།དེ་ལས་སྡུག་བསྔལ་མི་སྐྱེ་སྟེ། ||| Then they will have no suffering
།ངན་འགྲོ་རྣམས་སུའང་དེ་མི་འགྲོ། ||| And they will not go to the lower realms. {24}
།སོ་སོའི་སྐྱེ་བོ་ཐམས་ཅད་ཀྱིས། ||| “All ordinary individuals
།དེ་ལྟར་ཚུལ་འདི་མ་ཤེས་པས། །གང་དུ་ཆོས་རྣམས་འགག་པ་ཡི། ||| Are ignorant of this nature.
།འདི་འདྲའི་ཆོས་རྣམས་སྤོང་བར་བྱེད། ||| They reject this kind of Dharma That brings the cessation of suffering. {25} “Phenomena are perceived when
།ཆོས་ཀུན་རྙེད་པ་མེད་པར་ནི། །ཆོས་ཀྱི་འདུ་ཤེས་གང་བྱུང་བ། ||| No phenomena can be found.
།དེ་ལྟ་བུ་ཡི་འདུ་ཤེས་ཏེ། ||| Recognize that perception
།འདུ་ཤེས་དེ་ལྟར་རིག་པར་གྱིས། ||| When that perception occurs. {26}
།རྣམ་པར་ཤེས་དང་འདུ་ཤེས་སུ། །བྱིས་པ་དག་གིས་འདི་བརྟགས་ཏེ། ||| “The foolish conceptualize Through consciousness and perception. The wise do not become ignorant
།བརྟགས་པ་ཡི་ནི་ཆོས་རྣམས་ལ། །མཁས་པ་འདིར་ནི་རྨོངས་མི་འགྱུར། །སྟོང་པ་རྙོག་པ་མེད་པའི་ཆོས། ||| In conceiving of phenomena. {27} “The unpolluted phenomena of emptiness Are within the field of experience of the bodhisattvas.
།འདི་ནི་མཁས་པའི་ས་ཡིན་ཏེ། ||| This level of those who are wise
།འདི་ལ་བྱིས་པའི་སྤྱོད་ཡུལ་མེད། །སངས་རྒྱས་སྲས་ཀྱི་སྤྱོད་ཡུལ་ལོ། །ཞི་བ་སྟོང་པ་རབ་བསྟན་པ། ||| Is not within the field of experience of the foolish. {28}
།འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་ས། །འདི་ནི་སངས་རྒྱས་སྲས་སྤྱོད་པ། ||| “This level of the bodhisattvas Is that of bodhisattva practice.
།སངས་རྒྱས་ཆོས་ཀྱི་རྒྱན་ཡིན་ནོ། ||| It is the adornment of the Buddha’s Dharma. It is the peace and emptiness that has been taught. {29}
།འདི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་དག །བག་ཆགས་རབ་ཏུ་སྤངས་གྱུར་པ། ||| “When the bodhisattvas Eliminate their propensities
།དེ་དག་གཟུགས་ཀྱིས་མི་འཕྲོགས་ཏེ། །སངས་རྒྱས་རིགས་ལ་དེ་དག་གནས། ||| They remain in the family of the buddhas And are not captured by form. {30}
།ཆོས་རྣམས་ཐམས་ཅད་གནས་མེད་དེ། ||| “All phenomena are without location;
།དེ་དག་ལ་ནི་གནས་ཡོད་མིན། ||| They have no location that can be known.
།གང་གིས་དེ་ལྟར་གནས་ཤེས་པ། ||| For the one who knows this about their location,
།དེ་ལ་བྱང་ཆུབ་རྙེད་མི་དཀའ། ||| Enlightenment is not difficult to attain. {31}
།སྦྱིན་དང་ཚུལ་ཁྲིམས་ཐོས་དང་བཟོད། ||| “Generosity, conduct, learning, and patience,
།བཤེས་གཉེན་བཟང་པོ་བསྟེན་བྱས་ནས། ||| And relying upon a good friend:
།བྱ་བ་འདི་དག་རྣམ་རིག་ན། ||| Those who know these activities
།བྱང་ཆུབ་མྱུར་དུ་དེ་འཚང་རྒྱ། ||| Will quickly attain enlightenment. {32} “Devas, nāgas, yakṣas, and asuras,
།དེ་ལ་ལྷ་ཀླུས་རྟག་ཏུ་བཀུར་སྟི་བྱེད། ||| Mahoragas and gandharvas, will always honor them.
།གནོད་སྦྱིན་ལྷ་མིན་ལྟོ་འཕྱེ་དྲི་ཟ་དང་། །ནམ་མཁའ་ལྡིང་གི་རྒྱལ་པོ་ཐམས་ཅད་དང་། །མི་འམ་ཅི་དང་སྲིན་པོས་མཆོད་པ་བྱེད། ||| All the kings of the garuḍas, kinnaras, And rākṣasas will make offerings to them. {33}
།སངས་རྒྱས་བྱེ་བ་དེ་ཡི་སྙན་པ་བརྗོད། ||| “Millions of buddhas will recite their praises
།བསྐལ་པ་བྱེ་བ་མང་པོར་མི་འཆད་པར། ||| Continuously for many millions of eons.
།ཆོས་བཤད་པ་ཡི་བསྔགས་པ་བརྗོད་ན་ཡང་། །དེ་ཡི་མུ་མཐའ་ཟད་པར་ནུས་མི་འགྱུར། ||| It is not possible to reach the end Of such praise for one who teaches this Dharma. {34}
།བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་སྟོང་ཤེས་པ། ||| “The bodhisattvas who know emptiness
།དེ་ནི་སྲོག་ཆགས་བྱེ་བའི་དོན་མང་བྱེད། ||| Benefit many millions of beings.
།ཤིན་ཏུ་དེས་པས་འཁོར་ལ་ཆོས་སྟོན་ཏེ། ||| They kindly teach the Dharma to assemblies
།ཐོས་ནས་དགའ་ཞིང་རི་མོར་བྱེད་པ་སྐྱེད། ||| And those who hear it are delighted and respectful.{35}
།དེ་དག་གིས་ནི་ཡེ་ཤེས་ཡངས་པ་འབྱུང་། ||| “They gain vast knowledge
།དེ་ཕྱིར་རྒྱལ་བ་མི་མཆོག་མཐོང་བར་འགྱུར། ||| So that they see the supreme humans.
།ཞིང་རྣམས་ན་ཡང་བཀོད་པ་བཟང་པོ་མཐོང་། ||| They see the beautiful display of their realms
།འཇིག་རྟེན་མགོན་པོ་དེ་ལ་ཆོས་རྣམས་སྟོན། ||| And the lords of the worlds teach them the Dharma. {36}
།ཆོས་ཀུན་སྒྱུ་མ་ལྟ་བུར་ཤེས་པར་གྱིས། ||| “Know that all phenomena are like illusions;
།ཇི་ལྟར་བར་སྣང་རང་བཞིན་སྟོང་པ་ལྟར། ||| Know that just as space is naturally empty,
།དེ་དག་གི་ཡང་རང་བཞིན་དེ་འདྲར་ཤེས། ||| Phenomena are also naturally like that.
།དེ་ལྟར་སྤྱོད་པ་ཅི་ལའང་ཆགས་མི་འགྱུར། །ཡེ་ཤེས་ཆགས་པ་མེད་ཅིང་དོན་བྱེད་ཅིང་། ||| In that way there will be no attachment in any kind of activity. {37} “With unimpeded wisdom, benefiting others,
།འཇིག་རྟེན་ན་ཡང་བྱང་ཆུབ་སྤྱད་མཆོག་སྤྱོད། ||| Performing supreme bodhisattva conduct in the world,
།ཤེས་པས་ཆོས་ཀུན་ལ་ཡང་རབ་བརྟགས་ཏེ། ||| With wisdom examining all phenomena,
།དེ་དག་ཞིང་རྣམས་གཞན་དུའང་སྤྲུལ་པ་འགྱེད། ||| They send emanations to other realms. {38}
།སྤྲུལ་པ་དེ་དག་སངས་རྒྱས་དོན་བྱས་ནས། ||| “Those emanations accomplish buddha activities.
།ཇི་ལྟར་ཆོས་ཉིད་བཞིན་དུ་རང་བཞིན་འགྱུར། ||| They go naturally, just as is their nature.
།བྱང་ཆུབ་སེམས་ལ་མི་གང་གནས་པ་རྣམས། ||| The beings who remain in the aspiration to enlightenment
།བསམ་པ་ཇི་བཞིན་དོན་རྣམས་རྙེད་པར་འགྱུར། ||| Will attain whatever goals they wish for. {39}
།སངས་རྒྱས་རིགས་ནི་གནས་པར་གང་བརྩོན་པ། ||| “Those who are steadfastly within the buddha family
།དེ་ནི་རྟག་ཏུ་སངས་རྒྱས་བྱས་པ་གཟོ། ||| Will always honor the buddhas.
།རྣམ་པར་འབར་བའི་ལུས་དང་རབ་ལྡན་ཞིང་། ||| Their bodies will shine brightly,
།མཚན་བཟང་སུམ་ཅུ་རྩ་གཉིས་དེ་ལ་འབྱུང་། ||| Adorned by the thirty-two excellent signs. {40} “They will attain the conduct that is within the supreme samādhi
།ཕན་ཡོན་གཞན་ཡང་མང་པོ་མཐའ་ཡས་པ། །ཏིང་འཛིན་མཆོག་ལ་སྤྱོད་པས་ཐོབ་པར་འགྱུར། ||| And an endless multitude of other benefits.
།རྟག་ཏུ་མི་སྒུལ་སྟོབས་ཀྱང་ཆེ་བར་འགྱུར། ||| They will always have great, unshakable strength
།དེ་ཡི་གཟི་བརྗིད་རྒྱལ་པོས་མི་བཟོད་དེ། ||| And a majesty that outshines that of kings. {41}
།མཁས་པ་སུ་དག་སངས་རྒྱས་ཆོས་སྤྱོད་པ། ||| “The wise who practice the Buddha’s Dharma
།བྱད་བཞིན་བཟང་ཞིང་ཤིན་ཏུ་མཛེས་པར་འགྱུར། ||| Will have an excellent appearance and great beauty.
།བསོད་ནམས་གཟི་བརྗིད་དཔལ་གྱིས་མངོན་འཕགས་ཏེ། ||| Their merit and majesty and splendor will increase.
།ལྷས་ཀྱང་དེ་ཡི་གཟི་བརྗིད་བཟོད་མི་འགྱུར། ||| Their majesty will outshine even that of the devas. {42}
།སུ་དག་བྱང་ཆུབ་སེམས་ལ་བརྟན་གནས་པ། ||| “Those who steadfastly remain in the aspiration to enlightenment
།དེ་ནི་རྟག་ཏུ་སྲོག་ཆགས་ཀུན་གྱི་བཤེས། །སངས་རྒྱས་བྱང་ཆུབ་འདི་ནི་རབ་སྟོན་པ། ||| Will always be friends to all beings.
།དེ་ལ་ནམ་ཡང་མུན་པ་མེད་པར་འགྱུར། ||| There will never be any darkness
།སྒྲ་དང་ཚིག་གི་ལམ་བྲལ་བརྗོད་དུ་མེད། ||| In their teaching of the enlightenment of buddhahood. {43}
།ནམ་མཁའ་ཇི་བཞིན་ཆོས་ཀྱི་རང་བཞིན་ཏེ། ||| “The nature of phenomena is like that of space, Inexpressible, beyond speech and words.
།འདི་ལྟ་བུ་ཡི་ཚུལ་མཆོག་རྣམ་རིག་ན། ||| Those who know that supreme nature
།དེ་ཡི་སྤོབས་པ་དག་ཀྱང་མི་ཟད་འགྱུར། ||| Will have an unceasing confidence in teaching. {44}
།མདོ་སྡེ་དག་ནི་བརྒྱ་སྟོང་རབ་བཤད་ཀྱང་། ||| “Even though they teach a hundred thousand sūtras,
།སྔོན་གྱི་མཐའ་མ་ཕྲ་ཞིབ་རབ་ཏུ་ཤེས། ||| They know the finest details of the past. The wise will always have unimpeded speech,
།ཆོས་ཀྱི་རང་བཞིན་ཤིན་ཏུ་ཕྲ་ཤེས་པས། །མཁས་པའི་ཚིག་ནི་རྟག་ཏུ་ཐོགས་པ་མེད། ||| Knowing the subtlety of the nature of phenomena. {45}
།རྟག་པར་ཚུལ་བརྒྱ་དག་ལ་མཁས་གྱུར་ཅིང་། ||| “They will be skilled in hundreds of ways.
།སྒྲ་དང་ངེས་ཚིག་རྣམ་པ་མང་ལ་མཁས། ||| They will have mastered the many kinds of words and definitions.
།ལས་དང་འབྲས་བུ་རྣམ་སྨིན་ངེས་པ་སྟེ། ||| They have certainty in the ripening of actions and results.
།ཁྱད་པར་འཕགས་པའི་བྱེ་བྲག་དེ་འདྲར་འགྱུར། ||| They become distinctively preeminent in that way. {46} “They will possess unimpaired power.
།མཁས་པ་བདག་ཉིད་ཆེན་པོ་སྟོབས་བཅུའི་སྲས། །མ་ཚང་མེད་པའི་སྟོབས་ཀྱིས་ཤུགས་འཆང་ཞིང་། ||| They are great wise ones, the heirs of those with the ten strengths.
།ཤིན་ཏུ་ཕྲ་བའི་རང་བཞིན་ཆོས་ཤེས་པས། ||| Knowing the subtle nature of phenomena,
དེ་ཡི་དྲན་པ་རྟག་པར་ཡོངས་སུ་དག །ཤིན་ཏུ་ཕྲ་བའི་རང་བཞིན་ཆོས་ཤེས་པས། ||| They will always have a completely pure memory. {47} “Because they know the subtle nature of phenomena,
།ཡིད་དུ་མི་འོང་སྒྲ་ནི་ཐོས་མི་འགྱུར། ||| They will never hear an unpleasant sound.
།རྟག་ཏུ་སྙན་ཅིང་ཡིད་འོང་སྒྲ་ཡང་ཐོས། ||| They always hear pleasant and melodious sounds
།དེ་ཡི་ཚིག་ནི་རྟག་ཏུ་ཡིད་འོང་འགྱུར། ||| And their words are always pleasant. {48}
།ཤིན་ཏུ་ཕྲ་བའི་རང་བཞིན་ཆོས་ཤེས་པས། ||| “Because they know the very subtle nature of phenomena,
།དྲན་དང་བློ་གྲོས་ཤེས་རབ་རྟོགས་དང་ལྡན། ||| They have memory, understanding, wisdom, and realization.
།དེ་བཞིན་སེམས་ཀྱང་རྙོག་མེད་དང་བར་འགྱུར། ||| Similarly, their minds are clear and unpolluted
།མདོ་སྡེ་བརྒྱ་ཕྲག་དུ་མ་རབ་ཏུ་འཆད། །ཡོན་ཏན་འདི་འདྲའི་རང་བཞིན་ཆོས་ཤེས་པས། ||| And they teach many hundreds of sūtras. {49}
།ཡི་གེ་དང་ནི་ཚིག་རྣམས་འབྱེད་ལ་མཁས། ||| “They are learned in the categories of letters and words.
།ཐ་དད་པ་ཡི་སྒྲ་མང་དུ་མ་ཤེས། ||| They know many different kinds of sounds,
།དོན་དང་ཚིག་འབྲུ་ལ་ཡང་མཁས་པར་འགྱུར། ||| And they are skilled in meanings and letters. They have these qualities through knowing the nature of phenomena. {50}
།ཤིན་ཏུ་ཕྲ་བའི་རང་བཞིན་ཆོས་ཤེས་པས། ||| “Because they know the subtle nature of phenomena
།ལྷ་དང་མི་དང་ཀླུ་འབྲུག་སྲིན་པོ་དང་། །ལྷ་མིན་ལྟོ་འཕྱེ་མིའམ་ཅི་ལ་ཡང་། །རྟག་ཏུ་སྡུག་ཅིང་ཡིད་དུ་འོང་བར་འགྱུར། ||| They are always attractive and charming To devas, humans, nāgas, and rākṣasas, Asuras, mahoragas, and kinnaras. {51}
།ཤིན་ཏུ་ཕྲ་བའི་རང་བཞིན་ཆོས་ཤེས་པས། ||| “Because they know the subtle nature of phenomena They never perceive as frightening
།འབྱུང་པོ་ཡི་དགས་སྲིན་པོའི་ཚོགས་རྣམས་ནི། །ཤ་ལ་ཟ་བ་ཤིན་ཏུ་མི་བཟད་པ། །དེ་དག་ནམ་ཡང་དེ་ལ་འཇིགས་མི་བྱེད། ||| The extremely terrible and flesh-devouring Crowds of spirits, pretas, and rākṣasas. {52}
།མཁས་པ་དེ་དག་ཡངས་པའི་གཏམ་ཐོས་ནས། ||| “Those who hear the vast teaching of the wise
།ཤིན་ཏུ་དགའ་ཞིང་བ་སྤུ་ཟིང་ཞེས་བྱེད། ||| Experience vast joy and their hairs stand on end.
།སངས་རྒྱས་ལ་ཡང་དགའ་བ་རྒྱ་ཆེར་སྐྱེད། ||| They develop a vast attraction to the buddhas,
།དེ་དག་བསམ་གྱིས་མི་ཁྱབ་དོན་ཆེན་འཐོབ། ||| And gain a vast, inconceivable benefit. {53}
།བདེ་བར་གཤེགས་པའི་ཆོས་མཛོད་འདི་བཟུང་བའི། །བསྐལ་པ་སྟོང་མང་དེ་ཡི་བསོད་ནམས་སྟོབས། །རབ་ཏུ་བརྗོད་ཀྱང་རྫོགས་པར་མི་ནུས་ཏེ། །དཔག་ཏུ་མེད་ཅིང་མཐའ་ཡས་ཚད་མེད་དོ། ||| “Even by speaking for many thousands of eons It is not possible to describe the power of the merit That comes from memorizing this Dharma treasure of the sugatas. It is immeasurable, infinite, and unquantifiable. {54} “The jinas to whom offerings have been made in the past, The countless buddhas of the future,
།ཏིང་འཛིན་ཞི་བའི་མཆོག་འདི་བཟུང་བ་ཡིས། །འདས་པའི་རྒྱལ་བ་དཔག་མེད་ཐམས་ཅད་དང་། །སངས་རྒྱས་མ་བྱོན་པ་དང་ཕྱོགས་བཅུ་ན། །སངས་རྒྱས་གང་བཞུགས་དེ་དག་དེ་ཡིས་མཆོད། ||| And the buddhas who are present in the ten directions, Are so by having memorized this supreme samādhi of peace. {55}
།སྐྱེས་བུ་ལ་ལ་བསོད་ནམས་འདོད་པས་འདིར། ||| “If a person who wishes for merit, With immeasurable affection for them
།སྟོབས་བཅུ་ལྡན་པའི་ཐུགས་རྗེ་ཅན་དག་ལ། །དགའ་བ་དཔག་ཏུ་མེད་པ་བསྐྱེད་ནས་ནི། ||| Serves compassionate ones with the ten strengths
།བསྐལ་པ་མཐའ་ཡས་དཔག་མེད་རིམ་གྲོ་བྱས། ||| For countless endless millions of eons, {56}
།སྐྱེས་བུ་གཉིས་པ་བསོད་ནམས་འདོད་པ་ཡིས། ||| “And if a second person who wishes for merit
།དོན་དམ་ཚུལ་འདི་ལས་ནི་ཚིགས་བཅད་གཅིག །ཕྱི་མའི་དུས་སུ་གྱུར་ཚེ་འཛིན་པ་ནི། ||| Memorizes, during future times, One verse from this way of the ultimate truth,
།དེ་ལ་སྔ་མའི་བསོད་ནམས་ཆར་མི་ཕོད། ||| Then the previous person’s merit will not even be a fraction of that. {57}
།འདི་ནི་སངས་རྒྱས་མཆོད་པ་རབ་མཆོག་སྟེ། ||| “This will be the supreme offering to the buddhas.
།ཕྱི་མ་མི་བཟད་དུས་སུ་གྱུར་པའི་ཚེ། ||| During the future dreadful times
།འདི་ལས་ཚིག་བཞིའི་ཚིགས་བཅད་གཅིག་ཐོས་ནས། ||| Hearing one of these four-line verses
།འཛིན་པ་དེས་ནི་སངས་རྒྱས་ཐམས་ཅད་མཆོད། ||| And memorizing it will be an offering to all the buddhas. {58}
།དེ་དག་རྟག་ཏུ་རྙེད་མཆོག་ལེགས་པར་རྙེད། ||| “They will always obtain the best provisions.
།དེ་དག་གྲོང་གི་ཟས་མཆོག་ལེགས་པར་ཟོས། ||| They will always eat the best alms of the land.
།སྟོབས་བཅུའི་སྲས་ཀྱི་ཐུ་བོ་དམ་པ་སྟེ། ||| As the best senior heirs of the one with ten strengths,
དེ་ཡིས་རྒྱལ་བ་མང་པོ་ཡུན་རིང་མཆོད། ||| They will for a long time make offerings to many jinas. {59}
།བྱ་རྒོད་ཕུང་པོའི་རི་འདིར་ང་ཡང་མཐོང་། ||| “They will also see myself here on Vulture Peak Mountain.
།དེ་དག་སངས་རྒྱས་མཁྱེན་ལ་ངས་ལུང་བསྟན། ||| And I, in buddha wisdom, will thus prophesy to them.
།མྱ་ངན་ང་འདས་ནས་ནི་བྱམས་པ་ཡང་། ||| Also, after my passing away, there will be Maitreya,
།དེ་ཚེ་དེ་ལ་ལུང་ཡང་སྟོན་པར་འགྱུར། ||| Who at that time will also prophesy to them. {60}
།དེ་བཞིན་སངས་རྒྱས་ཚེ་དཔག་མེད་པ་ཡང་། །ང་ཡི་བདེ་བ་ཅན་དུ་ཀུན་འདོད་ཞེས། ||| “Similarly, Buddha Amitāyus also
།ཕན་ཡོན་རྣམ་པ་དུ་མ་དེ་ལ་འཆད། ||| Has taught many other kinds of benefits: ‘All will enter my Sukhāvatī,
།མངོན་དགའ་དེར་སོང་སངས་རྒྱས་མི་འཁྲུགས་མཐོང་། ||| And go to Abhirati and see Buddha Akṣobhya.’ {61}
།བསྐལ་པ་བརྒྱ་སྟོང་དཔག་ཏུ་མེད་པར་ཡང་། ||| “For countless hundreds of thousands of eons
།ལོགས་པར་ལྟུང་བའི་འཇིགས་པ་ཡོང་མི་འབྱུང་། ||| They will never have the fear of downfalls.
།བྱང་ཆུབ་སྤྱད་པ་མཆོག་འདི་སྤྱོད་པ་ནི། ||| In this supreme practice of bodhisattva conduct
།རྟག་ཏུ་ཡིད་རབ་བདེ་བ་མྱོང་བར་འགྱུར། ||| They will always experience happiness. {62}
།དེ་ཕྱིར་བྱེ་བྲག་འདི་འཕགས་དེ་འདྲ་སྟེ། ||| “In that way it has been taught that this,
།འདི་ནི་རབ་ཏུ་བཤད་པ་ཕན་ཡོན་མཆོག །སོ་སོའི་ཚིག་ལ་ང་ཡི་རྗེས་སློབས་ལ། ||| Which is preeminent, has the most excellent merit. May I learn every single word,
།ཕྱི་མའི་དུས་ལ་མདོ་སྡེ་འདི་ཟུང་ཤིག །མདོ་སྡེ་འཛིན་པའི་ལེའུ་སྟེ་བཅུ་གཅིག་པའོ།། །། ||| And in future times be a keeper of this sūtra.” {63} Conclusion of the eleventh chapter, “Becoming a Keeper of the Sūtra.” The Training According to the Samādhi Chapter 12
གཞོན་ནུ་དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་ཆོས་ཐམས་ཅད་ཀྱི་ངོ་བོ་ཉིད་ཤེས་པ་དེའི་ཡོན་ཏན་དང་ཕན་ཡོན་དེ་ལྟ་བུར་འགྱུར་རོ། ||| “Young man, those are the qualities and benefits that bodhisattvas who know the nature of all phenomena will have.
།དེ་བཞིན་གཤེགས་པའི་ཡོན་ཏན་དང་བསྔགས་པ་ཡང་དག་པར་སྨྲའོ། ||| They will describe the true, excellent qualities of the tathāgatas.
།དེ་བཞིན་གཤེགས་པ་ལ་ཡང་དག་པ་མ་ཡིན་པ་དང་མེད་པས་མི་སྐུར་ཏོ། ||| They will not falsely say that which is untrue about the tathāgatas.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
ཆོས་གང་གིས་དེ་བཞིན་གཤེགས་པར་རབ་ཏུ་དབྱེ་བའི་ཆོས་ཉིད་དེ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་ཤིང་། །སངས་རྒྱས་ཀྱི་ཡོན་ཏན་མཐའ་ཡས་པར་རབ་ཏུ་ཤེས་སོ། ||| It is because they know perfectly that nature, which is the nature through which a tathāgata comes to be. They know the infinite qualities of a buddha.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
གཞོན་ནུ་སངས་རྒྱས་ཀྱི་ཡོན་ཏན་ནི་མཐའ་ཡས་ཏེ། བསམ་གྱིས་མི་ཁྱབ་ཅིང་བསམ་པ་དང་བྲལ་བས་ན། ||| Young man, the qualities of a buddha are infinite, inconceivable, beyond thought.
།དེ་དག་བསམ་པའམ་དཔག་པར་མི་ནུས་སོ། ||| They cannot be conceived or measured.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
གཞོན་ནུ་སེམས་ཀྱི་ངོ་བོ་ཉིད་ནི་གཟུགས་མེད་པ་བསྟན་དུ་མེད་པ་སྟེ། གཞོན་ནུ་དེ་ལྟར་སེམས་ཀྱི་ངོ་བོ་ཉིད་གང་ཡིན་པ་སངས་རྒྱས་ཀྱི་ཡོན་ཏན་གྱི་ངོ་བོ་ཉིད་ཀྱང་དེ་ཡིན་ནོ། ||| The mind, young man, is taught to be without a nature of its own, to be without form. Young man, that nature of the mind is also the nature of the qualities of a buddha.
།སངས་རྒྱས་ཀྱི་ཡོན་ཏན་གྱི་ངོ་བོ་ཉིད་གང་ཡིན་པ་དེ་བཞིན་གཤེགས་པའི་ངོ་བོ་ཉིད་ཀྱང་དེ་ཡིན་ནོ། །དེ་བཞིན་གཤེགས་པའི་ངོ་བོ་ཉིད་གང་ཡིན་པ་ཆོས་ཐམས་ཅད་ཀྱི་ངོ་བོ་ཉིད་ཀྱང་དེ་ཡིན་ཏེ། ||| That nature of the qualities of a buddha is also the nature of the tathāgatas, and that is the nature of all phenomena.
གཞོན་ནུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དེ་ལྟར་ཡོན་ཏན་ཐམས་ཅད་ཀྱི་ངོ་བོ་ཉིད་དོན་གཅིག་ཏུ་བསྟན་པ། ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ་དེ་ནི་གཞོན་ནུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡིད་ཀྱིས་ངེས་པར་བརྟགས་པ་ཞེས་བྱ་སྟེ། ||| “Young man, the bodhisattva mahāsattvas who know correctly that teaching on the nature of all the qualities are, young man, called bodhisattva mahāsattvas with profound comprehension.
འབྱུང་བ་ལ་མཁས་ཤིང་ཁམས་གསུམ་ལས་འབྱུང་བ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་སོ། ||| They are skilled in emancipation. They know perfectly emancipation from the three realms.
།ཇི་ལྟ་བ་བཞིན་དུ་ལྟ་ཞིང་ལོག་པར་མི་སྨྲ། རྣམ་པ་གཞན་དུ་མི་སྨྲ། ||| They have perfect knowledge, do not teach that which is erroneous, and do not say that which is anything other than true.
ཇི་སྐད་སྨྲ་བ་དེ་བཞིན་བྱེད། ||| Their conduct is in line with what they teach.
ཁམས་གསུམ་ལ་མ་ཆགས་ཤིང་ཁམས་གསུམ་ལས་ཡང་དག་པར་འདས་ཏེ། ||| They have no attachment to the three realms. They have transcended the three realms.
