འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཅུ་པ་སྟེ་ཀུན་ནས་སྒོའི་ལེའུ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མན་ཏ་མུ་ཁ་པ་རི་བརྟ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Exposition on the Universal Gateway
སྒྱུ་མ་ལྟ་བུར་དངོས་པོ་མེད། ། ||| Like an illusion, they are insubstantial.
མེད་ཅིང་ཡ་མ་བརླར་ཤེས་པས། །དེས་ན་ཏིང་ངེ་འཛིན་ཅེས་བསྟན། ། ||| Knowing them to be nonexistent and hollow, I have taught them to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་ཡིད་ཀྱི་ཁམས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, that is how you should understand mental objects to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་བུད་མེད་ཀྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand the female figure to be absorption?
འབྱུང་བ་ཆེན་པོ་བཞི་པོ་དག །དེ་ལ་བུད་མེད་ཡོད་མིན་ཡང་། །བྱིས་པ་རྣམས་ནི་རྨོངས་པའི་བློས། །འདོད་པའི་གསོག་ལ་སྤྱོད་པར་བྱེད། ། ||| “Though women do not exist Within the four major elements, The immature, with their confused minds, Engage in trifling desires.
སྒྱུ་མའི་བུད་མེད་མཚན་མེད་ཀྱང་། །བུད་མེད་གཟུགས་སུ་སྣང་བ་ལ། ། ||| “Though illusory women are without marks, They appear as the female figure.
གང་དག་མུན་པས་བསྒྲིབས་པའི་མི། །དེ་ལ་ཀུན་དུ་ཆགས་པ་སྐྱེད། ། ||| Those men who are enclosed in darkness Give rise to strong attachment toward them.
ཇི་ལྟར་སྒྱུ་མའི་བུད་མེད་ལ། །འདོད་ཆགས་ལྡན་པའི་སེམས་བསྐྱེད་ཀྱང་། །དེ་ལ་བུད་མེད་ཡོད་མ་ཡིན། ། ||| “While they give rise to desirous thoughts Regarding illusory women, These women are nonexistent.
ཕྱིན་ཅི་ལོག་གི་སེམས་ཀྱིས་ནི། །བསྐལ་པ་བྱེ་བ་གྲངས་མེད་དུ། །བློ་གྲོས་ཆུང་རྣམས་འཁོར་བར་བྱེད། ། ||| “It is this mistaken mind That has made the simple-minded Circle around for countless eons.
དེ་ནས་དངོས་པོ་མེད་ཤེས་ན། །བུད་མེད་ཐམས་ཅད་མཚན་ཉིད་མེད། ། ||| “Therefore, if you know insubstantiality, All women are without characteristics.
ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །བུད་མེད་གཟུགས་ཀྱིས་རབ་ཏུ་བསྟན། ། ||| This statement on the peace of absorption I have made with reference to the female figure.
འཇམ་དཔལ་དེ་ལྟར་ན་བུད་མེད་ཀྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, that is how you should understand the female figure to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་སྐྱེས་པའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand the male figure to be absorption?
འདི་ནི་བུད་མེད་བདག་སྐྱེས་པར། །ཇི་ལྟར་སྐྱེས་པས་བརྗོད་པ་ལས། །དེ་ཡི་ཚེ་ན་དེ་ཡི་སེམས། །འདོད་ཆགས་ལྡན་པ་བརྫུན་པ་འབྱུང་། ། ||| “When men declare: ‘This is a woman and I am a man,’ In that instant, their minds Become desirous and mistaken.
སེམས་ནི་གཟུགས་མེད་གཟུང་བ་མེད། ། ||| “Yet mind is formless and imperceptible.
བུད་མེད་སྐྱེས་པར་བསྟན་པ་མེད། ། ||| It is indemonstrable as woman or man.
ཀུན་ཏུ་རྟོག་པས་སྒྲོ་བཏགས་ནས། །སྐྱེས་པའི་འདུ་ཤེས་འབྱུང་བར་འགྱུར། ། ||| It is conceptual superimpositions That give rise to the perception of man.
འདི་ནི་བུད་མེད་བདག་དཔའ་ཞེས། ། ||| “Men declare: ‘This is a woman and I am a man.’
འདུ་ཤེས་གང་གིས་རྣམ་བརྟགས་པ། །དེ་ངས་སྨིག་རྒྱུ་འདྲར་གསུངས་ཏེ། །དེ་ལ་སྐྱེས་པ་ཡོད་མ་ཡིན། ། ||| Yet all such imputed notions I have taught to be like a mirage, And no man exists therein.
སྐྱེས་པ་ཉིད་ནི་བརྫུན་པས་ན། །དེ་ནི་མེད་ལས་བྱུང་བ་ཡིན། ། ||| “Since the nature of man is illusory, He has arisen out of nonexistence.
ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །དཔའ་བོའི་གཟུགས་ཀྱིས་རབ་ཏུ་བསྟན། ། ||| This statement on the peace of absorption I have made with reference to the male figure.
འཇམ་དཔལ་དེ་ལྟར་ན་སྐྱེས་པའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand the male figure to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ཁྱེའུའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand boys’ figures to be absorption?
ལྗོན་པའི་མྱུ་གུ་ཡོད་མིན་ན། །མེ་ཏོག་འབྱུང་བར་ག་ལ་འགྱུར། ། ||| “If there is no sapling, How can a flower appear?
མེ་ཏོག་ཡོད་པ་མ་ཡིན་ན། །འབྲས་བུ་འཐོབ་པའང་མེད་པ་ལྟར། ། ||| If there is no flower, The fruit cannot grow either.
བུད་མེད་ཡོད་པ་མ་ཡིན་པས། །ཁྱེའུ་ཡང་དམིགས་པར་མི་འགྱུར་ཏེ། ། ||| “Likewise, since women are nonexistent, Boys cannot be apprehended either.
བརྟགས་པའི་དབང་དུ་སོང་རྣམས་ཀྱིས། །ཁྱེའུ་ཞེས་བྱ་བར་བཏགས་པ་ཡིན། ། ||| Those who are under the sway of their imaginations, Falsely conceive what they call boy.
བུད་མེད་སྐྱེ་བ་མེད་ཤེས་ན། །ཁྱེའུ་ཡང་འབྱུང་བ་ཡོད་མིན་ཏེ། ། ||| “If you know woman to be unborn, Boys have no origin either.
དངོས་པོ་ཐམས་ཅད་མེད་རྟོགས་པས། །དེས་ན་ཁྱེའུ་ནི་ཏིང་འཛིན་བསྟན། ། ||| Realizing all entities to be nonexistent, I have taught boys to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་ཁྱེའུའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand boys’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་བུ་མོའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand girls’ figures to be absorption?
ཇི་ལྟར་ཏ་ལའི་མགོ་བཅད་པ། །དེ་ནི་ནམ་ཡང་མི་སྐྱེ་སྟེ། ། ||| “If a palm tree’s crown is cut off, It can never grow again.
མཁས་པས་ཤེས་ནས་དེ་ལ་ནི། །འབྲས་བུ་ཐོབ་པར་འདོད་པ་མེད། ། ||| Knowing this, the wise Will not wish for any fruits to appear.
དེ་བཞིན་མཁས་པས་བུད་མེད་ཀྱང་། །རྣམ་ཀུན་སྐྱེ་བ་མེད་ཤེས་པས། །བརྟན་པ་བུ་མོ་སྐྱེས་སོ་ཞེས། །ཕྱིན་ཅད་རྟོག་པར་མི་བྱེད་དོ། ། ||| “Likewise, once the wise know that women Have also never been born, They no longer wrongly think, ‘Their basis, a girl, has been born.’
ས་བོན་སྐམས་པར་གྱུར་པ་ལ། །རྣམ་ཀུན་སྐྱེ་བ་མེད་ཤེས་པས། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །བུ་མོའི་གཟུགས་ཀྱིས་རབ་ཏུ་བསྟན། ། ||| “Knowing that when a seed is parched It can no longer grow, This statement on the peace of absorption I have made with reference to girls’ figures.
འཇམ་དཔལ་དེ་ལྟར་ན་བུ་མོའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand girls’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ལྷའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand gods’ figures to be absorption?
རྣམ་རྟོག་དགེ་ལས་བྱུང་བ་ཡི། །ལས་དགེའི་འབྲས་བུ་ལྷ་རྣམས་ཏེ། །རབ་ཏུ་དང་བའི་ཡིད་ཀྱིས་ནི། ། ||| “Gods are the result of virtuous action Produced by virtuous thoughts.
མཛེས་པའི་ལྷ་རྣམས་མངོན་པར་གྲུབ། ། ||| Pure minds cause The manifestation of beautiful gods.
གཞལ་མེད་ཁང་པ་ཉམས་དགའ་བ། །དེ་དག་གཞན་སུས་བྱས་པ་མིན། ། ||| “Their delightful palaces Are not created by anyone else.
མེ་ཏོག་མན་དཱ་ར་བ་ཡང་། །དེ་དག་གཞན་སུས་བསྐྱེད་པ་མིན། ། ||| The mandārava flower too Is not made by anyone else.
སྒྱུ་མའི་ལས་ལས་ཀུན་བྱུང་བས། །བྱུང་བ་རྣམས་ཀྱང་བསམ་དུ་མེད། ། ||| “Produced by illusory action, These appearances are inconceivable.
བཟང་པོར་སྣང་བའི་བཻ་དཱུརྱ། །ལོག་པས་གྲུབ་པ་རྣམས་ཀྱང་བརྫུན། །ཡང་དག་མིན་པས་ཀུན་བསྐྱེད་པས། ། ||| The beautiful glitter of beryl gems Is also false and untrue.
ལྷ་རྣམས་བརྫུན་པར་ཤེས་པས་ན། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །ལྷ་ཡི་གཟུགས་ཀྱིས་བསྟན་པ་ཡིན། ། ||| “Knowing that gods manifest in an unreal manner And are therefore unreal, This statement on the peace of absorption I have made with reference to the gods’ figures.
འཇམ་དཔལ་དེ་ལྟར་ན་ལྷའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand gods’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ཀླུའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand nāgas’ figures to be absorption?
མི་བཟོད་བསྐྱེད་པ་བྱས་ནས་ནི། །ཡོད་མིན་སྤྲིན་གྱི་གཟུགས་བསྟན་ཅིང་། ། ||| “By becoming intolerant, They manifest the forms of nonexistent clouds.
ཆར་པའི་རྒྱུན་དག་རབ་འབེབས་པ། །དེ་དག་ནང་ན་མི་གནས་ཀྱང་། ། ||| Although they do not remain in those clouds, They bring down heavy rainfall.
འཛམ་བུའི་གླིང་འདིར་རྒྱ་མཚོ་དང་། །ཀླུང་དང་དུག་ཅན་ཡོངས་སུ་འགེངས། ། ||| “They fill up the seas, Rivers, and oceans here in Jambudvīpa.
སྔོན་གྱི་མཐའ་འམ་ཕྱི་མའི་མཐར། ། ||| Yet, whether in the beginning or the end, This water is devoid of origin.
ཆུ་ནི་འབྱུང་བ་ཡོད་མ་ཡིན། །དེ་དང་མཚུངས་པའི་སེམས་ཅན་ཀུན། །རྩོམ་པ་སྣ་ཚོགས་བསླབས་པ་རྣམས། །ལས་རྣམས་སྣ་ཚོགས་སྟོན་བྱེད་ཀྱང་། །ལས་དེ་འབྱུང་བ་ཡོད་མ་ཡིན། ། ||| “All beings are similar to that water— They are skilled in various undertakings And display various karmic actions, But these karmic actions have no origin.
མཁས་པས་བྱིས་པ་རྨོངས་བྱེད་པའི། །སྒྱུ་འདི་མ་བྱུང་ཤེས་པས་ན། ། ||| “The wise know these illusions, Which delude the immature, to be unarisen.
བདེན་པ་མ་ཡིན་བདེན་སྣང་བས། །ཀླུ་ནི་ཏིང་ངེ་འཛིན་དུ་བསྟན། ། ||| Thus, since the untrue appears as true, I have taught nāgas to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་ཀླུའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, that is how you should understand nāgas’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་གནོད་སྦྱིན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand yakṣas’ figures to be absorption?
སེམས་ནི་རྣམ་པར་གྱུར་པ་ལས། །འཇིགས་པའི་གཟུགས་ནི་མངོན་གྲུབ་པ། ། ||| “From the transformation of the mind Manifests a terrifying figure.
ལུས་ཀྱི་བོང་ཚོད་ཆེ་བ་ཡང་། །སེམས་གཅིག་གིས་ནི་ཀུན་དུ་བསྐྱེད། ། ||| Though its body may be great, It was created by a single mind.
སེམས་ལ་འཇིགས་པ་ཡོད་མིན་ཏེ། །ཚོགས་པ་དག་ལས་འཇིགས་པ་སྐྱེ། ། ||| “Fear does not exist within the mind; It appears from a combination of factors.
ཡོད་པ་མིན་པའི་ལས་རྣམས་ལས། །མི་སྡུག་རྣམ་པ་བསམ་ཡས་ལྟོས། ། ||| Look at the inconceivable array of hideous forms Arising out of nonexistent action!
མི་སྡུག་རྣམ་པ་བསམ་ཡས་པ། །ཤིན་ཏུ་སྟོང་པར་ཤེས་པས་ན། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །གནོད་སྦྱིན་གཟུགས་ཀྱིས་བསྟན་པ་ཡིན། ། ||| “Knowing this inconceivable array of hideous forms To be utterly empty, This statement on the peace of absorption I have made with reference to the yakṣas’ figures.
འཇམ་དཔལ་དེ་ལྟར་ན་གནོད་སྦྱིན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, that is how you should understand yakṣas’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་དྲི་ཟའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand gandharvas’ figures to be absorption?
ཆོས་དེ་ཤིན་དུ་འགྲོ་མེད་ཀྱང་། །འགྲོ་བའི་སྒྲར་ནི་བརྗོད་པས་ན། ། ||| “Though these phenomena are devoid of any going, They are given the name of wanderers.
འགྲོ་བས་འགྲོ་བ་མེད་ཤེས་པས། །དྲི་ཟས་ཏིང་འཛིན་བསྟན་པ་ཡིན། ། ||| Knowing wanderers to go nowhere, I have taught absorption with reference to gandharvas.
འཇམ་དཔལ་དེ་ལྟར་ན་དྲི་ཟའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand gandharvas’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ལྷ་མ་ཡིན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand asuras’ figures to be absorption?
ཨ་ཡི་རྒྱས་བཏབ་ལྷ་མིན་ཏེ། །སྐྱེ་བ་མེད་ལས་ཡང་དག་བྱུང་། ། ||| “The asura, sealed with the letter a, Truly arises from the unborn.
འགག་མེད་འབྱུང་བ་ཡོད་མིན་པས། །ལྷ་མ་ཡིན་གྱིས་ཏིང་འཛིན་བསྟན། ། ||| Since they are unceasing and non-arising, Absorption is taught with reference to the asuras.
འཇམ་དཔལ་དེ་ལྟར་ན་ལྷ་མ་ཡིན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand asuras’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ནམ་མཁའ་ལྡིང་གི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand garuḍas’ figures to be absorption?
འཛིན་པ་མེད་ལ་འཛིན་བྱས་ནས། །བརྗོད་པས་མིང་དུ་བཏགས་པས་ན། ། ||| “Grasping onto the ungraspable, We apply labels as we speak.
མིང་དང་གཟུགས་ནི་ཡོད་མིན་པས། །ནམ་མཁའ་ལྡིང་གིས་ཏིང་འཛིན་བསྟན། ། ||| Since neither name nor form are existent, I have taught absorption with reference to the garuḍas.
འཇམ་དཔལ་དེ་ལྟར་ན་ནམ་མཁའ་ལྡིང་གི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand garuḍas’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་མི་འམ་ཅིའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand kinnaras’ figures to be absorption?
བྱས་མིན་བྱས་པའི་ལས་རྣམས་ཀྱིས། །མི་འམ་ཅི་ཉིད་ཀུན་དུ་བསྐྱེད། ། ||| “It is by uncreated, created actions That the kinnaras are produced.
འདི་དག་སྐྱེ་བ་མེད་ཤེས་པས། །མི་འམ་ཅི་ཡིས་ཏིང་འཛིན་བསྟན། ། ||| Knowing them to be unborn, I have taught absorption with reference to the kinnaras.
འཇམ་དཔལ་དེ་ལྟར་ན་མི་འམ་ཅིའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand the kinnaras’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་ལྟོ་འཕྱེ་ཆེན་པོའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand mahoragas’ figures to be absorption?
མིང་གང་གིས་ནི་ཆོས་འདི་དག །འཇིག་རྟེན་དག་ཏུ་སྣ་ཚོགས་བཞག །ཆོས་དེ་འདི་ལ་ཡོད་མ་ཡིན། །མེད་ལས་ཐམས་ཅད་ཀུན་དུ་བརྟགས། ། ||| “By whatever names these phenomena Are variously posited in the worlds, The phenomena do not exist there; Everything is imagined out of nonexistence.
ཀུན་དུ་བརྟགས་པར་ཀུན་ཤེས་ན། །ངོ་བོ་ཉིད་ཀྱིས་ཀུན་རྟོག་མེད། ། ||| “If you know everything to be fabricated, There are naturally no concepts.
ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །ལྟོ་འཕྱེ་ཆེན་པོའི་གཟུགས་ཀྱིས་བསྟན། ། ||| This statement on the peace of absorption I have made with reference to the mahoragas’ figures.
འཇམ་དཔལ་དེ་ལྟར་ན་ལྟོ་འཕྱེ་ཆེན་པོའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand mahoragas’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་སེམས་ཅན་དམྱལ་བའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand the hell beings’ figures to be absorption?
རྡུལ་དང་བྲལ་ཞིང་རྡུལ་མེད་གསོག །དེ་ལ་བྱེད་པོ་འགའ་ཡང་མེད། ། ||| “Stainless, pure, and hollow, They have no maker whatsoever.
རང་གི་རྟོག་པས་ཀུན་བསྐྱེད་དེ། །རྟོག་པ་དེ་ཡང་ཡོད་མ་ཡིན། ། ||| They are produced by their own thoughts, Which have no existence either.
དམྱལ་བ་དྲི་མེད་དྲི་བྲལ་ཞིང་། །དག་དང་ཡང་དག་འོད་གསལ་དང་། ། ||| “Hell is clean, immaculate, Pure, true, and luminous.
མཚན་ཉིད་མེད་ཅིང་མཚན་མེད་པར། །བྱང་ཆུབ་སྙིང་པོར་ངས་ཤེས་ཏེ། ། ||| It is beyond all characteristics and marks, Like the seat of awakening—thus I know.
མཚན་ཉིད་མེད་ཅིང་བྱུང་མེད་དེ། །ནམ་མཁའ་འདྲ་བར་ཤེས་པས་ན། །ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །སེམས་ཅན་དམྱལ་བའི་གཟུགས་ཀྱིས་བསྟན། ། ||| “Knowing hell to be beyond attributes and unarisen, Similar to the sky, This statement on the peace of absorption I have made with reference to the hell beings’ figures.
འཇམ་དཔལ་དེ་ལྟར་ན་སེམས་ཅན་དམྱལ་བའི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand hell beings’ figures to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་དུད་འགྲོའི་སྐྱེ་གནས་ཀྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ||| “Mañjuśrī, how should bodhisattvas understand figures in the animal realm to be absorption?
དཔེར་ན་ཇི་ལྟར་སྤྲིན་གྱི་གཟུགས། །ཁ་དོག་སྣ་ཚོགས་བྱུང་བ་དག །དེ་ལ་ཁ་དོག་ཡོད་མིན་ཡང་། །མི་མཁས་པ་དག་རྨོངས་པར་བྱེད། ། ||| “For instance, cloud formations Appear in various colors; Though the clouds have no real color, They fool the unwise.
དེ་བཞིན་སེམས་ཀྱང་མེད་པའི་ཕྱིར། །སྤྲིན་གྱི་གཟུགས་དང་མཚུངས་འདྲ་ཡང་། །དུད་འགྲོའི་སྐྱེ་གནས་རྣམས་སུ་ནི། །རྣམ་པ་སྣ་ཚོགས་ལུས་ཀྱང་སྟོན། ། ||| “Likewise, since the mind does not exist It is like the form of a cloud: In the realms of animals, It displays bodies in various forms.
ལས་ནི་སྒྱུ་མའི་རང་བཞིན་དང་། ། ||| “Karmic actions are of an illusory nature.
བྱུང་མེད་མཚན་ཉིད་མེད་པར་ཤེས། ། ||| I know them to be unarisen and beyond characteristics.
ཏིང་འཛིན་ཞི་བ་བརྗོད་པ་ནི། །དུད་འགྲོའི་གཟུགས་ཀྱིས་བསྟན་པ་ཡིན། ། ||| This statement on the peace of absorption I have made with reference to animals’ figures.
འཇམ་དཔལ་དེ་ལྟར་ན་དུད་འགྲོའི་སྐྱེ་གནས་ཀྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand figures in the animal realm to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་གཤིན་རྗེའི་འཇིག་རྟེན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand the figures in the world of the Lord of Death to be absorption?
ནག་པོ་དང་ནི་དཀར་པོ་ཡི། །སྡིག་དང་ཁ་ན་མ་ཐོ་དང་། །ཁ་ན་མ་ཐོ་མེད་པའི་ལས། །རབ་འབྲིང་ཐ་མ་འདྲེས་བྱས་པས། ། ||| “Black misdeeds and objectionable deeds And white irreproachable deeds Have all become mixed up In terms of the best, the middling, and the worst.
གཤིན་རྗེའི་འཇིག་རྟེན་སྡུག་བསྔལ་ཞིང་། །ཚོལ་བར་ཀུན་དུ་འཁོར་བ་ཡིན། ། ||| “Then, in the world of the Lord of Death, Beings suffer and spin around in confusion.
དེ་ལ་གཤིན་རྗེའི་འཇིག་རྟེན་མེད། །དེ་ནི་ངོ་བོ་ཉིད་ཀྱིས་སྟོང་། ། ||| Yet there is no realm of the Lord of Death— It is inherently empty.
རྨི་ལམ་ན་ནི་མྱོང་བ་བཞིན། །འཇུག་པ་མེད་ཅིང་གྲུབ་པ་མེད། ། ||| “Like experiences in a dream, It is without beginning or completion.
གཤིན་རྗེའི་འཇིག་རྟེན་ཡོད་མིན་པས། །དེས་ན་ཏིང་ངེ་འཛིན་དུ་བསྟན། ། ||| Since the realm of the Lord of Death is nonexistent, I have taught it to be absorption.
འཇམ་དཔལ་དེ་ལྟར་ན་གཤིན་རྗེའི་འཇིག་རྟེན་གྱི་གཟུགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱའོ། ། ||| “Mañjuśrī, this is how you should understand the figures in the world of the Lord of Death to be absorption.
འཇམ་དཔལ་དེ་ལ་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔས་འདོད་ཆགས་ཏིང་ངེ་འཛིན་དུ་རྟོགས་པར་བྱ་ཞེ་ན། ། ||| “Mañjuśrī, how should bodhisattvas understand desire to be absorption?
ཡོངས་སུ་རྟོག་ལས་འདོད་ཆགས་འབྱུང་། །རྟོག་པ་དེ་ཡང་འབྱུང་བ་མེད། ། ||| “Desire surges from the imagination; Those fancies too are unarisen.
འབྱུང་བ་མེད་ལ་གནས་པ་མེད། །དེ་ཡི་གནས་ཀྱང་རྙེད་མི་འགྱུར། ། ||| That which has no arising has no abiding— Its location can never be determined.
གནས་མེད་གནས་པ་ཡོད་མིན་པས། །འདོད་ཆགས་ནམ་མཁའ་འདྲ་བ་ཡིན། ། ||| “Since it does not abide and has no location, Desire is like the sky.
བྱིས་པ་བསླད་པར་གྱུར་རྣམས་ཀྱིས། །ཀུན་ནས་ཉོན་མོངས་ཡོངས་སུ་བརྟགས། ། ||| Yet immature defiled beings Imagine it to be affliction.
ཀུན་ནས་ཉོན་མོངས་མེད་ཆོས་དེ། །འདོད་ཆགས་ཞེས་བྱའི་མིང་གིས་བརྗོད། ། ||| “This phenomenon, which knows no affliction, Is then designated by the word desire.
ཕྱོགས་བཅུ་དག་ཏུ་བཙལ་བྱས་ཀྱང་། །དེ་ཡི་དངོས་པོ་རྙེད་མི་འགྱུར། ། ||| Were one to search in all ten directions, One would not find its substance.
འདོད་ཆགས་དངོས་པོ་མེད་པ་ལ། །བྱིས་པ་རྨོངས་པ་འཇིགས་བྱེད་དེ། ། ||| “This insubstantial desire Is feared by confused, childish beings.
