༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
དྲ་བ་ཅན་གྱི་འོད་ཇི་ཙམ་དུ་གཉིས་སུ་འཇུག་པས་འདྲི་བ་དེ་ཙམ་དུ་ཚུལ་བཞིན་མ་ཡིན་པའོ། ||| Jālinīprabha, as long as questions are formulated with duality in mind, the interrogation is improper.
།དྲ་བ་ཅན་གྱི་འོད་གང་ལ་གཉིས་མེད་པ་དང་། གཉིས་མ་ཡིན་པ་མེད་པ་དང་། འདུ་ཤེས་མེད་པ་དང་། མིང་མེད་པ་དང་། སྤྱི་མི་འཇུག་པ་དེ་ནི་ཚུལ་བཞིན་འདྲི་བའོ། ||| Jālinīprabha, correct questions are asked with no duality, no nonduality, no notion, no name, and no idea in mind.
།གཞན་ཡང་དྲ་བ་ཅན་གྱི་འོད་སངས་རྒྱས་ཐ་དད་དུ་བྱེད་པ་དང་། ཆོས་ཐ་དད་དུ་བྱེད་པ་དང་། དགེ་འདུན་ཐ་དད་དུ་བྱེད་པ་དང་། ཞིང་ཐ་དད་དུ་བྱེད་པ་དང་། སེམས་ཅན་ཐ་དད་དུ་བྱེད་པ་དང་། ཐེག་པ་ཐ་དད་དུ་བྱེད་པ་དེ་དག་ནི་ཚུལ་བཞིན་མ་ཡིན་པའོ། ||| “Jālinīprabha, furthermore, a question asked by differentiating buddhas, Dharma teachings, saṅghas, buddha realms, beings, or vehicles is an incorrect way to investigate.
།དྲ་བ་ཅན་གྱི་འོད་གང་ལ་ཆོས་གང་ཡང་ཐ་དད་པར་རམ། གཅིག་པར་མི་འདྲི་བ་དེ་ནི་ཚུལ་བཞིན་འདྲི་བའོ། ||| Jālinīprabha, questions asked without separating or uniting any phenomena are correct interrogations.
།གཞན་ཡང་དྲ་བ་ཅན་གྱི་འོད་ཆོས་ཐམས་ཅད་ནི་ཚུལ་བཞིན་ནོ། །ཆོས་ཐམས་ཅད་ནི་ཚུལ་བཞིན་མ་ཡིན་པའོ། ||| Furthermore, Jālinīprabha, all phenomena are proper; all phenomena are improper.”
།སྨྲས་པ་ཚངས་པ་ཇི་ལྟར་ན་ཆོས་ཐམས་ཅད་ནི་ཚུལ་བཞིན། ||| Jālinīprabha asked, “Brahmā, how is it that all phenomena are proper?
ཆོས་ཐམས་ཅད་ནི་ཚུལ་བཞིན་མ་ཡིན། ||| How is that all phenomena are improper?”
སྨྲས་པ། ཆོས་ཐམས་ཅད་བསམ་གྱིས་མི་ཁྱབ་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་ནི་ཚུལ་བཞིན་ནོ། ||| Brahmā replied, “All phenomena are inconceivable. This is why all phenomena are proper.
།ཆོས་ཐམས་ཅད་བསམ་གྱིས་མི་ཁྱབ་པ་ལ་སེམས་པར་ཞུགས་པ་དེ་དག་ནི་ཚུལ་བཞིན་མ་ཡིན་པའོ། ||| When those engaged in thought relate to inconceivable phenomena, they become improper.
།ཆོས་ཐམས་ཅད་ནི་དབེན་པའི་མཚན་ཉིད་དེ་ནི་ཚུལ་བཞིན་ནོ། ||| The void characteristic of all phenomena is proper.
།གང་དབེན་པ་ལ་མ་མོས་པ་དེ་དག་ནི་ལྷག་པར་བྱེད་པ་ལ་ཞུགས་པའོ། ||| Those who are not interested in the void become involved in exaggeration.
།གང་ལྷག་པར་བྱེད་པ་ལ་ཞུགས་པ་དེ་དག་ནི་ལྷག་པར་བྱེད་པ་ལ་བརྩོན་པའོ། ||| When one exaggerates, one becomes involved in exaggeration;
།གང་ལྷག་པར་བྱེད་པ་ལ་བརྩོན་པ་དེ་དག་ཇི་ཙམ་དུ་ལྷག་པར་བྱེད་པ་དེ་ཙམ་དུ་ཚུལ་བཞིན་དུ་མ་ཡིན་པའོ། ||| and the greater one’s involvement in exaggeration, the more improper one becomes.”
།སྨྲས་པ་ཚངས་པ་ཆོས་རྣམས་ཀྱི་ཚུལ་གང་ཡིན། ||| Jālinīprabha asked, “Brahmā, what is the nature of phenomena?”
སྨྲས་པ་རིགས་ཀྱི་བུ་རང་གི་ཡུལ་དབེན་པ་འདོད་ཆགས་དང་བྲལ་བའི་མཐའ་ནི་ཆོས་རྣམས་ཀྱི་ཚུལ་ལོ། ||| Brahmā replied, “Noble son, phenomena are devoid of a domain of their own, which is the ultimate absence of desire.”
།སྨྲས་པ་ཚངས་པ་གང་ཆོས་ཐམས་ཅད་ཀྱི་ཚུལ་འདི་ཁོང་དུ་ཆུད་པའི་སེམས་ཅན་དེ་དག་ནི་ཉུང་ཞིང་འབྱུང་བར་འགྱུར་རོ། ||| Jālinīprabha asked, “Tell me Brahmā, is it not true that very few can understand this: the way all things are?”
།སྨྲས་པ་རིགས་ཀྱི་བུ་འདོད་ཆགས་དང་བྲལ་བའི་མཐའ་ནི་གཅིག་པའང་མ་ཡིན། མང་པོ་ཡང་མ་ཡིན་ཏེ། ||| Brahmā replied, “Noble son, the ultimate absence of desire is not a singular entity, nor is it a multiplicity.
དྲ་བ་ཅན་གྱི་འོད་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ཆོས་རྣམས་ཀྱི་ཚུལ་བཞིན་འདི་དག་གི་རྗེས་སུ་སོང་བའམ། རྗེས་སུ་འགྲོ་བའམ། རྗེས་སུ་འགྲོ་བར་འགྱུར་བ་དེ་དག་གིས་ཆོས་གང་ཡང་མ་རྟོགས་མི་རྟོགས་རྟོགས་པར་མི་འགྱུར་རོ། ||| Jālinīprabha, whenever a son or daughter of noble family understands the way things are, he or she does not realize anything. This is how it has always been, and it will always be this way.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
ཁོང་དུ་ཆུད་པ་མེད་པར་བཅོམ་ལྡན་འདས་ཀྱིས་ཀུན་ཤེས་པ་ལུང་བསྟན་པ་གསུངས་སོ། ||| Because the blessed ones teach that nonunderstanding is knowing all.
།གང་རྣམས་ཚུལ་བཞིན་དུ་ཆོས་བསྟན་པ་འདི་ཐོས་ནས་མོས་པར་བྱེད་པ་དེ་དག་ནི་ཇི་ལྟར་བསྟན་པར་དེ་བཞིན་དུ་རབ་ཏུ་སྦྱོར་བ་ཡིན་ཏེ། ||| “When beings hear this teaching properly and gain trust in it, they are practicing just as it has been taught;
དེ་དག་ནི་ཆོས་གང་ལ་ཡང་སྤྲོས་པར་མི་བྱེད་པར་འགྱུར་རོ། ||| they do not conceptually elaborate on any phenomenon.
།སུ་ཆོས་གང་ལ་ཡང་སྤྲོས་པར་བྱེད་པར་མི་འགྱུར་བ་དེ་དག་ནི་ཆོས་གང་ཡང་ཁོང་དུ་ཆུད་པར་མི་འགྱུར་རོ། ||| Whoever does not conceptually elaborate on any phenomenon does not understand anything.
།སུ་ཆོས་གང་ཡང་ཁོང་དུ་ཆུད་པར་མི་འགྱུར་བ་དེ་དག་ནི་འཁོར་བར་འགྲོ་བ་ཡང་མ་ཡིན། མྱ་ངན་ལས་འདས་པའི་ཆོས་ཅན་ཡང་མ་ཡིན་ནོ། ||| Whoever does not understand anything does not wander in saṃsāra, and neither do they have the qualities of nirvāṇa.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| You may wonder why this is.
བཅོམ་ལྡན་འདས་ཀྱིས་འཁོར་བ་ཡང་མ་དམིགས། ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཡང་མ་དམིགས་པའི་ཕྱིར་རོ། ||| This is because the blessed ones do not apprehend either saṃsāra or nirvāṇa.”
།སྨྲས་པ་བཅོམ་ལྡན་འདས་ཀྱིས་འཁོར་བ་ལས་བཟླ་བའི་ཕྱིར་ཆོས་མ་བཤད་དམ། ||| Jālinīprabha asked, “But do the blessed ones not teach the Dharma so that beings may pass beyond saṃsāra?”
སྨྲས་པ་བཅོམ་ལྡན་འདས་ཀྱིས་གང་འཁོར་བ་ལས་འདའ་བའི་ཆོས་གང་ཡང་མ་བསྟན་ཏམ། ||| Brahmā responded, “Do the blessed ones teach any Dharma to pass beyond saṃsāra?”
སྨྲས་པ། དེ་ནི་མ་ཡིན་ནོ། ||| Jālinīprabha replied, “No, they do not.”
།སྨྲས་པ། རིགས་ཀྱི་བུ་དེ་ལྟ་བས་ན་བཅོམ་ལྡན་འདས་ཀྱིས་འཁོར་བ་ཡང་མི་སེལ། མྱ་ངན་ལས་འདས་པ་ཡང་ཐོབ་པར་མི་བྱེད་མོད་ཀྱི། ||| Brahmā continued, “Noble son, therefore the blessed ones do not eliminate saṃsāra, and do not lead beings to nirvāṇa.
འཁོར་བ་དང་མྱ་ངན་ལས་འདས་པ་གཉིས་སུ་འདུ་ཤེས་པ་ལས་མྱ་ངན་ལས་འདའ་བར་སྟོན་ཏེ། ||| Nevertheless, they teach that nirvāṇa is attained by going beyond dualistic notions.
འདི་ལ་གང་ཡང་འཁོར་བ་ལས་འདའ་བར་ཡང་མི་བྱེད། ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཡང་འཐོབ་པར་མི་བྱེད་དོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| In this, they do not cause anyone to go beyond saṃsāra, nor do they lead beings to nirvāṇa. Why not?
མཉམ་པ་ཉིད་ནི་མི་འཁོར། མྱ་ངན་ལས་མི་འདའོ། །ཀུན་ནས་ཉོན་མི་མོངས། རྣམ་པར་བྱང་བར་མི་འགྱུར་རོ། ||| This is because in equality, there is no circling in a saṃsāra, no attainment of a nirvāṇa, no defilement, and no purification.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚངས་པ་ཁྱད་པར་སེམས་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། ཚངས་པ་ལེགས་སོ་ལེགས་སོ། ||| The Blessed One applauded Brahma­viśeṣacintin, saying, “Excellent, Brahmā, excellent!
།ཚངས་པ་ཅི་སྟེ་བཤད་པར་བྱ་ན་དེ་སྐད་བཤད་པར་བྱའོ། ||| Brahmā, this point should be explained just as you have done.”
།ཚུལ་བཞིན་དུ་ཆོས་བསྟན་པ་འདི་བསྟན་པ་ན་དགེ་སློང་ཉིས་སྟོང་རྣམས་ཟག་པ་ལས་ལེན་པ་མེད་པར་སེམས་རྣམ་པར་གྲོལ་ལོ། ||| As he correctly delivered this Dharma teaching, two thousand monks freed their minds from contaminations, beyond further grasping.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚངས་པ་ཁྱད་པར་སེམས་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཚངས་པ་ངས་འཁོར་བ་དང་མྱ་ངན་ལས་འདས་པ་མ་དམིགས་སོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Then the Blessed One said to Brahmā, “Brahmā, I do not apprehend saṃsāra or nirvāṇa. Why not?
དེ་བཞིན་གཤེགས་པ་འཁོར་བར་འདོགས་ཀྱང་འདི་ལ་གང་ཡང་འཁོར་བ་མེད་དོ། ||| Even though the thus-gone ones speak of saṃsāra, there is no saṃsāra to circle in;
།མྱ་ངན་ལས་འདས་པར་སྟོན་ཀྱང་འདི་ལ་གང་ཡང་ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའོ། ||| they teach nirvāṇa, although there is no nirvāṇa to attain.
།ཚངས་པ་གང་རྣམས་ཚུལ་འདི་ལ་ཞུགས་པ་དེ་དག་ནི་འཁོར་བའི་ཆོས་ཅན་ཡང་མ་ཡིན། ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་ཆོས་ཅན་ཡང་མ་ཡིན་ནོ། ||| Brahmā, those who understand the meaning of this explanation are neither in saṃsāra nor in nirvāṇa.”
།དེ་ནས་འཁོར་དེའི་ནང་ནས་དགེ་སློང་ལྔ་བརྒྱ་བསྟན་པ་འདི་ཐོས་པ་དང་། སྟན་ལས་ལངས་ཏེ་དོང་ངོ་། །ཚིག་འདི་སྐད་ཅེས་ཀྱང་སྨྲས་ཏེ། གལ་ཏེ་འདི་ལ་གང་ཡང་མི་འཁོར། གལ་ཏེ་གང་ཡང་ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའ་ན། བདག་ཅག་ཚངས་པར་སྤྱོད་པ་ལ་གནས་པ་ཡང་དོན་མེད་དོ། ||| Then five hundred of the monks in the assembly who had heard this teaching arose to leave and said, “If there is no saṃsāra in which we circle, and if there is no nirvāṇa to attain, then our observation of pure conduct is also pointless.
།བདག་ཅག་ལམ་སྒོམ་པ་དང་། བསམ་གཏན་དང་། ཏིང་ངེ་འཛིན་དང་། སྙོམས་པར་འཇུག་པ་ཡང་ཅི་དགོས་ཞེས་ཟེར་རོ། ||| So why then do we need meditation, concentration, absorption, and attainment on the path?”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་གཞོན་ནུར་གྱུར་པ་དྲ་བ་ཅན་གྱི་འོད་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་གང་དག་ཆོས་གང་ལ་སྐྱེ་བའམ། འགག་པར་འཚལ་བ་དེ་དག་ལ་སངས་རྒྱས་འབྱུང་བ་མ་མཆིས་སོ། ||| Youthful Jālinīprabha responded to the Blessed One, “Blessed One, those who pursue the birth or the cessation of anything will not become buddhas.
།བཅོམ་ལྡན་འདས་གང་དག་མྱ་ངན་ལས་འདས་པ་དངོས་པོར་ཚོལ་བ་དེ་དག་ལ་ཡང་འཁོར་བ་ལས་འདའ་བ་མ་མཆིས་སོ། །དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Blessed One, those who try to attain a reified nirvāṇa will not pass beyond saṃsāra. Why not?
བཅོམ་ལྡན་འདས་མྱ་ངན་ལས་འདས་པ་ཞེས་བགྱི་བ་ནི་གང་མཚན་མ་ཐམས་ཅད་རབ་ཏུ་ཞི་བ་དང་། གཡོ་བ་ཐམས་ཅད་མ་མཆིས་པར་གྱུར་པ་ལགས་ན་བཅོམ་ལྡན་འདས་སྐྱེས་བུ་བླུན་པོ་འདི་དག་ལེགས་པར་བཤད་པའི་ཆོས་འདུལ་བ་ལ་རབ་ཏུ་བྱུང་ནས་མུ་སྟེགས་ཅན་གྱི་ལྟ་བར་ལྷུང་སྟེ། ||| Blessed One, passing beyond suffering is the quelling of all signs and the end of all movements of thought. But, Blessed One, these foolish people who have gone forth as monks within the well-spoken Dharma-Vinaya now fall into the views of the non-Buddhists as they seek a reified nirvāṇa.
མྱ་ངན་ལས་འདས་པར་དངོས་པོར་ཚོལ་ལོ། །འདི་ལྟ་སྟེ། བཅོམ་ལྡན་འདས་ཏིལ་ལས་ཏིལ་མར་དང་། འོ་མ་ལས་མར་བཞིན་དུ་ཆོས་ཐམས་ཅད་ཤིན་ཏུ་མྱ་ངན་ལས་འདས་པ་ལ་གང་རྣམས་མྱ་ངན་ལས་འདས་པ་ལ་དངོས་པོར་ཚོལ་བ་དེ་དག་ནི་ཉན་ཐོས་མུ་སྟེགས་ཅན་ང་རྒྱལ་ཅན་ཞེས་བདག་མཆིའོ། ||| Blessed One, when people try to reach a reified nirvāṇa within a total transcendence of all phenomena, like oil pressed out of sesame seeds or butter extracted from milk, they are but proud hearers and non-Buddhists.
།བཅོམ་ལྡན་འདས་རྣལ་འབྱོར་སྤྱོད་པ་ཡང་དག་པར་ཞུགས་པའི་ཆོས་གང་ལ་ཡང་སྐྱེ་བའམ་འགག་པར་མི་མཐོང་། ཆོས་གང་ལའང་འཐོབ་པའམ། མངོན་པར་རྟོགས་པར་མི་འཚལ་ལོ། ||| Blessed One, those who practice correctly do not see any birth or cessation in any phenomenon, do not have anything to attain, and do not seek any realization.”
།དེ་ནས་གཞོན་ནུར་གྱུར་པ་དྲ་བ་ཅན་གྱི་འོད་ཀྱིས་ཚངས་པ་ཁྱད་པར་སེམས་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚངས་པ་དགེ་སློང་ལྔ་བརྒྱ་འཁོར་འདི་ནས་སྟན་ལས་ལངས་ཏེ། དོང་བ་འདི་དག་ཅི་ནས་ཀྱང་ཆོས་འདུལ་བ་ལ་འཇུག་པ་དང་། མོས་པར་འགྱུར་བ་དང་། སྡིག་པའི་ལྟ་བར་འགྱུར་བ་དེ་ལས་རྣམ་པར་གྲོལ་བར་སྟོན་ཅིག ||| Then youthful Jālinīprabha said to Brahma­viśeṣacintin, “Brahmā, please give a teaching to these five hundred monks who arose to leave, to inspire them with the Dharma-Vinaya, make them regain their trust, and free them from their unwholesome views.”
།སྨྲས་པ། རིགས་ཀྱི་བུ་འདོད་ལ་རག་གོ། །འདོད་ལ་རག་གོ། །གལ་ཏེ་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དུ་དོང་ཡང་བསྟན་པ་འདི་ལས་མི་ཐར་ཏོ། །རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ་དཔེར་ན། ||| “Noble son, they cannot avoid it—they cannot avoid it,” he responded. “Even if one were to travel through as many buddha realms as there are grains of sand in the river Ganges, one could not escape this teaching.
སྐྱེས་བུ་བྱིས་པའི་རང་བཞིན་ཅན་ནམ་མཁས་འཇིགས་ཤིང་སྐྲག་སྟེ་བྲོས་ཀྱང་དེ་ག་ལས་གར་སོང་བ་དེ་དང་དེ་དག་ཏུ་ནམ་མཁའ་མཐོང་ངོ་། ||| Noble son, it is like childish beings who are afraid of space and try to escape it; yet everywhere they run, they still see it.
།དེ་བཞིན་དུ་དགེ་སློང་འདི་དག་ཇི་སྲིད་དུ་རིང་དུ་སོང་ཡང་སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པའི་མཚན་ཉིད་ལས་མ་འདས་སོ། ||| Likewise, these monks may go as far as they can, but they cannot escape the characteristics of emptiness, signlessness, and wishlessness.
།འདི་ལྟ་སྟེ་དཔེར་ན། སྐྱེས་བུ་གཞན་ཞིག་ནམ་མཁའ་རྙེད་པར་བྱའོ། ། ||| “Now, imagine someone else who says he wants to find space and searches for it.
ཞེས་ནམ་མཁའ་ཚོལ་ཏེ། ཕྱོགས་དང་ཕྱོགས་མཚམས་སུ་རྒྱུག་ཅིང་ཇི་ཙམ་ནས་ནམ་མཁའི་མིང་ནས་བརྗོད་ཀྱང་ནམ་མཁའ་མི་རྙེད་དོ། ||| No matter where he goes, and no matter how much he talks about it, he will not find space.
།དེ་ནམ་མཁའ་དེ་ཉིད་ཀྱི་ནང་ནས་འགྲོ་ཡང་དེ་མི་མཐོང་ངོ་། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Though he moves within space, he cannot see it. Why?
གང་ནམ་མཁའ་ཞེས་བྱ་བ་འདི་ནི་མིང་ཙམ་མོ། ||| Because space is just a name.
།རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་དགེ་སློང་འདི་དག་ཀྱང་མྱ་ངན་ལས་འདས་པ་དངོས་པོར་ཚོལ་ཏེ། ||| Noble son, it is the same with these monks who search for a reified nirvāṇa.
མྱ་ངན་ལས་འདས་པ་དེ་ཉིད་ལ་རྣམ་པར་སྤྱོད་ཀྱང་དེ་མི་མཐོང་ཁོང་དུ་མི་ཆུད་དོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Even though they function within nirvāṇa, they cannot see it, cannot understand it. Why not?
རིགས་ཀྱི་བུ་གང་མྱ་ངན་ལས་འདས་པ་ཞེས་བྱ་བ་དེ་ནི་མིང་ཙམ་མོ། ||| Noble son, because nirvāṇa is just a name.
།ཇི་ལྟར་ནམ་མཁའ་ནམ་མཁའ་ཞེས་བརྗོད་ཀྱང་གཟུང་དུ་མེད་པ་དེ་བཞིན་དུ་མྱ་ངན་ལས་འདས་པ་མྱ་ངན་ལས་འདས་པ་ཞེས་བརྗོད་པ་ཡང་གཟུང་དུ་མེད་པའོ། ||| Just as we can utter the word “space,” and yet there is nothing to take hold of, so can we can utter “nirvāṇa, nirvāṇa,” and yet there is nothing to take hold of.”
།དེ་ནས་དགེ་སློང་ལྔ་བརྒྱ་པོ་དེ་དག་བཤད་པ་འདི་ཐོས་ནས་ཟག་པ་ལས་ལེན་པ་མེད་པར་སེམས་རྣམ་པར་གྲོལ་ཏེ། མངོན་པར་ཤེས་པ་ཐོབ་པ་དེ་དག་གིས་ཚིག་སྨྲས་པ། ||| Upon hearing these explanations, the five hundred monks freed their minds from contaminations beyond further grasping and attained the superknowledges.
བཅོམ་ལྡན་འདས་གང་རྣམས་ཆོས་ཐམས་ཅད་ཤིན་ཏུ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་མྱ་ངན་ལས་འདས་པ་དངོས་པོར་ཚོལ་བ་དེ་དག་ལ་སངས་རྒྱས་འབྱུང་བ་མ་མཆིས་སོ། ||| They said, “Blessed One, beings who search for a real nirvāṇa in a total transcendence of all phenomena cannot reach buddhahood.
།བཅོམ་ལྡན་འདས་བདག་ཅག་ནི་སོ་སོ་སྐྱེ་བོ་ཡང་མ་ལགས། སློབ་པ་ཡང་མ་ལགས། དགྲ་བཅོམ་པ་ཡང་མ་ལགས། ||| Blessed One, we are not ordinary beings, nor are we on the path of training, and we are also not worthy ones.
འཁོར་བའི་ཆོས་ཅན་ཡང་མ་ལགས། མྱ་ངན་ལས་འདས་པའི་ཆོས་ཅན་ཡང་མ་ལགས་སོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| We have neither saṃsāric features nor those of nirvāṇa. Why not?
བཅོམ་ལྡན་འདས་སངས་རྒྱས་འབྱུང་བ་ནི་བྱེད་པ་དང་། སེམས་དང་གཡོ་བ་དང་། སྤྲོས་པ་ཐམས་ཅད་མ་མཆིས་པའོ། ||| Blessed One, to become a buddha, there should be no action, thought, movement of mind, or elaboration.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་དགེ་སློང་དེ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་དག་གིས་དགེ་སྦྱོང་ཉིད་ཁོང་དུ་ཆུད་དོ། ||| Then venerable Śāriputra said to these monks, “Venerable ones, you understand the spiritual practice.
།རང་གི་དོན་བྱས་སོ། ||| You have accomplished your own benefit.”
།དེ་དག་གིས་སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་བདག་ཅག་གིས་ཀུན་ནས་ཉོན་མོངས་པ་ཁོང་དུ་ཆུད་དོ། ||| The monks replied, “Reverend Śāriputra, we understand defilement.
།མི་བྱ་བ་བྱས་སོ། ||| We have accomplished nonaction.”
།ཤཱ་རིའི་བུས་སྨྲས་པ། ཚེ་དང་ལྡན་པ་དག་ཇི་ལས་བསམས་ཏེ་དེ་སྐད་སྟོན། ||| Śāriputra inquired, “Venerable ones, why do you say this?”
དེ་དག་གིས་སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་ཀུན་ནས་ཉོན་མོངས་པ་ཡོངས་སུ་ཤེས་པའི་ཕྱིར་དགེ་སྦྱོང་ཉིད་དོ། ||| The monks replied, “Reverend Śāriputra, it is because we understand defilement that we are spiritual practitioners.
།བཙུན་པ་ཤཱ་རིའི་བུ་མི་བྱ་བ་ནི་མྱ་ངན་ལས་འདས་པ་ཡིན་ཏེ། ||| Reverend Śāriputra, nonaction is nirvāṇa;
འདི་ལ་བསམ་ནས་བདག་ཅག་གིས་ཀུན་ནས་ཉོན་མོངས་པ་ཁོང་དུ་ཆུད་དོ། །མི་བྱ་བ་བྱས་སོ་ཞེས་སྟོན་ཏོ། ||| reflecting upon this, we have realized the nature of defilement and say, ‘we have accomplished nonaction.’ ”
།ཤཱ་རིའི་བུས་སྨྲས་པ། ཚེ་དང་ལྡན་པ་རྣམས་ལེགས་སོ་ལེགས་སོ། ||| Śāriputra assented, “Excellent, excellent, venerable ones!
།ཚེ་དང་ལྡན་པ་རྣམས་ནི་སྦྱིན་གནས་ཀྱི་སར་གནས་པ་ཡིན་ནོ། ||| Venerable ones, you are now at the level where you are worthy recipients of offerings.”
།དེ་དག་གིས་སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་སྟོན་པ་གང་ཡིན་པ་འདི་ཉིད་ཀྱང་སྦྱིན་པ་མི་སྦྱོང་ན་བདག་ཅག་གིས་ལྟ་ཇི་ལྟར་སྦྱངས། སྨྲས་པ་ཅིའི་ཕྱིར་སྨྲས་པ། ||| The monks replied, “Reverend Śāriputra, just as the Teacher does not partake of offerings, so should we train.” “Why?”
བཙུན་པ་ཤཱ་རིའི་བུས་དེ་བཞིན་གཤེགས་པས་ཆོས་ཀྱི་དབྱིངས་རང་བཞིན་གྱིས་ཡོངས་སུ་མཁྱེན་པའི་ཕྱིར་རོ། ||| “Reverend Śāriputra, because the Thus-Gone One naturally knows the realm of phenomena.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་གང་དག་སྦྱིན་གནས་ལགས། ||| Brahma­viśeṣacintin then inquired of the Blessed One, “Blessed One, who are those who are worthy recipients of offerings?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཚངས་པ་གང་དག་འཇིག་རྟེན་གྱི་ཆོས་རྣམས་ཀྱི་མི་འཕྲོགས་པ་རྣམས་སོ། ||| The Blessed One replied, “Brahmā, those who are not carried away by worldly concerns.”
།གསོལ་པ་འཇིག་རྟེན་ན་སྦྱིན་པ་སྤྱོད་པ་གང་དག་ལགས། ||| “Blessed One, who can partake of offerings?”
བཀའ་སྩལ་པ། གང་དག་ཆོས་གང་ཡང་ཡོངས་སུ་མི་འཛིན་པ་རྣམས་སོ། ||| “Those who have no grasping to anything.”
།གསོལ་པ་འཇིག་རྟེན་ན་བསོད་ནམས་ཀྱི་ཞིང་གང་དག་ལགས། ||| “Tell us, who are the fields of merit in the world?”
བཀའ་སྩལ་པ། གང་དག་བྱང་ཆུབ་ཀྱི་སེམས་ཆུད་མི་གཟོན་པ་རྣམས་སོ། ||| “Those who do not squander the mind of awakening.”
།གསོལ་པ། དགེ་བའི་བཤེས་གཉེན་གང་ལགས། ||| “Tell us, who are the spiritual teachers?”
བཀའ་སྩལ་པ། གང་དག་གིས་སེམས་ཅན་ཐམས་ཅད་ལ་བྱམས་པ་ཡོངས་སུ་མ་བཏང་བ་རྣམས་སོ། ། ||| “Those who never relinquish loving kindness toward all beings.”
གསོལ་པ། དེ་བཞིན་གཤེགས་པ་ལ་བགྱིས་པ་གཟོ་བ་གང་དག་ལགས། ||| “Tell us, who will repay the thus-gone ones’ deeds?”
བཀའ་སྩལ་པ། གང་དག་སངས་རྒྱས་ཀྱི་རིགས་མི་གཅོད་པ་རྣམས་སོ། ||| “Those who do not sever the buddhas’ lineage.”
།གསོལ་པ། དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་བགྱིད་པ་གང་དག་ལགས། ||| “Tell us, who makes offerings to the thus-gone ones?”
བཀའ་སྩལ་པ། གང་དག་མི་སྐྱེ་བའི་མཐའ་རྟོགས་པ་ལགས་སོ། ། ||| “Those who realize the limit of the absence of birth.”
གསོལ་པ། དེ་བཞིན་གཤེགས་པ་དང་ཉེ་བར་གནས་པ་གང་དག་ལགས། ||| “Tell us, who attends to the thus-gone ones?”
