༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
ཡང་དག་པར་དད་པས་ཁྱིམ་ནས་ཁྱིམ་མེད་པར་རབ་ཏུ་བྱུང་བ་དེ་བླ་ན་མེད་པའི་ཚངས་པར་སྤྱོད་པ་ལ་ཀུན་ཏུ་གནས་པ་ནི་མཐོང་བའི་ཆོས་ཉིད་ལ་རང་གིས་མངོན་པར་ཤེས་པ་མངོན་དུ་བྱས་ཤིང་བསྐྱེད་ནས་ལུང་སྟོན་པར་བྱེད་པ་ཡིན་པས་དེས་ཚངས་པར་སྤྱད་པས་བྱ་བ་བྱས་ཤིང་སྐྱེ་བ་ཟད་དེ་སྲིད་པར་སྐྱེ་བ་གཞན་མི་ལེན་པར་གྱུར་ཏོ། ། ||| She proclaimed, “Birth has come to an end for me, the sublime life has been lived, what was to be done has been done, and I know there is no more cyclic existence from here.”
མཉན་ཡོད་ཀྱི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱིས་གདོལ་པའི་བུ་མོ་རབ་ཏུ་ཕྱུང་ངོ་ཞེས་ཐོས་སོ། ། ||| Now, the brahmins and householders of Śrāvastī came to hear that an outcaste girl had gone forth under the Blessed One.
ཐོས་ནས་ཀྱང་ཇི་ལྟར་གདོལ་པའི་བུ་མོ་དགེ་སློང་རྣམས་དང་ཡང་དག་པར་སྤྱོད་པར་བྱེད་ཅེས་སྨོད་པར་བྱེད་དོ། ། ||| Hearing of this, they condemned it, saying, “How could an outcaste girl live the perfect life of monks?
དེ་བཞིན་དུ་དགེ་སློང་མ་རྣམས་དང་། དགེ་བསྙེན་རྣམས་དང་། དགེ་བསྙེན་མ་རྣམས་དང་ཡང་དག་པར་སྤྱད་པ་སྤྱོད་པར་བྱེད་ཅེས་སྨོད་པར་བྱེད་ཅིང་། ||| How could she live the perfect life of nuns, devoted laymen, and devoted laywomen?
ཇི་ལྟར་གདོལ་པའི་བུ་མོ་ལ་བྲམ་ཟེ་དང་། རྒྱལ་རིགས་དང་། ཁྱིམ་བདག་ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུ་རྣམས་བལྟ་བར་བྱ་ཞེས་ཟེར་རོ། །ཀོ་ས་ལའི་རྒྱལ་པོ་གསལ་རྒྱལ་གྱིས་བཅོམ་ལྡན་འདས་ཀྱིས་གདོལ་པའི་བུ་མོ་རབ་ཏུ་ཕྱུང་ཞེས་གྲག་པ་ཐོས་སོ། ། ||| How could an outcaste girl enter the communities of brahmins, kṣatriyas, householders, and landlords?”{M.11} Moreover, King Prasenajit of Kauśala came to hear that an outcaste had gone forth under the Blessed One.
ཐོས་ནས་ཀྱང་ཇི་ལྟར་གདོལ་པའི་བུ་མོ་ཞེས་བྱ་བ་དང་། དགེ་སློང་རྣམས་ཡང་དག་པར་སྤྱད་པ་སྤྱོད་པར་བྱེད། ||| Hearing of this, he also condemned it, saying, “How could an outcaste girl live the perfect life of monks?
དགེ་སློང་མ་རྣམས་དང་། དགེ་བསྙེན་རྣམས་དང་། དགེ་བསྙེན་མ་རྣམས་དང་ཡང་དག་པར་སྤྱད་པ་སྤྱོད་པར་བྱེད། ||| How could she live the perfect life of nuns, devoted laymen, and devoted laywomen?
ཇི་ལྟར་བྲམ་ཟེ་དང་། རྒྱལ་རིགས་དང་། ||| How could she enter the communities of brahmins, kṣatriyas, householders, and landlords?”
ཁྱིམ་བདག་ཤིང་ས་ལ་ཆེན་པོ་ལྟ་བུ་རྣམས་ཀྱིས་བལྟ་བར་བྱ་ཞེས་སྨོད་ལ་སེམས་པར་བྱེད་ཅིང་བཞོན་པ་བཟང་པོ་སྦྱར་ཏེ། ||| Reflecting on this, he had a fine carriage yoked.
བཞོན་པ་བཟང་པོ་ལ་ཞོན་ནས་མཉན་ཡོད་ཀྱི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་གི་ཚོགས་ཆེན་པོས་ཡོངས་སུ་བསྐོར་ཏེ་མདུན་དུ་བདར་ནས་མཉན་ཡོད་ནས་འཕགས་ཏེ། ||| After mounting this fine carriage, he departed from Śrāvastī, accompanied by a large group of brahmins and householders from Śrāvastī.
རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ག་ལ་བ་དེར་སོང་སྟེ། ཇི་སྲིད་བཞོན་པས་འགྲོ་བའི་ས་དེ་སྲིད་དུ་བཞོན་པས་ཕྱིན་ནས་བཞོན་པ་ལས་བབས་ནས་རྐང་ཐང་གི་འཁོར་གྱིས་བསྐོར་ཏེ། མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བར་ཞུགས་སོ། ། ||| As he approached Jetavana, Anāthapiṇḍada’s park, he went as far as the terrain allowed his carriage to go, and then dismounted from his carriage and entered Anāthapiṇḍada’s park by foot, accompanied by an army of foot soldiers.
ཞུགས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| Having entered, he approached the Blessed One, venerated the Blessed One’s feet with his head, and sat to one side.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་སྤྱི་བོས་ཕྱག་འཚལ་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། །མཉན་ཡོད་ཀྱི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་གི་ཚོགས་ཆེན་པོ་དེ་དག་ཀྱང་ཐ་སྙད་ལྔ་དང་ལྡན་པས་འཁོད་དོ། ། ||| The large group of brahmins and householders from Śrāvastī likewise venerated the Blessed One’s feet with their heads and sat down to one side.
ཡང་བཅོམ་ལྡན་འདས་དང་ལྷན་ཅིག་མངོན་དུ་ཕྱོགས་ཏེ་ཡང་དག་པར་དགའ་བ་དང་། མགུ་བར་གྱུར་པའི་གཏམ་སྣ་ཚོགས་མཛད་དེ་མཇུག་བརྟུལ་བ་དང་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Some engaged in various kinds of pleasant and congenial conversation with the Blessed One and then sat down to one side.
ཡང་གཞན་དག་གིས་བཅོམ་ལྡན་འདས་ལ་རང་རང་གི་ཕ་མའི་རྒྱུས་དང་། མིང་དང་། རིགས་དང་། རུས་རྣམས་བསྙད་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Some conveyed their maternal and paternal names and lines of descent in front of the Blessed One and then sat down to one side.
ཡང་གཞན་དག་གིས་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་ཏེ་ཕྱག་བྱས་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Some bowed to the Blessed One with folded hands and then sat down to one side.
གཞན་དག་ནི་ཡང་འཐུན་པར་ཅང་མི་སྨྲ་བར་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| And some sat down to one side silently.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཀོ་ས་ལའི་རྒྱལ་པོ་གསལ་རྒྱལ་དང་། མཉན་ཡོད་ཀྱི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་གི་ཚོགས་ཆེན་པོ་དེ་རྣམས་ཀྱི་སེམས་ཐུགས་ཀྱིས་མཁྱེན་ནས། ||| The Blessed One knew what was on the minds of King Prasenajit of Kauśala and the large group of brahmins and householders from Śrāvastī.
དགེ་སློང་མ་གཟུགས་བཟང་མོའི་སྔོན་གྱི་གནས་སྐབས་བསྟན་པར་མཛད་པའི་ཕྱིར་དགེ་སློང་མ་དེ་བཀུག་ནས་དགེ་སློང་རྣམས་ལ་དགེ་སློང་དག་དེ་བཞིན་གཤེགས་པ་ལས་མངོན་སུམ་དུ་དགེ་སློང་མ་གཟུགས་བཟང་མོའི་སྔོན་གྱི་གནས་སྐབས་ལས་བརྩམས་ནས་ཆོས་ཀྱི་གཏམ་ཉན་པར་འདོད་དམ། ||| Thus, in order to tell the account of the nun Prakṛti’s past life, he called for the nun and addressed the monks, “Monks, do you wish to hear from the Tathāgata a Dharma story concerning the nun Prakṛti’s past life?”
དགེ་སློང་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་གསོལ་པ། བཅོམ་ལྡན་འདས་དེའི་དུས་ལ་བབ་ལགས་སོ། ། ||| The monks replied to the Blessed One, “It is an appropriate time, Blessed One.
བདེ་བར་གཤེགས་པ་དེའི་དུས་ལ་བབ་ལགས་ཏེ། བཅོམ་ལྡན་འདས་གང་དགེ་སློང་མ་གཟུགས་བཟང་མོའི་སྔོན་གྱི་གནས་སྐབས་ལས་བརྩམས་ནས་ཆོས་ཀྱི་གཏམ་བསྟན་དུ་གསོལ། ||| It is an appropriate moment, Well-Gone One, for the Blessed One to tell a Dharma story concerning the nun Prakṛti’s past life.
བཅོམ་ལྡན་འདས་ལས་སླར་མཉན་ནས་གཟུང་བར་འཚལ་ལོ། ། ||| {M.12} After hearing it from the Blessed One, we will retain it.”
དགེ་སློང་དག་དེ་ལྟ་བས་ན། ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་ངས་བཤད་དོ། ། ||| “So then, monks, listen and pay attention well and carefully. I will speak.”
བཅོམ་ལྡན་འདས་ལེགས་སོ་ལེགས་སོ་ཞེས་གསོལ་ཏེ། དགེ་སློང་དེ་དག་བཅོམ་ལྡན་འདས་ལ་སླར་ཉན་ཏོ། །དེ་དག་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| “Yes, excellent Blessed One,” the monks replied in obeisance to the Blessed One.
དགེ་སློང་དག་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན། ཆུ་བོ་གང་གཱའི་འགྲམ་ན་ཨ་ཏི་མུག་ཏ་ཀ་དང་། སཱ་ལའི་ཚལ་གྱི་ནགས་ཀྱི་ཕྱོགས་གཅིག་ཡོད་དེ། དེ་ན་ཏྲེ་ཤང་ཀུ་ཞེས་བྱ་བའི་གདོལ་པའི་རྒྱལ་པོ་ཡོད་དེ་གདོལ་པ་སྟོང་ཕྲག་དུ་མའི་ཚོགས་ཆེན་པོ་དང་ལྷན་ཅིག་གནས་སོ། ། ||| The Blessed One spoke as follows: “Previously, monks, in a past time, on the riverbank of the Ganges, in an area thick with forests of atimuktaka and sal trees, there lived an outcaste king named Triśaṅku, together with many thousands of outcastes.
ཡང་དེའི་ཚེ་དགེ་སློང་དག་གདོལ་པའི་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུ་ཞེས་བྱ་བ་དེས་སྐྱེ་བ་སྔ་མའི་རིག་བྱེད་ཀྱི་ཡན་ལག་དང་། ཉེ་བའི་ཡན་ལག་དང་བཅས་པ་དང་། གསང་བ་དང་བཅས་པ་དང་། ངེས་པར་སྦྱར་བའི་བརྡ་དང་བཅས་པ་དང་། ཡི་གེའི་རབ་ཏུ་དབྱེ་བ་དང་བཅས་པ་རྣམས་དང་། བཞད་གད་ཅེས་བྱ་བ་དང་། ལྔ་པ་དང་། བསྟན་བཅོས་གཞན་ཡང་རྐྱང་བ་དང་། བྱཱ་ཀ་ར་ཎ་དང་། ||| Monks, that outcaste king named Triśaṅku remembered the Vedas, having learned them in past lives, together with their auxiliary sciences and auxiliary sub-sciences, their secret teaching, their glossaries and ritual instructions, their divisions into syllables, and the fifth Veda of the epics, as well as other treatises.
རྒྱང་པན་པའི་གཙུག་ལག་དང་། མཆོད་སྦྱིན་གྱི་རབས་དང་། སྐྱེས་བུ་ཆེན་པོའི་མཚན་རྣམས་ལ་རྗེས་སུ་མཁས་ཤིང་ཇི་ལྟར་ཆོས་བཤད་པ་དང་། རིག་བྱེད་ཀྱི་བརྟུལ་ཞུགས་དང་། རྟེན་པ་མེད་པར་བཤད་པ་ལ་མཁས་པ་ཞིག་སྟེ། ||| Proficient in words and grammar and fully versed in worldly science, sacrificial mantras, and the characteristics of a great man, without any doubts he gave expositions according to the Dharma and taught the Vedic observances as they were traditionally passed down.
ཡང་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུ་དེ་ལ་གཞོན་ནུ་སྟག་རྣ་ཞེས་བྱ་བའི་བུ་ཡོད་པ་དེ་གཟུགས་དང་ལྡན་པ། རིགས་དང་ལྡན་པ། ཚུལ་ཁྲིམས་དང་ལྡན་པ། ཡོན་ཏན་དང་ལྡན་པ། ཡོན་ཏན་ཐམས་ཅད་དང་ལྡན་པ། གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་པ། ཁ་དོག་མཛེས་ཤིང་མཆོག་ཏུ་ཁ་དོག་རྒྱས་པ་དང་ལྡན་པ་ཞིག་ཡོད་དོ། ། ||| “Moreover, that king Triśaṅku had a son, a young prince named Śārdūlakarṇa, who was endowed with all good qualities in bodily appearance, family lineage, ethical conduct, and virtue and was handsome, good looking, and pleasing to behold, having a supremely resplendent excellence of complexion.
དེ་ནས་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུས་གཞོན་ནུ་སྟག་རྣ་ལ་སྐྱེ་བ་སྔ་མའི་རིག་བྱེད་དྲན་པ་བསླབས་ཏེ། འདི་ལྟ་སྟེ་ཡན་ལག་དང་། ཉེ་བའི་ཡན་ལག་དང་། གསང་བ་དང་བཅས་པ་དང་། ངེས་པར་སྦྱར་བའི་བརྡ་དང་བཅས་པ་དང་། ཡི་གེའི་རབ་ཏུ་དབྱེ་བ་དང་བཅས་པ་དང་། བཞད་གད་ཞེས་བྱ་བ་དང་། ལྔ་པ་དང་། བསྟན་བཅོས་གཞན་ཡང་ཆོས་ཇི་ལྟར་བཤད་པ་དང་། ||| King Triśaṅku taught the prince Śārdūlakarṇa the Vedas as he had learned them in past lives, with their auxiliary sciences and auxiliary sub-sciences, their secret teaching, their glossaries and ritual instructions, their divisions into syllables, the fifth Veda of the epics, and other treatises, as well as expositions according to the Dharma and the Vedic observances.
རིག་བྱེད་ཀྱི་བརྟུལ་ཞུགས་བསླབས་ནས། དེ་ནས་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུས་འདི་སྙམ་དུ་བསམས་ཏེ། བདག་གི་བུ་གཞོན་ནུ་སྟག་རྣ་འདི་ནི་གཟུགས་དང་ལྡན་པ། རིག་པ་དང་ལྡན་པ། ཚུལ་ཁྲིམས་དང་ལྡན་པ། ||| “Then King Triśaṅku thought, ‘This son of mine, the prince Śārdūlakarṇa, is perfectly endowed in bodily appearance, family lineage, ethical conduct, and virtue.
ཡོན་ཏན་དང་ལྡན་པ། ཡོན་ཏན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ། གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་པ། ཁ་དོག་མཛེས་ཤིང་མཆོག་ཏུ་ཁ་དོག་རྒྱས་པ་དང་ལྡན་པ། ||| Being endowed with all good qualities, {M.13} he is handsome, good looking, and pleasing to behold, having a supremely resplendent excellence of complexion.
སྔགས་དང་རིག་བྱེད་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡིན་གྱིས། ||| Having practiced the observances and having learned the mantras, he has mastered the Vedas.
ཁྱིམ་བྱ་སྟེ་ཡང་གང་བདག་གིས་གཞོན་ནུ་སྟག་རྣ་དང་འཐུན་པར་གཟུགས་དང་ལྡན་པ། ||| This is the time when I should fulfill the duty of getting him married.
རིགས་དང་ལྡན་པ། ཚུལ་ཁྲིམས་དང་ལྡན་པ། ཡོན་ཏན་དང་ལྡན་པ་དེ་ལྟ་བུའི་བུ་མོ་ཞིག་གང་ནས་བཙལ་སྙམ་མོ། །ཡང་དུས་གཞན་ཞིག་གི་ཚེ། ||| So now where do I find for my son Śārdūlakarṇa a suitable wife who possesses ethical conduct, virtue, and beauty?
བྲམ་ཟེ་པད་མའི་སྙིང་པོ་ཞེས་བྱ་བ་གྱེན་དུ་འབྱུང་བའི་ལུང་པའི་སྒོ་ཞེས་བྱ་བ་ན། ཁྱབ་པར་ས་དང་། ཆུ་དང་། ཤིང་དང་ལྡན་པ་རྟག་ཏུ་འབྲུ་རྣམས་སྨིན་པ། རྒྱལ་པོ་མི་སྦྱིན་ཞེས་བྱ་བས་བྲམ་ཟེ་དེ་ལ་བྱིན་ནས་དེ་ན་གནས་སོ། ། ||| “Now, at that time, there was a brahmin named Puṣkarasārin who lived in the district town called Utkaṭa, which abounded in beings, which had grass, wood, and water, which continually yielded grains, and which had been given to him as a brahmic gift by the king Agnidatta.
ཡང་བྲམ་ཟེ་པད་མའི་སྙིང་པོའི་ཕ་མ་བྲམ་ཟེའི་རིགས་ཡོངས་སུ་དག་པ་དང་ལྡན་པ། རིགས་འཁྲུགས་པ་མེད་པ། རིགས་དང་རུས་མ་སྨད་པ། ཕ་མེས་དང་མ་མེས་བདུན་རྒྱུད་ཀྱི་མཁན་པོར་གྱུར་པ། ཀློག་པ་དང་། ||| The brahmin Puṣkarasārin was completely pure by both his maternal and his paternal sides, having an undisturbed family lineage and being able to state the caste and line of descent of his foremothers and forefathers up to seven generations.
གསང་སྔགས་འཛིན་པ། རིག་བྱེད་གསུམ་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡན་ལག་དང་བཅས་པ་དང་། ཉེ་བའི་ཡན་ལག་དང་བཅས་པ་དང་། བརྡ་ངེས་པར་སྦྱར་བ་དང་བཅས་པ་དང་། བཞད་གད་ཅེས་བྱ་བ་དང་། ལྔ་པ་དང་། ||| On account of that, he was a teacher who, as a holder of the mantras, had mastered the three Vedas with their auxiliary sciences and sub-sciences, their secret teaching, their glossaries and ritual instructions, their divisions into syllables, and the fifth Veda of the epics, and he was proficient in words and grammar and fully versed in worldly science, sacrificial mantras, and the characteristics of a great man.
རྐང་པ་དང་། ||| “The brahmin Puṣkarasārin had a daughter, a young maiden named Prakṛti, who was perfectly endowed in bodily appearance, family lineage, ethical conduct, and virtue.
བྱཱ་ཀ་ར་ཎ་དང་། ||| Being endowed with all good qualities, she was beautiful, good looking, and pleasing to behold, having a supremely resplendent excellence of complexion.
འཇིག་རྟེན་རྒྱང་པན་པའི་གཙུག་ལག་དང་། ||| “Then the outcaste king Triśaṅku thought, ‘To the northeast there is a district town called Utkaṭa, where there lives a brahmin named Puṣkarasārin.
མཆོད་སྦྱིན་གྱི་རབས་དང་། ||| He is perfectly endowed both by his maternal and his paternal sides {M.14} and is fully versed in the three Vedas and the scriptures.
སྐྱེས་བུ་ཆེན་པོའི་མཚན་རྣམས་རྗེས་སུ་སྦྱར་བ་རྒྱས་ཤིང་གྲོལ་བར་སྟོན་པ་ཞིག་གོ། ། ||| He enjoys ownership over the district town called Utkaṭa, which abounds in beings, which has grass, wood, and water, which continually yields grains, and which has been given to him as a brahmic gift by the king Agnidatta.
ཡང་བྲམ་ཟེ་པད་མའི་སྙིང་པོ་དེ་ལ་གཟུགས་བཟང་མོ་ཞེས་བྱ་བའི་བུ་མོ་ཡིད་དུ་འོང་བ། གཟུགས་དང་ལྡན་པ། ཚུལ་ཁྲིམས་དང་ལྡན་པ། ཡོན་ཏན་དང་ལྡན་པ། ཡོན་ཏན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ། ||| That brahmin Puṣkarasārin has a daughter, a young maiden named Prakṛti, who is perfectly endowed in bodily appearance, family lineage, and ethical conduct, and who, endowed with all good qualities, is beautiful, good looking, and pleasing to behold, having a supremely resplendent excellence of complexion.
གཟུགས་བཟང་ཞིང་བལྟ་ན་སྡུག་པ། མཛེས་ཤིང་མཆོག་ཏུ་ཁ་དོག་རྒྱས་པ་དང་ལྡན་པ། བདག་གི་གཞོན་ནུ་སྟག་རྣ་དང་འཐུན་པས་ཆུང་མར་འོས་སོ་ཞེས་བསམས་ཏེ། ||| Possessing ethical conduct and virtue, she should be a suitable wife for my son Śārdūlakarṇa.’
དེ་ནས་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུས་དོན་དེ་ཉིད་མཚན་མོ་ཕལ་ཆེར་སེམས་ཤིང་མཚན་མོ་འདས་ནས་ནང་པར་ནམ་ནངས་ཏེ། ཐམས་ཅད་དཀར་བའི་ཤིང་རྟ་ལ་ཞོན་ནས། གདོལ་པའི་བློན་པོའི་ཚོགས་ཀྱིས་བསྐོར་ནས་གདོལ་པའི་ཕོ་བྲང་ནས་བྱུང་ནས་བྱང་ཕྱོགས་སུ་ཆས་ཏེ། གྱེན་དུ་འབྱུང་བའི་ལུང་པའི་སྒོ་ག་ལ་བ་དེར་སོང་སྟེ། ||| “King Triśaṅku thought about this matter all night, and when the night had passed, at daybreak he mounted his fully white, mare-drawn chariot and, accompanied by a large group of outcaste officials, left the outcaste palace and set off north for the district town of Utkaṭa.
དེ་ནས་གདོལ་པའི་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུས་གྱེན་དུ་འབྱུང་བའི་ལུང་པའི་སྒོའི་བྱང་ཤར་གྱི་མཚམས་ན་ཡིད་བདེ་བ་ཞེས་བྱ་བའི་སྐྱེད་མོས་ཚལ་ཤིང་སྣ་ཚོགས་པས་ཁྱབ་པ། ཤིང་སྣ་ཚོགས་པའི་མེ་ཏོག་དང་ལྡན་པ། བྱ་སྣ་ཚོགས་པ་སྒྲ་སྙན་པ་སྒྲོགས་པ། ལྷ་རྣམས་ཀྱི་དགའ་བའི་ཚལ་ལྟར་མཛེས་པ་ཞིག་ཡོད་དེ། ||| King Triśaṅku arrived at a park called Sumanaska to the northeast of Utkaṭa, which, being covered by various kinds of trees, with various kinds of trees blooming, and various kinds of birds singing, was delightful like the Nandana grove of the gods.
དེར་ཕྱིན་ནས་བྲམ་ཟེ་པད་མའི་སྙིང་པོ་འོང་བ་ལ་སྡོད་དོ། །བྲམ་ཟེ་པད་མའི་སྙིང་པོ་བྲམ་ཟེའི་ཁྱེའུ་རྣམས་ལ་བྲམ་ཟེའི་སྔགས་འཆད་དོ། ། ||| There he stayed, waiting for the brahmin Puṣkarasārin, knowing, ‘The brahmin Puṣkarasārin will come to teach mantras to brahmin youths here.’
དེ་ནས་པད་མའི་སྙིང་པོ་དེ་ཉིད་ཀྱི་མཚན་མོ་འདས་ནས་ཐམས་ཅད་དཀར་བའི་རྟའི་ཤིང་རྟ་ལ་ཞོན་ནས། བྲམ་ཟེའི་ཁྱེའུ་ལྔ་བརྒྱའི་སློབ་མའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཏེ་གྱེན་དུ་འབྱུང་བ་ནས་འཕགས་ཏེ། བྲམ་ཟེའི་ཁྱེའུ་རྣམས་ལ་བྲམ་ཟེའི་སྔགས་འཆད་དོ། །གདོལ་པའི་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུས་བྲམ་ཟེ་པད་མའི་སྙིང་པོ་ཉི་མའི་འོད་ཟེར་གྱི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ། ||| “After the passing of that night, the brahmin Puṣkarasārin had also mounted a fully white, mare-drawn chariot {M.15} and, accompanied by a group of students consisting of five hundred brahmin youths, set out from Utkaṭa to teach mantras to the young brahmins.
མེ་འབར་བ་འོད་ཀྱིས་བསྐོར་བ་ལྟ་བུ། མཆོད་སྦྱིན་བྱེད་པ་བྲམ་ཟེའི་ཚོགས་ཀྱིས་བསྐོར་བ་ལྟ་བུ། གངས་ཅན་སྨན་ཚོགས་ཀྱིས་མཛེས་པ་ལྟ་བུ། རྒྱ་མཚོ་རིན་པོ་ཆེས་མཛེས་པ་ལྟ་བུ། ཟླ་བ་རྒྱུ་སྐར་གྱི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་བ་ལྟ་བུ། རྣམ་ཐོས་སྲས་གནོད་སྦྱིན་གྱི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་བ་ལྟ་བུ། ||| “The outcaste king Triśaṅku saw the brahmin Puṣkarasārin coming from afar, ablaze with radiance like a rising sun, like a flaring sacrificial fire, like an offering ritual accompanied by scores of brahmins, like Śakra accompanied by scores of gods, like the Himālaya range accompanied by its flora, like the ocean accompanied by jewels, like the moon accompanied by the constellations of stars, like Vaiśravaṇa accompanied by hosts of yakṣas, and like Brahmā accompanied by groups of gods and sages.
བརྒྱ་བྱིན་ལྷའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་བ་ལྟ་བུ། བྲམ་ཟེ་སློབ་མའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་བ་མཛེས་པ་རྒྱང་རིང་པོ་ནས་འོང་བ་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་བསུ་སྟེ་ཆོས་བཞིན་དུ་བྱས་ནས་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Seeing him, he went to meet him in accordance with propriety and said, ‘Dear Puṣkarasārin, welcome!
ཀྱེ་པད་མའི་སྙིང་པོ་ལེགས་པར་འདིར་བྱོན་གྱིས་བྱ་བ་ཅུང་ཞིག་སྨྲར་ཡོད་ཀྱིས་དེ་ཉོན་ཅིག ། ||| There is a matter I wish to discuss with you—please listen.’
དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྲམ་ཟེ་པད་མའི་སྙིང་པོས་གདོལ་པའི་རྒྱལ་པོ་ཏྲེ་ཤང་ཀུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཀྱེ་ཏྲེ་ཤང་ཀུ་བྲམ་ཟེ་མ་ཡིན་པས་ཀྱེ་ཞེས་བོད་པར་མི་ནུས་ཤིང་རིགས་པ་མ་ཡིན་ནོ། ། ||| “Thus addressed, the brahmin Puṣkarasārin said to the outcaste king Triśaṅku, ‘No, dear Triśaṅku, it is not appropriate for you to use “dear” with a brahmin.’
པད་མའི་སྙིང་པོ་བདག་གིས་ཀྱེ་ཞེས་བོད་པར་ནུས་ཤིང་བྱར་རུང་སྟེ། ||| “ ‘Dear Puṣkarasārin, I can use “dear.” ’
གང་གིས་ནུས་པར་བྱར་རུང་བར་འགྱུར་ལ། གང་གིས་དེ་མི་ནུས་པ་ནི་དེ་ལྟར་ཡང་མི་བྱའོ། ། ||| “ ‘While it is appropriate for me to use it, it is not appropriate for you to do so.’
ཀྱེ་པད་མའི་སྙིང་པོ་སྐྱེས་བུའི་མཉམ་པར་རྩོམ་པ་ནི་སྔོན་གྱི་མཉམ་པར་རྩོམ་པ་ལས་འགྱུར་རོ། །འདི་ལྟ་སྟེ་བདག་གི་དོན་དང་། གཞན་གྱི་དོན་དང་། བདག་གི་འཁོར་གྱི་དོན་དང་། ||| “ ‘But dear Puṣkarasārin, a man has four duties that have been undertaken since bygone times: those for the sake of oneself, those for the sake of someone else, those for the sake of one’s kin, {M.16} and those for the sake of all beings in totality.
འབྱུང་པོ་ཐམས་ཅད་ཀྱི་དོན་བསྡུས་པ་ནི་ད་ལྟར་འདིར་ཁྱད་པར་དུ་དོན་ཆེ་བ་གང་ཡིན་པ་སྨྲ་ཡིས་ཉོན་ཅིག ། ||| This is a very important matter that I wish to discuss with you—please listen.
