སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| The Blessed One replied to the venerable Mahā­maud­galyā­yana,
མཽད་གལ་གྱི་བུ་ཤར་ཕྱོགས་ན་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་འཇིག་རྟེན་གྱི་ཁམས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་འདས་པ་ན་ ||| “Maud­galyā­yana, to the east, beyond as many worlds as there are grains of sand in the river Gaṅgā,
འཇིག་རྟེན་གྱི་ཁམས་པད་མ་ཅན་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| there is a world known as Realm of Lotuses.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་པད་མའི་སྤྱན་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་སོ། ||| There at present resides the thus-gone, worthy, perfect buddha Padma­netra.
འཚོའོ། །གཞེས་སོ། །ཆོས་ཀྱང་སྟོན་ཏོ། ||| Residing and flourishing in that realm, he also teaches the Dharma.
དེ་བཞིན་གཤེགས་པ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བ་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་འོངས་པ་དང་། ||| Now the bodhisattva great being Sarva­nīvaraṇa­viṣkam­bhin has come to this world called Endurance from the buddha realm of that thus-gone one.
དེ་མ་ཡིན་པའི་བྱང་ཆུབ་སེམས་དཔའ་གཞན་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་གང་སྐྱེས་བུ་དམ་པ་དེ་ཉིད་དང་ལྷན་ཅིག་ཏུ་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་འདིར་འོངས་པ་དེ་དག་གི་སྔ་ལྟས་འདི་ཡིན་ནོ། ||| This holy being is arriving here accompanied by one hundred sextillion other bodhisattvas, and what you perceive are the signs of their arrival.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་མ་ཐག་ཏུ། ||| As soon as the Blessed One had spoken,
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མས་བསྐོར་ཅིང་མདུན་དུ་བདར་ཏེ། ||| the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin, surrounded and venerated by a retinue of one hundred sextillion bodhisattvas,
རྫུ་འཕྲུལ་གྱི་མཐུ་ཆེན་པོ་དང་། བྱང་ཆུབ་སེམས་དཔའི་མཐུ་ཆེན་པོས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་འོངས་ཏེ་ཕྱིན་ནས། ||| arrived before the Blessed One through his great miraculous power and the great power of the bodhisattvas.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འཁོད་ནས། ||| The bodhisattvas bowed to the Blessed One’s feet, sat down before him,
བཅོམ་ལྡན་འདས་ལ་ཚུལ་དང་འདྲ་བའི་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་མངོན་པར་བསྟོད་དོ། ||| Sarva­nīvaraṇa­viṣkam­bhin then spoke the following verses in praise of the Blessed One’s qualities:
གྲགས་ཆེན་ཤེས་རབ་ཆེན་པོ་པ། །ཐུབ་ཆེན་དཔའ་བོ་ཆེན་པོ་པ། ། ||| “Greatly famed and of great insight, You are the great capable one, the great hero,
སྲིད་པའི་མྱ་ངན་རྒལ་བ་པོ། །ཉོན་མོངས་རྒལ་ལ་ཕྱག་འཚལ་ལོ། ། ||| The one who has gone beyond the pains of existence. You who have gone beyond the afflictions—homage to you!
ཐམས་ཅད་དུ་ཡང་ཐ་ལེ་སྟེ། །ཀུན་ནས་རབ་ཏུ་ལྷན་ནེར་བཞུགས། ། ||| “Open and direct in all regards, You reside so perfectly pristine,
ཀུན་ནས་རྣམ་པར་གྲོལ་བ་པོ། །ཕྱག་འཚལ་མི་མཚུངས་མཚུངས་མེད་ལ། ། ||| Completely liberated in every way— Homage to you who are incomparable and unequaled!
རབ་ཏུ་མི་སྒུལ་རི་བོ་བཞིན། །གཏིང་ཚོད་ཡངས་པ་རྒྱ་མཚོ་འདྲ། ། ||| “Utterly immutable, you resemble a mountain; Deep and wide, you are like the sea.
མུ་སྟེགས་ཀུན་ནས་མི་བསྐྱོད་པ། །ཆོས་རྒྱལ་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Unshakable in the face of the non-Buddhists, You are the King of Dharma—homage to you!
ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་ན། །གཟོད་ནས་ཞི་ཞིང་མ་སྐྱེས་པ། ། ||| “When turning the wheel of Dharma,
རང་བཞིན་མྱ་ངན་འདས་པ་ཡི། །ཆོས་རྣམས་མགོན་པོ་ཁྱོད་ཀྱིས་བསྟན། ། ||| Instead they will increase, enrich, and expand those virtuous factors that are conducive to the transcendence of suffering,
ལ་ལ་ལ་ནི་ལམ་ཡང་བསྟན། །ལ་ལ་ཡང་དག་ཉིད་ལ་བཀོད། ། ||| “Some you teach the path, Others you establish within the real;
ལ་ལ་ཡང་དག་མྱ་ངན་བཟླས། །ལ་ལ་བྱང་ཆུབ་ལུང་ཡང་བསྟན། ། ||| Some you deliver beyond suffering, And for others you prophesy awakening.
བག་ལ་ཉལ་དང་བསམ་པ་མཁྱེན། །ཁྱོད་ཀྱིས་མི་མཁྱེན་ཅི་ཡང་མེད། ། ||| “Knowing all latencies and inclinations, There is nothing you are not aware of.
དེ་ཕྱིར་འདུལ་བའི་བྱ་བ་རྣམས། །གཟིགས་པས་ཁྱོད་ཀྱི་བཀའ་འགྲུབ་བོ། ། ||| Thus, as you perceive the ways of training, Your command will be carried out.
བྱང་ཆུབ་སྙིང་པོར་བཞུགས་པ་ན། །འདོད་ཆགས་ཞེ་སྡང་གཏི་མུག་དང་། ། ||| “When you sat upon the seat of awakening, Desire, anger, and dullness,
དྲི་མ་སྣ་ཚོགས་གཞན་རྣམས་ཀྱང་། །ཁྱོད་ཀྱི་ཡེ་ཤེས་མེ་ཡིས་བསྲེགས། ། ||| Along with every other stain, Were consumed by the fire of your wisdom.
རྒལ་ནས་སེམས་ཅན་རྣམས་སྒྲོལ་ཞིང་། །གྲོལ་ནས་སྐྱེ་དགུ་གྲོལ་མཛད་དེ། ། ||| “Yourself beyond, you liberate sentient beings, And while free yourself, you liberate beings.
སྲིད་པའི་མྱ་ངན་འཁྱམས་པ་ཡི། །འཇིག་རྟེན་ཚོལ་བ་ཁྱོད་ལགས་སོ། ། ||| You are the one who cares for the world As it roams through the realms of pain.
སྲིད་པའི་བཙོན་རར་སེམས་ཅན་དག །ཡུན་རིང་མི་ཤེས་གཉིད་ལོག་རྣམས། ། ||| “Sentient beings within the prison of existence Have for long been asleep in their ignorance.
སད་པར་མཛད་པ་མགོན་པོ་ཁྱོད། །གཉེན་གྱུར་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Yet you, Protector, awaken them. Homage to you, the friend of beings.
ཁྱོད་ཀྱི་སྲས་མཆོག་འདི་དག་ཀྱང་། །ཐམས་ཅད་བྱང་ཆུབ་སླད་དུ་ཞུགས། ། ||| “All these supreme children of yours Have set out in pursuit of awakening.
དམ་པའི་ཆོས་ནི་ཉན་འཚལ་ན། །འདྲེན་པས་དེ་དག་བསྟན་དུ་གསོལ། ། ||| As they wish to the hear the sacred Dharma, I request, O Guide, that you teach them.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་ཚུལ་དང་འདྲ་བའི་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་མངོན་པར་བསྟོད་ནས། ||| When the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin had praised the Blessed One in these appropriate verses,
བཅོམ་ལྡན་འདས་ཀྱིས་གནང་སྟེ་པད་མའི་སྙིང་པོ་ལ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| the Blessed One directed the bodhisattva to sit down on a lotus flower to the side.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཐམས་ཅད་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་གནང་ནས་པད་མའི་སྙིང་པོ་ལ་སོ་སོ་ཅི་རིགས་པར་འཁོད་དོ། ||| Likewise, with the Blessed One’s permission the other bodhisattvas each took a seat on their own lotus flower.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་སྟན་ལས་ལངས་ཏེ། ||| The bodhisattva Sarva­nīvaraṇa­viṣkam­bhin now rose from his seat,
བླ་གོས་ཕྲག་པ་གཅིག་ལ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་པད་མའི་སྙིང་པོ་ལ་བཙུགས་ཏེ། ||| draped his shawl over one shoulder, and knelt with his right knee on the lotus flower.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Joining his palms, he bowed toward the Blessed One and said,
གལ་ཏེ་ཞུས་ནས་ཞུ་བ་ལུང་བསྟན་པའི་སླད་དུ། བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་སྐབས་ཕྱེ་ན། ||| “If the Blessed One would grant me the opportunity to ask them and hear his answers,
བདག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་ཕྱོགས་འགའ་ཞིག་ཞུའོ། །དེ་སྐད་ཅེས་གསོལ་པ་དང་། ||| I have a few questions that I would like to bring before the Blessed One, the thus-gone, worthy, perfect Buddha.”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| Replying to the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin, the Blessed One said,
སྐྱེས་བུ་དམ་པ་ཁྱོད་ལ་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་རྟག་ཏུ་སྐབས་ཕྱེས། ||| “Holy being, all thus-gone ones will always grant you the opportunity to speak.
དེ་བཞིན་གཤེགས་པ་ལ་ཁྱོད་ཅི་དང་ཅི་འདོད་པ་དྲིས་ཤིག་དང་། ||| You may ask the Thus-Gone One whatever you wish.
དྲིས་པ་ལུང་བསྟན་པ་དེ་དང་དེ་ཉིད་ཀྱིས་ངས་ཁྱོད་ཀྱི་སེམས་རངས་པར་བྱའོ། ||| I shall then satisfy your mind with a teaching.”
བཅོམ་ལྡན་འདས་ཀྱིས་སྐབས་ཕྱེ་བ་དང་། བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| With the Blessed One’s permission, the bodhisattva Sarva­nīvaraṇa­viṣkam­bhin then asked,
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྦྱིན་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| “Blessed One, what are the bodhisattva great beings’ perfections of generosity like?
ཇི་ལྟར་ན་ཚུལ་ཁྲིམས་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of discipline?
ཇི་ལྟར་ན་བཟོད་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of patience?
ཇི་ལྟར་ན་བརྩོན་འགྲུས་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of diligence?
ཇི་ལྟར་ན་བསམ་གཏན་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of concentration?
ཇི་ལྟར་ན་ཤེས་རབ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of insight?
ཇི་ལྟར་ན་ཐབས་མཁས་པ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of skillful means?
ཇི་ལྟར་ན་སྨོན་ལམ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of aspirations?
ཇི་ལྟར་ན་སྟོབས་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of power?
ཇི་ལྟར་ན་ཡེ་ཤེས་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| How are their perfections of wisdom?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ས་དང་མཚུངས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་ཆུ་དང་མཚུངས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་མེ་དང་མཚུངས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་རླུང་མར་དང་མཚུངས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་ནམ་མཁའ་དང་མཚུངས་པ་རྣམས་ལགས། ||| “Blessed One, how are bodhisattvas similar to the earth? How are they similar to water? How are they similar to fire? How are they similar to wind? How are they similar to space?
ཇི་ལྟར་ན་ཟླ་བ་ལྟ་བུ་རྣམས་ལགས། ཇི་ལྟར་ན་ཉི་མ་ལྟ་བུ་རྣམས་ལགས། ||| How are they like the moon? How are they like the sun?
ཇི་ལྟར་ན་སེང་གེ་ལྟ་བུ་རྣམས་ལགས། ||| How do they resemble lions?
ཇི་ལྟར་ན་དུལ་བ་རྣམས་ལགས། ||| How are the bodhisattvas who have trained well?
ཇི་ལྟར་ན་ཅང་ཤེས་པ་རྣམས་ལགས། ||| How are those who are of noble birth?
ཇི་ལྟར་ན་པད་མ་ལྟ་བུ་རྣམས་ལགས། ||| How are the ones who resemble lotuses?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་རྒྱ་ཆེ་བ་རྣམས་ལགས། ཇི་ལྟར་ན་སེམས་རྣམ་པར་དག་པ་རྣམས་ལགས། ཇི་ལྟར་ན་སེམས་ནེམ་ནུར་མ་མཆིས་པ་རྣམས་ལགས། ||| “Blessed One, how are the vast bodhisattvas, how are those with pure mind, and how are those who are free of doubt?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་བློ་རྒྱ་མཚོ་ལྟ་བུ་རྣམས་ལགས། ཇི་ལྟར་ན་བློ་ཞིབ་པ་རྣམས་ལགས། ||| Blessed One, how are the bodhisattvas whose minds are like the ocean, and how are those of subtle intellect?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་རིགས་པའི་སྤོབས་པ་ཅན་རྣམས་ལགས། ཇི་ལྟར་ན་གྲོལ་བའི་སྤོབས་པ་ཅན་རྣམས་ལགས། ཇི་ལྟར་ན་རྣམ་པར་དག་པའི་སྤོབས་པ་ཅན་རྣམས་ལགས། ཇི་ལྟར་ན་སེམས་ཅན་ཐམས་ཅད་མགུ་བར་བྱེད་པའི་སྤོབས་པ་ཅན་རྣམས་ལགས། ||| Blessed One, how do bodhisattvas have coherent eloquence, how do they have fluent eloquence, how do they have pure eloquence, and how do they have eloquence that makes everyone happy?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཚིག་གཟུང་བ་རྣམས་ལགས། ||| Blessed One, how are bodhisattvas’ words to be accepted?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བརྗོད་པ་རྣམས་ལགས། ཇི་ལྟར་ན་ཆོས་ཀྱི་རྗེས་སུ་འབྲང་བ་རྣམས་ལགས། ཇི་ལྟར་ན་ཆོས་ཀྱི་དབྱིངས་ལ་མཁས་པ་རྣམས་ལགས། ||| Blessed One, how do bodhisattvas express the Dharma, how do they follow the Dharma, and how do they become experts with respect to the realm of phenomena?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སྟོང་པ་ཉིད་སྤྱོད་ཡུལ་བ་རྣམས་ལགས། ཇི་ལྟར་ན་མཚན་མ་མེད་པ་ལ་གནས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་སྨོན་ལམ་ལ་གནས་པ་ཐམས་ཅད་དང་བྲལ་བ་རྣམས་ལགས། ||| Blessed One, how do bodhisattvas experience emptiness, how do they abide within the absence of marks, and how are they free from any fixation on their aspirations?
ཇི་ལྟར་ན་བྱམས་པའི་བདག་ཉིད་ཅན་རྣམས་ལགས། ཇི་ལྟར་ན་སྙིང་རྗེའི་བདག་ཉིད་ཅན་རྣམས་ལགས། ||| How do they have a loving nature, and how do they have a compassionate nature?
ཇི་ལྟར་ན་དགའ་བ་ལ་གནས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་བཏང་སྙོམས་ལ་གནས་པ་རྣམས་ལགས། ||| How are they joyful, and how do they rest in equanimity?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་མངོན་པར་ཤེས་པས་རྣམ་པར་རོལ་པ་རྣམས་ལགས། ||| “Blessed One, how do bodhisattvas revel in superknowledge,
ཇི་ལྟར་ན་མི་ཁོམ་པ་བརྒྱད་རྣམ་པར་སྤངས་པ་རྣམས་ལགས། ||| how do they relinquish the eight unfree states,
ཇི་ལྟར་ན་བྱང་ཆུབ་ཀྱི་སེམས་མ་སྟོར་བ་རྣམས་ལགས། ||| how do they ensure that the mind of awakening is not lost,
ཇི་ལྟར་ན་སྐྱེ་བ་དྲན་པ་རྣམས་ལགས། ||| how do they recollect former lives,
ཇི་ལྟར་ན་དགེ་བའི་བཤེས་གཉེན་དང་མ་བྲལ་བ་རྣམས་ལགས། ||| how do they not separate from their spiritual teachers,
ཇི་ལྟར་ན་སྡིག་པའི་གྲོགས་པོ་ཡོངས་སུ་སྤངས་པ་རྣམས་ལགས། ||| and how do they give up unwholesome company?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་བཞིན་གཤེགས་པའི་སྐུའི་ཆོས་ཉིད་འཐོབ་པར་འགྱུར། ||| Blessed One, how do bodhisattvas attain the intrinsic nature of the thus-gone ones’ body?
ཇི་ལྟར་ན་ལུས་རྡོ་རྗེ་ལྟར་སྲ་བ་རྣམས་ལགས། ||| In what way is their body solid like a vajra?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་དེད་དཔོན་ཆེན་པོ་རྣམས་ལགས། ཇི་ལྟར་ན་ལམ་ལ་མཁས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་ལམ་མ་ལོག་པར་སྟོན་པ་རྣམས་ལགས། ||| Blessed One, in what sense are bodhisattvas great caravan leaders, how are they experts concerning the path, and in what way do they point out the unmistaken path?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་རྟག་ཏུ་རྒྱུན་མི་འཆད་པར་སེམས་མཉམ་པར་བཞག་པ་རྣམས་ལགས། ||| Blessed One, how do bodhisattvas remain constantly in equipoise, without any interruption?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཕྱག་དར་ཁྲོད་པ་རྣམས་ལགས། ཇི་ལྟར་ན་ཆོས་གོས་གསུམ་པ་རྣམས་ལགས། ཇི་ལྟར་ན་ཕྱིང་པ་ཅན་རྣམས་ལགས། ||| “Blessed One, who are the bodhisattvas who wear refuse rags, who wear the three Dharma robes, and who wear felt?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་བསོད་སྙོམས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་སྟན་གཅིག་པ་རྣམས་ལགས། ཇི་ལྟར་ན་ཟས་ཕྱིས་མི་ལེན་པ་རྣམས་ལགས། ||| Blessed One, how do bodhisattvas live as mendicants, how do they remain on a single seat, and how do they abstain from late meals?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་དགོན་པ་པ་རྣམས་ལགས། ||| Blessed One, who are the bodhisattvas who remain in hermitages,
ཇི་ལྟར་ན་ཤིང་དྲུང་པ་རྣམས་ལགས། ||| who are the ones who remain at the foot of a tree,
ཇི་ལྟར་ན་བླ་གབ་མེད་པ་པ་རྣམས་ལགས། ||| who are the shelterless ones,
ཇི་ལྟར་ན་དུར་ཁྲོད་པ་རྣམས་ལགས། ||| who are the charnel ground dwellers,
ཇི་ལྟར་ན་ཅོག་པུ་པ་རྣམས་ལགས། ||| who are the tent dwellers,
ཇི་ལྟར་ན་གཞི་ཇི་བཞིན་པ་རྣམས་ལགས། ||| who are the ones who stay just where they are?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣལ་འབྱོར་སྤྱོད་པ་རྣམས་ལགས། ||| Blessed One, who are those bodhisattvas engaged in practice,
ཇི་ལྟར་ན་མདོ་སྡེ་འཛིན་པ་རྣམས་ལགས། ||| who are the specialists in the discourses,
ཇི་ལྟར་ན་འདུལ་བ་འཛིན་པ་རྣམས་ལགས། ||| who are the specialists in the discipline,
ཇི་ལྟར་ན་མ་མོ་འཛིན་པ་རྣམས་ལགས། ||| who are the specialists in the lists?
ཇི་ལྟར་ན་ཆོ་ག་དང་། སྤྱོད་ཡུལ་དང་། སྤྱོད་པ་དང་། སྤྱོད་ལམ་ཕུན་སུམ་ཚོགས་པ་རྣམས་ལགས། ||| “How are they perfect in conduct, personal associations, behavior, and deportment?
ཇི་ལྟར་ན་སེར་སྣ་དང་། ཕྲག་དོག་དང་བྲལ་བ་རྣམས་ལགས། ||| How are bodhisattvas free from stinginess and envy?
ཇི་ལྟར་ན་སེམས་ཅན་ཐམས་ཅད་ལ་སེམས་སྙོམས་པ་རྣམས་ལགས། ||| How do they have equal concern for all sentient beings?
ཇི་ལྟར་ན་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་དང་རིམ་གྲོ་བགྱིད་མཁས་པ་རྣམས་ལགས། ||| How are they skilled in worshiping and venerating the thus-gone ones?
ཇི་ལྟར་ན་ང་རྒྱལ་བཅོམ་པ་རྣམས་ལགས། ཇི་ལྟར་ན་དད་པ་མང་བ་རྣམས་ལགས། ||| Who are the ones who crush pride, and who are the ones with abundant faith?
ཇི་ལྟར་ན་ཀུན་རྫོབ་ལ་མཁས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་དོན་དམ་པ་ལ་མཁས་པ་རྣམས་ལགས། ||| How are they experts concerning the relative? How are they experts concerning the ultimate?
ཇི་ལྟར་ན་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ལ་མཁས་པ་རྣམས་ལགས། ||| How are they experts concerning dependent origination?
ཇི་ལྟར་ན་བདག་ཤེས་པ་རྣམས་ལགས། ཇི་ལྟར་ན་འཇིག་རྟེན་ཤེས་པ་རྣམས་ལགས། ||| How do they have knowledge of themselves? What does their knowledge of the world consist of?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་དག་པར་སྐྱེ། ||| Blessed One, how do bodhisattvas take birth in pure buddha realms?
ཇི་ལྟར་ན་མངལ་གྱི་དྲི་མས་མ་གོས་པར་སྐྱེ། ||| How do they take birth free from any stain of the womb?
ཇི་ལྟར་ན་ཁྱིམ་གྱི་གནས་ནས་མངོན་པར་བྱུང་བ་རྣམས་ལགས། ||| How do they renounce the household life?
ཇི་ལྟར་ན་འཚོ་བ་ཡོངས་སུ་དག་པ་རྣམས་ལགས། ||| What does their pure livelihood consist of?
ཇི་ལྟར་ན་ཡིད་ཡོངས་སུ་མི་སྐྱོ་བ་རྣམས་ལགས། ||| How do they steer clear of weariness?
ཇི་ལྟར་ན་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་བཀའ་བཞིན་བགྱིད་པ་རྣམས་ལགས། ||| How do they act according to the teaching of the thus-gone ones?
ཇི་ལྟར་ན་བཞིན་འཛུམ་ཞིང་ཁྲོ་གཉེར་མ་མཆིས་པ་རྣམས་ལགས། ||| How do they keep their smiling face free from frowns of anger?
ཇི་ལྟར་ན་མང་དུ་ཐོས་པ་རྣམས་ལགས། ||| Who are the bodhisattvas who have received abundant teachings?
ཇི་ལྟར་ན་དམ་པའི་ཆོས་ཡོངས་སུ་འཛིན་པ་རྣམས་ལགས། ||| Who are those who uphold the sacred Dharma?
ཇི་ལྟར་ན་ཆོས་ཀྱི་རྒྱལ་པོའི་སྲས་རྣམས་ལགས། ||| In what way are bodhisattvas heirs of the King of Dharma?
ཇི་ལྟར་ན་བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་འཇིག་རྟེན་སྐྱོང་བས་བསྩུ་བ་རྣམས་ལགས། ||| How do Śakra, Brahmā, and the guardians of the world welcome them?
ཇི་ལྟར་ན་བསམ་པ་དང་། བག་ལ་ཉལ་འཚལ་བ་རྣམས་ལགས། ||| How do they know intentions and latent tendencies?
ཇི་ལྟར་ན་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བགྱི་བའི་ཆོ་ག་འཚལ་བ་རྣམས་ལགས། ||| How do they pursue the ways for maturing sentient beings?
ཇི་ལྟར་ན་དེས་པ་རྣམས་ལགས། ||| In what way are they upright?
ཇི་ལྟར་ན་འགྲོགས་ན་བདེ་བ་རྣམས་ལགས། ||| How are they delightful to accompany?
ཇི་ལྟར་ན་བསྡུ་བའི་དངོས་པོ་ལ་མཁས་པ་རྣམས་ལགས། ||| What is their skill with respect to the means of attraction?
ཇི་ལྟར་ན་ཚུལ་དུ་ཤིས་པ་རྣམས་ལགས། ||| In what way are they pleasing?
ཇི་ལྟར་ན་གནས་བཅའ་བ་རྣམས་ལགས། ||| How do they provide support?
ཇི་ལྟར་ན་རྩིའི་རྒྱལ་པོའི་ཤིང་ཆེན་པོ་ལྟ་བུ་རྣམས་ལགས། ||| In what way are they like the king of medicinal trees?
