འཕགས་པ་སངས་རྒྱས་བདུན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Seven Buddhas
རྟག་ཏུ་ནོར་ཡང་འཕེལ་བར་འགྱུར། བགེགས་དང་ལོག་འདྲེན་ཐམས་ཅད་ལས་ཀྱང་ཐར་བར་འགྱུར་རོ། ། ||| Your wealth will also continually increase, and you will be free from all manner of obstructing beings and corrupting beings.
ཇི་སྟེ་དེ་བཞིན་གཤེགས་པ་མཐོང་བར་འདོད་ན་དེས་ཕྱོགས་གཙང་མར་མཆོད་རྟེན་གྱི་འཁོར་སར་དཀྱིལ་འཁོར་བསྐུས་ལ། ཨ་ག་རུས་བདུགས་ཏེ། ||| “Or, if you wish to have a vision of the Tathāgata, draw a maṇḍala on a clean spot in the vicinity of a stūpa, fumigate it with aloeswood,
ལན་སྟོང་རྩ་བརྒྱད་བཟླས་བརྗོད་བྱས་ན། དེའི་དྲུང་དུ་སྔས་ཤར་ཕྱོགས་སུ་བསྟན་ཏེ་ ||| recite the mantra one thousand and eight times, and then lie on a cushion in front of the maṇḍala’s eastern side.
ཉལ་ན་དེ་བཞིན་གཤེགས་པ་མཐོང་བར་འགྱུར་རོ། ། ||| When you fall asleep you will have a vision of the Tathāgata.
ཡིད་ལ་ཅི་སྨོན་པ་དེ་ཐམས་ཅད་སྟོན་ཏོ། །ཚེའམ་སྟོབས་སམ་ཕམ་རྒྱལ་ཐམས་ཅད་ཀྱང་སྟོན་ཏོ། ། ||| He will teach you whatever you ask and can tell you anything you wish such as your lifespan, your strength, and whether you will be defeated or victorious in battle.”
དེ་ནས་དེ་བཞིན་གཤེགས་པ་གསེར་ཐུབ་སྟེང་གི་ནམ་མཁའ་ལ་བཞུགས་ཏེ། ||| Then the tathāgata Kanakamuni hovered in the sky above them and
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་དང་། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱ་བ་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་ཕྱིར་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| spoke these root verses of the secret mantra to benefit all beings, pacify all manner of illnesses, and exorcise all manner of spirits:
ན་མོ་བུད་དྷཱ་ཡ། ན་མོ་དྷརྨཱ་ཡ། ན་མཿསཾ་གྷཱ་ཡ། ན་མཿཀ་ན་ཀ་མུ་ན་ཡེ། ཏ་ཐཱ་ག་ཏཱ་ཡ། ཨརྷ་ཏེ་སཾ་མྱཀ་སཾ་བུད་དྷཱ་ཡ། ཏདྱ་ཐཱ། ཨོཾ་ས་ར་ས་ར་ས་ར་ས་ར། སི་རི་སི་རི་སི་རི་སི་རི། སཱི་རཱ་ཡ། དྷ་མ་དྷ་མ་དྷ་མ་དྷ་མ། དྷུ་མ་དྷུ་མ་དྷུ་མ་དྷུ་མ། དྷུ་མཱ་ཡ། ན་མོ་ན་མཿཀ་ན་ཀ་མུ་ན་ཡེ། ཏ་ཐཱ་ག་ཏཱ་ཡ་ཨརྷ་ཏེ་སཾ་མྱཀ་སཾ་བུད་དྷཱ་ཡ་སྭཱ་ཧཱ། ||| namo buddhāya | namo dharmāya | namaḥ saṅghāya | namaḥ kanaka­munaye | tathāgatāya | arhate samyak sambuddhāya | tadyathā | oṃ sara sara sara sara | siri siri siri siri | sirāya | dhama dhama dhama dhama | dhuma dhuma dhuma dhuma | dhumāya | namo namaḥ | kanakamunaye | tathāgatāya arhate samyak­sambuddhāya svāhā |
དེ་ནས་དེ་བཞིན་གཤེགས་པ་གསེར་ཐུབ་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་ནམ་མཁའི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The tathāgata Kanakamuni addressed the bodhisattva great being Ākāśagarbha, saying,
ནམ་མཁའི་སྙིང་པོ་གང་ལ་ལ་ཞིག་སྙིང་པོ་འདི་འཛིན་ཅིང་རྟག་ཏུ་བཟླས་བརྗོད་བྱེད་པ་དེ་ལ་མཚོན་གྱི་འཇིགས་པ་མི་འབྱུང་། ||| “Ākāśagarbha, whoever upholds this heart mantra and continuously recites it will not fear any weapon,
མེ་དང་། ཆུ་དང་། ལྕེ་འབབ་པས་འཆི་བའི་དུས་བྱེད་པར་མི་འགྱུར། ||| nor will they die from fire, drowning, or lightning.
དུག་ཐམས་ཅད་ཀྱང་ཟས་དང་འདྲ་བར་ཐུབ་པར་འགྱུར། ||| They will be able to consume poisons as easily as food.
དུས་མ་ཡིན་པར་འཆི་བས་འཆི་བའི་དུས་བྱེད་པར་མི་འགྱུར། ||| They will not suffer an unnatural death or
གཤིས་ངན་དུ་འཆི་བར་མི་འགྱུར། ||| They will not [suffer an unnatural death or] die due to a weak constitution.
ཚེ་རིང་བར་འགྱུར། ལོངས་སྤྱོད་ཆེ་བར་འགྱུར། ||| They will have a long life and be extremely prosperous.
རྟག་ཏུ་དེ་བཞིན་གཤེགས་པ་དང་ལྡན་པར་འགྱུར། ||| They will always be in the company of the Tathāgata
དེ་བཞིན་གཤེགས་པས་བྱིན་གྱིས་བརླབ་པར་འགྱུར་རོ། ། ||| They will [always be in the company of the Tathāgata and] be blessed by him.
དུས་གསུམ་དུ་བཟླས་བརྗོད་བྱས་ན། སྔོན་གྱི་ལས་ཀྱི་སྒྲིབ་པར་གྱུར་པ་ཐམས་ཅད་བྱང་བར་འགྱུར་རོ། ། ||| If they recite the mantra at the three times of the day, they will purify all their karmic obscurations from previous lifetimes.
ཅི་སྟེ་ཕ་རོལ་ནད་ལས་ཐར་བར་བྱེད་པར་འདོད་ན་ཅི་ནུས་སུ་གཏོར་མ་གཏོང་ཞིང་པོག་གམ། ཨ་ག་རུའི་བདུག་པས་བདུགས་ལ་གཟའ་ཐམས་ཅད་ལ་ཁྲུས་བྱའོ། ། ||| “If you want to cure another person’s illness, perform a cast offering according to your means, fumigate the room with incense or aloeswood, and wash all the food.
མཛེ་དང་སྐྲངས་ནད་དང་མཆིན་སྐྲན་ལ་ཤུ་དག་འཇམ་པོ་བཏགས་པ་སྦྲང་རྩི་དང་བསྲེས་ཏེ། ||| For leprosy, tumors, and a swollen liver, pick some fresh sweet flag, mix it with honey,
སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་ལན་སྟོང་རྩ་བརྒྱད་བསྔགས་ཏེ་བསྐུས་ན་མཛེ་ནད་ཐམས་ཅད་སོས་པར་འགྱུར་རོ། ། ||| incant it with the mantra one thousand and eight times before an image of the Blessed Buddha, and rub the mixture on the affected area. The leprosy will fully heal.
ཞག་བཞི་པ་ལ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་སྣ་མའི་མེ་ཏོག་གི་ཕྲེང་བ་ལ་ལན་སྟོང་རྩ་བརྒྱད་བསྔགས་ཏེ། ||| “For a fever that returns every four days, recite the mantra one thousand and eight times over a garland of jasmine flowers before an image of the Blessed Buddha.
མིའི་མགོ་ལ་བཅིངས་ན་ཞག་བཞི་པའི་རིམས་སོས་པར་འགྱུར་རོ། ། ||| Tie it around the patient’s head, and they will recover from the four-day fever.
མཚོན་བཏབ་པའི་རྣ་བར་བཟླས་བརྗོད་བྱས་ན་བརྗེད་བྱེད་ལས་ཐར་བར་འགྱུར་རོ། ། ||| “If you recite the mantra in the ear of someone who has been struck with a weapon, they will be cured of their amnesia.
ལུས་སྲུལ་པོས་ཟིན་པ་རྣམས་ལ་སངས་རྒྱས་ལ་ཕུལ་བའི་མེ་ཏོག་གིས་བདུག་གོ། ། ||| “For those who have been possessed by a kaṭapūtana , fumigate the patient with flowers that have been offered to the Buddha.
དེ་ལ་སོགས་པའི་ལས་རྣམས་བྱེད་དེ། ལས་ཐམས་ཅད་བྱེད་པ་ཞེས་བྱའོ། ། ||| That and all other such rituals may be performed with this heart mantra, thus it is acceptable for any rite.”
དེ་ནས་དེ་བཞིན་གཤེགས་པ་འོད་སྲུང་སྟེང་གི་ནམ་མཁའ་ལ་བཞུགས་ཏེ། ||| Then the tathāgata Kāśyapa hovered in the sky above them and
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་དང་། ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱ་བ་དང་། འབྱུང་པོ་ཐམས་ཅད་བཟློག་པའི་ཕྱིར་གསང་སྔགས་ཀྱི་གཞི་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| proclaimed these root verses of the secret mantra in order to benefit all beings, to pacify all manner of illnesses, and exorcise all manner of spirits:
ན་མོ་བུད་དྷཱ་ཡ། ན་མོ་དྷརྨཱ་ཡ། ན་མཿསཾ་གྷཱ་ཡ། ཨོཾ་ཧ་ར་ཧ་ར་ཧ་ར། ཧ་ཧ་ཧ། ན་མཿཀཱ་ཤྱ་པཱ་ཡ། ཏ་ཐཱ་ག་ཏཱ་ཡ། ཨརྷ་ཏེ་སཾ་མྱཀ་སཾ་བུད་དྷཱ་ཡ། སིདྷྱན་ཏུ་མན་ཏྲ་པ་དཻཿསྭཱ་ཧཱ། ||| namo buddhāya | namo dharmāya | namaḥ saṅghāya | oṃ hara hara hara hara | ha ha ha | namaḥ kāśyaspāya | tathāgatāya | arhate samyaksambuddhāya | sidhyantu mantrapada svāhā |
དེ་ནས་དེ་བཞིན་གཤེགས་པ་འོད་སྲུང་གིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The tathāgata Kāśyapa addressed the bodhisattva great being Ākāśagarbha, saying,
ནམ་མཁའི་སྙིང་པོ་སྙིང་པོ་འདི་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་གང་གཱའི་ཀླུང་སུམ་ཅུ་རྩ་གཉིས་ཀྱི་བྱེ་མ་སྙེད་དག་གིས་གསུངས་པ་སྟེ། ||| “Ākāśagarbha, blessed buddhas equal in number to the grains of sand in thirty-two Ganges rivers have taught this heart mantra in the past.
ནམ་མཁའི་སྙིང་པོ་སྙིང་པོ་འདི་ཁྱོད་ཀྱིས་ཟུང་ཤིག །ཀུན་ཆུབ་པར་གྱིས་ཤིག ། ||| Now, Ākāśagarbha, you must preserve this heart mantra. You must master it.
གང་ལ་ལ་ཞིག་འཛིན་ཏམ། ཀློག་གམ། ཀུན་ཆུབ་པར་བྱེད་དམ། ཉིན་མོའམ། མཚན་མོ་ལན་གསུམ་གསུམ་བཟླས་རྗོད་བྱེད་ན་ ||| “If someone who has received, recited, and mastered it recites it three times per day and three times per night, then,
མདོར་ན་རྨི་ལམ་ན་དེ་བཞིན་གཤེགས་པ་མཐོང་བར་འགྱུར་རོ། ། ||| in brief, they will have a vision of the Tathāgata in their dreams and
དེའི་ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་ཀྱང་བྱང་བར་འགྱུར་ཏེ། སྔོན་གྱི་ལས་ནི་མ་གཏོགས་སོ། ། ||| purify all their karmic obscurations except for any karma from their past lives.
ལས་ཐམས་ཅད་ལ་ཡང་སྦྱར་བར་བྱའོ། ། ||| This mantra can be used for any rite.
མཛེ་དང་ཤ་བཀྲ་ལ་སོགས་པ་ལ་སངས་རྒྱས་ལ་ཕུལ་བའི་མེ་ཏོག་ལ་སངས་རྒྱས་ཀྱི་སྤྱན་སྔར་ལན་སྟོང་རྩ་བརྒྱད་བསྔགས་ཏེ་ ||| “For illnesses such as leprosy and vitiligo, offer flowers to the Buddha and recite the mantra one thousand and eight times over them before an image of the Buddha.
བཀླགས་ཤིང་བཀྲུས་ན་སོས་པར་འགྱུར་རོ། ། ||| After the patient has recited the mantra and bathed, they will recover.
ཀླད་པ་ན་བ་ལ་སངས་རྒྱས་ལ་ཕུལ་བའི་མེ་ཏོག་སངས་རྒྱས་ཀྱི་སྤྱན་སྔར་བཞག་སྟེ། སངས་རྒྱས་ཀྱི་སྤྱན་སྔར་ལན་སྟོང་རྩ་བརྒྱད་བཟླས་བརྗོད་བྱའོ། ། ||| For a headache, one should place a flower offered to the Buddha before an image of the Buddha and recite the mantra before the image one thousand and eight times.
ཐམས་ཅད་དུ་ཡང་སྦྱར་བར་བྱའོ། ། ||| This mantra can be used in any ritual.”
དེ་ནས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་སྟེང་གི་ནམ་མཁའ་ལ་བཞུགས་ཏེ། ||| Then the Blessed One, the Tathāgata Śākyamuni, hovered in the sky above them and
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པའི་དོན་གྱི་ཕྱིར་རིག་སྔགས་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| spoke this vidyāmantra for the benefit of all beings:
ན་མོ་བུད་དྷཱ་ཡ། ན་མོ་དྷརྨཱ་ཡ། ན་མཿསཾ་གྷཱ་ཡ། ཏདྱ་ཐཱ། གྷུ་མེ་གྷུ་མེ་མ་ཧཱ་གྷུ་མེ། ཏ་ལེ་ཏ་ལེ་མ་ཧཱ་ཏ་ལེ། ཙ་ལེ་ཙ་ལེ་མ་ཧཱ་ཙ་ལེ། དྷུ་རེ་དྷུ་རེ་མ་ཧཱ་དྷུ་རེ། ཏི་རི་ཏི་རི་མ་ཧཱ་ཏི་རི། ཀི་ལི་ཀི་ལི་མ་ཧཱ་ཀི་ལི། ཙུ་རུ་ཙུ་རུ་མ་ཧཱ་ཙུ་རུ། མི་ལི་མི་ལི་མ་ཧཱ་མི་ལི། ཏི་ལི་ཏི་ལི་མ་ཧཱ་ཏི་ལི། དྷུ་མེ་དྷུ་མེ་མ་ཧཱ་དྷུ་མེ། ཙ་ལེ་ཙ་ལེ་མ་ཧཱ་ཙ་ལེ། ཁི་རི་ཁི་རི་མ་ཧཱ་ཁི་རི། ཙི་ལི་ཙི་ལི་མ་ཧཱ་ཙི་ལི་སྭཱ་ཧཱ། ||| namo buddhāya | namo dharmāya | namaḥ saṅghāya | tadyathā | ghume ghume mahāghume | tale tale mahātale | cale cale mahācale | dhure dhure mahādhure | tiri tiri mahātiri | kili kili mahākili | curu curu mahācuru | mili mili mahāmili | tili tili mahātili | dhume dhume mahādhume | cale cale mahācale | khiri khiri mahakhiri | cili cili mahācili svāhā |
དེ་ནས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Tathāgata Śākyamuni addressed the bodhisattva great being Ākāśagarbha, saying,
ནམ་མཁའི་སྙིང་པོ་ཀླད་པའི་ནད་བསལ་ན་མཚོན་དང་ལག་མཐིལ་གྱིས་བྱའོ། ། ||| “Ākāśagarbha, to treat a headache, you should recite the mantra using your forefinger and the palm of your hand.
སྤྲིན་བཟློག་ན་ཤིང་ཀ་ར་བཱི་རའི་ལྕུག་མས་བྱའོ། ། ||| You can disperse clouds using an incanted wand made of oleander wood.
དུག་སྤོ་ན་ཆུས་བྱའོ། ། ||| You can use incanted water to overcome poisoning.
ལས་གཞན་རྣམས་ཀྱང་བྱའོ། ། ||| You can also perform any other rituals using the mantra, and
ཁྲུས་ཀྱི་ཆོ་གས་སྦྱར་བར་བྱའོ། ། ||| you can include a bathing rite.
ཆོ་ག་ཐམས་ཅད་ཀྱིས་དུས་ཐམས་ཅད་དུ་སྦྱར་བར་བྱའོ། ། ||| It can be used for any rite in any context.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| After the Blessed One had said this,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནམ་མཁའི་སྙིང་པོ་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| the bodhisattva great being Ākāśagarbha was delighted and praised the Blessed One’s words.
འཕགས་པ་སངས་རྒྱས་བདུན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This concludes the noble Mahāyāna sūtra “ The Seven Buddhas .”
