༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་ཀྵ་ར་ཀ་རཎྜ་ཀ་བཻ་རོ་ཙ་ན་གརྦྷ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཡི་གེ་མེད་པའི་ཟ་མ་ཏོག་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Basket without Words, The Illuminator’s Matrix
།རིགས་ཀྱི་བུ་འདི་ནི་གང་བྱང་ཆུབ་སེམས་དཔས་རྟག་པར་རྒྱུན་དུ་མངོན་པར་བསྲུང་བར་བྱ་བའི་ཆོས་གཅིག་གོ། ||| Child of a good family, this is one quality that bodhisattvas should constantly and continuously safeguard. “
།རིགས་ཀྱི་བུ་གང་དེ་བཞིན་གཤེགས་པས་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པའི་ཆོས་གཅིག་པོ་དེ་གང་ཡིན་ཞེས་དེ་སྐད་ཟེར་བ་ནི་རིགས་ཀྱི་བུ་གང་དེ་བཞིན་གཤེགས་པས་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པའི་ཆོས་གཅིག་པོ་དེ་གང་ཡང་མེད་དོ། ||| Child of a good family, someone may ask, ‘What is one phenomenon to which thus-gone ones have truly and perfectly awakened?’ Child of a good family, there is no one phenomenon to which thus-gone ones have truly and perfectly awakened.
།རིགས་ཀྱི་བུ་གང་ལ་ཆོས་གང་ཡང་རྟོགས་པ་མེད་པ་དེ་དེ་བཞིན་གཤེགས་པས་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པའོ། ||| Child of a good family, without any phenomenon whatsoever to realize, thus-gone ones have truly and perfectly awakened. “
།རིགས་ཀྱི་བུ་ཡང་དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་མ་སྐྱེས་པར་ཐུགས་སུ་ཆུད་དོ། ||| Child of a good family, thus-gone ones also comprehend that all phenomena are unborn.
།དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་འགགས་པ་མེད་པར་ཐུགས་སུ་ཆུད་དོ། ||| Thus-gone ones comprehend that all phenomena are without cessation.
།རིགས་ཀྱི་བུ་ཡང་དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་མཐའ་གཉིས་ལས་གྲོལ་བར་ཐུགས་སུ་ཆུད་དོ། ||| Child of a good family, thus-gone ones also comprehend that all phenomena are free from the two extremes.
།རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་མ་བྱུང་བར་ཐུགས་སུ་ཆུད་དོ། ||| Child of a good family, thus-gone ones comprehend that all phenomena are unarisen.
།རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པས་ལས་བདག་གིར་བྱ་བར་ཐུགས་སུ་ཆུད་དོ། ||| Child of a good family, thus-gone ones comprehend the appropriation of karma.
།དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་རྒྱུ་དང་རྐྱེན་ལས་རག་ལས་པར་ཐུགས་སུ་ཆུད་དོ། ||| Thus-gone ones comprehend that all phenomena depend on causes and conditions.
།རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པས་རྒྱུ་དང་རྐྱེན་ནི་གློག་དང་འདྲ་བར་ཐུགས་སུ་ཆུད་དོ། ||| Child of a good family, thus-gone ones comprehend that causes and conditions are like lightning.
།དེ་བཞིན་གཤེགས་པས་རྒྱུ་དང་རྐྱེན་མེད་པ་ལས་སྐྱེ་བ་མེད་པར་ཐུགས་སུ་ཆུད་དོ། ||| Thus-gone ones comprehend that there is no birth without causes and conditions.
།དེ་ལྟར་དེ་བཞིན་གཤེགས་པས་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོའི་ཆོས་ཉིད་ཐུགས་སུ་ཆུད་དོ། ||| In this way, thus-gone ones comprehend the true nature that is the illuminator’s matrix. “
།ཅིའི་ཕྱིར་ཡོངས་སུ་རྟོག་པ་དག་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོ་ཞེས་སྨྲ་ཞེ་ན། ||| Someone may ask, ‘Why are these realizations called the illuminator’s matrix?’
རིགས་ཀྱི་བུ་འཇིག་རྟེན་པ་དང་། འཇིག་རྟེན་ལས་འདས་པའི་ཡེ་ཤེས་ལ་སོགས་པ་གང་དག་ཅི་འབྱུང་བའི་མངལ་དེ་ཡིན་པའི་ཕྱིར་རོ། ||| Child of a good family, this is because they are the womb from which all mundane and supramundane wisdom and so forth arises.
།གང་གི་ཚེ་ཡེ་ཤེས་དེའི་རང་བཞིན་ལ་ཡོངས་སུ་རྟོག་པ་དེའི་ཚེ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མངལ་དུ་ཆུད་པ་ཡིན་ཏེ། ||| When one examines the nature of that wisdom, then one enters the womb of the perfection of wisdom.
དེའི་ཚེ་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོ་ཞེས་བྱ་བའི་མིང་འཐོབ་བོ། ||| That is called the illuminator’s matrix. “
།རིགས་ཀྱི་བུ་ཡང་དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་སྒྱུ་མ་དང་སྨིག་རྒྱུ་དང་འདྲ་བར་ཐུགས་སུ་ཆུད་དོ། ||| Child of a good family, thus-gone ones also comprehend that all phenomena are like a magician’s illusions and like mirages.
།དེ་བཞིན་གཤེགས་པས་རང་བཞིན་གྱིས་རྣམ་པར་གྲོལ་བའི་རང་གི་ཆོས་ཉིད་ཐུགས་སུ་ཆུད་དོ། ||| Thus-gone ones comprehend their own true nature that is naturally liberated.
།རྣམ་པར་གྲོལ་བ་གང་ཡིན་པ་དེ་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོའི་ཆོས་ཉིད་དོ། ||| That which is liberated is the true nature of the illuminator’s matrix. “
།རིགས་ཀྱི་བུ་ཡང་དེ་བཞིན་གཤེགས་པས་ཆོས་ཀྱི་སྒོ་གཅིག་ཐུགས་སུ་ཆུད་དེ། རིགས་ཀྱི་བུ་གང་ལ་འགྲོ་བ་མེད་པ་དང་། འོང་བ་མེད་པ་དང་། རྒྱུ་མེད་པ་དང་། རྐྱེན་མེད་པ་དང་། འཆི་འཕོ་མེད་པ་དང་། སྐྱེ་བ་མེད་པ་དང་། བླང་བ་མེད་པ་དང་། དོར་བ་མེད་པ་དང་། ||| Child of a good family, thus-gone ones also comprehend the single gateway of the Dharma.
འགྲིབ་པ་མེད་པ་དང་། འཕེལ་བ་མེད་པ་དང་། རིགས་ཀྱི་བུ་གང་རང་བཞིན་གྱིས་རང་བཞིན་མེད་དེ། གང་ལ་དཔེར་བྱ་བར་མི་ནུས་པ་དང་། གང་ཡི་གེ་དང་ངེས་པའི་ཚིག་གིས་བརྗོད་པར་མི་ནུས་པའི་ཆོས་ཀྱི་སྒོ་གཅིག་པོ་དེ་དེ་བཞིན་གཤེགས་པས་ཐུགས་སུ་ཆུད་དོ། ||| Child of a good family, that which is without going, without coming, without causes, without conditions, without death and transmigration, without birth, without acceptance, without rejection, without decrease, and without increase; and, child of a good family, what is naturally natureless, what cannot be indicated by analogy, what cannot be expressed by words or language—that single gateway of the Dharma is comprehended by the thus-gone ones.”
།བཀོད་པའི་རྒྱལ་པོ་བསྟན་པ་ཡི་གེ་མེད་པའི་ཟ་མ་ཏོག་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པ་ན་ས་བཅུ་ལ་གནས་པའི་བྱང་ཆུབ་སེམས་དཔའི་མིག་ལ་རྡུལ་ཕྲ་རབ་ཇི་སྙེད་སྣང་བར་འགྱུར་བ་དེ་སྙེད་ཀྱི་སེམས་ཅན་རྣམས་ཀྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། །དེ་སྙེད་གཅིག་གིས་དགྲ་བཅོམ་པ་ཉིད་མངོན་དུ་བྱས་སོ། ||| When the teaching of the king of arrays, this Dharma discourse on the basket without words, the illuminator’s matrix, was explained, as many sentient beings as the minute particles that would appear to the eyes of a bodhisattva abiding on the tenth ground generated the mind of unsurpassed, perfect, and complete awakening.
།དེ་བས་ཆེས་མང་བའི་སེམས་ཅན་དག་སེམས་ཅན་དམྱལ་བ་ནས་ཤི་འཕོས་ནས་ལྷ་དང་མིར་སྐྱེས་སོ། ||| The same number attained arhatship. Moreover, an even greater number of sentient beings than that died and transmigrated from among the hell beings and were born as humans and gods.
།བྱང་ཆུབ་སེམས་དཔའ་དུ་མ་ནི་ས་ཐོབ་པར་གྱུར་ཏོ། ||| Many bodhisattvas attained the grounds.
།བྱང་ཆུབ་སེམས་དཔའ་དུ་མ་ནི་ཏིང་ངེ་འཛིན་བརྒྱ་སྟོང་མངོན་དུ་གྱུར་ཏོ། ||| Many bodhisattvas actualized hundreds of thousands of meditative concentrations.
།མང་དུ་ཅི་དགོས་ཏེ་གཏམ་འདི་ནི་སུ་ལ་ཡང་དོན་མེད་པར་མ་གྱུར་ཏོ། ||| Many found that due to this discourse they did not lack anything they needed.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་སྒྲ་གཅན་ཟིན་ལ་བཀའ་སྩལ་པ། སྒྲ་གཅན་ཟིན་ཁྱོད་ངའི་ཆོས་ཀྱི་ཚུལ་འདི་གཟུང་བར་སྤྲོ་བར་གྱིས་ཤིག ། ||| Then the Blessed One said to Venerable Rāhula, “Rāhula, you should remember this Dharma instruction of mine enthusiastically.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་མ་ཐག་ཏུ་སངས་རྒྱས་ཀྱི་མཐུས་འཁོར་དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་དགུ་སྟན་ལས་ལངས་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པའི་ཆོས་ཀྱི་ཚུལ་འདི་བདག་ཅག་གིས་གཟུང་བར་བགྱིའོ། ||| Immediately after the Blessed One spoke, by the power of the Buddha, ninety million bodhisattvas from that retinue arose from their seats and said to the Blessed One, “Blessed One, we will remember this Dharma instruction of the Thus-Gone One.
།སླད་མའི་ཚེ་སླད་མའི་དུས་ན་བྱང་ཆུབ་སེམས་དཔའི་སྣོད་དུ་འཚལ་བར་བགྱིས་ལ། འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དུ་ཡང་དག་པར་བཤད་པར་བགྱིའོ། ||| At a later time, in the future, we will explain it well in the Sahā world to those who seek the Bodhisattva Collection.”
།རྒྱལ་པོ་ཆེན་པོ་བཞིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་ཅག་གིས་གང་དག་འདི་ལྟ་བུའི་ཆོས་ཀྱི་སྣོད་དུ་གྱུར་པ་འབྱུང་བར་འགྱུར་བའི་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་གི་བསམ་པ་ཐམས་ཅད་ཡོངས་སུ་རྫོགས་པར་བགྱིའོ། ||| The Four Great Kings said to the Blessed One, “Blessed One, we will fulfill all the wishes of those bodhisattvas who become vessels of teachings like this.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་ལ་གཟིགས་ནས་བཀའ་སྩལ་པ། གྲོགས་པོ་དག་ཤིན་ཏུ་རྒྱས་པ་བསྡུས་པའི་ཡི་གེ་མེད་པའི་ཟ་མ་ཏོག་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཉན་པ་དེ་དག་ནི་དགེ་བའི་རྩ་བ་ཆུང་ངུ་དང་ལྡན་པར་མི་འགྱུར་རོ། ||| Then the Blessed One looked upon the entire retinue and said, “Friends, those who hear this Dharma discourse on the basket without words, the illuminator’s matrix, which condenses the very extensive sūtras, will not be endowed with lesser roots of virtue.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this so?
ང་ལ་སྐྱེས་བུ་དམ་པ་དེ་དག་གིས་བཀུར་སྟིར་བྱས། བླ་མར་བྱས། བཙུན་པར་བྱས་པའི་ཕྱིར་རོ། ||| This is because all those excellent beings have served, venerated, and honored me.
།རིགས་ཀྱི་བུ་དེ་དག་ནི་ངའི་བྱང་ཆུབ་ཕྲག་པ་ལ་ཐོགས་པར་འགྱུར་རོ། ||| Those children of a good family will carry my awakening on their shoulders.
།དེ་དག་གི་སྤོབས་པ་ཕུན་སུམ་ཚོགས་པ་རྒྱུན་མི་འཆད་པར་འགྱུར་རོ། ||| Their consummate eloquence will be unceasing.
།དེ་དག་གི་སངས་རྒྱས་ཀྱི་ཞིང་ཤིན་ཏུ་ཡོངས་སུ་དག་པར་འགྱུར་རོ། ||| Their buddha realms will be thoroughly and completely pure. “
།འཆི་བའི་དུས་ཀྱི་ཚེ་ན་ཡང་དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་ཉན་ཐོས་ཀྱི་དགེ་འདུན་གྱིས་ཡོངས་སུ་བསྐོར་ཅིང་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཀྱིས་མདུན་གྱིས་བལྟས་ནས་མདུན་ན་བཞུགས་པར་གྱུར་ཏེ་མཐོང་བར་འགྱུར་རོ། ||| Also, at the time of death, they will see standing before them the Thus-Gone One Amitābha surrounded by a saṅgha of śrāvakas and attended by an assembly of bodhisattvas.
།ང་ཡང་བྱང་ཆུབ་སེམས་དཔའ་འདི་དག་ཉིད་དང་ཐབས་ཅིག་ཏུ་རིའི་རྒྱལ་པོ་བྱ་རྒོད་ཀྱི་ཕུང་པོ་ལ་གནས་པར་མཐོང་བར་འགྱུར་རོ། ||| They will also see me together with these very bodhisattvas abiding on Vulture Peak, the king of mountains.
།རིགས་ཀྱི་བུ་དེ་དག་གི་ཆོས་ཀྱི་མཛོད་མི་ཟད་པར་འགྱུར་རོ། ||| The treasury of the Dharma will never be exhausted for those children of a good family.
།དེ་དག་ཚེ་རབས་དྲན་པར་འགྱུར་རོ། ||| They will remember their past lives.
།ངན་སོང་རྣམས་སུ་སྐྱེ་བར་མི་འགྱུར་རོ། ||| They will not be born in the lower realms. “
།རིགས་ཀྱི་བུ་ང་ནི་འཇིག་རྟེན་ཐམས་ཅད་དང་མི་འཐུན་པའི་ཚིག་འདི་སྨྲ་སྟེ། ||| Child of a good family, I have spoken these words that contradict the whole world.
རིགས་ཀྱི་བུ་དག་གལ་ཏེ་མཚམས་མེད་པ་ལྔ་བྱེད་པར་འགྱུར་ལ། ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལུས་ལ་བཏགས་སམ། ཡི་གེར་འདྲི་འམ། ཀློག་གམ། ཀུན་ཆུབ་པར་བྱེད་ན་དེ་ནི་ངན་སོང་ངན་འགྲོ་ལོག་པར་ལྟུང་བར་འགྲོ་བར་ངས་མ་མཐོང་ངོ་། ||| I have never seen children of a good family who commit the five actions with immediate retribution and then fasten this Dharma discourse to their bodies, write it out, recite it, or master it fall into the lower realms.
།བྱང་ཆུབ་སེམས་དཔའ་དེ་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་དབང་བསྐུར་ཞིང་མིག་ལྔ་ཐོབ་པར་འགྱུར་རོ། ||| Those bodhisattvas will be empowered by all the buddhas and attain the five eyes.
།དབང་པོ་ཉམས་པར་མི་འགྱུར་རོ། ||| They will not have inferior faculties.
།སངས་རྒྱས་ཐམས་ཅད་ཀྱིས་ཡོངས་སུ་བཟུང་ངོ་། ||| They will be embraced by all buddhas.
།བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱིས་ཡོངས་སུ་བཟུང་ངོ་། ||| They will be embraced by all bodhisattvas.
།དེའི་ལས་ཚད་མེད་པ་རྣམ་པར་དག་པར་འགྱུར་རོ། ||| Their limitless actions will be purified.
།རིགས་ཀྱི་བུ་ཚིག་འདི་ནི་ཐ་མར་སྨྲ་སྟེ། དེ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པར་ངས་མཐོང་ངོ་། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ཁྱད་པར་སེམས་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་། བརྒྱ་བྱིན་ལ་སོགས་པ་ལྷའི་བུ་རྣམས་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དང་། ||| Child of a good family, I see that they will speak these words in the future and become truly and perfectly awakened.”
ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| When the Blessed One had spoken these words, Viśeṣacintin and the other bodhisattvas, Śakra and the gods, the Four Great Kings, and the world with its gods, humans, asuras, and gandharvas rejoiced and praised what the Blessed One had said.
འཕགས་པ་ཡི་གེ་མེད་པའི་ཟ་མ་ཏོག་རྣམ་པར་སྣང་མཛད་ཀྱི་སྙིང་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This concludes the noble Mahāyāna sūtra “The Basket without Words, The Illuminator’s Matrix.”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། དཱ་ན་ཤཱི་ལ་དང་། མུ་ནི་བརྨ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་ཞུས་ནས་གཏན་ལ་ཕབ་པ།། ||| It was edited and finalized by the Indian preceptors Jinamitra, Dānaśīla, and Munivarman, and the chief editor-translator Bandé Yeshé Dé.
