༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་རཏྣ་ཀོ་ཊི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རིན་པོ་ཆེའི་མཐའ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Infinite Jewels
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་སྐད་དུ་སྨྲས་ན་བདག་གིས་འདི་སྐད་དུ་ལན་གདབ་པར་བགྱི་སྟེ། ||| “Blessed One, if I were asked such a question this would be my reply:
དཔེར་ན་མི་གཉིད་ཀྱིས་ལོག་པའི་རྨི་ལམ་དུ་སེམས་ཅན་དམྱལ་བའམ། དུད་འགྲོའི་སྐྱེ་གནས་སམ། ཡི་དགས་ཀྱི་ཡུལ་ལམ། ལྷ་མ་ཡིན་གྱི་རིས་སམ། ལྷ་རྣམས་སམ། ||| Consider the analogy of a sleeping person who in dreams sees hell beings, animal realms, lands of hungry ghosts, classes of asuras, gods, or people.
མི་རྣམས་མཐོང་ན། བཅོམ་ལྡན་འདས་ཇི་ལྟར་གཡར་ལམ་རྨི་བའི་མིས་སྣ་ཚོགས་མཐོང་ཡང་གཡར་ལམ་སྣ་ཚོགས་མ་མཆིས་པ་དེ་བཞིན་དུ་བདག་གིས་འགྲོ་བ་ཐ་དད་པ་བསྟན་ཀྱང་ཆོས་ཀྱི་དབྱིངས་ཀྱི་ངོ་བོ་ཉིད་ཐ་དད་པ་གདགས་པར་རྔོ་མི་ཐོགས་ཏེ། ||| Blessed One, although the dreaming person sees myriad things, all the myriad things dreamed are not there. In the same way, although I teach distinct types of beings, it is impossible to designate distinct essences within the realm of phenomena.
དེ་ལྟ་ལགས་པས་བཅོམ་ལྡན་འདས་བདག་གིས་ནི་དེ་སྐད་འདྲི་བ་ལ་དེ་སྐད་ཅེས་ལན་གདབ་པར་བགྱི་ལགས་སོ། ||| That being so, Blessed One, that is how I would answer such a question.
།བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་སངས་རྒྱས་རྣམས་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་། རང་སངས་རྒྱས་རྣམས་དང་། ཉན་ཐོས་ཀྱི་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཡང་ཐ་དད་པར་གདགས་པར་རྔོ་མི་ཐོགས་ལགས་སོ། ||| “Similarly, Blessed One, the parinirvāṇa of the buddhas, bodhisattvas, solitary buddhas, and hearers cannot be distinctly labeled.
།བཅོམ་ལྡན་འདས་དེ་དག་གིས་གནས་པ་དག་ཀྱང་ཐ་དད་པར་གདགས་པར་རྔོ་མི་ཐོགས་ལགས་སོ། ||| Blessed One, their ways of abiding also cannot be distinctly labeled.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why not?
འདི་ལྟར་ཆོས་ཀྱི་དབྱིངས་ལས་ཐ་མི་དད་པའི་སླད་དུ་ལགས་སོ། ||| Because they are not distinct from the realm of phenomena.
།བཅོམ་ལྡན་འདས་དཔེར་བགྱི་ན་རྒྱ་མཚོ་ཆེན་པོའི་རིན་པོ་ཆེ་སྣ་ཚོགས་དུང་དང་། མན་ཤེལ་དང་། བྱི་རུ་ལ་སོགས་པ་ཐ་མ་དང་། འབྲིང་དང་། མཆོག་རྣམས་ལ་འདི་ནི་རིན་པོ་ཆེ་ཆེ་གེ་མོ་ཞིག་གོ། ||| To give an analogy, Blessed One, there are various precious substances in the sea—conch shells, crystal, coral, and the like—of lesser, middling, or superior quality. These can all be distinctly labeled, saying, ‘This is such-and-such precious substance;
།འདི་ནི་རིན་པོ་ཆེ་ཆེ་གེ་མོ་ཞིག་གོ་ཞེས་ཐ་དད་པར་གདགས་སུ་མཆིས་ལགས་ཀྱི། ཆོས་ཀྱི་དབྱིངས་ལ་ནི་དེ་ལྟར་ཐ་དད་པར་གདགས་པའི་རྔོ་མི་ཐོགས་ལ། གདགས་པ་དེ་ལ་ཡང་ཐ་དད་པར་དབྱེར་མ་མཆིས་ལགས་སོ། ||| this is such-and-such precious substance.’ However, such distinct labeling cannot be applied to the realm of phenomena, where such labeled distinctions cannot be differentiated.
།དེ་ལ་ནི་འཆི་འཕོ་བ་དང་། སྐྱེ་བ་ཐ་དད་པར་གདགས་པའི་རྔོ་མི་ཐོགས་ལགས་སོ། ||| Therein, death, transmigration, and birth cannot be distinctly labeled.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is that?
ཆོས་ཀྱི་དབྱིངས་ལ་ནི་འཆི་འཕོའམ། སྐྱེ་བའམ། ཀུན་ནས་ཉོན་མོངས་པའམ། རྣམ་པར་བྱང་བ་མ་མཆིས་པའི་སླད་དུ་ལགས་སོ། ||| Because the realm of phenomena is without death, transmigration, birth, pollution, and purification.
།ཆོས་ཀྱི་དབྱིངས་ནི་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་མ་ལགས། ||| The realm of phenomena is not polluted.
ཆོས་ཀྱི་དབྱིངས་ནི་འདྲེས་པ་མ་ལགས་ཏེ། ||| The realm of phenomena is not adulterated.
ཆོས་ཀྱི་དབྱིངས་ལ་ནི་གང་དག་སྤང་བར་བགྱི་བའམ། བསྐྱེད་པར་བགྱི་བའི་ཆོས་དེ་དག་མ་མཆིས་ལགས་སོ། ||| Within the realm of phenomena there are no attributes to be relinquished or generated.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་མཁྱེན་བཞིན་དུ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །འཇམ་དཔལ་ཁྱོད་ཀྱིས་ཆོས་ཀྱི་དབྱིངས་ཤེས་སམ། གསོལ་པ། ||| Then the Blessed One, though he already knew, asked Youthful Mañjuśrī, “Mañjuśrī, do you know the realm of phenomena?”
གལ་ཏེ་དམིགས་ན་བདག་གིས་འཚལ་ལགས་སོ། །བཀའ་སྩལ་པ། ||| “If I were to apprehend it, I would know it.”
འཇམ་དཔལ་འཇིག་རྟེན་གང་ལ་སྤྱོད་ཤེས་སམ། གསོལ་པ། ||| “Mañjuśrī, do you know the world that is experienced?”
བཅོམ་ལྡན་འདས་འཇིག་རྟེན་ནི་སྒྱུ་མ་སྤྲུལ་པའི་མི་གང་ཁོ་ན་ལ་སྤྱོད་པ་དེ་ལ་སྤྱོད་ལགས་སོ། ||| “Blessed One, the world is merely that which is experienced by people who are illusory apparitions.
།བཅོམ་ལྡན་འདས་འཇིག་རྟེན་ཞེས་བགྱི་བ་དེ་ནི་མིང་ཙམ་དུ་བས་ཏེ། ||| Blessed One, what is called world is no more than a mere name.
བདག་གིས་ནི་གང་བསྟན་པར་བགྱི་བའི་འཇིག་རྟེན་གྱི་དངོས་པོ་དང་། འཇིག་རྟེན་གང་ལ་སྤྱོད་པ་ཡང་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ལགས་ཏེ། ||| Apart from that I do not see any world that can be pointed out, or a world to experience.
བདག་གིས་ནི་འཇིག་རྟེན་གྱི་ཆོས་ཀྱི་དབྱིངས་ལས་ཐ་དད་པར་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ལགས་སོ། ||| I do not see anything distinct from the world’s realm of phenomena.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why not?
མ་མཆིས་པའི་སླད་དུ་ལགས་སོ། ||| Because there isn’t any.
།བཅོམ་ལྡན་འདས་ཀྱིས་འཇིག་རྟེན་གང་ལ་སྤྱོད་ཅེས་བཀའ་སྩལ་པ་དེ་ཡང་། གཟུགས་ཀྱི་ངོ་བོ་ཉིད་གང་ལགས་པ་དེ་ལ་ནི་འཆི་འཕོ་དང་། སྐྱེ་བ་ཡང་མ་མཆིས། ||| Regarding the Blessed One’s statement about ‘the world that is experienced,’ the essence of form is without death, transmigration, or birth;
དེ་ལ་ནི་འཇིག་པའམ། ||| it does not disintegrate or perish.
རབ་ཏུ་འཇིག་པ་ཡང་མ་མཆིས་ན་གང་ལ་སྤྱོད་པར་འགྱུར་ལགས། ||| This being the case, what is there to experience?
དེ་བཞིན་དུ་ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་རྣམས་ཀྱི་ངོ་བོ་ཉིད་གང་ལགས་པ་དེ་ནི་གཏན་མ་མཆིས་པའི་སླད་དུ་སྐྱེ་བའམ་འགག་པ་མ་མཆིས་ལ། ||| Likewise, since the essence of feeling, perception, formation, and consciousness does not exist, there is no arising or ceasing.
མཚན་ཉིད་གཅིག་ལས་མི་འདའ་སྟེ། ||| These things do not go beyond the single characteristic;
འདི་ལྟ་སྟེ་མཚན་ཉིད་གཅིག་པ་ལགས་སོ། ||| indeed, their characteristic is identical.”
།བཀའ་སྩལ་པ། འཇམ་དཔལ་འདི་ཇི་སྙམ་དུ་སེམས། ང་ད་ལྟར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སུ་འགྱུར་བ་འདི་ལ་ཁྱོད་འདི་སྙམ་དུ་འདི་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་བའམ། མི་སྣང་བར་འགྱུར་རོ་སྙམ་དུ་སེམས་སམ། ||| “Mañjuśrī, tell me, do you think that I, the Thus-Gone One, the Worthy One, the Perfect Buddha, will pass into parinirvāṇa or disappear?”
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་ནི་མ་ལགས་སོ། ||| “No, Blessed One, I do not.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why not?
ཆོས་ཀྱི་དབྱིངས་ནི་ཡང་དག་པར་གྲུབ་པ་མ་ལགས་པའི་སླད་དུ་ལགས་སོ། ||| Because the realm of phenomena is not truly established.
།བཅོམ་ལྡན་འདས་གལ་ཏེ་ཆོས་ཀྱི་དབྱིངས་ཡང་དག་པར་གྲུབ་པ་ཞིག་ལགས་ན་ནི་དེའི་སླད་དུ་དེ་མི་འདའ་བར་ཡང་འགྱུར་བ་ཞིག་ན། ||| Blessed One, if the realm of phenomena were truly established, then it would not be something to pass beyond.
དེ་ལ་ནི་ཡང་དག་པར་གྲུབ་པ་མི་དམིགས་པ་སྟེ། དེ་མི་གདའ་བའམ། ||| However, it is not apprehended as something truly established.
ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་ལྟ་ག་ལ་འགྱུར་ལགས། ||| Thus, how can one speak of not passing beyond or passing into parinirvāṇa?
དེ་བཞིན་གཤེགས་པ་ནི་དེ་ལྟ་བུའི་དབྱིངས་ལགས་ཏེ། ||| The Thus-Gone One is the realm of phenomena.
དེའི་སླད་དུ་བཅོམ་ལྡན་འདས་ནི་སྐྱེས་པ་ཡང་མ་ལགས། ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་མི་འགྱུར་ལགས་སོ། །བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| For that reason, the Blessed One is not born and does not pass into parinirvāṇa.”
འཇམ་དཔལ་འོ་ན་ཁྱོད་འདས་པའི་དེ་བཞིན་གཤེགས་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་པོ་དེ་དག་ཡོངས་སུ་མྱ་ངན་ལས་འདས་སོ་ཞེས་དེ་ལ་ཁྱོད་ཇི་ལྟར་མོས། གསོལ་པ། ||| “Well then, Mañjuśrī,” said the Blessed One, “how can you have conviction in the statement that the thus-gone ones of the past, equal in number to the grains of sand in the River Ganges, have passed into parinirvāṇa?”
གལ་ཏེ་དེ་དག་གི་སྐྱེ་བ་ཡང་དག་པར་རྗེས་སུ་མཐོང་ན་ནི་བདག་མོས་ལགས་སོ། །བཀའ་སྩལ་པ། ||| “If I had beheld their birth, I would have conviction.”
ཁྱོད་སོ་སོའི་སྐྱེ་བོ་ཤི་བ་རྣམས་ཉིད་མཚམས་སྦྱོར་བར་འདོད་དམ། ||| “Do you maintain that ordinary beings are reborn after they die?”
གསོལ་པ། བཅོམ་ལྡན་འདས་སོ་སོའི་སྐྱེ་བོ་ཉིད་ཀྱང་བདག་གིས་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་མི་དམིགས་ན་དེའི་ཉིང་མཚམས་སྦྱོར་བ་ལྟ་ག་ལ་དམིགས་ལགས། ||| “Blessed One, since I do not see or apprehend ordinary beings, how could I possibly apprehend their rebirth?”
བཀའ་སྩལ་པ། འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པ་ཆོས་གནས་པར་བཞེད་ཀྱིས་ཁྱོད་སྤོབས་པར་གྱིས་ཤིག །གསོལ་པ། ||| “Mañjuśrī, please expound on the Thus-Gone One’s assertion that phenomena abide.”
ཅི་ཞིག་ལས་བརྩམས་ཏེ་སྤོབས་པར་བགྱི་ལགས། བཀའ་སྩལ་པ། ||| “Where should I begin my discourse?”
ཆོས་ཀྱི་དབྱིངས་ལས་རྩོམས་ཤིག །གསོལ་པ། ||| “Start with the realm of phenomena.”
བཅོམ་ལྡན་འདས་གང་ཆོས་ཀྱི་དབྱིངས་མ་ལགས་པའི་ཆོས་དེ་བདག་གིས་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ལགས་སོ། །བཀའ་སྩལ་པ། ||| “Blessed One, I do not actually see any phenomena that are not the realm of phenomena.”
འཇམ་དཔལ་མངོན་པའི་ང་རྒྱལ་ཅན་རྣམས་སྐྲག་པར་འགྱུར་རོ། ||| “Mañjuśrī, those who are presumptuously arrogant will be frightened.”
།གསོལ་པ། བཅོམ་ལྡན་འདས་གལ་ཏེ་ཡང་དག་པའི་མཐའ་སྐྲག་པར་འགྱུར་ན་ནི་དེའི་སླད་དུ་མངོན་པའི་ང་རྒྱལ་ཅན་ཡང་སྐྲག་པར་འགྱུར་ལགས་སོ། ||| “Blessed One, if the limit of reality were to be frightened, then, based on that, those who are presumptuously arrogant would also be frightened.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is this?
བཅོམ་ལྡན་འདས་ཡང་དག་པའི་མཐའ་ཡང་གཞན་ལ་མངོན་པའི་ང་རྒྱལ་ཅན་ཡང་གཞན་པ་ནི་མ་ལགས་ཀྱི། ||| Blessed One, those who are presumptuously arrogant are not something other than the limit of reality.
མངོན་པའི་ང་རྒྱལ་ཅན་རྣམས་ཀྱི་མཐའ་གང་ལགས་པའི་མཐའ་དེ་ཉིད་ཡང་དག་པའི་མཐའ་ལགས་ལ། ||| Whatever is the limit of those who are presumptuously arrogant, that very limit is the limit of reality.
ཡང་དག་པའི་མཐའ་གང་ལགས་པ་དེ་ཡང་ཆོས་ཐམས་ཅད་ཀྱི་མཐའ་ལགས་ཏེ། ||| Moreover, that which is the limit of reality is also the limit of all phenomena.
དེའི་སླད་དུ་མི་སྐྲག་ལགས་སོ། ||| For that reason, they are not frightened.
།ཆོས་ཐམས་ཅད་ཡང་དག་པར་མ་བསྒྲུབས་པ་ཞེས་བགྱི་བ་འདི་ནི་རྡོ་རྗེའི་གཞི་ལགས་སོ། ||| The statement ‘no phenomenon is truly established’ is a vajra basis.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཇམ་དཔལ་ཅིའི་ཕྱིར་ན་འདི་རྡོ་རྗེའི་གཞི་ཞེས་བྱ། གསོལ་པ། ||| “Mañjuśrī,” asked the Blessed One, “Why is this called a vajra basis?”
བཅོམ་ལྡན་འདས་ཆོས་ཐམས་ཅད་ནི་མི་ཕྱེད་པ་ལགས་ཏེ། ||| “Blessed One, all phenomena are indestructible.
དེའི་སླད་དུ་འདི་རྡོ་རྗེའི་གཞི་ལགས་སོ། ||| It is for this reason that it is called a vajra basis.
།དེ་བཞིན་གཤེགས་པ་བསམ་གྱིས་མི་ཁྱབ་པའི་སླད་དུ་ཆོས་ཐམས་ཅད་བསམ་གྱིས་མི་ཁྱབ་པ་འདི་ནི་རྡོ་རྗེའི་གཞི་ལགས་ཏེ། ||| Since the thus-gone ones are inconceivable, all phenomena are inconceivable. This is a vajra basis.
ཅིའི་སླད་དུ་རྡོ་རྗེའི་གཞི་ཞེས་བགྱི་ཞེ་ན། ||| Why is this referred to as a vajra basis?
ཆོས་ཐམས་ཅད་སེམས་མ་མཆིས་པའི་སླད་དུ་ལགས་སོ། ||| It is because all phenomena are not mind.
།ཆོས་ཐམས་ཅད་བྱང་ཆུབ་ཅེས་བགྱི་བ་འདི་ནི་རྡོ་རྗེའི་གཞི་ལགས་ཏེ། ||| To say that all phenomena are awakening is a vajra basis.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is this?
ཆོས་ཐམས་ཅད་བརྗོད་པ་མ་མཆིས་པའི་སླད་དུ་སྟེ། ||| Because all phenomena are inexpressible.
འདི་ན་མིང་གང་དང་གང་གིས་ཆོས་གང་དང་གང་བརྗོད་པའི་ཆོས་དེ་དང་དེ་ཆོས་དེ་དང་དེ་ལ་མ་མཆིས་ལགས་སོ། ||| Phenomena expressed by means of various names are not actually present in those very phenomena.
།གང་མ་མཆིས་པ་དེ་ནི་སྟོང་པ་ལགས་སོ། ||| Whatever is not present is empty.
།གང་སྟོང་པ་དེ་ནི་མེད་པ་ལགས་སོ། ||| That which is empty does not exist.
།གང་མེད་པ་དེ་ནི་བརྗོད་པའི་རྔོ་མི་ཐོགས་པ་ལགས་སོ། ||| What does not exist cannot be expressed.
།བརྗོད་དུ་མ་མཆིས་པ་དེ་ནི་བྱང་ཆུབ་ལགས་ཏེ། ||| The inexpressible is awakening.
དེའི་སླད་དུ། འདི་ནི་རྡོ་རྗེའི་གཞི་ལགས་སོ། ||| It is for that reason that this is a vajra basis.
།ཆོས་ཐམས་ཅད་ནི་དེ་བཞིན་གཤེགས་པའི་ཡུལ་ལགས་ཏེ། ||| All phenomena are the object of the thus-gone ones.
འདི་ནི་རྡོ་རྗེའི་གཞི་ལགས་སོ། །བཀའ་སྩལ་པ། ||| This is a vajra basis.”
ཅིའི་ཕྱིར་རྡོ་རྗེའི་གཞི་ཞེས་བྱ། གསོལ་པ། ||| “Why is it called a vajra basis?”
བཅོམ་ལྡན་འདས་ཆོས་ཐམས་ཅད་ནི་རང་གི་ཡུལ་ལས་དབེན་པ་ལགས་ཏེ། ||| “Blessed One, all phenomena are devoid of their own objects.
དེའི་སླད་དུ་འདི་རྡོ་རྗེའི་གཞི་ལགས་སོ། །བཀའ་སྩལ་པ། ||| For that reason, this is a vajra basis.”
འཇམ་དཔལ་དགེ་སློང་ཀུན་དགའ་བོ་དེ་ཡང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཀུན་འཛིན་པར་འགྱུར་ན། ||| “Mañjuśrī, the monk Ānanda will also comprehend this Dharma exposition.
འདིར་འོངས་པའི་མཚན་མ་ངས་བྱའམ། གསོལ་པ། ||| Shall I motion him to come here?”
བཅོམ་ལྡན་འདས་འདི་ནི་ཆོས་བརྗོད་པའམ། བསྟན་པ་མཆིས་ལགས་སམ། ||| “Blessed One, is there any Dharma that has been taught or expressed here?
བདག་གིས་ནི་ཡི་གེ་གཅིག་ཀྱང་བསྟན་པར་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ལགས་ན། ||| I myself have not actually witnessed even a single syllable that has been taught.
མང་པོ་ལྟ་ག་ལ་མཐོང་ལགས། ||| That being so, how could I possibly have perceived many of them?”
བཀའ་སྩལ་པ། འཇམ་དཔལ་ལེགས་སོ་ལེགས་སོ། །འཇམ་དཔལ་ཁྱོད་འདི་སྐད་དུ་འཆད་པ་ནི་ཁྱོད་ཀྱི་ཚིག་འདི་ལེགས་པར་སྨྲས་པ་ཡིན་ཏེ། ||| “Excellent, Mañjuśrī, excellent. These words of yours, which you present in this way, are well spoken.
འཇམ་དཔལ་ཁྱོད་ལེགས་སོ། ||| Well done, Mañjuśrī.
།འཇམ་དཔལ་ངས་ནི་ཕྱོགས་བཅུའི་འཇིག་རྟེན་གྱི་ཁམས་དཔག་ཏུ་མེད་གྲངས་མེད་པ་དག་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཆོས་ཉིད་འདི་ཁོ་ན་སྟོན་ཅིང་བཞུགས་པ་དག་མཐོང་ངོ་། ||| In the countless, innumerable world systems of the ten directions, I see thus-gone ones, worthy ones, perfect buddhas abiding and teaching this reality.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་རང་གི་གནས་ཁང་ནས་བྱུང་ནས། ||| At this point Venerable Śāriputra left his dwelling and went to the dwelling of Youthful Mañjuśrī.
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་གནས་ཁང་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་མ་མཐོང་སྟེ། བཅོམ་ལྡན་འདས་ཀྱི་བཞུགས་ཁང་ག་ལ་བ་དེར་སོང་ནས། ||| He did not see Mañjuśrī there, and so he went to the Blessed One’s dwelling.
བཞུགས་ཁང་གི་ཕྱི་སྒོ་ན་འགྲེང་བ་དང་། གསུང་བའི་གསུང་ཐོས་སོ། ||| He stood outside the door and heard the teachings being given.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །འཇམ་དཔལ་དགེ་སློང་ཤཱ་རིའི་བུ་འདི་གནས་ཁང་གི་ཕྱི་སྒོ་ན་འགྲེང་སྟེ། ||| The Blessed One said to Youthful Mañjuśrī, “Mañjuśrī, the monk Śāriputra is standing outside the door of this dwelling.
ཆོས་ཉན་པར་འདོད་ན་འཇམ་དཔལ་ཤཱ་རིའི་བུ་ཆོས་ཉན་པར་ནང་དུ་འོང་བར་གྱིས་ཤིག །གསོལ་པ། ||| As he wishes to listen to the Dharma, Mañjuśrī, bring Śāriputra inside so he can listen.”
མཐའ་འདི་ནི་ཡང་དག་པའི་མཐའ་ལགས་ན། གང་གི་སླད་རོལ་དང་། ནང་དང་གཉིས་ཀ་མ་མཆིས་པར་གདའ་ལགས་སམ། ||| “If this limit is the limit of reality, is it present outside, inside, or neither?”
བཀའ་སྩལ་པ། འཇམ་དཔལ་དེ་ནི་མ་ཡིན་ནོ། །གསོལ་པ། ||| “Mañjuśrī, it is none of these.”
བཅོམ་ལྡན་འདས་དེ་ལྟ་ལགས་པས་ཡང་དག་པའི་མཐའ་ནི་མཐའ་མ་མཆིས་པ་ལགས་ཏེ། ||| “Therefore, Blessed One, the limit of reality is not a limit.
དེ་ལྟ་བུའི་མཐའ་གང་ལགས་པ་དེ་ལ་ནི་ཚུར་མཆི་བའམ། ཕར་མཆི་བ་མ་མཆིས་ཏེ། ||| Regarding a limit such as this, one does not come here or go there.
བཅོམ་ལྡན་འདས་དེ་ལྟ་བུའི་མཐའ་ཅན་གྱི་བཙུན་པ་ཤཱ་རིའི་བུ་དེ་ནི་ཚུར་མཆི་བའམ། ནང་དུ་མཆི་བའི་མི་རིགས་ལགས་སོ། །བཀའ་སྩལ་པ། ||| Thus, Blessed One, it is not appropriate for the honorable Śāriputra, who is limited in this way, to come here or come inside.”
འཇམ་དཔལ་གལ་ཏེ་ང་གནས་ཁང་གི་ནང་ན་ཉན་ཐོས་དག་དང་ལྷན་ཅིག་ཏུ་གཏམ་ཟེར་ཞིང་འདུག་ལ། ཁྱོད་ནི་ཕྱི་རོལ་ན་འདུག་སྟེ། ནང་དུ་འོང་དུ་ཡང་མི་དབང་ན་ཅི་ཁྱོད་སྡུག་བསྔལ་བར་མི་འགྱུར་རམ། གསོལ་པ། ||| “Mañjuśrī, if I were in this dwelling speaking with the hearers while you were outside, powerless to enter, would you not suffer?”
བཅོམ་ལྡན་འདས་དེ་ནི་མ་ལགས་ཏེ། ||| “Blessed One, it is not so.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why not?
ཆོས་ཐམས་ཅད་ནི་ཆོས་ཀྱི་དབྱིངས་སུ་ཡང་དག་པར་འདུ་བའི་སླད་དུ་སྟེ། ||| Because all phenomena are included within the realm of phenomena.
འདི་ནི་དེ་བཞིན་གཤེགས་པ་ཞེས་བརྗོད་པ་གང་ལགས་པ་འདི་ཡང་ཆོས་ཀྱི་དབྱིངས་ལགས་ཏེ། ||| In this regard, the expression thus-gone one means the realm of phenomena.
མཚན་ཉིད་གཅིག་པའི་སླད་དུ་དེ་བཞིན་གཤེགས་པ་ཡང་གཞན་ལ་ཆོས་ཀྱི་དབྱིངས་ཀྱང་གཞན་མ་ལགས་སོ། ||| Since they are of a single characteristic, the Thus-Gone One and the realm of phenomena are not any different.
།ཆོས་སམ་ཆོས་བསྟན་པ་ཞེས་བགྱི་བའམ། ཆོས་ཉན་པ་ཞེས་བགྱི་བའི་ཆོས་འདི་དག་ཀྱང་གཉིས་སུ་མ་མཆིས་པའི་སླད་དུ་ཐ་དད་པ་མ་མཆིས་ཏེ། ||| Phenomena such as ‘Dharma,’ ‘Dharma teachings,’ or ‘listening to the Dharma’ are nondual and thus are not distinct.
དེའི་སླད་དུ་ཡང་ཆོས་ཀྱི་དབྱིངས་ལས་ཐ་དད་པ་མ་ལགས་སོ། ||| And it is for that reason, too, that they are not distinct from the realm of phenomena.
།འཇམ་དཔལ་ཞེས་བགྱི་བའི་ཡི་གེ་གང་ལགས་པ་འདི་དག་ཀྱང་ཆོས་ཀྱི་དབྱིངས་སུ་གཏོགས་ཏེ། ||| The syllables that make up the name Mañjuśrī also belong to the realm of phenomena.
བཅོམ་ལྡན་འདས་རྣམ་གྲངས་དེས་ན་བདག་ཆུང་ཟད་ཀྱང་གདུང་བ་མ་མཆིས་ལགས་སོ། ||| Thus, Blessed One, for this reason I would not be distressed in the slightest.
།བཅོམ་ལྡན་འདས་བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དུ་ཆོས་སྟོན་དུ་ལགས་ཀྱང་བདག་དེར་མཆི་ཡང་མི་མཆི། དེར་མཆིར་དགའ་བའམ། ཡོངས་སུ་གདུང་བ་ཡང་མི་སྐྱེད་ལགས་སོ། ||| Even if the Blessed One were to teach the Dharma for eons equal in number to the grains of sand in the River Ganges, whether I were there or not, I would experience neither joy at being there nor anguish otherwise.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why not?
བཅོམ་ལྡན་འདས་གཉིས་ཤིག་མཆིས་ན་ནི་དགའ་བའམ། ||| Blessed One, if duality existed then I would experience joy or anguish.
ཡོངས་སུ་གདུང་བ་སྐྱེད་པར་འགྱུར་ན་ཆོས་ཀྱི་དབྱིངས་དེ་ནི་གཉིས་སུ་མ་མཆིས་ཏེ། དེའི་སླད་དུ་བདག་དགའ་བའམ། ཡོངས་སུ་གདུང་བར་མི་འགྱུར་ལགས་སོ། ||| However, the realm of phenomena is nondual, and it is for that reason that I would not become joyful or anguished.
།བཅོམ་ལྡན་འདས་ཆོས་སྟོན་པ་མཛད་པའི་ཆོས་བསྟན་པ་དེས་ཀྱང་ཆོས་གང་ཡང་སོགས་པའམ། འབྲི་བའམ། འཕེལ་བའམ། འགྲིབ་པར་མི་བགྱིད་དེ། ||| Blessed One, the teachings by which you share the Dharma do not cause any phenomena to accumulate, diminish, increase, or decrease.
འདི་ལྟར་ཆོས་བསྟན་པ་དེ་ནི་ཆོས་གང་ཡང་དམིགས་པས་ཉེ་བར་གནས་པ་མ་ལགས་ཏེ། ||| Such a teaching is not founded on apprehending any phenomenon whatsoever.
