༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
དེ་འདོད་ན་སེམས་ཅན་ཐམས་ཅད་ཀྱི་གཟུགས་སངས་རྒྱས་ཀྱི་གཟུགས་སུ་མོས་ན་ཡང་སེམས་ཅན་ཐམས་ཅད་ཀྱི་གཟུགས་སངས་རྒྱས་ཀྱི་གཟུགས་སུ་འགྱུར་རོ། ། ||| If desired, if bodhisattvas have the conviction that the bodies of all beings are buddha bodies, then the bodies of all beings will become buddha bodies.
སངས་རྒྱས་ཀྱི་གཟུགས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་གཟུགས་སུ་མོས་ན་ཡང་སངས་རྒྱས་ཀྱི་གཟུགས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་གཟུགས་སུ་འགྱུར་རོ། ། ||| If they have the conviction that the bodies of buddhas are the bodies of beings, then the bodies of the buddhas will become the bodies of beings.
འཇིག་པའི་བསྐལ་པ་འཆགས་པའི་བསྐལ་པར་མོས་ན་ཡང་འཇིག་པའི་བསྐལ་པ་འཆགས་པའི་བསྐལ་པར་འགྱུར་ཏེ། ||| If they have the conviction that the eon of dissolution is the eon of formation, then the eon of dissolution will become the eon of formation.
སེམས་ཅན་དེ་དག་གིས་ཀྱང་འཆགས་པའི་བསྐལ་པར་ཤེས་སོ། ། ||| Beings will understand it to be the eon of formation.
འཆགས་པའི་བསྐལ་པ་འཇིག་པའི་བསྐལ་པར་མོས་ན་ཡང་འཆགས་པའི་བསྐལ་པ་འཇིག་པའི་བསྐལ་པར་འགྱུར་ཏེ། ||| If bodhisattvas have the conviction that the eon of formation is the eon of dissolution, then the eon of formation will become the eon of dissolution.
སེམས་ཅན་དེ་དག་གིས་ཀྱང་འཇིག་པའི་བསྐལ་པར་ཤེས་སོ། ། ||| Beings will understand it to be the eon of dissolution.
འཇིག་པ་དང་འཆགས་པ་ཡང་གཞན་དུ་གྱུར་པ་མ་ཡིན་ཏེ། ||| However, neither the eon of dissolution nor the eon of formation transforms into the other, it is only the conviction that changes.
མོས་པ་དེ་ལྟར་ཡང་འགྱུར་རོ། །དེ་བཞིན་དུ་བསྐལ་པ་གཅིག་སྔ་དྲོ་ཙམ་དུ་མོས་ན་ཡང་དེ་ན་སེམས་ཅན་དེ་དག་གིས་བསྐལ་པ་གཅིག་སྔ་དྲོ་ཙམ་དུ་ཤེས་སོ། ། ||| Similarly, if they have the conviction that a single eon is only equivalent to a morning, beings will understand a single eon to be equivalent to a morning.
སྔ་དྲོ་བསྐལ་པ་ཙམ་དུ་མོས་ན་ཡང་དེ་དེ་བཞིན་དུ་འགྱུར་ཏེ། ||| If they have the conviction that a morning is equivalent to an eon, that will be the case.
དེ་ན་སེམས་ཅན་དེ་དག་གིས་དེ་བཞིན་དུ་ཤེས་ཏེ། ||| That is what beings will understand.
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་མོས་པ་ལས་བྱུང་བའི་རྫུ་འཕྲུལ་ཞེས་བྱའོ། ། ||| These are what are called miraculous emanations born of a bodhisattva’s conviction.
དེ་ལ་མངོན་དུ་གྱུར་པའི་རྫུ་འཕྲུལ་ནི་གང་བྱང་ཆུབ་སེམས་དཔའི་བསམ་གྱིས་མི་ཁྱབ་པའི་བསོད་ནམས་དང་ཡེ་ཤེས་ཀྱི་དབང་དང་ལྷུན་གྱིས་གྲུབ་པས་བསྒྲིམ་པ་མེད་པར་ཕུན་སུམ་ཚོགས་པ་ཐམས་ཅད་མངོན་དུ་འགྱུར་ཞིང་འགྲུབ་པ་སྟེ། ||| “An actualized miraculous emanation is one that effortlessly accomplishes and makes manifest all manner of auspiciousness spontaneously; it occurs through the force of bodhisattvas’ inconceivable merit and wisdom.
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་མངོན་དུ་གྱུར་པའི་རྫུ་འཕྲུལ་ཞེས་བྱའོ། ། ||| This is called a bodhisattva’s actualized miraculous emanation.
དེ་ལ་བྱང་ཆུབ་སེམས་དཔའི་མངོན་པར་འདུ་བྱེད་པ་མེད་པ་ལས་བྱུང་བའི་རྫུ་འཕྲུལ་ནི་གང་བྱང་ཆུབ་སེམས་དཔའ་མི་སེམས་མི་འཇུག་ཅིང་ལྷུན་གྱིས་གྲུབ་པས་སེམས་ཅན་དེ་དག་གི་མོས་པ་ཇི་ལྟ་བ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་དེ་གཟུགས་དང་སྤྱོད་ལམ་ཐ་དད་པར་མཐོང་ཞིང་ཤེས་ཏེ། ||| “A bodhisattva’s miraculous emanations that appear without being contrived are those that a bodhisattva neither intends nor deliberately performs, but which occur spontaneously. That bodhisattva is seen and known in different forms and with different behaviors according to the beliefs of beings.
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་མངོན་པར་འདུ་བྱེད་པ་མེད་པ་ལས་བྱུང་བའི་རྫུ་འཕྲུལ་ཞེས་བྱའོ། ། ||| This is known as a bodhisattva’s miraculous emanations that appear without being contrived.
དེ་འཇིག་རྟེན་གྱི་ཁམས་ཇི་སྙེད་ན་སེམས་ཅན་རྣམས་སངས་རྒྱས་འབྱུང་བས་འདུལ་བའི་འཇིག་རྟེན་གྱི་ཁམས་དེ་སྙེད་དུ་སངས་རྒྱས་འབྱུང་བ་སྟོན་ཏེ། ||| “Bodhisattvas display the coming of a buddha in those world systems where beings would be tamed by the coming of a buddha.
དགའ་ལྡན་གྱི་གནས་ནས་འཆི་འཕོ་བ་དང་། མངལ་དུ་འཇུག་པ་དང་། བཙས་པ་དང་། མངོན་པར་འབྱུང་བ་དང་། དཀའ་བ་སྤྱོད་པ་དང་། བྱང་ཆུབ་ཀྱི་སྙིང་པོར་འགྲོ་བ་དང་། བདུད་འདུལ་བ་དང་། བྱང་ཆུབ་རྣམ་པར་འཚང་རྒྱ་བ་དང་། ཆོས་ཀྱི་འཁོར་ལོ་རབ་ཏུ་བསྐོར་བ་དང་། ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་སྟོན་པ་རྣམས་ཀྱིས་སེམས་ཅན་དག་ཡོངས་སུ་སྨིན་པར་བྱེད་དོ། ། ||| They ripen beings by displaying their passing away in Tuṣita, entering the womb, being born, renouncing their home, practicing austerities, arriving at the seat of awakening, taming Māra, awakening, turning the wheel of Dharma, and passing away in the great final nirvāṇa.
དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་རྫུ་འཕྲུལ་གྱི་ཡུལ་ཚད་མེད་པ་ཡིན་ཏེ། ||| The range of a bodhisattva’s emanations is thus immeasurable.
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་རྫུ་འཕྲུལ་བྱ་བ་ཤེས་པ་ཞེས་བྱའོ། ། ||| This is known as a bodhisattva’s knowledge of the mode of miraculous emanations.
དེ་ལ་བྱང་ཆུབ་སེམས་དཔའི་ཟག་པ་ཟད་པ་ཤེས་པ་གང་ཞེ་ན། འདི་དག་ནི་ཟག་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། འདོད་པའི་ཟག་པ་དང་། སྲིད་པའི་ཟག་པ་དང་། མ་རིག་པའི་ཟག་པ་དང་། ལྟ་བའི་ཟག་པ་སྟེ། ||| “What is a bodhisattva’s knowledge of the exhaustion of contaminants? There are four contaminants: desire, existence, ignorance, and view.
བྱང་ཆུབ་སེམས་དཔའ་ནི་ཟག་པ་དེ་དག་ཡོངས་སུ་སྤངས་པ་ཡིན་མ་འོངས་པ་ན་མི་སྐྱེ་བའི་ཆོས་ཅན་དུ་འགྱུར་ཞིང་ཕྱིར་མི་སྐྱེ་མི་འགག་སྟེ། ||| A bodhisattva is someone who has abandoned these contaminants. They will no longer be required to arise, and thereafter will neither arise nor cease.
འདུལ་བ་ཇི་ལྟ་བ་བཞིན་དུ་སེམས་ཅན་རྣམས་ལ་ཐམས་ཅད་དུ་སྐྱེ་བ་ཡང་སྟོན་པ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་ལམ་ལྷུན་གྱིས་གྲུབ་པས་རྒྱུན་མི་འཆད་པར་འཇུག་པ་ཞེས་བྱ་སྟེ། ||| They will, nonetheless, arise in any situation and display themselves as needed to tame beings. This is a bodhisattva’s spontaneous and unceasing engagement.
འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའི་མངོན་པར་ཤེས་པ་དྲུག་གོ། ། ||| “These are the six higher cognitions of a bodhisattva.
དེ་ལ་བྱང་ཆུབ་སེམས་དཔའི་རིག་པ་གསུམ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What are a bodhisattva’s three kinds of knowledge?
ལྷའི་མིག་གི་རིག་པ་དང་སྔོན་གྱི་གནས་རྗེས་སུ་དྲན་པའི་རིག་པ་དང་། ཟག་པ་ཟད་པའི་རིག་པ་སྟེ། ||| The knowledge of divine sight, of recollecting previous states, and of the exhaustion of the contaminants.
རིག་པ་ནི་ཤེས་པ་ཞེས་བྱའོ། ། ||| ‘Knowledge’ is a type of knowing.
དེ་ལ་ལྷའི་མིག་གི་ཤེས་པ་ནི་ལྷའི་མིག་གི་རིག་པ་ཡིན་ནོ། ། ||| “The knowledge of divine sight is divine sight as knowing.
ལྷའི་མིག་གི་རིག་པ་གང་ཡིན་པ་དེ་ནི་རྣམ་པར་དག་པའི་ལྷའི་མཆོག་རྣམས་ཀྱི་ཡིན་ཏེ། ||| The knowledge of divine sight belongs to the most supreme of the pure deities.
བྱང་ཆུབ་སེམས་དཔའ་ནི་ལྷའི་མིག་གི་རིག་པ་དེ་དང་ལྡན་པ་ཡིན་ནོ། ། ||| The bodhisattva is the one who possesses this knowledge of divine sight.
རྣམ་པར་དག་པའི་ལྷ་ནི་ཉན་ཐོས་དང་རང་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཏེ། དེ་དག་ནི་རྣམ་པར་དག་པའི་ལྷའོ། ། ||| Śrāvakas, pratyekabuddhas, and bodhisattvas are pure deities.
རྣམ་པར་དག་པའི་ལྷ་དེ་དག་གི་མཆོག་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཏེ། ||| They are pure deities, while the most exalted of those pure deities are the thus-gone, worthy, completely perfect buddhas.
རྣམ་པར་དག་པའི་ལྷའི་མཆོག་རྣམས་ཞེས་བྱའོ། ། ||| They are called the most supreme of the pure deities.
བྱང་ཆུབ་སེམས་དཔས་ནི་རྣམ་པར་དག་པའི་ལྷའི་མཆོག་རྣམས་ཀྱི་ལྷའི་མིག་གི་རིག་པ་གང་ཡིན་པ་དེ་འཐོབ་སྟེ། ||| Bodhisattvas acquire the knowledge of the divine sight of the most supreme of the pure deities, unlike śrāvakas and pratyekabuddhas.
ཉན་ཐོས་དང་རང་སངས་རྒྱས་རྣམས་ཀྱི་ལྟར་མ་ཡིན་པ་དེ་ནི་རིག་པ་དང་པོའོ། ། ||| This is the first of the knowledges. “Next is the knowledge of recalling previous states.
དེ་ལ་སྔོན་གྱི་གནས་རྗེས་སུ་དྲན་པའི་རིག་པ་ནི་དེ་བཞིན་གཤེགས་པ་ལ་སྔོན་གྱི་མཐའ་མི་མཁྱེན་པའམ། མི་རིག་པའམ། མི་རྟོགས་པ་གང་ཡང་མི་མངའོ། ། ||| Thus-gone-ones are not unknowing about, not ignorant of, and not unaware of their previous existences.
བྱང་ཆུབ་སེམས་དཔའ་ནི་རིག་པ་དེ་ཐོབ་སྟེ། ཉན་ཐོས་དང་རང་སངས་རྒྱས་རྣམས་ཀྱི་ལྟར་མ་ཡིན་པ་འདི་ནི་རིག་པ་གཉིས་པའོ། ། ||| Bodhisattvas acquire this knowledge, unlike śrāvakas and pratyekabuddhas. This is the second of the knowledges.
དེ་ལ་ཟག་པ་ཟད་པའི་རིག་པ་གང་ཞེ་ན། ||| “What is the knowledge of the exhaustion of the contaminants?
ཟག་པ་བཞི་སྟེ། བཞི་གང་ཞེ་ན། འདོད་པའི་ཟག་པ་དང་། སྲིད་པའི་ཟག་པ་དང་། མ་རིག་པའི་ཟག་པ་དང་། ||| There are four contaminants: desire, existence, ignorance, and view.
ལྟ་བའི་ཟག་པ་སྟེ། ཟག་པ་དེ་དག་བྱང་ཆུབ་སེམས་དཔས་བག་ཆགས་དང་བཅས་པར་སྤོང་བའི་ལམ་གྱིས་མངོན་པར་རྟོགས་ཏེ། ཉན་ཐོས་དང་རང་སངས་རྒྱས་རྣམས་ཀྱི་ལྟར་ཉོན་མོངས་པའི་སྒྲིབ་པ་སྤོང་བའི་ལམ་གྱིས་ནི་མ་ཡིན་ནོ། ། ||| A bodhisattva gains direct realization by training in the abandonment of these contaminants along with their habitual patterns, not by training in the abandonment of the obscuration of the afflictive emotions as śrāvakas and pratyekabuddhas do.
དེ་ཟག་པ་ཟད་ནས་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་བའི་ཕྱིར་སྐྱེ་བའི་གནས་ཐམས་ཅད་དུ་སྐྱེ་བ་ཡོངས་སུ་འཛིན་པ་ཐོགས་པ་མེད་པ་ཡིན་ཏེ། ||| Once these contaminants have been exhausted, bodhisattvas are unobstructed, and continue to take birth in any of the birth states in order to ripen beings.
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་ཟག་པ་ཟད་པའི་རིག་པ་ཞེས་བྱའོ། ། ||| This is known as a bodhisattva’s ‘knowledge of the exhaustion of the contaminants.’
འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའི་རིག་པ་གསུམ་མོ། ། ||| “These are the three kinds of knowledge of a bodhisattva.
དེ་ལ་རྣམ་པར་ཐར་པ་བརྒྱད་གང་ཞེ་ན། ||| “What are the eight liberations?
གཟུགས་ཅན་གཟུགས་རྣམས་ལ་ལྟ་བ་འདི་ནི་རྣམ་པར་ཐར་པ་དང་པོའོ། ། ||| The first liberation is observing form while in the form realm.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་རྣམས་ལ་ལྟ་བ་འདི་ནི་རྣམ་པར་ཐར་པ་གཉིས་པའོ། ། ||| The second liberation is observing forms externally while perceiving the formless internally.
སྡུག་པར་མོས་པ་འདི་ནི་རྣམ་པར་ཐར་པ་གསུམ་པའོ། ། ||| The third liberation is interest in what is attractive.
དེ་རྣམ་པ་ཐམས་ཅད་དུ་གཟུགས་ཀྱི་འདུ་ཤེས་རྣམས་ལས་ཡང་དག་པར་འདས་ཏེ་ཐོགས་པའི་འདུ་ཤེས་རྣམས་ནུབ་པར་གྱུར་ཅིང་། སྣ་ཚོགས་ཀྱི་འདུ་ཤེས་རྣམས་ཡིད་ལ་མི་བྱེད་པས་ནམ་མཁའ་མཐའ་ཡས་སོ་སྙམ་ནས་ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ཏེ་གནས་པ་འདི་ནི་རྣམ་པར་ཐར་པ་བཞི་པའོ། ། ||| The fourth liberation is transcending the perceptions of form in all aspects, letting inhibiting perceptions end, and then perfecting and remaining within the scope of infinite space by ignoring various perceptions upon thinking, ‘This is infinite space.’
དེ་རྣམ་པ་ཐམས་ཅད་དུ་ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ་རྣམ་པར་ཤེས་པ་མཐའ་ཡས་སོ་སྙམ་ནས་རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ཏེ་གནས་པ་འདི་ནི་རྣམ་པར་ཐར་པ་ལྔ་པའོ། ། ||| The fifth liberation is transcending the scope of infinite space in all aspects, and then perfecting and remaining within the scope of infinite consciousness upon thinking, ‘This is infinite consciousness.’
དེ་རྣམ་པ་ཐམས་ཅད་དུ་རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ་ཅི་ཡང་མེད་དོ་སྙམ་ནས་ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ཏེ་གནས་པ་འདི་ནི་རྣམ་པར་ཐར་པ་དྲུག་པའོ། ། ||| The sixth liberation is transcending the scope of infinite consciousness in all aspects, and then perfecting and remaining within the scope of nothingness after thinking, ‘There is nothing at all.’
དེ་རྣམ་པ་ཐམས་ཅད་དུ་ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ་འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ནས་གནས་པ་འདི་ནི་རྣམ་པར་ཐར་པ་བདུན་པའོ། ། ||| The seventh liberation is transcending the scope of nothingness in all aspects, and then perfecting and remaining within the scope of neither perception nor nonperception.
དེ་རྣམ་པ་ཐམས་ཅད་དུ་འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ་འདུ་ཤེས་དང་ཚོར་བ་འགོག་པ་རྫོགས་པར་བྱས་ནས་གནས་པ་འདི་ནི་རྣམ་པར་ཐར་པ་བརྒྱད་པའོ། ། ||| The eighth liberation is transcending the sphere of neither perception nor nonperception, and then perfecting and remaining within the state of the cessation of perception and sensation.
དེ་ལ་ཇི་ལྟར་གཟུགས་ཅན་གཟུགས་རྣམས་ལ་བལྟ་ཞེ་ན། ||| “What does it mean to observe form while in the form realm?
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དང་སྟོང་པ་དང་གཡོ་བ་མེད་པར་བལྟ་བ་སྟེ། ||| It means to see form as dependently arisen, empty, and unmoving.
དེ་ལྟར་ལྟ་བས་རྣམ་པར་གྲོལ་ཏེ། ||| Observing this, one is liberated.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱའོ། ། ||| This is why it is called a liberation.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་རྣམས་ལ་བལྟ་བ་ནི་སྟོང་པ་ཉིད་དང་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དང་། གཡོ་བ་མེད་པ་དེ་ལྟར་བལྟ་བས་རྣམ་པར་གྲོལ་ཏེ། ||| “Observing forms externally while perceiving the formless internally means to see the formless as dependently arisen, empty, and unmoving, and thereby being liberated.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱའོ། ། ||| This is why it is called a liberation.
སྡུག་པར་མོས་པ་ཡིན་ཏེ། ||| “Interest in what is attractive can be understood as follows.
སྡུག་པ་ཞེས་བྱ་བ་ནི་སྟོང་པའོ། །མི་སྡུག་པ་ནི་ལྟ་བར་གྱུར་པའོ། ། ||| Attractive refers to that which is empty; it is unattractive to hold a view.
སྡུག་པར་མོས་པས་རྣམ་པར་གྲོལ་ཏེ། ||| By taking an interest in what is attractive, one is liberated.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱའོ། ། ||| That is why it is called a liberation.
དེ་རྣམ་པ་ཐམས་ཅད་དུ་གཟུགས་ཀྱི་འདུ་ཤེས་རྣམས་ལས་ཡང་དག་པར་འདས་ཏེ་ཐོགས་པའི་འདུ་ཤེས་རྣམས་ནུབ་པར་གྱུར་ཅིང་སྣ་ཚོགས་ཀྱི་འདུ་ཤེས་རྣམས་ཡིད་ལ་མི་བྱེད་པས་ནམ་མཁའ་མཐའ་ཡས་སོ་སྙམ་ནས་ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ཏེ་གནས་སོ་ཞེས་བྱ་བ་ལ་ནམ་མཁའ་མཐའ་ཡས་སོ་ཞེས་བྱ་བའི་ནམ་མཁའ་ནི་སྟོང་པའོ། །དེ་ལྟར་མཐོང་བས་རྣམ་པར་གྲོལ་ཏེ། ||| “Transcending the perceptions of form in all aspects, letting inhibiting perceptions end, and then perfecting and remaining within the scope of infinite space by ignoring various perceptions upon thinking, ‘This is infinite space,’ refers to the fact that space is empty, and observing this results in liberation.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱའོ། ། ||| That is why it is called a liberation.
རྣམ་པ་ཐམས་ཅད་དུ་ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ་རྣམ་པར་ཤེས་པ་མཐའ་ཡས་སོ་སྙམ་ནས་རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ཏེ་གནས་ཞེས་བྱ་བ་ལ་རྣམ་ཤེས་མཐའ་ཡས་ཞེས་བྱ་བའི་རྣམ་པར་ཤེས་པ་དེ་ནི་ཐོག་མ་མེད་པ་ཅན་དུ་བཤད་དེ། ||| “Transcending the scope of infinite space in all aspects, and then perfecting and remaining within the scope of infinite consciousness upon thinking, ‘This is infinite consciousness,’ can be understood as follows. Infinite consciousness refers to a consciousness described as ‘unobstructed.’
གང་ཐོག་མ་མེད་པ་ཅན་དེ་ནི་སྟོང་པའོ། ། ||| That which is unobstructed is empty.
དེ་ལྟར་མཐོང་བས་རྣམ་པར་གྲོལ་ཏེ། ||| Observing this, one is liberated.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱའོ། ། ||| That is why it is called a liberation.
དེ་རྣམ་པ་ཐམས་ཅད་དུ་རྣམ་ཤེས་མཐའ་ཡས་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ་ཅི་ཡང་མེད་དོ་སྙམ་ནས་ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ཏེ་གནས་ཞེས་བྱ་བ་ལ་ཅི་ཡང་ཞེས་བྱ་བ་ནི་འདོད་ཆགས་དང་ཞེ་སྡང་དང་གཏི་མུག་རྣམས་སོ། ། ||| “Transcending the scope of infinite consciousness in all aspects, and then perfecting and remaining within the scope of nothingness upon thinking, ‘There is nothing at all,’ can be understood as follows. The phrase at all refers to desire, anger, and dullness.
ཅི་ཡང་མེད་པ་ཞེས་བྱ་བ་ནི་དེ་དག་མེད་པའོ། ། ||| Nothing means that they do not exist.
དེ་ལྟར་མཐོང་བས་རྣམ་པར་འགྲོལ་ཏེ། ||| Observing this, one is liberated.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱའོ། ། ||| That is why it is called a liberation.
དེ་རྣམ་པ་ཐམས་ཅད་དུ་ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ་འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་རྫོགས་པར་བྱས་ནས་གནས་ཞེས་བྱ་བ་ལ་འདུ་ཤེས་མེད་ཅེས་བྱ་བ་ནི་སྟོང་པའི་ཕྱིར་རོ། ། ||| “Transcending the scope of nothingness in all aspects, and then perfecting and remaining within the scope of neither perception nor nonperception can be understood as follows.
འདུ་ཤེས་མེད་མིན་ཞེས་བྱ་བ་ནི་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་ཕྱིར་རོ། ། ||| Neither perception is said because perception is empty; nor nonperception is said because it arises dependently.
དེ་ལྟར་མཐོང་བས་རྣམ་པར་འགྲོལ་ཏེ། ||| Observing this, one is liberated.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱའོ། ། ||| That is why it is called a liberation.
དེ་རྣམ་པ་ཐམས་ཅད་དུ་འདུ་ཤེས་མེད་འདུ་ཤེས་མེད་མིན་སྐྱེ་མཆེད་ལས་ཡང་དག་པར་འདས་ཏེ། འདུ་ཤེས་དང་ཚོར་བ་འགོག་པ་རྫོགས་པར་བྱས་ནས་གནས་ཞེས་བྱ་བ་ནི་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| “Transcending the sphere of neither perception nor nonperception, and then perfecting and remaining within the state of the cessation of perception and sensation can be understood as follows.
འདུ་ཤེས་ནི་སྨིག་རྒྱུ་ལྟ་བུ། ཚོར་བ་ནི་ཆུའི་ཆུ་བུར་ལྟ་བུ་སྟེ། ||| One thinks, ‘Perceptions are like illusions, and sensations are like bubbles on water.
འདུ་ཤེས་ཉིད་ཚོར་བ་ཚོར་བ་ཉིད་འདུ་ཤེས་ཡིན་པས་འདི་ལ་ཤེས་པ་པོ་མེད། ||| A perception is itself a sensation and a sensation is itself a perception. Therefore, there is no one to perceive this, and no one to sense it.’
ཚོར་བ་པོ་མེད་དོ་སྙམ་ནས་དེ་ལྟར་མཐོང་བས་རྣམ་པར་འགྲོལ་ཏེ། ||| Observing this, one is liberated.
དེའི་ཕྱིར་རྣམ་པར་ཐར་པ་ཞེས་བྱ་སྟེ། ||| That is why it is called a liberation.
འདི་དག་ནི་རྣམ་པར་ཐར་པ་བརྒྱད་དོ། ། ||| “These are the eight liberations.
དེ་ལ་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་བརྒྱད་གང་ཞེ་ན། ||| “What then are the eight domains of mastery?
གཟུགས་ཅན་གཟུགས་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| (1) An embodied person looks at forms and understands after mastering them, sees after mastering them.
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་དང་པོའོ། ། ||| This is the first domain of mastery.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་ཁ་དོག་བཟང་པོ་དང་ཁ་དོག་ངན་པ་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| (2) One who perceives formlessness internally looks at external forms with attractive colors and unattractive colors and understands after mastering them, sees after mastering them.
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་གཉིས་པའོ། ། ||| This is the second domain of mastery.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་ཚད་མེད་པ་དང་ཆེན་པོར་གྱུར་པ་ཁ་དོག་བཟང་པོ་དང་། ཁ་དོག་ངན་པ་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| (3) One who perceives formlessness internally looks at external forms as unquantifiable, as large, as being of an attractive or unattractive color, and understands after mastering them, sees after mastering them.
ཟིལ་གྱིས་མནན་ནས་མཐོང་བ་འདི་ནི་ཟིལ་གྱིས་གནོན་པའི་སྐྱེ་མཆེད་གསུམ་པའོ། ། ||| This is the third domain of mastery.
ནང་གཟུགས་མེད་པར་འདུ་ཤེས་པས་ཕྱི་རོལ་གྱི་གཟུགས་ཆུང་ངུ་། ཁ་དོག་བཟང་པོ་དང་ཁ་དོག་ངན་པ་རྣམས་ལ་བལྟ་ཞིང་དེ་དག་ཟིལ་གྱིས་མནན་ནས་ཤེས། ||| (4) One who perceives formlessness internally looks at diminutive forms with attractive colors and unattractive colors and understands after mastering them, sees after mastering them.
