༄༅། །དགེ་བ་དང་མི་དགེ་བའི་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་བསྟན་པའི་མདོ། ||| Teaching the Ripening of Virtuous and Nonvirtuous Actions
།ཆོས་ཉན་པའི་ཚེ་ལོང་གཏམ་ཟེར་ན་བྱེའུ་ལྷན་དཀར་དུ་སྐྱེའོ། ||| Those who prattle on while listening to the Dharma will be reborn as chirping birds.
།དགེ་སློང་ཁྲིམས་དག་པ་ལ་མི་གཙང་བར་བསྐྱེད་པ་ནི་ལྕགས་ཀྱི་སེམས་ཅན་དམྱལ་བར་སྐྱེའོ། །རལ་གྲི་འཁོར་ལོ་ཁྲི་ཕྲག་བརྒྱ་སྙེད་དུ་ཆར་པ་ལུས་ཀྱི་སྟེང་དུ་འབེབས་ཤིང་དེའི་ལུས་གཏུབས་པར་འགྱུར་རོ། ||| Those who cause monks who observe stainless discipline to become impure will be reborn in the hell of iron creatures; there, they will be shredded as rains of circular blades shower down upon their bodies by the hundreds and thousands.”
།དེ་ནས་དགའ་བོས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཀྱིས་ཇི་ལྟར་གསུངས་པ་དེ་ལྟར་དགེ་འདུན་གྱི་ནོར་ལ་སྤྱད་པ་སྡིག་ལྕི་བར་གསུངས་ཏེ། གལ་ཏེ་དེ་ལྟར་དགེ་བའི་ལས་ལ་ཕྱོགས་པ་དང་། སྦྱིན་བདག་ལ་སོགས་པ་ཇི་ལྟར་གཙུག་ལག་ཁང་གི་ནང་དུ་བསྟི་སྟང་བགྱིད་པ་དང་། ཕྱག་འཚལ་བར་བགྱིད་པ་ལགས། ||| Nanda then asked the Blessed One, “Since indeed, just as the Blessed One has taught, availing oneself of the Saṅgha’s wealth is a heavy misdeed, how should those who focus on virtue—benefactors and the like— then offer their respects and pay homage inside temples?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ལྷ་ཁང་དུ་འགྲོ་བ་ལ་སེམས་རྣམ་པ་གཉིས་ཡོད་དེ། དགེ་བའི་སེམས་དང་། མི་དགེ་བའི་སེམས་སོ། ||| The Blessed One responded, “Those who go to temples may adopt two mindsets: virtuous and nonvirtuous mindsets.
།དེ་ལ་ཇི་ལྟར་ན་དགེ་བའི་སེམས་ཞེས་བྱ་ཞེ་ན། ||| What is meant by ‘virtuous mindset’?
ལྷ་ཁང་དུ་ཕྱིན་པའི་ཚེ་སངས་རྒྱས་མཐོང་ན་ཕྱག་འཚལ་ཞིང་། དགེ་འདུན་ལ་བཀུར་སྟི་བྱེད་ཅིང་། མདོ་སྡེ་འདྲིའམ། འདོན་ནམ། ཁྲིམས་ནོད་དམ། སྡིག་པ་བཤགས་པའམ། དཀོན་མཆོག་གསུམ་གྱི་སྤྱི་ནོར་ལ་སོགས་པ་གཏོང་ངམ། སྲོག་ལ་ཡང་མི་ཆགས་པར་དམ་པའི་ཆོས་འཛིན་པ་ནི་གོམ་པ་གཅིག་བོར་བས་ཀྱང་ལྷར་སྐྱེ་བར་འགྱུར་རོ། ||| When entering a temple, those who make prostrations upon seeing the buddhas, pay respect to the Saṅgha, inquire about or chant the sūtras, receive precepts, confess misdeeds, offer the common property of the Three Jewels, or uphold the sublime Dharma even at the cost of their lives will be reborn as gods by taking a single step forward.
།མ་འོངས་པའི་དུས་ན་ཁྱིམ་བདག་ཏུ་ཞུགས་ཏེ། དེ་དང་འདྲ་བའི་ལོངས་སྤྱོད་དང་ལྡན་པར་འགྱུར་རོ། ||| In the future, as they live as householders, they will be endowed with wealth like that of the gods.
།དེ་ནི་དགེ་བའི་མཆོག་དང་ལྡན་པ་ཡིན་ནོ། ||| This is the endowment of supreme virtue. “
།དེ་ལ་གང་མི་དགེ་བ་ནི་ལྷ་ཁང་དུ་འཇུག་པའི་ཚེ་དགེ་འདུན་ལ་སློངས་མོ་དང་བསྐྱི་བརྙ་བྱེད་པ་དང་། དགེ་འདུན་ལ་སྐྱོན་ཚོལ་ཞིང་ཀླན་ཀ་ཚོལ་བ་དང་། དགེ་འདུན་གྱི་ཞལ་ཟས་ཟོས་ཀྱང་ཚིམ་པ་མེད་ཅིང་། བཟའ་ཤིང་དང་། ཤིང་ཏོག་དང་། ལྡུམ་སྐྱུར་ལ་སོགས་པ་ཁྱིམ་དུ་ཁྱེར་བ་དེ་ལྟ་བུ་ནི་ཤིན་ཏུ་དམྱལ་བའི་འཁོར་ལོ་དང་། ཤིན་ཏུ་འབར་བ་དང་། རལ་གྲིའི་རི་དང་། རལ་གྲིའི་ཤིང་ལ་སོགས་པའི་དམྱལ་བར་ཤིན་ཏུ་སྡུག་བསྔལ་ལེན་པར་འགྱུར་རོ། ||| Concerning nonvirtue, when entering a temple, those who beg and take loans from the Saṅgha, who seek fault with and disparage the Saṅgha, who consume the Saṅgha’s food yet remain unsatisfied, and who take home the Saṅgha’s edible plants, fruits, and vegetables will bring upon themselves the severe suffering of the hell realms caused by the hellish wheels, the scorching fires, the mountains of knives, the razor trees, and so forth.
།དེ་ནི་མི་དགེ་བའི་མཆོག་ཅེས་བྱའོ། ||| This is known as supreme nonvirtue. “
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགའ་བོ་ཁྱོད་མ་འོངས་པའི་ཚེ་ངའི་ཉེ་གནས་རྣམས་ལ་དཀོན་མཆོག་གསུམ་གྱི་དཀོར་ལ་མ་སྤྱོད་པར་འདུག་ཅིག་ཅེས་གྲོས་ཐོབ་ཤིག ། ||| Nanda, in the future, advise my followers not to avail themselves of the possessions offered to the Three Jewels.
དེ་ལྟར་མ་གྱུར་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལྟར་བྱས་ན་སངས་རྒྱས་བྱམས་པ་འཇིག་རྟེན་དུ་འབྱུང་བའི་ཚེ་གདོན་མི་ཟ་བར་གྲོལ་ལོ། །བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| If they thus act in accordance with what the Blessed One has taught, they will undoubtedly be liberated when the Buddha Maitreya appears in this world. “
ཚེ་འདི་ལ་གཞན་གྱི་ནོར་འཕྲོག་ན། ཚེ་ཕྱི་མ་ལ་ཤིན་ཏུ་གྲང་བའི་དམྱལ་བར་ལྟུང་ངོ་། །དར་གྱི་སྲིན་བུར་འགྱུར་ཏེ། བཙོ་ཞིང་བཞུ་བར་འགྱུར་རོ། ||| Those who steal the wealth of others in this life will fall into the cold hells in their next life, or they will be born as silkworms that are boiled and liquefied.
།ཚེ་འདི་ལ་སངས་རྒྱས་ཀྱི་སྐུ་གཟུགས་དང་མདོ་སྡེ་ལ་མར་མེ་ཡིས་སྣང་བ་མེད་པར་བྱེད་ཅིང་མི་དགེ་བ་ནི་ཁོ་ར་ཁོར་ཡུག་གི་མུན་ནག་གི་སེམས་ཅན་དམྱལ་བར་འགྱུར་རོ། ||| Those who create nonvirtue in this life by extinguishing the lamps placed in front of statues of the buddhas, or in front of sūtras, will be born among hell beings surrounded by darkness.
།ཚེ་འདི་ལ་ཤན་པ་བྱེད་ཅིང་སེམས་ཅན་མང་པོའི་སྲོག་གཅོད་པ་ནི་རལ་གྲི་དང་། རལ་གྲིའི་ནགས་ཚལ་གྱི་སེམས་ཅན་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who work as butchers and take the lives of many beings in this life will fall into the hell of knives and razor forests.
།ཚེ་འདི་ལ་ཁྲ་དང་ཁྱི་ལ་སོགས་པ་གཏོང་ཞིང་རྔོན་པ་བྱེད་པ་ལ་དགའ་བ་ནི་ལྕགས་ཀྱི་སོག་ལེའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who enjoy sending out falcons, dogs, and so forth for hunting in this life will fall into the hell of iron saws.
།ཚེ་འདི་ལ་ལོག་པར་གཡམ་པ་ལ་དད་པ་ཆེ་བ་ནི་ཟངས་ཀྱི་ཀ་བ་དང་། ལྕགས་ཀྱི་ཁྲག་གི་སེམས་ཅན་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who are strongly inclined toward sexual misconduct in this life will fall into the hell of copper pillars and iron beds.
།ཚེ་འདི་ལ་ཆུང་མ་མང་དུ་བླངས་པ་ནི་ལྕགས་ཀྱི་གཏུན་གྱི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who take many wives in this life will fall into the hell of iron pestles.
།ཚེ་འདི་ལ་བུད་མེད་སྐྱེས་པ་དང་མང་དུ་ཉལ་བ་ནི་སྦྲུལ་གདུག་པའི་དམྱལ་བར་ལྟུང་སྟེ། ||| Those who sleep with many women or men in this life will fall into the hell of poisonous snakes.
ཚེ་འདི་ལ་བསྲེག་ཅིང་བཙོ་བའི་ཐལ་བ་འབབ་པའི་དམྱལ་བར་ལྟུང་སྟེ། ||| Those who burn and boil things in this life will fall into the hell of raining embers.
ཚེ་འདི་ལ་ཕག་དང་ཁྱིའི་སྤུ་བཏོགས་པས་ནི་ཤིན་ཏུ་བསྐོལ་བའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who pluck out the hair of pigs or the fur of dogs in this life will fall into the hell of extreme boiling.
།ཚེ་འདི་ལ་ཕག་དང་ཁྱི་དང་རྟའི་འབྲས་བུ་བཏོན་པས་ནི་རྡོ་ཟུག་རྔུའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who castrate pigs, dogs, or horses in this life will fall into the hell of stone torment.
།ཚེ་འདི་ལ་ཆང་མང་དུ་འཐུངས་པས་ནི། ཟངས་ཁུ་འཐུངས་པའི་དམྱལ་བར་སྐྱེའོ། ||| Those who drink excessive amounts of alcohol in this life will be reborn in the hell of drinking molten copper.
།ཚེ་འདི་ལ་སེམས་ཅན་གཏུབས་ཤིང་དམྱལ་བས་ནི་ལྕགས་ཀྱི་འཁོར་ལོའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who slaughter animals and cause them hellish torments in this life will fall into the hell of iron wheels.
།ཚེ་འདི་ལ་དགེ་འདུན་གྱི་ཤིང་ཏོག་བརྐུས་པས་ནི་ལྕགས་ཀྱི་ཐུ་ལུམ་གྱི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who steal the Saṅgha’s fruits in this life will fall into the hell of iron balls.
།ཚེ་འདི་ལ་ཁྱི་དང་ཕག་གི་རྒྱུ་མ་ཟོས་པས་ནི་མི་གཙང་བའི་དམྱལ་བར་ལྟུང་བར་འགྱུར་རོ། ||| Those who eat the intestines of dogs and pigs in this life will fall into the hell of filth.
།ཚེ་འདི་ལ་ཉ་བཤོར་བས་ནི་རལ་གྲིའི་ནགས་ཚལ་གྱི་དམྱལ་བར་ལྟུང་བར་འགྱུར་རོ། ||| Those who catch fish in this life will fall into the hell of razor forests.
།ཚེ་འདི་ལ་མ་ཡར་མོ་བྱས་ཏེ། སྔ་མའི་བུ་ལ་ནེར་པ་བྱེད་པ་ནི་མེའི་ཤིང་དུམ་གྱི་དམྱལ་བར་ལྟུང་བར་འགྱུར་རོ། ||| The stepmothers who treat their stepchildren as inferior in this life will fall into the hell of fire logs.
།ཚེ་འདི་ལ་དབྱེན་བྱེད་པ་ནི་ལྕགས་ཀྱི་གཤོལ་གྱི་དམྱལ་བར་འགྱུར་རོ། ||| Those who create discord in this life will end up in the hell of iron ploughs.
།ཚེ་འདི་ལ་ཚིག་ངན་པས་མི་ལ་སྤྱོ་བས་ནི་ལྕེ་མེད་པའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who rebuke others with foul words in this life will fall into the hell of the tongueless.
།ཚེ་འདི་ལ་བརྫུན་ཟེར་བ་ནི་ལྕགས་ཀྱི་གཟེར་བུས་གཟེར་བའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who lie in this life will fall into the hell of pounding iron spikes.
།ཚེ་འདི་ལ་སྲོག་གཅོད་ཅིང་ལྷའི་སྲིན་ལ་རྗེད་པས་ནི་ལྕགས་ཀྱི་བསྙུང་བུའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who kill and who venerate demons in this life will fall into the hell of iron awls.
།ཚེ་འདི་ལ་བོན་མོ་བྱེད་ཅིང་འདྲེ་བོས་སོ་ཞེས་བརྫུན་ཟེར་ཞིང་ནོར་ལེན་པ་ནི་ཤལ་མ་རིའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who practice witchcraft in this life and, to make money, make false claims such as ‘The ghosts have been summoned!’ will fall into the hell of śālmalī trees.
།ཚེ་འདི་ལ་བོན་བྱེད་ཅིང་མིག་བཙུམས་ནས་ཁྱོད་ཀྱི་བླ་མ་མཆོད་འོས་སོ་ཞེས་ཟེར་ཞིང་སླུ་བ་ནི་སྐེད་པར་གཏུབས་པའི་དམྱལ་བར་ལྟུང་ངོ་། ||| Those who practice sorcery in this life and deceive others by saying with closed eyes ‘This guru of yours is worthy of offerings’ will fall into the hell of severed waists.
།ཚེ་འདི་ལ་བོན་བྱེད་ཅིང་སྲོག་གཅོད་དུ་བཅུག་སྟེ། ལྷ་སྲིན་རྗེད་དུ་བཅུག་པ་ནི་སྟ་རེས་གཏུབས་པའི་དམྱལ་བར་ལྟུང་སྟེ། བསྲུངས་མས་ལུས་གཏུབས་ཤིང་ལྕགས་ཀྱི་བྱ་མཆུ་ཅན་གྱིས་མིག་གཉིས་ཀྱི་འབྲས་བུ་བཙོགས་པར་འགྱུར་རོ། ||| Those who practice sorcery in this life and coerce others to take life and to venerate demons will fall into the hell of chopping axes; there, their bodies will be chopped apart by hell minions, and their eyes will be pecked out by iron-beaked birds.
།ཚེ་འདི་ལ་བོན་བྱེད་ཅིང་གཤིན་རྔོག་ཏུ་འདུར་བ་དང་། ཁང་ཁྱིམ་བཟང་ངན་ལྟ་བ་དང་། རིགས་ལྔའི་ཁམས་བདེ་མི་བདེ་ལྟ་བ་དང་། གླེན་པ་བསླུས་ཏེ་ནོར་མང་དུ་ལེན་པ་ནི་ལྕགས་ཀྱི་དྲ་བར་བཅུག་པའི་དམྱལ་བར་སྐྱེའོ། །བྱ་མ་རུངས་པ་གྲངས་མེད་པས་ལུས་ཀྱི་སྟེང་དུ་འདུག་ནས་སྟེང་གི་ཤ་ཟད་ནས་རུས་པ་དང་རྒྱུས་པ་བཏོགས་ཏེ། སྡུག་བསྔལ་མུ་མེད་པ་བྱེད་པར་འགྱུར་རོ། ། ||| Those who practice sorcery in this life and who collect much wealth from performing burial rites, examining the good and bad omens related to houses, and examining whether or not the five families are at peace, thereby deceiving fools, will be reborn in the hell of iron webs; there, they will be trapped in webs as countless horrible birds perch atop their bodies, devour their flesh, and peck at their bones and tendons, causing them endless suffering.
ཚེ་འདི་ལ་སྨན་བྱེད་ཅིང་ནད་པ་གསོ་མི་ནུས་པར་བརྫུན་གྱིས་ནོར་ལེན་པ་ནི་ལྕགས་ཀྱི་ཐུར་མས་བཙུགས་པའི་དམྱལ་བར་ལྟུང་སྟེ། ལུས་ལ་ཀུན་དུ་མེ་འབར་རོ། ||| Those who practice medicine in this life without the ability to cure sickness and who lie in order to take payment will fall into the hell where they are pierced with iron needles as their bodies erupt in a blaze.
།ཚེ་འདི་ལ་ལྷ་ཁང་དང་མཆོད་རྟེན་བཤིག་ཅིང་དགེ་འདུན་དང་། ཕ་མ་དང་མཁན་པོ་ལ་བག་མེད་པར་སྲི་ཞུ་ཆུང་བ་ནི་མནར་མེད་པའི་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་བརྒྱད་དུ་མཐར་གྱིས་འགྲོའོ། ||| Those who destroy temples and stūpas and who heedlessly disobey the Saṅgha, their parents, or preceptors in this life will eventually be reborn in the eight great hells of incessant torment.
།དེ་ནས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་བརྒྱ་སུམ་ཅུ་རྩ་དྲུག་གི་ནང་དུ་འགྲོ་སྟེ། ལ་ལ་ནི་བསྐལ་པ་གཅིག །ལ་ལ་ནི་བསྐལ་པ་གཉིས། ལ་ལ་ནི་བསྐལ་པ་ལྔའི་བར་དུ་འགྲོ་བ་ནས། ||| Next, they will go to the one hundred thirty-six great hell realms, where some will remain for one eon, some for two eons, and some for five eons.
གཟོད་མཐར་ཕྱིན་ནས་དགེ་བའི་བཤེས་གཉེན་དང་ཕྲད་ན་ནི་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེ་བར་འགྱུར་རོ། ||| After their lives there come to an end, if they encounter a spiritual guide, they will give rise to the mind of awakening.
།གལ་ཏེ་མ་ཕྲད་ན་སླར་ཡང་སེམས་ཅན་དམྱལ་བར་ལྟུང་ངོ་། ། ||| Otherwise, they will fall once again into the hell realms. “
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། མི་ལུས་བོང་ཆེ་ཞིང་གནག་ལ་སྤྲོ་ཐུང་བ་འགྲོ་བ་ལ་དགའ་བ་ནི་རྔ་མོ་ལས་འོངས་སོ། ||| Having a large body, being dark skinned, being short tempered, and enjoying travels comes from having been a camel.
།འགྲོ་བ་ལ་སྲེད་ལ་ཟ་བ་ལ་རྔམ་སྟེ། ཉམ་ང་བ་ལ་འབྱོལ་བ་ནི་སྟག་ལས་འོངས་སོ། ||| Craving movement, yearning to eat, and avoiding danger comes from having been a tiger.
།ཚ་བ་དང་གྲང་བས་མི་འཇིགས་ཤིང་གཟུགས་ཆེ་བ་ནི་གླང་ལས་འོངས་སོ། ||| Not being intimidated by heat or cold and having a large physique comes from having been an ox.
།སྒྲ་ཆེ་ཞིང་འཛེམ་བག་མེད་ལ་གང་འདོད་པ་དམ་དུ་འཛིན་ཅིང་བཟང་ངན་བྱེ་བྲག་མི་ཕྱེད་པ་ནི་བོང་བུ་ལས་འོངས་སོ། ||| Having a loud voice, being shameless, being stubborn in what one desires, and not distinguishing good from bad comes from having been a donkey.
།རྟག་ཏུ་ཤ་ལ་སྲེད་ཅིང་རྔམ་སྟེ་འཇིགས་པ་མེད་པ་ནི་སེང་གེ་ལས་འོངས་སོ། ||| Always craving and yearning for meat and being fearless comes from having been a lion.
།ལུས་རིང་ཞིང་མིག་ཟླུམ་ལ་རིའམ་དགོན་པར་ཤིན་དུ་འགྲོ་ལ་ཆུང་མ་ལ་སྡང་བ་ནི་སྟག་ལས་འོངས་སོ། ||| Being tall, having round eyes, frequenting mountains and solitary places, and often being enraged at one’s wife comes from having been a tiger.
།སྤུ་རིང་ཞིང་མིག་ཟླུམ་སྟེ་གནས་གཅིག་ཏུ་མི་དགའ་བ་ནི་བྱ་ལས་འོངས་སོ། ||| Being hairy, having round eyes, and not liking to stay in one place comes from having been a bird.
།འགྱུར་ལྡོག་ཆེ་ཞིང་སྲིན་བུ་གསོད་པ་ལ་དགའ་བ་ནི་ཝ་ལས་འོངས་སོ། ||| Being fickle and enjoying killing insects comes from having been a fox.
།དཔའ་བཤོར་ཆེ་ཞིང་ཁྲེལ་འཛེམ་ཆུང་ཞིང་ཆུང་མ་དང་བུ་ལ་སྲེད་པ་ནི་སྤྱང་ཀི་ལས་འོངས་སོ། ||| Being valiant, being of little modesty, and craving a wife and children comes from having been a wolf.
།གཡོན་ཅན་གྱི་ངོས་འཛིན་ལ་གཉིད་ཆུང་ལ་ཁྲོ་བ་ནི་ཁྱི་ལས་འོངས་སོ། ||| Being identified as deceptive, being drowsy, and being angry comes from having been a dog.
།ཁྲོ་བ་ལ་དགའ་ཞིང་སྨྲ་བར་ནི་འདོད་ལ་མི་ཀུན་གྱིས་བྱམས་པ་ནི་ནེ་ཙོ་ལས་འོངས་སོ། ||| Enjoying anger, being fond of speaking, and being loved by all comes from having been a parrot.
།མང་པོར་འདུས་ཤིང་སྨྲ་བ་ལ་དགའ་ཞིང་མྱ་ངན་མང་བ་ནི་བྱ་ཁུ་བྱུག་ལས་འོངས་སོ། ||| Gathering in groups, being fond of speaking, and having lots of grief comes from having been a cuckoo.
།བོང་ཆུང་ཞིང་གཡེམ་པ་ལ་དད་ཆེ་སྟེ་སྙིང་མི་བརྟན་པ་ནི་བྱེའུ་མཆིལ་པ་ལས་འོངས་སོ། ||| Being small, being inclined toward sexual misconduct, and being nervous comes from having been a sparrow.
།མིག་ཚག་ལ་སྤྲོ་ཐུང་ལ་ཁ་ནས་ལྦུ་བ་འོང་ལ་ཉལ་བའི་ཚེ་ན་ལུས་སྦྲིད་འདོད་པ་ནི་རྩངས་པ་ལས་འོངས་སོ། ||| Having twitchy eyes, having a short temper, drooling, and desiring physical numbness while sleeping comes from having been a lizard.
།སྨྲ་ན་ཁྲོ་ཞིང་ཕ་རོལ་གྱི་ཚིག་མི་གོ་ལ་ཁྲོ་ལ་མི་ལ་གདུག་པའི་ཚིག་འབྱུང་བ་ནི་སྡིག་པ་ལས་འོངས་སོ། ||| Speaking angrily, being furious when not understanding what others say, and insulting people comes from having been a scorpion.
།གཅིག་པུ་འདུག་ཅིང་ཟ་བ་ལ་བརྐམ་སྟེ་ནུབ་མོ་གཉིད་ཆུང་བ་ནི་བྱི་ལ་ལས་འོངས་སོ། ||| Staying alone, longing for food, and having sleepless nights comes from having been a cat.
།ཁྱིམ་ཕུགས་དང་རྐུ་བ་ལ་དད་ཆེ་སྟེ་གཉེན་ངོ་མི་ཤེས་པ་ནི་བྱི་བ་ལས་འོངས་སོ། ། ||| Making holes in the house, being inclined to steal, and not recognizing relatives comes from having been a mouse. “
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གང་ལ་ལ་ཞིག་གཙུག་ལག་ཁང་དང་མཆོད་རྟེན་འཇིག་ཅིང་། གང་གིས་དཀོན་མཆོག་གསུམ་གྱི་རྫས་བླངས་ཤིང་སྤྱད་ན་ཚེ་ཕྱི་མ་ལ་བསྟིར་མེད་པའི་སེམས་ཅན་དམྱལ་བར་སྐྱེ་སྟེ། ||| Those who destroy temples and stūpas and take materials belonging to the Three Jewels for their personal use will be reborn in the relentless hells in their next life.
ཅི་སྟེ་དེར་སྐྱེས་ནས་དམྱལ་བ་ལས་ཐར་ན་ཡང་འདི་ལྟ་སྟེ། ཕུག་རོན་དང་། མཆིལ་པ་དང་། ངུར་པ་དང་། ནེ་ཙོ་དང་། བྱེའུ་སྐེ་སྔོ་དང་། ཉ་དང་། རུས་སྦལ་དང་། སྤྲེའུ་དང་། ཕག་པ་དང་། ཤ་བར་སྐྱེའོ། །གལ་ཏེ་མིར་སྐྱེས་ན་ཡང་། མ་ནིང་དང་། བུད་མེད་དང་། མཚན་ཉིད་པ་དང་། མཚན་མ་མེད་པ་སྤུན་པ་ལ་སོགས་པར་སྐྱེའོ། ། ||| After they are born there, even if they are freed from those hells, they will be reborn as pigeons, sparrows, yellow birds, parrots, blue-necked birds, fish, turtles, monkeys, pigs, or deer; even if they are born as humans, they will be reborn as persons labeled as paṇḍakas, women, persons with double gender, persons with no gender, persons with mixed genders, and the like.
མི་ཞེ་སྡང་ཆེ་བ་ནི་སྦྲུལ་གདུག་པ་དང་། སེང་གེ་དང་། སྟག་དང་། སྤྱང་ཀི་དང་། དོམ་དང་། དྲེད་དང་། བྱི་ལ་དང་། ཁྲ་ལ་སོགས་པ་ཐམས་ཅད་དུ་སྐྱེའོ། ། ཅི་སྟེ་མི་ལུས་ཐོབ་ན་ཡང་བྱ་དང་། ཕག་དང་། གསོད་པ་ལ་དད་ཅིང་། རྔོན་པ་དང་། བཙོན་རྫིར་འགྱུར་རོ། ། ||| All those who have great anger will be reborn as vipers, lions, tigers, wolves, bears, grizzlies, cats, falcons, and so forth; even if they attain a human body, they will be inclined to kill birds and pigs, and they will become huntsmen or prison guards.
གཏི་མུག་ཆེ་ཞིང་དགེ་མི་དགེའི་བྱེ་བྲག་མི་ཕྱེད་པ་ནི་ཚེ་ཕྱི་མ་ལ་བལ་གླང་དང་། ཕག་དང་། བ་ལང་དང་། ལུག་དང་། མ་ཧེ་དང་། ཤིག་དང་། ལྗི་བ་དང་། སྦྲང་མ་དང་། མཆུ་བསྙུང་དང་། གྲོག་མོ་ལ་སོགས་པར་སྐྱེའོ། ། ཅི་སྟེ་མི་ལུས་ཐོབ་ན་ཡང་། འོན་པ་དང་། དམུས་ལོང་དང་། ལྐུགས་པ་དང་། ལྦ་བ་ཅན་དང་། སྒུར་པོ་ལ་སོགས་པར་སྐྱེའོ། ། ||| The ignorant who cannot distinguish between virtue and nonvirtue will be reborn as elephants, pigs, oxen, sheep, buffalo, lice, fleas, bees, swallows, ants, and the like in their next life; even if they attain a human body, they will be reborn deaf, blind, mute, with goiters, hunchbacked, and so forth.
ཡན་ལག་མ་ཚང་བ་དང་། དབང་པོ་མ་ཚང་བའི་ལུས་སུ་འགྱུར་ཏེ། ཆོས་ལ་ནན་ཏན་བྱེད་མི་ནུས་སོ། ། ||| Their limbs or sense faculties will be impaired, and thus they will be unable to persevere in the Dharma. “
རྒྱགས་ཤིང་དྲེགས་པ་ནི་ཚེ་ཕྱི་མ་ལ་མི་གཙང་བའི་ནང་གི་སྲིན་བུ་དང་། རྔ་མོ་དང་། བོང་བུ་དང་། ཁྱི་དང་། རྟ་ལ་སོགས་པར་སྐྱེའོ། །ཅི་སྟེ་མི་ལུས་ཐོབ་ན་ཡང་བྲན་ཁོལ་དུ་སྐྱེའོ། ||| Those who are arrogant and haughty will be reborn as filth maggots, camels, donkeys, dogs, horses, and the like in their next life; even if they attain a human body, they will be born as slaves.
།དབུལ་ཕོངས་ཏེ་སློངས་མོ་བྱེད་ལ་ཐམས་ཅད་ཀྱིས་བརྙས་ཤིང་དམད་པར་འོང་ངོ་། ||| They will end up destitute and begging as everyone insults and condemns them.
།གང་དབང་པོ་ཡོད་པས་བྲན་དུ་གཟེར་ཞིང་གཞན་གྱི་ནོར་ལ་ལེན་པ་ནི་ཚེ་ཕྱི་མ་ལ་ཤལ་མ་ལིའི་སེམས་ཅན་དམྱལ་བར་ལྟུང་སྟེ། སེམས་ཅན་ཁྲི་ཕྲག་བརྒྱད་སྟོང་སྙེད་སོས་ཤ་གཅོད་ཅིང་ཟ་བར་འགྱུར་རོ། ||| Those who drive others into servitude by abusing their power and who steal their wealth will fall into the hell of śālmalī trees in their next life; there, they will be slaughtered and devoured by eighty million different beings.
།ཚེ་འདི་ལ་ཕ་རོལ་པོ་འགྲེང་དུ་མི་དགའ་བ་ནི་ཚེ་ཕྱི་མ་ལ་བ་ལང་གི་ལུས་སུ་སྐྱེ་སྟེ། རྐང་ལག་རེངས་ཤིང་ཉལ་མི་ཤེས་པས་གཉིད་ལོག་ཏུ་མེད་པར་འགྱུར་རོ། ||| Those who dislike rising for others will be reborn with the body of a cow in their next life; with rigid limbs and not knowing how to lie down, they will be unable to sleep.
།ཚེ་འདི་ལ་མཆོད་སྟོན་ཟོས་པའི་ནུབ་མོ་ཟས་ཟོས་ན་ཚེ་ཕྱི་མ་ལ་འདྲེ་ལྟོགས་སུ་འགྱུར་རོ། །ལོ་ཁྲི་བརྒྱ་སྟོང་གི་བར་དུ་བཟའ་བ་དང་། བཏུང་བ་རྙེད་པར་མི་འགྱུར་རོ། །ཡན་མན་དུ་འགྲོ་བའི་ཚེ་ཚིགས་ཐམས་ཅད་དུ་མེ་འབར་རོ། ||| Those who make an evening snack out of feast offerings in this life will become hungry ghosts in their next life; they will be unable to find any food and drink for billions of years, and all their joints will blaze with fire as they move around.
།ཚེ་འདི་ལ་སྒྲེན་མོར་འདུག་པར་དད་པ་ནི་སྤུ་ཉུང་བའི་བྱ་རྟག་ཏུ་འབོད་པར་སྐྱེའོ། ||| Those who are inclined to be naked in this life will be reborn as featherless, ever-crying birds.
