༄༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་སུམ་ཅུ་པ་སྟེ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ལུང་བསྟན་པ། བམ་པོ་ཕྱེད་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སུ་མ་ཏི་དཱ་རི་ཀ་པྲྀ་ཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Noble Mahāyāna Sūtra The Inquiry of the Girl Sumati Homage to all buddhas and bodhisattvas!
འདི་ལྟ་སྟེ། གཞན་དག་གི་བསམ་པ་ཡོངས་སུ་རྫོགས་པར་བྱེད་པ་དང་། མོས་པ་མང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའི་སྦྱིན་པ་བཀོད་པ་སྣ་ཚོགས་ཉེ་བར་སྒྲུབ་པ་དང་། དཀོན་མཆོག་གསུམ་མཆོད་པ་ལ་བརྩོན་པ་སྟེ། ||| They are (1) fulfilling the wishes of others, (2) having great devotion, (3) gathering together a diverse array of the generosity of a bodhisattva, and (4) endeavoring to make offerings to the Three Jewels.
བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་འཆི་བའི་དུས་ཀྱི་ཚེ་མདུན་དུ་སངས་རྒྱས་བཞུགས་ཤིང་དེ་ལས་ཆོས་ཀྱང་ཉན་ལ་སྡུག་བསྔལ་ཡང་མྱོང་བར་མི་འགྱུར་རོ། །དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Girl, these are the four dharmas a bodhisattva’s possession of which causes the Buddha to appear in the presence of that bodhisattva at the time of death and, at that time, to hear the Dharma from him, and also not to experience any suffering.
དེ་ནི་གཞན་གྱི་བསམ་པ་རྫོགས་བྱེད་ཅིང་། །མོས་པ་དང་ནི་སྦྱིན་པ་རྒྱ་ཆེ་བ། །མཁས་པ་དེ་ནི་རྟག་ཏུ་སྦྱིན་པར་བྱེད། །དེ་ཕྱིར་དེ་མདུན་དེ་བཞིན་གཤེགས་པ་བཞུགས། ། ||| “About this, it can also be said: “Those who fulfill the wishes of others, Have devotion and great generosity, And always make offerings to the wise— The Tathāgata appears to such people as a result.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས་བཅོམ་ལྡན་འདས་ལ་བུ་མོ་བློ་གྲོས་བཟང་མོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའི་བསླབ་པ་ཇི་སྐད་བཅས་པ་འདི་དག་ལ་བདག་གིས་བསླབ་པར་འཚལ་ཏེ། ||| After the Bhagavān had spoken thus, the girl Sumati said this to him: “Venerable Bhagavān, I want to train in the precepts of a bodhisattva exactly as you have taught them.
བཅོམ་ལྡན་འདས་གལ་ཏེ་བདག་གིས་བཞི་པ་བཅུ་པོ་ཇི་སྐད་དུ་བཀའ་སྩལ་པ་འདི་དག་ལས་ཆོས་གཅིག་ཅིག་མ་སྤྱད་ན་ཡང་བདག་གིས་དེ་བཞིན་གཤེགས་པའི་སྐུ་བསླུས་པར་གྱུར་ཅིག ། ||| Should I fail to practice even a single dharma from among these ten sets of four, exactly as you have taught them, Bhagavān, then I would be deceiving the figure of the Tathāgata.”
དེ་ནས་གནས་བརྟན་མཽད་གལ་གྱི་བུ་ཆེན་པོས་བུ་མོ་བློ་གྲོས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བུ་མོ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྤྱོད་པ་ནི་ཉམས་འོག་ཏུ་ཆུད་པར་དཀའ་ན་ཁྱོད་འདི་ལྟ་བུ་ཡང་དག་པར་ལེན་པར་བྱེད་ན། །ཅི་ཁྱོད་ཀྱིས་སེམས་ལ་དབང་ཐོབ་བམ། ། ||| The elder, the great Maudgalyāyana, then spoke to the girl Sumati in this way: “Girl, given that the conduct of the bodhisattvas is difficult to comprehend, have you attained mastery over your mind when you take it upon yourself to act fully in this way?”
དེ་སྐད་ཅེས་སྨྲས་ནས་བུ་མོ་བློ་གྲོས་བཟང་མོས་ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་ལ། འདི་སྐད་ཅེས་སྨྲས་སོ། །བཙུན་པ་མཽད་གལ་གྱི་བུ་བདེན་པ་དང་བདེན་པའི་ཚིག་གང་གིས་བདག་གིས་ཆོས་ཐམས་ཅད་ཡོངས་སུ་རྫོགས་པར་བྱེད་པར་འགྱུར་བའི་བདེན་པ་དང་བདེན་པའི་ཚིག་དེས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་རྣམ་པ་དྲུག་ཏུ་གཡོས་ཏེ་ལྷའི་མེ་ཏོག་གི་ཆར་འབབ་པར་གྱུར་ཅིག །མ་དཀྲོལ་བར་ཡང་སིལ་སྙན་གྱི་སྒྲ་འབྱུང་བར་གྱུར་ཅིག་ཅེས་བྱས་སོ། ། ||| The girl Sumati replied to the venerable one, the great Maudgalyāyana, “By the truth and by these words of truth, Venerable Maudgalyāyana, that is, by the truth and the words of truth that I will realize all these dharmas, may this cosmos of a billion worlds shake in six different ways, may there be a shower of heavenly flowers, and may the sound of musical instruments spontaneously arise!”
དེ་ནས་བུ་མོ་བློ་གྲོས་བཟང་མོས་དེ་ལྟར་བདེན་པའི་བྱིན་བརླབས་བྱས་མ་ཐག་ཏུ་དེའི་མོད་ལ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་རྣམ་པ་དྲུག་ཏུ་གཡོས་ཏེ། ལྷའི་མེ་ཏོག་གི་ཆར་བབ་པར་གྱུར་ཅིང་། མ་དཀྲོལ་བར་ལྷའི་སིལ་སྙན་གྱི་སྒྲ་ཡང་བྱུང་བར་གྱུར་ཏོ། ། ||| Thereafter, as soon as the girl Sumati had made the truthful resolution, at that moment the cosmos of a billion worlds shook in six different ways, a shower of heavenly flowers fell, and the sound of musical instruments spontaneously arose.
བཙུན་པ་མཽད་གལ་གྱི་བུ་བདེན་པ་དང་བདེན་པའི་ཚིག་གང་གིས། ད་ལྟར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་མ་འོངས་པའི་དུས་ན་བདག་དེ་བཞིན་གཤེགས་པར་འགྱུར་ཞིང་། སངས་རྒྱས་ཀྱི་ཞིང་དེར་བདག་ལ་བདུད་ཀྱང་འབྱུང་བར་མི་འགྱུར་བ་དང་། ངན་སོང་རྣམས་ཀྱི་མིང་ཡང་མེད་པ་དང་། བུད་མེད་ཀྱི་སྐྱོན་རྣམས་མེད་པར་འགྱུར་བའི་བདེན་པ་དང་བདེན་པའི་ཚིག་དེས། ||| “Venerable Maudgalyāyana,” she said, “by the truth and by these words of truth—that is, by the truth and by these words of truth to the effect that I will become a tathāgata in the future just like the present tathāgata, arhat, perfect and completely awakened Buddha Śākyamuni, and that in that buddha realm, Māra will not appear to me, not even the name of the lower realms of rebirth will arise there, and the faults of women will not exist there—may this assembly become golden in color!”
འཁོར་འདི་གསེར་གྱི་ཁ་དོག་ཅན་དུ་གྱུར་ཅིག །བུ་མོ་བློ་གྲོས་བཟང་མོས་ཚིག་དེ་སྐད་ཅེས་སྨྲས་མ་ཐག་ཏུ་དེའི་མོད་ལ་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་གསེར་གྱི་ཁ་དོག་ཅན་དུ་གྱུར་ཏོ། ། ||| As soon as the girl Sumati uttered these words, at that same moment, the entire assembly became golden in color.
དེ་ནས་ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་སྟན་ལས་ལངས་ཏེ་ཆོས་གོས་ཕྲག་པ་གཅིག་ཏུ་བགོས་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་ནི་སེམས་དང་པོ་བསྐྱེད་པ་ནས་བཟུང་སྟེ་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Thereafter, the great Maudgalyāyana, the highly respected one, arose from his seat, draped his upper robe on one shoulder, knelt on his right knee, and with his palms joined together in a gesture of respect, he bowed to the Bhagavān and said this to him, “I bow to all the bodhisattvas, Bhagavān, beginning with those who have conceived the aspiration for awakening for the first time.”
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་བུ་མོ་བློ་གྲོས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བློ་གྲོས་བཟང་མོ་ཁྱོད་ཆོས་གང་ལ་གནས་ཏེ་བདེན་པའི་བྱིན་གྱི་རླབས་འདི་བྱས། ||| Thereupon, Mañjuśrī Kumārabhūta asked the girl Sumati, “Based upon which dharma, Sumati, did you make this truthful resolution?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། འཇམ་དཔལ་ཆོས་ཀྱི་དབྱིངས་ནི་གནས་པ་མ་མཆིས་པས་དེ་ལ་གནས་པར་མི་ནུས་ཏེ་འདི་ལ་དྲི་བ་མ་མཆིས་སོ། ། ||| “Mañjuśrī,” Sumati replied, “Since the dharmadhātu has no basis, nothing can be based upon it.
འཇམ་དཔལ་གྱིས་སྨྲས་པ། ||| Therefore, there is no question about it.”
བློ་གྲོས་བཟང་མོ་བྱང་ཆུབ་ཅེས་བྱ་བ་འདི་གང་གི་ཚིག་བླ་དགས་ཡིན། ||| “Sumati, to what does the term awakening refer?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། ||| Mañjuśrī་ asked.
འཇམ་དཔལ་བྱང་ཆུབ་ཅེས་བགྱི་བ་ནི་རྣམ་པར་མི་རྟོག་པའི་ཆོས་ཀྱི་ཚིག་བླ་དགས་སོ། །འཇམ་དཔལ་གྱིས་སྨྲས་པ། ||| “Mañjuśrī,” Sumati replied, “the term awakening refers to a dharma that is not conceptualized.”
བློ་གྲོས་བཟང་མོ་འདི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བྱ་བ་འདི་གང་གི་ཚིག་བླ་དགས་ཡིན། ||| Mañjuśrī asked, “Sumati, to what does the term bodhisattva refer?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། འཇམ་དཔལ་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བགྱི་བ་ནི་ནམ་མཁའ་དང་མཉམ་པ་ཉིད་ཀྱི་ཆོས་ཀྱི་ཚིག་བླ་དགས་སོ། ། ||| Sumati replied, “Mañjuśrī, the term bodhisattva refers to a dharma that has the same nature as space.”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། བློ་གྲོས་བཟང་མོ་ཅི་དེ་བཞིན་གཤེགས་པ་ཡང་བྱང་ཆུབ་ཀྱི་ཕྱིར་སྤྱོད་པ་མཛད་དམ། ||| “Sumati,” Mañjuśrī asked, “did the Tathāgata also perform acts for the sake of awakening?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། འཇམ་དཔལ་དཔེར་ན་སྨིག་རྒྱུ་དང་བྲག་ཅས་བྱང་ཆུབ་ཀྱི་ཕྱིར་སྤྱོད་པ་དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པས་ཀྱང་བྱང་ཆུབ་ཀྱི་ཕྱིར་སྤྱོད་དོ། ། ||| “Just as a mirage or an echo acts for the sake of awakening,” Sumati replied, “the Tathāgata acted in the same way for the sake of awakening.”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། བློ་གྲོས་བཟང་མོ་ཁྱོད་ཀྱིས་ཅི་ལས་བསམས་ཏེ་དེ་སྐད་ཅེས་སྨྲས། ||| “What were you thinking of, Sumati, when you said this?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། ||| Mañjuśrī asked.
འཇམ་དཔལ་འདི་ལ་ཆོས་འགའ་ལ་ཡང་བསམ་པ་འམ། བསམ་པ་མ་ལགས་པ་མ་མཆིས་སོ། ། ||| “About this, Mañjuśrī,” Sumati replied, “I was neither thinking nor not thinking of any dharma whatsoever.”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། བློ་གྲོས་བཟང་མོ་བསམ་པ་དེ་ལྟ་བུ་ཡིན་དུ་ཟིན་ན་བྱིས་པ་ཐམས་ཅད་ཀྱང་བྱང་ཆུབ་ཏུ་འགྱུར་རོ། །བློ་གྲོས་བཟང་མོས་སྨྲས་པ། ||| “If it is as you think, Sumati,” Mañjuśrī said, “then every childish being would be awakened.”
འཇམ་དཔལ་འདི་ཇི་སྙམ་དུ་དགོངས། ||| “What do you think, Mañjuśrī?”
བྱིས་པ་རྣམས་ཀྱང་གཞན་ལ་མཁས་པ་རྣམས་ཀྱང་གཞན་ཏེ་བྱང་ཆུབ་ཀྱང་གཞན་པར་དེ་ལྟར་གཟིགས་སམ། ||| Sumati replied. “Do you see childish beings as different from the wise, and awakening too as different from them?
དེ་ཅིའི་སླད་དུ་ཞེ་ན། འདི་ལྟ་སྟེ། ཆོས་ཀྱི་དབྱིངས་ཀྱི་ཚུལ་དུ་འདི་ནི་དབྱིངས་གཅིག་པ་ལགས་ཏེ། ||| If you wonder why I say this, it is because the dharmadhātu contains only one constituent element.
བླང་བ་མ་མཆིས་ཤིང་དོར་བ་མ་མཆིས་ལ་སྒྲོ་བཏགས་པ་མ་མཆིས་སོ། ། ||| When there is nothing to take up and nothing to cast away, there is nothing to superimpose on anything else.”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། བློ་གྲོས་བཟང་མོ་བཤད་པ་འདིའི་དོན་ཤེས་པ་ཇི་སྙེད་ཅིག་ཡོད། ||| Mañjuśrī asked, “Sumati, how many understand the meaning of what you have said?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། འཇམ་དཔལ་བཤད་པ་འདིའི་དོན་འཚལ་བ་ནི་སྒྱུ་མ་སྤྲུལ་པའི་སེམས་དང་སེམས་ལས་བྱུང་བ་ཇི་སྙེད་མཆིས་པ་དེ་སྙེད་དོ། ། ||| Sumati replied, “Mañjuśrī, the number of those who understand the meaning of what I have said is equal in number to the minds and mental factors of illusory beings created by magic.”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། བློ་གྲོས་བཟང་མོ་སྤྲུལ་པ་ཉིད་ཀྱང་མེད་ན་དེའི་སེམས་དང་སེམས་ལས་བྱུང་བ་ལྟ་ག་ལ་ཡོད། ||| “Sumati,” Mañjuśrī asked, “if illusory beings themselves do not even exist, how can their minds and mental factors exist?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། འཇམ་དཔལ་ཆོས་ཀྱི་དབྱིངས་ནི་མཆིས་པ་ཡང་མ་ལགས། མ་མཆིས་པ་ཡང་མ་ལགས་ཏེ། དེ་བཞིན་གཤེགས་པ་ཡང་དེ་དང་འདྲའོ། ། ||| “Mañjuśrī,” Sumati replied, “the dharmadhātu is neither existent nor nonexistent, and the Tathāgata is like that too.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འདི་ལྟར་བུ་མོ་བློ་གྲོས་བཟང་མོ་འདི་ཟབ་མོའི་བཟོད་པ་དང་ལྡན་པ་ནི་ངོ་མཚར་ལགས་སོ། ། ||| Mañjuśrī Kumārabhūta then said this to the Bhagavān: “The extent to which the girl Sumati has an acceptance of the profound is truly marvelous, Bhagavān!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཇམ་དཔལ་དེ་དེ་བཞིན་ནོ། ། ||| “It is just so, Mañjuśrī.
ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་ཏེ། ||| It is just as you have said,” replied the Bhagavān.
བུ་མོ་བློ་གྲོས་བཟང་མོ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལ་ཡང་དག་པར་ཞུགས་ནས་བསྐལ་པ་སུམ་ཅུ་ལོན་པའི་འོག་ཏུ་གདོད་ངས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ། ||| “Within thirty eons from the time that the girl Sumati became well established on the path to perfect and complete awakening, I first conceived the aspiration for unsurpassable, perfect, and complete awakening.
ཁྱོད་ཀྱང་བུ་མོ་བློ་གྲོས་བཟང་མོ་འདི་ཉིད་ཀྱིས་མི་སྐྱེ་བའི་ཆོས་ལ་ཞུགས་པར་བྱས་སོ། ། ||| You, too, were introduced to the idea that things do not arise by this same girl, Sumati.”
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་སྟན་ལས་ལངས་ཏེ་བུ་མོ་བློ་གྲོས་བཟང་མོ་ལ་ཕྱག་བྱས་ནས་ཚིག་འདི་སྐད་དུ་བདག་གིས་སློབ་དཔོན་ཡུན་རིང་མོ་ཞིག་ན་མཐོང་ཞེས་ཀྱང་སྨྲས་སོ། ། ||| At that point, Mañjuśrī Kumārabhūta rose from his seat, bowed to the girl Sumati, and spoke these words: “I am seeing my teacher after a long time.”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། འཇམ་དཔལ་མ་རྟོག་ཤིག ། ||| “Do not form a concept, Mañjuśrī,” Sumati replied.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why do I say this?
མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ནི་རྣམ་པར་མི་རྟོག་པའི་ཕྱིར་རོ། ། ||| It is because the acceptance of the fact that things do not arise is not something conceptual.”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། ཅིའི་ཕྱིར་སློབ་དཔོན་གྱིས་བུད་མེད་ཀྱི་ལུས་ལས་ད་དུང་མ་བསྒྱུར། ||| Mañjuśrī asked, “Why has my teacher not yet transformed herself from her female body?”
བློ་གྲོས་བཟང་མོས་སྨྲས་པ། འཇམ་དཔལ་འདི་ནི་བུད་མེད་དོ། །འདི་ནི་སྐྱེས་པའོ་ཞེས་བྱ་བ་དེ་ནི་དམིགས་པ་སྟེ། ||| “Mañjuśrī,” responded Sumati, “to say that ‘this is a woman’ or ‘this is a man’ implies an objective basis.
འོན་ཀྱང་ཁྱོད་ཀྱི་ཐེ་ཚོམ་མེད་པར་བྱའོ། ། ||| However, your doubt should be removed.
བདེན་པ་གང་གིས་བདག་མ་འོངས་པའི་དུས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སུ་འགྱུར་བའི་བདེན་པ་དེས་བདག་སྐྱེས་པར་གྱུར་ཅིག ། ||| By the truth, that is, by the truth that I will become a tathāgata, a perfect and complete buddha in the future, may I become a man.”
བུ་མོ་བློ་གྲོས་བཟང་མོས་ཚིག་དེ་སྐད་ཅེས་སྨྲས་མ་ཐག་ཏུ་དེའི་མོད་ལ་དེའི་བུད་མེད་ཀྱི་དངོས་པོ་མི་སྣང་བར་གྱུར་ནས་སྐྱེས་པར་རེད་དེ་ཆོས་གོས་ངུར་སྨྲིག་གྱོན་ནས་དེས་འདི་སྐད་དུ་བདེན་པ་གང་གིས་བདག་གིས་བྱང་ཆུབ་ཐོབ་པ་ན་དགེ་སློང་ཚུར་ཤོག་ཅེས་བྱས་པས་རབ་ཏུ་འབྱུང་བར་འགྱུར་བ་དང་། བདག་གི་སངས་རྒྱས་ཀྱི་ཞིང་དེར་བདུད་ཀྱང་འབྱུང་བར་མི་འགྱུར་བ་དང་། ངན་སོང་གི་མིང་ཡང་མེད་པ་དང་། བུད་མེད་ཀྱི་སྐྱོན་རྣམས་ཀྱང་མེད་པར་འགྱུར་བའི་བདེན་པ་དང་བདེན་པའི་ཚིག་དེས་བདག་དགེ་སློང་བསྙེན་པར་རྫོགས་ནས་ལོ་སུམ་ཅུ་ལོན་པའི་སྤྱོད་ལམ་ཅི་འདྲ་བ་དེ་ལྟ་བུར་གྱུར་ཅིག་ཅེས་བྱས་སོ། ། ||| As soon as the girl Sumati uttered these words her female body vanished and she was transformed into a man wearing saffron-colored monastic robes, who then spoke these words: “By the truth that when I attain awakening, ordinations will occur through my utterance of the words ‘Come, monk,’ and no Māra will exist in my buddha realm, not even the name of the lower realms will exist there, and the faults of women will also not exist there—by that truth, and by those words of truth, may my demeanor become just like the demeanor of a monk who has been ordained for thirty years.”
བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བཟང་པོས་ཚིག་འདི་སྐད་སྨྲས་མ་ཐག་ཏུ་དེའི་མོད་ལ་དགེ་སློང་བསྙེན་པར་རྫོགས་ནས་ལོ་སུམ་ཅུ་ལོན་པའི་སྤྱོད་ལམ་ཅི་འདྲ་བ་དེ་ལྟ་བུར་གྱུར་ཏོ། །འཇམ་དཔལ་བདེན་པ་དང་བདེན་པའི་ཚིག་གང་གིས་བདག་གི་སངས་རྒྱས་ཀྱི་ཞིང་དུ་སེམས་ཅན་རྣམས་ཀྱི་ལུས་གསེར་གྱི་ཁ་དོག་ལྟ་བུར་འགྱུར་བ་དང་། བསམ་པས་བཟའ་བ་དང་བཏུང་བ་འགྲུབ་པར་འགྱུར་ཏེ། གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་ལྷ་རྣམས་ཀྱི་ལོངས་སྤྱོད་དང་། ||| As soon as these words had been uttered, the demeanor of the bodhisattva Sumati became just like that of someone who had been ordained as a monk for thirty years.
ཡོངས་སུ་སྤྱོད་པ་ཇི་ལྟ་བ་བཞིན་དུ་འགྱུར་བ་དང་། །སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ངན་སོང་གསུམ་ཡོངས་སུ་སྤངས་པར་འགྱུར་བ་དང་། རིན་པོ་ཆེ་སྣ་བདུན་གྱི་ཤིང་ལྗོན་པ་དང་། རིན་པོ་ཆེའི་དྲ་བས་ཡོངས་སུ་བསྐོར་ཅིང་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་པདྨ་དག་གིས་རྒྱས་ལ་སྟེང་རིན་པོ་ཆེའི་བླ་རེ་བྲེས་ཏེ། འཇམ་དཔལ་གྱི་སངས་རྒྱས་ཀྱི་ཞིང་ཅི་འདྲ་བ་ཁོ་ན་དང་མཉམ་ཞིང་མི་ལྷག་པ་དེ་ལྟ་བུར་འགྱུར་བའི་བདེན་པ་དང་བདེན་པའི་ཚིག་དེས་འཁོར་འདི་གསེར་གྱི་ཁ་དོག་ཅན་དུ་གྱུར་ཅིག་ཅེས་བྱས་སོ། ། ||| “Mañjuśrī,” continued the bodhisattva Sumati, “by the truth and the words of truth—that beings in my buddha realm will have golden-colored bodies, food and drink will be acquired there merely by wishing for it, and the riches and enjoyments there will be just like those of the gods in the Heaven of Making Use of Others’ Emanations; In that buddha realm, the three lower realms will not be included; and the trees there will be made of seven precious substances, it will be surrounded by jeweled lattices, ornamented with lotuses made of seven precious substances and with jeweled canopies spread above, and that it will be a superior realm at least equal to the buddha realm of Mañjuśrī—by that truth and by those words of truth, may this assembly become golden in color.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བཟང་པོས་ཚིག་དེ་སྐད་སྨྲས་མ་ཐག་ཏུ་དེའི་མོད་ལ་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་གསེར་གྱི་ཁ་དོག་ཅན་དུ་གྱུར་ཏོ། ། ||| As soon as the bodhisattva Sumati uttered these words, the entire assembly became golden in color.
དེ་ནས་ས་བླའི་ལྷ་རྣམས་ཀྱི་ལྷའི་ལུས་ཀྱིས་གཅིག་ནས་གཅིག་ཏུ་སྒྲ་བསྒྲགས་ཤིང་སྐད་ཀྱིས་གོ་བར་བྱས་ཏེ། ཀྱེ་མ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བློ་གྲོས་བཟང་པོ་བྱང་ཆུབ་ཐོབ་པའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་ནི་དེ་ལྟ་བུར་འགྱུར་རོ་ཞེས་ཆེད་དུ་བརྗོད་པ་འདི་ཆེད་དུ་བརྗོད་དོ། །དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་བཀའ་སྩལ་པ། འཇམ་དཔལ་བྱང་ཆུབ་སེམས་དཔའ་བློ་གྲོས་བཟང་པོ་འདི་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་ཞབས་སུ་ལྡན་པ། ||| At that point, the divine multitude of sky-dwelling gods exclaimed and informed each other in these words: “O, the bodhisattva mahāsattva Sumati has just made an inspired utterance about the nature of the array of qualities of the buddha realm in which that bodhisattva will attain awakening!”
བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡོན་ཏན་རིན་ཆེན་དཔལ་གྱི་སྙིང་པོ་ཞེས་བྱ་བ་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་རོ། ། ||| The Bhagavān then said to Mañjuśrī Kumārabhūta, “Mañjuśrī, this bodhisattva Sumati will appear in the world as a tathāgata, an arhat, a perfect and complete buddha, perfect in knowledge and conduct, a sugata, a knower of the world, a supreme trainer of those who are ready to be trained, a teacher to gods and humans, a bhagavān, a buddha named Essence of Splendorous and Precious Qualities.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཀའ་སྩལ་པ་ན། སྲོག་ཆགས་བྱེ་བ་ཕྲག་སུམ་ཅུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་ཉིད་ལ་ཡང་དག་པར་གནས་པར་གྱུར་ཏོ། །ལྷ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་ནི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་རྣམ་པར་དག་གོ ། ||| When the Bhagavān gave this Dharma discourse, three hundred million beings became established in the state of not turning back from unsurpassable, perfect, and complete awakening; eight hundred million gods purified the eye of Dharma with respect to things, so that it became spotless and free of impurities; and one hundred thousand beings had a direct realization of knowledge.
