སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པས་འདི་ལྟར་ཡིད་དུ་མཆི་བ་དང་། འདི་ལྟར་བལྟ་ན་སྡུག་པའི་འོད་མི་གཏོང་ན་ ||| Now, since the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni, would not emit such a wonderful and beautiful light without causes or circumstances,
གང་གི་སླད་དུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་དེས་འདི་ལྟར་ཡིད་དུ་མཆི་བ་དང་། འདི་ལྟར་བལྟ་ན་སྡུག་པའི་འོད་བཀྱེ་བ་འདིའི་རྒྱུ་ནི་གང་ལགས་རྐྱེན་ནི་ཅི་ལགས། ||| please tell us what the causes and conditions are for the Blessed One, the thus-gone Śākyamuni, to send forth such a wonderful and beautiful light.”
དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་ཀྱིས་སྐྱེས་བུ་དམ་པ་དེ་གཉིས་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །རིགས་ཀྱི་བུ་དག་ཇི་སྐད་སྨྲས་པ་དེ་དེ་བཞིན་ཏེ། ། ||| The Thus-Gone Amitābha said to the two holy beings, “Sons of noble family, what you say is true.
རྒྱུ་མེད་རྐྱེན་མེད་པར་བཅོམ་ལྡན་འདས་དེས་འདི་ལྟར་ཡིད་དུ་འོང་བ་དང་། འདི་ལྟར་བལྟ་ན་སྡུག་པའི་འོད་མི་བཀྱེའོ། ། ||| That Blessed One would not send forth such a wonderful and beautiful light without any causes and conditions.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་དེ་དེང་བྱང་ཆུབ་སེམས་དཔའ་འཇུག་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་རིན་པོ་ཆེ་བསྒྲུབ་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་སྟོན་པར་འགྱུར་ཏེ། ||| And why? Because the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni, is about to deliver a Dharma teaching on how to accomplish the precious absorption known as ‘the bodhisattvas’ application.’
དེའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པ་དེས་ཆོས་བསྟན་པ་དེའི་སྔ་ལྟས་སུ་འདི་ལྟར་ཡིད་དུ་འོང་བ་དང་། འདི་ལྟར་བལྟ་ན་སྡུག་པའི་འོད་འདི་བཀྱེའོ། ||| That is why the Blessed One Śākyamuni emitted this wonderful and beautiful light as an omen of that Dharma teaching.”
དེ་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Then the bodhisattva great being Avalokiteśvara and the bodhisattva great being Mahā­sthāmaprāpta said to the Thus-Gone, worthy, completely perfect Buddha Amitābha,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་དེ་ལ་བལྟ་བ་དང་། ཕྱག་བགྱི་བ་དང་མཆོད་པ་དང་བསྙེན་བཀུར་བགྱི་བ་དང་ཆོས་བསྟན་པ་དེ་ཡང་མཉན་པའི་སླད་དུ། ། ||| “In order to gaze upon, honor, venerate, and serve the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni, and also to hear his Dharma teaching,
བཅོམ་ལྡན་འདས་བདག་ཅག་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་མཆིའོ། ||| we, Blessed One, will travel to that Sahā world.”
རིགས་ཀྱི་བུ་དག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་དེ་ཁྱོད་ཉིད་ལས་བརྩམས་ཏེ། ཆོས་སྟོན་པར་འགྱུར་གྱིས་དེའི་དུས་ལ་དབབ་པར་ཤེས་པ། ཁྱེད་དེང་ཤིག་ཅེས་སྐབས་ཕྱེ་བས་ ||| “Sons of noble family, you know that the time has come for the Blessed One, the thus-gone Śākyamuni, to teach the Dharma to an assembly headed by the two of you, so please do go ahead.”
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ་ཀྱིས། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་དེའི་ཉིན་འཁོར་ན་འཁོད་པའི་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བཞི་བཅུ་པོ་རྣམས་ལ་སྨྲས་པ། ། ||| the bodhisattva great being Avalokiteśvara and the bodhisattva great being Mahā­sthāmaprāpta called out to the four hundred million bodhisattvas assembled in the retinue of the Blessed One, the thus-gone Amitābha,
རིགས་ཀྱི་བུ་དག་ཚུར་ཤོག ||| “Sons of noble family, come!
ཁྱེད་ཀྱང་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་དེ་ལ་བལྟ་བ་དང་། ཕྱག་བྱ་བ་དང་མཆོད་པ་དང་བསྙེན་བཀུར་བྱ་བ་དང་། ཆོས་བསྟན་པ་དེ་ཡང་མཉན་པའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་འདོང་ངོ་། ། ||| In order to behold, honor, venerate, and serve the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni, and also to hear his Dharma teaching, let us travel to the Sahā world.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ནི་སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་དག་པ་གཞན་དང་གཞན་དག་ན་ཡོད་པ་སྤངས་ནས། སྨོན་ལམ་དང་ཐུགས་རྗེ་ཆེན་པོས་སངས་རྒྱས་ཀྱི་ཞིང་ཉོན་མོངས་པ་ཅན་དེར་བྱུང་སྟེ། ||| Because the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni, gave up all the many perfectly pure buddha realms and, through his aspirations and great compassion, manifested in that afflicted buddha realm. Because he undertook austerities,
སེམས་ཅན་དམན་པ་ལ་མོས་པ་འདོད་ཆགས་ཀྱི་ཤས་ཆེ་བ། ཞེ་སྡང་གི་ཤས་ཆེ་བ། གཏི་མུག་གི་ཤས་ཆེ་བ་རྣམས་ཀྱི་ནང་དུ། ||| it was amidst those sentient beings who have base desires and raging attachment, anger, and delusion,
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ནི་དཀའ་བ་མཛད་པའི་ཕྱིར་རོ། ། ||| that he fully awakened to unsurpassed and completely perfect buddhahood.”
སྐྱེས་བུ་དམ་པ་དེ་གཉིས་ཀྱིས། ཚིག་འདི་སྨྲས་མ་ཐག་ཏུ་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་ཐམས་ཅད་ལྷན་ཅིག་འདུས་ནས། མགྲིན་གཅིག་ཏུ་ཚིག་སྨྲས་པ། ||| As soon as the two holy beings had spoken these words, all of the bodhisattva great beings in the world of Sukhāvatī assembled and said in a single voice,
བཅོམ་ལྡན་འདས་སེམས་ཅན་གང་དག་གིས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཤཱཀྱ་ཐུབ་པ་དེའི་མཚན་ཐོས་པ་དེ་དག་ཀྱང་རྙེད་པ་ལེགས་པར་རྙེད་པ་ལགས་ན། ||| “Blessed One, any being who even hears the name of the Blessed One, the thus-gone Śākyamuni, reaches excellent attainments.
གང་དག་གིས་ཤའི་མིག་གིས་དེ་མངོན་སུམ་དུ་མཐོང་ལ་མཐོང་ནས་ཀྱང་དད་པ་རྙེད་པ་དག་ལྟ་སྨོས་ཀྱང་ཅི་འཚལ། ||| That being so, what need is there to mention those who actually see him with their physical eyes and engender faith?
བཅོམ་ལྡན་འདས་བདག་ཅག་ཀྱང་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་དེ་ལ་བལྟ་བ་དང་། ཕྱག་བགྱི་བ་དང་བསྙེན་བཀུར་བགྱི་བ་དང་། ཆོས་བསྟན་པ་དེ་ཡང་མཉན་པའི་སླད་དུ་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་དེར་མཆིའོ། ||| Blessed One, we shall also travel to the Sahā world in order to behold, honor, venerate, and serve the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni, and also to hear his Dharma teaching.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One said,
རིགས་ཀྱི་བུ་དག་ཁྱེད་དེའི་དུས་ལ་དབབ་པར་ཤེས་ན་དེང་ཤིག ། ||| “Sons of noble family, you know that the time has come, so please go ahead.”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ། བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞིས་ཡོངས་སུ་བསྐོར་ཏེ། མདུན་དུ་བདར་ནས། འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེ་ནས་དོང་ངོ་། ། ||| So the bodhisattva great being Avalokiteśvara and the bodhisattva great being Mahā­sthāmaprāpta set out from the world of Sukhāvatī, surrounded and preceded by 840 million bodhisattvas.
དེ་ནས་དེའི་ཚེ་ཇི་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་བྱས་པས། ||| At that point they manifested their miraculous powers, and by those miraculous powers
བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི་པོ་དེ་དག་ཐམས་ཅད་རེ་རེ་ལ་ཡང་ཁང་པ་བརྩེགས་པ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི་སྤྲུལ་པ་དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་བྱས་སོ། ||| million bodhisattvas each emanated 840 million mansions.
ཁང་པ་བརྩེགས་པ་དེ་དག་ཀྱང་གྲུ་བཞི་ལྷམ་པ་ཀ་བ་བཞི་ཟུག་པ། ||| The miraculously manifested mansions were square, structured around four pillars,
ཆ་མཉམ་པར་ལེགས་པར་རྣམ་པར་ཕྱེ་བ་ལེགས་པར་ཟིན་པ་ཤ་སྟག་གོ། ། ||| even and well proportioned, and of excellent design.
ཁང་པ་བརྩེགས་པ་རེ་རེ་ཡང་འཕང་དུ་ནི་དཔག་ཚད་བཅུ་གཉིས། རྒྱར་ནི་དཔག་ཚད་བརྒྱད་དོ། ། ||| Each of the mansions was twelve leagues tall and eight leagues wide.
ཁང་པ་བརྩེགས་པ་དག་གསེར་ལས་བྱས་པ་དག་ཀྱང་ཡོད། ||| Some mansions were made of gold;
དངུལ་ལས་བྱས་པ་དག་ཀྱང་ཡོད། ||| some were made of silver;
བཻ་དཱུརྱ་ལས་བྱས་པ་དག་ཀྱང་ཡོད། ||| some were made of beryl;
ཤེལ་ལས་བྱས་པ་དག་ཀྱང་ཡོད། ||| some were made of crystal;
མུ་ཏིག་དམར་པོ་དང་རྡོའི་སྙིང་པོ་དང་། སྤུག་ལས་བྱས་པ་དག་ཀྱང་ཡོད་དོ། ། ||| some were made of red pearl, emerald, and coral;
རིན་པོ་ཆེ་གསེར་དང་དངུལ་དང་སྣ་གཉིས་པ་དག་ཀྱང་ཡོད། ||| some were made of combinations of gold and silver;
རིན་པོ་ཆེ་གསེར་དང་དངུལ་དང་བཻ་དཱུརྱ་དང་སྣ་གསུམ་པ་དག་ཀྱང་ཡོད། ||| some were made of combinations of gold, silver, and beryl;
རིན་པོ་ཆེ་གསེར་དང་དངུལ་དང་བཻ་དཱུརྱ་དང་ཤེལ་དང་སྣ་བཞི་པ་དག་ཀྱང་ཡོད། ||| some were made of combinations of gold, silver, beryl, and crystal;
རིན་པོ་ཆེ་གསེར་དང་དངུལ་དང་བཻ་དཱུརྱ་དང་ཤེལ་དང་མུ་ཏིག་དམར་པོ་དང་སྣ་ལྔ་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of combinations of gold, silver, beryl, crystal, and red pearl;
རིན་པོ་ཆེ་གསེར་དང་དངུལ་དང་བཻ་དཱུརྱ་དང་ཤེལ་དང་མུ་ཏིག་དམར་པོ་དང་སྤུག་དང་སྣ་དྲུག་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of combinations of gold, silver, beryl, crystal, red pearl, and coral;
རིན་པོ་ཆེ་གསེར་དང་དངུལ་དང་བཻ་དཱུརྱ་དང་ཤེལ་དང་མུ་ཏིག་དམར་པོ་དང་སྤུག་དང་རྡོའི་སྙིང་པོ་དང་སྣ་བདུན་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of combinations of gold, silver, beryl, crystal, red pearl, coral, and emerald;
ཙན་དན་དམར་པོ་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of red sandalwood;
ཙན་དན་སྦྲུལ་གྱི་སྙིང་པོ་ལས་བྱས་པ་དག་ཀྱང་ཡོད། ||| some were made of uragasāra sandalwood;
ཨ་ཀ་རུ་དང་ཙན་དན་ལས་བྱས་པ་དག་ཀྱང་ཡོད། ། ||| some were made of aloeswood and sandalwood;
ཨ་ག་རུ་ནག་པོ་དང་ཙན་དན་ལས་བྱས་པ་དག་ཀྱང་ཡོད། ||| some were made of black aloeswood and sandalwood;
ཙན་དན་ཐམས་ཅད་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of all types of sandalwood;
མེ་ཏོག་ཨུད་པ་ལ་དང་པད་མ་དང་ཀུ་མུ་ད་དང་པད་མ་དཀར་པོ་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of blue lotuses, pink lotuses, water lily, and white lotuses;
སྣ་མའི་མེ་ཏོག་དང་བར་ཤ་ཀ་དང་ཙམ་པ་ཀ་དང་། སྐྱ་སྣར་དང་ཨ་ཏི་མུག་ཏ་ཀ་དང་ཏ་ར་ནི་དང་གོ་ཏ་ར་ནི་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ། ||| some mansions were made of flowers of nutmeg, jasmine, magnolia, pāṭalam, mountain ebony, aloe flower, and gotaraṇi;
མེ་ཏོག་ད་ནུ་སྐ་རི་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། མེ་ཏོག་མན་དཱ་ར་དང་མན་དཱ་ར་ཆེན་པོ་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of danuskari flowers; some mansions were made of māndārava and mahāmāndārava flowers;
མེ་ཏོག་པ་རུ་ཥ་ཀ་དང་པ་རུ་ཥ་ཀ་ཆེན་པོ་དང་མཉྫུ་ཥ་ཀ་དང་མཉྫུ་ཥ་ཀ་ཆེན་པོ་དང་། མདོག་མཛེས་དང་མདོག་མཛེས་ཆེན་པོ་དང་། མེ་ཏོག་འཁོར་ལོ་དང་འཁོར་ལོ་ཆེན་པོ་དང་ཀུན་ཏུ་འཁོར་ལོ་དང་། ཤིན་ཏུ་མཛེས་པའི་འཁོར་ལོ་དང་མེ་ཏོག་ཟླ་བ་དང་ཟླ་བ་ཆེན་པོ་དང་། ཤིན་ཏུ་མཛེས་པའི་ཟླ་བ་དང་ཟླ་བ་མཆོག་དང་། སྠ་ལ་དང་སྠ་ལ་ཆེན་པོ་དང་། ཤིན་ཏུ་མཛེས་པའི་སྠ་ལ་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of flowers of pāruṣaka, mahāpāruṣaka, mañjuṣaka, mahāmañjuṣaka, roca, mahāroca, cakra, mahācakra, sarvacakra, atyartha­śobhati­cakra, candra, mahācandra, atyartha­śobhati­candra, paramacandra, sthāla, and mahāsthāla;
མེ་ཏོག་ཐམས་ཅད་ལས་བྱས་པའི་ཁང་པ་བརྩེགས་པ་དག་ཀྱང་ཡོད། ||| some mansions were made of all types of flowers;
ཁ་དོག་དུ་མ་པ་ཁ་དོག་སྣ་ཚོགས་ཁ་དོག་བརྒྱ་སྟོང་དུ་མ་པ་བཀྲ་བ། བལྟ་ན་སྡུག་པ་ཡོངས་སུ་དག་པ། འོད་གསལ་བ་དག་ཀྱང་ཡོད་དོ། ། ||| and some were made of flowers of various colors, multiple colors, hundreds of thousands of colors, beautiful, pure, and shining.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་ལྷའི་བུ་མོ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏེ། ། ||| In each mansion were emanated 84,000 goddesses.
དེ་ན་ལྷའི་བུ་མོ་ཁ་ཅིག་གི་ལག་ན་དུང་དང་རྔ་བོ་ཆེ་དང་རྫ་རྔ་དང་ཁར་རྔ་དང་པི་བང་རྒྱུད་གཅིག་པ་དང་། གླུ་དབྱངས་སྒྲ་སྙན་པ་དང་གླིང་བུ་དང་རྒྱུད་ཅན་པི་བང་དང་པི་བང་རྒྱུད་གསུམ་པ་རྣམས་ཐོགས་ཏེ། ||| Some of the goddesses held conches, drums, clay kettle drums, wooden kettle drums, lutes, and flutes, while others sang melodiously, and yet others held up reed pipes, one-stringed lutes, and three-stringed lutes.
སིལ་སྙན་དང་གླུ་དབྱངས་དང་རོལ་མོའི་སྒྲ་སྐད་རྣམ་པ་མང་པོ་དེ་ལྟ་བུ་ལེན་ཅིང་འཁོད་དོ། ། ||| In this way they were playing instruments, singing songs, and making music in abundance.
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་ཙན་དན་དམར་པོའི་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ། ||| Some goddesses were holding vessels of powdered red sandalwood;
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་ཙན་དན་སྦྲུལ་གྱི་སྙིང་པོའི་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ། ||| some goddesses were holding vessels of powdered uragasāra sandalwood;
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་ཨ་ག་རུ་དང་ཙན་དན་གྱི་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ། ||| some goddesses were holding vessels of powdered aloeswood and sandalwood;
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་ཨ་ག་རུ་ནག་པོ་དང་ཙན་དན་གྱི་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ། ||| some goddesses were holding vessels of powdered black aloeswood and sandalwood;
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་ཙན་དན་ཐམས་ཅད་ཀྱི་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ། ||| some goddesses were holding vessels of all types of powdered sandalwood;
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་ཨུད་པ་ལ་དང་པད་མ་དང་ཀུ་མུ་ད་དང་པད་མ་དཀར་པོའི་མེ་ཏོག་གི་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ། ||| some goddesses were holding vessels of powdered blue lotuses, pink lotuses, water lilies, and white lotuses;
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་མེ་ཏོག་མན་དཱ་ར་དང་མན་དཱ་ར་ཆེན་པོ་དང་པ་རུ་ཥ་ཀ་དང་པ་རུ་ཥ་ཀ་ཆེན་པོ་དང་མཉྫུ་ཥ་ཀ་དང་མཉྫུ་ཥ་ཀ་ཆེན་པོ་དང་། མེ་ཏོག་མདོག་མཛེས་དང་མདོག་མཛེས་ཆེན་པོ་དང་། མེ་ཏོག་འཁོར་ལོ་དང་འཁོར་ལོ་ཆེན་པོ་དང་། ཀུན་ཏུ་འཁོར་ལོ་དང་ཤིན་ཏུ་མཛེས་པའི་འཁོར་ལོ་དང་། མེ་ཏོག་ཟླ་བ་དང་ཟླ་བ་ཆེན་པོ་དང་། ཤིན་ཏུ་མཛེས་པའི་ཟླ་བ་དང་ཟླ་བ་མཆོག་དང་། སྠ་ལ་དང་སྠ་ལ་ཆེན་པོ་དང་ཤིན་ཏུ་མཛེས་པའི་སྠ་ལའི་མེ་ཏོག་གི་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ||| some goddesses were holding vessels of powdered flowers of māndārava, mahāmāndārava, pāruṣaka, mahāpāruṣaka, mañjuṣaka, mahāmañjuṣaka, roca, mahāroca, cakra, mahācakra, sarvacakra, atyartha­śobhati­cakra, candra, mahācandra, atyartha­śobhati­candra, paramacandra, sthāla, and mahāsthāla;
ལྷའི་བུ་མོ་ཁ་ཅིག་ནི་མེ་ཏོག་ཐམས་ཅད་དང་བདུག་པ་དང་སྤོས་དང་མེ་ཏོག་ཕྲེང་དང་བྱུག་པ་དང་ཕྱེ་མའི་ཕུར་མ་ཐོགས་ཤིང་འཁོད་དོ། ||| some goddesses were proffering vessels of all types of powdered flowers, perfume, incense, flower garlands, and ointments.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་བཀོད་པ་ཆེན་པོའི་སེང་གེའི་ཁྲི་ལ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་སྐུ་ལེགས་པར་བརྒྱན་པའི་དེ་བཞིན་གཤེགས་པའི་སྐུ་མངོན་པར་སྤྲུལ་ཏོ། ། ||| In each mansion appeared an ornately decorated lion throne upon which the form of a thus-gone one was seated, adorned with the thirty-two marks of a great being.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་མུ་ཏིག་དཀར་པོ་དང་མུ་ཏིག་དམར་པོ་དང་མུ་ཏིག་མཐོན་ཀའི་མུ་ཏིག་གི་ཕྲེང་བ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏོ། ||| In each of the mansions appeared 84,000 pearl garlands, made of white, red, and blue pearls.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་ལྷའི་རས་བཅོས་བུའི་རྒྱལ་མཚན་གསེར་གྱི་དྲིལ་བུ་གཡེར་ཀའི་དྲ་བས་གཡོགས་པ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏོ། ||| In each of the mansions appeared 84,000 victory banners made of divinely manufactured fabric, each of them covered in a lattice of small golden bells.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་སྤོས་ཀྱི་ཕུར་མ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏོ། ། ||| In each of the mansions appeared 84,000 censers of incense.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་གདུགས་ཁ་དོག་དུ་མ་པ་ཁ་དོག་སྣ་ཚོགས་པ། ཁ་དོག་བརྒྱ་སྟོང་དུ་མ་བཀྲ་བ། བལྟ་ན་སྡུག་པ། ལེགས་པར་ལས་སུ་བྱས་པ། དབྱིབས་ཤིན་ཏུ་ལེགས་པ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏོ། ། ||| In each of the mansions appeared 84,000 parasols of various colors, multiple colors, hundreds of thousands of colors, beautiful, well-crafted, and of fine proportions.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་ཤིང་ཏ་ལའི་ཕྲེང་བ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏོ། ། ||| In each of the mansions appeared 84,000 rows of palm trees.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་རིན་པོ་ཆེའི་ཤིང་ལྗོན་པ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏོ། ། ||| In each of the mansions appeared 84,000 jewel trees.
ཁང་པ་བརྩེགས་པ་རེ་རེར་ཡང་དྲིལ་བུ་གཡེར་ཀའི་དྲ་བ་གང་དག་རླུང་གིས་བསྐྱོད་པ་ན་འདི་ལྟ་བུའི་སྒྲ་དག་འབྱུང་བ་འདི་ལྟ་སྟེ་དཔེར་ན། ལྷའི་སིལ་སྙན་ཡན་ལག་བྱེ་བ་བརྒྱ་སྟོང་དང་ལྡན་པ་མཁས་པ་དག་གིས་ལེགས་པར་བླངས་ནས་སྒྲ་འབྱུང་བ་དེ་བཞིན་དུ་དྲིལ་བུ་གཡེར་ཀའི་དྲ་བ་དེ་དག་ཀྱང་རླུང་གིས་བསྐྱོད་ན་སྒྲ་སྙན་པ་ཡིད་དུ་འོང་བ་དག་འབྱུང་བ་བརྒྱད་ཁྲི་བཞི་སྟོང་མངོན་པར་སྤྲུལ་ཏོ། ། ||| In each of the mansions appeared 84,000 lattices of small bells that, when stirred by the wind, sounded tunes resembling the music performed by skilled musicians playing trillions of divine instruments. Such were the sweet and beautiful tunes that rang out from those bells when stirred by the wind.
