༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ད་ཤ་དི་ཀ་ཨན་དྷ་ཀཱ་ར་བི་དྷྭན་ས་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕྱོགས་བཅུའི་མུན་པ་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Dispelling the Darkness of the Ten Directions
སེམས་ཀྱི་རྒྱུན་གྱིས་དེ་མངོན་དུ་བྱེད་ཅིང་རྣམ་པར་མ་གཡེངས་པའི་ཡིད་ལ་བྱེད་པས་སོང་ན་ཁྱོད་ལ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་ཞིང་ཁྱོད་བྱ་བ་གང་གི་ཕྱིར་འགྲོ་བའི་བྱ་བ་དེ་འགྲུབ་པར་འགྱུར་རོ། ། ||| If you bring this clearly to mind and then depart while remaining undistracted, you will not fear anything, and you will accomplish the purpose for which you embarked.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
རྫོགས་སངས་རྒྱས་ལ་ཕྱག་འཚལ་ནས། ། ||| “Having paid homage to the perfect Buddha,
མེ་ཏོག་སིལ་མས་གཏོར་ཅིག་དང་། ། ||| Strew some flower petals.
ཁྱོད་ནི་ལྷོ་ནུབ་འགྲོ་བ་ན། ། ||| When you travel to the southwest,
འཇིགས་པ་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| You will not experience fear.
གཞོན་ནུ་ནུབ་བྱང་གི་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་དྲུག་གི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཡོངས་དག་རབ་གནས་མངོན་པར་འཕགས་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the northwestern direction, as many buddha fields beyond this buddha field as there are grains of sand in six Ganges Rivers, there is a world system known as Purified, Steadfast, and Exalted.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་འདུལ་བ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as Tamer of Bodhisattvas presently resides, alive and well.
གཞོན་ནུ་དེ་བཞིན་གཤེགས་པ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་ནི་མི་གཙང་བ་མེད་པ། འཁྲིག་པ་མེད་པ། བུད་མེད་མེད་པ། ཚེར་མ་དང་། ||| Young man, that thus-gone one’s buddha field is without impurity, without sexual intercourse, without women, without thorns, pebbles, and gravel, and without the five degenerations.
གསེག་མ་དང་། གྱོ་མོ་མེད་པ། སྙིགས་མ་ལྔ་མེད་པ་ཡིན་ནོ། །གཞོན་ནུ་ཁྱོད་གང་གི་ཚེ་བྱ་བ་འགའ་ཞིག་གི་ཕྱིར་ནུབ་བྱང་གི་ཕྱོགས་སུ་འགྲོ་ན་ཚངས་པར་སྤྱོད་པ་ཡང་དག་པར་བླངས་ནས་ཕྱིས་ཁྱིམ་ནས་རྣམ་པར་མ་གཡེངས་པའི་ཡིད་ལ་བྱེད་པས་སོང་ཤིག་དང་། ||| Young man, when you set out in the northwestern direction to attend to some affairs, having first correctly observed pure conduct, depart from home with an undistracted mind.
གཞོན་ནུ་ཁྱོད་བྱ་བ་གང་གི་ཕྱིར་འགྲོ་བའི་བྱ་བ་དེ་འགྲུབ་པར་འགྱུར་ཞིང་ཁྱོད་ལ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| Young man, you will accomplish the purpose for which you embarked, and you will not fear anything.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
ཚངས་སྤྱོད་ཡང་དག་བླངས་བྱས་ཏེ། ། ||| “Having first correctly observed pure conduct,
ཕྱི་ནས་ཁྱིམ་ནས་སོང་ཤིག་དང་། ། ||| Depart from home.
ཁྱོད་ནི་གང་དང་གར་འགྲོ་ཡང་། ། ||| Wherever you travel,
ཆོམ་རྐུན་རྣམས་ཀྱིས་ཟིལ་མི་ནོན། ། ||| You will not be overpowered by bandits.
གཞོན་ནུ་སྟེང་གི་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་གང་གཱའི་ཀླུང་དྲུག་ཅུའི་བྱེ་མ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་དམིགས་པ་མེད་པ་ཡིད་ལ་བྱེད་པ་ཅན་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the direction of the zenith, as many buddha fields beyond this buddha field as there are grains of sand in sixty Ganges Rivers, there is a world system known as Possessing Nonreferential Application of Mind.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྐྲག་མེད་མུན་བྲལ་ཏིང་ངེ་འཛིན་མངོན་འཕགས་རྒྱལ་པོ་ཞེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། ། ||| There, the thus-gone, worthy, completely perfect buddha known as Exalted King of Meditative Concentration Fearless and Free from Darkness presently resides, alive and well.
གཞོན་ནུ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་ཕྱག་འཚལ་ཏེ་དྲན་པར་བྱས་ཤིང་མདུན་དུ་བྱས་ཏེ་འདུག་ཀྱང་རུང་། ||| Young man, pay homage to that thus-gone one, remembering and honoring him.
འགྲེང་ཡང་རུང་། སེམས་ཅན་ཐམས་ཅད་ལ་བྱམས་པས་ཁྱབ་པར་བྱས་ནས་རྫོགས་པར་བྱས་ཤིང་གནས་ན་ཁྱོད་ལ་འཇིགས་པ་གང་ནས་ཀྱང་འབྱུང་བར་མི་འགྱུར་རོ། ། ||| If, whether sitting or standing, you pervade all beings with loving kindness and then perfect and maintain it, you will not fear anything.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
ཁྱོད་ཀྱིས་མ་གཡེངས་ཡིད་བྱེད་ཀྱིས། ། ||| “Keeping the mind undistracted,
རྟག་ཏུ་རྒྱལ་བ་དེ་དྲན་ཞིང་། ། ||| Always remember that victorious one;
རྟག་ཏུ་བྱམས་པའི་སེམས་བྱོས་དང་། ། ||| Always develop the mind of loving kindness,
ཁྱོད་ལ་འཇིགས་པ་འབྱུང་མི་འགྱུར། ། ||| And you will not experience fear.
གཞོན་ནུ་འོག་གི་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་སངས་རྒྱས་ཀྱི་ཞིང་དགུ་ཁྲི་ཉིས་སྟོང་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་ཡོན་ཏན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ་ཞེས་བྱ་བ་ཞིག་ཡོད་དེ། ||| “Young man, in the direction of the nadir, ninety-two thousand buddha fields beyond this buddha field, there is a world system known as Adorned with All Qualities.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དང་པོ་སེམས་བསྐྱེད་ཐེ་ཙོམ་གཅོད་མཛད་ཉོན་མོངས་བསྐྱོད་ཅེས་བྱ་བ་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་སོ། །གཞོན་ནུ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དེ་ལ་བྱ་བ་རྩོམ་པ་ཐམས་ཅད་དང་། འགྲེང་ཡང་རུང་། ||| There, the thus-gone, worthy, completely perfect buddha known as Cutting Doubt and Shaking the Defilements Since First Generating the Mind of Awakening presently resides, alive and well.
འདུག་ཀྱང་རུང་། འཆག་ཀྱང་རུང་སྟེ། སྤྱོད་ལམ་ཐམས་ཅད་དུ་ཕྱག་འཚོལ་ཅིག །ཡིད་ལ་བྱོས་ཤིག་དང་། སེམས་ཅན་རྣམས་ལ་བྱམས་པའི་སེམས་དང་། ||| Young man, at the commencement of all actions and during all activities, whether you are standing, sitting, or moving about, pay homage to that thus-gone one, keep him in mind, and establish the mind of loving kindness for beings and the beneficent mind.
ཕན་པའི་སེམས་སྒྲུབས་ཤིག་དང་། གཞོན་ནུ་ཁྱོད་ལ་འཇིགས་པ་འབྱུང་བར་མི་འགྱུར་ཞིང་། དགོས་པ་ཐམས་ཅད་ཀྱང་འབད་མི་དགོས་པར་འགྲུབ་པར་འགྱུར་རོ། ། ||| Young man, you will not experience fear, and all your needs will be effortlessly accomplished.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་བཀའ་སྩལ་ཏོ། ། ||| Then, at that time, the Blessed One spoke this verse:
བྱ་བ་ཀུན་ལ་ཉིན་མཚན་དུ། ། ||| “In every activity, day and night,
སངས་རྒྱས་དེ་ནི་དྲན་བྱ་ཞིང་། ། ||| Remember that buddha
བྱང་ཆུབ་སེམས་ཀྱང་མ་གཏང་དང་། ། ||| And do not relinquish the mind of awakening,
ཁྱོད་ལ་འཇིགས་པ་འབྱུང་མི་འགྱུར། ། ||| And you will experience no fear.
གཞོན་ནུ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་དག་གི་མཚན་ལེགས་པར་བཟུང་བར་གྱིས་ཤིག །ལེགས་པར་བཅང་བར་གྱིས་ཤིག ། ||| “Young man, apprehend well the names of those thus-gone, worthy, completely perfect buddhas.
ལེགས་པར་ཀུན་ཆུབ་པར་གྱིས་ཤིག་དང་། འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་གང་ཅི་ཡང་རུང་བ་དེ་དག་ཐམས་ཅད་ཁྱོད་ལ་འབྱུང་བར་མི་འགྱུར་རོ། །དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། ||| Keep them well and comprehend them well, and you will not experience any of those fears, anxieties, and terrors.” Thus spoke the Blessed One to the youth.
བཅོམ་ལྡན་འདས་ལ་ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་དག་གི་མཚན་རྣམས་བཟུང་ལགས་ཏེ། ||| The Śākya youth Shining Countenance then said to the Blessed One, “Blessed One, I will apprehend the names of those thus-gone, worthy, completely perfect buddhas.
བཅོམ་ལྡན་འདས་བདག་ལ་འཇིག་རྟེན་གྱི་ཁམས་དེ་དག་མུན་པ་མ་མཆིས་ཤིང་། ||| For me, Blessed One, there is no darkness whatsoever in those world systems.
བཅོམ་ལྡན་འདས་བདག་གིས་འཇིག་རྟེན་གྱི་ཁམས་དེ་དག་དང་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་དག་ཀྱང་དཔེར་ན་དེ་བཞིན་གཤེགས་པ་ད་ལྟར་འཁོར་རྣམས་ལ་ཆོས་སྟོན་པ་བཞིན་དུ་མཐོང་ངོ་། ། ||| Blessed One, I see those world systems and those thus-gone, worthy, completely perfect buddhas, just as I now see the Thus-Gone One teaching the Dharma to the assemblies.”
དེ་ནས་འཁོར་དེ་ལས་ཤཱཀྱ་གཞོན་ནུ་བཞིན་རབ་གསལ་ལ་སོགས་པ་སྐྱེ་བོ་ཕལ་པོ་ཆེའི་ཚོགས་བཅོམ་ལྡན་འདས་ལ་བལྟ་བ་དང་། ཕྱག་འཚལ་བ་དང་། མཆོད་པ་དང་། རིམ་གྲོ་བྱ་བ་དང་། ||| Then, from among that gathering, the Śākya youth Shining Countenance and the others, the great host of beings, looked upon the Blessed One, paid homage, made offerings, and attended upon him.
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་མཉན་པའི་ཕྱིར་འཁོར་དེར་འདུས་པར་གྱུར་པའི་སྲོག་ཆགས་སྟོང་ཚང་བ་དེ་དག་ཐམས་ཅད་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་ཅག་གི་དོན་གྱི་སླད་དུ་དེ་བཞིན་གཤེགས་པས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པས་བཅོམ་ལྡན་འདས་བདག་ཅག་ལ་ཕྱོགས་དེ་དག་དང་འཇིག་རྟེན་གྱི་ཁམས་དེ་དག་ཀྱང་མུན་པ་མ་མཆིས་པར་གདའ་ལ། ||| Each of the thousand living beings who had assembled there to listen to this Dharma discourse then rose from their seats, draped their upper robes over one shoulder, knelt on their right knees, bowed toward the Blessed One with palms joined, and spoke these words to the Blessed One: “Blessed One, because the Thus-Gone One taught this Dharma discourse for our benefit, for us, Blessed One, those directions and those world systems appear without darkness.
བཅོམ་ལྡན་འདས་འཇིག་རྟེན་གྱི་ཁམས་དེ་དག་དང་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་ཀྱང་དཔེར་ན། ད་ལྟར་དེ་བཞིན་གཤེགས་པ་ཆོས་སྟོན་པ་འདི་བཞིན་དུ་གདའོ། །དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་བྱས་ནས། ||| Blessed One, those world systems and those blessed buddhas appear just like the Thus-Gone One teaching the Dharma right now.”
པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་དག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པ་ན། སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་མཚན་རྣམས་ཐོས་ནས་མིག་རྣམ་པར་དག་ཅིང་ཕྱོགས་བཅུ་དག་ན་འཇིག་རྟེན་གྱི་ཁམས་གང་དག་མཆིས་པ་དེ་དག་དང་། ||| Then, by the power of the Buddha, the venerable Śāriputra rose from his seat, draped his upper robe over one shoulder, knelt on his right knee, bowed toward the Blessed One with palms joined, and spoke these words to the Blessed One: “Blessed One, when you taught this Dharma discourse to those noble sons and daughters, having heard the names of those blessed buddhas, their eyes were purified, and they saw all the world systems in the ten directions and all those blessed buddhas.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་མཐོང་བ་དེ་དག་གི་མིག་རྣམ་པར་དག་པའི་བསོད་ནམས་དེ་དག་བཅོམ་ལྡན་འདས་ཅི་ལགས། ||| Blessed One, what is the merit by which they saw that and by which their eyes were purified?
ཚེ་རབས་གཞན་དུ་ཚེ་འཕོས་ན་ཡང་འབྲལ་བར་འགྱུར་རམ། ||| Will there still be fruit when they transmigrate to another life?
འོན་ཏེ་མི་འགྱུར། ||| Or will there not be?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཤཱ་རིའི་བུ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ལ་ཡང་དག་པར་ཞུགས་པའི་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་དག་འདི་ལྟར་མིག་རྣམ་པར་དག་པ་དེ་དག་ནི་སྒྲིབ་པ་མེད་པའི་ཚུལ་གྱིས་ཤིན་ཏུ་རྣམ་པར་དག་པ་ཉིད་དུ་འགྱུར་རོ། ། ||| “Śāriputra,” replied the Blessed One, “noble sons and daughters who have correctly entered the Bodhisattva Vehicle and whose eyes have been purified in this way will become exceedingly pure in accordance with their lack of obscurations.
ཤཱ་རིའི་བུ་ཁྱོད་ཀྱིས་སྲོག་ཆགས་སྟོང་ཚང་བ་འདི་མཐོང་ངམ། ||| Śāriputra, do you see all thousand of these living beings?
ཤཱ་རིའི་བུ་འདི་དག་ཐམས་ཅད་ནི་སངས་རྒྱས་རྣམས་ཀྱི་མཚན་བཟུང་བའི་དགེ་བའི་རྩ་བ་འདིས་རེ་རེས་ཀྱང་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་སྲིད་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དག་བྱེད་དུ་བཅུག་ནས་སྲིད་པ་ཐ་མ་དང་། ||| Each and every one of them, Śāriputra, because of the root of virtue of apprehending the names of these buddhas, will attain the life of a universal emperor as many times as there are grains of sand in the Ganges River.
ལུས་ཐ་མ་ལ་བྱང་ཆུབ་ཀྱི་ཚོགས་ཐམས་ཅད་རྫོགས་པར་བྱས་ཏེ། ||| In their last life and last body, all these beings will perfect all the accumulations of awakening.
བསྐལ་པ་གཅིག་ལ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་སྤྱན་དག་པས་བརྒྱན་པ་ཞེས་བྱ་བར་མཚན་འཐུན་པ་ཤ་སྟག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| In a single eon, every one of them will truly and completely awaken to unsurpassed, completely perfect awakening, all with the name of the thus-gone, worthy, completely perfect Buddha Ornamented with Pure Eyes.”
བཅོམ་ལྡན་འདས་ཀྱིས་རིགས་ཀྱི་བུ་དེ་རྣམས་ལུང་བསྟན་པ་བཤད་པ་འདི་བཀའ་སྩལ་མ་ཐག་ཏུ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་རྣམ་པ་དྲུག་ཏུ་གཡོས་པར་གྱུར་ཏེ། འགུལ་རབ་ཏུ་འགུལ། ཀུན་ཏུ་རབ་ཏུ་འགུལ། ||| As soon as the Blessed One had given his prophecy to those noble sons and daughters, the trichiliocosm shook in six ways: it quaked, quaked deeply, and quaked violently;
གཡོས་རབ་ཏུ་གཡོས། ཀུན་ཏུ་རབ་ཏུ་གཡོས། འུར་འུར་རབ་ཏུ་འུར་འུར། ཀུན་ཏུ་རབ་ཏུ་འུར་འུར། ལྡེག་རབ་ཏུ་ལྡེག ། ||| it shook, shook deeply, and shook violently;
ཀུན་ཏུ་རབ་ཏུ་ལྡེག །ཆེམ་ཆེམ་རབ་ཏུ་ཆེམ་ཆེམ། ཀུན་ཏུ་རབ་ཏུ་ཆེམ་ཆེམ། འཁྲུགས་རབ་ཏུ་འཁྲུགས། ཀུན་ཏུ་རབ་ཏུ་འཁྲུགས་སོ། ། ||| and it clamored, clamored deeply, and clamored violently.
ས་བླའི་ལྷ་རྣམས་ཀྱིས་ཀྱང་ཀྱེ་མ་གྲོགས་པོ་དག་འདི་ལྟར་རིགས་ཀྱི་བུ་འདི་རྣམས་ཀྱིས་དེ་བཞིན་གཤེགས་པའི་མཚན་བཟུང་བ་ཙམ་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཡོངས་སུ་བཟུང་ཞིང་ཆོས་ཐམས་ཅད་ཇི་ལྟ་བ་བཞིན་དུ་མཁྱེན་པས་དོན་ཐམས་ཅད་ཐུགས་སུ་ཆུད་པའི་དེ་བཞིན་གཤེགས་པར་འགྱུར་བ་ནི་ངོ་མཚར་ཆེ་སྟེ། ||| Even the gods who move above the earth proclaimed, “Friends! It is amazing that by merely apprehending the names of these thus-gone ones these noble sons and daughters will have taken hold of unsurpassed, completely perfect awakening and become thus-gone ones who have understood everything through knowing all phenomena just as they are.
སུ་ཞིག་སངས་རྒྱས་ལ་དད་པར་མི་འགྱུར་ཞེས་སྒྲ་བསྒྲགས་སོ། ། ||| Who would not then develop faith in the Buddha?”
རྒྱལ་ཆེན་བཞིའི་རིས་ཀྱི་ལྷ་རྣམས་དང་། སུམ་ཅུ་རྩ་གསུམ་པ་རྣམས་དང་། འཐབ་བྲལ་བ་རྣམས་དང་། དགའ་ལྡན་པ་རྣམས་དང་། འཕྲུལ་དགའ་བ་རྣམས་དང་། གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་བདུད་ཀྱི་རིས་རྣམས་དང་། ཚངས་རིས་རྣམས་དང་། ||| Having heard the cry of the gods who move above the earth, the gods belonging to the class of the Four Great Kings, those of the Heaven of the Thirty-Three, those of the Heaven Free from Strife, those of the Heaven of Joy, those of the Heaven of Delighting in Emanations, those of the māra class who reside in the Heaven of Making Use of Others’ Emanations, those of the Brahmā Heaven, those of the Heaven of the High Priests of Brahmā, and those of the Heaven of Great Brahmā, up to the gods of the Unexcelled Heaven, were delighted and overjoyed.
ཚངས་པའི་མདུན་ན་འདོན་རྣམས་དང་། ||| Having become joyful and happy, they cried, “Friends!
ཚངས་པ་ཆེན་པོ་རྣམས་ནས་འོག་མིན་གྱི་ལྷ་རྣམས་ཀྱི་བར་གྱིས་ས་བླའི་ལྷ་རྣམས་ཀྱིས་སྒྲ་དེ་ཐོས་ནས་ཡི་རངས་ཤིང་རབ་ཏུ་དགའ་ལ་དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ནས་ཚིག་འདི་སྐད་ཅེས་ཀྱེ་མ་གྲོགས་པོ་དག་འདི་ལྟར་རིགས་ཀྱི་བུ་འདི་རྣམས་ཀྱིས་དེ་བཞིན་གཤེགས་པའི་མཚན་བཟུང་བ་ཙམ་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཡོངས་སུ་བཟུང་ཞིང་ཆོས་ཐམས་ཅད་ཇི་ལྟ་བ་བཞིན་དུ་མཁྱེན་པས་དོན་ཐམས་ཅད་ཐུགས་སུ་ཆུད་པའི་དེ་བཞིན་གཤེགས་པར་འགྱུར་བ་ནི་ངོ་མཚར་ཆེ་སྟེ། ||| It is amazing that in this way, by merely apprehending the names of these thus-gone ones, these noble sons and daughters will have taken hold of unsurpassed, completely perfect awakening and become thus-gone ones who have understood everything through knowing all phenomena just as they are.
སུ་ཞིག་སངས་རྒྱས་ལ་དད་པར་མི་འགྱུར་ཞེས་སྨྲས་སོ། །དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ||| Who would not then develop faith in the Buddha?”
ཀུན་དགའ་བོ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ལ་ཡང་དག་པར་ཞུགས་པའི་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་འཛིན་པར་བྱེད། འཆང་བར་བྱེད། ཀློག་པར་བྱེད། ཀུན་ཆུབ་པར་བྱེད་ཅིང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པར་བྱེད་པ་དང་། ཐ་ན་གླེགས་བམ་ལ་བྲིས་ཏེ་འཆང་བར་བྱེད་ན། རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དེ་དག་སངས་རྒྱས་ཀྱིས་བྱིན་གྱིས་བརླབས་པ་དང་། ||| The Blessed One then said to the venerable Ānanda, “Ānanda, any noble sons or daughters having correctly entered the Bodhisattva Vehicle who hear this Dharma discourse and then remember it, uphold it, read it, master it, correctly teach it widely to others, or even so much as write it down and keep it with them—those noble sons or daughters are blessed by the Buddha.
སྔོན་གྱི་རྒྱལ་བ་ལ་ལྷག་པར་བྱ་བ་བྱས་པ་ཡིན་པར་རིག་པར་བྱའོ། ། ||| Regard them as having served previous victorious ones.
དེ་དག་ལ་འཆི་བའི་འཇིགས་པ་མི་འབྱུང་བར་རིག་པར་བྱའོ། ། ||| Regard them as those who will not fear death.
དེ་དག་གཤིས་ངན་དུ་འཆི་བར་མི་འགྱུར་རོ། ། ||| They will not die in a state of distress.
དེ་དག་ཕ་རོལ་གྱི་གནོད་པས་འཆི་བར་མི་འགྱུར་རོ། ། ||| They will not die from the harms of others.
དེ་དག་ལ་ཆུ་དང་། ཆོམ་རྐུན་དང་། དུག་དང་། མཚོན་གྱིས་འཇིགས་པ་མི་འབྱུང་བར་ཡིད་ཆེས་པར་བྱའོ། ། ||| Trust that they will not experience fear of water, bandits, poison, or weapons.”
དེ་ནས་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་བསྲུང་བ་ལུང་བསྟན་པ་འདི་ལྟ་བུ་འདི་ཤེས་ནས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་གཟུང་བའི་ཕྱིར་ལྷའི་བུ་སྟོང་ཚང་བས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། ||| Then Śakra, lord of the gods, the protector of the bodhisattva great beings, having heard such a prophecy as this, in order to maintain this Dharma discourse, went to where the Blessed One was, surrounded and escorted by a full thousand gods.
