འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
རིགས་ཀྱི་བུ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དང་འབྲེལ་བ་བསོད་ནམས་དང་ཡེ་ཤེས་ཡངས་པ་ཡོངས་སུ་བཟུང་བའི་དགེ་བའི་རྩ་བ་དག་ནི་ ||| Noble son, the roots of virtue that result from engaging with vast merit and wisdom while in possession of the bodhisattvas’ trust in the Great Vehicle
འཇིག་རྟེན་པའི་དགེ་བའི་རྩ་བ་འབའ་ཞིག་ལས་ཁྱད་པར་དུ་འཕགས་པ་མ་ཡིན་གྱི། ||| are therefore not only more exalted than worldly roots of virtue,
འཇིག་རྟེན་ལས་འདས་པའི་དགེ་བའི་རྩ་བ་དག་ལས་ཀྱང་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ཏེ ||| they are also superior to transcendent roots of virtue.
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཡོངས་སུ་གཟུང་བའི་མཚན་ཉིད་དོ། ། ||| This, noble son, is the characteristic of possession with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དང་འབྲེལ་བ་བསོད་ནམས་དང་ཡེ་ཤེས་ཡོངས་སུ་བཟུང་བའི་དགེ་བའི་རྩ་བ་ནི་མཐུ་ཆེ་བ་བླ་ན་མ་མཆིས་པ་སྟེ་ངོ་མཚར་ཏོ། ། ||| “Blessed One, the roots of virtue that are embraced by merit and wisdom due to their link with the bodhisattvas’ trust in the Great Vehicle are of unsurpassed power!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One said,
རིགས་ཀྱི་བུ་དེ་དེ་བཞིན་ཏེ། ||| “Noble son, yes, indeed.
ཇི་ཙམ་དུ་དགེ་བའི་རྩ་བ་དོན་དུ་གཉེར་བའི་བྱང་ཆུབ་སེམས་དཔའ་དགེ་བའི་རྩ་བ་རྣམ་པ་འདི་ལྟ་བུ་དག་ཡོངས་སུ་གཟུང་བ་ལ་བརྩོན་པར་བྱའོ། ། ||| As much as possible, bodhisattvas who strive for roots of virtue should apply themselves to possess such roots of virtue.
དགེ་བའི་རྩ་བ་དེ་དག་ནི་འཇིག་རྟེན་པ་དང་། འཇིག་རྟེན་ལས་འདས་པའི་དགེ་བའི་རྩ་བ་ཐམས་ཅད་ཟིལ་གྱིས་མནན་ནས་འཇིག་རྟེན་པའི་ཕུན་སུམ་ཚོགས་པ་ཐམས་ཅད་རྗེས་སུ་སྦྱིན་པའོ། ། ||| These roots of virtue outshine all other roots of virtue, whether worldly or transcendent, and bestow all the splendors of the world.
འབྲས་བུ་རབ་ཏུ་སྦྱིན་པ་དང་། དེའི་རྒྱུས་ཀྱང་དགོས་པ་ཡིན་ཏེ། ||| They accomplish the fruition and are even a necessary cause for that.
མཐར་ཡང་མི་ཟད་པར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་སྒྲུབ་བོ། ། ||| In the end, they accomplish unexcelled and completely perfect awakening that is beyond exhaustion.
སེམས་ཅན་ཚད་མེད་པ་དག་ཀྱང་ཐེག་པ་གསུམ་གྱིས་སྡུག་བསྔལ་ཐམས་ཅད་སྤོང་ཞིང་ངེས་པར་འབྱུང་བར་བྱེད་པར་འགྱུར་རོ། ། ||| Moreover, by means of the three vehicles, they allow limitless beings to leave all suffering behind and to find deliverance.”
བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་གནས་ཀྱི་མཚན་ཉིད་གང་ལགས། ||| “Blessed One, how is the basis a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་གནས་སོ། ། ||| “Noble son, the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle is the basis for all beings.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that so?
འདི་ལྟར་ཐེག་པ་ཆེན་པོ་བསྟན་པ་སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པ་དང་། བདེ་བའི་ཐབས་ཀྱིས་རབ་ཏུ་ཕྱེ་བ་དེ་ལ་དམིགས་ནས་ ||| The teaching of the Great Vehicle is distinguished in terms of its skillful methods that benefit all beings and bring them happiness.
བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་སྐྱེས་སོ། ། ||| When bodhisattvas notice that fact, they develop trust in the Great Vehicle.
དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་བསྟན་པ་དེ་ལ་དད་པས་གང་བསྟན་པ་ལ་དགའ་བ་གནས་པའི་ ||| As the bodhisattvas trust the teaching, it causes them to joyfully follow that teaching.
རྒྱུ་དེས་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཕན་པ་དང་བདེ་བའི་གནས་སུ་རིག་པར་བྱའོ། ། ||| In this way, the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle becomes a basis for the benefit and happiness of all beings.
རིགས་ཀྱི་བུ་ཇི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པ་སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པ་དང་བདེ་བ་འབྱུང་བ་དེ་ལྟར་ཕ་མ་དང་། བུ་དང་། མཛའ་བོ་དང་། རྩ་ལག་དང་། གཉེན་གྱི་ཚོགས་ནི་གཉེན་གྱི་ཚོགས་ལ་ཕན་པ་དང་བདེ་བ་འབྱུང་བ་མ་ཡིན་ནོ། ། ||| “Noble son, when a bodhisattva great being gains trust in the Great Vehicle and begins to benefit all beings, it is unlike the assistance that parents, children, lovers, friends, and relatives show.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that so?
ཕ་མ་ལ་སོགས་པ་གཉེན་འདབ་ཀྱི་ཚོགས་དེ་ནི་གཉེན་འདབ་ཀྱི་ཚོགས་ལ་ཕན་པ་མ་ཡིན་པ་ལ་ཕན་པར་འདུ་ཤེས་ཤིང་ཕན་པ་ལ་ནི་ཕན་པ་མ་ཡིན་པར་འདུ་ཤེས་པ་ཡིན། ||| Friends and relatives, such as one’s parents, mistake what actually harms their loved ones for being something beneficial, while that which is actually helpful is thought to be harmful.
བདེ་བ་མ་ཡིན་པ་ལ་བདེ་བར་འདུ་ཤེས་ཤིང་བདེ་བ་ལ་ནི་བདེ་བ་མ་ཡིན་པར་འདུ་ཤེས་པ་ཡིན་ནོ། ། ||| Similarly, they mistake the unpleasant for the pleasant and the pleasant for the unpleasant.
ཕན་པ་དང་བདེ་བ་དེ་གཉི་ག་ལ་ཡང་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པས་ཕན་པ་མ་ཡིན་པ་ལ་ཕན་པར་སྒྲུབ་ཅིང་ཕན་པ་ལ་ནི་ཕན་པ་མ་ཡིན་པར་བསྒྲུབ་པ་ཡིན། ||| In this way, they misunderstand what brings benefit and happiness, thinking that the harmful is helpful and the helpful is harmful.
བདེ་བ་མ་ཡིན་པ་ལ་བདེ་བར་སྒྲུབ་ཅིང་བདེ་བ་ལ་ནི་བདེ་བ་མ་ཡིན་པར་བསྒྲུབ་པ་ཡིན་ནོ། ། ||| Similarly, they think that misery is happiness and happiness is misery.
བྱང་ཆུབ་སེམས་དཔའ་ནི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ལ་བརྟེན་ནས་གཉེན་འདབ་ལྟ་བུའི་སེམས་ཅན་ཐམས་ཅད་ལ་དམ་པའི་ཆོས་སྟོན་པས་ ||| “The bodhisattvas, however, rely on their trust in the Great Vehicle and teach the sacred Dharma to all beings, who are like their relatives.
སེམས་ཅན་དེ་དག་ལ་ཕན་པ་ལའང་ཕན་པར་འདུ་ཤེས་ཤིང་ཕན་པ་མ་ཡིན་པ་ལའང་ཕན་པ་མ་ཡིན་པར་འདུ་ཤེས་པ་ཡིན། ||| In that way, since they perceive clearly what is helpful and harmful, they are able to help everyone.
བདེ་བ་ལའང་བདེ་བར་འདུ་ཤེས་ཤིང་སྡུག་བསྔལ་ལ་ཡང་སྡུག་བསྔལ་དུ་འདུ་ཤེས་པ་ཡིན་ནོ། ། ||| Likewise, they know precisely what happiness and suffering are.
དེ་ལྟར་ཕན་པ་དང་བདེ་བ་ལ་ཕྱིན་ཅི་མ་ལོག་པའི་བློ་དང་ལྡན་པས་ཕན་པ་གང་ཡིན་པ་དེ་ནི་སྒྲུབ་བོ། ། ||| Since they know about welfare and happiness without any error, they can achieve what is beneficial,
གང་ཕན་པ་མ་ཡིན་པ་དེ་ནི་མི་སྒྲུབ་བོ། ། ||| avoid all that is harmful,
བདེ་བ་གང་ཡིན་པ་དེ་ནི་སྒྲུབ་བོ། ། ||| accomplish what brings happiness,
སྡུག་བསྔལ་གང་ཡིན་པ་དེ་ནི་མི་སྒྲུབ་བོ། ། ||| and avoid all that causes suffering.
དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཕན་པ་དང་བདེ་བའི་གནས་ཡིན་པས་འཇིག་རྟེན་པ་ཐམས་ཅད་ལས་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ནོ། ། ||| Therefore, trust in the Great Vehicle of the bodhisattvas is the basis for the benefit and happiness of all beings, and as such it is more exalted than anything else in the world.
རིགས་ཀྱི་བུ་འཇིག་རྟེན་པ་རྣམས་ལས་ཁྱད་པར་དུ་འཕགས་པར་ཡང་མ་ཟད་དེ། ||| “Noble son, not only is it more exalted than all worldly things,
འཇིག་རྟེན་ལས་འདས་པ་རྣམས་ལས་ཀྱང་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ནོ། ། ||| it is also more exalted than anything that is beyond the world.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
འདི་ལྟར་ཉན་ཐོས་དང་རང་སངས་རྒྱས་རྣམས་ནི་བྱང་ཆུབ་སེམས་དཔའི་རྗེས་སུ་འཇུག་ཅིང་སེམས་ཅན་རྣམས་ལ་ཕན་པ་དང་བདེ་བ་བྱེད་ཀྱི། རང་གི་སྙིང་རྗེས་ནི་མ་ཡིན་ཏེ། ཤིན་ཏུ་བྱེད་པ་ཡང་མ་ཡིན་ནོ། ། ||| Although the hearers and solitary buddhas do emulate the bodhisattvas and benefit others, they do not personally feel compassion, nor do they assist on a vast scale.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཕན་པ་དང་བདེ་བའི་གནས་གང་ཡིན་པ་དེ་ནི་རང་གི་སྙིང་རྗེ་དང་ཤིན་ཏུ་བྱེད་པས་ཡིན་ཏེ ||| On the other hand, the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle benefits others on a vast scale due to their personal compassion.
བྱ་དཀའ་བ་ཚད་མེད་པ་ལ་ཇི་མི་སྙམ་པས་འཇུག་གོ། ། ||| It performs limitless difficult deeds without any hesitation.
དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཕན་པ་དང་བདེ་བའི་གནས་ནི་འཇིག་རྟེན་ལས་འདས་པའི་ཕན་པ་དང་བདེ་བའི་གནས་དང་། འཇིག་རྟེན་པ་རྣམས་ལས་ཀྱང་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་ཏེ ||| Therefore, the basis for the bodhisattvas’ assistance is superior to the basis from which both supramundane and mundane beings give assistance.
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་གནས་ཀྱི་མཚན་ཉིད་དུ་རིག་པར་བྱའོ། ། ||| This, noble son, is the characteristic of the basis with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་ཡང་དག་པར་འདའ་བའི་མཚན་ཉིད་གང་ལགས། ||| “Blessed One, how is transcendence a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ནི་ངན་འགྲོའི་སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོ་དང་། ཡི་དགས་ཐམས་ཅད་ལས་ཡང་དག་པར་འདས་པ་ཡིན་ནོ། ། ||| “Noble son, the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle causes beings in the lower realms to transcend all states of hell, the animal realm, and the hungry spirit realm.”
བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་ས་ལ་ཞུགས་པ་ལས་རིང་དུ་གནས་པ། ལས་དང་པོ་པ་མོས་པས་སྤྱོད་པ་ལ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ངན་འགྲོ་ཐམས་ཅད་ལས་ཡང་དག་པར་འདའ་བར་འགྱུར་བ་ཇི་ལྟ་བུ་ལགས། ||| “Blessed One, how can this trust take a novice bodhisattva, who has entered the level of devoted engagement but is still far from the bodhisattva levels, beyond all lower realms?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ས་ལ་ཞུགས་པ་རྣམས་ཉིད་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པས་ངན་འགྲོ་ལས་ཡང་དག་པར་འདའ་བར་འགྱུར་ཞིང་བདེ་འགྲོའི་རྐྱེན་གཅིག་ནས་གཅིག་ཏུ་བརྒྱུད་པ་ཐོབ་པ་མ་ཡིན་གྱི། ||| “Noble son, one should understand that it is not only those who dwell on the bodhisattva levels for the sake of the Great Vehicle who are freed from the lower realms and obtain successive rebirths in the higher realms due to their trust in the Great Vehicle.
མ་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པས་ཀྱང་ངན་འགྲོ་ལས་ཡང་དག་པར་འདའ་བར་རིག་པར་བྱའོ། ། ||| Rather, those who have not yet attained these are freed from the lower realms due to their trust in the Great Vehicle.
རིགས་ཀྱི་བུ་འདི་ལྟར་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་གཅིག་ནས་གཅིག་ཏུ་བརྒྱུད་པས་དུས་རིང་པོ་ན་ཚེ་རབས་ཐམས་ཅད་དུ་སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་འགྲོགས་པ་འཐོབ་བོ། ། ||| Noble son, bodhisattvas who have attained such trust in the Great Vehicle that allows them to accomplish the Great Vehicle will continuously meet with buddhas and bodhisattvas in all their future lives.
དེ་བས་ན་དམ་པའི་ཆོས་མཉན་པ་དང་། ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པའི་རྗེས་སུ་འགྲོ་བའི་ཡང་དག་པའི་ནན་ཏན་ལ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་ ||| Therefore, bodhisattvas who apply themselves to listening to the Dharma and correctly reflecting on it
གང་དུ་རྟག་པར་རྒྱུན་དུ་བྱང་ཆུབ་ཀྱི་ཚོགས་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་དེར་སྐྱེ་བར་འགྱུར་ཏེ ||| will always take birth in circumstances where they can perfect the accumulations for awakening.
རིགས་ཀྱི་བུ་རྣམ་གྲངས་འདིས་ན་བྱང་ཆུབ་སེམས་དཔའ་བདེ་འགྲོ་ཐམས་ཅད་ལས་ཀྱང་ཡང་དག་པར་འདའ་བར་འགྱུར་བ་ཡིན་ན་ངན་འགྲོ་ལས་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| Noble son, since bodhisattvas transcend the higher realms by means of this teaching, what need is there to speak of the lower realms?”
གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་ཅི་ལགས། ||| “Blessed One, please explain that.
བྱང་ཆུབ་སེམས་དཔའ་ངན་འགྲོ་ལས་ཡང་དག་པར་འདས་པ་ཉིད་ཅེས་བགྱིའི། ||| We speak of bodhisattvas going beyond the lower realms,
ཅི་བདེ་འགྲོ་ལས་ཡང་དག་པར་འདས་པ་ཞེས་མི་བགྱི། ||| but should we not speak of them going beyond the higher realms?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པ་ཁ་ཅིག་ནི་བདེ་འགྲོ་ལས་ཀྱང་ཡང་དག་པར་འདས་པར་རིག་པར་བྱའོ། ||| “Noble son, bodhisattvas who have attained trust in the Great Vehicle are certainly freed from the lower realms.
འདི་ལྟར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་ལས་དང་། ཉོན་མོངས་པ་དང་། ལས་ཀྱི་རང་དབང་གིས་སྐྱེ་བ་གང་ཡིན་པ་དང་། སེམས་ཅན་གྱི་དོན་ཆུང་ངུའི་དོན་གྱིས་སྐྱེ་བ་གང་ཡིན་པ་དེ་དག་ལས་ཀྱང་རིམ་གྱིས་ཡང་དག་པར་འདའོ། ། ||| In this way, bodhisattvas who have attained trust in the Great Vehicle will gradually go beyond those births that are caused by karma and disturbing emotions, those births that are dictated by karma alone, and those births that serve only a lesser purpose for beings.
དེ་ལྟ་མོད་ཀྱིས་འོན་ཀྱང་རིགས་ཀྱི་བུ་རྣམ་གྲངས་འདིས་ན་བྱང་ཆུབ་སེམས་དཔའི་བདེ་འགྲོ་ཡང་ངན་འགྲོ་ཡིན་ལ་ངན་འགྲོ་ཡང་བདེ་འགྲོ་ཡིན་པར་རིག་པར་བྱའོ། ། ||| Nevertheless, noble son, through this teaching, a bodhisattva understands that the higher realms are in fact the lower realms, while the lower realms are understood to be the higher realms.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའི་གཞན་གྱི་དབང་གང་ཡིན་པ་དང་། དོན་ཆུང་ངུའི་བདེ་འགྲོའི་གང་ཡིན་པ་དེ་ནི་ངན་འགྲོ་ཡིན་ནོ། ། ||| Noble son, when a bodhisattva who lacks autonomy is born into the higher realms with little scope for serving beings, these should then be considered to be the lower realms.
སྨོན་ལམ་གྱི་དབང་གིས་སྙིང་རྗེ་ཆེན་པོ་སྔོན་དུ་འགྲོ་བའི་སེམས་ཀྱིས་སེམས་ཅན་རྣམས་འདུལ་བའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོ་དང་། ཡི་དགས་རྣམས་སུ་སྐྱེ་བ་གང་ཡིན་པ་དེ་ནི་དེའི་བདེ་འགྲོར་རིག་པར་བྱའོ། ། ||| On the other hand, through the power of aspiration and motivated by their great compassion and the wish to guide beings, bodhisattvas may take birth among hell beings, animals, and hungry spirits. When that happens, these should then be considered to be higher realms.”
གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་ཅི་ལགས། ||| “Blessed One, please tell me,
བྱང་ཆུབ་སེམས་དཔའ་སྨོན་ལམ་གྱི་དབང་གིས་སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོ་དང་། ཡི་དགས་རྣམས་སུ་སྐྱེ་བ་ཡང་དེ་བཞིན་དུ་སྡུག་བསྔལ་བའམ་རྨོངས་པ་ལགས་སམ། ||| when bodhisattvas are born among hell beings, animals, and hungry spirits through the power of aspiration, do they experience suffering or delusion?”
བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་དེ་ནི་མ་ཡིན་ཏེ་ ||| “No, noble son, they do not.
དེ་ལྟར་མི་བལྟའོ། ། ||| You should not see it in that way.
བྱང་ཆུབ་སེམས་དཔའ་སྨོན་ལམ་གྱི་དབང་གིས་ངན་འགྲོ་རྣམས་སུ་སྐྱེ་བ་ནི་བསམ་གཏན་བཞིའི་ས་པའི་བདེ་བ་ལས་ཤིན་ཏུ་འདས་ནས་བདེ་བ་དང་ལྡན་པར་གནས་ཏེ། ||| Bodhisattvas who are born in the lower realms through the power of aspiration have surpassed the happiness of the four states of concentration, and so they abide joyfully.
འཇིག་རྟེན་པ་ཐམས་ཅད་དང་། འཇིག་རྟེན་ལས་འདས་པ་དམན་པའི་ཤེས་རབ་ལས་ཀྱང་ཤིན་ཏུ་འདས་ནས་ཤེས་རབ་ཀྱི་རྒྱུ་བ་ལ་འཇུག་གོ། ། ||| They are far beyond any worldly knowledgeand even the lesser transcendent knowledge. As such, they have entered the stream of the highest knowledge.
དེ་བས་ན་དེ་དེ་ན་སེམས་ཅན་གྱི་དོན་ལ་བརྩོན་པར་རིག་པར་བྱའོ། ། ||| Therefore, you should understand that they are striving for the well-being of beings.
ངས་དེ་ལས་དགོངས་ཏེ་སེམས་ཅན་རྣམས་ཀྱི་ལས་ཀྱི་རྒྱུད་ཀྱང་བསམ་གྱིས་མི་ཁྱབ་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ལྟ་སྨོས་ཀྱང་ཅི་དགོས་ཞེས་གསུངས་སོ། ། ||| This is why I have said that if the stream of actions of a being is inconceivable, what need is there to consider that of a bodhisattva?
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་ཡང་དག་པར་འདའ་བའི་མཚན་ཉིད་དོ། ། ||| This, noble son, is the characteristic of transcendence with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་རྩ་བའི་མཚན་ཉིད་གང་ལགས། ||| “Blessed One, how is the root a characteristic of the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One said,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་དེ་ནི་སངས་རྒྱས་ཀྱི་ཆོས་ཚད་མེད་པ་ཐམས་ཅད་ཀྱི་ས་བོན་ཡིན་པའི་ཕྱིར་ ||| “Noble son, trust in the Great Vehicle of the bodhisattvas is the seed of all of the limitless qualities of the Buddha.
སངས་རྒྱས་ཀྱི་ཆོས་ཚད་མེད་པ་ཐམས་ཅད་ཀྱི་རྩ་བ་ཉིད་དུ་རིག་པར་བྱའོ། ། ||| It should also be understood as being the root of all the limitless qualities of a buddha.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that so?
སངས་རྒྱས་ཀྱི་ཆོས་སྣ་ཚོགས་ཚད་མེད་པ་ཇི་སྙེད་ཐེག་པ་ཆེན་པོ་ལ་སྣང་བ་དང་། ||| All the limitless qualities of the Buddha are found within and brought forth from the Great Vehicle.
རབ་ཏུ་ཕྱེ་བ་དེ་དག་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཐོབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་ཉན་ཏོ། །ཀུན་ཏུ་འཛིན་ཏོ། །དམིགས་པ་དེས་དད་པ་སྐྱེད་དོ། ། ||| The bodhisattvas who have attained trust in the Great Vehicle hear them and apprehend them, and, as they observe the teachings in this way, their trust increases.
དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་དེའི་དད་པ་སྐྱེ་བའི་དམིགས་པ་ཇི་སྙེད་པར་ས་བོན་ཡོངས་སུ་འཛིན་པ་དང་། ས་བོན་ལ་སོགས་པ་ཡང་དེ་སྙེད་དུ་གནས་སོ། ། ||| In this regard all the bodhisattvas’ observations that produce faith contain seeds, and there are as many seeds as there are those observations.
