འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
རང་གི་འཁོར་གྱི་སྲོག་ཆགས་བརྒྱད་ཁྲི་བཞི་སྟོང་ཡང་བྱང་ཆུབ་ཏུ་ཡོངས་སུ་སྨིན་པར་བྱས་སོ། ། ||| He has also ripened eighty-four thousand beings from his own retinue toward awakening.
ཤེས་རབ་དང་ཐབས་ཀྱི་ཡེ་ཤེས་འདི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་གང་དང་གང་གི་ཚེ་འཁོར་གྱི་ཆེ་བ་ཉིད་ཐོབ་པ་དེ་དང་དེའི་ཚེ། སེམས་ཅན་གྲངས་མེད་དཔག་ཏུ་མེད་པ་ཡོངས་སུ་སྨིན་པར་བྱེད་དོ། ། ||| Whenever bodhisattvas who possess such wisdom of insight and skill have a following of some magnitude, countless beings are ripened.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ་དཔེར་ན་རྒྱུ་མེད་པར་མེ་མི་འབར་རོ། ། ||| Noble son, a fire cannot blaze without kindling.
དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དབེན་པ་ན་གནས་པ་ཡང་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་བ་མི་འབར་རོ། ། ||| Likewise, when bodhisattva great beings remain in solitude, the ripening of beings cannot blaze.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ་དཔེར་ན་རྒྱུ་ཡོད་ན་མེ་འབར་རོ། ། ||| Noble son, a fire blazes when it is fueled by substances to burn.
རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྐྱེ་བོ་ཕལ་པོ་ཆེའི་ནང་ན་འདུག་ན། སེམས་ཅན་ཡོངས་སུ་སྦྱིན་པར་བྱ་བ་འབར་རོ། ། ||| Likewise, when bodhisattva great beings reside among ordinary beings, the ripening of those beings will blaze.
རིགས་ཀྱི་བུ་དེའི་ཕྱིར་རྣམ་གྲངས་འདིས་འདི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་ཇི་ལྟ་ཇི་ལྟ་བུར་ཡུལ་དང་འཁོར་ཆེན་པོ་འབྱོར་པར་གྱུར་པ། དེ་ལྟ་དེ་ལྟ་བུར་སེམས་ཅན་དཔག་ཏུ་མེད་པ་ཡོངས་སུ་སྨིན་པར་བྱེད་པར་རིག་པར་བྱའོ། ། ||| Noble son, through this analogy, you should understand that bodhisattvas ripen countless beings in proportion to the magnitude of the territory and the following they command.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་ལྷའི་ཅོད་པན་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| When the Blessed One had said those words, the bodhisattva Divyamauli asked him,
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་རྒྱུད་ཀྱི་སྒྲ་དང་། གླུའི་སྒྲ་དང་། སིལ་སྙན་དང་། ཕེག་རྡོབ་པ་བགྱིས་པས་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བགྱིད། ||| “Blessed One, how does the kiṃnara king Druma ripen beings through the tunes of those lutes, songs, instruments, and drums?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
རིགས་ཀྱི་བུ་མིའམ་ཅི་དང་། དྲི་ཟ་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་གླུ་དང་། རོལ་མོའི་དབྱངས་སྒྲ་ལ་མོས་པ་རྣམས་ལ་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་གང་གི་ཚེ་པི་བང་གི་སྒྲ་ཐོས་པར་བྱེད་ཅིང་སིལ་སྙན་དང་། གླུ་དབྱངས་སྦྱོར་བ་དེ་ན་མིའམ་ཅི་དང་། དྲི་ཟ་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དེ་དག་དགའ་བ་དང་། རབ་ཏུ་མགུ་བ་ཆེན་པོ་འཐོབ་བོ། ། ||| “Noble son,” “when the kiṃnara king Druma plays his lute, accompanied by music and song, to the kiṃnaras, gandharvas, mahoragas, and those who are inspired by the sound of music, those kiṃnaras, gandharvas, and mahoragas become delighted and thrilled.
དེ་དག་དགའ་བ་དང་། མོས་པ་དང་། རབ་ཏུ་མགུ་བ་ཐོབ་ནས་རྒྱུད་ཀྱི་སྒྲ་དང་། སིལ་སྙན་གྱི་སྒྲ་དང་། གླུ་དབྱངས་ཀྱི་སྒྲ་དེ་དག་ལས་སངས་རྒྱས་ཀྱི་སྒྲ་འབྱུང་ངོ་། །ཆོས་ཀྱི་སྒྲ་དང་དགེ་འདུན་གྱི་སྒྲ་འབྱུང་ངོ་། ། ||| As they become delighted, inspired, and thrilled, the sounds coming from the lute, the instruments, and the songs ring out with the words ‘Buddha,’ ‘Dharma,’ and ‘Saṅgha.’
བྱང་ཆུབ་ཀྱི་སེམས་ལ་དགའ་བ་དང་། ཐམས་ཅད་མཁྱེན་པའི་སེམས་བསྐྱེད་པར་སྦྱོར་བའི་སྒྲ་འབྱུང་ངོ་། །སྦྱིན་པ་དང་། ཚུལ་ཁྲིམས་དང་། བཟོད་པ་དང་། བརྩོན་འགྲུས་དང་། བསམ་གཏན་དང་། ཤེས་རབ་ཀྱི་སྒྲ་འབྱུང་ངོ་། །བྱམས་པ་དང་། སྙིང་རྗེ་དང་། དགའ་བ་དང་། བཏང་སྙོམས་ཀྱི་སྒྲ་དང་། དྲན་པ་ཉེ་བར་གཞག་པ་དང་། ཡང་དག་པར་སྤོང་བ་དང་། རྫུ་འཕྲུལ་གྱི་རྐང་པ་དང་། དབང་པོ་དང་། སྟོབས་དང་། བྱང་ཆུབ་ཀྱི་ཡན་ལག་དང་། ལམ་དང་ཞི་གནས་དང་། ལྷག་མཐོང་དང་། བསམ་གཏན་དང་། རྣམ་པར་ཐར་པ་དང་། ཏིང་ངེ་འཛིན་དང་། སྙོམས་པར་འཇུག་པའི་སྒྲ་འབྱུང་ངོ་། ། ||| The words of the joy associated with the mind set on awakening and the generation of the mind directed toward omniscience also appear, as do the words generosity, discipline, patience, diligence, concentration, insight, love, compassion, joy, equanimity, the applications of mindfulness, the relinquishments, the bases of miraculous display, the strengths, the powers, the branches of awakening, the path, tranquility, special insight, the concentrations, the liberations, the absorptions, the attainments, impermanence, suffering, selflessness, emptiness, the absence of marks, the absence of wishes, the absence of formation, the absence of arising, the absence of origination, insubstantiality, the Dharma teachings of the bodhisattvas’ scriptural collection, the dhāraṇīs, the vajra words, the purification of the three spheres, and the turning of the irreversible Dharma wheel.
མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། བདག་མེད་པའི་སྒྲ་འབྱུང་ངོ་། །སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པ་དང་། མངོན་པར་འདུ་བྱེད་པ་མེད་པ་དང་། སྐྱེ་བ་མེད་པ་དང་། འབྱུང་བ་མེད་པ་དང་། དངོས་པོ་མེད་པའི་སྒྲ་འབྱུང་ངོ་། །བྱང་ཆུབ་སེམས་དཔའ་སྡེ་སྣོད་ཀྱི་ཆོས་ཀྱི་རྣམ་གྲངས་དང་། གཟུངས་དང་རྡོ་རྗེའི་ཚིག་དང་། འཁོར་གསུམ་ཡོངས་སུ་སྦྱོང་བའི་སྒྲ་འབྱུང་ངོ་། །ཕྱིར་མི་ལྡོག་པའི་ཆོས་ཀྱི་འཁོར་ལོ་རབ་ཏུ་བསྐོར་བའི་སྒྲ་དང་། ཆོས་ཐམས་ཅད་ལ་རྣམ་པར་གདོན་མི་ཟ་བའི་རྒྱལ་པོའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྒྱ་མཚོའི་ཕྱག་རྒྱའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཆོས་ཐམས་ཅད་ལ་ཡང་དག་པར་གཞོལ་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཆོས་ཐམས་ཅད་ལ་དབང་བྱེད་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྣམ་པར་བཀོད་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རིན་ཆེན་སྒྲོན་མའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རིན་ཆེན་འབྱུང་གནས་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རིན་ཆེན་བརྩེགས་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཉོན་མོངས་པ་སྤོང་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། དགའ་བྱེད་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། པད་མ་བཀོད་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། པད་མ་བླ་མའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ནམ་མཁའི་མཛོད་ཀྱི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཐམས་ཅད་ཀྱི་རྗེས་སུ་འགྲོ་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། དམ་པའི་ཆོས་པུཎྜ་རཱི་ཀའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཁྱད་པར་ཅན་གྱི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྣམ་པར་རྒྱལ་བར་དབང་བྱེད་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཆེར་བསྒྱིངས་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྣམ་པ་ལ་སེམས་དབང་བྱེད་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སེང་གེ་བསྒྱིངས་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཉི་མ་སྒྲོན་མའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། མཐའ་ཡས་འཁྱིལ་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྒྱུན་གྱི་རྗེས་སུ་སོང་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྡོ་རྗེའི་དཀྱིལ་འཁོར་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྡོ་རྗེའི་རྒྱལ་མཚན་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྡོ་རྗེ་ལྟེ་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ས་འཛིན་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རི་རབ་སྒྲོན་མའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རི་རབ་རྒྱལ་མཚན་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རིན་ཆེན་མཛོད་ཀྱི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སེམས་ལ་དབང་བྱེད་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་ལ་རྣམ་པར་ལྟ་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སྤྱོད་པ་ཐམས་ཅད་ཀྱི་ཡུལ་ལས་ངེས་པར་འབྱུང་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཟབ་མོ་སྦེད་པར་སྦྱོར་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སྤོབས་པ་སྣ་ཚོགས་ཀྱི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། བལྟར་མི་མཐོང་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཆོས་ཐམས་ཅད་ལ་རྣམ་པར་ལྟ་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། རྣམ་པར་རོལ་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། མངོན་པར་ཤེས་པ་ཐམས་ཅད་ལས་ངེས་པར་འབྱུང་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། བདུད་ཀྱི་དཀྱིལ་འཁོར་འཇིག་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། གཟུགས་ཐམས་ཅད་ཀུན་ཏུ་སྟོན་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སྒྲ་ཐམས་ཅད་ལ་འཇུག་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ལུས་ཐམས་ཅད་རྣམ་པར་གཞིག་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སྤྱོད་པ་ཐམས་ཅད་ལ་དབང་བའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཤེས་རབ་སྒྲོན་མའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ལག་ན་སྒྲོན་མའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། བྱང་ཆུབ་མངོན་སུམ་སྣང་བྱེད་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། སོ་སོ་ཡང་དག་པར་རིག་པ་ལ་འཇུག་པ་སྟོན་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་དང་། ཡོན་ཏན་གྱི་རྣམ་པ་ཐམས་ཅད་ལ་འཇུག་པའི་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་འབྱུང་ངོ་། ། ||| “Moreover, there also appear the words of the royal absorption that is without doubt concerning all phenomena, the absorption of the oceanic seal, the absorption that fuses with all phenomena, the absorption that controls all phenomena, the absorption of the array, the absorption of the precious lamp, the absorption of the source of jewels, the absorption of the heap of jewels, the absorption of the abandonment of afflictions, the absorption that produces enjoyment, the absorption of the array of lotuses, the absorption of the great lotuses, the absorption of the sky treasury, the all-pervading absorption, the absorption of the white lotus of the sacred Dharma, the extraordinary absorption, the all-victorious absorption, the greatly poised absorption, the absorption of the mind that masters all aspects, the absorption of the poised lion, the absorption of the sun lamp, the absorption of the endless swirl, the absorption that follows the flow, the absorption of the vajra circle, the absorption of the vajra banner, the vajra-like absorption, the absorption of the vajra navel, the earth-holder absorption, the absorption of the lamp of Mount Sumeru, the absorption of the victory banner of Mount Sumeru, the absorption of the precious treasury, the absorption that controls the mind, the absorption that sees the minds of all beings, the absorption that gains mastery over the objects of all forms of conduct, the absorption that connects with what is deeply concealed, the absorption of various types of eloquence, the invisible absorption, the absorption that sees all phenomena, the absorption of enjoyment, the absorption that gains mastery over all higher perceptions, the absorption that destroys the circle of Māra, the absorption that displays all forms, the absorption that penetrates all sounds, the absorption that destroys all bodies, the absorption that controls all forms of conduct, the absorption of the lamp of insight, the absorption of the lamp in the hands, the absorption that illuminates awakening, the absorption that shows the entrance into correct knowledge , and the absorption that engages in all aspects of qualities.
རིགས་ཀྱི་བུ་དེ་ལྟར་རྒྱུད་ཀྱི་སྒྲ་དང་། སིལ་སྙན་གྱི་སྒྲ་དང་། གླུ་དབྱངས་ཀྱི་སྒྲ་དེ་དག་ལས་ཆོས་ཀྱི་སྒྲ་འདི་ལྟ་བུ་འདི་དང་ཏིང་ངེ་འཛིན་གྱི་སྒྲ་འབྱུང་ངོ་། །སྒྲ་དེ་དག་གིས་སེམས་ཅན་དེ་དག་ཡོངས་སུ་སྨིན་པར་བྱེད་པར་འགྱུར་ཏེ། ||| “Noble son, these sounds of the Dharma and these names of absorptions manifest in that way from the sounds of the lute, and those instruments and songs, which ripen those beings.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ནི་ངོ་མཚར་རྨད་དུ་བྱུང་བའི་ཆོས་འདི་ལྟ་བུ་དང་ལྡན་པ་ཡིན་ནོ། ། ||| Noble son, such are the amazing and marvelous qualities that bodhisattva great beings possess.”
མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོའི་ཡོན་ཏན་བསྔགས་པ་བསྟན་པ་འདི་བཤད་པ་ན། ||| When the Blessed One had proclaimed the praises of the kiṃnara king Druma’s qualities,
སངས་རྒྱས་ཀྱི་མཐུས་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་གྱི་ལག་པར་ལྷའི་མེ་ཏོག་མན་དཱ་རའི་ཕུར་མ་གྲུབ་ནས། ||| through the power of the Buddha divine mandārava flowers materialized in the hands of the entire assembly,
དེ་དག་གིས་མེ་ཏོག་གི་ཕུར་མ་དེ་དག་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་ལ་གཏོར་ཏོ། ། ||| who then tossed them toward the kiṃnara king Druma.
དེ་ནས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་བྱིན་གྱི་རླབས་ཇི་ལྟ་བུས་མེ་ཏོག་དེ་དག་ལག་པ་གཡས་པར་བླངས་ཏེ། མེ་ཏོག་གཅིག་ཀྱང་ས་ལ་མ་ལྟུང་བར་དེ་ལྟ་བུའི་བྱིན་གྱི་རླབས་ཀྱི་བྱིན་གྱིས་བརླབས་ནས་མེ་ཏོག་བླངས་པ་དེ་དག་བཅོམ་ལྡན་འདས་ལ་མངོན་པར་གཏོར་ཏོ། ། ||| Then, in accordance with the blessings, the kiṃnara king Druma caught the flowers in his right hand and tossed them toward the Blessed One without letting a single one of them fall to the ground.
དེ་ནས་མེ་ཏོག་དེ་དག་གཏོར་མ་ཐག་ཏུ་སངས་རྒྱས་ཀྱི་མཐུས་སྐད་ཅིག་དེ་ལ་སྟོང་གི་འཇིག་རྟེན་གྱི་ཁམས་མེ་ཏོག་རིན་པོ་ཆེའི་གདུགས་གཅིག་གིས་ཁེབས་པར་གྱུར་ཏོ། ། ||| As soon as he threw those flowers, through the power of the Buddha a parasol made of precious flowers covered this entire chiliocosm.
མེ་ཏོག་རིན་པོ་ཆེའི་གདུགས་དེ་ལས་མུ་ཏིག་གི་དོ་ཤལ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་རབ་ཏུ་འཕྱང་ངོ་། ། ||| Billions of pearl garlands hung from it, and
མེ་ཏོག་གི་དོ་ཤལ་འཕྱང་བ་རེ་རེ་ལས་ཀྱང་འོད་ཟེར་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མ་བྱུང་ངོ་། ། ||| myriads of light rays radiated from each pearl in those pearl garlands.
འོད་ཟེར་ཐམས་ཅད་ཀྱི་རྩེ་མོ་ལས་ཀྱང་པད་མ་སྣ་ཚོགས་བལྟ་ན་སྡུག་པ། ཁ་དོག་དག་དང་ལྡན་པ་དྲི་དང་ལྡན་པ། ཡིད་དུ་འོང་བ་དག་བྱུང་བར་གྱུར་ཏོ། ། ||| Various lovely, colorful, fragrant, and delightful lotuses appeared on the tip of every light ray, and
པད་མ་ཐམས་ཅད་ལ་ཡང་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པའི་སྐུ་ཅི་འདྲ་བ་དེ་འདྲ་བའི་དེ་བཞིན་གཤེགས་པའི་སྐུ་སྐྱིལ་མོ་ཀྲུང་བཅས་ཤིང་བཞུགས་པར་ཀུན་ཏུ་སྣང་ངོ་། ། ||| on top of each of those lotuses thus-gone ones displaying the same physical form as the Blessed One Śākyamuni appeared, sitting cross-legged.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་ཐམས་ཅད་ཀྱིས་ཀྱང་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་ལ་ལེགས་སོ་ཞེས་བྱ་བ་གནང་སྟེ། ||| All those blessed buddhas gave their approval to the kiṃnara king Druma.
སྐྱེས་བུ་དམ་པ་ཁྱོད་ཀྱིས་སེམས་ཅན་མང་པོ་ཡོངས་སུ་སྨིན་པར་བྱས་སོ། ། ||| They said, “Sublime being, you have ripened many beings.
སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་བའི་ཕྱིར་གང་ཡུལ་ལས་རྣམ་པར་གྲོལ་ཡང་ཡུལ་ཐམས་ཅད་ཀྱང་སྟོན། ||| Although you are free from all domains, you manifest in all of them to ripen sentient beings.
འཁོར་བ་ལས་གྲོལ་ཡང་བསམས་བཞིན་དུ་སྲིད་པར་སྐྱེ་བ་ཀུན་ཏུ་སྟོན། ||| Although you are free from saṃsāra, you intentionally display rebirth within existence.
མྱ་ངན་ལས་འདས་པའི་སྐྱོན་མེད་པ་ཐོབ་ཀྱང་། ཁམས་གསུམ་ན་ཉེ་བར་སྤྱོད་པ་འདི་ལྟ་བུ་ནི་བྱང་ཆུབ་སེམས་དཔའི་བྱ་བ་ཡིན་ཏེ། ལེགས་སོ་ལེགས་སོ། ། ||| Although you have reached faultless nirvāṇa, you partake in the three realms. Such bodhisattva activities are excellent, excellent!”
དེ་ནས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| The kiṃnara king Druma then formed the resolve,
བདག་གིས་དེ་བཞིན་གཤེགས་པ་དེ་དག་ཐམས་ཅད་ཀྱི་དབུ་ལ་རིན་པོ་ཆེའི་གདུགས་གཞན་དག་བྱིན་གྱིས་བརླབ་པོ་སྙམ་མོ། ། ||| “I will manifest other bejeweled parasols to cover the heads of all those thus-gone ones!”
དེ་ནས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་དེའི་ཚེ་རིན་པོ་ཆེའི་གདུགས་བཀོད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་སོ། ། ||| At that moment, the kiṃnara king Druma entered the absorption called the array of bejeweled parasols .
མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་རིན་པོ་ཆེའི་གདུགས་བཀོད་པའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་མ་ཐག་ཏུ། དེ་ནས་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དབུའི་ཐད་དྲང་གི་སྟེང་ན་རིན་པོ་ཆེའི་གདུགས་རྣམས་གནས་པར་ཀུན་ཏུ་སྣང་ངོ་། ། ||| As soon as he had entered this absorption, bejeweled parasols manifested right above the head of each thus-gone one.
འཁོར་དེར་ཐམས་ཅད་ཀྱི་ལག་པ་གཡས་པ་ནས་ཀྱང་རིན་པོ་ཆེའི་གདུགས་རྣམས་བྱུང་བར་གྱུར་ཏེ ||| Bejeweled parasols also appeared in the right hands of each member of the assembly, and
དེ་དག་གིས་རིན་པོ་ཆེའི་གདུགས་དེ་དག་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་ལ་མངོན་པར་བཀབ་བོ།། །། ||| they used them to shelter those blessed buddhas.
མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| The kiṃnara king Druma then thought,
འདི་ལྟར་བདག་གིས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ཉན་ཐོས་དང་། བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་བཅས་པར་བཤོས་ལ་སྤྱན་དྲངས་ཏེ། ||| “I will invite the Blessed One, the thus-gone one, the Buddha Śākyamuni, with his saṅgha of hearers and his saṅgha of bodhisattvas, for a meal.
འདི་ལྟར་བདག་གིས་བཅོམ་ལྡན་འདས་འཁོར་དང་བཅས་པར་རིའི་རྒྱལ་པོ་སྤོས་ཀྱི་ངད་ལྡང་དུ་བདག་གི་གནས་སུ་གཤེགས་པར་གསོལ་ཏོ། ། ||| I will supplicate the Blessed One and his retinue to come to my land at the majestic Mount Gandhamādana,
དེ་ལྟར་ན་བདག་གི་གནས་ཡོངས་སུ་སྤྱད་པར་འགྱུར་རོ། ། ||| to enjoy my abode and
ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོའི་ཚོགས་ཚད་མེད་པ་ལ་ཕན་བཏགས་པར་ཡང་འགྱུར་རོ། ། ||| benefit countless gods, nāgas, yakṣas, gandharvas, demigods, garuḍas, kiṃnaras, and mahoragas.
དེ་དག་ཀྱང་བཅོམ་ལྡན་འདས་ལ་བསྙེན་བཀུར་བྱ་བ་དང་། ཡོངས་སུ་སྤྱད་པར་བྱ་བར་སྤྲོ་བར་འགྱུར་ཏེ། ||| They will enthusiastically venerate and serve the Blessed One, and
དེའི་ཕྱིར་དེ་དག་གི་ཡུན་རིང་པོའི་དོན་དང་ཕན་པ་དང་། གྲུབ་པ་དང་། བདེ་བ་དང་། བྱང་ཆུབ་སེམས་དཔའི་བསྒྲུབ་པ་འཐོབ་པར་འགྱུར་རོ་སྙམ་མོ། ། ||| they will thereby gain long-term benefit, welfare, success, happiness, and bodhisattva accomplishment.”
དེ་ནས་མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ཐལ་མོ་སྦྱར་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The kiṃnara king Druma prostrated to the feet of the Blessed One, joined the palms of his hands, and said,
བཅོམ་ལྡན་འདས་བདག་ལ་ཐུགས་བརྩེ་བ་དང་། སེམས་ཅན་ཚད་མ་མཆིས་པའི་དགེ་བའི་རྩ་བ་སྤེལ་བའི་སླད་དུ། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་དང་། ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་རི་སྤོས་ཀྱི་ངད་ལྡང་གི་ངོས་ལ་བདག་གི་གནས་སུ་དགུང་བདུན་ཞིག་བཞུགས་པར་བདག་ལ་གནང་བར་མཛད་དུ་གསོལ། ། ||| “Blessed One, out of love for me and in order to increase the roots of virtue of countless beings, I supplicate the Thus-Gone One, the worthy one, the perfect Buddha to agree to remain for seven days in my abode on the slope of Mount Gandhamādana with his saṅgha of bodhisattvas and his saṅgha of hearers.
བཅོམ་ལྡན་འདས་བདག་ཅག་ནི་དེ་བཞིན་གཤེགས་པའི་འཁོར་དང་བཅས་པ་ལ་བསྙེན་བཀུར་དང་ཡོངས་སུ་སྤྱད་པར་བགྱི་བར་སྤྲོའོ། ། ||| Blessed One, we would be delighted to venerate and serve the Thus-Gone One and his retinue!”
