ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
སེམས་ཅན་རྣམས་ཀྱི་བསམ་པ་ཇི་ལྟ་བུ་དང་། ཇི་ལྟར་འདུལ་བ་དང་། དགེ་བའི་རྩ་བ་ཇི་ལྟ་བུ་དང་། སེམས་ཅན་རྣམས་ཀྱི་མོས་པ་སྣ་ཚོགས་ཀྱི་སྤྱོད་པ་མཁྱེན་ནས་ཆོས་སྟོན་ཏེ། ||| He teaches the Dharma knowing their intentions, the way to convert them, and their roots of virtue, as well as their behavior according to their various dispositions.
སེམས་ཅན་ཁ་ཅིག་ནི་བྱང་ཆུབ་སེམས་དཔས་འདུལ། ||| Some beings are to be converted by bodhisattvas.
ཁ་ཅིག་ནི་ཉན་ཐོས་ཀྱིས་འདུལ། ||| Some are to be converted by śrāvakas.
ཁ་ཅིག་ནི་རང་སངས་རྒྱས་ཀྱིས་འདུལ། ||| Some are to be converted by pratyekabuddhas.
ཁ་ཅིག་ནི་ལྷས་འདུལ། ||| Some are to be converted by gods.
ཁ་ཅིག་ནི་བརྒྱ་བྱིན་གྱིས་འདུལ། ||| Some are to be converted by Śakra.
ཁ་ཅིག་ནི་ཚངས་པས་འདུལ། ||| Some are to be converted by Brahmā.
ཁ་ཅིག་ནི་ཀླུས་འདུལ། ||| Some are to be converted by nāgas.
ཁ་ཅིག་ནི་རྫུ་འཕྲུལ་ཆེན་པོས་འདུལ། ||| Some are to be converted by great supernatural powers.
ཁ་ཅིག་ནི་རྒྱལ་པོས་འདུལ། ||| Some are to be converted by kings.
ཁ་ཅིག་ནི་ཏིང་ངེ་འཛིན་གྱིས་འདུལ། ||| Some are to be converted by states of concentration.
ཁ་ཅིག་ནི་ཆོས་ཉན་པས་འདུལ། ||| Some are to be converted by listening to the Dharma.
ཁ་ཅིག་ནི་ཆོ་འཕྲུལ་གྱིས་འདུལ། ||| Some are to be converted by miracles.
ཁ་ཅིག་ནི་དེ་བཞིན་གཤེགས་པ་མྱ་ངན་ལས་འདའ་བས་འདུལ། ||| Some are to be converted by the Tathāgata’s complete nirvāṇa.
ཁ་ཅིག་ནི་རིང་བསྲེལ་གྱིས་འདུལ། ||| Some are to be converted by relics.
ཁ་ཅིག་ནི་མཆོད་རྟེན་བྱེད་དུ་གཞུག་པ་དང་། གཙུག་ལག་ཁང་དང་། འཆག་ས་དང་། སྐྱེད་མོས་ཚལ་བྱེད་དུ་གཞུག་པའི་དགེ་བའི་རྩ་བ་ལ་སྤྲོ་བ་བསྐྱེད་པས་འདུལ། ||| Some to be converted strive for the roots of virtue that arise from commissioning stūpas, monasteries, promenades, and groves.
ཁ་ཅིག་ནི་སྐུ་གཟུགས་བྱེད་དུ་གཞུག་པ་དང་། རི་མོ་དང་། གསེར་དང་། དངུལ་དང་། ར་གན་གྱི་སྐུ་གཟུགས་བྱེད་དུ་གཞུག་པའི་དགེ་བའི་རྩ་བ་ལ་སྤྲོ་བ་བསྐྱེད་པས་འདུལ། ||| Some to be converted strive for the roots of virtue that arise from commissioning statues, images, and representations of gold, silver, and brass.
ཁ་ཅིག་ནི་དགེ་སློང་གི་དགེ་འདུན་ལ་མཆོད་པ་དང་བཀུར་སྟི་བྱ་བའི་དགེ་བའི་རྩ་བ་ལ་སྤྲོ་བ་བསྐྱེད་པས་འདུལ། ||| Some to be converted strive for the roots of virtue that arise from worshipping and venerating the saṅgha of monks.
ཁ་ཅིག་ནི་མདོ་སྡེ་འདྲི་བ་དང་། འདྲིར་གཞུག་པ་དང་། བཀླག་པ་ལ་སྤྲོ་བ་བསྐྱེད་པས་འདུལ། ||| Some to be converted strive for the roots of virtue that arise from copying sūtras, having sūtras copied, or reciting sūtras.
ཁ་ཅིག་ནི་མར་མེ་དང་། སྤོས་དང་། མེ་ཏོག་དང་། དྲི་དང་། ཕྲེང་བ་དང་། བྱུག་པ་དང་། དོ་ཤལ་ལ་སོགས་པས་བརྒྱན་པ་ལ་སྤྲོ་བ་བསྐྱེད་པས་འདུལ་བ་ཡིན་ཏེ ||| Some to be converted strive for the roots of virtue that arise from offering lamps, incense, flowers, perfume, garlands, salves, jewel necklaces, and so forth.
དོན་དམ་པ་ལ་མཁས་པའི་ཆོས་དང་ལྡན་པ་དང་། མྱ་ངན་ལས་འདས་པའི་ཆོས་དང་ལྡན་པ་ནི་མ་ཡིན་ནོ། ། ||| They do not partake of a Dharma versed in the ultimate nor of a Dharma concerned with nirvāṇa.
ཀྱེ་རྒྱལ་བའི་བུ་དག་ཡང་དེ་བཞིན་གཤེགས་པ་དག་ལ་མི་མཁྱེན་པ་དང་། མི་གཟིགས་པའམ། མི་གསན་པ་དང་། རྣམ་པར་མི་མཁྱེན་པ་ཅུང་ཟད་ཀྱང་མི་མངའ་སྟེ། ||| “Sons of the Victorious One, there is indeed nothing whatsoever that the tathāgatas do not know, see, hear, or fully comprehend.
འོངས་པ་ཡང་མཁྱེན། ||| They know what has happened.
མ་འོངས་པ་ཡང་མཁྱེན། ||| They know the future.
འདས་པ་ཡང་མཁྱེན། ||| They know the past.
ད་ལྟར་བྱུང་བ་ཡང་མཁྱེན། ||| They know the present.
སེམས་ཅན་ཐམས་ཅད་ཀྱི་སྤྱོད་ལམ་ཡང་མཁྱེན། ||| They know the activities of all beings.
སྤྱོད་པ་ཡང་མཁྱེན། ||| They know their conduct.
ཁམས་ཀྱང་མཁྱེན། ||| They know their dispositions.
སྐྱེ་བ་ཡང་མཁྱེན། ||| They know their birth.
འབྱུང་བ་ཡང་མཁྱེན་ཏོ། ། ||| They know their existence.
ཀྱེ་རྒྱལ་བའི་སྲས་དག་འདི་ལྟ་སྟེ། ||| “Sons of the Victorious One, it is as follows.
དཔེར་ན་སྨན་པ་ལེགས་པར་བསླབས་པ། ཚེའི་རིག་པ་ཡན་ལག་བརྒྱད་པ་ཐམས་ཅད་ལ་ཆེས་མཁས་ཤིང་། ཁམས་ཐམས་ཅད་ལ་མཁས་པ། སྨན་དང་ཡོ་བྱད་སྦྱོར་བ་ལ་བརྩོན་པ་ནི་སེམས་ཅན་ནད་པ་ནད་སྣ་ཚོགས་ཀྱིས་ལུས་ཡོངས་སུ་གཟིར་བ་རྣམས་ཀྱི་ཁམས་ཀྱང་ཤེས། ||| Consider the analogy of a well-trained doctor who is very skilled in the eight branches of Āyurveda and expert in all conditions, having extensively studied the use of medicinal substances and instruments, and who knows the condition of the sick beings whose bodies are tormented by various ailments.
དུས་ཀྱང་ཤེས། ||| He knows the phases [and the degrees].
ཚོད་ཀྱང་ཤེས། ||| He knows [the phases and] the degrees.
སྨན་ཡང་ཤེས། ||| He knows the cure.
རླུང་ལས་གྱུར་པ་དང་། མཁྲིས་པ་ལས་གྱུར་པ་དང་། བད་ཀན་ལས་གྱུར་པ་དང་། འདུས་པ་ལས་གྱུར་པ་དང་། ཁྲག་ལས་གྱུར་པ་དང་། མ་ཞུ་བ་ལས་གྱུར་པ་དང་། སྐྲན་དང་། དམུ་རྫིང་དང་། སྙིང་ནད་དང་། མཛེ་དང་། གཡན་པ་དང་། ཤུ་བ་དང་། འབྲས་ལ་སོགས་པ་དང་དུག་དང་མེ་དབལ་ལ་སོགས་པ་ཡང་ཤེས་སོ། ། ||| He knows the diseases related to the airs, bile, phlegm, or a combination of the three, and those related to blood, indigestion, tumors, edema, heart disease, leprosy, skin eruption, abscesses, and boils, as well as poisoning, inflammation, and so on.
དེས་ཐམས་ཅད་ཤེས་ནས་ ||| Possessing knowledge of all these things,
སྨན་གྱི་རྫས་སྣ་ཚོགས་ཀྱིས་སྐྱུག་པ་དང་། བཀྲུ་བ་དང་། ཕྱེ་མ་སྦྱར་བ་དང་། སྣ་ནས་བླུག་པའི་ལས་དང་། གཏར་ཀ་གདབ་པ་དང་། མར་དང་། འབྲུ་མར་བསྐོལ་བ་དང་། སྨིན་པར་བྱ་བ་རྣམས་སྦྱོར་བའི་ཐབས་ཀྱིས་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ནད་དེ་དག་ཐམས་ཅད་ཉེ་བར་ཞི་བར་བྱེད་ཅིང་ནད་སྣ་ཚོགས་ཀྱི་འཇིགས་པ་ལས་ཡོངས་སུ་ཐར་བར་བྱེད་དོ། ། ||| he cures the diseases of all beings and liberates them from the fear of diverse ailments through various medicinal substances, vomitives, purgatives, powders, sternutatory treatments, bleeding, ghee, boiled oil, and tonics.
ཀྱེ་རྒྱལ་བའི་བུ་དག་དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པས་ཀྱང་ཏིང་ངེ་འཛིན་སྣ་ཚོགས་དང་། རྫུ་འཕྲུལ་གྱི་རྐང་པ་དང་། སྟོབས་དང་། མི་འཇིགས་པ་དང་། ལྷའི་མིག་དང་། རྣ་བ་རྣམས་ཀྱི་ཚེའི་རིག་པ་ཡན་ལག་བརྒྱད་དང་ལྡན་ཏེ ||| “In the same way, noble sons of the Victorious One, the Tathāgata possesses eight branches of Āyurveda with the various states of concentration, the bases of supernatural powers, the powers, the assurances, and divine sight and hearing.
སེམས་ཅན་གྱི་ཁམས་དང་། བསམ་པ་དང་། སྦྱོར་བ་སྣ་ཚོགས་ལ་མཁས་པས་འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་གི་ནད་དང་། ཉོན་མོངས་པ་དང་། ཉེ་བའི་ཉོན་མོངས་པའི་ནད་ཀྱིས་གཟིར་བའི་སེམས་ཅན་དང་། ང་རྒྱལ་དང་། རྒྱགས་པ་དང་། དྲེགས་པས་བསྒྲིབས་པ་དང་། ཆགས་པ་དང་། མྱ་ངན་དང་། འཇིགས་པ་དང་། ཁྲོ་བས་བསྒྲིབས་པ་རྣམས་སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། ཡི་དགས་ཀྱི་སྐྱེ་གནས་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་གྱི་གནས་ནས་ཡོངས་སུ་ཐར་བར་བྱ་བའི་ཕྱིར་ཐབས་མཁས་པ་སྣ་ཚོགས་དང་། སྦྱོར་བ་སྣ་ཚོགས་དང་། ཏིང་ངེ་འཛིན་སྣ་ཚོགས་དང་། རྫུ་འཕྲུལ་གྱི་རྣམ་པར་རོལ་པས་སེམས་ཅན་རྣམས་ཡོངས་སུ་གྲོལ་བར་བྱས་ནས་ ||| He is well versed in the various conditions of beings, their intentions, and their conduct. Thus he seeks to free from taking rebirth in hell or as animals, hungry ghosts, or in the world of Yama all those beings who are tormented by the diseases of desire, hatred, and bewilderment and by the sicknesses of the fundamental and secondary defilements, as well as those obscured by pride, vanity, and arrogance or by attachment, suffering, fear, and anger. To this end, by using various skillful means, various practices, various states of concentration, and supernatural powers, he brings beings to all stages of liberation
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་ལ་བཀོད་ནས ||| up to and including their unsurpassable, perfect awakening, and thus
ལྷག་མ་མ་ལུས་པའི་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་སུ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་མཛད་དོ། ། ||| leads them to the extinction of their suffering in the sphere of remainderless parinirvāṇa.
མི་དགེ་བའི་ཆོས་བརྒྱད་ལས་ཡོངས་སུ་ཐར་བར་མཛད་ཅིང་འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་ལ་སོ་སོར་འགོད་དེ། ||| “He liberates them from the eight unwholesome factors and sets each of them on the eightfold noble path.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| Sons of noble family, it is like this.
དཔེར་ན་ཟླ་བའི་དཀྱིལ་འཁོར་ནི་ཐབས་ལ་མཁས་པ་དང་ལྡན་པས་ཇི་ལྟར་ཁམས་ཀྱི་དགེ་བའི་རྩ་བ་འདུལ་བའི་སེམས་ཅན་རྣམས་ཀྱི་དོན་དུ་བདག་ཉིད་མི་སྣང་བར་ཡང་སྟོན། ||| Consider the analogy of the moon which, for the sake of beings to be converted, manifests skillfully to them according to the roots of virtue that constitute their dispositions. It makes itself invisible,
ཟླ་བ་ཁམ་པ་ལྟ་བུའི་དཀྱིལ་འཁོར་ཀྱང་སྟོན། ||| or shows itself as a half-moon, [or waning, or waxing, or as a full moon].
ཟླ་བ་མར་གྱི་ངོ་དང་། ཡར་གྱི་ངོ་ཡང་སྟོན། ||| or shows itself as [a half-moon, or] waning, or waxing, [or as a full moon].
ཟླ་བའི་དཀྱིལ་འཁོར་ཡོངས་སུ་རྒྱས་པ་ཡང་སྟོན། ||| or shows itself [as a half-moon, or waning, or waxing, or] as a full moon.
མུན་ནག་ཐིབས་པོ་ཐམས་ཅད་ཀྱང་རྣམ་པར་སེལ། ||| It dispels all obscurity and darkness,
རྩྭ་དང་། ཤིང་གེལ་པ་དང་། སྨན་དང་། འབྲས་ལ་སོགས་པ་ཡང་སིམ་པར་བྱེད་དོ། ། ||| and refreshes all the grass, forests, medicinal herbs, and crops.
ཀྱེ་རྒྱལ་བའི་བུ་དག་དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པས་ཀྱང་སྡུག་བསྔལ་རྣམ་པ་སྣ་ཚོགས་ཀྱིས་བསྒྲིབས་པའི་སེམས་ཅན་རྣམས་དང་། ཁམས་སྣ་ཚོགས་ཀྱིས་འདུལ་བའི་སེམས་ཅན་རྣམས་ཀྱི་སྤྱོད་པ་མཁྱེན་ནས་ ||| Likewise, sons of the Victorious One, the Tathāgata understands beings who are obscured by various kinds of suffering, as well as the conduct of beings who are to be converted in keeping with their various dispositions.
ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་ཡང་སྟོན། ||| He manifests as being in the state of parinirvāṇa,
སྐྱེ་བ་ཡང་སྟོན། ||| He manifests [as being in the state of parinirvāṇa,] as being born,
འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ཡང་སྟོན། ||| He manifests [as being in the state of parinirvāṇa, as being born,] as a universal monarch,
རྩེ་བ་དང་། དགའ་བ་དང་། བུད་མེད་ཀྱི་བཞད་གད་དང་། ཀུ་རེ་དང་། དྲི་དང་། ཕྲེང་བ་དང་། དགའ་ཞིང་རྩེ་བ་ཡང་སྟོན། ། ||| He manifests [as being in the state of parinirvāṇa, as being born, as a universal monarch, and also] as someone joyful who is entertained by amusements and pleasures such as women’s laughter, play, perfume, and garlands.
ཁྱིམ་ནས་འབྱུང་བ་དང་། རབ་ཏུ་འབྱུང་བ་དང་། དཀའ་བ་སྤྱད་པ་རྣམས་ཀྱང་སྟོན། ||| He also manifests as someone who renounces the household life, goes forth to live as a renunciant and practices asceticism,
བདུད་བཏུལ་བ་དང་། ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར་བ་ནས་ཆོས་ཀྱི་སྤྲིན་ཆེན་པོའི་ཆར་ཕབ་པས་སེམས་ཅན་རྣམས་ཚིམ་པར་བྱས་པའི་བར་དུ་ཡང་སྟོན་ཏེ། ||| He also manifests [as someone who renounces the household life, goes forth to live as a renunciant and practices asceticism, and eventually] as someone who, having tamed Māra and turned the wheel of Dharma, pleases beings by bringing down the rain of the great cloud of Dharma.
དེ་བཞིན་གཤེགས་པ་རྣམས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ཀྱང་སྦྱོར་བ་སྣ་ཚོགས་ཀྱིས་རིང་བསྲེལ་མཆོད་པ་དང་། མཆོད་རྟེན་དང་། གཙུག་ལག་ཁང་དང་། སྐུ་གཟུགས་བྱེད་དུ་གཞུག་པ་དང་། རབ་ཏུ་འབྱུང་བའི་ཕྱིར་ཁྱིམ་ནས་འབྱུང་བ་དང་། དགེ་སློང་གི་དགེ་འདུན་ལ་མཆོད་པ་དང་། དམ་པའི་ཆོས་འདྲི་བ་དང་། བཀླག་པ་དང་། ཁ་ཏོན་དུ་བྱ་བ་ལ་སྤྲོ་བ་བསྐྱེད་པ་དག་གིས་ཀྱང་སེམས་ཅན་ཐམས་ཅད་ཐར་བར་མཛད། ||| The tathāgatas have attained parinirvāṇa. Yet they liberate all beings through various practices such as zealously venerating relics; having stūpas, monasteries, and images constructed; giving up the household life for the sake of going forth as a renunciant; and venerating the Saṅgha of monks, as well as copying, reading, and reciting the noble Dharma.
བསླབ་པ་འཛིན་པ་དང་། བརྟུལ་ཞུགས་དང་། སྡོམ་པ་དང་། ཉེ་བར་གནས་པ་དང་། དགེ་བསྙེན་གྱི་སྡོམ་པ་རྣམས་འཛིན་དུ་གཞུག་པའི་ཐབས་མཁས་པས་ཀྱང་སེམས་ཅན་རྣམས་ཐར་བར་མཛད་དེ ||| They also liberate beings through skillful means such as maintaining the training, the way of life, the monastic vows, fasting, and the lay pledges.
སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་དང་། མི་ཁོམ་པ་དང་། ངན་སོང་དང་། ངན་འགྲོ་ཐམས་ཅད་ལས་ཡོངས་སུ་ཐར་བར་མཛད་ནས་ ||| They liberate these beings from rebirths as hell beings, animals, and beings born in Yama’s world, and from existences deprived of the eight freedoms, as well as from negative rebirths and negative forms of existence, and so forth, and
ཆོས་ཉན་པས་ཚིམ་པར་མཛད་དེ ||| comfort these beings by having them listen to the Dharma and
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་བཀོད་དོ། ། ||| bringing them to unsurpassable, truly perfect awakening.”
དེ་ནས་དེའི་ཚེ་ན་ལྷའི་བུ་བློ་ཆུང་བ་ཁ་ཅིག་ནི་འདི་སྙམ་དུ་སེམས་པར་གྱུར་ཏེ། ||| At that point, some dim-witted gods thought,
ཇི་ལྟར་སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དེ་དག་གིས་དེ་བཞིན་གཤེགས་པའི་མཛད་པ་མཛད་དེ། ||| “The tathāgatas of earlier times, who were arhats and fully awakened buddhas, accomplished the deeds of a tathāgata. That is to say,
སྐུ་ཚེ་ཤིན་ཏུ་རིང་པོར་བྱིན་གྱིས་བརླབས་ནས་ ||| after extending their own lifespan through their blessings,
སེམས་ཅན་ཐམས་ཅད་སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་ཐམས་ཅད་ལས་ཡོངས་སུ་ཐར་བར་མཛད་པ་ ||| they liberated all beings from birth, old age, sickness, death, sorrow, lamentation, suffering, unhappiness, and trouble.
དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་འདིས་དེ་བཞིན་གཤེགས་པའི་མཛད་པ་ཐམས་ཅད་ད་དུང་མ་མཛད་ཀྱིས་ཀྱང་། འདིས་མྱ་ངན་ལས་འདའ་བ་ལ་ཤིན་ཏུ་བསྔགས་ཤིང་བརྗོད་དེ ||| Likewise, this tathāgata, although he has not yet accomplished all the deeds of a tathāgata, is also extolling and teaching nirvāṇa.
འཁོར་མང་པོ་བསྡུས་ནས་རྫུ་འཕྲུལ་དང་རྣམ་པར་འཕྲུལ་བའི་ཆོ་འཕྲུལ་སྣ་ཚོགས་སྟོན་པ་ལས་ན། ||| And he is displaying supernatural powers and miracles of extraordinary transformations after having assembled a great retinue.
དེ་ཅི་དེ་བཞིན་གཤེགས་པ་འདི་མྱུར་བ་ཉིད་དུ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བཞེད་པ་ལྟ་སྙམ་ནས་དེ་དག་ཡིད་མི་དགའ་སྟེ་ཅང་མི་སྨྲ་བར་གྱུར་ཏོ། ། ||| So does this tathāgata also seek parinirvāṇa right away?” With this thought, they were depressed and fell silent.
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་སེམས་ཀྱིས་ལྷའི་བུ་དེ་དག་གི་སེམས་ཤེས་ནས་ལྷའི་བུ་དེ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| The youthful Mañjuśrī then clairvoyantly understood what those gods were thinking and said to them,
ལྷའི་བུ་དག་དེ་ལྟར་མ་སེམས་མ་སྨྲ། ||| “Gods, do not think like that, do not say such things.
ཡིད་མི་དགའ་བར་མ་བྱེད་ཅིག ། ||| Do not be depressed.
དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཐབས་མཁས་པ་ནི་མང་སྟེ། ||| Many are the skillful means of the tathāgatas.
ཐབས་དང་། ཤེས་རབ་དང་། ཏིང་ངེ་འཛིན་སྣ་ཚོགས་ཀྱི་དགེ་བའི་རྩ་བའི་སྟོབས་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་སེམས་ཅན་བསམ་པ་སྣ་ཚོགས་དག་ལ་ཆོས་སྟོན་ཏེ། ||| They teach the Dharma to beings of diverse inclinations by means of their sovereign power, and the power of their roots of virtue, which consists of various methods, insights, and states of concentration.
ལྷའི་བུ་དག་ངས་སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཐབས་མཁས་པའི་རྫུ་འཕྲུལ་དང་། རྣམ་པར་འཕྲུལ་བའི་ཆོ་འཕྲུལ་ཇི་ལྟར་མཐོང་བ་དེ་ལྟར་ངས་ཤེས་པ་ལས་ན། ||| Gods, since I have seen the supernatural powers and miracles of extraordinary transformations that are the skillful means of the tathāgatas of the past, I know.
དེ་བཞིན་གཤེགས་པ་ནི་སངས་རྒྱས་ཀྱི་སྟོབས་སྐྱེད་པའི་ཆོ་འཕྲུལ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་སྡེའི་རྒྱལ་པོ་འཆད་པར་བཞེད་པ་དང་། རྒྱས་པར་མཛད་པར་བཞེད་པར་མི་འགྱུར་རམ། ཡང་ལྷའི་བུ་དག་དེ་བཞིན་གཤེགས་པ་རྣམས་ནི་ཡོངས་སུ་མྱ་ངན་ལས་མི་འདའ་སྟེ ||| So surely the Tathāgata will indeed wish to expound and spread the king of sūtras of the great vehicle called The Teaching on the Extraordinary Transformation that is the Miracle of Attaining the Buddha’s Powers.
དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་ཡང་མེད། ||| Moreover, gods, the tathāgatas do not enter parinirvāṇa, because there is no parinirvāṇa of the tathāgatas,
སྐུ་ཚེ་ཟད་པར་འགྱུར་བ་ཡང་མེད། ||| nor are their lives ever exhausted.
བསྐལ་པ་བྱེ་བ་དཔག་ཏུ་མེད་པའི་བསྐལ་པ་བརྗོད་དུ་མེད་པའི་ཡང་བརྗོད་དུ་མེད་པར་དེ་བཞིན་གཤེགས་པ་རྣམས་བཞུགས་མོད་ཀྱི། ||| The tathāgatas remain for immeasurable millions of eons, for utterly inexpressible eons.
ཐབས་མཁས་པས་སེམས་ཅན་རྣམས་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་ཡང་སྟོན། དམ་པའི་ཆོས་ནུབ་པར་འགྱུར་བ་ཡང་སྟོན་ཏོ། ། ||| But through their skillful means they display their parinirvāṇa to beings, as well as the disappearance of the noble Dharma.
སེམས་ཅན་མྱ་ངན་ལས་འདའ་བས་འདུལ་བ་དང་། རིང་བསྲེལ་གྱིས་འདུལ་བའི་སྙིགས་མའི་རང་བཞིན་ཅན། དེ་བཞིན་གཤེགས་པ་ལ་མ་དད་པ། བླ་མ་ལ་བསྟི་སྟང་བྱེད་པར་མི་འགྱུར་བའི་སེམས་ཅན་དག་ཇི་ལྟ་ཇི་ལྟར་མཐོང་བ། དེ་ལྟ་དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་སྟོན་མོད་ཀྱི། ||| Just as the Tathāgata sees the various beings of an impure nature who are to be converted by means of parinirvāṇa or by relics, who have no faith in the Tathāgata, and who are irreverent toward the master, so in each such case the Tathāgata displays his parinirvāṇa.
དེ་བཞིན་གཤེགས་པ་ནི་བྱོན་པ་ཡང་མེད། ||| But in fact, the Tathāgata neither comes [nor goes].
གཤེགས་པ་མེད་དོ། ། ||| But in fact, the Tathāgata [neither comes] nor goes.
གང་གི་ཚེ་སེམས་ཅན་རྣམས་དགེ་བའི་རྩ་བ་ཡོངས་སུ་སྨིན་པར་གྱུར་ཅིང་དེ་བཞིན་གཤེགས་པ་ལ་བལྟ་བར་འདོད་པ་དང་། མཆོད་པར་འོས་པ་དང་། ཆོས་ཉན་པར་འདོད་པ་དང་། ཟླ་བའི་དཀྱིལ་འཁོར་བཞིན་དུ་འདོད་པར་གྱུར་པ་དེའི་ཚེ་ལྷ་དང་མི་རྣམས་ཀྱི་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བར་བྱ་བ་དང་། དཀོན་མཆོག་གསུམ་གསལ་བར་བྱ་བ་དང་། རྒྱས་པར་བྱ་བའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་འཇིག་རྟེན་དུ་འབྱུང་མོད་ཀྱི། དེ་བཞིན་གཤེགས་པ་ལ་སྐྱེ་བ་མེད་དེ ||| When the roots of virtue of beings have fully matured, and they long to look upon the Tathāgata, are worthy of veneration, long to listen to the Dharma, and their longing is like the full moon, at that time, the Tathāgata appears in the world for the benefit and happiness of many beings such as gods and humans, and for the sake of manifesting and propagating the Three Jewels to them.
རྒ་བ་དང་འཆི་བ་ཡང་མེད་དོ། ། ||| But in fact, the Tathāgata is not born, nor does he age or die.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| “Sons of noble family, it is as follows.
དཔེར་ན་མེ་ལོང་གི་དཀྱིལ་འཁོར་ཤིན་ཏུ་ལེགས་པར་ཕྱིས་པ་ལ་གཟུགས་སྣ་ཚོགས་སྣང་བར་འགྱུར། མི་སྣང་བར་ཡང་འགྱུར་མོད་ཀྱི། ||| As an analogy, although many forms might appear and disappear in a well-polished mirror,
གཟུགས་བརྙན་ནི་དེར་འོང་བ་དང་། འགྲོ་བར་སྣང་བ་ནི་མེད་དོ། ། ||| one never sees the reflected image actually entering the mirror or leaving it.
ལྷའི་བུ་དག་དེ་བཞིན་གཤེགས་པའི་སྐུ་ལ་ཡང་དེ་ལྟར་བལྟ་བར་བྱའོ། ། ||| Gods, you should also look upon the body of the Tathāgata in this way.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| “Sons of noble family, it is as follows.
དཔེར་ན་སྒྱུ་མ་བྱེད་པ་ལེགས་པར་བསླབས་པ་ནི་གྲོང་ཁྱེར་དང་། རྟ་བབས་དང་། སྐྱེད་མོས་ཚལ་སྣ་ཚོགས་དང་། ཤིང་རྟ་སྣ་ཚོགས་དང་། འཁོར་ལོས་སྒྱུར་བའི་གཟུགས་དང་། དགའ་བ་དང་། རྩེ་བ་སྣ་ཚོགས་བསྟན་ཏེ་ ||| As an analogy, a well-trained conjurer displays various cities, archways, parks, vehicles, physical forms of a universal monarch, amusements, and entertainments.
མི་སྣང་བར་བྱེད་ཀྱང་དེ་ལ་འཕོ་བ་ཡང་མེད། ||| Even if he makes these illusions cease, they do not move anywhere,
འོང་བ་ཡང་མེད། ||| nor do they come [or go].
འགྲོ་བ་ཡང་མེད་དོ། ། ||| nor do they [come or] go.
