ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
དེ་ནས་དེའི་སྐྲ་བྱི་ནས་སྐྲ་སར་ཁྱད་པར་དུ་འཕགས་པ་བྱུང་ངོ་། ། ||| His old hair fell away, and in its place a halo of new hair appeared.
དེ་ནས་དེ་ནམ་མཁའ་ལ་འདུག་པ་སྐྱེ་བོ་ཕལ་པོ་ཆེས་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་སྨོན་ལམ་བཏབ་པ། ||| The great crowd saw him hovering in the sky, and they began to pray,
གང་གི་ཚེ་འདིས་བླ་ན་མེད་པའི་ཡེ་ཤེས་བརྙེས་པར་འགྱུར་བ་དེའི་ཚེ་བདག་ཅག་འདིའི་ཉན་ཐོས་སུ་གྱུར་ཅིག་ཅེས་བྱས་སོ། ། ||| ‘When he achieves unexcelled wisdom, may we become his disciples.’
བུ་མོ་དེས་ཀྱང་སྨོན་ལམ་བཏབ་སྟེ། ||| The young woman also recited the following prayer:
ཁྱོད་ཀྱིས་གང་དུ་སྨོན་པ་ཡི། །འདྲེན་པ་སངས་རྒྱས་བརྙེས་པ་དེར། ། ||| “ ‘Whenever your prayers are fulfilled And you become a guide, a buddha,
རྟག་ཏུ་འཐུན་པར་ཆོས་སྤྱོད་པའི། །ཁྱོད་ཀྱི་བཙུན་མོར་བདག་གྱུར་ཅིག། ། ||| May I be your queen—a constant aide To your practice of Dharma.
གང་ཚེ་ཁྱོད་ནི་རྫོགས་སངས་རྒྱས། །འཇིག་རྟེན་གཙོ་བོ་རྣམ་འདྲེན་འགྱུར། ། ||| ‘When the day dawns that you wholly Awaken and become the chief Who guides the world,
དེ་ཡི་དུས་བབ་ཁྱོད་ཀྱི་ནི། །ཉན་ཐོས་མར་ཡང་བདག་གྱུར་ཅིག ། ||| May I become your disciple too.
མཁའ་གནས་བྲམ་ཟེའི་ཁྱེའུ་མཐོང་ནས། །བརྒྱ་ཕྲག་དང་ནི་སྟོང་ཕྲག་རྣམས། ། ||| “ ‘Now hundreds and thousands watch as A young brahmin sits in the sky.
ཐམས་ཅད་མ་འོངས་དུས་དག་ཏུ། །ཉན་ཐོས་ཉིད་དུ་སྨོན་པར་བྱེད། ། ||| Below, all of them make wishes One day to be your disciple.
གང་ཚེ་ཁྱོད་ནི་རྫོགས་སངས་རྒྱས། །འཇིག་རྟེན་གཙོ་བོ་རྣམ་འདྲེན་འགྱུར། །དེ་ཡི་དུས་བབ་ཁྱོད་ཀྱི་ནི། །ཉན་ཐོས་བདག་ཅག་འགྱུར་བར་ཤོག ། ||| “ ‘When the day dawns that you wholly Awaken and become the chief Who guides the world—when that time comes, May we all become your disciples.’
དེ་ནས་གང་གི་ཚེ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མར་མེ་མཛད་ཀྱིས་བྲམ་ཟེའི་ཁྱེའུ་བློ་གྲོས་བཟང་པོ་ལུང་བསྟན་པ་དེའི་ཚེ། རྒྱལ་པོ་མར་མེས་དེའི་སྐྲ་བླངས་ནས་རྒྱལ་པོ་ནོར་ཅན་གྱི་བུས་སྨྲས་པ། ||| “King Dīpa picked up the hair that had fallen away after the totally and completely awakened Buddha Dīpaṃkara had prophesied about the young brahmin Sumati’s awakening, and King Vāsava said,
སྐྲ་འདི་དག་བདག་ལ་བྱིན་ཅིག ། ||| ‘Give me that hair.’
དེ་ནས་རྒྱལ་པོ་མར་མེས་སྐྲ་དེ་དག་དེ་ལ་བྱིན་ནས་དེས་བླངས་ཏེ། ||| King Dīpa gave the hair to him, and King Vāsava took it and counted it.
བགྲངས་ན་སྐྲ་ཉག་མ་བརྒྱད་ཁྲི་བྱུང་ངོ་། ། ||| There were eighty thousand strands of hair,
དེ་ནས་རྒྱལ་པོ་དེའི་བློན་པོ་རྣམས་ཀྱིས་གསོལ་པ། ||| so the king’s ministers beseeched him,
ལྷ་བདག་ཅག་ལ་སྐྲ་ཉག་མ་རེ་རེ་སྩལ་བར་གསོལ། འོན་ཀྱང་བདག་ཅག་གིས་དེ་རྣམས་མཆོད་རྟེན་དུ་བགྱི་བར་འཚལ་ལོ། ། ||| ‘Deva, we would like to request that you give each of us one strand of hair, for we wish to make stūpas of them.’
དེ་ནས་རྒྱལ་པོ་དེས་བློན་པོ་དེ་དག་ལ་སྐྲ་ཉག་མ་རེ་རེ་བྱིན་ནས་བློན་པོ་དེ་དག་རང་རང་གི་ཡུལ་དུ་སོང་སྟེ་མཆོད་རྟེན་བརྩིགས་སོ། ། ||| “The king gave a strand of hair to each of his ministers, who returned to their provinces and built stūpas.
གང་གི་ཚེ་བྲམ་ཟེའི་ཁྱེའུ་བློ་གྲོས་བཟང་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་པ་དེའི་ཚེ། རྒྱལ་པོ་མར་མེ་དང་རྒྱལ་པོ་ནོར་ཅན་གྱི་བུ་དང་གྲོང་ཁྱེར་གྱི་མི་དང་ཡུལ་གྱི་མི་དུ་མས་མ་འོངས་པའི་དུས་ཀྱི་ཡོན་ཏན་ལ་བལྟས་ཏེ་ཡོ་བྱད་ཐམས་ཅད་བསྟབས་སོ། །དེ་ནས་བློ་གྲོས་བཟང་པོས་བྲམ་ཟེའི་ཁྱེའུ་བློ་གྲོས་ལ་སྨྲས་པ། ||| When the young brahmin Sumati’s unexcelled, total, and complete enlightenment was prophesied, King Dīpa, King Vāsava, and the inhabitants of the cities and the countryside, seeing the great good that would come of building the stūpas, provided all that was necessary for the ministers to do so.
ང་ནི་བླ་ན་མེད་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་ན་ཁྱོད་ཀྱིས་གང་དུ་སེམས་བསྐྱེད། ||| “Then Sumati asked the young brahmin Mati, ‘What was going through your mind as he prophesied my unexcelled, total, and complete enlightenment?’
དེས་སྨྲས་པ། བདག་ནི་མ་རུང་ངོ་། ། ||| “ ‘What I thought wasn’t right,’ he replied.
བྲམ་ཟེའི་ཁྱེའུ་བློ་གྲོས་བཟང་པོས་སྨྲས་པ། ཁྱོད་ཀྱིས་ཅི་ཞིག་བྱས་ན། མ་རུང་བར་འགྱུར། ||| “ ‘What was so wrong about it?’ asked the young brahmin Sumati.
དེས་སྨྲས་པ། གང་གི་ཚེ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མར་མེ་མཛད་ཀྱི་ཞབས་ཀྱིས་ཁྱོད་ཀྱི་སྐྲ་བརྫིས་པ་དེའི་ཚེ། བདག་ཁྲོས་ཏེ་སྨྲས་པ། ||| “ ‘I got angry when the totally and completely awakened Buddha Dīpaṃkara stepped on your hair, and I said,
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མར་མེ་མཛད་ཀྱིས། བྲམ་ཟེའི་སྐྲ་ཕྱུགས་ལ་བྱ་བ་བཞིན་དུ་རྐང་པས་བརྫིས་སོ་ཞེས་བྱས་སོ། ། ||| ‘See how the totally and completely awakened Buddha Dīpaṃkara tramples the young brahmin Sumati’s hair with his foot as if it were an animal hide!’
དེ་ནས་བློ་གྲོས་བཟང་པོས་དེ་ལ་སྨྲས་པ། ཚུར་ཤོག་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་དུ་རབ་ཏུ་འབྱུང་བར་བྱའོ། ། ||| “Sumati replied, ‘Come! Let us go forth in the presence of the Blessed Buddha.’
དེ་ནས་བློ་གྲོས་བཟང་པོ་དང་བློ་གྲོས་གཉིས་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མར་མེ་མཛད་ཀྱི་གསུང་རབ་ལ་རབ་ཏུ་བྱུང་སྟེ། ||| Sumati and Mati both went forth in the teaching of the totally and completely awakened Buddha Dīpaṃkara.
བློ་གྲོས་བཟང་པོ་ནི་རབ་ཏུ་བྱུང་ནས་སྡེ་སྣོད་གསུམ་བསླབས་ཏེ་ཆོས་བཞིན་དུ་འཁོར་བསྡུས་སོ། ། ||| Having gone forth, Sumati studied the Tripiṭaka and gathered disciples in accord with the Dharma.
དེ་ནས་བྲམ་ཟེའི་ཁྱེའུ་བློ་གྲོས་བཟང་པོ་ཤི་འཕོས་ཏེ་དུས་ལས་འདས་ནས་དགའ་ལྡན་གྱི་ལྷའི་རིས་སུ་སྐྱེས་སོ། ། ||| Then the young brahmin Sumati died, transmigrated, and took rebirth in the Tuṣita Heaven.
བྲམ་ཟེའི་ཁྱེའུ་བློ་གྲོས་ནི་ཤི་འཕོས་ཏེ་དུས་ལས་འདས་ནས་སེམས་ཅན་དམྱལ་བར་སྐྱེས་སོ། ། ||| As for the young brahmin Mati, after he died, he transmigrated and took rebirth as a hell being.
དགེ་སློང་དག་ཇི་སྙམ་དུ་སེམས། ||| “O monks, what do you think?
དེའི་ཚེ་དེའི་དུས་ན་བྲམ་ཟེའི་ཁྱེའུ་བློ་གྲོས་བཟང་པོར་གྱུར་པ་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་གནས་པ་གང་ཡིན་པ་དེ་ནི་ང་ཉིད་ཡིན་ཏེ ||| I am the one who was the young brahmin Sumati then, and who was established in the bodhisattva practice.
ངས་དེར་སངས་རྒྱས་མར་མེ་མཛད་ལ་ཨུད་པ་ལ་སྔོན་པོ་དག་གིས་མཆོད་པ་བྱས་པའི་ལས་དེའི་རྣམ་པར་སྨིན་པས། འཁོར་བ་ན་བདེ་བ་ཆེན་པོ་མྱོང་བར་གྱུར་ཏེ། ||| The act of my offering blue lotuses to Buddha Dīpaṃkara ripened and caused me to experience great happiness in saṁsāra.
དགེ་བའི་རྩ་བ་དེས་ན་ངའི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་རྒྱུ་ཙམ་དང་རྐྱེན་ཙམ་དང་ཚོགས་ཙམ་དུ་གྱུར་ལ་ད་ལྟའི་བར་དུ་ཡང་ལས་དེའི་རྣམ་པར་སྨིན་པས་མཛའ་སྡེ་བོ་ལྔ་བརྒྱ་པོ་རྣམས་ཀྱིས་འདི་ལྟ་བུའི་མཆོད་པ་བྱས་པ་ཡིན་ནོ།། །། ||| That root of virtue became the sole cause, condition, and accumulation of my unexcelled, total, and complete enlightenment, and up to this day the ripening of that action is the reason that the band of five hundred friends have made offerings to me in the same way.”
འཇིགས་མེད་ཅེས་བྱ་བ་ནི། ||| The Story of Abhaya
བཅོམ་ལྡན་འདས་མཉན་དུ་ཡོད་པ་ནས་རྒྱལ་པོའི་ཁབ་ཏུ་གཤེགས་པ་ལས། རི་ཁྲོད་ཅིག་ཏུ་བྱོན་ནས་དེ་དེར་གཤེགས་པ་ན། ཤིང་གི་གྲིབ་མ་ལ་སྐད་ཅིག་མཉེལ་བསོ་ནས་ཆས་ཏེ་གཤེགས་སོ། ། ||| As the Blessed One was traveling from Śrāvastī to Rājagṛha, he came to a certain place in the wilderness where, under the shade of the trees, he paused to rest a moment before continuing.
ལམ་དེ་ཡང་སེང་གེའི་འཇིགས་པ་ཆེན་པོ་དང་ལྡན་པ་ཞིག་སྟེ། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་ལམ་ཁ་གཉིས་སུ་གྱེས་པ་མཐོང་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་གསོལ་ཏོ། ། ||| Up ahead, Venerable Ānanda saw a fork in the path. There was great danger of lions on the path, so he asked the Blessed One,
བཙུན་པ་ཤུལ་འདི་ནི་ཁ་གཉིས་སུ་གྱེས་ཏེ། ||| “Lord, the road forks here.
དེ་ལ་ཤུལ་གཅིག་ནི་དྲང་ལ་འཇིགས་པ་དང་བཅས་པ་ལགས། ||| One way is direct but dangerous;
ཤུལ་གཅིག་ནི་འཁྱོག་ལ་འཇིགས་པ་མ་མཆིས་པ་ལགས་ན། ||| the other is meandering but safe.
བཙུན་པ་ཤུལ་གང་དུ་གཤེགས་པར་མཛད། ||| Lord, by which path should we proceed?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
ཀུན་དགའ་བོ་གང་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་བཞུགས་པ་དེ་ན་ནི། འཇིགས་པའམ་སྐྲག་པའམ་བག་ཚ་བ་ཅི་ཡང་མེད་ཀྱིས་ལམ་དྲང་པོ་ལོགས་སུ་དྲོངས་ཤིག་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| “Ānanda, wherever the tathāgatas, the arhats, the totally and completely awakened buddhas dwell there is nothing to fear, and no need to be scared or anxious, so lead us down the direct path.”
གྲོང་མིའི་བྱིས་པ་གཉིས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་ཐག་མི་རིང་བ་ཞིག་ན་རྩེ་ཞིང་འདུག་སྟེ། ||| Two children from the village were playing not far from where the Blessed One stood.
དེ་གཉིས་ལ་གཅིག་ནི་རྔེའུ་ཆུང་ཐོགས་སོ། ། ||| One of them was holding a tiny drum.
གཅིག་ནི་མདའ་གཞུ་ཐོགས་སོ། ། ||| The other clasped a bow and arrow.
དེ་ནས་ཁྱེའུ་དེ་གཉིས་ཀྱིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་སྐུ་སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་བརྒྱན་ཅིང་སྤ་བར་བྱས་པ་རྒྱང་ནས་མཐོང་ངོ་། ། ||| The two of them saw the Blessed One from a distance, graced and resplendent with the thirty-two excellent marks of a great person.
མཐོང་ནས་ཀྱང་དགའ་བ་སྐྱེས་སོ། ། ||| They looked at the Blessed Buddha, and the sight of him filled them with happiness.
དགའ་བ་སྐྱེས་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Happily they approached the Blessed One, and when they arrived they touched their heads to the Blessed One’s feet and requested of him,
བཙུན་པ་ཤུལ་འདི་ན་སེང་གེའི་འཇིགས་པ་ནི་མཆིས་མོད་ཀྱི། འོན་ཀྱང་བཅོམ་ལྡན་འདས་གཤེགས་པ་དང་། བདག་ཅག་གཉིས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱི་བསེལ་བགྱི་བར་འཚལ་ལོ། ། ||| “Lord, though there is great danger of lions on this path, please allow us to escort the Blessed One.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཁྱེའུ་ཁྱོད་གཉིས་ཀྱིས་སེང་གེའི་འཇིགས་པ་བྱུང་ན་ཇི་ལྟར་བྱ། ||| The Blessed One asked, “Children, what will you do if the threat of lions becomes imminent?”
དེར་གཅིག་གིས་གསོལ་པ། བཙུན་པ་བདག་གིས་རོལ་མོའི་སྒྲས་སྐྲག་པར་བགྱིའོ། ། ||| The first one replied, “Lord, I’ll scare them with the sound of my drum!”
གཅིག་གིས་གསོལ་པ། བདག་གིས་ནི་མདའ་གཞུའི་སྒྲས་སྐྲག་པར་བགྱིའོ། ། ||| And the other replied, “I’ll scare them with the sound of my bow and arrow!”
ཁྱེའུ་དེ་གཉིས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱི་མདུན་ལོགས་སུ་ཆས་སོ། ། ||| The children walked on ahead of the Blessed One,
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགོངས་པ། ||| and the Blessed One thought,
འདི་གཉིས་ཀྱིས་ནི་དགེ་བའི་རྩ་བ་རྣམས་བསྐྱེད་ཟིན་ཏོ་སྙམ་དུ་དགོངས་ནས་ ||| “These two have already produced roots of virtue.”
བཀའ་སྩལ་པ། ཁྱེའུ་ཁྱེད་གཉིས་ཀྱིས་སེམས་དགའ་བ་བསྐྱེད་པ་དེ་ཙམ་གྱིས་བསེལ་བྱས་ཟིན་ཏེ་ ||| With this thought, the Blessed One told them, “Children, by your mere happiness the two of you have already escorted me to safety.
ཆོག་གིས་ཕྱིར་དེངས་ཤིག །དེ་ནས་ཁྱེའུ་དེ་གཉིས་ཕྱིར་ལོག་ནས། ||| You may be on your way now,” and the two children departed.
བཅོམ་ལྡན་འདས་འཛུམ་པ་མཛད་དེ་འདི་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་གང་གི་ཚེ་འཛུམ་པ་མཛད་པའི་ཆོས་ཉིད་དེ། དེའི་ཚེ་ཞལ་ནས་འོད་ཟེར་སྔོན་པོ་དང་སེར་པོ་དང་དམར་པོ་དང་དཀར་པོ་རྣམས་བྱུང་ནས་ཁ་ཅིག་ནི་འོག་ཏུ་འགྲོའོ། །ཁ་ཅིག་ནི་སྟེང་དུ་འགྲོའོ། ། ||| At that moment, the Blessed One smiled. Now it is the nature of the blessed buddhas’ smiles that when they smile, colorful beams of blue, yellow, red, and white light radiate from their mouths, with some traveling up and others traveling down.
འོག་ཏུ་འགྲོ་བ་གང་ཡིན་པ་དེ་དག་ནི་སེམས་ཅན་དམྱལ་བ་ཡང་སོས་དང་ཐིག་ནག་དང་འདུས་འཇོམས་དང་ངུ་འབོད་དང་ངུ་འབོད་ཆེན་པོ་དང་ཚ་བ་དང་རབ་ཏུ་ཚ་བ་དང་མནར་མེད་པ་དང་ཆུ་བུར་ཅན་དང་ཆུ་བུར་རྡོལ་དང་སོ་ཐམས་ཐམས་དང་ཀྱི་ཧུད་ཟེར་དང་ཨ་ཆུ་ཟེར་དང་ཨུད་པལ་ལྟར་གས་པ་དང་པད་མ་ལྟར་གས་པ་དང་པད་མ་ལྟར་གས་པ་ཆེན་པོར་སོང་ནས ||| Those that travel down go to the beings in the Reviving Hell, the Black Thread Hell , the Crushing Hell, the Shrieking Hell, the Screaming Hell, the Hot Hell, the Hell of Extreme Heat, the Hell of Ceaseless Agony, the Blistering Hell, the Bursting Blister Hell, the Hell of Chattering Teeth, the Hell of Lamentation, the Cold Whimpering Hell, the Splitting Open Like a Blue Lotus Hell, the Splitting Open Like a Lotus Hell, and the Splitting Open Like a Great Lotus Hell,
ཚ་བའི་སེམས་ཅན་དམྱལ་བ་གང་ཡིན་པ་དེ་དག་ཏུ་ནི་བསིལ་བར་གྱུར་ཏེ་འབབ་བོ། ། ||| and as they descend they cool the beings in the hot hells , [and warm the beings in the cold hells.]
གྲང་བའི་སེམས་ཅན་དམྱལ་བ་གང་ཡིན་པ་དེ་དག་ཏུ་ནི་དྲོ་བར་གྱུར་ཏེ་འབབ་བོ། ། ||| and as they descend they [cool the beings in the hot hells , and] warm the beings in the cold hells.
དེས་ནས་སེམས་ཅན་དེ་དག་གི་གནོད་པའི་ཁྱད་པར་རྣམས་རྩེ་ཞིལ་བར་གྱུར་ཏོ། །དེ་ནས་དེ་དག་འདི་སྙམ་དུ་སེམས་ཏེ། ||| In this way they soothe the particular injuries of those beings, who wonder,
ཀྱེ་ཅི་བདག་ཅག་འདི་ནས་ཤི་འཕོས་སམ་འོན་ཏེ་གཞན་དུ་སྐྱེས་སམ་སྙམ་མོ། ། ||| “Have we died and been reborn somewhere other than this place?”
དེ་ནས་དེ་དག་དད་པ་བསྐྱེད་པའི་ཕྱིར་བཅོམ་ལྡན་འདས་སྤྲུལ་པ་འགྱེད་པར་མཛད་དེ། དེ་དག་གིས་སྤྲུལ་པ་མཐོང་ནས་འདི་སྙམ་དུ་སེམས་ཏེ། ||| Then, to engender faith in them, the blessed ones radiate an emanation, and when the beings see it, they think,
ཀྱེ་བདག་ཅག་ནི་འདི་ནས་ཀྱང་ཤི་འཕོས་པར་མ་གྱུར་ལ། །གཞན་དུ་ཡང་མ་སྐྱེས་མོད་ཀྱི། ||| “Alas, it is neither that we have died and left this place, nor that we have been born elsewhere.
འོན་ཀྱང་སྔོན་མ་བྱུང་བའི་སེམས་ཅན་སྣང་བ་འདིའི་མཐུས། བདག་ཅག་གི་གནོད་པའི་ཁྱད་པར་རྣམས་རྩེ་ཞིལ་བར་གྱུར་ཏོ་སྙམ་མོ། ། ||| Rather it is because of the unprecedented appearance of this emanation that our particular injuries have been soothed.”
དེ་ནས་དེ་དག་སྤྲུལ་པ་ལ་སེམས་མངོན་པར་དགའ་བར་གྱུར་ནས། སེམས་ཅན་དམྱལ་བ་མྱོང་བར་འགྱུར་བའི་ལས་དེ་ཟད་དེ། ||| They feel real joy toward the emanation, exhausting the deeds that brought them to experience the hells.
ལྷ་དང་མི་རྣམས་ཀྱི་ནང་དུ་གང་དུ་བདེན་པ་རྣམས་ཀྱི་སྣོད་དུ་རུང་བར་འགྱུར་བ་དེར་ཉིང་མཚམས་འཛིན་པར་གྱུར་ཏོ། ། ||| Now, as fit vessels of the truths, they take rebirth among the gods and humans.
སྟེང་དུ་འགྲོ་བ་གང་ཡིན་པ་དེ་དག་ནི་རྒྱལ་ཆེན་བཞིའི་རིས་རྣམས་དང་སུམ་ཅུ་རྩ་གསུམ་པ་རྣམས་དང་འཐབ་བྲལ་རྣམས་དང་དགའ་ལྡན་རྣམས་དང་འཕྲུལ་དགའ་རྣམས་དང་གཞན་འཕྲུལ་དབང་བྱེད་རྣམས་དང་ཚངས་རིས་རྣམས་དང་ཚངས་པའི་མདུན་ན་འདོན་པ་རྣམས་དང་ཚངས་པ་ཆེན་པོ་རྣམས་དང་འོད་ཆུང་རྣམས་དང་ཚད་མེད་འོད་རྣམས་དང་འོད་གསལ་རྣམས་དང་ ||| The rays of light that travel up go to the following gods: those of the Abodes of the Four Great Kings, the Heaven of the Thirty-Three, the Strifeless Heaven, Tuṣita Heaven, the Delighting in Creation Heaven, the Heaven of the Masters of Others’ Creations, and the Heaven of Brahmā’s Assembly; those of the realms called Brahmin Priests, Great Brahmā, Limited Splendor, Immeasurable Splendor, Radiant Heaven,
དགེ་ཆུང་རྣམས་དང་། ཚད་མེད་དགེ་རྣམས་དང་དགེ་རྒྱས་རྣམས་དང་སྤྲིན་མེད་རྣམས་དང་བསོད་ནམས་སྐྱེས་རྣམས་དང་འབྲས་བུ་ཆེ་རྣམས་དང་མི་ཆེ་རྣམས་དང་མི་གདུང་རྣམས་དང་གྱ་ནོམ་སྣང་རྣམས་དང་ཤིན་ཏུ་མཐོང་རྣམས་དང་འོག་མིན་གྱི་ལྷ་རྣམས་ཀྱི་བར་དུ་སོང་ནས ||| Lesser Virtue, Immeasurable Virtue, Extensive Virtue, and the Cloudless Heaven; and those of the realms called Increasing Merit, Great Result , None Greater, Sorrowless, Sublime Vision, Great Vision, and Supreme .
མི་རྟག་པ་དང་སྡུག་བསྔལ་བ་དང་སྟོང་པ་དང་བདག་མེད་པའི་སྒྲ་སྒྲོགས་སོ། ། ||| There they sound a cry of impermanence, suffering, emptiness, and selflessness,
ཚིགས་སུ་བཅད་པ་གཉིས་ཀྱང་རྗོད་པར་བྱེད་དེ། ||| and they echo the following two verses:
ངེས་པར་འབྱུང་བ་བརྩམ་པར་གྱིས། །སངས་རྒྱས་བསྟན་ལ་སྦྱོར་བར་གྱིས། །འདམ་བུའི་ཁྱིམ་ལ་གླང་ཆེན་བཞིན། །འཆི་བདག་སྡེ་ནི་གཞོམ་པར་གྱིས། ། ||| Cultivate renunciation, Practice the Buddha’s teaching— Trample the lord of death’s army Like an elephant in a house of reeds!
གང་ཞིག་ཆོས་འདུལ་འདི་ཉིད་ལ། །བག་ཡོད་སྤྱོད་པར་བྱེད་པ་ནི། །སྐྱེ་བའི་འཁོར་བ་རབ་སྤངས་ནསསྡུག་བསྔལ་ཟད་པར་བྱེད་པར་འགྱུར། ། ||| Those who mind their way along the path Of this Dharma and Vinaya Will abandon the round of rebirth And put an end to suffering.
དེ་ནས་འོད་ཟེར་དེ་དག་གིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་བསྐོར་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཕྱི་བཞིན་འབྲང་སྟེ། ||| Then the rays of light circle through the three-thousandfold universe and come back to the blessed ones.
གལ་ཏེ་བཅོམ་ལྡན་འདས་ཀྱིས་འདས་པའི་ལས་ལུང་སྟོན་པར་བཞེད་ན་ནི་བཅོམ་ལྡན་འདས་ཀྱི་སྣམ་ལོགས་སུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should the blessed one wish to make a revelation about past deeds, they will disappear into the Blessed One’s back.
མ་འོངས་པའི་ལས་ལུང་སྟོན་པར་བཞེད་ན་ནི་མདུན་ལོགས་སུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to foretell the future, they will disappear into the chest.
སེམས་ཅན་དམྱལ་བར་སྐྱེ་བར་ལུང་སྟོན་པར་བཞེད་ན་ནི་ཞབས་ཀྱི་མཐིལ་དུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about a hell birth, they will disappear into the soles of the feet.
དུད་འགྲོར་སྐྱེ་བར་ལུང་སྟོན་པར་བཞེད་ན་ནི་ཞབས་ཀྱི་རྟིང་པར་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about an animal birth, they will disappear into the heels.
ཡི་དགས་སུ་སྐྱེ་བར་ལུང་སྟོན་པར་བཞེད་ན་ནི་ཞབས་ཀྱི་མཐེ་བོར་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about birth as an anguished spirit, they will disappear into the big toe.
མིར་སྐྱེ་བར་ལུང་སྟོན་པར་བཞེད་ན་ནི་པུས་མོ་གཉིས་སུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about a human birth, they will disappear into the knees.
སྟོབས་ཀྱི་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་ལུང་སྟོན་པར་བཞེད་ན་ནི་ཕྱག་གཡོན་པའི་མཐིལ་དུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about someone’s becoming a great universal monarch, they will disappear into the palm of the left hand.
འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་ལུང་སྟོན་པར་བཞེད་ན་ནི་ཕྱག་གཡས་པའི་མཐིལ་དུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about someone’s becoming a universal monarch, they will disappear into the palm of the right hand.
ལྷར་སྐྱེ་བར་ལུང་སྟོན་པར་བཞེད་ན་ནི་ལྟེ་བར་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about a god birth, they will disappear into the navel.
ཉན་ཐོས་ཀྱི་བྱང་ཆུབ་ཏུ་ལུང་སྟོན་པར་བཞེད་ན་ནི་ཞལ་དུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about the enlightenment of the listeners, they will disappear into the mouth.
རང་སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་ཏུ་ལུང་སྟོན་པར་བཞེད་ན་ནི་སྨིན་མཚམས་ཀྱི་མཛོད་སྤུར་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about the enlightenment of the solitary buddhas, they will disappear into the hair between the eyebrows.
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་སྟོན་པར་བཞེད་ན་ནི་དབུའི་གཙུག་ཏོར་དུ་མི་སྣང་བར་འགྱུར་རོ། ། ||| Should he wish to prophesy about an unexcelled, total, and complete enlightenment, they will disappear into the crown of the head.
