འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why not?
མྱ་ངན་བྲལ་སེམས་ནི་སྐྱེ་བ་དང་འཇིག་པའི་ཆོས་ཅན་བས་སྒྱུ་མ་ལྟ་བུ་ཡིན་པའི་ཕྱིར་ཏེ། ||| Because, Vigataśoka , the mind is subject to arising and destruction, and is therefore like an illusion.
སྐྱེ་བ་དང་འཇིག་པའི་ཆོས་ཅན་གྱི་སེམས་སྒྱུ་མ་ལྟ་བུ་ལ་ཡོད་པའམ། མེད་པ་ཡང་མེད་དོ། ། ||| And an illusory mind that is subject to arising and destruction is neither there nor not there.
མྱ་ངན་བྲལ་གང་ཡོད་པའམ། མེད་པ་དེ་ནི་ལྟ་བ་དེ་ཡིན་ཏེ། གང་དེ་ལྟ་བུའི་ལྟ་བ་དེ་ནི་ལོག་པར་ལྟ་བའོ། ། ||| Vigataśoka , a view is involved whether something is there or not, and any such view of presence or absence is a wrong view.
གང་ལོག་པར་ལྟ་བ་དེ་ནི་ལམ་གོལ་བ་ཡིན་ཞིང་ལམ་མ་ཡིན་ལ། ||| Whenever there is wrong view, one is on an errant path, a wrong path.
དེ་བྱང་ཆུབ་ཀྱི་ལམ་མ་ཡིན་པས་དེའི་བྱང་ཆུབ་དེ་ཐག་རིང་བ་ཡིན་ཞིང་བྱང་ཆུབ་དེ་ཐག་ཉེ་བ་མ་ཡིན་ལ། ||| One is not on the path of awakening, and hence one is far from awakening, not near it.
དེའི་བྱང་ཆུབ་བགྲོད་པར་དཀའ་བ་ཡིན་ཏེ ||| Reaching awakening will be hard.
མྱ་ངན་བྲལ་དེ་ལྟ་བས་ན་དེ་དག་ཐམས་ཅད་ནི་སྤྲོས་པ་ཡིན་ནོ། ། ||| “ ‘Therefore, Vigataśoka , all that is mental construction.
གང་དག་ཆོས་སྤྲོས་པ་དང་ལྡན་པ་དང་། ཆོས་རློམ་སེམས་དང་ལྡན་པ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔས་བསྟེན་པར་བྱ་བ་མ་ཡིན་ནོ། ། ||| Anything that involves mental construction and conceit is not something for a bodhisattva to rely on.
བྱང་ཆུབ་སེམས་དཔས་བསྟེན་པར་བྱ་བའི་ཆོས་ཀྱང་གང་ཞེ་ན། ||| What, then, should a bodhisattva rely on?
བྱང་ཆུབ་སེམས་དཔས་ཆོས་གང་ཡང་བསྟེན་པར་བྱ་བ་མ་ཡིན་པ་སྟེ། ||| A bodhisattva should not rely on anything.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why not?
ཆོས་རྣམས་བསྟེན་པར་གྱུར་ན་ནི་ཆོས་མ་ཡིན་པ་རྣམས་བསྟེན་པར་འགྱུར་བའི་ཕྱིར་རོ། ། ||| Because if one relies on something, one does not properly rely.
དེ་ལྟར་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཐམས་ཅད་ལ་མངོན་པར་ཞེན་པར་མི་བྱ་སྟེ། ||| Thus, a bodhisattva should not be attached to anything.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why not?
བྱང་ཆུབ་ནི་གཞི་མེད་པའི་ཕྱིར་རོ། ། ||| Because awakening is baseless.
གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔས་དེ་ལྟར་རློམ་སེམས་སུ་བྱེད་ན། དེ་ཡང་ཆོས་མ་ཡིན་པ་སྟེ། ||| And should a bodhisattva conceptualize this, that would not be right.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
བྱང་ཆུབ་ནི་རློམ་སེམས་མེད་པའི་ཕྱིར་རོ། ། ||| Because awakening is beyond concepts.
གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་དེ་ལྟར་གནས་པར་བྱེད་ན། དེ་ཡང་ཆོས་མ་ཡིན་པ་སྟེ། ||| If a bodhisattva should become fixed on this, that would not be right.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
བྱང་ཆུབ་ནི་གནས་མེད་པའི་ཕྱིར་རོ། ། ||| Because awakening is beyond fixation.
གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་དེ་ལྟར་མོས་པར་བྱེད་ན། དེ་ཡང་ཆོས་མ་ཡིན་པ་སྟེ། ||| Should a bodhisattva think in such ways, that would not be right.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
བྱང་ཆུབ་ནི་མོས་པ་མེད་པའི་ཕྱིར་རོ། ། ||| Because awakening knows no concepts.
གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་དེ་ལྟར་རབ་ཏུ་ཤེས་པར་བྱེད་ན། དེ་ཡང་ཆོས་མ་ཡིན་པ་སྟེ། ||| If a bodhisattva determines this, that would not be right.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
བྱང་ཆུབ་ནི་མཚན་ཉིད་མེད་པའི་ཕྱིར་རོ། ། ||| Because awakening has no characteristics.
གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་དེ་ལྟར་ཁོང་དུ་ཆུད་པར་བྱེད་ན། དེ་ཡང་ཆོས་མ་ཡིན་པ་སྟེ། ||| If a bodhisattva comprehends this, that would not be right.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why not?
བྱང་ཆུབ་ནི་འགྱུར་བ་མེད་པའི་ཕྱིར་རོ། ། ||| Because awakening does not change.
གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔས་དེ་ལྟར་མངོན་དུ་བྱའོ་སྙམ་ནས་དེ་ལྟར་སྒོམ་པར་བྱེད་ན། ||| Should a bodhisattva believe that there is something to actualize,
དེ་ཡང་ཆོས་མ་ཡིན་པ་སྟེ། ||| that would not be right.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why not?
བྱང་ཆུབ་ནི་མེད་པའི་ཕྱིར་དང་། བྱང་ཆུབ་དེ་ནི་ཡི་གེ་མེད་པའི་ཕྱིར་རོ། ། ||| Because there is no awakening and because awakening is beyond syllables.’
དེ་ནས་དགེ་སློང་མྱ་ངན་བྲལ་གྱིས་དགེ་སློང་མྱ་ངན་མེད་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| “The monk Vigataśoka then said to the monk Aśoka ,
མྱ་ངན་མེད་བྱང་ཆུབ་དེ་མེད་དམ་ཅི་ན། ||| ‘ Aśoka , why should there not be any awakening?
དེའི་ཕྱིར་དེ་སྐད་སྟོན། ||| Let me explain:
ཇི་སྟེ་མྱ་ངན་བྲལ་ཡོད་ཅིང་བདག་ཡོད་ན་ནི་བྱང་ཆུབ་ཀྱང་ཡོད་དོ། ། ||| Vigataśoka is here and, since I am here, there is also awakening.’
དགེ་སློང་མྱ་ངན་མེད་ཀྱིས་སྨྲས་པ། ||| replied the monk Aśoka ,
ཕུ་བོ་ཁྱོད་སྤྲོས་པ་མེད་པའི་བྱང་ཆུབ་ལ་བྱང་ཆུབ་ཡོད་ཅེའམ། མེད་ཅེས་རྣམ་པར་མ་རྟོག་ཤིག ། ||| “ ‘Brother,’ ‘please do not think that nonconceptual awakening either exists or does not exist.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why?
ཇི་ཙམ་དུ་སྤྲོས་པ་དེ་ནི་བྱང་ཆུབ་མ་ཡིན་ནོ། ། ||| Because as long as there are concepts there is no awakening.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| And why?
བྱང་ཆུབ་ནི་སྤྲོས་པ་མེད་པའི་ཕྱིར་ཏེ། ||| Because awakening does not involve any concepts.
འདི་ནི་ཚུལ་ཡིན་ནོ། ། ||| This is how it is.
ཡང་ན་ཇི་ཙམ་དུ་སྤྲོས་པ་དེ་ཙམ་དུ་བྱང་ཆུབ་བོ། ། ||| Or, in other words, the more constructs, the more awakening.’
མྱ་ངན་བྲལ་གྱིས་སྨྲས་པ། ||| said Vigataśoka ,
ནུ་བོ་ཇི་ཙམ་དུ་སྤྲོས་པ་དེ་བྱང་ཆུབ་བོ། ཞེས་སྨྲས་པ་དེའི་དོན་བདག་གིས་མི་ཤེས་སོ། ། ||| “ ‘Brother’ ‘I do not understand what you mean by saying “the more constructs, the more awakening.” ’
དེ་ནས་དགེ་སློང་མྱ་ངན་མེད་ཀྱིས་ཕུ་བོ་ལ་སྨྲས་པ། ||| “The monk Aśoka then said to his brother,
ཕུ་བོ་དེའི་ཕྱིར་གཉི་ག་འགྲོགས་ནས། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་བདེ་བའི་རྒྱལ་པོ་ག་ལ་བ་དེར་འདོང་ངོ་། ། ||| ‘Brother, for that reason let us together go before the blessed thus-gone King of Bliss.’
དེ་ནས་དེ་གཉིས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་བདེ་བའི་རྒྱལ་པོ་དེ་ག་ལ་བ་དེར་དོང་ནས། ||| “The two of them then went to the place where the blessed thus-gone King of Bliss was residing.
བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། །དེ་གཉིས་ཕྱོགས་གཅིག་ཏུ་འཁོད་ནས་ཀྱང་། ||| Having bowed their heads to his feet, they sat to one side, and
བཅོམ་ལྡན་འདས་དེ་ལ་གཏམ་ཀུན་ཏུ་བརྗོད་པ་དེ་ཇི་སྙེད་བྱུང་བ་དེ་ཐམས་ཅད་གསོལ་ཏོ། ། ||| from there they conveyed their entire conversation to the Blessed One.
དེ་ནས་བཅོམ་ལྡན་འདས་དེས་དགེ་སློང་མྱ་ངན་མེད་ལ་མྱ་ངན་མེད་ལེགས་སོ་ལེགས་སོ། །ཞེས་བྱ་བ་བྱིན་ཏེ། ||| In response, the Blessed One expressed his approval to the one monk, saying, ‘Excellent, Aśoka .’
དེ་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ནས་ཀྱང་། དགེ་སློང་མྱ་ངན་བྲལ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| “The blessed one then turned to Vigataśoka and said,
མྱ་ངན་བྲལ་དེ་དེ་བཞིན་ཏེ། ||| ‘ Vigataśoka , this is how it is.
ཇི་ཙམ་དུ་སྤྲོས་པ་དེ་ནི་བྱང་ཆུབ་སྟེ། ||| The more constructs, the more awakening.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
སྤྲོས་པ་ཐམས་ཅད་ནི་དབེན་པ་ཡིན་པའི་ཕྱིར་ཏེ། བྱང་ཆུབ་དེ་ཡང་དབེན་པ་ཡིན་ནོ། ། ||| Because all constructs are void, and so is awakening.
དབེན་པ་ཉིད་ཀྱང་གང་ཞེ་ན། ||| What then is voidness?
སྤྲོས་པ་གང་ཡིན་པའོ། ། ||| Voidness is a construct.
སྤྲོས་པ་གང་ཞེ་ན། ||| And what are constructs?
རྟོག་པ་སྟེ། ||| They are thought.
གཟུགས་སྤྲོས་པ་དང་། ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་སྤྲོས་པ་དང་། ཚུལ་ཁྲིམས་སྤྲོས་པ་དང་། ཏིང་ངེ་འཛིན་སྤྲོས་པ་དང་། འདོད་པ་ཆུང་བ་ཉིད་སྤྲོས་པ་དང་། ཆོག་ཤེས་པ་ཉིད་སྤྲོས་པ་དང་། དགང་སླ་བ་ཉིད་སྤྲོས་པ་དང་། མ་འདྲེས་པ་ཉིད་སྤྲོས་པའོ། ། ||| That is to say, there are the constructs of form, feeling, perception, formation, and consciousness; the constructs of discipline and absorption; the constructs of few desires and contentment; and the constructs of being easily satisfied and being distinct.
སྤྲོས་པ་དེ་ཡང་གང་ལས་བྱུང་ཞེ་ན། ||| Where do constructs come from?
ཀུན་ཏུ་རྟོག་པ་ལས་བྱུང་སྟེ། གཟུགས་ཀྱི་ཀུན་ཏུ་རྟོག་པ་ནས་ཏིང་ངེ་འཛིན་གྱི་ཀུན་ཏུ་རྟོག་པའི་བར་དུ་ཀུན་དུ་རྟོག་པ་ཇི་སྙེད་ཡོད་པ་སྤྲོས་པ་ཡང་དེ་སྙེད་དོ། ། ||| They come from thinking, that is to say, from the thought of form to the thought of absorption—each thought is construction.
དེ་ལ་ཀུན་ཏུ་རྟོག་པ་གང་ཡིན་པ་དེ་ནི་གཟུགས་ཅན་མ་ཡིན་པའི་ཕྱིར་ཀུན་ཏུ་རྟོག་པ་ནི་གཟུགས་ཅན་མ་ཡིན་པའོ། ། ||| Whatever is thought has no form, and thus thinking is not something with form.
ཀུན་ཏུ་རྟོག་པ་གང་ཡིན་པ་དེ་ནི་རྟོག་པ་མེད་པའོ། ། ||| That which is thought is absence of thought.
ཀུན་ཏུ་རྟོག་པ་གང་ཡིན་པ་དེ་ནི་ཚུལ་ཁྲིམས་མ་ཡིན་པ་ནས་ཆོག་ཤེས་པ་ཉིད་ཀྱི་བར་དུའང་མ་ཡིན་ནོ། ། ||| That which is thought is neither discipline nor anything else, up to and including contentment.
བྱང་ཆུབ་ནི་གཟུགས་སྟོང་པ་ཉིད་དོ། ། ||| And awakening is the emptiness of form.
བྱང་ཆུབ་ནི་ཚོར་བ་དང་འདུ་ཤེས་དང་འདུ་བྱེད་རྣམས་དང་རྣམ་པར་ཤེས་པ་སྟོང་པ་ཉིད་དོ། ། ||| Awakening is the emptiness of feeling, perception, formation, and consciousness.
དེ་བཞིན་དུ་བྱང་ཆུབ་དེ་ནི་ཚུལ་ཁྲིམས་དང་། ཏིང་ངེ་འཛིན་དང་། འདོད་པ་ཆུང་བ་ཉིད་དང་། ཆོག་ཤེས་པ་ཉིད་དང་། དགང་སླ་བ་ཉིད་དང་། གསོ་སླ་བ་ཉིད་སྟོང་པ་ཉིད་དོ། ། ||| So also with discipline, absorption, few desires, contentment, being easily satisfied, and being easily nourished—all are emptiness.
སྟོང་པ་ཉིད་ནི་གཅིག་པའང་མ་ཡིན་ཐ་དད་པའང་མ་ཡིན་ཏེ། ||| And emptiness is neither sameness nor difference.
བྱང་ཆུབ་དེ་ནི་དེ་ཡིན་ནོ། ། ||| That, precisely, is what awakening is.’
དེ་ནས་དགེ་སློང་མྱ་ངན་བྲལ་གྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་དེ་ཐོས་ནས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་བོ། ། ||| “When the monk Vigataśoka heard this teaching of the Dharma he gained the acceptance that phenomena do not arise.
སེམས་གང་གིས་བྱང་ཆུབ་སེམས་དཔའ་ཞེས་བརྗོད་པའི་བྱང་ཆུབ་ཀྱི་སེམས་དེ་ཡང་རབ་ཏུ་ཤེས་སོ། ། ||| He also clearly understood what kind of mind makes someone a bodhisattva; he understood what the mind of awakening is.
དེ་ལྟར་དགེ་སློང་མྱ་ངན་མེད་དང་། དགེ་སློང་མྱ་ངན་བྲལ་དེ་ལྟར་ཆོས་རྣམས་ལ་ལྷག་མཐོང་དང་། དེ་ལྟར་ཆོས་རྣམས་རབ་ཏུ་ཤེས་པ་དང་། དེ་ལྟར་ཆོས་རྣམས་ལ་མོས་པས་ལོ་བརྒྱད་ཁྲི་བཞི་སྟོང་དུ་ནམ་ཡང་རྨུགས་པ་དང་། གཉིད་ཀྱིས་མ་ནོན་ཅིང་ནམ་ཡང་བརྩོན་འགྲུས་མ་བཏང་སྟེ ||| In this way the monks Aśoka and Vigataśoka developed special insight into, and clear knowledge of, all phenomena. With such conviction about all phenomena they persisted diligently, without any weariness or sleepiness, for eighty thousand years,
གཞན་དུ་ན་རྟག་ཏུ་འཆག་པ་ལ་མངོན་པར་བརྩོན་པ་འབའ་ཞིག་ཏུ་གྱུར་པ་ནི་མ་གཏོགས་སོ། ། ||| whereas before they had always been involved in nothing but the pursuit of their desires.
ནམ་ཡང་འདོད་ཆགས་ཀྱི་སེམས་མ་བསྐྱེད། ཞེ་སྡང་གི་སེམས་མ་བསྐྱེད། གཏི་མུག་གི་སེམས་མ་བསྐྱེད་དོ། ། ||| Thus, they did not give rise to any desire, anger, or dullness.
དེ་གཉིས་དེ་ནས་ཤི་འཕོས་ནས་འོག་གི་འཇིག་རྟེན་གྱི་ཁམས་སུ་དེ་བཞིན་གཤེགས་པ་དཔུང་མགོ་ཟླུམ་པ་ཞེས་བྱ་བའི་སངས་རྒྱས་ཀྱི་ཞིང་སངས་རྒྱས་ཀྱི་ཞིང་སྟོང་གི་རྗེས་སུ་འཐུན་པ་ཞེས་བྱ་བར་སྐྱེས་ཏེ ||| Upon their death and passing, their next birth in the world took place in the buddha realm known as Harmony with a Thousand Buddha Realms , the realm of the thus-gone Saṃvṛtta­skandha, and
དེར་ཡང་བརྩོན་འགྲུས་བརྩོམ་པ་ཡང་དག་པར་བླངས་ནས་གནས་པར་གྱུར་ཏོ། ། ||| there they continued their diligent pursuits.
མ་ཕམ་པ་རྣམ་གྲངས་དེས་བྱང་ཆུབ་སེམས་དཔའ་དེ་གཉིས་ཀྱིས་སངས་རྒྱས་བྱེ་བ་ཕྲག་དྲུག་ཅུ་རྩ་བརྒྱད་མཉེས་པར་བྱས་སོ། ། ||| “Ajita, in this way those two bodhisattvas went on to serve six hundred and eighty million buddhas, and
སྐྱེ་བ་ཐམས་ཅད་དུ་ཡང་རབ་ཏུ་བྱུང་སྟེ། ཐམས་ཅད་དུ་ཡང་བརྩོན་འགྲུས་བརྩམས་པ་དག་གིས་གནས་སོ། ། ||| in each life they lived they would always go forth and practice diligently.
དེའི་འོག་ཏུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མྱ་ངན་མེད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ཏེ། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཚོགས་མཆོག་བཀོད་པ་ཞེས་བྱ་བ་འཇིག་རྟེན་དུ་བྱུང་ངོ་། ། ||| Then, finally, the bodhisattva great being Aśoka awakened to unexcelled and perfect buddhahood and appeared in the world as the thus-gone one, the worthy one, the perfect buddha known as Array of the Perfect Assembly.
དེའི་འོག་ཏུ་བྱང་ཆུབ་སེམས་དཔའ་མྱ་ངན་བྲལ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ཏེ། དེ་བཞིན་གཤེགས་པ་མཆོག་གི་ཚོགས་ཅན་ཞེས་བྱ་བ་བྱུང་བར་གྱུར་ཏེ། ||| After that the bodhisattva Vigataśoka awakened to unexcelled and perfect buddhahood and he became the thus-gone one, the worthy one, the perfect buddha known as Supreme Accumulations .
མ་ཕམ་པ་དེ་དག་གི་གསུང་རབ་དེ་ཡང་རྒྱ་ཆེན་པོར་གྱུར་ཏོ། ། ||| Ajita, the teachings of those two became extremely vast.
མ་ཕམ་པ་དེ་བཞིན་གཤེགས་པ་དེ་དག་ནི་ཚེ་ཡང་དཔག་ཏུ་མེད་པར་གྱུར་ཏོ། ། ||| Ajita, the lifespans of those two thus-gone ones were unfathomably long.
མ་ཕམ་པ་བྱང་ཆུབ་སེམས་དཔའི་སེམས་གང་ཡིན་པ་དེ་ནི་གང་དུ་ཡང་བསྐུར་བ་མ་ཡིན། གང་ནས་ཀྱང་བླངས་པ་མ་ཡིན། ||| “Ajita, the mind of a bodhisattva is not transferred anywhere, nor is it adopted in any way.
བསྐྱེད་པ་མ་ཡིན། བཀག་པ་མ་ཡིན། གནས་པ་མ་ཡིན། ||| It cannot be engendered and it cannot be stopped. It does not abide.
རྒྱུན་ཆད་པ་མ་ཡིན། སོང་བ་མ་ཡིན། འོངས་པ་མ་ཡིན་ནོ། ། ||| It cannot be interrupted. It does not come and it does not go.
མ་ཕམ་པ་སེམས་དེ་གང་ཡིན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་གང་ཡིན་པ་དེ་གཉི་ག་ཡང་མཆོག་ཏུ་རྙེད་པར་དཀའོ། ། ||| Ajita, that mind, as well as the bodhisattva, is supremely difficult to find.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| Then the Blessed One spoke the following verses:
བསྐལ་པ་བྱེ་བ་རྣམས་སུ་ཡང་། །འཇིག་རྟེན་སྣང་བྱེད་རྣམས་ནི་དཀོན། ། ||| “Throughout millions of eons, The world illuminators are so rare.
ཨུ་དུམ་བཱ་རའི་མེ་ཏོག་བཞིན། །འཇིག་རྟེན་དུ་ནི་རེས་འགའ་འབྱུང་། ། ||| Like the flowers of the uḍumbara, They appear in the world only sometimes.
གང་དག་བྱང་ཆུབ་ཕྱིར་ཞུགས་པའི། །བྱང་ཆུབ་སེམས་དཔའ་སེམས་དེའང་དཀོན། ། ||| “Also, bodhisattvas who practice In pursuit of awakening are rare.
དཔའ་བོ་ཡི་ནི་སེམས་དེ་ཡང་། །འཇིག་རྟེན་དུ་ནི་རེས་འགའ་འབྱུང་། ། ||| The hero’s mind Will manifest in the world only sometimes.
དེ་ལྟ་བས་ན་དེ་འདྲ་བའི། །དག་པའི་སེམས་དེ་བསྐྱེད་ནས་སུ། །སངས་རྒྱས་དག་གི་སྟོབས་རྣམས་དང་། །དེ་བཞིན་མི་འཇིགས་རྣམས་ཀྱང་སྣང་། ། ||| “Thus, the ones who bring forth Such an extremely pure mind Will witness the powers of a buddha As well as the types of fearlessness.
དེ་ལས་སེང་གེའི་སྒྲ་སྒྲོགས་དང་། །དྲང་སྲོང་སྨྲ་བར་ང་ཡིས་སུ། ། ||| “They will roar like a lion, And declare the speech of the sage.
ཡང་དག་འཁོར་ལོ་བསྐོར་བ་བཞིན། །ཆོས་ཀྱི་འཁོར་ལོའང་དེ་བཞིན་ནོ། ། ||| As I turn the wheel of truth, They will turn the wheel of Dharma.
ང་ཡི་མ་འདྲེས་བཅོ་བརྒྱད་ཆོས། །མ་ཚང་མེད་པ་གང་ཡིན་དང་། །སངས་རྒྱས་རྣམས་ཀྱི་མཚན་གང་ཡིན། །དེ་དག་ཀྱང་ནི་འདིར་ལྟོས་ཤིག ། ||| “My eighteen unique qualities, Complete without anything lacking, As well as all the marks of the buddhas, You must look here to see them.
རྨོངས་པ་མེད་པས་གཤེགས་པ་དང་། །གླང་པོ་ཆེ་ཡི་གཟིགས་སྟངས་དང་། །སྤྱི་གཙུག་བལྟར་མི་མཐོང་བ་ཡང་། །སེམས་དེ་ལས་ནི་རབ་ཏུ་ལྟོས། ། ||| “The movements free from delusion, The elephant’s gaze, And the imperceptible crown— All must all be seen through that mind.
ཚུལ་ཁྲིམས་ཕ་རོལ་ཕྱིན་པ་དང་། །ཏིང་འཛིན་ཕ་རོལ་ཕྱིན་པ་དང་། །ཤེས་རབ་ཕ་རོལ་ཕྱིན་པ་དང་། །བྱང་ཆུབ་སེམས་དེའང་འདི་ལས་ལྟོས། ། ||| “Transcendent discipline, Transcendent meditative absorption, Transcendent insight, as well as the mind of awakening, Are all to be seen through this.
སངས་རྒྱས་ཆོས་རྣམས་རབ་བསྟན་པའི། །ཆོས་གཞན་གང་དག་ཡིན་པ་ཡང་། །དེ་དག་ཐམས་ཅད་སེམས་དེ་དང་། །དང་པོའི་སེམས་ལ་གནས་པ་ཡིན། ། ||| “All buddha qualities And any other qualities taught Reside, without exception, within that mind, And within its initial arousal.
ཉན་ཐོས་ཚུལ་ཁྲིམས་གང་ཡིན་དང་། །ཉན་ཐོས་ཏིང་འཛིན་གང་ཡིན་དང་། །ཤེས་རབ་ཕུང་པོ་རྫུ་འཕྲུལ་གང་། །དེ་དག་ཐམས་ཅད་འདིར་ལྟོས་ཤིག ། ||| “The discipline of the hearers, The absorptions of the hearers, And their insight and miraculous ability— You must see them all here.
སྔོན་ཆད་སེམས་ནི་བསྐྱེད་པ་དེ། །གལ་ཏེ་འཇུག་པ་མ་ཡིན་ན། ། ||| “If you do not engage The mind that you earlier brought forth, Then
བླ་ན་མེད་པའི་ཡེ་ཤེས་ཀྱང་། །འཇུག་པར་འགྱུར་བ་ག་ལ་ཡིན། ། ||| how will you ever be able To engage the unexcelled wisdom?
སངས་རྒྱས་ཆོས་རྣམས་མཐོང་མིན་ན། །ཐོས་པར་ཡང་ནི་ག་ལ་འགྱུར། ། ||| “If the buddha qualities are not seen, Then how could there be any hearing?
འཇིག་རྟེན་དུ་ནི་ཉན་ཐོས་རྣམས། །འབྱུང་བར་སྲིད་པ་མ་ཡིན་ནོ། ། ||| The hearers then could not possibly Appear within the world.
རྫོགས་པའི་རང་སངས་རྒྱས་གང་དག །གནས་ནས་མྱ་ངན་འདས་པ་ཡི། །དགེ་བའི་གོ་ཆ་དེ་ཡང་ནི། །སེམས་དེ་ཉིད་ལས་བལྟ་བར་བྱོས། ། ||| “The armor of the virtues Of suffering’s transcendence, Just as it is borne by the perfect, solitary buddhas— Also that you must see through this mind.
སེམས་ཅན་བདེ་བ་གང་ཅི་ཡང་རུང་། །འཇིག་རྟེན་པའམ་འཇིག་རྟེན་འདས། །ཐམས་ཅད་ཀྱང་ནི་སེམས་དེ་དང་། །དང་པོའི་སེམས་ལ་གནས་པ་ཡིན། ། ||| “All the happiness of sentient beings, Whether mundane or transcendent, Resides without exception within this mind, And within the initial mind.
སེམས་དེའི་རྣམ་པར་སྨིན་པ་ནི། །རྒྱ་ཆེན་ཡིན་ཏེ་དེ་མཐོང་ན། །བསྐལ་པ་བྱེ་ཕྲག་སྟོང་དུ་ཡང་། །དེ་ནི་ཟད་པར་མི་འདོད་དོ། ། ||| “That mind’s ripening Is vast, and it is said that once seen It will not wear out, Even over billions of eons.
སྐྱེ་བ་དང་ནི་འཇིག་ལྡན་ལ། །རྐྱེན་རྣམས་ཀྱིས་ནི་བསྐྱེད་གྱུར་པ། ། ||| “Arising and ceasing, The mind is brought forth by conditions.
སེམས་ཀྱིས་དངོས་པོ་སྟོང་པ་ཡི། །རྣམ་པར་སྨིན་པ་ཅི་འདྲ་ལྟོས། ། ||| Watch the ripening Of its empty nature.
རྐྱེན་རྣམས་ཀྱིས་ནི་སེམས་བསྐྱེད་ལ། །སེམས་དེའང་དངོས་པོ་མེད་པ་སྟེ། ། ||| “The mind is produced by conditions But the mind itself is not an entity.
དངོས་པོ་མེད་དང་ལྡན་སེམས་ཀྱིས། །རྣམ་པར་སྨིན་པ་ཅི་འདྲ་ལྟོས། ། ||| Watch the ripening By the mind that is devoid of any entity.
དམིགས་པར་བྱ་བ་དེ་དག་གིས། །སེམས་ནི་ནམ་ཡང་མི་སྐྱེ་སྟེ། ། ||| “Based on what is apprehended The mind never arises, Yet
གང་གི་བསྔགས་པ་མི་ཉམས་པའི། །དེ་ཡི་རྣམ་སྨིན་ཉིད་ལ་ལྟོས། ། ||| watch the ripening of that Which is praised for never decaying.
བརྟན་པའི་བློ་ཅན་མི་ཞིག་གིས། །དེ་འདྲའི་སེམས་ནི་རབ་ཤེས་ནས། །རྟག་ཏུ་ཐེག་པ་དམ་པ་ལ། །གནས་པ་སུ་ཞིག་ཆུད་ཟར་འགྱུར། ། ||| “How could a person of steadfast mind, Who clearly understands such a mind And constantly remains within the true vehicle, Ever be lost?
