༄༅༅། །རྒྱ་གར་སྐད་དུ། རཱ་ཛ་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
རྒྱལ་པོ་ལ་གདམས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra Advice to a King (1) Advice to King Bimbisāra
དེ་ལྟར་མཐོང་ཐོས་ཤིར་འདོད་ཤིར་མ་བཏུབ། ། ||| Seeing and hearing this, you may want to die, but die you cannot.
ན་བ་རྣམས་ནི་འདི་ལྟར་སྡུག་བསྔལ་ཏེ། །ལུས་ཀྱི་འབྱུང་ཆེན་བཞི་ནི་མ་སྙོམས་པས། །རླུང་མཁྲིས་བད་ཀན་འདུས་པས་ལུས་གདུངས་ཏེ། །ལོངས་སྤྱོད་མཐོང་ཡང་འདི་ལ་འདོད་པ་མེད། ། ||| “The sufferings of the sick are like this: When the four great physical elements are out of balance, The body is oppressed by combinations of wind, bile, and phlegm, So that even objects of enjoyment hold no allure.
ལུས་ཀྱི་ཉམ་སྟོབས་ཤོར་བས་ལྡང་མི་ནུས། ། ||| Physical strength is sapped and you cannot even stand up.
མཛེས་པའི་གཟི་མདངས་ཤོར་བས་ཡི་དགས་འདྲ། ། ||| Your luster and radiance are gone; you look like a preta.
འཆི་བ་རྣམས་ཀྱང་འདི་ལྟར་སྡུག་བསྔལ་ཏེ། །གཉེན་བཤེས་ཚོགས་ཀྱིས་ཆོ་ངེ་འདེབས་བྱེད་ཀྱང་། །དེ་ལ་ཉན་ལྟ་བསམ་པའི་ཡུལ་མེད་དེ། ། ||| “The sufferings of the dying are like this: Though friends and relatives may gather and mourn, There is no looking on, or listening in, or thinking of them.
གནད་གཅོད་པ་ནི་མཚོན་ཆས་གཏུབ་པ་འདྲ། །མཛའ་དང་མི་མཛའི་དོན་དུ་སྔར་བྱས་པའི། །དགེ་སྡིག་ལས་ནི་རྨི་ལམ་ཡུལ་བཞིན་སྣང་། ། ||| The vital force is severed, as if cut by a blade, With your past deeds toward friends and enemies, Both good and bad, appearing as if in a dreamscape.
གཤིན་རྗེའི་ཕོ་ཉ་ཤིན་ཏུ་འཇིགས་པས་བསྐོར། ། ||| “The terrifying minions of Yama close in on all sides.
བྲེད་ཤ་ཐོན་ནས་ཀུན་ཏུ་བལྟས་བྱས་ཀྱང་། །མགོན་སྐྱབས་བྱེད་པ་སུ་ཡང་མ་མཐོང་ནས། ། ||| Eyes wide with fear, you look here, there, and everywhere, But no savior is to be seen.
ཤིན་ཏུ་འཇིགས་བཞིན་ཀུན་ཏུ་ཡི་མུག་སྟེ། །བདག་ཉིད་གར་འགྲོ་གཏོལ་མེད་བར་དོ་འབྱུང་། ། ||| In abject fear and total despair, with no idea where to go, The uncertain liminal state arises.
མི་རྟག་སྡུག་བསྔལ་མི་ཟད་ཡུན་རིང་འདི། །ཐོག་མ་མེད་ནས་ད་ལྟའི་བར་དུ་ཡང་། །འཕགས་ལམ་མ་ཐོབ་བར་དུ་རྟག་ཏུ་གདུང་། ། ||| “Impermanence will be a constant source of torment Through these endless sufferings From beginningless time right up to the present, Until you accept the noble path.”
རྒྱལ་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་འཁོར་བ་འདི་ཤིན་ཏུ་སྡུག་བསྔལ་བ་ལགས་ན་བདེ་ལེགས་དང་ལྡན་པ་གང་ལགས། ||| Then the king asked, “Blessed One, if saṃsāra is so much suffering, then where is well-being to be found?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། མྱ་ངན་ལས་འདས་པ་ནི་བདེ་ལེགས་ཕུན་སུམ་ཚོགས་པ་ཡིན་ནོ། ། ||| The Blessed One replied, “Nirvāṇa is perfect well-being.”
རྒྱལ་པོས་གསོལ་པ། ཇི་ལྟར་བདེ་ལེགས་ཕུན་སུམ་ཚོགས་པ་ལགས། ||| “How is it perfect well-being?” asked the king.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། མྱ་ངན་འདས་པ་ཞི་བ་བདེ་བའི་མཆོག །རྣམ་རྟོག་བདག་ཏུ་འཛིན་དང་ཉོན་མོངས་མེད། །ངན་སོང་གསུམ་སོགས་བཀྲེས་སྐོམ་གྲང་དྲོ་དང་། །སྐྱེ་རྒ་ན་འཆི་ལ་སོགས་སྡུག་བསྔལ་མེད། ། ||| The Blessed One answered, “Nirvāṇa is peace; it is happiness supreme, Devoid of concepts, of perceiving a self, and of afflictions, And devoid of the sufferings of the three lower realms, of hunger and thirst, of heat and cold, Of birth, of aging, of illness, of death, and the rest.
འཁོར་བ་མི་རྟག་སྡུག་བསྔལ་གཏན་ཟད་ནས། །ལས་སུ་གཞན་དོན་འབའ་ཞིག་སྤྱོད་བྱེད་ཅིང་། །མཐུ་དང་རྫུ་འཕྲུལ་བསམ་གྱིས་མི་ཁྱབ་བོ། ། ||| All the sufferings of impermanent saṃsāra cease forever, And henceforth all actions are those that benefit others, With powers and miraculous abilities beyond imagination.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོ་འཁོར་བ་ལས་ཡིད་བྱུང་ནས་རྒྱལ་སྲིད་མཆིལ་མའི་ཐལ་བ་ལྟར་བོར་ཏེ། མྱ་ངན་ལས་འདས་པ་བསྒྲུབ་པ་ལ་གཞོལ་བར་གྱུར་ཏོ། ། ||| When the Blessed One had spoken, King Bimbisāra became disillusioned with saṃsāra, discarded his royal power like spittle in the dust, and set his mind on accomplishing nirvāṇa.
དེ་ལྟར་གྱུར་པ་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་ལེགས་སོ་ལེགས་སོ། ། ||| Then the Blessed One said: “Great King, well done, well done!
རྗེས་ཐམས་ཅད་ཀྱི་ནང་ན་གླང་པོ་ཆེའི་རྗེས་མཆོག་གོ། ། ||| Among all footprints, the footprint of the elephant is the greatest.
མེ་ཏོག་རྣམས་ཀྱི་ནང་ན་པད་མ་དཀར་པོ་མཆོག་གོ། ། ||| Among all flowers, the white lotus is the greatest.
འདུ་ཤེས་ཐམས་ཅད་ཀྱི་ནང་ན་མི་རྟག་པའི་འདུ་ཤེས་མཆོག་གོ། ། ||| Among all notions, the notion of impermanence is the greatest.
བསམ་པ་རྣམས་ཀྱི་ནང་ན་འཁོར་བ་ལས་ཡིད་བྱུང་བ་མཆོག་གོ། ། ||| Among all motivations, disillusionment with saṃsāra is the greatest.
རྒྱལ་པོ་ཆེན་པོ་འཁོར་བ་ལས་ཡིད་བྱུང་བ་ལེགས་སོ། ། ||| “Great King, it is good that you are disillusioned with saṃsāra.
སྐྱོ་བ་སྐྱེས་པ་ལེགས་སོ། ། ||| It is good that you have become dissatisfied.
ཆགས་ན་འཁོར་བ་ཡིན་ནོ། ། ||| When one is attached, that is saṃsāra.
མ་ཆགས་ན་མྱ་ངན་ལས་འདས་པ་ཡིན་ནོ། ། ||| When one is not attached, that is nirvāṇa.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། །རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོ་ལ་སོགས་པ་ཐམས་ཅད་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| After the Blessed One had spoken, everyone, King Bimbisāra and the rest, rejoiced and praised what the Blessed One had said.
རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོ་ལ་གདམས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This concludes the Mahāyāna sūtra “Advice to King Bimbisāra.”
རྒྱ་གར་གྱི་མཁན་པོ་དཱ་ན་ཤཱི་ལ་དང་། བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ། ། ||| Translated, edited, and finalized by the Indian preceptor Dānaśīla and Bandé Yeshé Dé.
