༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
མལ་ཆ་དང་། སྟན་དང་། ན་བའི་གསོས་སྨན་དང་། ཡོ་བྱད་དེ་ཡང་ཡོངས་སུ་བཏང་ལ། ཐབས་ལ་མཁས་པས་ཡོངས་སུ་བསྔོས་ན། ||| Anyone who gives away their clothes, food, bedding, seats, medicines, and other implements while skillfully dedicating the merit will attain omniscience.
ཐམས་ཅད་མཁྱེན་པ་ཉིད་འཐོབ་བོ། །དེ་ལྟ་བས་ན་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་རྙེད་པ་མཆོག་ཡིན་པར་རིག་པར་བྱའོ། ||| Therefore, one should recognize that the attainment of a bodhisattva great being is supreme.
།བྱང་ཆུབ་སེམས་དཔའ་ལ་འདི་སྐད་དུ། ཁྱོད་ཀྱིས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ནི་ཐོབ་པར་འགྱུར་རོ། ||| One should address such bodhisattvas with these words, ‘You are bound to become omniscient.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
ཁྱོད་ཀྱིས་གང་ལ་མཚན་མར་བཟུང་བའི་དངོས་པོ་འདི་ནི་རྙེད་པར་དཀའ་བ་སྟེ། ནང་དང་ཕྱི་རོལ་གྱི་དངོས་པོ་ཐམས་ཅད་ནི་རང་བཞིན་གྱིས་དབེན་པའི་ཕྱིར་རོ། ||| Because all inner and outer entities are devoid of an essence, and thus you scarcely apprehend any objects conceptually.
།དེ་ལྟར་ན་ཁྱོད་ཀྱིས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ནི་ཐོབ་པར་འགྱུར་རོ། །གང་དག་གིས་ཐོབ་པ་དང་། གང་དག་འཐོབ་པ་དང་། ||| This is why you will attain omniscience.
འཐོབ་པར་འགྱུར་བ་དེ་དག་ཐམས་ཅད་ཀྱིས་ཀྱང་། ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་ན་ཐོབ་བོ། །འཐོབ་བོ། །འཐོབ་པར་འགྱུར་རོ་ཞེས་སྨྲ་བར་བྱའོ། ||| Anyone who ever attained this mind state, as well as all those who attain it now, and those who ever will attain this state, are certain to attain omniscience.’ ”
།དེ་སྐད་ཅེས་སྨྲས་པ་དང་། ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་ལ། ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་བགྲང་བ་འདི་བྱང་ཆུབ་སེམས་དཔའ་གང་གི་ཡིན་སྨྲས་པ། ||| Venerable Śāradvatīputra said to Venerable Pūrṇa Maitrāyaṇīputra, “Venerable One, which classification of the bodhisattvas does this refer to?
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཐབས་ལ་མཁས་པའི་བགྲང་བ་ཡིན་ནོ། ||| This relates to the category of the bodhisattvas’ skillfulness.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
སེམས་ཅན་འདི་དག་གིས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་ན་འཐོབ་པར་དེ་ལྟར་ཤེས་སུ་ཟིན་ན་ནི། སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཐོབ་པར་འགྱུར་བ་ཞིག་ན། ||| Because if these beings understood how to attain omniscience, all beings would attain omniscience.
གང་གི་ཕྱིར་འདི་ལྟར་དེ་དག་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་མ་མོས་ཤིང་། ||| Nevertheless, none of them are interested in omniscience; none of them arouse that attitude.
སེམས་མི་སྐྱེད་པའི་ཕྱིར་ཏེ། གང་དག་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་སེམས་མི་སྐྱེད་པ་དེ་དག་ནི་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཐོབ་པར་མི་འགྱུར་རོ། ||| Therefore, as they do not engender the mind set upon omniscience, neither do any of them attain that state.
།གང་དག་འདི་ལྟར་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་མོས་ཤིང་སེམས་བསྐྱེད་པ་དག་ནི། ||| It is those who are devoted to the state of omniscience and set their mind upon it who attain that state.
ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཐོབ་པར་འགྱུར་ཏེ། སེམས་དེ་བསྐྱེད་ནས། དངོས་པོ་གང་དང་གང་ཡོངས་སུ་གཏོང་བ་དེ་དང་དེ་དངོས་པོ་མེད་པར་མཐོང་ངོ་། ||| After they set their mind upon omniscience, they also come to understand that any object that they give away does not truly exist.
།དངོས་པོ་གང་དང་གང་ཤེས་པ་ལ་འདི་དག་ནི་སྒྱུ་མ་ལྟ་བུ་སྟེ། ||| So they tell themselves, ‘These entities that I perceive are an illusion.
འདི་ནི་ཇི་ལྟར་བདག་གིས་མཚན་མར་བཟུང་བ་ལྟར་མ་ཡིན་ནོ་སྙམ་ནས་དེ་གཏོང་བའི་བློ་ཤས་ཆེ་བར་འགྱུར་ཞིང་། ||| They are not actually the way that I perceive them conceptually.’
སྦྱིན་པའི་བློ་དང་ལྡན་པར་འགྱུར་ཏེ། འཛིན་པའི་སེམས་མི་སྐྱེད་དོ། ||| In this way they further develop their charitable attitude and generosity and do not cling to things.
།འདི་ལྟར་དངོས་པོ་འདི་ནི་སྒྱུ་མ་ལྟ་བུར་སེམས་ཅན་རྣམས་ཀྱིས་དེ་ལྟར་མི་ཤེས་པས། དངོས་པོ་དེ་དག་ལ་ཤས་ཆེར་མངོན་པར་ཞེན་པར་འགྱུར་ཏེ། ཡོངས་སུ་མི་གཏོང་བའི་བློར་འགྱུར་རོ། ||| However, even though the object is illusory, other beings do not understand that and so they continue to cling so intensely to things and are unable to give them away.
།ཡོངས་སུ་མི་གཏོང་བས་སེར་སྣ་ཡོངས་སུ་འཛིན་ཏོ། ||| Being unable to give anything away, they are gripped by miserliness.
།སེར་སྣ་དེས་ཀྱང་ངན་སོང་རྣམས་སུ་སྐྱེ་བར་འགྱུར་ལ། དངོས་པོ་དེ་དང་ཡང་འབྲལ་བར་འགྱུར་རོ། ||| And due to miserliness they take birth in the lower realms where they end up destitute.
།དེ་ལྟར་དངོས་པོ་དེ་ཡང་ཡོངས་སུ་མི་གཏོང་ཞིང་ཡོངས་སུ་མ་སྤྱད་ལ། དངོས་པོ་དེ་ལས་བརྟེན་ནས་སེར་སྣ་བསྐྱེད་དེ། ངན་སོང་རྣམས་སུ་ཡང་སྐྱེ་བར་འགྱུར་རོ། ||| In this way, if one is unable to give away or make use of an object, that object can become the cause of miserliness and birth in the lower realms.
།གང་གི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཐབས་ལ་མཁས་པས་འདི་ལྟར་ཤེས་ཏེ། དངོས་པོ་འདི་ནི་སྒྱུ་མ་ལྟ་བུ་སྟེ། ཡོངས་སུ་གཏོང་བ་ཡང་སྒྱུ་མ་ལྟ་བུ་ཡིན་པས་ན། ||| Whenever skillful bodhisattva great beings understand this, they will tell themselves, ‘This object is illusory and the act of giving it away is also illusory.
སྒྱུ་མ་ལྟ་བུ་གང་ཡིན་པ་དེ་ནི་བདག་གི་ཡང་མ་ཡིན་ཡོངས་སུ་གཏོང་བ་ཡང་མ་ཡིན་ནོ། ||| That which is illusory does not really belong to me, nor can it truly be given away.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
འདི་ལྟར་དེ་སྒྱུ་མ་ལྟ་བུ་ཡིན་པའི་ཕྱིར། ||| Because it is illusory.
དེ་དངོས་པོ་དེ་རྒྱ་ཆེར་ཡོངས་སུ་གཏོང་ངོ་སྙམ་དུ་སེམས་སོ། ||| Nonetheless, I will now make an extensive gift of it!’ “
།དེ་དེ་ཡོངས་སུ་གཏོང་བས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ལ་འདོད་པ་སྐྱེད་དེ། ||| By being generous in this manner, those bodhisattvas will begin to emulate the blessed buddhas.
བཅོམ་ལྡན་འདས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ནི་ལེགས་པར་གསུང་བ། ཕྱིན་ཅི་མ་ལོག་པར་གསུང་བ་ཁོ་ན་སྟེ། སྒྱུ་མ་ལྟ་བུའི་དངོས་པོ་ཡོངས་སུ་བཏང་བས། ཡོད་པའི་མཚན་ཉིད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་བ་འདི་ནི་ངོ་མཚར་ཏོ། ||| They are amazed by the statement of the blessed buddhas—who only explain well and free from any error—that the mark of giving away illusory objects is full awakening to perfect buddhahood.
།དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་འདི་ལྟར་སངས་རྒྱས་བཅོམ་ལྡན་འདས་གང་དག་ཇི་ལྟར་བྱས་ན་བྱང་ཆུབ་སེམས་དཔའ་དངོས་པོ་དེ་དག་ལ་མངོན་པར་ཞེན་པ་མི་སྐྱེད་ཅིང་། འདི་ལྟར་དེ་ཡོངས་སུ་གཏོང་བའི་བློར་འགྱུར་སྙམ་སྟེ། ||| In this regard, as bodhisattva great beings then begin to emulate the blessed buddhas, they will not develop any clinging to these objects but will be inclined to offer them to others in a similar way.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་དངོས་པོ་དེ་དག་དང་། རྐྱེན་དེ་དག་མཚན་ཉིད་མེད་པར་སྟོན་པ་འདི་དག་ནི་དཀའ་བ་མཛད་པའོ་སྙམ་དུ་རིག་པར་བྱའོ། ||| They should also appreciate the hardship their teachers underwent to show bodhisattva great beings that the objects and circumstances they encounter are without characteristics.
།ཚེ་དང་ལྡན་པ་གང་པོ་དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱིས་ཐོབ་པར་འགྱུར་རོ་ཞེས་དེ་ལྟར་རིག་པར་བྱའོ། ||| Venerable Pūrṇa, you should think, ‘This is how bodhisattva great beings seek to awaken to unsurpassed and perfect buddhahood, thereby attaining the state of omniscience.’
།ཚེ་དང་ལྡན་པ་གང་པོ་གལ་ཏེ་འདི་ནི་ཤ་ར་དྭ་ཏིའི་བུའི་སྤོབས་པ་ཡིན་ནོ་སྙམ་དུ་ཁྱོད་ཀྱིས་ཤེས་ན་དེ་ལྟར་མི་བལྟའི། འདི་ནི་དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་ཀྱིས་ཤ་ར་དྭ་ཏིའི་བུ་སྨྲ་བར་ཟད་དོ། ||| Venerable Pūrṇa, in case you should think, ‘This teaching is due to Śāradvatīputra’s eloquence,’ that is not the case, since I have delivered this teaching due to the blessings of the Thus-Gone One.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་གནས་བརྟན་ཤ་ར་དྭ་ཏིའི་བུས་ཇི་སྐད་སྨྲས་པ་བཞིན་དུ་ཟུང་ཤིག །ཆོངས་ཤིག །ལྷོགས་ཤིག །ཀུན་ཆུབ་པར་གྱིས་ཤིག ། ||| Then the Blessed One spoke to Venerable Ānanda, “Ānanda, please pay attention to the discourse of the elder Śāradvatīputra. You should remember it, retain it, recite it, and master it.”
སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལས་མཚན་མ་མེད་པའི་ལེའུ་སྟེ་བཞི་པའོ།། །། ||| This concludes the fourth chapter from “The Perfection of Generosity” entitled “Nonconceptuality.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ལྟར་ཡོངས་སུ་གཏོང་བ་དེས་ཅི་ཞིག་ཡོངས་སུ་བཏང་བ་ལགས། ||| Venerable Pūrṇa Maitrāyaṇīputra asked the Blessed One, “Blessed One, when bodhisattva great beings give in this manner, what sort of giving is that?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གང་པོ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ལྟར་ཡོངས་སུ་གཏོང་བ་དེས་ཅི་ཡང་ཡོངས་སུ་བཏང་བ་མེད་དོ། ||| The Blessed One replied, “Pūrṇa, when bodhisattva great beings give in this manner, it is not actually giving.
།ཇི་ལྟར་ཡོངས་སུ་བཏང་བ་མེད་པ་དེ་བཞིན་དུ་ཆོས་ཅི་ཡང་ཐོབ་པ་མེད་དོ། ||| Just as there is no act of giving, so there is also nothing to attain.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གང་པོ་ཇི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་དངོས་པོ་ཅི་ཡང་ཡོངས་སུ་བཏང་བ་མེད་པ་དེ་བཞིན་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པས་ཀྱང་ཆོས་ཅི་ཡང་ཐོབ་པ་མེད་དོ། ། ||| The Blessed One continued, “Pūrṇa, just as bodhisattva great beings do not give any real objects away, so there is nothing to attain even by awakening to unsurpassed and perfect buddhahood. “
གང་པོ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་དགོད་པ་ཅི་འདྲ་བ་དེ་བཞིན་དུ། ཆོས་ཀྱི་འདུ་བའི་སྒོ་ཡང་དེ་ཁོ་ན་དང་འདྲ་བར་འགྱུར་རོ། ||| Pūrṇa, the dwelling place of a bodhisattva great being is just like a Dharma treasury.
།གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་ཆོས་འགའ་ཞིག་ཡོངས་སུ་བཏང་བར་གྱུར་ན་ནི་བྱང་ཆུབ་སེམས་དཔའ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པའི་ཆོས་ཀྱང་ཡོད་པ་ཞིག་ཐོབ་པར་འགྱུར་ན་གང་པོ་གང་གི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོངས་སུ་གཏོང་བ་བྱེད་པ་ན་དངོས་པོ་ཡོད་པ་ཅི་ཡང་ཡོངས་སུ་བཏང་བ་མེད་པས་དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་ཡོད་པའི་ཆོས་ཅི་ཡང་ཐོབ་པ་མེད་དོ། ||| If a bodhisattva great being were to give away any truly existing objects, that bodhisattva would also attain a real result of awakening to unsurpassed and perfect buddhahood. However, Pūrṇa, since there are no real phenomena that the bodhisattva great being can give away, there is also not any truly existent object that the bodhisattva great being could attain when awakening to unsurpassed and perfect buddhahood. “
།གང་པོ་དཔེར་ན། ||| Pūrṇa, consider this analogy.
སྒྱུ་མ་མཁན་ནམ། སྒྱུ་མ་མཁན་གྱི་སློབ་མས་སྒྱུ་མ་མཁན་གྱི་ལག་ཏུ་ལ་དུ་ཞིག་བཙོངས་ལ། དེ་ལ་སྒྱུ་མ་མཁན་གྱིས་ཀཱར་ཥ་པ་ཎ་དག་གཅིག་མངོན་པར་སྤྲུལ་ཏེ་བྱིན་ན། གང་པོ་དེ་ལྟར་ན། ||| If a magician, or the apprentice of a magician, sells an illusory sweet to another magician, that magician can also conjure up a coin and pay for the sweet.
རིན་ཇི་ལྟ་བ་དེ་བཞིན་དུ་ལ་དུ་ཡང་དེ་དང་འདྲའོ། ||| Pūrṇa, in that case both the payment and the sweet would be the same.
།དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་སྦྱིན་པ་ཇི་ལྟ་བུ་ཡོངས་སུ་བཏང་བ་དེ་བཞིན་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ཡང་དེ་ཁོ་ན་དང་འདྲའོ། །གང་པོ་དེ་ལྟ་བས་ན་འདུ་བ་ཅི་འདྲ་བ་དེ་བཞིན་དུ། ||| Similarly, the gift offered by a bodhisattva great being and his full awakening to unsurpassed and perfect buddhahood are identical.
དགོད་པ་ཡང་དེ་ཁོ་ན་དང་འདྲ་སྟེ། ||| Pūrṇa, what is laid out is just the same as what is amassed.
དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའི་རིན་ཅི་འདྲ་བ་དེ་བཞིན་དུ་རྙེད་པ་ཡང་དེ་ཁོ་ན་དང་འདྲ་བ་ཡིན་ནོ། ||| And similarly, the value of the bodhisattva’s gift would be just the same as that which is to be gained. “
།གང་པོ་དཔེར་ན། ||| Pūrṇa, consider this analogy.
སྐྱེས་བུ་སྒྱུ་མ་མཁན་གྱིས་ཤིང་ལྗོན་པ་ཞིག་མངོན་པར་སྤྲུལ་ལ། ཤིང་ལྗོན་པ་དེའི་དྲུང་དུ་ཡང་སྲོག་ཆགས་འབུམ་སྤྲུལ་ཏེ། ||| A magician might conjure up a tree with one hundred thousand animals living at its foot.
སྲོག་ཆགས་དེ་དག་ཀྱང་ཤིང་ལྗོན་པ་དེའི་འབྲས་བུ་རྣམས་ཟ་ན། གང་པོ་དེ་ནི་འབྲས་བུ་ཇི་ལྟ་བ་བཞིན་དུ་ཟབ་པོ་རྣམས་ཀྱང་དེ་ཁོ་ན་དང་འདྲའོ། ||| As the animals then eat the fruits of the tree, Pūrṇa, both the fruits and those who eat them are the same.
།དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་ཡོངས་སུ་གཏོང་བ་ཇི་ལྟ་བ་བཞིན་དུ་ཆོས་ཀྱི་འདུ་བའི་སྒོ་ཡང་དེ་ཁོ་ན་དང་འདྲའོ། ||| In the same way, the gifts of a bodhisattva great being are just like revenues being collected.
།གང་པོ་དེ་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོངས་སུ་གཏོང་བ་ན་རིན་དང་། རྙེད་པ་དང་། རྙེད་པ་དང་རིན་དུ་མཉམ་པར་འགྱུར་རོ། ||| Pūrṇa, in this way, when bodhisattva great beings give away their belongings, the wealth given away is identical to the gain made and the gain made is identical to the wealth that is given away. “
།གང་པོ་འདི་ལྟ་སྟེ་དཔེར་ན། ||| Pūrṇa, think of this analogy.
སྒྱུ་མ་མཁན་ནམ། སྒྱུ་མ་མཁན་གྱི་སློབ་མ་མཁས་པ་ཞིག་གིས་ལམ་གྱི་བཞི་མདོ་ཆེན་པོར་སྐྱེ་བོ་ཕལ་པོ་ཆེའི་མདུན་དུ་བུད་མེད་གཅིག་མངོན་པར་སྤྲུལ་ལ། ||| A magician, or the skilled apprentice of a magician, might conjure up a woman at a large intersection where everyone could see her.
བུད་མེད་དེ་ཡང་སྦྲུམ་མར་མངོན་པར་སྤྲུལ་ཏེ་བུ་བྱུང་བར་བསྟན་ནས། བུད་མེད་དེའི་བུ་བཙས་ལ། ཁྱེའུ་ཞིག་ཏུ་བཙས་ནས། ཁྱེའུ་དེ་ཡང་ཤི་བར་བསྟན་ན། ||| He might then create the illusion that the woman was pregnant and that she gave birth to a son. Once the son was born, the magician might create the illusion that the son died.
གང་པོ་འདི་ཇི་སྙམ་དུ་སེམས། ཅི་ཁྱེའུ་ཤི་བ་དེའི་ཚེ་ན་བུད་མེད་དེ་ལ་བདག་གི་བུ་ཤིའོ་སྙམ་པའི་སེམས་སྐྱེ་འམ། ||| Pūrṇa, tell me, when the son died, would that woman think that her son had passed away?”
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་ནི་མ་ལགས་སོ། ། ||| Pūrṇa replied, “No, Blessed One, she would not.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གང་པོ་དེ་ལྟ་ན། མ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་བུ་ཡང་དེ་ཁོ་ན་དང་འདྲ་སྟེ། ||| The Blessed One said, “Pūrṇa, in that case the mother and the son are alike.
དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་སྦྱིན་པ་ཇི་ལྟ་བ་བཞིན་དུ། ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱང་དེ་ཁོ་ན་དང་འདྲའོ། ||| In the same way, the generosity of a bodhisattva great being and the state of omniscience are exactly alike.
།གང་པོ་དེ་ལྟར་ན་འདིར་ཡང་ཆོས་དེ་དག་གི་འདུ་བའི་སྒོ་གཉི་ག་མེད་དོ། ||| Pūrṇa, therefore, in this case the Dharma treasury is nondual.
།གང་པོ་འདི་ཇི་སྙམ་དུ་སེམས། ཅི་ཁྱོད་ཀྱིས་ང་ཆོས་འགའ་ཞིག་ལ་འདོད་པ་ཆེ་བར་མཐོང་ངམ། ||| Pūrṇa, tell me, do you see me as having desire for any phenomena?”
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་ནི་མ་ལགས་སོ། ||| Pūrṇa replied, “No, Blessed One, I do not.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is that?
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པས་ནི་ཆོས་དེ་དག་སྟོང་པར་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པའི་སླད་དུ་ལགས་སོ། ||| Blessed One, because the Thus-Gone One has realized that phenomena are empty.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གང་པོ་དེ་བཞིན་དུ་ཇི་ལྟར་དེ་བཞིན་གཤེགས་པ་ཆོས་གང་ལ་ཡང་འདོད་པ་ཆེ་བ་མེད་པ་དེ་བཞིན་དུ་ང་བྱང་ཆུབ་སེམས་དཔར་གྱུར་པའི་ཚེ་ཆོས་གང་ལ་ལ་ཞིག་ཡོངས་སུ་མ་བཏང་བ་དེ་མེད་དོ། ||| The Blessed One said, “Pūrṇa, likewise, just as the Thus-Gone One now does not feel any desire for phenomena, I had no problem giving away everything when I was a bodhisattva.
།དེ་བས་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ལ་ནི་ཆགས་པའམ། ཁོང་ཁྲོ་བ་འགའ་ཡང་མི་སྐྱེའོ། ||| Therefore, the blessed buddhas do not entertain any form of desire or anger.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
འདི་ལྟར་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ནི་ཆགས་པ་དང་ཁོང་ཁྲོ་བ་སྤངས་པ་ཡིན་པའི་ཕྱིར་རོ། ། ||| Because the blessed buddhas have given up all desire and anger.”
གང་པོས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དངོས་པོ་གང་དང་གང་ཡོངས་སུ་གཏོང་བ་དེ་དང་དེ་ཉིད་སྟོང་པའམ། ཡ་མ་བརླ་འམ། གསོབ་བམ། གསོག་ཏུ་མཐོང་བ་ནི་ངོ་མཚར་ལགས་སོ། །བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པའི་དོན་བདག་གིས་འཚལ་བ་ལྟར་ན། ||| Pūrṇa said, “Blessed One, it is wonderful how bodhisattva great beings are able to give away any object, seeing them to be essentially empty, hollow, without substance, and unreal.
གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔས་འཇིག་རྟེན་གྱི་ཁམས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དབྱིག་དང་། གསེར་གྱིས་བཀང་སྟེ་སློང་བ་རྣམས་ལ་སྩལ་ཀྱང་། བྱང་ཆུབ་སེམས་དཔས་ཇི་ལྟར་ཡོངས་སུ་གཏོང་བའི་ཐབས་མ་འཚལ་ན། ||| As I understand the meaning of the teaching spoken by the Blessed One, even if a bodhisattva were to fill as many worlds as there are grains of sand in the Ganges with gold and riches and give it all to a beggar, that bodhisattva must still be skillful when giving.
དེ་ལྟ་ན་དེས་ནི་སྦྱིན་པ་ཉི་ཚེར་འགྱུར་གྱི། སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ནི་མ་ལགས་སོ། ||| Otherwise, it would only be a limited gift, rather than the perfection of generosity.
།བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོངས་སུ་གཏོང་བ་ན། འདི་ལྟར་ཡང་བདག་གིས་བདོག་པ་ཐམས་ཅད་ཡོངས་སུ་གཏང་བར་བྱའོ་སྙམ་དུ་ཡང་སེམས་བསྐྱེད་པར་བགྱིའོ། ||| When bodhisattva great beings give, they do so thinking, ‘I will give up all my possessions.’ ”
།བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་བཀའ་སྩལ་པ། བསྟན་པ་འདིའི་དོན་བཤད་པའི་ཕྱིར་སྤོབས་པར་གྱིས་ཤིག ། ||| Then the Blessed One said to Venerable Śāradvatīputra, “You should have the courage to explain the meaning of this teaching.
ངས་བཤད་པའི་དུས་ལ་བབ་པ་ན་ཡང་བཤད་པར་བྱའོ། ||| Even though this is the time for me to speak, I would like you to explain this.”
