༄༅༅། །རྒྱ་གར་སྐད་དུ།
ཨཱརྱ་ཨད་བྷུ་ཧ་དྷ་རྨ་པ་རྱཱ་ཡ་ནཱ་མ། བོད་སྐད་དུ།
འཕགས་པ་རྨད་དུ་བྱུང་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས། ||| The Noble Marvelous Dharma Discourse
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་ནི་ཡེ་ཤེས་ཀྱིས་དཔག་ཏུ་མེད་པ། ཚུལ་ཁྲིམས་ཀྱིས་དཔག་ཏུ་མེད་པ། བཟོད་པས་དཔག་ཏུ་མེད་པ། བརྩོན་འགྲུས་ཀྱིས་དཔག་ཏུ་མེད་པ། བསམ་གཏན་གྱིས་དཔག་ཏུ་མེད་པ། ཤེས་རབ་ཀྱིས་དཔག་ཏུ་མེད་པ། བྱམས་པས་དཔག་ཏུ་མེད་པ། སྙིང་རྗེས་དཔག་ཏུ་མེད་པ། དགའ་བས་དཔག་ཏུ་མེད་པ། བཏང་སྙོམས་ཀྱིས་དཔག་ཏུ་མེད་པ། ||| Ānanda, it is because a thus-gone one has immeasurable generosity, immeasurable discipline, immeasurable patience, immeasurable effort, immeasurable concentration, immeasurable insight, immeasurable loving-kindness, immeasurable compassion, immeasurable joy, and immeasurable equanimity.
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་དང་། སྟོབས་བཅུ་དང་། མི་འཇིགས་པ་བཞི་དང་། སངས་རྒྱས་ཀྱི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ་མ་འདྲེས་པ་གསུམ་དང་སྙིང་རྗེ་ཆེན་པོས་དཔག་ཏུ་མེད་པ་སྟེ། ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནི་ཡོན་ཏན་དཔག་ཏུ་མེད་པ་དང་ལྡན་པའི་ཕྱིར་རོ། ། ||| Ānanda, possessing the eighteen unique qualities of a buddha, the ten powers of a thus-gone one, and the four types of fearlessness, a thus-gone, worthy, completely perfect buddha is endowed with immeasurable qualities.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ། ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ནི་ངོ་མཚར་ལགས་སོ། ། ||| When the Blessed One had spoken, the venerable Ānanda said to the Blessed One, “Blessed One, this Dharma discourse is indeed marvelous!
བདེ་བར་གཤེགས་པ་ངོ་མཚར་ལགས་སོ། ། ||| O Well-Gone One, it is marvelous!
ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མིང་ཅི་ལགས། ||| What is the name of this Dharma discourse?
འདི་ཇི་ལྟར་གཟུང་བར་བགྱི། བཀའ་སྩལ་པ། ||| How should it be remembered?”
ཀུན་དགའ་བོ་དེའི་ཕྱིར་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་རྨད་དུ་བྱུང་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཞེས་བྱ་བར་ཟུང་ཤིག ། ||| The Buddha replied, “Ānanda, know this Dharma discourse as The Marvelous Dharma Discourse.
དེ་བས་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ནི། རྨད་དུ་བྱུང་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཞེས་བྱ་བའི་ཚིག་བླ་དགས་སོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| Hence, designate this marvelous Dharma discourse as The Marvelous Dharma Discourse.”
ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| The Blessed One having instructed thus, the monks and the venerable Ānanda rejoiced and thoroughly praised what the Blessed One had said.
འཕགས་པ་རྨད་དུ་བྱུང་བའི་ཆོས་ཀྱི་རྣམ་གྲངས། རྫོགས་སོ།། །། ||| This concludes “The Noble Marvelous Dharma Discourse.”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། སུ་རེན་དྲ་བོ་དྷི་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། །། ||| It was edited and finalized by the Indian preceptors Jinamitra and Surendrabodhi, as well as the great translator Bandé Yeshé Dé.
