༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
བདག་ཅག་ཆོས་ཀྱི་ལོངས་སྤྱོད་ལས་ཤིན་ཏུ་མྱུར་དུ་ཉམས་པར་མི་འགྱུར་གྲང་སྙམ་སྟེ། ||| Will our current enjoyment of the Dharma not swiftly wane?”
དེ་ནས་དགེ་བསྙེན་དེ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| The lay devotee then approached the Blessed One and bowed at his feet.
བཅོམ་ལྡན་འདས་ལ་བསྐོར་བ་བྱས་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། བཙུན་པ་བཅོམ་ལྡན་འདས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཁྱིམ་དུ་མ་གཤེགས་ཤིག ||| He circumambulated him, knelt on his right knee, bowed to the Blessed One with his palms joined, and said, “Noble sir, Blessed One, please do not go to the house of Śrīgupta.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། བཙུན་པ་བཅོམ་ལྡན་འདས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་ནི་བཅོམ་ལྡན་འདས་དང་དགེ་སློང་གི་དགེ་འདུན་བཀྲོངས་པའི་སླད་དུ་ཕྱི་སྒོའི་སྒོ་གང་དུ་དོང་ཆེན་པོ་རྐོར་སྩལ་ཏེ། ||| Why not? Noble sir, Blessed One, Śrīgupta had a deep pit dug at his main gate in order to kill you and the monastic community.
དོང་བརྐོས་ནས་ཞུགས་མི་འབར་ཞིང་དུ་བ་མ་མཆིས་པས་གཏམས་ཏེ། ||| He then filled it with a flameless and smokeless fire and put a thin cover over it.
སྟེང་དུ་ཕྱག་དར་སྲབ་མོས་གཡོགས་ཤིང་མཆིས་ན་བཅོམ་ལྡན་འདས་དང་དགེ་སློང་གི་དགེ་འདུན་ལ་ཆུང་ཟད་གནོད་པར་ལྟ་མི་འགྱུར་རམ་སྙམ་བགྱིད་ལགས་སོ། ||| I wonder, if he does all this, will he not cause some harm to the Blessed One and his followers?”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགེ་བསྙེན་ཁྱོད་འདི་སྙམ་དུ་མ་སེམས་ཤིག ། ||| The Blessed One replied, “Lay brother, do not think that way.
དགེ་བསྙེན་ང་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་ན་ཡང་ངའི་ལུས་ལ་མེས་མ་ཚུགས་ན། ||| Lay brother, fire could not physically affect me even when I was born as an animal;
ད་ལྟར་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ལྟ་ཅི་སྨོས། ||| how much less so now that I am a completely awakened buddha?
ངས་ནི་འདོད་ཆགས་ཀྱི་མེ་དང་། ཞེ་སྡང་གི་མེ་དང་། གཏི་མུག་གི་མེ་དང་། མེ་གསུམ་བསད་པས་ངའི་ལུས་ལ་མེས་ཚུགས་པར་འགྱུར་བ་འདི་ནི་གནས་མེད་དོ། ||| I have extinguished the three fires of attachment, anger, and delusion, so there is no basis for fire to physically affect me.”
།བཙུན་པ་བཅོམ་ལྡན་འདས་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་ན། ཇི་ལྟར་སྐུ་ལ་ཞུགས་ཀྱིས་མ་ཚུགས་ལགས། ||| “Noble sir, Blessed One, how was it that fire did not physically affect you when you were born as an animal?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགེ་བསྙེན་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་ཡུལ་ཀ་ལིང་ཀའི་རྒྱལ་པོ་ཞིག་བྱུང་བ་དེའི་ཚེ། ||| The Blessed One replied, “Lay brother, in a former time there lived a certain king of Kaliṅga.
ཡུལ་ཀ་ལིང་ཀའི་རྒྱལ་པོས་གླིང་བེགས་བུར་ཆད་པའི་རི་དགས་རྣམས་གསོད་པའི་ཕྱིར་སྲེག་པའི་མེ་ཆེན་པོ་བཏང་ངོ་། ||| This king lit a large fire in order to kill the wild animals on the island of Begburchepa.
།དེ་ནས་གླིང་བེགས་བུར་ཆད་པ་ནི་རི་དགས་དང་བྱ་གང་དག་གནས་པ། ནམ་མཁའ་ལ་རྒྱུ་བའམ། ཐང་ལ་རྒྱུ་བའམ། ཆུ་ལ་རྒྱུ་བ་དེ་དག་སྲེག་པའི་མེ་དེས་འཁྲུགས་ནས་དེ་ན་གང་དག་ནམ་མཁའ་ལ་རྒྱུ་བ་དེ་དག་ནི་ནམ་མཁའ་ལ་བྱེར་རོ། །གང་དག་ཆུ་ལ་རྒྱུ་བ་དེ་དག་ནི་ཆུར་ཞུགས་སོ། །གང་དག་ཐང་ལ་རྒྱུ་བ་དེ་དག་ནི་ཕན་ཚུན་འབྱེར་ཞིང་རྒྱུག་སྟེ་འབྲོས་སོ། ||| The blaze upset all the animals and birds that lived on Begburchepa—those that flew through the sky, walked on land, or swam in the water. Those that could fly escaped into the sky, those that could swim dove into the water, and those on land ran to and fro to get away.
།གླིང་བེགས་བུར་ཆད་པ་དེ་ན་སྲེག་པའི་ཕྲུ་གུ་འདབ་གཤོག་མ་སྐྱེས་པ་ཞིག་ཡོད་དེ། ||| “On the island of Begburchepa there lived a partridge chick whose wings had not yet matured.
དེ་ནས་སྲེག་པ་མ་མོ་དེས་འདབ་མ་ཆུར་བཅུག་སྟེ། སྲེག་པའི་ཕྲུ་གུའི་ཁོར་ཡུག་ཏུ་གཏོར་ཏོ། ||| The mother partridge dipped her feathers into the water and sprinkled it around the chick.
།གཏོར་ནས་ཀྱང་རྒྱུག་ཅིང་ཡང་དང་ཡང་དེ་ལྟར་བརྩོན་པར་བྱས་སོ། ||| She then hurriedly repeated this, over and over again.
།དེ་ནས་སྲེག་པའི་ཕྲུ་གུ་དེས་མ་འདི་ལྟར་རྩོལ་བ་བྱེད་པ་དེ་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་དེས་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཡུམ་ཅིའི་སླད་དུ་འདི་ལྟར་རྩོལ་བར་མཛད། ||| “The partridge chick watched his mother struggling in this way, and then asked her, ‘Mother, why are you struggling in this way?’
དེས་སྨྲས་པ། བུ་ཤེས་པར་གྱིས་ཤིག །རྒྱལ་པོ་ཡུལ་ཀ་ལིང་ཀའི་རྒྱལ་པོས་གླིང་བེགས་བུར་ཆད་པའི་རི་དགས་གསད་པའི་ཕྱིར་མེ་ཆེན་པོ་བཏང་ངོ་། ||| “She replied, ‘Child, you should know that the king of Kaliṅga has lit a large fire to kill all the animals on the island of Begburchepa.
།དེ་ནས་གླིང་བེགས་བུར་ཆད་པ་ན་རི་དགས་དང་། བྱ་གང་དག་གནས་པ་ནམ་མཁའ་ལ་རྒྱུ་བ་དང་། ཐང་ལ་རྒྱུ་བ་དང་། ཆུ་ལ་རྒྱུ་བ་དེ་དག་སྲེག་པའི་མེ་ཆེན་པོ་དེས་འཁྲུགས་ནས་དེ་ན་གང་དག་ནམ་མཁའ་ལ་རྒྱུ་བ་དེ་དག་ནི་ནམ་མཁའ་ལ་བྱེར། ||| The blaze has disturbed all the animals and birds who live on the island of Begburchepa, whether they fly through the sky, walk on the land, or swim in the water.
གང་དག་ཆུ་ལ་རྒྱུ་བ་དེ་དག་ནི་ཆུར་ཞུགས། གང་དག་ཐང་ལ་རྒྱུ་བ་དེ་དག་ནི་ཕན་ཚུན་འབྱེར་ཞིང་རྒྱུག་སྟེ་བྲོས་སོ། ||| Those that can fly have escaped into the sky, those that can swim have dived into the water, and those on land have run to and fro to get away.
།ང་ནི་འདི་ལྟར་ཁྱོད་ཚིག་ཏུ་འོང་ངོ་ཞེས་ཁྱོད་ཀྱི་ཕྱིར་འདི་ལྟར་རྩོལ་བར་བྱེད་དོ། ||| I am struggling in this way for your sake, because I think that you will burn.’
།དེས་སྨྲས་པ། ཡུམ་ཐོང་ཤིག །ཐོང་ཤིག །ཡུམ་ཁྱོད་ནི་བྱིས་པ་སྟེ། ||| “The chick replied, ‘Mother, stop it, stop it! You are foolish.
ཁྱོད་ཀྱིས་རྩོལ་བ་འདི་ལྟ་བུས་བདག་སྲེག་པའི་མེ་འདི་ལས་ཐར་བར་ཡང་མི་སྤྱོད་དོ། ||| Such efforts will never save me from the blaze.
།ཡུམ་ཁྱོད་ཀྱིས་བདག་ཉིད་ཀྱི་མཐུ་དང་སྟོབས་བསྐྱེད་དེ། ངན་བུ་ལེགས་པར་ཤིན་ཏུ་བླངས་ལ་གླིང་བེགས་བུར་ཆད་པ་འདིར་ཤིང་ནང་གི་མཐོན་པོའི་ཁར་ངན་བུ་གཞག་པར་སྤྱོད་དམ། ||| Mother, draw on all your power and strength, carefully carry me to a high spot among the trees on the island of Begburchepa, and put me down there.
དེ་བཞིན་བྱའོ་ཞེས་ཏེ་སྲེག་པ་མ་མོ་དེས་སྲེག་པའི་ཕྲུ་གུའི་ལྟར་མཉན་ནས་རང་གི་མཐུ་དང་སྟོབས་བསྐྱེད་དེ། སྲེག་པའི་ཕྲུ་གུ་དེ་ཀུན་དུ་ལེགས་པར་བླངས་ནས་གླིང་བེགས་བུར་ཆད་པ་དེའི་ཤིང་ནང་གི་མཐོན་པོའི་ཁར་བཞག་གོ། ||| Please do this!’ “The mother partridge did as her child asked. She drew on all her own strength, carefully carried the partridge chick, and put it down in a high spot among the trees on the island of Begburchepa.
།དེ་ནས་སྲེག་པའི་ཕྲུ་གུ་དེས་སྲེག་པའི་མེ་ཆེན་པོ་དེ་མཐོང་ནས་བྱམས་པས་ཁྱབ་པར་བྱེད་དོ། །བྱམས་པས་ཁྱབ་པར་བྱས་ནས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། ||| “When the partridge chick saw the great blaze, it was filled with compassion and spoke this verse:
།རྐང་མེད་སེམས་ཅན་རྣམས་ཀྱང་ཡོད། ||| “ ‘There are legless beings,
།འདབ་ཆགས་རྐང་བཅས་པའང་ཡོད། ||| And also winged ones and those with legs.
།ཕ་མ་དག་གིས་བསྲུངས་ཤིང་འཁོད། ||| May their parents place them in protection!
།མེ་གདུག་ཚུར་ནི་མ་འོང་ཤིག །དགེ་བསྙེན་སྲེག་པའི་ཕྲུ་གུ་དེས་ཚིགས་སུ་བཅད་པ་དེ་སྨྲས་མ་ཐག་ཏུ་མེ་ཤི་བར་གྱུར་ཏེ། གང་ནས་བཏང་བ་དེ་ཉིད་དུ་ཤིའོ། ||| May the noxious fire not return!’ “Lay brother, as soon as the partridge chick uttered this verse, the fire died down, retreating to where it had been lit.
།དེ་ལྟར་དེ་ཚུན་ཆད་དེང་སོང་གི་བར་དུ་གླིང་བེགས་བུར་ཆད་པ་དེར་མེ་མ་ཤོར་ཏོ། ||| That is why, from that day to this, fire has never broken out on the island of Begburchepa.
།དགེ་བསྙེན་དེའི་ཚེ་དེའི་དུས་ན་གླིང་བེགས་བུར་ཆད་པ་ན་སྲེག་པའི་ཕྲུ་གུ་འདབ་གཤོག་མ་སྐྱེས་པ་དེ་གཞན་ཞིག་ཡིན་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཙོམ་ཟའམ། ཡིད་གཉིས་ཟ་ན་དེ་ལྟར་མི་བལྟ་སྟེ། ||| Lay brother, if you suspect or have doubts that at that time on the island of Begburchepa the partridge chick with undeveloped wings was someone else, or are of two minds, reconsider.
དགེ་བསྙེན་ང་དེའི་ཚེ་དེའི་དུས་ན་སྲེག་པའི་ཕྲུ་གུར་གྱུར་ཏོ། ||| Lay brother, I was that partridge chick.
།དགེ་བསྙེན་ང་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་དེའི་ཚེ་ཡང་ལུས་ལ་མེས་མ་ཚུགས་ན། ||| Lay brother, fire could not physically affect me even then, when I was born as an animal;
ད་ལྟར་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ལ་ལྟ་ཅི་སྨོས་ཏེ། ||| how much less so now that I am a completely awakened buddha?
ངའི་ལུས་ལ་མེས་ཚུགས་པར་འགྱུར་བ་འདི་ནི་གནས་མེད་དོ། ||| There is no basis for fire to physically affect me.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་བསྙེན་དེ་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེ་ལ་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་འཇུག །ཡང་དག་པར་གཟེངས་སྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་དོ། །ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ||| The Blessed One then delivered a Dharma discourse to the lay devotee and the crowd of beings that was instructive, encouraging, uplifting, and joyous.
ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་ནས་མདུན་དུ་བཞུད་པ་དང་། དགེ་བསྙེན་ཞིག་གིས་བཅོམ་ལྡན་འདས་རྒྱང་རིང་པོ་ནས་བྱོན་པ་མཐོང་ངོ་། ||| After the Blessed One had delivered the Dharma discourse that was instructive, encouraging, uplifting, and joyous, he continued on his way.
།མཐོང་ནས་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ཁྱིམ་བདག་དཔལ་སྦས་འདི་ནི་བཅོམ་ལྡན་འདས་ལ་རྣམ་པ་འདི་ལྟ་བུ་འདི་བྱེད་པར་འདོད་ན། བཅོམ་ལྡན་འདས་བགྲོངས་པར་མི་འགྱུར་གྲང་། ||| Another lay devotee saw him arriving from afar and thought, “If Śrīgupta intends to carry out such an act against the Blessed One, will the Blessed One not be killed?
བདེ་བར་གཤེགས་པ་བགྲོངས་པར་མི་འགྱུར་གྲང་། ||| Will the Sugata not be killed?
འཇིག་རྟེན་གྱི་མིག་ཤིན་ཏུ་མྱུར་དུ་མེད་པར་མི་འགྱུར་གྲང་། ||| Will the Eye of the World not be swiftly destroyed?
འཇིག་རྟེན་དུ་མུན་པ་ཤིན་ཏུ་མྱུར་དུ་མི་འབྱུང་གྲང་། ||| Will a great darkness not swiftly descend upon the world?
བསྐལ་པ་གྲངས་མེད་པ་གསུམ་དུ་ཡང་དག་པར་བསྒྲུབས་པའི་སངས་རྒྱས་ཤིན་ཏུ་མྱུར་དུ་ནུབ་པར་མི་འགྱུར་གྲང་། ||| Will the Buddha, who trained for three immeasurable eons, not swiftly fade from the world?
བདག་ཅག་ཆོས་ཀྱི་ལོངས་སྤྱོད་ལས་ཤིན་ཏུ་མྱུར་དུ་ཉམས་པར་མི་འགྱུར་གྲང་སྙམ་སྟེ། ||| Will our current enjoyment of the Dharma not swiftly wane?”
དེ་ནས་དགེ་བསྙེན་དེ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| The lay devotee then approached the Blessed One and bowed at his feet.
བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས། པུས་མོ་གཉིས་ཀའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཁྱིམ་དུ་མ་གཤེགས་ཤིག །དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| He circumambulated him three times, knelt on both knees, bowed to the Blessed One with his palms joined, and said to the Blessed One, “Noble sir, Blessed One, please do not go to the house of Śrīgupta. Why?
བཙུན་པ་བཅོམ་ལྡན་འདས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་ནི་བཅོམ་ལྡན་འདས་དང་། དགེ་སློང་གི་དགེ་འདུན་བགྲོངས་པའི་སླད་དུ་ཕྱི་སྒོའི་སྒོ་གང་དུ་དོང་ཆེན་པོ་རྐོར་སྩལ་ཏོ། ||| Noble sir, Blessed One, Śrīgupta had a deep pit dug at his main gate in order to kill you and the monastic community.
།དོང་བརྐོས་ནས་ཞུགས་མི་འབར་ཞིང་དུ་བ་མ་མཆིས་པས་གཏམས་ཏེ། ||| He then filled it with a flameless and smokeless fire and put a thin cover over it.
སྟེང་དུ་ཕྱག་དར་སྲབ་མོས་གཡོགས་ཤིང་མཆིས་ན་བཅོམ་ལྡན་འདས་དང་། དགེ་སློང་གི་དགེ་འདུན་ལ་ཆུང་ཟད་གནོད་པར་ལྟ་མི་འགྱུར་རམ་སྙམ་བགྱིད་ལགས་སོ། ||| I wonder, if he does all this, will he not cause some harm to the Blessed One and his followers?”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགེ་བསྙེན་ཁྱོད་འདི་སྙམ་དུ་མ་སེམས་ཤིག ། ||| The Blessed One replied, “Lay brother, do not think that way.
དགེ་བསྙེན་ང་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་ན་ཡང་ངའི་ལུས་ལ་མེས་མ་ཚུགས་ན། ||| Lay brother, fire could not physically affect me even when I was born as an animal;
ད་ལྟར་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ལྟ་ལ་ཅི་སྨོས། ||| how much less so now that I am a completely awakened buddha?
ངས་ནི་འདོད་ཆགས་ཀྱི་མེ་དང་། ཞེ་སྡང་གི་མེ་དང་། གཏི་མུག་གི་མེ་དང་། མེ་གསུམ་བསད་པས་ངའི་ལུས་ལ་མེས་ཚུགས་པར་འགྱུར་བ་འདི་ནི་གནས་མེད་དོ། ||| I have extinguished the three fires of attachment, anger, and delusion, so there is no basis for fire to physically affect me.”
།བཙུན་པ་བཅོམ་ལྡན་འདས་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་ན་ཇི་ལྟར་སྐུ་ལ་ཞུགས་ཀྱིས་མ་ཚུགས་ལགས། ||| “Noble sir, Blessed One, how was it that fire did not physically affect you when you were born as an animal?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགེ་བསྙེན་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་འཛམ་བུའི་གླིང་འདི་ན་ནགས་སྟུག་པོ་ལོ་མ་ཕུན་སུམ་ཚོགས་པ། མེ་ཏོག་ཕུན་སུམ་ཚོགས་པ། འབྲས་བུ་ཕུན་སུམ་ཚོགས་པ། སྐྱེད་མོས་ཚལ་ཕུན་སུམ་ཚོགས་པ་ཞིག་ཡོད་དེ། ||| The Blessed One replied, “Lay brother, in a former time here in Jambudvīpa there was a wondrous pleasure park, a dense, verdant forest, abundant in flowers and fruits.
དེའི་ཚེ་ནགས་སྟུག་པོ་དེ་ན་རི་བོང་གི་གྲོགས་དྲང་སྲོང་ཞིག་གནས་ཏེ། རི་བོང་དེ་ནི་མི་སྐད་སྨྲ་བ་ཞིག་གོ། ||| In this forest lived a sage who had befriended a hare who could speak the human language.
།དེའི་ཚེ་དུས་གཞན་ཞིག་ན་ནགས་སྟུག་པོ་དེར་ཐན་པ་ཆེན་པོ་བྱུང་སྟེ། དེ་ན་འདབ་མ་དང་ལྡན་པའི་ཤིང་གང་ཡིན་པ་དེ་དག་ནི་སྐམ། མེ་ཏོག་དང་ལྡན་པའི་ཤིང་གང་ཡིན་པ་དང་། འབྲས་བུའི་ཤིང་གང་ཡིན་པ་དེ་དག་ཀྱང་སྐམ་མོ། ||| At one point a great drought befell the dense forest, which caused all the trees with leaves, blossoms, and fruit to wither.
།སྐྱེད་མོས་ཚལ་གང་ཡིན་པ་དེ་དག་ཀྱང་ཡོངས་སུ་སྐམ་མོ། ||| The pleasure groves in the forest entirely dried up.
།དེ་ནས་དྲང་སྲོང་དེ་རི་བོང་དེ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་རི་བོང་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རི་བོང་ཤེས་པར་གྱིས་ཤིག །ནགས་སྟུག་པོ་འདིར་ཐན་པ་ཆེན་པོ་བྱུང་སྟེ། འདབ་མ་དང་ལྡན་པའི་ཤིང་གང་ཡིན་པ་དེ་དག་ནི་སྐམ། ||| The sage went to visit the hare and told him, ‘Hare, you should know that a great drought has befallen this dense forest.
མེ་ཏོག་དང་ལྡན་པའི་ཤིང་གང་ཡིན་པ་དང་། འབྲས་བུའི་ཤིང་གང་ཡིན་པ་དེ་དག་ཀྱང་སྐམ་མོ། ||| All the trees with leaves, blossoms, and fruit have withered.
།སྐྱེད་མོས་ཚལ་གང་ཡིན་པ་དེ་དག་ཀྱང་ཡོངས་སུ་སྐམ་སྟེ། རི་བོང་བདག་ནི་ནགས་སྟུག་པོ་འདི་ནས་ནགས་སྟུག་པོ་གཞན་དུ་འགྲོ་བར་འདོད་དོ། ། ||| The pleasure groves in the forest have entirely dried up.
རི་བོང་གིས་སྨྲས་པ། དེའི་སླད་དུ་དྲང་སྲོང་དགུང་གཅིག་ནགས་སྟུག་པོ་འདིར་བཞུགས་ཤིག ། ||| Hare, I wish to leave this dense forest for another one.’
བདག་གིས་ཁྱོད་བཤོས་གསོལ་ལོ། །དེ་ནས་དྲང་སྲོང་དེ་གནས་སུ་སོང་སྟེ་མེ་བུས་ནས་སྔགས་ཀྱིས་སྦྱིན་སྲེག་བྱེད་དོ། ||| “The hare replied, ‘Sage, please remain in this dense forest for one more day and allow me to feed you.’
།དེ་ནས་རི་བོང་དེ་ནགས་དེར་གོམ་པས་འགྲོ་ཞིང་རྣམ་པར་རྒྱུ་ཡང་གང་ནས་ཀྱང་འབྲས་བུའམ། རྩ་བ་མ་རྙེད་ནས། ||| “The sage then returned to his dwelling, made a fire, and performed a homa while reciting mantras. “Meanwhile, the hare wandered all over the forest, but he could not find fruits or roots anywhere.
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་གིས་དྲང་སྲོང་དེ་ཟས་ལ་མགྲོན་དུ་བོས་ལ། བདག་གིས་ནགས་སྟུག་པོ་འདི་ཐམས་ཅད་དུ་སོན་ཀྱང་། གང་ནས་ཀྱང་འབྲས་བུའམ་རྩ་བ་མ་རྙེད་ཀྱིས། དག་རང་གི་ཤས་དྲང་སྲོང་དེ་ཚིམ་པར་བྱའོ་སྙམ་སྟེ། ||| He thought, ‘I invited the sage to a meal, but even though I have traversed the entire forest, I have not found fruits or roots anywhere.
དེ་ནས་རི་བོང་དེ་དྲང་སྲོང་དེ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་དྲང་སྲོང་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Therefore, I will satiate the sage with my own flesh.’
དྲང་སྲོང་མཁྱེན་པར་མཛོད་ཅིག །བདག་གིས་ཁྱོད་ལ་བཤོས་གསོལ་བར་སྤྱན་དྲངས་ལ། ||| “The hare then went to the sage and said, ‘Sage, please understand;
བདག་གིས་ནགས་སྟུག་པོ་འདི་ཐམས་ཅད་དུ་མཆིས་ཀྱང་གང་ནས་ཀྱང་འབྲས་བུ་དང་རྩ་བ་མ་རྙེད་ནས་བདག་ཞུགས་ཀྱི་དོང་འདིར་བདག་ཉིད་ཀྱིས་མཆོང་གིས། ཁྱོད་ཀྱིས་བདག་གི་ཤ་དེ་གསོལ་ལ་དགུང་གཅིག་ནགས་སྟུག་པོ་འདི་ན་བཞུགས་ཤིག ||| I invited you for a meal, but even though I traversed the entire forest, I did not find fruits or roots anywhere. Therefore, I will jump into this fire pit, and you will be able to eat my flesh. Please remain in the dense forest for one more day.’
།དྲང་སྲོང་གིས་སྨྲས་པ། རི་བོང་མ་བྱེད་ཅིག ། ||| “The sage replied, ‘Hare, don’t do it!
དེ་སྐད་མ་སྨྲ་ཤིག །ང་ནི་རི་བོང་ཁྱོད་ལ་གནོད་པར་ཡང་མི་འདོད་ན་ང་ཁྱོད་ཀྱི་ཤ་ཟ་བ་ལྟ་ཅི་སྨོས། ||| Don’t say that. I do not wish to harm you, hare, let alone to eat your flesh.’
རི་བོང་གིས་སྨྲས་པ། དྲང་སྲོང་དེ་སྐད་མ་གསུང་ཤིག །ཁྱོད་ཀྱིས་བདག་གི་བསམ་པ་ངེས་པར་བསྐང་འཚལ་ལོ། ||| “The hare said, ‘Sage, please don’t say that. Please carry out my wishes.’
།དེ་ནས་རི་བོང་དེ་འདི་ལྟ་བུའི་བདེན་པའི་ཚིག་འདི་སྨྲས་ཏེ། ||| “Then the hare uttered the following words of truth:
ནགས་སྟུག་པོ་འདིའི་ལྷ་རྒྱ་ཆེན་པོ་རྣམས་བདག་ལ་དགོངས་སུ་གསོལ། ||| “ ‘Great gods of this dense forest, please heed me!
ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་གང་དག་གནས་པ་དེ་དག་ཐམས་ཅད་བདག་ལ་དགོངས་སུ་གསོལ། ||| All nāgas and yakṣas, gandharvas and asuras, garuḍas, kinnaras, and mahoragas who dwell here, please heed me!
བདག་ནི་གཏོང་བ་བགྱིད་དེ། ཤིན་ཏུ་གཏོང་བ་དང་། གཏོང་བའི་ཡང་གཏོང་བ་དང་། བདག་ཉིད་གཏོང་བ་བགྱིད་དོ། ||| I am about to perform an act of giving, the greatest act of giving, an extreme act of giving—I am about to give myself.
།བདག་གི་བདེན་པ་དང་བདེན་པའི་ཚིག་གང་གིས་བདག་ཡོངས་སུ་གཏོང་བ་ནི་རྒྱལ་པོའི་སླད་དུ་མ་ལགས། ལོངས་སྤྱོད་ཀྱི་སླད་དུ་མ་ལགས། མཐོ་རིས་ཀྱི་སླད་དུ་མ་ལགས། བརྒྱ་བྱིན་ཉིད་ཀྱི་སླད་དུ་མ་ལགས། བདུད་ཀྱི་སླད་དུ་མ་ལགས། ཚངས་པའི་སླད་དུ་མ་ལགས། འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོའི་ཡུལ་གྱི་སླད་དུ་མ་ལགས་ཏེ། གཞན་དུ་བདག་ཇི་ལྟར། ||| The truth and words of truth with which I give myself away are these: “I do this not to be a king, nor for the sake of wealth or a higher rebirth. I do this not to attain the rank of Śakra, Māra, or Brahmā, nor to acquire the kingdom of a universal monarch.
