༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་མ་ཏཱི་བྲཱཧྨ་ཎཱི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Questions of Śrīmatī the Brahmin Woman
དེའི་ཕྱི་མའི་ཚེ་ཕྱི་མའི་དུས་སུ་བདག་སྣང་བ་ཞེས་བྱ་བའི་བསྐལ་པ་ལ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཉིད་དུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་སྣང་བ་ཞེས་བྱ་བ་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་ཏེ། དེའི་ཚེའི་ཚད་ནི་བསྐལ་པ་སྟོང་ཚང་བར་འགྱུར་རོ། །དེས་སེམས་ཅན་གྲངས་མེད་དཔག་ཏུ་མེད་པ་དག་གི་དོན་བྱས་ནས་ཕུང་པོའི་ལྷག་མ་མེད་པའི་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་སུ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་རོ། ། ||| In a future life, during the eon known as Self-Luminous, she will appear in this great trichiliocosm as a thus-gone, worthy, and perfect buddha known as Luminous Dharma, whose lifespan will be equal to a thousand eons, and, after working for the benefit of countless, innumerable beings, she will pass into parinirvāṇa—the expanse of nirvāṇa without any remainder of the aggregates.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བྲམ་ཟེ་མོ་དཔལ་ལྡན་མའི་སྔོན་གྱི་དགེ་བའི་རྩ་བ་གཞན་ཡང་མཆིས་ལགས་སམ། ||| Then the bodhisattva great being Ajita asked the Blessed One, “Did Śrīmatī the brahmin woman previously possess other roots of virtue?”
བཀའ་སྩལ་པ། ||| “She did, Ajita,” he replied.
མ་ཕམ་པ་ཡོད་དེ། བྲམ་ཟེ་མོ་དཔལ་ལྡན་མ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་འདི་ཉིད་འདོད་པས་སྔོན་བུད་མེད་ཀྱི་ལུས་ཉིད་ལ་གནས་ནས་དེ་བཞིན་གཤེགས་པ་རྣམ་པར་གཟིགས་ཀྱི་སྐུ་ལ་མེ་ཏོག་གི་ཕྲེང་བ་གསོལ་ཏོ། ། ||| “In her desire for unsurpassed and perfect awakening, Śrīmatī the brahmin woman, in a previous life as a woman, offered a garland of flowers to the Thus-Gone One Vipaśyin.
དེ་བཞིན་གཤེགས་པ་གཙུག་ཏོར་ཅན་གྱི་སྐུ་ལ་ཡང་ཆོས་གོས་གསོལ་ཏེ། དེའི་གསུང་རབ་ལ་རབ་ཏུ་བྱུང་ནས་ལོ་སྟོང་དུ་ཚངས་པར་སྤྱོད་པ་སྤྱད་དོ། །བཅོམ་ལྡན་འདས་དེ་ལ་ཟབ་མོའི་གནས་རྣམས་ཀྱང་ཞུས་སོ། ། ||| She also offered robes to the Thus-Gone One Śikhin and went forth as a renunciant in his teaching, practiced the holy life for a thousand years, and questioned that blessed one on profound topics.
དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་སྐྱོབ་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་བཅས་པ་ལ་ཡང་ཞལ་ཟས་ཀྱིས་ཚིམ་པར་བྱས་སོ། ། ||| She offered food to the Thus-Gone One Viśvabhū and his assembly of hearers, serving them to their satisfaction.
བསྟབས་པར་ཡང་བྱས་སོ། །དེ་བཞིན་གཤེགས་པ་འཁོར་བ་འཇིག་ལ་ཡང་ཨ་ཏི་མུག་ཏ་ཀའི་མེ་ཏོག་དག་གིས་གཏོར་ནས། བཅོམ་ལྡན་འདས་དེ་ལས་བསླབ་པའི་གཞི་ལྔ་པོ་དག་བླངས་སོ། ། ||| She scattered atimuktaka flowers before the Thus-Gone One Krakucchanda and from that blessed one received the five basic precepts.
དེ་བཞིན་གཤེགས་པ་གསེར་ཐུབ་ལ་ཡང་ཇི་སྲིད་འཚོའི་བར་དུ། ན་བཟའ་དང་། བཤོས་དང་། གཟིམས་ཆ་དང་། སྙུན་གྱི་གསོས་སྨན་དང་། ||| To the Thus-Gone One Kanakamuni, she offered garments, meals, bedding, curative medicines, and supplies throughout his life.
ཡོ་བྱད་རྣམས་ཀྱིས་མགྲོན་དུ་གཉེར་ཏེ། བཅོམ་ལྡན་འདས་དེས་ཟླ་བ་གཉིས་བཤོས་གསོལ་ཏོ། །ཆགས་ཟུང་གཅིག་ཀྱང་ཕུལ་ལོ། ། ||| That blessed one partook of her meals for two months and she also offered him a pair of sandals.
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་འདི་ཉིད་འདོད་པས་དེ་བཞིན་གཤེགས་པ་འོད་སྲུང་ལ་གསེར་གྱི་ཕྲེང་བས་གཏོར་ཏེ། འདི་སྐད་ཅེས་བདག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་པར་མ་གྱུར་གྱི་བར་དུ་བུད་མེད་ཀྱི་དངོས་པོ་ལས་མ་གྱུར་ཅིག་ཅེས་སྨྲས་ཏེ། མ་ཕམ་པ་འདི་ཡང་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མའི་སྔོན་གྱི་དགེ་བའི་རྩ་བ་ཡིན་ནོ། །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མ་ཕམ་པ་དང་། ||| In her desire for unsurpassed and perfect awakening, she threw a golden rosary before the Thus-Gone One Kāśyapa and made the aspiration, ‘Until I am prophesied to reach unsurpassed and perfect awakening, I will not inhabit any other form than that of a woman.’ These, Ajita, are the past roots of virtue of Śrīmatī the brahmin woman.”
བྲམ་ཟེ་མོ་དཔལ་ལྡན་མ་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| After the Blessed One had spoken thus, the bodhisattva great being Ajita, Śrīmatī the brahmin woman, and the world with its gods, humans, asuras, and gandharvas all rejoiced and praised what the Blessed One had said.
འཕགས་པ་བྲམ་ཟེ་མོ་དཔལ་ལྡན་མས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This concludes the noble Mahāyāna sūtra “The Questions of Śrīmatī the Brahmin Woman.”
རྒྱ་གར་གྱི་མཁན་པོ་སུ་རེན་དྲ་བོ་དྷི་དང་། པྲཛྙཱ་ཝརྨ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བནྡེ་ཡེ་ཤེས་སྡེ་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།​། །​། ||| Translated, edited, and finalized by the Indian preceptors Surendrabodhi and Prajñāvarman, the editor-translator Bandé Yeshé Dé, and others.
