༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is it so?
འདི་ལྟར་དགེ་བའི་ཕྱོགས་ནི་ཚོགས་དང་ལྡན་པ་ཡིན་ལ། ཆོས་ཀྱི་ཚུལ་དང་དཀོན་མཆོག་གསུམ་གྱི་གདུང་ཡང་དགེ་བའི་ཕྱོགས་ཀྱིས་རབ་ཏུ་ཕྱེ་བ་ཡིན་ཏེ། ||| Because there are many on the side of virtue and because the Dharma way, as well as the lineage of the Three Jewels, blossoms due to the side of virtue.
དེའི་ཕྱིར་དེ་ཉིད་ཀྱི་མི་འདོད་པའི་འབྲས་བུ་རྣམ་པར་སྨིན་པ་ལྕི་བ་མངོན་པར་འགྲུབ་པ་ཡིན་ནོ། ||| This is the reason why such severe ripening of undesirable circumstances will manifest to them.”
།དེ་ནས་གནས་བརྟན་ག་ཡ་འོད་སྲུང་གིས་མཆི་མ་བླགས་ནས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་མི་ཉིད་རྙེད་པ་ནི་མ་ཐོབ་ཀྱང་མི་བསྔོའི། རབ་ཏུ་བྱུང་ནས་བཟའ་བ་དང་བཏུང་བའི་སླད་དུ་ལོག་པར་སྒྲུབ་པ་ནི་དེ་ལྟ་མ་ལགས་སོ། ||| At that moment, the elder Gayākāśyapa started to shed tears and said, “Respected Blessed One, it would be permissible to remain unchanged even after achieving a human birth, but that is not the case if one engages in evil behavior for the sake of food and drink after becoming a renunciate!”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ག་ཡ་འོད་སྲུང་ཆེན་པོ་དེ་དེ་བཞིན་ནོ། ||| The Blessed One replied, “Thus it is, Mahāgayākāśyapa!
།ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་ཏེ། གང་དུ་དེའི་སྔོན་གྱི་ལས་རྣམས་ཟད་པ་དག་ཏུ་འགྱུར་བའི་སེམས་ཅན་དམྱལ་བར་གནས་པ་ནི་སླའི། འདི་ན་གང་གཞན་དུ་སྤྱོད་པ་ནི་དེ་ལྟ་མ་ཡིན་ནོ། ||| Just as you have said, it would be better for beings to remain in the hell realms and exhaust their previous actions than for them to misbehave like that.
།འོན་ཀྱང་སྐྱེས་བུ་བླུན་པོ་ཁ་ཅིག་མི་ཉིད་ཐོབ་པ་རྙེད་པར་དཀའ་བ་རྙེད་དེ་ལེགས་པར་གསུངས་པའི་ཆོས་འདུལ་བ་གང་ལ་སྡུག་བསྔལ་ཐམས་ཅད་ཟད་པ་དང་། ཟག་པ་ཐམས་ཅད་མཐར་ཐུག་པར་འགྱུར་བ་ངོ་མཚར་རྨད་དུ་བྱུང་བའི་རབ་ཏུ་འབྱུང་བ་རྙེད་པར་དཀའ་བ་དང་། བསྙེན་པར་རྫོགས་པ་དགེ་སློང་གི་དངོས་པོ་ཐོབ་ནས་འོན་ཀྱང་སྐྱེས་བུ་བླུན་པོ་དེ་དག་གང་གིས་མཆོད་པར་མི་འགྱུར་བ་དང་། བཟའ་བཏུང་དང་བྲལ་བར་འགྱུར་བ་མི་དགེ་བའི་ཕྱོགས་རྣལ་འབྱོར་ཡིད་ལ་བྱེད་པ་ཡོངས་སུ་བསམས་ནས་རྒྱལ་རིགས་དང་། བྲམ་ཟེ་དང་། རྗེའུ་རིགས་དང་། དམངས་རིགས་དད་པ་ཅན་དག་གིས་ཁྱིམ་དང་། ཞིང་དང་། ཀུན་དགའི་ར་བ་དང་། སྐྱེད་མོས་ཚལ་དང་། བྲན་དང་། བྲན་མོ་ནས་རྐང་བཞི་པ་དག་གི་བར་དགེ་སློང་ཆོས་ཀྱིས་གནས་པ། ||| Yet, there are some fools who have obtained a human birth, which is so hard to find, and received the vows, which are also so hard to obtain, pertaining to going forth and becoming fully ordained monks under the well-spoken Dharma and Vinaya. These are amazing and marvelous conditions that lead to the exhaustion of all suffering and bring an end to all defilements, yet those fools will entertain thoughts about nonvirtuous practices that will instead cause them to be disrespected and go without food and drink.
ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་ལོངས་སྤྱོད་པར་བྱ་བའི་ཕྱིར་དང་། དགེ་བའི་ཕྱོགས་དང་འཐུན་པར་བྱ་བའི་ཕྱིར་དེ་ལྟར་བསྔོས་པ་ལ་སྡིག་པ་སྤྱོད་པའི་དགེ་སློང་དེ་མང་དུ་ཐོས་པའི་མཐུའམ། ཁྱིམ་ན་གནས་པའི་མཐུས་དེ་དག་ལ་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་ཕྲོགས་ནས་བདག་ཉིད་ཀྱིས་གང་ཟག་གི་འདུ་ཤེས་ཀྱིས་ཡོངས་སུ་སྤྱོད་པར་བྱེད་དེ། ||| Due to the strength of their erudition or due to the influence of remaining in households, those monks who engage in negative actions will then steal and misappropriate the resources and possessions—houses, fields, monastic compounds, parks, male and female servants, and cattle—that have otherwise been dedicated to support the side of virtue by faithful members of the kṣatriya class, the brāhmaṇa class, the vaiśya class, and the śūdra class who have all donated this to be used by monks that abide by the Dharma and possess a wealth of qualities.
སྐྱེས་བུ་བླུན་པོ་དེའི་ལོག་པར་བསྒྲུབ་པ་དེ་ནི་དེ་ལྟ་བུར་འགྱུར་རོ། ||| Such will be the evil behavior of those fools.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་གང་དགེ་སློང་ཆོས་ཀྱིས་གནས་པ། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་ལ་དེ་ལྟར་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་ཕྲོགས་ནས་བདག་ཉིད་ཀྱིས་ཡོངས་སུ་སྤྱོད་པར་བགྱིད་པའི་དགེ་སློང་རབ་ཏུ་བྱུང་བའི་མི་འདོད་པའི་འབྲས་བུ་དེ་ལྟ་བུ་འབྱུང་ལགས་ན། དཔེ་ཙམ་དུ་བགྱི་ན་གང་ཡང་ཁྱིམ་ན་གནས་པར་གྱུར་ལ། དགེ་སློང་ཆོས་ཀྱིས་གནས་པ་རྣམས་ལ་དེ་ལྟར་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་ཕྲོགས་ནས་བདག་ཉིད་ཀྱིས་ཡོངས་སུ་སྤྱོད་པར་བགྱིད་ན་དེ་བསོད་ནམས་མ་ལགས་པའི་ཕུང་པོ་ཇི་སྙེད་ཅིག་དང་ལྡན་པར་འགྱུར་བ་ལགས། ||| At this point King Bimbisāra asked the Blessed One, “Respected Blessed One, if such undesirable consequences are experienced by ordained monks who steal and use for themselves the resources and possessions that have been dedicated to monks who abide by the Dharma and possess a wealth of qualities, what analogy would illustrate the mass of nonvirtue generated by householders who steal and use for themselves the resources and possessions that have been dedicated to monks who abide by the Dharma?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་ཐོང་ཁྱོད་ཀྱིས་སྨྲས་པ་དེས་ཅི་ཞིག་བྱ། ||| The Blessed One replied, “Tell me, Your Majesty, what is the point of your question?”
གསོལ་པ། བཙུན་པ་བཅོམ་ལྡན་འདས་དགེ་སློང་ཆོས་ཀྱིས་གནས་པ། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དེ་ལྟ་བུ་དག་ལ་ལོངས་སྤྱོད་དང་ཉེ་བར་སྤྱོད་པ་དག་གིས་སྩོལ་བར་ནི་བགྱིད་ཀྱི། འཕྲོག་པར་ནི་མི་བགྱིད་ལགས་སོ། ||| “Respected Blessed One, I donate resources and possessions to those monks who abide by the Dharma and who possess a wealth of qualities—I do not steal them.
།འོན་ཀྱང་སླད་མའི་དུས་ན་རྒྱལ་རིགས་དང་། བྲམ་ཟེ་དང་། རྗེའུ་རིགས་དང་། དམངས་རིགས་མ་དད་པ་འཇིག་རྟེན་ཕ་རོལ་གྱིས་འཇིགས་པར་མི་ལྟ་བ་དག་འབྱུང་བར་འགྱུར་ཞིང་། ||| However, in the future, there will be members of the kṣatriya class, the brāhmaṇa class, the vaiśya class, and the śūdra class who lack faith and are not afraid of the afterlife.
དགེ་སློང་ཆོས་ཀྱིས་གནས་པ། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་ལ་དེ་ལྟར་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་ཕྲོགས་ནས་བདག་ཉིད་ཀྱིས་ཡོངས་སུ་སྤྱོད་པར་བགྱིད་པ་གང་དག་ལགས་པ་དེ་དག་གི་རྒུད་པར་འགྱུར་བ་གང་ལགས། ||| They will steal and use for themselves the resources and possessions that have been dedicated to monks who abide by the Dharma and possess a wealth of qualities. What troubles will they experience?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་གལ་ཏེ་ངས་ལུང་བོང་ལྟ་བུའི་རྒྱལ་རིགས་དག་ནས། དམངས་རིགས་དག་གི་བར་དག་ཆོས་ཀྱིས་གནས་པ་ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་ལ་དེ་ལྟར་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་ཕྲོགས་ནས་བདག་ཉིད་ཀྱིས་ལོངས་སྤྱོད་པར་བྱེད་པ་གང་དག་ཡིན་པ་དེ་དག་གི་ལོག་པར་སྒྲུབ་པ་འབྱུང་བ་དེ་བཤད་ན་ནི། དེའི་ཚེ་དེ་དག་ཀྱང་ངའི་བཀའ་བསྟན་པའི་ཕྲིན་ལས་ཀྱི་སྐབས་ཐོབ་ནས་སྤོང་བ་དག་ཏུ་བྱེད་ལ་ཡིད་ཆེས་པ་དག་ཏུ་མི་བྱེད་དེ། ||| “Your Majesty,” replied the Blessed One, “If I were to describe the misfortunes that will be experienced by those oxen-like beings—whether from the kṣatriya class, the brāhmaṇa class, the vaiśya class, or the śūdra class—who steal and use for themselves the resources and possessions that have been dedicated to those who abide by the Dharma and possess a wealth of qualities, they would reject and disbelieve my words whenever they have the opportunity to hear my teachings.
དེ་དག་ནི་ཕུང་བར་འགྱུར་བའི་འཇིགས་པ་ཆེན་པོའི་གནོད་པ་གཉི་ག་དང་ལྡན་པར་འགྱུར་རོ། ||| Those beings will experience two types of harm stemming from great terrors that cause ruin.”
།བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་ལན་གཉིས་སུ་ཡང་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བསྟན་དུ་གསོལ། ||| King Bimbisāra requested the Blessed One a second time, “Blessed One, please instruct us!
བདེ་བར་གཤེགས་པ་བསྟན་དུ་གསོལ། ||| Well-Gone One, please instruct us!
བཙུན་པ་བཅོམ་ལྡན་འདས་གང་དག་འཇིག་རྟེན་ཕ་རོལ་གྱིས་འཇིགས་པར་ལྟ་ཞིང་། བཅོམ་ལྡན་འདས་ཀྱིས་ལེགས་པར་གསུངས་པའི་ཆོས་འདུལ་བ་ལེགས་པར་བསྟན་པ་ཡང་དག་པར་འཛིན་པ་དང་། གསལ་བར་བགྱིད་པའི་རྒྱལ་རིགས་ནས་དམངས་རིགས་ཀྱི་བར་དག་གི་རིགས་རྒྱུད་རིགས་བཙུན་པ་དག་འབྱུང་བར་འགྱུར་ལགས་སོ། ||| Respected Blessed One, there will be members of respectable family lineages—from members of the kṣatriya class to śūdras—who are afraid of the afterlife and genuinely uphold and consider the excellent teachings of the Blessed One’s well-spoken Dharma and Vinaya.
།བཅོམ་ལྡན་འདས་དེ་དག་ནི་ཁྱོད་ཀྱི་བཀའི་ཕྲིན་ལས་བསྟན་པ་ཐོས་ནས་སྟོབས་དང་བརྩོན་པ་མཆོག་ཏུ་ཆེན་པོས་རྒྱལ་བའི་བསྟན་པ་ལེགས་པར་བསྟན་པ་གསལ་བར་བགྱིད་པ་དང་། ཡོངས་སུ་སྐྱོང་བ་དག་ཏུ་འགྱུར་ཞིང་། ||| Blessed One, upon hearing the teachings that stem from the activity of your speech, they will, with utmost strength and diligence, consider and protect the well-spoken teachings of the Victor.
གང་ཟག་དེ་ལྟར་ཡང་དག་པར་ཞུགས་པ་དག་དང་། ཆོས་ཀྱིས་གནས་པ་དག་དང་། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་ལ་ཡང་མཆོད་པ་བགྱིད་པ་དང་། སྲུང་བ་བགྱིད་པ་དང་། ཡོངས་སུ་སྐྱོང་བར་བགྱིད་པར་འགྱུར་ལགས་སོ། ||| They will worship, look after, and protect those who correctly follow these teachings, who abide by the Dharma, and who possess a wealth of qualities.
།ཁྱིམ་ན་གནས་པ་དང་། རབ་ཏུ་བྱུང་བ་དེ་དག་ཀྱང་འཕྲོག་པར་མི་བགྱིད་ལགས་སོ། ||| They will not steal from householders or from those who have gone forth.
།བཙུན་པ་བཅོམ་ལྡན་འདས་ཁྱིམ་ན་གནས་པ་གང་གིས་གང་ཟག་ཆོས་ཀྱིས་གནས་པ་དག་གི་ལོངས་སྤྱོད་དང་ཉེ་བར་སྤྱོད་པ་ཕྲོགས་ནས་བདག་ཉིད་ཀྱིས་ཡོངས་སུ་སྤྱོད་པར་བགྱིད་པ་དེའི་རྒུད་པར་འགྱུར་བ་གང་ལགས། ||| However, respected Blessed One, what troubles will be experienced by those householders who steal and use for themselves the resources and possessions of those who abide by the Dharma?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་གལ་ཏེ་ངས་མ་འོངས་པའི་དུས་ན་ལུང་བོང་ལྟ་བུའི་རྒྱལ་རིགས་ནས་དམངས་རིགས་ཀྱི་བར་དག་ཆོས་ཀྱིས་གནས་པ། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་ལ་དེ་ལྟར་བསྔོས་པའི་ལོངས་སྤྱོད་དང་ཉེ་བར་སྤྱོད་པ་འཕྲོག་ཅིང་བདག་ཉིད་ཀྱིས་ལོངས་སྤྱོད་པར་བྱེད་པ་གང་དག་ཡིན་པ་དེ་དག་གིས་ལོག་པར་སྒྲུབ་པ་འབྱུང་བ་དེ་བཤད་ན་ནི་དེ་དག་ཀྱང་ངའི་བཀའ་བསྟན་པའི་ཕྲིན་ལས་ཀྱི་སྐབས་ཐོས་ནས་སྤོང་བ་དག་ཏུ་བྱེད་ལ་ཡིད་ཆེས་པ་དག་ཏུ་མི་བྱེད་དེ། ||| “Your Majesty,” replied the Blessed One, “If I were to describe the misfortunes that will be experienced in the future by those oxen-like beings— from members of the kṣatriya class to śūdras—who steal and use for themselves the resources and possessions that have been dedicated to those who abide by the Dharma and possess a wealth of qualities, they would reject and disbelieve my words whenever they have the opportunity to hear my teachings.
དེ་དག་ནི་ཕུང་བར་འགྱུར་བའི་གནོད་པ་ཆེན་པོའི་གནོད་པ་གཉིས་ཀ་དང་ལྡན་པར་འགྱུར་རོ། ||| Those beings will experience two types of harm stemming from great terrors that cause ruin.”
།བཅོམ་ལྡན་འདས་ལ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་ལན་གསུམ་དུ་ཡང་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| King Bimbisāra spoke a third time to the Blessed One:
།བཅོམ་ལྡན་འདས་བསྟན་དུ་གསོལ། ||| “Blessed One, please instruct us!
བདེ་བར་གཤེགས་པ་བསྟན་དུ་གསོལ། ||| Well-Gone One, please instruct us!
བཅོམ་ལྡན་འདས་གང་དག་འཇིག་རྟེན་ཕ་རོལ་གྱིས་འཇིགས་པར་ལྟ་ཞིང་། བཅོམ་ལྡན་འདས་ཀྱི་ཆོས་འདུལ་བ་ལེགས་པར་བསྟན་པ་ཡང་དག་པར་འཛིན་པ་དང་། གསལ་བར་བགྱིད་པའི་རྒྱལ་རིགས་ནས་དམངས་རིགས་ཀྱི་བར་དག་གི་རིགས་རྒྱུད་རིགས་བཙུན་པ་དག་འབྱུང་བར་འགྱུར་ལགས་སོ། ||| Respected Blessed One, there will be members of respectable family lineages—from members of the kṣatriya class to śūdras—who are afraid of the afterlife and genuinely uphold and consider the excellent teachings of the Blessed One’s Dharma and Vinaya.
།དེ་དག་གི་ནི་བཅོམ་ལྡན་འདས་ཀྱི་བཀའ་ཕྲིན་ལས་བསྟན་པ་ཐོས་ནས་སྟོབས་དང་བརྩོན་པ་མཆོག་ཏུ་ཆེན་པོས་རྒྱལ་བའི་བསྟན་པ་ལེགས་པར་བསྟན་པ་གསལ་བར་བགྱིད་པར་འགྱུར་ཞིང་། གང་ཟག་དེ་ལྟར་ཡང་དག་པར་ཞུགས་པ་དག་དང་། ཆོས་ཀྱིས་གནས་པ་དག་དང་། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་ལ་ཡང་མཆོད་པ་བགྱིད་པ་དང་། སྲུང་བ་བགྱིད་པ་དང་། ཡོངས་སུ་སྐྱོང་བར་བགྱིད་པར་འགྱུར་ལགས་སོ། ||| Having heard the teachings that stem from the activity of the Blessed One’s speech, they will, with utmost strength and diligence, consider the well-spoken teachings of the Victor, and they will worship, look after, and protect those who correctly follow these teachings, abide by the Dharma, and possess a wealth of qualities.
།ཁྱིམ་ན་གནས་པ་དང་། རབ་ཏུ་བྱུང་བ་དེ་དག་ཀྱང་འཕྲོག་པར་མི་བགྱིད་ལགས་སོ། །ཆོས་ཀྱིས་གནས་པ་དེ་དག་གི་ལོངས་སྤྱོད་དང་ཉེ་བར་སྤྱོད་པ་འཕྲོག་པར་མི་བགྱིད་ལགས་སོ། ||| They will not steal from householders or from those who have gone forth, and they will not steal the resources and possessions of those who abide by the Dharma.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆེན་པོ་ལེགས་སོ་ལེགས་སོ། ||| The Blessed One exclaimed, “Excellent, Your Majesty, excellent!
།ཁྱོད་ཀྱི་སྤོབས་པ་ལེགས་སོ། ||| Your eloquence is excellent!
།རྒྱལ་པོ་ཆེན་པོ་མ་འོངས་པའི་དུས་ན་གང་དག་རྒྱལ་རིགས་དང་། བྲམ་ཟེ་དང་། རྗེའུ་རིགས་དང་། དམངས་རིགས་དག་གིས་ཆོས་ཀྱིས་གནས་པ་རྣམས་ལ་ཁྱིམ་གྱི་གཞི་དང་། ཞིང་གི་གཞི་དང་། ཀུན་དགའི་ར་བའི་གཞི་དང་། སྐྱེད་མོས་ཚལ་དང་། བྲན་དང་། བྲན་མོ་དང་། མལ་ཆ་དང་། སྟན་དང་། ན་བའི་གསོས་སྨན་དང་། ཡོ་བྱད་དག་དེ་ལྟར་བསྔོས་པ་དང་། རྐང་པ་བཞི་པའི་བར་བསྔོས་པ་ཡང་འཕྲོག་པར་བྱེད་པའམ། རྐུ་བར་བྱེད་པ་དག་འབྱུང་བར་འགྱུར་ཏེ། ||| Your Majesty, in the future, there will be members of the kṣatriya class, the brāhmaṇa class, the vaiśya class, and the śūdra class who steal and rob the offerings related to the houses, fields, monastic compounds, and parks as well as the male and female servants, the bedding, the seats, the medicine, the tools, and the cattle that have been dedicated to those who abide by the Dharma.
རྒྱལ་རིགས་ནས་དམངས་རིགས་ཀྱི་བར་དེ་ཐམས་ཅད་ནི་མཐོང་བའི་ཆོས་ལ་འབྱུང་བ་འདོད་པ་མ་ཡིན་པའི་ཆོས་ཉི་ཤུ་དང་མྱུར་དུ་ལྡན་པར་འགྱུར་རོ། ||| All those beings—from the members of the kṣatriya class to śūdras—will soon experience twenty undesirable consequences in their present life.
།ཉི་ཤུ་གང་དག་ཅེ་ན། ||| What are the twenty?
ལྷ་རྣམས་ཀྱིས་ཡོངས་སུ་བཏང་བ་ཡིན། ||| (1) They will be abandoned by the gods.
ཕྱོགས་དང་ཕྱོགས་མཚམས་དག་ཏུ་ཡང་དེའི་མི་སྙན་པ་གྲགས་པར་འགྱུར་བ་ཡིན། ||| (2) Their infamy will resound in all the cardinal and intermediate directions.
མཛའ་བཤེས་དང་སྣག་གི་གཉེན་མཚམས་དག་གིས་ཀྱང་དེ་ཡང་ཡོངས་སུ་གཏོང་བར་འགྱུར་བ་ཡིན། ||| (3) They will be abandoned by their friends and kin.
དེའི་དགྲ་བོ་དག་ཀྱང་མང་བར་འགྱུར་བ་ཡིན། ||| (4) They will have a lot of enemies.
ནོར་དང་ནོར་གྱི་ཡོ་བྱད་དག་ལས་ཀྱང་ཡོངས་སུ་ཉམས་པར་འགྱུར་བ་ཡིན། ||| (5) Their wealth and valuables will deteriorate.
རྣམ་པར་གཡེང་བ་ཡང་མང་བ་ཡིན། ||| (6) They will have a lot of distractions.
ཡན་ལག་མ་ཚང་བར་འགྱུར་བ་ཡང་ཡིན། ||| (7) Their limbs will be impaired.
དེ་གཉིད་མེད་པ་ཡིན། ||| (8) They will suffer from insomnia.
རྟག་ཏུ་སྲེད་པས་གནོད་པར་འགྱུར་བ་ཡང་ཡིན། ||| (9) They will constantly be tormented by craving.
དེའི་བཟའ་བ་དང་བཏུང་བ་ཡང་དུག་གི་བྱ་བ་བྱེད་པ་ཡིན། ||| (10) They will be poisoned by what they eat and drink.
སྡུག་པ་དང་ཡིད་དུ་འོང་བ་དག་དང་མྱུར་དུ་འབྲལ་བ་ཐོབ་པ་ཡིན། ||| (11) They will quickly be separated from their dear and loved ones.
རྟག་ཏུ་གཞན་དག་དང་ཐབ་མོ་འབྱུང་བ་ཡིན། ||| (12) They will continuously fight with others.
ཕ་དང་། མ་དང་། སྤུན་དང་། ཆུང་མ་དང་བུ་མོ་དང་བྲན་དང་། བྲན་མོ་དག་ཀྱང་བསྒོ་བ་བཞིན་མི་བྱེད་པ་ཡིན། ||| (13) Their fathers, mothers, siblings, spouses, daughters, and male and female servants will not follow their instructions.
དེའི་གསང་སྔགས་གསང་བ་དག་དང་། ནོར་གསང་བ་དང་། སླས་གསང་བ་དང་། དེའི་དངོས་པོ་གསང་བ་རྣམས་ཀྱང་ཐམས་ཅད་གསང་ཤོར་བ་དག་ཏུ་འགྱུར་བ་ཡིན། ||| (14) All their secret mantras, secret riches, secret retinues, and secret possessions will be revealed.
བགོ་སྐལ་ལ་སྤྱོད་པ་མི་མཛའ་བ་ལ་སོགས་པ་ལྔས་ཀྱང་ལོངས་སྤྱོད་དག་ཆུད་ཟ་བར་འགྱུར་བ་ཡིན། ||| (15) Their possessions will be squandered by the five terrors, such as the hostile confiscation of one’s property.
ནད་ཚབས་ཆེན་པོ་དག་གིས་ཀྱང་མྱུར་དུ་ཐེབས་པར་འགྱུར་བ་ཡིན། ||| (16) They will quickly be struck by severe diseases.
སྨན་དང་རིམ་གྲོ་པ་དང་བྲལ་ཞིང་ཤ་དང་ཁྲག་བསྐམས་ནས་སྡུག་བསྔལ་ཉམས་སུ་མྱོང་བར་འགྱུར་བ་ཡིན། ||| (17) They will be without doctors and attendants and will experience the suffering of their flesh and blood drying out.
རང་གི་བཤང་གཅི་དག་གི་ནང་དུ་འཆི་བའི་དུས་བྱེད་པར་འགྱུར་བ་ཡིན་ཏེ། ||| (18) They will die in their excrement and urine.
རྒྱལ་པོ་ཆེན་པོ་འདོད་པ་མ་ཡིན་པའི་ལས་ཉི་ཤུ་པོ་དེ་དག་དང་མྱུར་དུ་ལྡན་པར་འགྱུར་རོ། ||| Your Majesty, those are the twenty undesirable consequences that those beings will quickly experience.
།གང་དགེ་སློང་ཆོས་ཀྱིས་གནས་པ་རྣམས་ལ་བསྔོས་པའི་ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་དང་། ནོར་གྱི་ཡོ་བྱད་འཕྲོག་པར་བྱེད་ཅིང་། བདག་ཉིད་ཀྱིས་ཀྱང་ཡོངས་སུ་སྤྱོད་པར་བྱེད་པ་དེ་འཆི་བའི་དུས་བྱས་ནས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་མནར་མེད་པར་སྐྱེ་བར་འགྱུར་རོ། ||| “After they die, those who steal and use for themselves the resources, possessions, and valuables that have been dedicated to the monks who abide by the Dharma will be born in the great Hell of Unceasing Torment.
།དེ་དེར་ཡང་ཚེ་བསྐལ་པར་ལྕགས་དང་ཟངས་བཞུན་འཐུང་བར་འགྱུར་ཞིང་། ལྕགས་ཀྱི་ཐུ་ལུམ་ཟ་བར་འགྱུར་ལ། མེའི་གོས་དང་། ལོངས་སྤྱོད་དང་། ཉེ་བར་སྤྱོད་པ་སྤྱོད་པར་བྱེད་ཅིང་གནོད་པ་མི་བཟད་པ་ཆེན་པོ་རྣམ་པ་སྣ་ཚོགས་ཉམས་སུ་མྱོང་བར་འགྱུར་བ་ཡིན་ནོ། ||| There, for a lifetime stretching over eons, they will drink molten iron and copper, eat lumps of iron, and experience a variety of intense and unbearable harms while having to use clothes, resources, and belongings made of fire.
།ཚེ་བསྐལ་པ་ཟད་ནས་ཀྱང་དེ་ནས་ཤི་འཕོས་ནས་འབྲོག་དགོན་པ་རོ་སྐམ་དག་གི་ནང་དུ་ལམ་དུ་སྐྱེས་པའི་ཡི་དགས་རྣམས་དང་སྐལ་པ་མཉམ་པར་རྐང་པ་དང་། ལག་པ་དང་། མིག་མ་ཚང་བར་སྐྱེ་བར་འགྱུར་རོ། ||| Once the eons of their lifespans are exhausted, they will pass away and be born on paths within a dry and barren wilderness, with the general fortune of pretas with impaired legs, arms, and eyes.
།དེར་ཡང་ཕྱོགས་བཞི་ནས་ལངས་པའི་རླུང་ཀུན་ཏུ་ཚ་བ་དག་གིས་ཀུན་ཏུ་གདུང་བར་བྱེད་ཅིང་ས་སྤུ་གྲི་དང་འདྲ་བའི་སྟེང་དུ་དམྱལ་བར་བྱེད། ཡོངས་སུ་དམྱལ་བར་བྱེད་དེ། ||| There, scorching winds blowing from the four directions will torture them, and they will experience torment and agony on razor-like grounds.
དེ་དེར་ལོ་བརྒྱ་སྟོང་མང་པོར་སྡུག་བསྔལ་དེ་ལྟ་བུ་ཉམས་སུ་མྱོང་བར་བྱེད་པ་ཡིན་ནོ། ||| They will undergo those types of suffering for many hundreds of thousands of years.
།དེ་གལ་ཏེ་བརྒྱ་ལ་རེས་འགའ་ཞིག་དེ་ནས་ཤི་འཕོས་ནས་ཀྱང་རྒྱ་མཚོ་ཆེན་པོའི་ནང་དུ་ལུས་དཔག་ཚད་བརྒྱ་པའི་ཤ་ནར་ནར་པོར་སྐྱེ་བར་འགྱུར་རོ། ||| When, in a rare combination of circumstances, they pass away and transmigrate, they will then be born within the great oceans as creatures with oblong shapes and bodies that measure a hundred leagues.
།སྔོན་གྱི་ལས་ཀྱི་རྒྱུས་དེའི་དཔག་ཚད་ཁོར་ཡུག་གི་ཆུ་ཟངས་བཞུན་མ་ལྟར་དམར་པོ་འབྱུང་བར་འགྱུར་རོ། ||| Due to their previous actions, the water surrounding them will be red like molten copper for leagues.
