འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
གཞོན་ནུ་རྣམ་གྲངས་དེས་ན་ཡུན་རིང་པོ་འདས་པས་རྡུལ་ཕྲ་མོའི་རྡུལ་བསགས་པའི་ཕུང་པོ་ཆེན་པོ་དེ་འདོར་བར་འགྱུར་རོ། ། ||| young man, by repeating this for a long time, eventually that great mass of particles would become dispersed.
གཞོན་ནུ་རྣམ་གྲངས་དེས་ན་སྐྱེས་བུ་ཕྱི་མ་དེས་གྲངས་མེད་པ་བརྒྱ་སྟོང་དགུ་བཅུ་རྩ་དགུར་བསྒྱུར་བ་འདས་ནས་ ||| Young man, by this way of proceeding, the latter person would travel past nine million nine hundred thousand incalculable numbers of worlds and
སངས་རྒྱས་ཀྱི་ཞིང་གྲངས་མེད་པ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་སྙེད་འདས་པ་ན་འཇིག་རྟེན་གྱི་ཁམས་མུ་ཏིག་ཅན་ནོ། ། ||| thus arrive past countless trillions of buddha realms. “That is where the world called Pearled is located.
དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་ཆེན་འོད་ཟེར་ཟླ་བས་བརྒྱན་པ་མཁས་པའི་གཟི་བརྗིད་དབྱངས་ཀྱི་དབང་ཕྱུག་གི་རྒྱལ་པོ་ཞེས་བྱ་བ་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| There the thus-gone one, the worthy one, the perfect Buddha Majestic King with the Splendorous Voice of Learning Adorned by Precious Moonlight lives, abides, and teaches the Dharma.
གཞོན་ནུ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ལ་ཡང་དག་པར་གནས་པའི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཞིག་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིན་ཆེན་འོད་ཟེར་ཟླ་བས་བརྒྱན་པ་མཁས་པའི་གཟི་བརྗིད་དབྱངས་ཀྱི་དབང་ཕྱུག་རྒྱལ་པོ་དེའི་མཚན་ལ་སོམ་ཉི་མི་ཟ་ཞིང་ ||| Young man, those noble sons or daughters who abide in the Bodhisattva Vehicle, who have no doubt regarding the name of the thus-gone, worthy, perfect Buddha Majestic King with the Splendorous Voice of Learning Adorned by Precious Moonlight, and
ངས་མཐོང་བ་ལ་ཡང་ཡིད་ཆེས་ན་དེའི་ཚེ་འདས་པའི་འོག་ཏུ་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་སྲིད་འཐོབ་པར་འགྱུར་རོ། ། ||| who trust in my vision, will attain the dominion of a universal monarch after their lives are over.
དེའི་རྒྱལ་སྲིད་ལ་ཡང་སངས་རྒྱས་འབྱུང་བར་འགྱུར་ཞིང་ ||| A buddha will appear within their dominions.
དེ་བཞིན་གཤེགས་པ་དེ་མཐོང་ནས་ཀྱང་མཆོད་པ་དཔག་ཏུ་མེད་པ་བྱེད་པར་འགྱུར། ||| When they see that thus-gone one, they will perform boundless veneration,
ཚངས་པར་སྤྱོད་པར་ཡང་འགྱུར། ||| [When they see that thus-gone one,] they will [perform boundless veneration,] practice pure conduct, and
མངོན་པར་ཤེས་པ་ལྔ་ཡང་རྟོགས་པར་ཁོང་དུ་ཆུད་པར་འགྱུར། ||| [When they see that thus-gone one,] they will [perform boundless veneration,] master the five types of miraculous abilities.
དེ་བཞིན་གཤེགས་པ་མཐོང་མ་ཐག་ཏུ་གཟུངས་བརྒྱ་འཁྱིལ་བ་ཞེས་བྱ་བ་འཐོབ་པར་འགྱུར། ||| Immediately upon beholding that thus-gone one, they will achieve the hundred-swirled dhāraṇī.
གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་དག་ལ་བསྙེན་བཀུར་བྱེད་པར་འགྱུར། ||| They will serve as many buddhas as there are grains of sand in the Ganges.
དེ་སྙེད་ཀྱི་བསྐལ་པ་བྱེ་བ་ཉིད་དུ་འཁོར་བ་ལས་ཕྱིར་ཕྱོགས་པར་བྱེད་པར་འགྱུར། ||| They will turn away from saṃsāra for an equivalent number of eons.
དེའི་སེམས་ཤིན་ཏུ་རྨོངས་པ་མེད་ཅིང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་འགྱུར། ||| Their minds will be undeluded, and they will fully awaken to unsurpassed and perfect buddhahood.
སྲེད་མེད་ཀྱི་བུའི་ལུས་ལྟར་མཁྲེགས་པའི་ལུས་སུ་འགྱུར། ||| Their bodies will become solid like that of Nārāyaṇa.
ལུས་དབྱིབས་གཅིག་ལ་སྤི་ཛ་བཞི་པར་འགྱུར། ||| Residing in a single place, they will possess the four necessities.
དེའི་ལུས་ཀྱི་མདོག་གསེར་གྱི་ཁ་དོག་འདྲ་བར་འགྱུར། ||| Their bodies will take on golden complexions.
སྐྱེས་བུ་ཆེན་པོའི་མཚན་སུམ་ཅུ་རྩ་གཉིས་ཀྱིས་ལུས་བརྒྱན་ཅིང་ཚངས་པའི་སྒྲ་དབྱངས་སུ་ཡང་འགྱུར། ||| They will be adorned with the thirty-two major marks of a great being. They will gain the melodious voice of Brahmā .
མི་ཁོམ་པ་ཐམས་ཅད་ཀྱང་སྤོང་ཞིང་དལ་བ་ཕུན་སུམ་ཚོགས་པ་ཡང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will eliminate all unfree states and attain an abundance of leisure.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དོན་འདི་ཉིད་རྒྱས་པར་བསྟན་པའི་ཕྱིར་ཚིགས་སུ་བཅད་པས་བཀའ་སྩལ་པ། ||| In order to elaborate on the meaning of what he had taught, the Blessed One then spoke in verse:
གང་ཞིག་འཇིག་རྟེན་མགོན་པོའི་མཚན། །ཐོས་ནས་སོམ་ཉི་མི་ཟ་ཞིང་། །ངས་མཐོང་བ་ལའང་ཡིད་ཆེས་པ། །དེ་ནི་ཡོན་གནས་འོས་པ་ཡིན། ། ||| “Those who hear the name of this world protector And entertain no doubt, Trusting in what I see, Shall become worthy of veneration.
རྟག་ཏུ་འཁོར་ལོས་སྒྱུར་བ་ཡི། །རྒྱལ་སྲིད་འཐོབ་ཅིང་སངས་རྒྱས་མཐོང་། ། ||| “They will attain the eternal dominion Of universal monarchs and behold buddhas.
མཐོང་ནས་དཔག་ཏུ་མེད་པ་དང་། །བསམ་གྱིས་མི་ཁྱབ་མཆོད་པ་བྱེད། ། ||| Having beheld them, they will perform Boundless and inconceivable veneration.
རྟག་ཏུ་ཚངས་པར་སྤྱོད་པ་དང་། །མངོན་པར་ཤེས་རྣམས་རྟོགས་པར་འགྱུར། ། ||| “They will always practice pure conduct. They will realize all forms of miraculous abilities.
སངས་རྒྱས་མཐོང་ནས་བརྒྱ་འཁྱིལ་བའི། །གཟུངས་ཀྱང་དེ་ཡིས་འཐོབ་པར་འགྱུར། ། ||| Once they see the Buddha, they will achieve The hundred-swirled dhāraṇī.
ཇི་ལྟར་གང་གཱའི་བྱེ་མ་སྙེད། །དེ་སྙེད་སངས་རྒྱས་མཐོང་བར་འགྱུར། ། ||| “They will behold as many buddhas As there are sands in the Ganges.
དེ་སྙེད་བསྐལ་པ་བྱེ་བ་རུ། །འཁོར་བ་དག་ནི་སྤངས་པར་འགྱུར། ། ||| They will abandon saṃsāra For that many billions of eons.
གང་ཞིག་འཇིག་རྟེན་མགོན་པོའི་མཚན། །ཚོགས་དང་དགེ་འདུན་དག་ལ་བརྗོད། །དེ་ཡི་སེམས་ནི་མི་རྨོངས་ཤིང་། །སངས་རྒྱས་བྱང་ཆུབ་རྒྱུ་བྱེད་དོ། ། ||| “Those who hear the name of the world protector Spoken to the assemblies and saṅghas Will become undeluded, And it will be a cause for awakening to buddhahood.
རྟག་ཏུ་སྲེད་མེད་བུ་འདྲ་ཞིང་། །ལུས་དབྱིབས་གཅིག་ལ་སྤི་ཛ་བཞི། །ལུས་ནི་གསེར་གྱི་མདོག་འདྲ་ཞིང་། །སུམ་ཅུ་རྩ་གཉིས་མཚན་འཆང་འགྱུར། ། ||| “They will always be like Nārāyaṇa. Residing in a single place, they will possess the four necessities. Their bodies will be golden colored And display the thirty-two marks.
གང་ཞིག་མཚན་ནི་ཐོས་ནས་སུ། །ཡན་ལག་ལྔ་ཡིས་ཕྱག་བྱས་ན། །རྟག་ཏུ་ཚངས་པའི་དབྱངས་ལྡན་ཞིང་། །མི་ཁོམ་པ་ཡང་སྤངས་པར་འགྱུར། ། ||| “Those who hear his name And prostrate with their five points Will permanently gain the voice of Brahmā And abandon the unfree states.
གང་ཞིག་འཇིག་རྟེན་མགོན་པོའི་མཚན། །ཐོས་ནས་སོམ་ཉི་མི་ཟ་བ། །དེ་ནི་བྱང་ཆུབ་ལ་མི་འགོང་། །དེ་ནི་ནམས་ཀྱང་སོམ་ཉི་མེད། ། ||| “Those who hear the name of this world protector And entertain no doubt Will not shy away from awakening. They shall never have any hesitation.
གང་ཞིག་ཉིན་དང་མཚན་བདུན་དུ། །ཚང་བར་རྒྱལ་བའི་མཚན་འཛིན་པ། །སངས་རྒྱས་བསྔགས་པ་མཐའ་ཡས་པའི། །མིག་ནི་རྣམ་པར་དག་པར་འགྱུར། ། ||| “Those who remember the victor’s name For a full seven days and nights Will purify the infinite seeing eyes Praised by the buddhas.
མི་དེ་ཡི་ནི་ཤ་ཡི་མིག །ལྷ་ཡི་མིག་ཏུ་རྣམ་སྦྱོང་སྟེ། ། ||| “They shall refine the eyes of flesh Into the eyes of a god.
གང་གཱའི་ཀླུང་གི་བྱེ་སྙེད་ཀྱི། །སངས་རྒྱས་མང་པོ་མཐོང་བར་འགྱུར། ། ||| They will perceive as many buddhas As there are grains of sand in the Ganges.
ཐམས་ཅད་ལ་ནི་མཆོད་བྱེད་ཅིང་། །ཐམས་ཅད་ལས་ནི་ཐོས་པ་འཛིན། ། ||| “They will venerate each of them And receive teachings from each as well.
མིག་གིས་ཐམས་ཅད་མཐོང་ནས་སུ། །མི་རྣམས་ཐམས་ཅད་དབུགས་འབྱིན་ཏོ། ། ||| Seeing all the buddhas with their own eyes, They will bring comfort to all humanity.
དེ་བཞིན་གཤེགས་པའི་མཚན་ཐོས་པ། །སྔོན་ཆད་བསམ་གྱིས་མི་ཁྱབ་པའི། །བསྙེན་བཀུར་སངས་རྒྱས་དག་ལ་བྱས། ། ||| “Those who hear the name of this thus-gone one Have already offered unfathomable service To the buddhas,
དེ་དག་ཐམས་ཅད་རྗེས་དྲན་འགྱུར། ། ||| All of whom they will recollect.
སྲོག་ཆགས་གང་རྣམས་མདུན་དག་ཏུ། །མཚན་ནི་བསྟན་པར་བྱས་གྱུར་ན། །སེམས་ཅན་གཞན་གྱིས་དེ་མཐོང་ཞིང་། །ངེས་པར་བྱང་ཆུབ་འགྱུར་བ་ཡིན། ། ||| “If his name is relayed Before any being at all, When those other beings hear this name, They too will definitely proceed to awakening.
སངས་རྒྱས་ལ་ནི་དད་བསྐྱེད་པས། །མི་ཁོམ་ཐམས་ཅད་རྣམ་པར་སྤངས། ། ||| “By generating faith in this buddha, The unfree states are dispelled,
རྩོད་དང་འགྱེད་པ་བྱས་པས་ནི། །མི་ཁོམ་རྣམས་སུ་སྐྱེ་བར་འགྱུར། ། ||| While by engaging in debate and quarreling, One will be born into the unfree states.
ཐུབ་པ་ཆེན་པོ་དེ་ཡི་མཚན། །སེམས་ཅན་གཅིག་ཅིག་ཐོས་བྱས་ན། །རྩོད་པ་དང་ནི་འགྱེད་པ་ཡང་། །ཡིད་ལ་བྱེད་པར་མི་འགྱུར་རོ། ། ||| “Once beings have heard The name of this great sage, They shall no longer be interested In debate and quarreling.
གལ་ཏེ་མནར་མེད་པ་ཡི་ལས། །བསྐལ་པ་གནས་པར་འགྱུར་བ་དག །ཀླད་ནད་ཙམ་ཞིག་བསྐྱེད་ནས་སུ། །ལས་ཀུན་རྣམ་པར་སྨིན་མི་འགྱུར། ། ||| “The actions that lead to the Hell of Ultimate Torment, Which could last for eons, As well as the actions that produce a simple headache— All such actions will not ripen for these beings.
དེ་ལ་མེས་ནི་མི་ཚིག་ཅིང་། །ཆུ་ཡི་ནང་དུ་འཆི་མི་འགྱུར། ། ||| “They shall not be burned by fire, Nor drown in water.
དེ་ལ་རྒྱལ་པོ་རབ་ཁྲོས་ཀྱང་། །མྱུར་བ་ཉིད་དུ་ཞི་བར་འགྱུར། ། ||| Even when they draw the ire of the king, It shall be quickly assuaged.
གང་ཞིག་ཐུབ་པའི་མཚན་འཛིན་པ། །ནམས་ཀྱང་ལོང་བ་ཞར་བ་དང་། །ཐེང་དང་སྒུར་དང་ལུས་ཉམས་དང་། །ནད་ནི་མང་པོར་མི་འགྱུར་རོ། ། ||| “Those who remember this sage’s name Shall be spared many illnesses Including blindness, defective sight, Paralysis, hunchback, and decrepitude.
གནོད་སྦྱིན་དྲི་ཟ་ཡི་དགས་དང་། །གྲུལ་བུམ་སྲིན་པོ་མི་རྣམས་ནི། །སྡིག་ཅན་མ་རུངས་པ་རྣམས་དག །མི་དེ་ལ་ནི་གནོད་མི་བྱེད། ། ||| “Evil and malevolent Yakṣas, gandharvas, asuras, Kumbhāṇḍas, rākṣasas, and humans Shall be unable to harm them.
གང་ཞིག་ཐུབ་པའི་མཚན་འཛིན་པ། །འབྱུང་པོ་དྲི་ཟ་གནོད་སྦྱིན་རྣམས། །ཀླུ་དང་ལྷ་རྣམས་ཐམས་ཅད་ཀྱི། །ཡིད་དུ་འོང་ཞིང་དགའ་བར་འགྱུར། ། ||| “Those who remember this sage’s name Shall be favored and preferred By all the bhūtas, gandharvas, yakṣas, Nāgas, and gods.
འདིར་ནི་སྐྱོབ་པའི་མཚན་ཐོས་པ། །ཤིན་ཏུ་བསགས་པ་དམ་པའི་དབྱངས། །ཏིང་འཛིན་མྱུར་དུ་ཐོབ་པར་འགྱུར། ། ||| “Those who hear this protector’s name Shall swiftly attain vast accumulations, Sublime voices, and absorption.
ཡོན་ཏན་བྱེ་བ་རབ་ཏུ་སྒྲོགས། ། ||| Their myriad virtues will be renowned.
གང་ཞིག་འཇིག་རྟེན་མགོན་པོའི་མཚན། །ཐོས་ནས་སོམ་ཉི་མི་ཟ་བ། །ཕྱི་མའི་དུས་ཀྱི་ཚེ་དག་ཏུ། །དེ་ཡི་བྱང་ཆུབ་འདི་འཛིན་ཏོ། ། ||| “Having heard this world protector’s name Without doubting it, They will hew to awakening Throughout all their subsequent lives.
ཐུབ་པ་ཆེན་པོའི་མཚན་ཐོས་པ། །སངས་རྒྱས་མྱ་ངན་འདས་རྣམས་ཀྱིས། །ལེགས་པར་གསུངས་པའི་ཆོས་ཀྱི་ཚུལ། །འཛིན་ཅིང་ཡང་དག་རབ་ཏུ་སྟོན། ། ||| “Those who hear this great sage’s name Shall uphold and preach The way of the well-spoken Dharma Taught by the buddhas who have gone beyond anguish.
སངས་རྒྱས་ཀུན་གྱིས་ལེགས་གསུངས་པའི། །ཆོས་དེ་རྣམས་ནི་དེས་འཛིན་ཏོ། ། ||| “They shall uphold the teachings Well spoken by all the buddhas.
བཀོད་པ་མཆོག་ནི་དེས་བྱེད་ཅིང་། །སངས་རྒྱས་ཀུན་ལ་བསྙེན་བཀུར་བྱེད། ། ||| They shall manifest the supreme array And serve all the buddhas.
དེ་ནས་འཆི་བའི་དུས་བྱས་ནས། །སངས་རྒྱས་བྱེ་བ་དེས་མྱུར་མཐོང་། །སངས་རྒྱས་རྣམས་ཀྱིས་གསུངས་པ་ཡི། །ཆོས་རྣམས་དེ་དག་འཛིན་པར་བྱེད། ། ||| “Once they pass away, They will swiftly behold myriad buddhas And uphold the teachings Spoken by the buddhas.
སྐྱོབ་པ་དེ་ཡི་མཚན་ཐོས་པ། །སྲོག་ཆགས་བྱེ་བ་ནན་ཏན་གྱིས། །འདུལ་བར་བྱེད་ཅིང་རབ་ཏུ་འགོད། །ཐམས་ཅད་བྱང་ཆུབ་ཕྱིར་འཇོག་གོ། ། ||| “Those who hear this protector’s name Shall earnestly train and establish Millions of beings on the path, Bringing them all to awakening.
ང་ཡིས་མཐོང་ལའང་ཡིད་ཆེས་པ། །སྐྱོབ་པ་སངས་རྒྱས་ཐམས་ཅད་ཀྱི། །རབ་ཏུ་བསྟན་པ་འཛིན་འགྱུར་ཞིང་། །སངས་རྒྱས་རྣམས་ཀྱང་མཆོད་པར་འགྱུར། ། ||| “Those who trust what I have seen Shall uphold the teachings Of all the buddhas, the protectors, And additionally venerate the buddhas.
སངས་རྒྱས་མཁྱེན་ལ་གང་དད་པ། །ངས་མཐོང་བ་ལའང་དེ་ཡིད་ཆེས། །འཆིང་བ་རྣམས་ལས་དེས་རྣམས་འགྲོལ། །ཀློང་ལས་རྒལ་ཅིང་འཇིགས་པ་མེད། ། ||| “Those who have faith in this buddha’s wisdom, Trusting in what I have seen, Shall be liberated from many fetters. They will cross the abyss and become fearless.
གང་ཞིག་དམ་པའི་ཆོས་སྤོང་བ། །དེ་ནི་བདུད་ཀྱི་སྡེ་ཡིན་ནོ། ། ||| “Whosoever abandons the sublime Dharma Is among Māra ’s ranks.
འགྲོ་བ་ལྔ་རུ་འགྲོ་བ་ཡི། །སེམས་ཅན་ཀུན་གྱི་བ་སྤུ་གང་། །དེ་ནི་སྟོན་པའི་པུས་མོ་ཡི། །ལྷ་ང་གཅིག་གིས་བ་སྤུར་སྡུད། ། ||| “The body hairs of every being Who migrates among the five types of beings Could be consolidated Within one hair on the teacher’s kneecap.
སྐྱོབ་པ་འཇིག་རྟེན་མགོན་པོ་ཡི། །བ་སྤུ་གཅིག་གི་ཁུང་བུ་ནས། །ཇི་ལྟར་གང་གཱའི་བྱེ་མ་སྙེད། །དེ་སྙེད་འོད་ཟེར་འབྱིན་པར་མཛད། ། ||| “From a single pore Of the protector, the guardian of the world, As many rays of light as there are Grains of sand in the Ganges stream forth.
གང་ཞིག་འཇིག་རྟེན་མགོན་འདི་ཡི། །འོད་ཟེར་མཐའ་ཡས་ལ་ཡིད་ཆེས། །ཚེ་གཅིག་གིས་ནི་སངས་རྒྱས་རྣམས། །སངས་རྒྱས་བྱེ་བ་མཐོང་བར་འགྱུར། ། ||| “Those who trust in the infinite light Of the world protector Shall in one life behold many buddhas— Millions of buddhas.
ཆོས་ཀྱི་རྒྱལ་པོ་མདོ་སྡེ་འདི། །བཤད་པ་གང་ཞིག་ཐོས་གྱུར་ནས། །ནམས་ཀྱང་ཡིད་གཉིས་མི་ཟ་བ། །དེ་ནི་ང་དང་འདྲ་བར་འགྱུར། ། ||| “Those who hear the teaching Of this discourse by the Dharma king And never doubt it Shall become like me.
ཡངས་པ་ཅན་དུ་མདོ་སྡེ་འདི། །བཤད་པའི་ཚེ་ན་སུས་ཐོས་པ། །དེ་ནི་ཕྱི་མའི་དུས་སུ་དེས། །གཞན་ལ་ཡང་དག་རབ་ཏུ་སྟོན། ། ||| “Those who hear the teaching Of this discourse in Vaiśālī Shall themselves preach it to others At a later time.
ཇི་ལྟར་གང་གཱའི་བྱེ་མ་དག །མི་གང་གིས་ནི་མང་བརྗོད་པ། །དེ་སྙེད་འཇིག་རྟེན་ཁམས་རྣམས་སུ། །འོད་ཟེར་གཅིག་གིས་ཁྱབ་པར་བྱེད། ། ||| “Those who preach this widely Shall come to pervade as many worlds As there are grains of sand in the Ganges With a single burst of light.
སངས་རྒྱས་ཞིང་རྣམས་ཐམས་ཅད་དག །བགྲང་བའི་ཚུལ་གྱིས་མི་མཆོད་པ། །གསེར་རྣམས་ཀྱིས་ནི་བཀང་ནས་སུ། །འཇིག་རྟེན་མགོན་ལ་ཕུལ་བ་བས། ། ||| “One may fill with gold All the buddha realms, The numbers of which defy counting, And offer it to the world protectors.
འདི་ཡི་མཚན་ནི་ཐོས་ནས་སུ། །དགའ་བ་བཟང་པོ་སྐྱེས་གྱུར་ཏེསངས་རྒྱས་ཕྱག་འཚལ་ཞེས་བརྗོད་པ། །དེ་ཡི་བསོད་ནམས་བསམ་མི་ཁྱབ། ། ||| “Yet, in comparison, those who hear this name And who are truly delighted by it And utter their homage to the buddhas Obtain inconceivably more merit.
འཇིག་རྟེན་མགོན་ནི་ཐམས་ཅད་ལ། །ཡང་དང་ཡང་དུ་ཕྱག་འཚལ་བ། །དེ་ཡི་བསོད་ནམས་ཕུང་པོ་ནི། །ཚད་ནི་བཤད་པར་མི་ནུས་སོ། ། ||| “The mass of merit gained By repeatedly paying homage To all the world protectors Cannot be expressed by any measure.
གང་ཞིག་འཇིག་རྟེན་མགོན་པོའི་མཚན། །ཐོས་ནས་སོམ་ཉི་མི་ཟ་བ། །དེ་ཡི་ལུས་ནི་འོད་ཟེར་གྱིས། །ཁྱབ་ཅིང་རིན་པོ་ཆེ་ལྟར་འགྱུར། ། ||| “Those who hear the world protector’s name And do not hesitate about it Will have their bodies filled with light And become like precious gems.
གང་ཞིག་ཐུབ་པའི་མཚན་འཛིན་པ། །དེ་ནི་རྣམ་པར་འདས་གྱུར་ནས། །ལྷ་ཡི་ཙན་དན་དམར་པོ་ཡི། །དྲི་ཞིམ་ཁ་ནས་རབ་ཏུ་འབྱུང་། ། ||| “After they have passed beyond, Those who remember the name of the sage Will have the sweet scent of divine red sandalwood Waft from their mouth.
སྐྱོབ་པ་སེམས་ཅན་སྙིང་པོ་ཡི། །སངས་རྒྱས་ཀྱི་ནི་མཚན་ཐོས་པ། །བ་སྤུའི་ཁུང་ནས་འོད་ཟེར་དག །བཀྱེ་བས་ལུས་ཀྱང་མཛེས་པར་འགྱུར། ། ||| “Those who hear the name Of the Buddha, the protector, the essential being, Will have light stream from their pores, Beautifying their bodies.
ཚེ་རབས་དག་ནི་ཐམས་ཅད་དུ། །ཐོས་པ་མང་པོར་འགྱུར་བ་སྟེ། །ཀུན་དགའ་སངས་རྒྱས་ཅི་འདྲ་བའི། །དཔག་ཏུ་མེད་པའི་ཐོས་པའང་འཛིན། ། ||| “In all of their ensuing lives They will become deeply learned. They will retain their unfathomable erudition, Just like Ānanda does for the Buddha.
འཇིག་རྟེན་སྣང་བྱེད་དེས་མཐོང་ནས། །གཞལ་གྱིས་མི་ལང་དགའ་བ་འཐོབ། །བྱང་ཆུབ་སྤྱད་པ་སྤྱོད་པ་ན། །ཚེ་རབས་དག་ནི་དྲན་པར་འགྱུར། ། ||| “When they behold the one who illuminates the world, They will attain boundless happiness. As they engage in bodhisattva conduct, They will recall all their lives.
རྒྱལ་བའི་ཐུགས་སྲས་མཐོང་ནས་ཀྱང་། །གཞལ་གྱིས་མི་ལང་དགའ་བ་འཐོབ། ། ||| “Even when they see the victors’ heart sons, They will attain boundless happiness.
སྤོས་དང་མེ་ཏོག་བྱུག་རྣམས་ཀྱིས། །མཆོད་པ་དག་ནི་རྒྱ་ཆེན་བྱེད། ། ||| They will make extensive offerings With incense, flowers, and ointments.
འཇིག་རྟེན་མགོན་པོ་དེ་ཡི་མཚན། །བརྗོད་པ་འཛིན་པར་མི་བྱེད་དེ། །བདུད་ཀྱི་ཕྱོགས་དང་སྔོན་ཀྱང་ནི། །མུ་སྟེགས་གྱུར་པ་མ་གཏོགས་སོ། ། ||| “This does not include those who do not remember The name of this world protector when it is spoken, Or those who are on Māra ’s side, Or those who have previously been extremists.
ང་ཡིས་ཚུལ་འདི་བཤད་པ་ན། །སྔོན་ནི་གང་གིས་འདི་ཐོས་པ། །ཕྱི་མའི་དུས་ཀྱི་ཚེ་དག་ཏུ། །དེ་ཡི་ལག་ཏུ་མདོ་སྡེ་འཐོབ། ། ||| “As I have taught this Dharma way, Those who have heard it now Shall also receive this discourse in their hands In a future life.
དེ་ཡིས་མདོ་སྡེ་དམ་པ་འདི། །བཤད་པ་དག་ནི་སུས་ཐོས་པ། །སྔོན་ནི་མཆོད་ཅིང་བཀུར་སྟི་བྱས། །དེ་ཡི་ལག་ཏུ་འདི་འཐོབ་བོ། ། ||| “Those who hear the explanation Of this sublime discourse Have previously venerated and served, And they shall receive it in their hands again.
གང་གིས་སྨོན་ལམ་བཏབ་པ་ནི། །ཕྱི་མའི་དུས་ཀྱི་ཚེ་དག་ཏུ། །ཆོས་ཀྱི་རྒྱལ་པོས་གསུངས་པ་ཡི། །མདོ་འདི་ལག་ཏུ་འཐོབ་པར་འགྱུར། ། ||| “Those who make aspirations Shall, in a future life, Receive into their hands This discourse spoken by the Dharma King.
གང་ཞིག་སེམས་ནི་རྩེ་གཅིག་གིས། །སངས་རྒྱས་གྲངས་མེད་བཀུར་སྟི་བས། །མདོ་འདི་ལ་ནི་གང་དད་པ། །དེ་བས་བསོད་ནམས་འདི་མང་འགྱུར། ། ||| “Having faith in this discourse Brings even more merit Than honoring countless buddhas With a one-pointed mind.
རྟག་ཏུ་གཟུགས་བཟང་བསོད་ནམས་ལྡན། ། ||| “They forever will have beautiful bodies and lots of merit [And be fearless and wealthy].
ཤིན་ཏུ་འཇིགས་མེད་ལོངས་སྤྱོད་ལྡན། ། ||| They [forever[ will [have beautiful bodies and lots of merit And] be fearless and wealthy.
དྲན་དང་ལྡན་ཞིང་མཚན་རྣམས་ཀྱིས། །མངོན་པར་བརྒྱན་པ་དག་ཏུ་འགྱུར། ། ||| They will be mindful And ornamented with the major marks.
དེ་ལྟ་བས་ན་མདོ་སྡེ་འདི། །ཐོས་ནས་ཕྱི་མའི་དུས་ཀྱི་ཚེ། །བཟུང་ཞིང་ཡང་དག་བསྟན་པ་དང་། །གཞན་དག་ལ་ཡང་བསྟན་པར་གྱིས། ། ||| “Thus, having heard The teaching of this discourse, In the future retain it, teach it, And explain it to others!
གང་གིས་སངས་རྒྱས་འཁོར་ལོས་སྒྱུར། །འབུམ་ཕྲག་དག་ལ་བཀུར་བྱས་པས། །ཕྱི་མ་ཡི་ནི་དུས་དག་ཏུ། །དེས་མཐོང་བ་ལ་སོམ་ཉི་མེད། ། ||| “Those who have honored hundreds of thousands Of buddhas, universal monarchs, Shall also in the future Have vision free from doubt.
གང་གིས་སྔོན་ནི་འཇིག་རྟེན་མགོན། །གྲངས་མེད་པ་ལ་བསྙེན་བཀུར་བས། །དེ་ཡི་འཇིག་རྟེན་མགོན་འདི་ཡི། །ཐོས་ཤིང་མཐོང་ལའང་ཡིད་ཆེས་སོ། ། ||| “Those who have performed service For countless world protectors in the past Will trust what they hear and see Of this world protector.
གང་ཞིག་མཚན་འདི་ཐོས་ནས་སུ། །སངས་རྒྱས་ཀྱི་ནི་གཟུགས་བྱེད་པ། །དེ་ནི་སངས་རྒྱས་ཐམས་ཅད་ཀྱི། །བསྟན་པ་དང་ནི་དམ་ཆོས་བསྲུང་། ། ||| “Those who hear his name Will actualize the form of a buddha. They will guard the teachings And the sublime Dharma of all the buddhas.
གང་ཞིག་བྱང་ཆུབ་བསྟན་སྤངས་ན། །བསྐལ་པ་བྱེ་བ་དག་ཏུ་ནི། །ལུག་ལྟར་ལྐུགས་ཤིང་མིག་ཉམས་ལ། །མིག་མེད་པ་དག་ཏུ་ཡང་འགྱུར། ། ||| “However, those who abandon the teachings of awakening Shall become like sheep—mute and with poor eyesight, Or even with no eyes at all For millions of eons.
