འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
དེ་ཤིན་ཏུ་ངོ་མཚར་དུ་གྱུར་ནས་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་སྔོན་ཆད་ནི་འདོད་ན་སྒྱུ་མ་སྟོན་པར་ཡང་བྱེད། འདོད་ན་སྒྱུ་མ་མེད་པར་ཡང་བྱེད་ན། ད་ནི་དེ་བཞིན་གཤེགས་པའི་ཆེད་དུ་གནས་ཀྱི་བཀོད་པ་བྱས་པ་མེད་པར་བྱེད་མ་ནུས་སོ་སྙམ་མོ། ། ||| Completely amazed, he thought, “Up until now I could create illusions at will and make them vanish at will, but now I am unable to dispel this array made for the Tathāgata.”
དེ་ནས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་སྒྱུ་མ་མཁན་བཟང་པོའི་སེམས་ཀྱི་རྣམ་པར་རྟོག་པ་སེམས་ཀྱིས་ཡོངས་སུ་ཤེས་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཟང་པོ་ཇི་ལྟར་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པའི་ཕྱིར་གནས་ཀྱི་བཀོད་པ་བྱས་པ་འདི་མེད་པར་བྱ་མི་ནུས་པ་དེ་བཞིན་དུ་བཟང་པོ་གང་དག་དེ་བཞིན་གཤེགས་པ་ལ་སེམས་བསྐྱེད་པ་འགའ་ཙམ་ཐོབ་པ་དེ་དག་གི་སེམས་བསྐྱེད་པ་དེ་ཡང་མེད་པར་མི་འགྱུར་ཏེ། དེ་དག་གི་དེ་ནི་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་བར་གྱི་རྒྱུར་འགྱུར་རོ། ། ||| Then Śakra, ruler of the gods, knowing fully what Bhadra the illusionist was thinking, said to him, “Bhadra, just as you are unable to dispel what you have created for the Tathāgata, so it is, Bhadra, for those who are able to generate even a few thoughts of the Tathāgata—their thoughts do not go away but remain a causal factor right up until their final nirvāṇa.”
དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་དགའ་མགུ་ཡི་རངས་ཏེ། རབ་ཏུ་དགའ་ཞིང་ཡིད་བདེ་བར་གྱུར་ནས་དེ་ཉིད་ཀྱི་མཚན་མོ་འདས་པ་དང་། ||| Bhadra the illusionist was utterly delighted, and rejoicing, he became thoroughly overjoyed and blissful.
བཅོམ་ལྡན་འདས་ལ་གདུགས་ཚོད་ལ་བབ་པ་སྐུལ་བར་བྱེད་དེ། བཅོམ་ལྡན་འདས་གདུགས་ཚོད་ལགས་པའི་དུས་དང་ཚོད་ལ་བབ་ན་ད་གདུགས་ཚོད་ལ་བབ་པར་དགོངས་སུ་གསོལ་ཞེས་གསོལ་ཏོ། ། ||| So, that night passed with him urging the Blessed One to come for the midday meal, beseeching him, “Blessed One, when the midday meal in the middle of the day has arrived, please do kindly come for the midday meal!”
དེ་ནས་བཅོམ་ལྡན་འདས་སྔ་དྲོའི་དུས་ཀྱི་ཚེ་ཤམ་ཐབས་མནབས། ཆོས་གོས་གསོལ། ལྷུང་བཟེད་ཐོགས་ཏེ། དགེ་སློང་གི་དགེ་འདུན་གྱིས་ཡོངས་སུ་བསྐོར་ཅིང་དགེ་སློང་གི་དགེ་འདུན་གྱི་དང་ལ་གཤེགས་ཏེ། རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོར་གཤེགས་ནས། ||| Early the next morning, the Blessed One donned his lower and upper robes, took up his offering bowl, gathered the saṅgha of monks, and, leading the saṅgha of monks, went to the great city of Rājagṛha, to the site of Bhadra the illusionist’s great courtyard.
སྒྱུ་མ་མཁན་བཟང་པོའི་འཁོར་གྱི་ཁྱམས་ག་ལ་བ་དེར་གཤེགས་ཏེ། གང་གིས་ན་སྒྱུ་མ་མཁན་བཟང་པོ་ཡང་དེ་བཞིན་གཤེགས་པ་ནི་བདག་གིས་སྤྲུལ་པའི་བཀོད་པ་ན་བཞུགས་སོ་སྙམ་དུ་ཤེས། རྒྱལ་པོ་ཆེན་པོ་བཞི་ཡང་དེ་བཞིན་གཤེགས་པ་ནི་བདག་ཅག་གིས་སྤྲུལ་པའི་བཀོད་པ་ན་བཞུགས་སོ་སྙམ་དུ་ཤེས། ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་ཡང་དེ་བཞིན་གཤེགས་པ་ནི་བདག་གིས་སྤྲུལ་པའི་བཀོད་པ་ན་བཞུགས་སོ་སྙམ་དུ་ཤེས་པར་འགྱུར་བ་དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པ་མངོན་པར་འདུ་མཛད་དོ། ། ||| He then manifested a magical display such that Bhadra the illusionist was convinced that “the Tathāgata is seated at the array I have conjured,” the Four Great Kings were convinced that “the Tathāgata is seated at the array we have conjured,” and Śakra, ruler of the gods, was convinced that “the Tathāgata is seated at the array I have conjured.”
རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་དེ་ན་གཞན་མུ་སྟེགས་ཅན་དང་། སྤྱོད་པ་བ་དང་། ཀུན་ཏུ་རྒྱུ་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་གང་དག་གིས་ཐོས་པ་དེ་དག་ནི་ངོ་མཚར་དུ་གྱུར་ནས་འཁོར་གྱི་ཁྱམས་དེར་དོང་སྟེ། ||| In the great city of Rājagṛha, word spread to others—non-Buddhists, carakas, parivrājakas, brahmins, and householders.
དེ་རིང་དགེ་སྦྱོང་གཽ་ཏམ་ལམ་ཐོ་འཚམ་པ་བལྟ་བར་བྱའོ་སྙམ་མོ། ། ||| Amazed, they rushed to the courtyard thinking, “Today the renunciant Gautama will be put to the test!”
རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་དེ་ན་དད་པའི་དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་གང་དག་འཁོད་པ་དེ་དག་ནི་འཁོར་གྱི་དཀྱིལ་འཁོར་དེར་དོང་ནས་དེ་རིང་དེ་བཞིན་གཤེགས་པ་ལ་བགམ་པ་ཡང་མཉན་པར་བྱ། ཆོ་འཕྲུལ་ཆེན་པོ་ཡང་བལྟ་བར་བྱའོ་སྙམ་མོ། ། ||| The faithful living in the great city of Rājagṛha—monks and nuns, laymen and laywomen—likewise rushed to the gathered assembly thinking, “Today we will listen to the Tathāgata’s words, and we will also see a great miraculous display.”
དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོས་ང་རྒྱལ་དང་། རྒྱགས་པ་དང་། ཁེངས་པ་ངེས་པར་བཅོམ་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་རྣམ་པར་ཐོ་བཙམ་པའི་བསམ་པ་ཆེན་པོས་དེ་བཞིན་གཤེགས་པ་འདིར་གཤེགས་སུ་གསོལ་བ་གང་ལགས་པའི་ནོངས་པ་འཆགས་སོ། ། ||| Then Bhadra the illusionist, truly overcoming his pride, haughtiness, and arrogance, bowed his head to the feet of the Blessed One and said, “Blessed One, I confess my wrongdoing—I invited the Tathāgata to come here with severely harmful intent.
བཅོམ་ལྡན་འདས་གཞན་ཡང་ཞལ་ཟས་སྤྲུལ་པ་དང་། རིམ་གྲོ་བགྱིད་པ་སྤྲུལ་པ་དང་། སེང་གེའི་ཁྲི་སྤྲུལ་པ་དང་། ||| But then, Blessed One, I thought that it would be wrong to deceive such an exalted being by conjuring fine dishes, servants, lion thrones, and this courtyard.
འཁོར་གྱི་ཁྱམས་སྤྲུལ་པ་དེ་ལ་བདག་འདི་སྙམ་དུ་སེམས་ཅན་མཆོག་དེ་ལྟ་བུ་དེ་ལ་བསླུས་པར་གྱུར་ན་མི་རུང་གིས་བྱ་བ་འདི་མ་མཆིས་པར་བགྱི་སྙམ་སྟེ་ཤིན་ཏུ་སྤངས་ཀྱང་མ་མཆིས་པར་མ་བཏུབ། ||| Realizing that this should not be done, I tried to dispel them but was unable to do so.
གསང་སྔགས་དང་རིག་སྔགས་ཀྱི་སྟོབས་བསྐྱེད་པ་ཐམས་ཅད་ཀྱིས་ཀྱང་མ་མཆིས་པར་བགྱི་རྔོ་མ་ཐོག་ནས་ཞལ་ཟས་དང་། རིམ་གྲོ་བགྱིད་པ་དང་། ||| Even by invoking the full force of all my secret mantras and vidyā mantras, I could not make them go away.
སེང་གེའི་ཁྲི་དང་། འཁོར་གྱི་ཁྱམས་ཀྱི་བཀོད་པ་ཡང་དེ་ཁོ་ན་བཞིན་དུ་གདའོ། ། ||| It was no use, and all these fine dishes, servants, lion thrones, and courtyard arrangements remained just as they were.”
དེ་སྐད་ཅེས་གསོལ་བ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །བཟང་པོ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་ཉེ་བར་སྤྱད་པ་དང་། ཡོངས་སུ་སྤྱད་པ་ཡང་འདི་ལྟ་སྟེ། ལས་ཀྱི་སྒྱུ་མས་སྤྲུལ་པ་ཡིན་ནོ། ། ||| The Blessed One then said to Bhadra the illusionist, “Bhadra, the amenities and enjoyments of all beings are also like this, illusory conjurations of karma.
བཟང་པོ་དགེ་སློང་གི་དགེ་འདུན་འདི་ཡང་འདི་ལྟ་སྟེ། ཆོས་ཀྱི་སྒྱུ་མས་སྤྲུལ་པ་ཡིན་ནོ། ། ||| Bhadra, this saṅgha of monks is also like this, an illusory conjuration of the Dharma.
བཟང་པོ་ང་ཡང་འདི་ལྟ་སྟེ། ཡེ་ཤེས་ཀྱི་སྒྱུ་མས་སྤྲུལ་པ་ཡིན་ནོ། ། ||| Bhadra, I, too, am also like this, an illusory conjuration of wisdom.
བཟང་པོ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཡང་འདི་ལྟ་སྟེ། སྣ་ཚོགས་མངོན་པར་འགྲུབ་པར་བྱེད་པའི་སྒྱུ་མས་སྤྲུལ་པ་ཡིན་ནོ། ། ||| Bhadra, this entire trichiliocosm is also like this, the illusory conjuration of various manifest formations.
བཟང་པོ་ཆོས་ཐམས་ཅད་ཀྱང་འདི་ལྟ་སྟེ། རྐྱེན་ཚོགས་པའི་སྒྱུ་མས་སྤྲུལ་པ་ཡིན་ནོ། ། ||| Indeed Bhadra, all phenomena are like this, the illusory conjurations of masses of conditions.
བཟང་པོ་འོན་ཀྱང་ད་དེའི་དུས་ལ་བབ་པར་ཤེས་ན་ཇི་ལྟར་སྤྲུལ་པའི་བཟའ་བ་དང་། བཅའ་བ་དང་། མྱང་བ་དང་། བལྡག་པ་དག་ཁྱོད་ཀྱིས་ཕུལ་ཅིག །དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོས་སྤྲུལ་པའི་རིམ་གྲོ་བ་དེ་དག་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དག་དང་། ||| “Nevertheless, Bhadra, when you know the time is right, you may offer these dishes and drinks, delectables and nectars, however they have been conjured.”
ལྷའི་དབང་པོ་བརྒྱ་བྱིན་འཁོར་དང་བཅས་པ་དང་ལྷན་ཅིག་སྤྲུལ་པའི་བཟའ་བ་དང་། བཅའ་བ་དང་། མྱང་བ་དང་། བལྡག་པ་དེས་བཅོམ་ལྡན་འདས་དང་། དགེ་སློང་གི་དགེ་འདུན་ཡང་དག་པར་ཚིམ་པར་བྱེད་དོ། ། ||| Then the servants conjured by Bhadra and the Four Great Kings and Śakra, ruler of the gods, along with his retinue, satisfied the Blessed One and the saṅgha of monks with the conjured dishes and drinks, delectables, and nectars.
དེ་ནས་དེའི་ཚེ་གནས་བརྟན་འོད་སྲུང་ཆེན་པོས་ཚིགས་སུ་བཅད་པ་འདི་སྨྲས་སོ། །སྦྱིན་པ་འདི་ནི་ཅི་འདྲ་དང་། །ལེན་པར་བྱེད་པ་ཅི་འདྲ་བ། །དེ་འདྲའི་ཆོས་ཉིད་ཐོབ་འགྱུར་བར། ། ||| Then the elder Mahākāśyapa spoke the following verse: “As is the gift, So is the recipient.
ཡོན་ནི་རྣམ་པར་སྦྱོང་གྱུར་ཅིག ། ||| Arriving at the true nature of both as just so, May the offering be perfectly purified.”
མཽད་གལ་གྱི་བུ་ཆེན་པོས་སྨྲས་པ། །གདན་ནི་ཇི་ལྟར་བཤམས་པ་དང་། །དེ་ལ་གང་དག་བཞུགས་པ་རྣམས། །མི་མཉམ་མ་མཆིས་མཚུངས་པ་སྟེ། ། ||| Mahāmaudgalyāyana said: “As for the seating arrangements And those who are seated, There is no distinction to be found; they are the same.
མཆོད་སྦྱིན་དགེ་བ་བླ་ན་མེད། ། ||| Thus the virtue of this offering is unsurpassed.”
ཤཱ་རིའི་བུས་སྨྲས་པ། རིམ་གྲོ་བྱེད་པའི་སེམས་གང་དང་། །ལེན་པར་བྱེད་པའི་སེམས་གང་དང་། ། ||| Śāriputra said: “As the mind of the one who serves, So is the mind of the one who receives.
སྦྱིན་པར་བྱེད་པ་ཇི་ལྟ་བར། །ཡོན་ནི་མྱུར་དུ་སྦྱོང་བར་ཤོག ། ||| With this way of giving, May the offering be swiftly purified!”
རབ་འབྱོར་གྱིས་སྨྲས་པ། གཏོང་མེད་སྦྱིན་པ་འདི་བཏང་བ། །ལེན་པ་མེད་པ་རྣམས་ཀྱིས་བླངས། ། ||| Subhūti said: “The gift was given without a giver And received without a receiver.
གང་དག་འདིར་ནི་གཤེགས་པ་རྣམས། །དེ་དག་ཡོན་སྦྱོང་བྱེད་པ་ཡིན། ། ||| Thus, whosoever has come here Purifies the offering.”
ཀུན་དགའ་བོས་སྨྲས་པ། འདི་ནི་ནམ་མཁའི་སྦྱིན་པ་སྟེ། །བསམ་གྱིས་མི་ཁྱབ་རྣམས་ཀྱིས་སྤྱད། ། ||| Ānanda said: “These gifts, as endless as the sky, Are enjoyed by inconceivably numerous beings.
གང་དག་སེམས་ལུས་གྲོལ་བ་དེ། །འཇིག་རྟེན་དག་ན་ཡོན་སྦྱོང་མཆོག ། ||| But it is their liberation of mind and body That is the greatest pure offering in all the worlds.”
བྱང་ཆུབ་སེམས་དཔའ་འོད་ཏོག་གིས་སྨྲས་པ། ཇི་ལྟ་བུར་ན་སྒྱུ་མའི་མཁན། །བཟང་པོས་བཀོད་པ་སྤྲུལ་བྱས་པ། །དངོས་ཀུན་དེ་དང་འདྲ་བ་སྟེ། །བྱིས་པས་དེ་ནི་མི་རྟོགས་སོ། ། ||| The bodhisattva Pinnacle of Light said: “Like the array conjured up By Bhadra the illusionist, So are all material things, But the foolish do not realize this.”
བྱང་ཆུབ་སེམས་དཔའ་འོད་བཀོད་པས་སྨྲས་པ། ཇི་ལྟར་གདན་དང་ལྗོན་ཤིང་དག །དུ་མ་མངོན་པར་སྤྲུལ་བྱས་པ། །ཡིད་ཀྱི་སྒྱུ་མ་ལྟ་བུར་སྟོང་། ། ||| The bodhisattva Prabhāvyūha said: “Like these seats and trees, So are all manifold phenomena conjured, Like mind’s illusion—empty.
འདི་ལ་ཁྱད་པར་འགའ་ཡང་མེད། ། ||| There is not the slightest difference.”
བྱང་ཆུབ་སེམས་དཔའ་སེང་གེས་སྨྲས་པ། སེང་གེའི་སྒྲ་ནི་མ་ཐོས་ན། །ཝ་ནི་ནགས་ཚལ་ནང་ན་སྒྲོགས། ། ||| The bodhisattva Siṃha said: “So long as the lion’s roar is not heard, The jackals howl in the forest.
དེ་ཡིས་སེང་གེའི་སྒྲ་ཐོས་ནས། །ཕྱོགས་བཅུ་དག་ཏུ་འབྲོས་པར་འགྱུར། ། ||| But hearing the lion’s roar, They flee in the ten directions.
དེ་བཞིན་སྒྱུ་མཁན་བཟང་པོ་ཡང་། །དེ་བཞིན་གཤེགས་པ་མ་མཐོང་ན། །མུ་སྟེགས་ནང་དུ་རྒྱལ་བ་བས། །བདག་ཉིད་མཆོག་ཅེས་སྒྲོགས་པར་བྱེད། ། ||| “Similarly, so long as Bhadra the illusionist Did not see the Tathāgata, He proclaimed among the non-Buddhists, ‘I am superior to the Victorious One!’
བཟང་པོ་དེ་བཞིན་གཤེགས་པ་ཡི། །སྒྱུ་མས་སྒྱུ་མར་རྟོགས་བྱེད་པ། ། ||| “Bhadra, the Tathāgata’s illusion Shows what illusion really is.
ཚད་མར་གྱུར་པ་གསུངས་ནས་ནི། །དེ་ལ་བདུད་ཀྱི་གཏིང་མི་དཔོགས། ||| Should this illusion be taught to its full extent, Even Māra could not fathom its depths.”
བྱང་ཆུབ་སེམས་དཔའ་སེང་གེའི་བློ་གྲོས་ཀྱིས་སྨྲས་པ། ཞལ་ཟས་འདི་ནི་སྤྲུལ་པ་སྟེ། །བསྙེན་བཀུར་བྱེད་པའང་སྤྲུལ་པ་ཡིན། །སྤྱོད་པར་བྱེད་པའང་སྤྲུལ་པ་སྟེ། ། ||| The bodhisattva Siṃhamati said: “These fine dishes are conjurations, As are these attendants offering service; Even the ones enjoying it are conjurations.
སྦྱིན་པ་དགེ་བ་བླ་ན་མེད། ། ||| Thus the virtue of this gift is unsurpassed.”
བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པས་སྨྲས་པ། མེ་ནི་མར་དང་ཏིལ་མར་གྱིས། །ཕྱི་ཕྱིར་ཞིང་ནི་རབ་ཏུ་མཆེད། ། ||| The bodhisattva Maitreya said: “A flame fed with ghee and sesame oil Flares and swells ever more fiercely.
དེ་བཞིན་བཟང་པོའི་སྒྱུ་མ་ཡིས། །སངས་རྒྱས་སྒྱུ་མ་ངེས་པར་བསྟན། ། ||| Just so, by means of Bhadra’s power of illusion, The Buddha’s power of illusion is definitively taught.”
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་སྨྲས་པ། །ཇི་ལྟར་འདི་ནི་སྔོན་གནས་པ། །ཐམས་ཅད་བྱེད་པ་མེད་པ་ལྟར། །དེ་བཞིན་ཆོས་རྣམས་ཐམས་ཅད་ནི། །སྔོན་གྱི་མཐའ་ནས་རྟག་ཏུ་མཉམ། ། ||| Mañjuśrīkumārabhūta said: “Just as what was here before, Like what he created, does not exist, All phenomena, from the very beginning, Have always been the same.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྒྱུ་མ་མཁན་བཟང་པོ་ཤིན་ཏུ་གདུལ་བའི་དབང་དུ་མཛད་ནས་ཁྱིམ་བདག་ཅིག་སྤྲུལ་ཏེ། འཁོར་གྱི་ཁྱམས་དེའི་ནང་དུ་ཞུགས་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཟང་པོ་ཅི་བྱེད་སྨྲས་པ། ||| Then the Blessed One, using his powers to thoroughly tame Bhadra the illusionist, conjured a householder, who came into the courtyard and asked Bhadra the illusionist, “Bhadra, what are you doing?”
དགེ་སྦྱོང་གཽ་ཏ་མ་འདི་གདུགས་ཚོད་གསོལ་བར་བྱེད་དོ། ། ||| “I am offering the midday meal to the renunciant Gautama,” Bhadra replied.
དེས་སྨྲས་པ། ||| “Forget it, Bhadra!
བཟང་པོ་ཐོང་དེ་སྐད་མ་ཟེར། ||| Do not say that!
དེ་བཞིན་གཤེགས་པ་དེ་ནི་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་རྒྱལ་པོ་མ་སྐྱེས་དགྲའི་ཁབ་ན་གདུགས་ཚོད་གསོལ་ཞིང་བཞུགས་སོ། ། ||| The Tathāgata, with his saṅgha of monks, is receiving the midday meal at King Ajātaśatru’s court.”
སྒྱུ་མ་མཁན་བཟང་པོས་ཀྱང་སངས་རྒྱས་ཀྱི་མཐུས་དེ་བཞིན་གཤེགས་པ་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་རྒྱལ་པོ་མ་སྐྱེས་དགྲའི་ཁབ་ན་གདུགས་ཚོད་གསོལ་བར་མཐོང་ངོ་། ། ||| Then, through the power of the Buddha, Bhadra the illusionist saw the Tathāgata, with the saṅgha of monks, receiving the midday meal at King Ajātaśatru’s court.
དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱིམ་བདག་གཉིས་པ་ཞིག་མངོན་པར་སྤྲུལ་ནས་དེ་ནང་དུ་ཞུགས་ཏེ། སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཟང་པོ་ཅི་བྱེད་སྨྲས་པ། ||| The Blessed One then conjured a second householder, who came into the courtyard and asked Bhadra the illusionist, “Bhadra, what are you doing?”
དགེ་སྦྱོང་གཽ་ཏ་མ་འདི་གདུགས་ཚོད་གསོལ་བར་བྱེད་དོ། ། ||| “I am offering the midday meal to the renunciant Gautama,” Bhadra replied.
དེས་སྨྲས་པ། ||| “Forget it!
ཐོང་དེ་སྐད་མ་ཟེར། ||| Do not say that!
དེ་བཞིན་གཤེགས་པ་དེ་ནི་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་ཀུན་ཏུ་རྒྱུའི་སྲང་ན་བསོད་སྙོམས་ཀྱི་ཕྱིར་རྒྱུ་ཞིང་བཞུགས་སོ། ། ||| The Tathāgata, with his saṅgha of monks, is on the parivrājaka street collecting alms.”
སྒྱུ་མ་མཁན་བཟང་པོས་ཀྱང་། སངས་རྒྱས་ཀྱི་མཐུས་དེ་བཞིན་གཤེགས་པ་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་ཀུན་ཏུ་རྒྱུའི་སྲང་ན་བསོད་སྙོམས་ཀྱི་ཕྱིར་རྒྱུ་བར་མཐོང་ངོ་། ། ||| Then, through the power of the Buddha, Bhadra the illusionist saw the Tathāgata, with the saṅgha of monks, collecting alms on the parivrājaka street.
དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱིམ་བདག་གཞན་ཞིག་སྤྲུལ་ཏེ། དེ་ནང་དུ་ཞུགས་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཟང་པོ་ཅི་བྱེད། སྨྲས་པ། ||| The Blessed One then conjured another householder, who came into the courtyard and asked Bhadra the illusionist, “Bhadra, what are you doing?”
དེ་བཞིན་གཤེགས་པ་ནི་གདུགས་ཚོད་གསོལ་བར་བྱེད་དོ། ། ||| “I am offering the midday meal to the renunciant Gautama,” Bhadra replied.
དེས་སྨྲས་པ། ||| “Bhadra, forget it!
བཟང་པོ་ཐོང་དེ་སྐད་མ་ཟེར། ||| Do not say that!
དེ་བཞིན་གཤེགས་པ་དེ་ནི་འཚོ་བྱེད་ཀྱི་སྐྱེད་མོས་ཚལ་ན་འཁོར་བཞི་ལ་ཆོས་སྟོན་ཅིང་བཞུགས་སོ། ། ||| The Tathāgata is in the physician’s grove teaching the Dharma to the fourfold retinue.”
སྒྱུ་མ་མཁན་བཟང་པོས་ཀྱང་སངས་རྒྱས་ཀྱི་མཐུས་དེ་བཞིན་གཤེགས་པ་འཚོ་བྱེད་ཀྱི་སྐྱེད་མོས་ཚལ་ན་འཁོར་བཞི་ལ་ཆོས་སྟོན་པར་མཐོང་ངོ་། ། ||| Then, through the power of the Buddha, Bhadra the illusionist saw the Tathāgata in the physician’s grove teaching the Dharma to the fourfold retinue.
དེ་ནས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་སྒྱུ་མ་མཁན་བཟང་པོ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཟང་པོ་ཅི་བྱེད། སྨྲས་པ། ||| Śakra, ruler of the gods, then approached Bhadra the illusionist and asked, “Bhadra, what are you doing?”
དགེ་སྦྱོང་གཽ་ཏ་མ་འདི་གདུགས་ཚོད་གསོལ་བར་བྱེད་དོ། ། ||| “I am offering the midday meal to the renunciant Gautama,” Bhadra replied.
དེས་སྨྲས་པ། ||| “Bhadra, forget it!
བཟང་པོ་ཐོང་དེ་སྐད་མ་ཟེར། ||| Do not say that!
དེ་བཞིན་གཤེགས་པ་དེ་ནི་སུམ་ཅུ་རྩ་གསུམ་པའི་གནས་ན་ཤིང་ཡོངས་འདུའི་དྲུང་ན་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་ལ་ཆོས་སྟོན་ཅིང་བཞུགས་སོ། ། ||| The Tathāgata is in the Heaven of the Thirty-Three, in front of the Pārijāta tree, teaching the Dharma to the gods of the Thirty-Three.”
བཟང་པོས་ཀྱང་དེ་བཞིན་གཤེགས་པ་སུམ་ཅུ་རྩ་གསུམ་པའི་གནས་ན་ཤིང་ཡོངས་འདུའི་དྲུང་ན་ཆོས་སྟོན་པར་མཐོང་ངོ་། ། ||| Then Bhadra also saw the Tathāgata in the Heaven of the Thirty-Three, teaching the Dharma in front of the Pārijāta tree.
དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོས་ཤིང་ལྗོན་པ་སྤྲུལ་པ་ཇི་སྙེད་པ་དེ་ཐམས་ཅད་ཀྱི་ལོ་མ་ཐམས་ཅད་དང་། མེ་ཏོག་ཐམས་ཅད་ལ་དེ་བཞིན་གཤེགས་པའི་སྐུ་མཚན་གྱིས་བརྒྱན་པ། དགེ་སློང་གི་དགེ་འདུན་གྱིས་ཡོངས་སུ་བསྐོར་བ་མཐོང་ངོ་། ། ||| Then on all the leaves and all the flowers on every tree that Bhadra the illusionist had conjured, Bhadra the illusionist saw the Tathāgata, adorned with the marks of a great being and encircled by the saṅgha of monks.
སྒྱུ་མ་མཁན་བཟང་པོས་སེང་གེའི་ཁྲི་སྤྲུལ་པ་གང་དག་ཡིན་པ་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞིས་སེང་གེའི་ཁྲི་སྤྲུལ་པ་གང་དག་ཡིན་པ་དེ་དག་ཐམས་ཅད་ལ་ཡང་དེ་བཞིན་གཤེགས་པའི་སྐུ་མཚན་གྱིས་བརྒྱན་པ། དགེ་སློང་གི་དགེ་འདུན་གྱིས་ཡོངས་སུ་བསྐོར་བ་མཐོང་ངོ་། ། ||| On each of the lion thrones that he had conjured and on the lion thrones that the Four Great Kings had conjured, he saw the Tathāgata, adorned with the marks of a great being and encircled by the saṅgha of monks.
