འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
བྱམས་པ་ཟང་ཟིང་མེད་པའི་སེམས་དང་ལྡན་པའི་ཆོས་ཀྱི་སྦྱིན་པ་ལ་གཞན་ཡང་ཕན་ཡོན་ཉི་ཤུ་ཡོད་དེ། ||| “Maitreya, offering the Dharma with an attitude that is free of materialistic interest has another twenty benefits.
ཉི་ཤུ་གང་ཞེ་ན། ||| What are these twenty?
དེའི་སྤོབས་པ་མ་སྐྱེས་པ་སྐྱེ་བར་འགྱུར་བ་དང་། ||| “(1) Intellectual prowess will be born in one formerly without it;
དེའི་སྤོབས་པ་སྐྱེས་པ་ཆུད་མི་ཟ་བར་འགྱུར་བ་དང་། ||| (2) that prowess, once born, will not be lost;
གཟུངས་ཐོབ་པར་བྱ་བའི་ཕྱིར་དེའི་སེམས་དྲང་པོར་འགྱུར་བ་དང་། ||| (3) one will possess the integrity necessary to gain the power of retention;
ཚེགས་ཆུང་ངུས་སེམས་ཅན་མང་པོ་དག་གི་དོན་བྱེད་པར་འགྱུར་བ་དང་། ||| (4) one will accomplish the aims of many beings with little difficulty;
ཚེགས་ཆུང་ངུས་སེམས་ཅན་རྣམས་དེ་ལ་གུས་པར་རིམ་གྲོ་བྱེད་པར་འགྱུར་བ་དང་། ||| (5) one will become respectfully venerated by beings with little difficulty;
ལུས་ཀྱི་སྡོམ་པ་ཐོབ་པར་འགྱུར་བ་དང་། ||| (6) one will achieve physical restraint;
ངག་གི་སྡོམ་པ་ཐོབ་པར་འགྱུར་བ་དང་། ||| (7) one will achieve verbal restraint;
ཡིད་ཀྱི་སྡོམ་པ་ཐོབ་པར་འགྱུར་བ་དང་། ||| (8) one will achieve mental restraint;
ངན་འགྲོའི་འཇིགས་པ་ལས་འདའ་བར་འགྱུར་བ་དང་། ||| (9) one will pass beyond the fear of inferior rebirth;
རབ་ཏུ་དགའ་བཞིན་དུ་འཆི་བའི་དུས་བྱེད་པར་འགྱུར་བ་དང་། ||| (10) one will make death an occasion for great joy;
ཕས་ཀྱི་རྒོལ་བ་ཐམས་ཅད་ཆོས་དང་འཐུན་པས་ཚར་གཅོད་པར་འགྱུར་བ་དང་། ||| (11) one will defeat all challengers in a manner consistent with the Dharma;
དེའི་གཟི་བརྗིད་སེམས་ཅན་རིགས་མཐོན་པོ་དག་གིས་ཀྱང་མི་བཟོད་ན་ཕལ་དག་གིས་ལྟ་ཅི་སྨོས་པ་དང་། ||| (12) even beings of high status will be overwhelmed by one’s majesty, let alone common folk;
དབང་པོ་ཟིལ་གྱིས་མི་ནོན་པར་འགྱུར་བ་དང་། ||| (13) one’s faculties will become unassailable;
ལྷག་པའི་བསམ་པ་ཕུན་སུམ་ཚོགས་པ་འཛིན་པར་འགྱུར་བ་དང་། ||| (14) one will adhere to the highest and finest intentions;
ཞི་གནས་དང་ལྷག་མཐོང་ཐོབ་པར་འགྱུར་བ་དང་། ||| (15) one will gain tranquility and special insight;
དཀའ་བ་སྤྱད་པ་དག་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བ་དང་། ||| (16) one will bring rigorous training to perfection;
བརྩོན་འགྲུས་བརྩམས་པ་ལས་ཡོངས་སུ་ཉམས་པར་མི་འགྱུར་བ་དང་། ||| (17) one’s diligence will become unrelenting;
དམ་པའི་ཆོས་ཀུན་དུ་སྲུང་བར་འགྱུར་བ་དང་། ||| (18) one will protect the sacred Dharma at all times;
ཕྱིར་མི་ལྡོག་པའི་ས་མྱུར་དུ་ནོན་པར་འགྱུར་བ་དང་། ||| (19) one will quickly arrive at the level of a non-returner; and
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ཐམས་ཅད་ལ་འཐུན་པར་གནས་པར་འགྱུར་བ་སྟེ། ||| (20) one will be in harmony with all the conduct of bodhisattvas.
བྱམས་པ་ཉི་ཤུ་པོ་དེ་དག་ནི་ཟང་ཟིང་མེད་པའི་སེམས་དང་ལྡན་པའི་ཆོས་ཀྱི་སྦྱིན་པའི་ཕན་ཡོན་ཡིན་ནོ། ། ||| “Maitreya, these twenty are additional benefits that derive from offering the Dharma with an attitude free of materialistic interest.
བྱམས་པ་ཕྱི་མའི་དུས་ན་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་ཟང་ཟིང་དང་བཅས་པའི་ཆོས་ཀྱི་སྦྱིན་པ་ལ་ཆེས་ཡི་རངས་པར་འགྱུར་ལ། ཟང་ཟིང་མེད་པ་ལ་ནི་མ་ཡིན་ཏེ ||| “Maitreya, in the future, Dharma offered with materialistic interest by those who belong to the Bodhisattva Vehicle will be highly appreciated, whereas Dharma offered without materialistic interest will not.
ཤེས་རབ་འཆལ་བར་འགྱུར་བ་དེ་དག་ལ་ལྟོས། ||| Those with faulty discernment will rely on such teachers!
དེ་དག་འདི་ལྟར་མཛའ་བཤེས་ཀྱི་ཁྱིམ་དང་། སློངས་མོ་སྟེར་བའི་ཁྱིམ་ལ་རྟེན་ཅིང་ཇི་ལྟར་བདག་ལ་དད་ཅིང་བཀུར་སྟི་བྱེད་པར་འགྱུར་སྙམ་པའི་སེམས་དེ་ལྟ་བུས་ཆོས་ཀྱི་སྦྱིན་པ་སྦྱིན་པར་བྱེད་དེ ||| “For their part, those teachers will depend upon the households of friends and relatives and the households of patrons and will offer them the gift of Dharma in a manner that is calculated to elicit their trust and respect.
དེ་དག་གིས་ཟང་ཟིང་མེད་པའི་ཆོས་ཀྱི་སྦྱིན་པ་བོར་ནས་ ||| Dispensing with offering the Dharma while free of materialistic interest,
གོས་དང་། ཟས་དང་། མལ་ཆ་དང་། སྟན་དང་། ནད་ཀྱི་གསོས་སྨན་དང་། ཡོ་བྱད་ཀྱི་ཕྱིར་གཞན་དག་ལ་ཆོས་སྟོན་པར་འགྱུར་རོ་ ||| they will teach the Dharma to others for the sake of clothing, food, bedding, cushions, curative medicines, and other useful items.
བྱམས་པ་འདི་ལྟ་སྟེ། ||| “Maitreya, it is like this.
དཔེར་ན་མི་ལ་ལ་ཞིག་ལ་ཁྱི་རོ་འམ། མི་རོ་འམ། སྤྲེའུ་འི་རོ་ཡང་རུང་སྟེ། ཤི་བ་རུལ་བ་མནམ་པོ་ཞིག་མགུལ་པར་བཏགས་ན་གཙང་སྦྲ་འདོད་པའི་ཕྱིར་ ||| If, for instance, some person had hunks of putrid, rotting flesh hung around his neck, whether from the corpse of a dog, a human, or a monkey, he would wish to clean himself.
ངོ་ཚ་ཞིང་མི་དགའ་ལ་ཡོངས་སུ་སྤོང་བར་བྱེད་དོ། ། ||| And so, with embarrassment and revulsion, he would seek to rid himself of them.
དེ་བཞིན་དུ་དེ་དག་ཟང་ཟིང་མེད་པའི་ཆོས་ཀྱི་སྦྱིན་པས་ངོ་ཚ་ཞིང་མི་དགའ་བར་བྱེད་དེ། ||| In the same way, those future teachers will be embarrassed and appalled by the prospect of offering the Dharma without obtaining material benefit.
མནོག་མེད་པར་ཤེས་ནས་སྐྱོ་སྟེ་འདོར་ཞིང་འགྲོ་བར་འགྱུར་རོ། ། ||| Once they realize there is nothing to be gained, they will be disappointed, refuse to teach, and leave.
གང་གི་ཕྱིར་བདག་ཅག་ལ་གོས་དང་ཟས་མི་སྦྱིན་པར་སེམས་པས་ན་ ||| “Wondering, ‘Why are they not giving us any food or clothing?’ and
བདག་ཅག་གི་ཆོས་ཀྱི་སྦྱིན་པ་ནི་དོན་མེད་པ་ཡིན་ཏེ། བདག་ཅག་ནི་འདི་ན་དོན་མེད་པར་མི་དགའ་ཞིང་འདུག་གོ་ཞེས་ཟེར་ནས་ ||| saying, ‘There is no reason for us to offer the Dharma; we really would rather not be stuck here for no reason,’
དེ་དག་ལུས་བརྒྱན་པ་ཆེད་ཆེར་བྱ་བའི་ཕྱིར་སློབ་མ་སྡུད་པར་བྱེད་ཀྱི། སེམས་ཅན་བསྡུ་བ་ཆེད་ཆེར་བྱ་བའི་ཕྱིར་ནི་མ་ཡིན་ནོ། ། ||| they will proceed to gather students for the sake of further adorning themselves, and not for the sake of attracting more and more beings to the Dharma.
དེ་དག་འདི་སྐད་དུ་བདག་ཅག་ནི་སྙིང་བརྩེ་བས་འཁོར་སྡུད་པར་བྱེད་ཀྱི་བདག་ཅག་ལ་ནི་བསྙེན་བཀུར་བྱེད་པ་ཅི་ཡང་དགོས་པ་མེད་དོ། ། ||| They will claim, ‘We gather followers only out of love, and so we have no need at all for them to serve and respect us.
བདག་ཅག་ནི་ཕན་པའི་དངོས་པོས་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་བའི་ཕྱིར་གྲོང་དང་། གྲོང་ཁྱེར་དང་། གྲོང་རྡལ་དང་། ཡུལ་འཁོར་དང་། རྒྱལ་པོའི་ཕོ་བྲང་དག་ཏུ་འགྲོ་བར་ཟད་དོ་ཞེས་ ||| Because of our altruistic principles, in order to bring beings to maturity, we spend all our time visiting villages, towns, cities, states, and royal palaces’;
སྐྱེ་བོ་མང་པོ་དག་ཤེས་པར་བྱེད་དེ ||| and so they will promote themselves to many people.
དེ་དག་གི་སེམས་ནི་གོས་དང་ཟས་ལ་སོང་བར་འགྱུར་རོ། ། ||| What they have in mind, however, is to go searching for food and clothing.
བྱམས་པ་ད་ནི་སེམས་ཟང་ཟིང་དང་བཅས་པ་ལ་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱེད་པ་ཞེས་མི་སྨྲའོ། ། ||| “Maitreya, now, I would not speak of a desirous mind bringing beings to maturity.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
དེ་ནི་བདག་ཉིད་ཀྱང་ཡོངས་སུ་མ་སྨིན་ན་སེམས་ཅན་རྣམས་ཡོངས་སུ་སྨིན་པར་བྱེད་པ་ལྟ་ཅི་སྨོས་ཏེ། གནས་འདི་ནི་ཐོབ་པར་སླ་བའི་ངོ་བོ་མ་ཡིན་པའི་ཕྱིར་རོ། ། ||| Because, if one has not even matured oneself—a state that is not so easy to attain—then bringing other beings to maturity is out of the question.
བྱམས་པ་ང་ནི་བསྙེན་བཀུར་ལྷུར་ལེན་ཅིང་ལུས་ཀྱི་བསྙེན་བཀུར་གྱི་བདེ་བའི་སྦག་པས་སྦགས་པར་གྱུར་པ་ལ་ཕན་པའི་དངོས་པོ་ཉིད་དུ་མི་སྨྲའོ། ། ||| “Maitreya, I would not call preoccupation with being served, and contamination from the pleasures of being physically served, helpfulness.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
དེ་ནི་ལུས་ལ་བདེ་བར་བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་འཁོར་སྡུད་པར་ཟད་ཀྱི། ནན་ཏན་དུ་སྒྲུབ་པ་ལ་གནས་པའི་ཕྱིར་ནི་མ་ཡིན་པའི་ཕྱིར་རོ། ། ||| Because, if one gathers followers in order to be made physically comfortable by their service, one is not concerned with whether they are practicing earnestly.
བྱམས་པ་ང་ནི་ཚུལ་འཆོས་པ་ལ་དགོན་པ་ན་གནས་པ་ཞེས་མི་སྨྲའོ། ། ||| “Maitreya, I would not call such a hypocrite someone dwelling in isolation.
ང་ནི་བསོད་ནམས་ཆུང་ངུ་ལ་འདོད་པ་ཆུང་བ་ཞེས་མི་སྨྲའོ། ། ||| I would not call having little merit having few needs.
ང་ནི་ཁ་ཟས་བཟང་པོ་འདོད་པ་ལ་བསོད་སྙོམས་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call longing for fine food collecting alms.
ང་ནི་གོས་སྡུག་གུ་འདོད་པ་ལ་ཕྱག་དར་ཁྲོད་པ་ཞེས་མི་སྨྲའོ། ། ||| “I would not call longing for beautiful clothes wearing robes made of discarded rags.
ང་ནི་ཁྱིམ་པ་དང་རབ་ཏུ་བྱུང་བ་དང་འདྲེས་པ་ལ་མ་འཛིངས་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not say that one who mixes lay with monastic life lacks entanglement.
ང་ནི་གཡོ་སྒྱུ་ཅན་ལ་སངས་རྒྱས་བྱུང་བ་དང་ཕྲད་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call a charlatan the manifestation of a buddha.
ང་ནི་གཞན་གྱི་འཁྲུལ་པ་ཆོལ་བ་ལ་རྣལ་འབྱོར་ལ་བརྩོན་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not say that looking for faults in others is being diligent in one’s practice.
ང་ནི་ཁོང་ཁྲོ་བ་མང་བ་ལ་ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ་ཡོངས་སུ་དག་པ་ཞེས་མི་སྨྲའོ། ། ||| “I would not say that continually losing your temper is compiling pure discipline.
ང་ནི་ང་རྒྱལ་ཅན་ལ་མང་དུ་ཐོས་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call a prideful person learned.
ང་ནི་ཕྱོགས་འཛིན་པ་ལ་འདུལ་བ་འཛིན་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call someone who holds a bias an upholder of the Vinaya.
ང་ནི་རྒོད་པ་ལ་ཆོས་སྨྲ་བ་ཞེས་མི་སྨྲའོ། ། ||| I would not call an intemperate person a Dharma teacher.
ང་ནི་ཁྱིམ་པ་དང་འདྲིས་པ་ལ་ཞལ་ཏ་བྱེད་པ་ཡོངས་སུ་དག་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call socializing with laypeople discharging one’s administrative duties purely.
ང་ནི་ཡོན་གནས་འདམ་པ་ལ་ཟང་ཟིང་མེད་པར་ཡོངས་སུ་གཏོང་བ་ཞེས་མི་སྨྲའོ། ། ||| “I would not call selecting patrons being free from material needs.
ང་ནི་ལན་དུ་ཕན་འདོགས་སུ་རེ་བ་ལ་བསྡུ་བའི་དངོས་པོ་ཞེས་མི་སྨྲའོ། ། ||| I would not call hoping for reciprocal benefit a method of attraction.
ང་ནི་རྙེད་པ་དང་བཀུར་སྟི་ལ་ཆགས་པ་ལ་ལྷག་པའི་བསམ་པ་ཡོངས་སུ་དག་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call desire for reward and respect pure motivation.
ང་ནི་མ་དད་པ་མད་པ་ལ་རབ་ཏུ་བྱུང་བ་ཞེས་མི་སྨྲའོ། ། ||| “I would not call having more and more doubt taking ordination.
ང་ནི་ཕ་རོལ་ལ་ཤེས་པར་བྱེད་པ་ལ་བསླབ་པ་འདོད་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not say that being a contrarian is pursuing one’s training.
ང་ནི་མ་གུས་པ་ལ་ཆོས་སྦྱིན་པ་ཞེས་མི་སྨྲའོ། ། ||| “I would not call showing disrespect offering the Dharma.
ང་ནི་འཇིག་རྟེན་པའི་གསང་སྔགས་ལ་བརྩོན་པ་ལ་ཆོས་ལ་དགའ་བ་ཞེས་མི་སྨྲའོ། ། ||| I would not call being obsessed with worldly spells delighting in the Dharma.
ང་ནི་སྟོང་པ་ཉིད་ལ་མི་བརྩོན་པ་ལ་ངེས་པར་འབྱུང་བ་ཞེས་མི་སྨྲའོ། ། ||| I would not call applying no effort toward realizing emptiness, emancipation.
ང་ནི་མངོན་པར་མི་སྒྲུབ་པ་ལ་ལས་མངོན་པར་འདུ་བྱེད་པ་ཞེས་མི་སྨྲའོ། ། ||| “I would not say that failing to practice is performing one’s duties.
ང་ནི་དེ་མི་སྒྲུབ་པ་ལ་བྱང་ཆུབ་ཀྱི་ཡན་ལག་ཡོངས་སུ་རྫོགས་པར་བྱེད་པ་ཞེས་མི་སྨྲའོ། ། ||| Nor would I say that one who does not practice is perfecting the branches of awakening.
ང་ནི་དམིགས་པ་ཅན་ལ་མངོན་པར་རྟོགས་པ་ཞེས་མི་སྨྲའོ། ། ||| “I would not call a conceptual point of reference true realization.
ང་ནི་མཐུ་མེད་པ་ལ་བཟོད་པ་ཡོངས་སུ་རྫོགས་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call powerlessness the perfection of patience.
ང་ནི་མ་གཙེས་པ་ལ་བཟོད་པའི་སྟོབས་ཀྱི་གོ་ཆ་ཅན་ཞེས་མི་སྨྲའོ། ། ||| I would not say that those who never have been tested wear the armor of the power of patience.
ང་ནི་རང་བཞིན་གྱིས་འདོད་ཆགས་ཆུང་བ་ལ་ཚངས་པར་སྤྱོད་པ་ལ་གནས་པ་དཀའ་བ་བྱེད་པ་ཞེས་མི་སྨྲའོ། ། ||| “I would not call having a naturally low libido the asceticism of maintaining pure conduct.
ང་ནི་སྦྱོར་བ་ལ་མི་གནས་པ་ལ་ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་བྱེད་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call failing to get anything done doing what one has committed to do.
ང་ནི་ལྷག་པའི་བསམ་པ་ཡོངས་སུ་དག་པ་ལ་ལོག་པར་ལྟུང་བར་འགྲོ་བ་ཞེས་མི་སྨྲའོ། ། ||| “Conversely, I would not say that one with pure motivation is falling into the lower realms.
ང་ནི་ཤེས་རབ་སྤྱོད་པ་ལ་འཛིངས་པར་སྤྱོད་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call acting with insight reckless conduct.
ང་ནི་ཐབས་དང་ལྡན་པར་གྱུར་པ་ལ་གཡོ་སྒྱུ་ཅན་ཞེས་མི་སྨྲའོ། ། ||| I would not call someone who possesses skill a fraud.
ང་ནི་རྙེད་པ་དང་བཀུར་སྟི་མི་འདོད་པ་ལ་བརྫུན་དུ་སྨྲ་བ་ཞེས་མི་སྨྲའོ། ། ||| “I would not call someone who lacks desire for gain or respect an inveterate liar.
ང་ནི་བར་མ་དོར་གནས་པ་ལ་ཆོས་སྤོང་བ་ཞེས་མི་སྨྲའོ། ། ||| I would not call maintaining neutrality rejecting the Dharma.
ང་ནི་དམ་པའི་ཆོས་ཀུན་ཏུ་སྲུང་བར་འདོད་པ་ལ་ལུས་དང་སྲོག་ལ་ཆགས་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call wanting to protect the sacred Dharma at all costs attachment to life and limb.
ང་ནི་སེམས་ཞུམ་པ་ལ་ང་རྒྱལ་མེད་པ་ཞེས་མི་སྨྲའོ། ། ||| I would not call being timid having no pride.
བྱམས་པ་གཡོ་སྒྱུའི་ཚིག་གང་དག་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དམུ་རྒོད་དུ་འགྱུར་བ་དང་། ||| “Maitreya, such deceitful expressions, in the final half-millennium, will turn bodhisattvas barbarous;
གང་དག་བྱང་ཆུབ་སེམས་དཔས་ཁོང་དུ་ཆུད་པར་བྱ་ཞིང་ཁོང་དུ་ཆུད་ནས་ཀྱང་ཡོངས་སུ་སྤང་བར་བྱ་བ་ནི་དེ་དག་ཡིན་ནོ། ། ||| therefore, they must properly comprehend them and, having comprehended, must reject them.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then the bodhisattva great being Maitreya asked the Blessed One,
བཅོམ་ལྡན་འདས་ཀྱི་བྱང་ཆུབ་སེམས་དཔའ་དྲུག་ཅུ་པོ་འདི་དག་ཉི་ཚེ་ལས་ཀྱི་སྒྲིབ་པས་བསྒྲིབས་པར་འགྱུར་རམ། འོན་ཏེ་གཞན་དག་ཀྱང་བསྒྲིབས་པར་འགྱུར་ལགས། ||| “Blessed One, will these sixty bodhisattvas be obscured by short-lived obscurations of karma, or will they be obscured in some other fashion?”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་བྱམས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One responded to the bodhisattva Maitreya,
བྱམས་པ་ལྔ་བརྒྱ་པ་ཐ་མ་ལ། བྱང་ཆུབ་སེམས་དཔའ་ཕལ་ཆེར་ལས་ཀྱི་སྒྲིབ་པས་བསྒྲིབས་པར་འགྱུར་ཏེ། ། ||| “Maitreya, in the final half-millennium, most bodhisattvas will be obscured by obscurations of karma.
དེ་དག་ལས་བྱང་ཆུབ་སེམས་དཔའ་ཁ་ཅིག་ནི་ལས་ཀྱི་སྒྲིབ་པ་ཟད་པར་བྱེད་དོ། ། ||| Some of those bodhisattvas will exhaust their obscurations of karma.
ཁ་ཅིག་ནི་འཕེལ་བར་བྱེད་དོ། ། ||| Some will increase them.
བྱམས་པ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་དྲུག་ཅུ་པོ་འདི་དག་ལས་བྱང་ཆུབ་སེམས་དཔའ་ཉི་ཤུ་ལས་ཀྱི་སྒྲིབ་པ་ཆུང་ཞིང་ལས་ཀྱི་སྒྲིབ་པ་ཕྲ་བ་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་སྐྱེ་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་དག་ནི་གྲོང་ཁྱེར་དང་། གྲོང་རྡལ་དང་། རིགས་ཆེན་པོ་སྣ་ཚོགས་དག་ཏུ་མཁས་པ། ཁོང་བཟོ་བ། ཡིད་གཞུངས་པ། ཤེས་རབ་དང་ཐབས་ལ་མཁས་པ། སེམས་མཉེན་པ། ཕན་པའི་དངོས་པོ་ཕུན་སུམ་ཚོགས་པ། སྙིང་རྗེ་ཆེ་བ། མཛེས་པ། བལྟ་ན་སྡུག་པ། དགེ་བ་མི་སྤྱོམས་པ། ཡོན་ཏན་སྦེད་པ། སྤྱོད་པ་བརྟན་པ་དག་ཏུ་འགྱུར་རོ། ། ||| “Maitreya, furthermore, among these particular sixty bodhisattvas, there are twenty bodhisattvas who have only minor obscurations of karma, or slight obscurations of karma, and these will take rebirth during the final half-millennium in different villages and towns and in a variety of castes, where they will be learned, circumspect, upright, wise, and skillful. They will be broad-minded, richly beneficial to others, very compassionate, and handsome and lovely to behold. They will not put their virtues on display, will hide their qualities, and will be stable in their conduct.
དེ་དག་རིགས་སྣ་ཚོགས་ལས་རབ་ཏུ་བྱུང་ནས་བསྐལ་པ་གྲངས་མེད་པར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་བསྒྲུབས་པ་འདི་ཀུན་ཏུ་སྲུང་ཞིང་འཛིན་པར་བྱེད་དེ། ||| Taking ordination out of these various castes, they will train toward unsurpassed and perfect awakening over uncountable eons, and they will preserve and uphold this ordination,
ལུས་དང་སྲོག་དང་ཡང་བསྔོས་ནས་དགོན་པ་དང་། ནགས་ཁྲོད་དང་། བས་མཐའི་གནས་མལ་སྟེན་ཅིང་རྙེད་པ་དང་། བཀུར་སྟི་མི་འདོད་པར་འགྱུར་ཏེ། ||| even risking life and limb, as they dwell in wildernesses, jungles, and sparsely populated places, without interest in gain or respect.
རྟག་ཏུ་བརྩོན་ཞིང་རབ་ཏུ་བརྩོན་ལ། སེམས་ཅན་གྱི་སྤྱོད་པ་ལ་འཇུག་པ་ལ་མཁས་པ། གསང་སྔགས་དང་བསྟན་བཅོས་ལ་མཁས་པ། མགོ་སྨོས་པས་གོ་བ། ལྷག་མཐོང་ལ་མཁས་པ། སྤོབས་པ་ཆགས་པ་མེད་པ་དག་ཏུ་འགྱུར་རོ། ། ||| They will always be diligent, superbly diligent, skillful in relating to the ways of beings, expert in secret mantra and scholarly treatises, very quick learners, expert in special insight, and of flawless acumen.
གཟུངས་མི་ཟད་པ་ཐོབ་པ་དེ་དག་སངས་རྒྱས་ཀྱི་མཐུ་དང་། སངས་རྒྱས་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་འཁོར་བཞི་པོ་དག་ལ་ཆོས་སྟོན་ཅིང་དེ་བཞིན་གཤེགས་པས་གསུངས་པ་མདོའི་སྡེ་དང་། དབྱངས་ཀྱིས་བསྙད་པའི་སྡེ་དང་། ལུང་དུ་བསྟན་པའི་སྡེ་དང་། ཚིགས་སུ་བཅད་པའི་སྡེ་དང་། ཆེད་དུ་བརྗོད་པའི་སྡེ་དང་། གླེང་གཞིའི་སྡེ་དང་། རྟོགས་པ་བརྗོད་པའི་སྡེ་དང་། དེ་ལྟ་བུ་བྱུང་བའི་སྡེ་དང་། སྐྱེས་པའི་རབས་ཀྱི་སྡེ་དང་། ཤིན་ཏུ་རྒྱས་པའི་སྡེ་དང་། རྨད་དུ་བྱུང་བའི་ཆོས་ཀྱི་སྡེ་དང་། གཏན་ལ་བབ་པར་བསྟན་པའི་སྡེའི་མདོ་དག་ལ་སྤོབས་པར་འགྱུར་རོ། ། ||| “Having acquired unfailing retention, through the power and blessings of the buddhas they will teach the Dharma to the four retinues and will be well versed in all the classes of teaching by the Thus-Gone One, namely, sūtras, verse narrations, prophecies, poetic verses, aphorisms, ethical narrations, narrative discourses, parables, past-life stories, extensive sayings, marvels, and resolutions.
དེར་བྱང་ཆུབ་སེམས་དཔའ་ཐབས་ལ་མཁས་པ་ཉི་ཤུ་པོ་གང་ཡིན་པ་དེ་དག་སློབ་དཔོན་གྱི་ལུང་རྗོད་ཅིང་མཁན་པོའི་ལུང་རྗོད་པར་འགྱུར་ཏེ། ||| “At that time, those twenty highly skilled bodhisattvas will be authorized masters and authorized scholars of the Dharma,
སློབ་དཔོན་ཆེ་གེ་མོ་ཞིག་དང་། མཁན་པོ་ཆེ་གེ་མོ་ཞིག་ལས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བདག་གིས་ཀུན་ཆུབ་པར་བྱས་སོ་ཞེས་རྗོད་ཅིང་སྐྱེས་བུ་དམ་པ་དེ་དག་གི་སེམས་ཀུན་ནས་དཀྲིས་ཏེ་འཇུག་པར་མི་འགྱུར་རོ། ། ||| such that when they assert, ‘I have absorbed this Dharma discourse from the master So-and-So and from the scholar So-and-So,’ those holy persons will never have cause to be troubled.
དེར་བྱང་ཆུབ་སེམས་དཔའ་ཐབས་ལ་མི་མཁས་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་དག་ནི་དགེ་བ་སྤྱོམས་པས་གནས་ཤིང་སྤོབས་པས་དེ་ལ་མི་ལྟ་བར་སྐྱེ་བོ་མང་པོ་དག་ཤེས་པར་བྱེད་དེ ||| “At that time, there also will appear certain unskillful bodhisattvas who will be conceited about their own virtues and, being complacent and haughty, will have no regard for those twenty. They will seek to promote themselves, and so
དེ་དག་གིས་དམ་པའི་ཆོས་འཛིན་པར་མི་འགྱུར་རོ། ། ||| will not uphold the sacred Dharma.
འདི་སྐད་དུ་ཡང་འཕྱ་བར་བྱེད་དེ། ||| “They will even castigate them, saying,
ཁྱེད་ནི་རང་གི་སྤོབས་པས་ཆོས་སྟོན་པར་བྱས་ཀྱི། དེ་བཞིན་གཤེགས་པས་གསུངས་པ་ནི་མ་ཡིན་ནོ། ། ||| ‘The Dharma you have taught is the product of your own cleverness, not what the Thus-Gone One taught.
ཆོས་འདི་ཁྱེད་ཀྱིས་རང་དགར་བྱས་པ་ཡིན་ནོ། ། ||| This Dharma is just your own spurious creation.
ཁྱེད་ཀྱིས་ཆོས་གང་དག་བསྟན་པ་ནི་རང་བཟོར་གཞུང་དུ་བྱས་པ་ཡིན་གྱིས། ཁྱེད་ཀྱིས་འདི་ལ་ནི་གུས་པར་བྱ་བ་ཡང་མེད། རི་མོར་བྱ་བ་ཡང་མེད་དོ་ཞེས་ཟེར་ཏེ། ||| Since the Dharma that you teach is merely fabricated on your own authority, your teaching should be neither respected nor revered.’
