འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས། ལེའུ་བཅུ་བཞི་པ་སྟེ། ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱཱ་ཡུཥྨཾ་ནནྡཾ་གརྦྷཱ་བ་ཀྲཱནྟི་ནིར་དེ་ཤ། བོད་སྐད་དུ།
འཕགས་པ་ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Teaching to Venerable Nanda on Entry into the Womb
ལྕི་བ་སྐམ་པོ་ནོར་བུ་དང་མི་རིང་བར་བསྟེན་པ་ལས་མེ་བྱུང་བར་འགྱུར་བ་ལྕི་བ་དང་། ||| Since some dried dung is placed not far from the jewel, a fire will start.
ཉི་མའི་འོད་སོ་སོ་ནས་མེ་འབྱིན་པར་མི་ནུས་ཀྱང་ཕན་ཚུན་མི་འབྲལ་བས་རྒྱུ་དང་རྐྱེན་གྱི་སྟོབས་ཀྱིས་མེ་འབྱུང་བར་བྱེད་དོ། ||| The dried dung and the rays of the sun separately cannot start a fire, but the force of causes and conditions not separated from one another starts the fire.
།ཕ་མ་ལས་བྱུང་བའི་ལུས་ཀྱང་དེ་བཞིན་ཏེ། ||| The body that arises from the father and mother is also like this.
འདི་ལྟར་མེར་མེར་པོའི་ལུས་གང་ཡིན་པ་དེ་ནི་གཟུགས་ཞེས་བྱའོ། ། ||| Accordingly, the body of the kalala is called rūpa.
ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་གང་ཡིན་པ་དེ་ནི་མིང་ཞེས་བྱ་སྟེ། ||| Vedanā, saṃjñā, saṃskāra, and vijñāna are called nāma. “
མིང་དང་གཟུགས་ཀྱི་ཕུང་པོ་ལྔ་པོས་སྐད་ཅིག་མ་གཅིག་ལ་ལུས་བླངས་ནས་སྡུག་བསྔལ་མྱོང་བར་བྱེད་པ་ལ་ཡང་ངས་བསྔགས་བརྗོད་པར་མི་བྱེད་ན་ཡུན་རིང་པོར་སྲིད་པ་རྣམས་སུ་འཁོར་བར་གྱུར་པ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས། ||| The moment the five skandhas of nāma and rūpa are reborn, suffering is experienced. If I do not praise this moment, how could I even consider praising a circling among existences over a long period of time?
འདི་ལྟ་སྟེ། དཔེར་ན་མི་གཙང་བ་ནི་ཉུང་ཡང་མནམ་ན་མང་པོ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས་ཏེ། ||| If even a little filth stinks, how much more so a lot of filth?
དེ་ལྟ་བས་ན་མེར་མེར་པོའི་ལུས་ཉེ་བར་ལེན་པའི་ཕུང་པོ་ལྔ་པོ་དག་ལ་སུ་ཞིག་སྲེད་ཅིང་ཆགས་པར་བྱེད། ||| Therefore, who would desire and be attached to the five upādānaskandhas of the body of the kalala? “
གཞན་ཡང་དགའ་བོ་འདི་ལྟར་ལུས་དེ་མའི་མངལ་ན་གནས་པ་ཡང་ཞག་བདུན་ཕྲག་སུམ་ཅུ་རྩ་བརྒྱད་ལོན་ནས་གདོད་འབྱུང་བར་འགྱུར་ཏེ། ||| Furthermore, Nanda, this body spends thirty-eight weeks in the mother’s womb before it emerges.
ཞག་བདུན་ཕྲག་དང་པོ་ལ་མའི་མངལ་ན་གནས་པ་གང་ཡིན་པ་དེ་ནི་མེར་མེར་པོ་ཞེས་བྱ་སྟེ་ལུས་ཀྱི་མཚན་མ་དང་པོར་སྣང་བ་ཡིན་པས་འདི་ལྟ་སྟེ། ||| In the first week, the being in the womb is called kalala. The features of its body begin to appear for the first time.
དཔེར་ན། ཞོ་མ་ཆགས་པ་དང་འདྲ་བས་ཞག་བདུན་གྱི་བར་དུ་ནང་དུ་བཙོས། ||| Resembling uncongealed yogurt, it is cooked inside for seven days.
རབ་ཏུ་བཙོས་ནས་འབྱུང་བ་ཆེན་པོ་བཞི་མཐར་གྱིས་མངོན་པར་གྲུབ་པར་བྱེད་དོ། ||| After it is well cooked, the four great elements form gradually. “
།ཞག་བདུན་ཕྲག་གཉིས་པ་ལ་མའི་མངལ་དུ་གནས་པའི་ཚེ་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཀུན་སྡུད་ཅེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the second week, a karmic wind, all-uniting, comes into existence.
རླུང་ཤིན་ཏུ་ཕྲ་མའི་དེས་མའི་རྩིབ་ལོགས་གཡོན་པ་དང་། གཡས་པ་བུས་ཏེ་མེར་མེར་པོའི་ལུས་ཀྱི་མཚན་མ་རིམ་གྱིས་སྣང་བར་བྱེད་པས་དེའི་དབྱིབས་ཞོ་སྐ་བའམ། མར་འཁྱགས་པ་འདྲ་སྟེ། ||| This very subtle wind blows on the left and right sides of the mother’s torso and gradually causes features of the body of the kalala to appear, its form like thick curds or coagulated butter.
མངལ་གྱི་ནང་དུ་བཙོས། རབ་ཏུ་བཙོས་པས་ནུར་ནུར་པོའི་ལུས་སུ་གྱུར་ནས་འདི་ལྟར་འབྱུང་བ་ཆེན་པོ་བཞི་པོ་དག་མཐར་གྱིས་མངོན་པར་གྲུབ་པར་བྱེད་དོ། ||| It cooks inside the womb, and when it is well cooked, it becomes the body of the arbuda. Thus, the four great elements form gradually. “
།ཞག་བདུན་ཕྲག་གསུམ་པ་ལ་མའི་མངལ་དུ་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་མཛོད་ཀ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the third week, again a karmic wind, treasury opening, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་ནུར་ནུར་པོ་གང་ཡིན་པ་དེ་མཐར་གྱིས་མཁྲེགས་ཤིང་ལྟར་ལྟར་པོར་བྱེད་པས། ||| Due to the force of this wind, the arbuda gradually hardens and becomes a peśī.
དེའི་དབྱིབས་ནི་སྨན་རྡུང་བའི་གཏུན་བུ་འདྲ་ལ་ཐུང་ཞིང་ཆུང་སྟེ། ||| Its form is short and small, like a pestle for grinding medicine.
མངལ་གྱི་ནང་དུ་བཙོས། རབ་ཏུ་བཙོས་པས་འདི་ལྟར་འབྱུང་བ་ཆེན་པོ་བཞི་པོ་འདི་དག་མཐར་གྱིས་འཕེལ་བར་བྱེད་དོ། ||| It cooks inside the womb, and when it is well cooked, the four great elements in this way grow gradually. “
།ཞག་བདུན་ཕྲག་བཞི་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ནང་རབ་ཏུ་འབྱེད་པ་ཞེས་བྱ་སྟེ་ ||| While the being in the mother’s womb is in the fourth week, again a karmic wind, internal differentiation, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་ལྟར་ལྟར་པོ་གང་ཡིན་པ་དེ་ནི་མཁྲང་བར་བྱེད་པས། དེའི་དབྱིབས་ནི་མཆི་གུ་འདྲ་བ་སྟེ། ||| Due to the force of this wind, the peśī becomes solid, its form like a grinding stone.
ནང་དུ་བཙོས་རབ་ཏུ་བཙོས་པས་འབྱུང་བ་ཆེན་པོ་བཞི་པོ་མཐར་གྱིས་འཕེལ་བར་བྱེད་དོ། ||| It cooks inside the womb, and when it is well cooked, the four great elements gradually grow. “
།ཞག་བདུན་ཕྲག་ལྔ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the fifth week, again a karmic wind, gathering together, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱི་མཁྲང་འགྱུར་གང་ཡིན་པ་དེ་རྐ་ལག་འགྱུར་བ་སྒྱུར་བར་བྱེད་པས་གོར་གོར་པོ་གང་ཡིན་པ་དེ་རྣམ་པར་ཕྱེ་ནས་བརླ་གཉིས་དང་། དཔུང་པ་གཉིས་དང་། མགོ་བོའི་མཚན་མ་མངོན་དུ་འབྱུང་བར་བྱེད་དེ། ||| The force of this wind, by making the hardened embryo begin to develop legs and arms, divides the ghana and gives rise to signs of the two thighs, two shoulders, and head.
འདི་ལྟ་སྟེ། དཔེར་ན་དབྱར་གྱི་དུས་སུ་ཆར་འབབ་པའི་ཚེ་ལྗོན་ཤིང་རྣམས་ཡལ་ག་དང་། འདབ་མ་སྐྱེད་པར་བྱེད་པ་དེ་བཞིན་དུ་ལས་ཀྱི་རླུང་གི་སྟོབས་ཀྱིས་ཀྱང་ལུས་ཀྱི་མཚན་མ་རྣམས་སྣང་བར་བྱེད་དོ། ||| Just as when rain falls in the rainy season of summer and produces branches and leaves on trees, in the same way, the force of karmic wind causes the signs of the body to appear. “
།ཞག་བདུན་ཕྲག་དྲུག་པ་ལ་མའི་མངལ་དུ་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཟས་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the sixth week, again a karmic wind, food, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་མཚན་མེ་བཞི་འབྱུང་བར་བྱེད་དོ། ||| The force of this wind gives rise to four signs.
།བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are the four?
ལག་ངར་གཉིས་དང་། རྗེ་ངར་གཉིས་གང་ཡིན་པ་དེ་ནི་མཚན་མ་རྣམ་པ་བཞི་ཞེས་བྱའོ། ||| The four types of signs are the signs of the two forearms and the two shanks. “
།ཞག་བདུན་ཕྲག་བདུན་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་འཁྱིལ་བར་བྱེད་པ་ཞེས་བྱ་སྟེ་རླུང་དེའི་སྟོབས་ཀྱིས་མཚན་མ་རྣམ་པ་བཞི་འབྱུང་བར་བྱེད་དེ། འདི་ལྟ་སྟེ། ལག་མཐིལ་གཉིས་དང་། རྐང་མཐིལ་གཉིས་ཏེ། ||| While the being in the mother’s womb is in the seventh week, again a karmic wind, twister, comes into existence. The force of this wind gives rise to four types of signs, namely, the signs of the two palms of the hands and two soles of the feet.
དེའི་མཚན་མ་ནི་ཤིན་ཏུ་མཉེན་པས་དབུ་བ་འདུས་པ་དང་འདྲའོ། ||| These signs are very soft, like a mass of bubbles. “
།ཞག་བདུན་ཕྲག་བརྒྱད་པ་ལ་མའི་མངལ་དུ་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཟློག་ཅིང་སྒྱུར་བར་བྱེད་པ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the eighth week, again a karmic wind, reversing and turning, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་མཚན་མ་ཉི་ཤུ་འབྱུང་བར་བྱེད་དེ། འདི་ལྟ་སྟེ། ལག་པ་དང་། རྐང་པའི་སོར་མོའི་མཚན་མ་ཉི་ཤུ་འབྱུང་བར་བྱེད་པ་གང་ཡིན་པའོ། ||| The force of this wind gives rise to twenty signs, namely, the signs of the twenty digits of the hands and feet.
།དེ་ནི་འདི་ལྟ་སྟེ་དཔེར་ན་དབྱར་ཆར་འབབ་པའི་ཚེ་ལྗོན་ཤིང་རྣམས་ཀྱི་ཡལ་ག་དང་། འདབ་མ་མཐར་གྱིས་སྐྱེ་ཞིང་འཕེལ་བར་བྱེད་པ་དེ་བཞིན་དུ་ལས་ཀྱི་རླུང་གི་སྟོབས་ཀྱིས་ཀྱང་མཚན་མ་རྣམས་མངོན་དུ་སྣང་བར་བྱེད་དོ། ||| As for this, just as rain falling in the rainy season of summer makes the branches and leaves on the trees gradually grow and increase, in the same way, the force of karmic wind causes the signs of the body to appear. “
།ཞག་བདུན་ཕྲག་དགུ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་སྟེ་རླུང་དེའི་སྟོབས་ཀྱིས་མཚན་མ་རྣམ་པ་དགུ་འབྱུང་བར་བྱེད་དོ། ||| While the being in the mother’s womb is in the ninth week, again a karmic wind, separating, comes into existence. The force of this wind gives rise to nine types of signs.
།དགུ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are the nine?
མིག་གཉིས་དང་། རྣ་བ་གཉིས་དང་། སྣ་གཉིས་དང་། ཁ་དང་། བཤང་བ་དང་། གཅི་བའི་གནས་གང་ཡིན་པ་དེ་དག་མཚན་མ་རྣམ་པ་དགུ་ཞེས་བྱའོ། ||| The signs of the two eyes, the two ears, the two nostrils, the mouth, and the places of excrement and urine are the nine types of signs. “
།ཞག་བདུན་ཕྲག་བཅུ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་སྲ་བར་བྱེད་པ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the tenth week, again a karmic wind, making firm, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་སྲ་ཞིང་བརྟན་པར་བྱེད་དོ། ||| The force of this wind makes the being in the womb firm and stable.
།གཞན་ཡང་དེའི་ཚེ་ཀུན་ནས་སྒོ་ཞེས་བྱ་བའི་རླུང་འབྱུང་སྟེ། ||| Also at that time, a wind called universal door arises.
དེས་མངལ་ན་གནས་པའི་ལུས་བུས་པས་ལུས་ཀུན་ཏུ་རྒྱས་ཤིང་གང་བར་བྱེད་དེ། འདི་ལྟ་སྟེ་དཔེར་ན་རྐྱལ་བ་གང་བ་ཇི་ལྟ་བ་བཞིན་ནོ། ||| By blowing on the body of the being in the womb, it causes the body to expand and fill, like a full leather bag. “
།ཞག་བདུན་ཕྲག་བཅུ་གཅིག་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་རྡོ་རྗེ་ཞེས་བྱ་སྟེ་རླུང་དེའི་སྟོབས་ཀྱིས་མངལ་ན་གནས་པ་དེ་སྟེང་དང་འོག་གི་ཕྱོགས་སུ་འགྲོ་ཞིང་ལུས་ཀྱི་བུ་ག་རྣམས་འབྱིན་པར་བྱེད་དོ། ||| While the being in the mother’s womb is in the eleventh week, again a karmic wind, adamantine, comes into existence. The force of this wind, moving up and down in the being in the womb, causes holes to come forth in the body.
།གཞན་ཡང་རླུང་དེའི་སྟོབས་ཀྱིས་མ་དེ་རེས་འགའ་དགའ་བ་དང་། མི་དགའ་བར་ཡང་བྱེད། ||| The force of this wind makes the mother sometimes happy, sometimes unhappy.
འགྲོ་བ་དང་། འགྲེང་བ་དང་། འདུག་པ་དང་། ཉལ་བ་ན་ཡང་དེའི་རང་བཞིན་འགྱུར་ཞིང་རྐང་ལག་སྐྱོད་པར་ཡང་བྱེད་པས་མངལ་ན་གནས་པའི་བུ་ག་རྣམས་མཐར་གྱིས་སྐྱེ་ཞིང་འཕེལ་བར་ཡང་བྱེད་ལ་དེའི་ཁ་ནས་ཁྲག་ནག་པོ་ཡང་འབྱུང་བར་འགྱུར། ||| Her nature changes when she walks, stands, sits, and sleeps; she moves her legs and arms, and the holes in the being in the womb gradually grow and increase; and black blood comes out of its mouth.
སྣ་ནས་ཀྱང་ཆུ་མི་གཙང་བ་འབྱུང་བར་འགྱུར་ཏེ། ||| Filthy water also comes out of its nose.
རླུང་དེས་དབང་པོ་རྣམས་བཟློག་ནས་དེ་ནས་ཞི་བར་འགྱུར་རོ། ||| The wind turns away from the faculties and then is pacified. “
།ཞག་བདུན་ཕྲག་བཅུ་གཉིས་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཡོན་པོའི་སྒོ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the twelfth week, again a karmic wind, crooked opening, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་རྩིབ་ལོགས་གཡས་གཡོན་གྱི་ནང་གྲོལ་གྱི་རྒྱུ་མ་ཆེ་ཆུང་རྣམས་སྐྱེད་པར་བྱེད་དེ། ||| The force of this wind produces the large and small intestines within the left and right sides of the body.
དེ་ནི་འདི་ལྟ་སྟེ། དཔེར་ན་པད་མའི་རྩ་བ་ཤད་ཤད་པོ་འམ། སྐུད་པ་གྲིམས་པས་ལ་བཞག་པ་ལྟ་བུར་ལན་བཅྭ་བརྒྱད་འཁོར་བར་ལུས་ལ་བརྟེན་ཏེ་གནས་སོ། ||| They wind around eighteen times and adhere to the body in the same way that very fine lotus roots or taut strings are attached to the earth.
།དེའི་ཚེ་གཞན་ཡང་སྤུ་བརྒྱུས་པ་ཞེས་བྱ་བའི་རླུང་འབྱུང་སྟེ། ||| Also at that time, a wind called fastened hair arises.
རླུང་དེའི་དབང་གིས་ཚིགས་ཀྱི་ཡན་ལག་སུམ་བརྒྱ་ཉི་ཤུ་དང་། གནད་བརྒྱ་རྩ་གཅིག་ལུས་ལ་གནས་པར་འགྱུར་རོ། ||| Due to the force of this wind, one hundred twenty joints and one hundred one vital points are established in the body. “
།ཞག་བདུན་ཕྲག་བཅུ་གསུམ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་བཀྲེས་ཤིང་སྐོམ་པར་བྱེད་པ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the thirteenth week, again a karmic wind, making hungry and thirsty, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་མངལ་གྱི་ལུས་དེ་ཉམ་ཆུང་ཞིང་བཀྲེས་པ་དང་། སྐོམ་པའི་འདུ་ཤེས་སྐྱེད་པར་བྱེད་པས་ ||| The force of this wind weakens the body of the fetus and causes sensations of hunger and thirst to arise.
དེའི་མས་ཟོས་ཤིང་འཐུངས་པའི་རོ་ཇི་སྙེད་པ་དག་ལུས་ཀྱི་གནད་དང་། ལྟེ་བའི་དཀྱིལ་འཁོར་ཡོངས་སུ་འཛིན་ཅིང་ཕན་འདོགས་པར་བྱེད་དོ། ||| It causes the fetus to receive, through the navel and vital points of its body, all the nutritional essence of what its mother eats and drinks, and to benefit from it.”
།དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཚིགས་སུ་བཅད་དེ་བཀའ་སྩལ་པ། ||| Then the Bhagavān spoke in verse:
བུ་ནི་མ་མངལ་གནས་པ་ན། །མངལ་གནས་དེ་ལ་ཕན་འདོགས་པས། ||| “As for the child, when it is living in its mother’s womb, The mother benefits the fetus.
།དེས་ན་ལུས་སྲོག་རབ་གནས་ཤིང་། ||| Therefore, its body and life are well established.
།རིམ་གྱིས་སྐྱེ་དང་འཕེལ་བར་བྱེད། ||| Gradually, it grows and increases.
།མས་ནི་ཟོས་ཤིང་འཐུངས་པ་དག །མངལ་ན་གནས་ན་ཕན་འདོགས་པས། ||| What the mother eats and drinks Benefits the fetus.
།རིམ་གྱིས་སྐྱེ་ཚད་ང་འཕེལ་བར་བྱེད། ||| Gradually, it grows and increases.” “
།ཞག་བདུན་ཕྲག་བཅུ་བཞི་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་སྐུད་པའི་སྒོ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the fourteenth week, again a karmic wind, thread opening, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་རྩ་རྒྱུད་དགུ་བརྒྱ་བསྐྱེད་ནས་ལུས་ཀྱི་མདུན་དང་། རྒྱབ་དང་། གཡས་གཡོན་སྣོལ་མར་གཡོགས་པར་བྱེད་དོ། ||| The force of this wind produces nine hundred ligaments and pulls together and covers the front and back and left and right sides of the body. “
།ཞག་བདུན་ཕྲག་བཅོ་ལྔ་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་པད་མ་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the fifteenth week, again a karmic wind, lotus, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་རྩར་རྒྱུ་བ་ཉི་ཤུ་བསྐྱེད་ནས་བཟའ་བ་དང་། བཏུང་བའི་རོ་གང་ཡིན་པ་རྩ་འདིར་ཞུགས་ནས་ལུས་ལ་ཕན་འདོགས་པར་བྱེད་དོ། ||| The force of this wind produces twenty channels, and when the nutritional essence from food and drink enters these channels, it benefits the body.
།ཉི་ཤུ་གང་ཞེ་ན། ||| What are the twenty?
ལུས་ཀྱི་མདུན་དང་རྒྱབ་དང་། གཡས་གཡོན་རེ་རེ་ལ་ཡང་རྩ་ལྔ་ལྔ་ཡོད་དེ། ||| The front and back and right and left sides of the body have five channels each.
རྩ་འདི་དག་རེ་རེ་ལ་ཡང་རྩ་ཕྲ་མོའི་ཡན་ལག་བཞི་བཅུ་བཞི་བཅུ་ཡོད་དོ། ||| These channels also have forty small branch channels each.
།རྩ་དེ་དག་རེ་རེ་ལ་ཡང་ཡན་ལག་བརྒྱ་བརྒྱ་ཡོད་དོ། ||| Those channels have another one hundred branch channels each.
།ལུས་ཀྱི་མདུན་ན་ཡོད་པ་ཉི་ཁྲི་ནི་ས་ག་ཞེས་བྱའོ། ||| The front of the body has twenty thousand channels called companion.
།ལུས་ཀྱི་རྒྱབ་ན་ཡོད་པ་ཉི་ཁྲི་ནི་སྟོབས་ཞེས་བྱའོ། ||| The back of the body has twenty thousand channels called strength.
།ལུས་ཀྱི་གཡོན་ཕྱོགས་ན་ཡོད་པ་ཉི་ཁྲི་ནི་བརྟན་པ་ཞེས་བྱའོ། ||| The left side of the body has twenty thousand channels called firmness.
།ལུས་ཀྱི་གཡས་ཕྱོགས་ན་ཡོད་པ་ཉི་ཁྲི་ནི་མཐུ་དང་ལྡན་པ་ཞེས་བྱ་སྟེ། ||| The right side of the body has twenty thousand channels called powerful.
དེ་ལྟར་ན་རྩའི་ཡན་ལག་ཆེ་ཕྲ་བརྒྱད་ཁྲི་ལུས་དེ་ལ་སྐྱེ་བར་འགྱུར་རོ། ། ||| Therefore, eighty thousand large and small branch channels are produced in the body.
རྩ་དེ་དག་ཀྱང་ཁ་དོག་རྣམ་པ་སྣ་ཚོགས་དང་ལྡན་ཏེ། འདི་ལྟ་སྟེ། སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་དང་། མར་དང་། ཞོ་དང་། འབྲུ་མར་གྱི་ཁ་དོག་གོ ། ||| These channels also have various colors, namely, blue, yellow, red, and white, along with the colors of butter, yogurt, and oil.
རྩ་བརྒྱད་ཁྲི་བོ་དེ་དག་རེ་རེ་ལ་ཡང་རྩ་བ་རེ་རེ་ཡོད་དེ། ||| Furthermore, the eighty thousand each have roots.
རྩ་བ་རེ་རེ་ལ་ཡང་བུ་ག་སྣ་ཚོགས་ཡོད་དེ། བུ་ག་གཅིག་དང་། བུ་ག་གཉིས་ནས་བུ་ག་བདུན་གྱི་བར་དང་ལྡན་ཏེ། རེ་རེ་ཡང་སྤུའི་བུ་ག་དང་ཕན་ཚུན་འབྲེལ་ཏེ་དེ་ནི་དཔེར་ན། པད་མའི་རྩ་བ་ལ་བུ་ག་མང་པོ་ཡོད་པ་ཇི་ལྟ་བ་བཞིན་ནོ། ||| Each root has various openings, from one or two openings up to seven openings, and each is connected to the pore of a bodily hair, just as a lotus root has many openings. “
།ཞག་བདུན་ཕྲག་བཅུ་དྲུག་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་བདུད་རྩི་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the sixteenth week, again a karmic wind, nectar, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེའི་མིག་དང་། རྣ་བ་དང་། སྣ་དང་། ཁའི་སྒོ་དང་། མིད་པ་དང་། སྙིང་གི་སྙིང་པོའི་ཁོ་ར་ཁོར་ཡུག་གི་བུ་ག་དགུ་པོ་དེ་དག་རྣམ་པར་ཕྱེ་ནས་ ||| The force of this wind opens the nine orifices of its eyes, ears, nose, mouth, throat, and the area around the heart in its chest.
དབུགས་ཕྱི་ནང་དུ་རྒྱུ་བ་སྟེང་དང་འོག་ཏུ་རྒྱུ་ཞིང་ཐོགས་པ་མེད་པ་དང་། བཟའ་བ་དང་། བཏུང་བ་ཟོས་ཤིང་འཐུངས་པ་གང་ཡིན་པ་དེ་དག་ཀྱང་། ལུས་ལ་ཕན་འདོགས་ཤིང་བསགས་པའི་གནས་ཡོད་པ་དང་། ལེགས་པར་ཞུགས་ནས་འོག་གི་ཕྱོགས་སུ་འབྱུང་བར་བྱེད་དེ། ||| It makes the breath move in and out and up and down without obstruction, and it makes whatever food and drink is eaten and drunk benefit the body, properly enter the place where it accumulates, and come out below.
འདི་ལྟ་སྟེ། དཔེར་ན་རྫ་མཁན་ནམ། དེའི་སློབ་མ་མཁས་པས་འཇིམ་པ་ལེགས་པར་སྦྱར་ཏེ་འཁོར་ལོའི་སྟེང་དུ་བཞག་ནས་འོག་དང་སྟེང་དུ་བསྒྱུར་ཞིང་སྣོད་ཀྱི་རྣམ་པ་མངོན་པར་འདུས་བྱས་ནས་མངོན་པར་གྲུབ་པ་དེ་བཞིན་དུ་འདི་ཡང་རླུང་གི་སྟོབས་དང་། དགེ་བ་དང་མི་དགེ་བའི་ལས་ཀྱིས་མིག་དང་། རྣ་བ་ལ་སོགས་པ་རིམ་གྱིས་ཡོངས་སུ་རྫོགས་པར་བྱེད་དོ། ||| Just as a potter or a potter’s skilled apprentice, having carefully prepared the clay, places it atop a wheel and, turning it up and down, succeeds in rendering it into the form of a pot, this too is the same: the forces of the wind and good and bad karma gradually complete the eyes and ears and so forth. “
།ཞག་བདུན་ཕྲག་བཅུ་བདུན་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་འབྲི་གདོང་ཞེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the seventeenth week, again a karmic wind, yak face, comes into existence.
