འཕགས་པ་བྱང་ཆུབ་ཀྱི་ཕྱོགས་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Teaching on the Aids to Enlightenment
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Bhagavān replied,
འཇམ་དཔལ་སུས་རང་བཞིན་གྱིས་མ་སྐྱེས་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་མ་སྐྱེས་པར་མཐོང་བར་ཡིད་ཆེས་པ་འདི་ནི་དད་པའི་དབང་པོའོ། ། ||| “Mañjuśrī, whoever has the confidence to see all phenomena as unproduced by virtue of their being intrinsically unproduced has the faculty of faith.
འཇམ་དཔལ་སུས་ཉེ་བའི་འདུ་ཤེས་དང་རིང་བའི་འདུ་ཤེས་དང་བྲལ་བའི་ཕྱིར་ཆོས་ཐམས་ཅད་ལ་སེམས་མི་གཏོང་བ་འདི་ནི་བརྩོན་འགྲུས་ཀྱི་དབང་པོའོ། ། ||| “Mañjuśrī, whoever does not mentally let go of any phenomenon due to being free from notions of far or near has the faculty of effort.
འཇམ་དཔལ་སུས་དམིགས་པ་དབེན་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་ཡིད་ལ་མི་བྱེད་ཅིང་དྲན་པ་མི་འདོད་པ་འདི་ནི་དྲན་པའི་དབང་པོའོ། ། ||| “Mañjuśrī, whoever does not seek to bring to mind or to be mindful of any phenomenon due to being disengaged from objects of perception has the faculty of mindfulness.
འཇམ་དཔལ་སུས་གཉིས་སུ་མི་དམིགས་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་གཉིས་སུ་མེད་པར་འགྱུར་བ་འདི་ནི་ཏིང་ངེ་འཛིན་གྱི་དབང་པོའོ། ། ||| “Mañjuśrī, whoever sees all phenomena as nondual on account of not perceiving dualistically has the faculty of meditative concentration.
འཇམ་དཔལ་སུས་སྐྱེ་བ་དང་བྲལ་བ་དང་། མི་ཤེས་པ་དང་བྲལ་བའི་ཕྱིར་ཆོས་ཐམས་ཅད་རང་བཞིན་གྱིས་སྟོང་པར་མཐོང་བ་འདི་ནི་ཤེས་རབ་ཀྱི་དབང་པོ་སྟེ་ ||| “Mañjuśrī, whoever sees all phenomena as intrinsically empty due to being devoid of being produced and being devoid of not being known has the faculty of wisdom.
འཇམ་དཔལ་དབང་པོ་ལྔ་པོ་དག་ནི་དེ་ལྟར་བལྟ་བར་བྱའོ། ། ||| “Mañjuśrī, this is how the five faculties should be viewed.”
འཇམ་དཔལ་གྱིས་གསོལ་པ། ||| Mañjuśrī asked,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་པོ་དག་ཇི་ལྟར་བལྟ་བར་བགྱི། ||| “Bhagavān, how should one view the seven branches of enlightenment?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Bhagavān replied,
འཇམ་དཔལ་སུས་དྲན་པ་མེད་ཅིང་ཡིད་ལ་བྱེད་པ་མེད་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་དངོས་པོ་མེད་པར་མཐོང་བ་འདི་ནི་དྲན་པ་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གོ། ། ||| “Mañjuśrī, whoever sees all phenomena as devoid of existence because there is neither mindfulness nor attention has the branch of enlightenment of right mindfulness.
འཇམ་དཔལ་སུས་དགེ་བ་དང་། མི་དགེ་བ་དང་། ལུང་དུ་མ་བསྟན་པ་ཡོངས་སུ་མི་འགྲུབ་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་དབེན་ཞིང་མི་དམིགས་པ་འདི་ནི་ཆོས་རྣམ་པར་འབྱེད་པ་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གོ། ། ||| “Mañjuśrī, whoever is disengaged from and does not perceive any phenomenon by not creating virtuous, nonvirtuous, or neutral states has the branch of enlightenment of right discernment of phenomena.
འཇམ་དཔལ་སུས་ཁམས་ཀྱི་འདུ་ཤེས་ཤིན་ཏུ་བཤིག་པའི་ཕྱིར་ཁམས་གསུམ་པ་མི་ལེན་མི་འདོར་བ་འདི་ནི་བརྩོན་འགྲུས་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གོ། ། ||| “Mañjuśrī, whoever neither adopts nor rejects the three realms due to having destroyed the notion of realms has the branch of enlightenment of right effort.
འཇམ་དཔལ་སུས་དགའ་བ་དང་། མི་དགའ་བ་རྣམ་པར་བཤིག་པའི་ཕྱིར་འདུ་བྱེད་ཐམས་ཅད་ལ་དགའ་བ་མི་སྐྱེད་པ་འདི་ནི་དགའ་བ་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གོ། ། ||| “Mañjuśrī, whoever does not become joyous about any conditioned state due to having done away with joy and sorrow has the branch of enlightenment of right joy.
འཇམ་དཔལ་སུས་དམིགས་པའི་དངོས་པོ་མི་དམིགས་པའི་ཕྱིར་ཆོས་ཐམས་ཅད་ལ་སེམས་ཤིན་ཏུ་སྦྱངས་པར་གྱུར་པ་འདི་ནི་ཤིན་ཏུ་སྦྱངས་པ་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གོ། ། ||| “Mañjuśrī, whoever is mentally supple with respect to all phenomena because of not perceiving objects of perception has the branch of enlightenment of right mental suppleness.
འཇམ་དཔལ་སུས་ཆོས་ཐམས་ཅད་རྣམ་པར་གཞིག་པ་རྗེས་སུ་རྟོགས་པའི་ཕྱིར་སེམས་མི་དམིགས་པ་འདི་ནི་ཏིང་ངེ་འཛིན་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་གོ། ། ||| “Mañjuśrī, whoever does not perceive mind because of realizing that all phenomena have come to an end has the branch of enlightenment of right meditative concentration.
འཇམ་དཔལ་སུས་ཆོས་ཐམས་ཅད་ལ་གནས་པར་མི་བྱེད། རྟེན་པར་མི་བྱེད། ཆགས་པར་མི་བྱེད། འཆིང་བར་མི་བྱེད་ཅིང་དེ་ཆོས་ཐམས་ཅད་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་བའི་བཏང་སྙོམས་ཅན་དུ་གྱུར་ཏེ། དགའ་བ་ཐོབ་པ་འདི་ནི་བཏང་སྙོམས་ཡང་དག་བྱང་ཆུབ་ཀྱི་ཡན་ལག་སྟེ། ||| “Mañjuśrī, whoever does not rely on, depend on, or cleave to any phenomenon, and, acquiring the impartiality of not seeing any phenomenon, attains joy has the branch of enlightenment of right impartiality.
འཇམ་དཔལ་བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་པོ་དག་ནི་དེ་ལྟར་བལྟ་བར་བྱའོ། ། ||| “Mañjuśrī, this is how the seven branches of enlightenment should be viewed.
འཇམ་དཔལ་གང་ལ་ལས་འཕགས་པའི་བདེན་པ་བཞི་པོ་དག་དང་། དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་པོ་དག་དང་། འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་དག་དང་། དབང་པོ་ལྔ་པོ་དག་དང་། བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་པོ་དག་དེ་ལྟ་བུར་མཐོང་བ་འདི་ནི་རྒལ་བའོ་ཞེས་ང་སྨྲ་སྟེ ||| “Mañjuśrī, I proclaim that those who see the four truths of the noble ones, the four applications of mindfulness, the eightfold path of the noble ones, the five faculties, and the seven branches of enlightenment in such a manner have crossed over.
ཕ་རོལ་ཏུ་སོན་པའོ། ། ||| they have gone to the other shore,
ཐང་ལ་གནས་པའོ། ། ||| stand on dry land,
བདེ་བ་ཐོབ་པའོ། ། ||| have reached happiness,
མི་འཇིགས་པ་ཐོབ་པའོ། ། ||| have obtained fearlessness,
ཁུར་བོར་བའོ། ། ||| have laid down their burden,
རྡུལ་དང་བྲལ་བའོ། ། ||| are free from dust,
ཅི་ཡང་མེད་པའོ། ། ||| have nothing whatsoever,
ཉོན་མོངས་པ་མེད་པའོ། ། ||| are free of afflictions,
ལེན་པ་མེད་པའོ། ། ||| have no further appropriation,
དགྲ་བཅོམ་པའོ། ། ||| are arhats,
དགེ་སྦྱོང་ངོ་། ། ||| are śramaṇas,
བྲམ་ཟེའོ། ། ||| are brahmins,
བཀྲུས་པའོ། ། ||| are cleansed,
རིག་པའོ། ། ||| are knowers,
རིང་དུ་སོང་བའོ། ། ||| are those who have gone afar,
གཙང་མའོ། ། ||| are pure,
སངས་རྒྱས་ཀྱི་སྲས་སོ། ། ||| are heirs of the Buddha,
ཤཱཀྱའི་སྲས་སོ། ། ||| are Śākya heirs,
ཚེར་མ་དཀྲུགས་པའོ། ། ||| have extracted the thorns,
འོབས་ལས་རྒལ་བའོ། ། ||| have crossed the pit,
ཤིན་ཏུ་བརྟན་པའོ། ། ||| are completely steady,
རིམས་ནད་མེད་པའོ། ། ||| are free from fever,
དགེ་སློང་ངོ་། ། ||| are bhikṣus,
འཕགས་པའོ། ། ||| are noble ones,
རྒྱལ་མཚན་རྫོགས་པའོ་ཞེས་ ||| and are perfect banners.
སྨྲའོ །_། ||| I proclaim that
འཇམ་དཔལ་བཟོད་པ་དེ་ལྟ་བུ་དང་ལྡན་པ་ནི་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་གྱི་སྦྱིན་གནས་ཡིན་ཏེ་རྙེད་པ་དང་། བཀུར་སྟིའི་འོས་ཀྱང་ཡིན་ནོ། ། ||| “Mañjuśrī, those with such forbearance are deserving of offerings from the world with its gods—they are worthy of gifts and reverence.
འཇམ་དཔལ་དེ་ལྟ་བས་ན། དགེ་སློང་ཡུལ་འཁོར་གྱི་བསོད་སྙོམས་དོན་ཡོད་པར་ཡོངས་སུ་བཟའ་བར་འདོད་པ་དང་། བདུད་འདུལ་བར་འདོད་པ་དང་། འཁོར་བ་ལས་ཡང་དག་པར་འདའ་བར་འདོད་པ་དང་། མྱ་ངན་ལས་འདས་པ་ཐོབ་པར་འདོད་པ་དང་། སྡུག་བསྔལ་རྣམས་ལས་གྲོལ་བར་འདོད་པས་ཆོས་འདི་དག་ལ་བརྩོན་པར་བྱའོ། ། ||| “Therefore, Mañjuśrī, those bhikṣus who seek to partake of the country’s alms in a beneficial way, who seek to subdue Māra, who seek to transcend saṃsāra, who seek to attain nirvāṇa, and who seek to become liberated from suffering should work diligently on these Dharmas.”
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བསྟན་པ་ན་ལྷའི་བུ་སུམ་ཁྲི་ཉིས་སྟོང་གིས་ཆོས་མངོན་པར་རྟོགས་པར་གྱུར་ནས་ ||| When this Dharma discourse was taught, thirty-two thousand gods realized the Dharma.
དེ་དག་གིས་བཅོམ་ལྡན་འདས་ལ་མན་དཱ་ར་བའི་མེ་ཏོག་གིས་གཏོར་ཏེ་ ||| They sprinkled mandārava flowers upon the Bhagavān and
ཚིག་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| uttered these words:
བཅོམ་ལྡན་འདས་ཆོས་བསྟན་པ་འདི་སུ་དག་གི་རྣ་ལམ་དུ་གྲག་པར་གྱུར་པ་དེ་དག་ནི། དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་ལེགས་པར་རབ་ཏུ་བྱུང་བ་ལེགས་པར་འགྱུར་ན། ||| “If those who just happen to hear this Dharma teaching by the Bhagavān will successfully go forth under the Tathāgata’s dispensation and do well,
གང་དག་ཐོས་ནས་མོས་པ་དང་། དད་པ་དང་། དེ་བཞིན་ཉིད་དུ་འཛིན་པར་འགྱུར་བ་དག་ལྟ་སྨོས་ཀྱང་ཅི་འཚལ། ། ||| what more needs to be said of those who, having listened to it, have confidence and faith in it, and uphold it accordingly?
བཅོམ་ལྡན་འདས་ཆོས་བསྟན་པ་འདི་སུ་དག་གི་རྣ་ལམ་དུ་གྲག་པར་གྱུར་པ་དེ་དག་ནི། མངོན་པའི་ང་རྒྱལ་མ་མཆིས་པར་འགྱུར་རོ། ། ||| Indeed, those who happen to hear this Dharma teaching by the Bhagavān will not become conceited.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| After the Bhagavān had spoken this teaching,
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། ཉན་ཐོས་ཆེན་པོ་དེ་དག་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། ||| Youthful Mañjuśrī, the great śrāvakas, and the world with its gods, humans, demigods, and gandharvas rejoiced, and
བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| they praised what the Bhagavān had said.
འཕགས་པ་བྱང་ཆུབ་ཀྱི་ཕྱོགས་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This concludes the Noble Mahāyāna Sūtra, “ The Teaching on the Aids to Enlightenment .”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། ཛྙཱ་ན་སིདྡྷི་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ། སྐད་གསར་ཆད་ཀྱིས་ཀྱང་བཅོས་ནས་གཏན་ལ་ཕབ་པ། ||| This sūtra was translated, edited, and finalized, based on revisions done according to the language reform, by the Indian masters Jinamitra and Jñānasiddhi, and by the chief editor and translator, the venerable Yeshé Dé.
