༄༅༅། །རྒྱ་གར་སྐད་དུ། དྷྭ་ཛཱ་གྲན་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་རྒྱལ་མཚན་མཆོག་ཅེས་བྱ་བ། ||| The Mahāsūtra The Crest Insignia (1)
བསོད་ནམས་ཀྱི་ཞིང་བླ་ན་མེད་པ། འཇིག་རྟེན་གྱི་ཡོན་གནས་ཡིན་ནོ་ཞེས་དགེ་འདུན་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་གྱིས་ཤིག ། ||| They are the unsurpassed field of merit, the rightful recipients of the offerings of the world.
ཚོང་པ་དག་དེའི་ཚེ་ཁྱེད་ཀྱིས་དགེ་འདུན་རྣམ་པ་ལས་ཡང་དག་པར་རྗེས་སུ་དྲན་པར་བྱས་ན་འཇིགས་པའམ། བག་ཚ་བའམ། སྤུ་ཟིང་ཞེས་བྱེད་པ་འབྱུང་བར་འགྱུར་བ་གང་ཡིན་པ་དེ་མེད་པར་འགྱུར་རོ། ། ||| “Merchants, if at that time you recollect the Saṅgha through its aspects, whatever fear, trepidation, or terror you are experiencing will subside.”
དེ་ནས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་གིས་སངས་རྒྱས་ལ་སོགས་པ་དགེ་སློང་གི་དགེ་འདུན་བདེ་བར་བཞུགས་པར་རིག་ནས་རང་རང་གི་ལག་ནས་བཟའ་བ་དང་། བཅའ་བ་གཙང་ཞིང་བསོད་པ་དག་ལེགས་པར་བསྟབས་ཤིང་ཡང་དག་པར་ཚིམ་པར་བྱས་སོ། ། ||| Seeing that the Buddha and the saṅgha of monks were comfortably seated, the many merchants of Vaiśālī then graciously served them from their own hands the pure and wholesome foods and drinks and ensured they were satisfied.
རྣམ་གྲངས་དུ་མར་རང་རང་གི་ལག་ནས་བཟའ་བ་དང་། བཅའ་བ་གཙང་ཞིང་བསོད་པ་དག་ལེགས་པར་བསྟབས་ཤིང་ཡང་དག་པར་ཚིམ་པར་བྱས་ནས་བཅོམ་ལྡན་འདས་གདུགས་ཚོད་གསོལ་ཅིང་། ལྷུང་བཟེད་བཞག་སྟེ། ||| In various ways, they graciously served them from their own hands the pure and wholesome foods and drinks and ensured their satisfaction, and the Blessed One partook of the midday meal.
ཕྱག་བཅབས་པར་རིག་ནས་སྟན་ཤིན་ཏུ་དམའ་བ་དག་བླངས་ཏེ་ཆོས་མཉན་པའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འཁོད་དོ། ། ||| When the many merchants of Vaiśālī saw that he had placed his alms bowl down and concealed his hands, they spread out low seats and sat before the Blessed One to listen to the Dharma.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་གི་སྦྱིན་པ་དེ་ལ་རྗེས་སུ་ཡི་རང་བ་འདིས་རྗེས་སུ་ཡི་རངས་པར་མཛད་དོ། ། ||| The Blessed One rejoiced with delight at the generosity of the many merchants of Vaiśālī.
ཚོང་པ་ཟས་དང་སྐོམ་དག་གིས། །དགེ་སློང་དགེ་འདུན་བཤོས་གསོལ་བ། །རབ་ཏུ་ཤེས་ནས་གཏོང་བ་ཡི། །བློ་ལྡན་འཕགས་པ་གང་བྱེད་བཞིན། ། ||| “O merchants, you have sustained The saṅgha of monks with food and drink In the manner of wise and noble beings Who, in their wisdom, practice generosity.
སྦྱིན་པ་བདེ་ལེགས་རྗོད་པ་འདི། ། ||| [1] “This is a benediction for your offering.
ཚོང་པ་ཁྱེད་ཀྱིས་བྱིན་པས་ན། །ཁྱེད་ཅག་དོན་གང་ལེགས་འདོད་པའི། །ཁྱེད་ཀྱི་དོན་དེ་རྟག་གྲུབ་ཤོག ། ||| By making this gift, O merchants, May the aims you rightfully desire Always be accomplished.
ཁྱེད་ཀྱི་རྐང་གཉིས་བདེ་ལེགས་ཤིང་། ། ||| [2] “May there be goodness for those of you who travel on two feet.
ཁྱེད་ཀྱི་རྐང་བཞི་བདེ་ལེགས་ཤོག ། ||| May there be goodness for those of you who travel on four feet.
ཁྱེད་ཅག་ལམ་ཞུགས་བདེ་ལེགས་ཤིང་། །ཕྱིར་ལྡོག་པ་ནའང་བདེ་ལེགས་ཤོག ། ||| May there be goodness as you embark upon your journey, And may there be goodness when you return.
མཚན་མོ་བདེ་ལེགས་ཉིན་བདེ་ལེགས། །ཉི་མའི་གུང་ལ་བདེ་ལེགས་ཤིང་། ། ||| [3] “May there be goodness all night and goodness all day, And may there be goodness at midday.
ཁྱེད་ཅག་ཀུན་དུ་བདེ་ལེགས་ལ། །ཁྱེད་ལ་སྡིག་པ་མ་འབྱུང་ཤིག །ཇི་ལྟར་ཞིང་ནི་ཕུན་སུམ་ལ། ། ||| May you experience goodness in all situations, And may negativity never befall you.
ས་བོན་ཕུན་སུམ་ཚོགས་བཏབ་ཅིང་། །ཆར་པ་ཕུན་སུམ་ཚོགས་གྱུར་ན། །ལོ་ཏོག་ཕུན་སུམ་ཚོགས་པར་འགྱུར། ། ||| [4] “When perfect seeds are sown In perfect fields And enjoy perfect rainfall, A perfect harvest will abound.
གནོད་མེད་ཕུན་སུམ་ཚོགས་གྱུར་ཅིང་། །སྐྱེ་བ་ཕུན་སུམ་ཚོགས་གྱུར་ལ། །རྒྱས་པ་ཕུན་སུམ་ཚོགས་གྱུར་ན། །ལོ་ཏོག་ཕུན་སུམ་ཚོགས་འགྱུར་ལྟར། ། ||| [5] “When perfectly free from damage, When crops grow with perfection And burst forth with perfection, A perfect harvest will abound.
དེ་བཞིན་ཚུལ་ཁྲིམས་ཕུན་ཚོགས་ལ། །ཁ་ཟས་ཕུན་སུམ་ཚོགས་བྱིན་ཞིང་། །ཕུན་སུམ་ཚོགས་ཕྱིར་དེ་བྱས་ན། །ཕུན་སུམ་ཚོགས་པ་འགྲུབ་པར་འགྱུར། ། ||| [6] “So, too, by giving perfect foods To those with perfect discipline, You will accomplish perfection, For your act itself was perfect.
དེ་ཕྱིར་ཕུན་སུམ་ཚོགས་འདོད་ཅིང་། །ཕུན་ཚོགས་དོན་གཉེར་གང་ཟག་གིས། །ཤེས་རབ་ཕུན་ཚོགས་བསྟེན་གྱུར་ན། །དེས་ནི་ཕུན་སུམ་ཚོགས་པ་འགྲུབ། ། ||| [7] “Thus, when people who seek perfection And strive toward perfection Attend to those with perfect wisdom, Perfection is what they accomplish.
དེ་ཕྱིར་བླ་མེད་སངས་རྒྱས་དང་། །ཆོས་དང་དགེ་འདུན་དག་ལ་ནི། །བརྟན་པ་དད་པ་སྐྱེད་བྱེད་པ། །དེ་སེམས་ཕུན་སུམ་ཚོགས་པར་འགྱུར། ། ||| [8] “Thus, those with stable faith In the unsurpassed Buddha And in the Dharma and the Saṅgha Will find perfection of mind.
རིག་དང་ཞབས་སུ་ལྡན་པ་ལ། །ཕུན་སུམ་ཚོགས་པའི་སེམས་ཐོབ་ནས། །དགེ་བའི་ལས་རྣམས་བྱེད་གྱུར་པ། ། ||| [9] “Those with perfect thoughts Toward the one with knowledge and conduct Perform virtuous actions.
དེ་ནི་ཕུན་སུམ་ཚོགས་པའི་ལས། ། ||| This is the perfection of action.
འཇིག་རྟེན་ཡང་དག་བཞིན་ཤེས་ན། །ལྟ་བ་ཕུན་སུམ་ཚོགས་པ་འཐོབ། ། ||| [10] “When one truly knows the world as it is, One attains the perfection of the view.
འཕགས་ཤིང་མཐོང་བ་ཕུན་ཚོགས་ན། །ཡིད་ནི་ཕུན་སུམ་ཚོགས་པར་འགྱུར། ||| When the noble vision is perfectly present, One’s mind becomes perfect too.
དྲི་མ་ཐམས་ཅད་བཅོམ་བྱས་ཤིང་། །མྱ་ངན་འདས་པ་ཕུན་སུམ་ཐོབ། །སྡུག་བསྔལ་ཟད་པར་བྱེད་པ་དེ། །དེ་ཡི་དོན་ནི་ཕུན་སུམ་ཡིན། ། ||| [11] “Those who overcome all stains Attain the perfection of nirvāṇa And extinguish suffering; Their aim is perfectly complete.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡངས་པ་ཅན་གྱི་ཚོང་པ་རབ་ཏུ་མང་པོ་དག་ལ་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་དེ། ||| [12] The Blessed One taught, instructed, encouraged, and delighted the many merchants of Vaiśālī with this Dharma talk.
རྣམ་གྲངས་དུ་མར་ཆོས་ཀྱི་གཏམ་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་ནས་གདན་ལས་བཞེངས་ཏེ་གཤེགས་སོ། ། ||| Having taught, instructed, encouraged, and delighted them with this Dharma talk on various topics, the Blessed One rose from his seat and departed.
མདོ་ཆེན་པོ་རྒྱལ་མཚན་མཆོག་ཅེས་བྱ་བ་རྫོགས་སོ།། །། ||| This concludes the Mahāsūtra “The Crest Insignia.”
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། པྲཛྙཱ་ཝརྨ་དང་། ཞུ་ཆེན་གྱི་ལོཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེ་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།​། ||| Translated, edited, and finalized by the Indian preceptors Jinamitra and Prajñāvarman, the translator-editor Bandé Yeshé Dé, and others.
