༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཨ་ཛཱ་ཏ་ཤ་ཏྲུ་ཀཽ་ཀྲྀཏྟྱ་བི་ནོ་ད་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་མ་སྐྱེས་དགྲའི་འགྱོད་པ་བསལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Eliminating Ajātaśatru’s Remorse
གང་བདག་ཤིན་ཏུ་དགའ་བར་གྱུར་པའི་དངོས་པོ་དེ་དགའ་ཞིང་ཡོངས་སུ་གཏོང་ལ་བྱིན་ནས་ཀྱང་མི་འགྱོད་པ་ཡིན་ཏེ། ||| Anything that they really enjoy, they will joyfully renounce and give away without regret.
དེ་ལྟར་སྤྱོད་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་པར་ནུས་སོ། ། ||| Bodhisattvas who act like this will be able to comprehend omniscience.”
བྱང་ཆུབ་སེམས་དཔའ་རབ་དུ་དགའ་བའི་རྒྱལ་པོས་སྨྲས་པ། གང་གི་ཚེ་ན་སྤྱོས་པ་དང་། བརྒྱད་པ་དང་། སྨད་པ་དང་། བརྙས་པ་དང་། བརྡེགས་པ་དང་། ཚར་བཅད་ན་བྱང་ཆུབ་སེམས་དཔའ་རབ་ཏུ་དགའ་བ་སྐྱེད་ཅིང་གང་ཟག་དེ་ལ་ཡང་དགེ་བའི་བཤེས་གཉེན་དུ་འདུ་ཤེས་སྐྱེད་ལ། ||| The bodhisattva Joyful King said, “When criticized, scolded, blamed, bullied, beaten, or defeated, bodhisattvas should be joyful and regard the person who does so as a spiritual friend.
བཟོད་པར་བྱེད། བཟོད་པའི་མཐུ་སྟོན་ཅིང་རབ་ཏུ་དགའ་བ་སྐྱེས་ནས་སྤྱོ་བར་བྱེད་པ་འདི་སུ། གང་ལ་སྤྱོ་བར་བྱ་ཞེས་དེ་ཆོས་ཉིད་ཀྱི་རྗེས་སུ་འཇུག་པར་བྱེད། ||| Practicing patience and showing the power of patience, they will be joyful.
ནང་གི་སྟོང་པ་ཉིད་ལ་མོས་ཤིང་ཕྱིའི་སྟོང་པ་ཉིད་ལ་ཐེ་ཙོམ་མེད་པས་བདག་ཏུ་ལྟ་བའང་མི་སྐྱེད་ཅིང་བཟོད་ལ། ||| They investigate reality by asking themselves, ‘Who is this person that criticizes, and what is being criticized?’ Being confident in inner emptiness and trusting of outer emptiness, they are patient and refrain from developing the view of self.
རྐང་པ་དང་ལག་པ་ཡོངས་སུ་གཏོང་བ་དང་། ||| Thus they can give away their arms and legs.
མིག་དང་མགོ་ཡོངས་སུ་གཏོང་བ་དང་། ||| They can give away their eyes and head.
ཆུང་མ་དང་། བུ་ཕོ་དང་བུ་མོ་ཡོངས་སུ་གཏོང་བ་དང་། ||| They can give away their wives, sons, and daughters.
རྒྱལ་སྲིད་ཡོངས་སུ་གཏོང་བས་རབ་ཏུ་དགའ་བ་ཡིན། ||| They can give away their kingdom and be joyful about it.
ལུས་དང་སྲོག་ཡོངས་སུ་གཏོང་བས་དགའ་བ་ཡིན་ཏེ། ||| They can give up their body and life and be happy about it.
འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་སྲིད་ཐོབ་པས་དགའ་བ་མ་ཡིན་གྱི། ལེགས་པར་བཤད་པ་ཚིགས་སུ་བཅད་པ་གཅིག་ཐོས་པས་ཤིན་ཏུ་དགའ་བ་ཡིན། ||| For while they would not be happy about gaining the dominion of a universal monarch, they are joyful in hearing a single well-spoken verse.
བརྒྱ་བྱིན་ཐོབ་པས་དགའ་བ་མ་ཡིན་གྱི། གཞན་ཆོས་འཆད་པ་ལ་ཤིན་ཏུ་དགའ་བ་ཡིན། ||| Gaining the status of Śakra would not make them happy, yet they are joyful when explaining the Dharma to others.
ཚངས་པ་ཐོབ་པས་དགའ་བ་མ་ཡིན་གྱི། སེམས་ཅན་གཅིག་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལ་བཞག་ན་རབ་ཏུ་དགའ་བ་ཡིན། ||| Gaining the status of Brahmā would not make them happy, yet they are joyful when they are able to establish even a single being in unsurpassed and perfect awakening.
སྟོང་གསུམ་རིན་པོ་ཆེས་བཀང་བས་དགའ་བ་མ་ཡིན་གྱི། དེ་བཞིན་གཤེགས་པ་མཐོང་བས་རབ་ཏུ་དགའ་བ་ཡིན་ཏེ། ||| The trichiliocosm filled with precious substances would not make them happy, but they are joyful when they behold the Thus-Gone One.
དེ་ནི་གཞར་ཡང་དབང་པོ་ཉམས་པར་མི་འགྱུར་ཞིང་དགའ་བར་གྱུར་ནས་བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་རྣམས་དགའ་ཞིང་མགུ་བའི་སྤྱོད་པ་འདིས་སྒྲུབ་པར་བྱེད་པ་ནི་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་པར་ནུས་སོ། ||| They are happy, as their faculties never decline. Anyone who accomplishes such conduct and who is happy and joyful about the factors of awakening is able to comprehend omniscience.”
།བྱང་ཆུབ་སེམས་དཔའ་མཐའ་ཡས་མཐོང་བས་སྨྲས་པ། སྐྱེས་བུ་དམ་པ་དག་གང་གི་ཚེ་ན་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ཐམས་ཅད་མཐོང་མོད་ཀྱི། བདག་ཏུ་ལྟ་བར་ཡང་མི་ལྟུང་། ||| The bodhisattva Infinite Vision said, “Friends, while indeed a bodhisattva sees all phenomena, they do not fall into the view of self.
སངས་རྒྱས་ཀྱི་ཆོས་ཐམས་ཅད་ཤེས་མོད་ཀྱི། རྣམ་པར་རྟོག་པ་སྤྱོད་པ་ཡང་མ་ཡིན། ||| While indeed they understand all the qualities of buddhahood, they do not indulge in concepts.
སངས་རྒྱས་ཐམས་ཅད་མཐོང་མོད་ཀྱི། གཟུགས་ལ་དམིགས་པའི་འདུ་ཤེས་ཀྱང་མི་སྐྱེད། ||| While indeed they see all the buddhas, they do not generate the notion that they are observing form.
སེམས་ཅན་ཐམས་ཅད་མཐོང་མོད་ཀྱི་སེམས་ཅན་དུ་འདུ་ཤེས་ཀྱང་མི་སྐྱེད། ||| While indeed they see all beings, they do not generate notions about beings.
ལས་ཀྱི་རྣམ་པར་སྨིན་པ་ཡོངས་སུ་དག་པའི་ཕྱིར་ཤའི་མིག་གསལ་བར་གྱུར་པ་ཡིན། ||| Their physical eyes are clear because they have purified the ripening of action.
མངོན་པར་ཤེས་པ་ཐོབ་པས་ལྷའི་མིག་དང་ལྡན་པ་ཡིན། ||| They possess the divine eye because they have gained extraordinary abilities.
ཉོན་མོངས་པ་ཐམས་ཅད་དང་བྲལ་བས་ཤེས་རབ་ཀྱི་མིག་རྟོགས་པར་ཁོང་དུ་ཆུད་པ་ཡིན། ||| They have realized the eye of insight by ridding themselves of all afflictions.
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་སྒྲུབ་པས་སངས་རྒྱས་ཀྱི་སྤྱན་ལ་མོས་པ་ཡིན། ||| They are oriented toward the eye of buddhahood by accomplishing the unique qualities of buddhahood.
སྟོབས་བཅུ་ཡོངས་སུ་རྫོགས་པས་ཆོས་ཀྱི་སྤྱན་སྣང་བ་ཐོབ་པ་ཡིན་ཏེ། ||| They gain the insight of the Dharma eye by perfecting the ten strengths.
རིགས་ཀྱི་བུ་དེ་འདྲ་བའི་ཡེ་ཤེས་མཐོང་བ་ཡོངས་སུ་རྫོགས་པས་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་པར་ནུས་སོ། ||| Noble sons, through the perfection of such wisdom vision, one will be able to comprehend omniscience.”
།བྱང་ཆུབ་སེམས་དཔའ་མཐའ་ཡས་དམིགས་པར་གནས་པས་སྨྲས་པ། བྱང་ཆུབ་ནི་ཐམས་ཅད་དམིགས་པ་སྟེ། ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་སྒྲུབ་པར་འགྱུར་རོ། ||| The bodhisattva Abiding in Limitless Observations said, “In awakening everything is observed, and the wisdom of omniscience is accomplished.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
དམིགས་པ་ཐམས་ཅད་ནི་ནང་ན་ཡང་མི་གནས། ཕྱི་རོལ་ན་ཡང་མི་གནས། དབུས་ན་ཡང་མི་གནས་པར་བརྟག་པར་བྱའོ། ||| Because bodhisattvas investigate the fact that no observations exist internally, externally, or in the middle.
།བྱང་ཆུབ་སེམས་དཔའ་དམིགས་པ་ལ་མི་གནས་པ་ནི་ཉོན་མོངས་པ་ལ་དམིགས་པ་དང་། ལས་ལ་དམིགས་པ་དང་། བདུད་ལ་དམིགས་པས་ཉམས་པར་མི་འགྱུར་ཏེ། ||| A bodhisattva who does not abide in observation will not be harmed by the observation of afflictions, action, or Māra.
ལས་དང་། ཉོན་མོངས་པ་དང་། བདུད་ལ་དམིགས་པ་ལས་འདས་པའི་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| A bodhisattva who transcends the observation of afflictions, action, and Māra comprehends omniscience.”
།བྱང་ཆུབ་སེམས་དཔའ་བདུད་ཀྱི་ལྟ་བ་ཡང་དག་པར་འཇོམས་པས་སྨྲས་པ། རིགས་ཀྱི་བུ་བདག་ཏུ་ལྟ་བ་ནི་བདག་ཏུ་ལྟ་བ་ལས་ལྡང་ཞིང་བྱུང་བ་ཡིན། ||| The bodhisattva Destroyer of the Views of Māra said, “Noble sons, the view of self arises and occurs from the view of self.
བདུད་ཀྱི་ལས་ནི་ལྟ་བ་ལས་ལྡང་ཞིང་བྱུང་བ་སྟེ། ||| The actions of Māra arise and occur from this view.
བདག་ཏུ་ལྟ་བ་ཡོངས་སུ་ཤེས་ན་ལྟ་བ་འབྱུང་བར་མི་བྱེད་དོ། ||| If one understands the view of self, one will not cause such views to occur.
།ལྟ་བ་ཡོངས་སུ་ཤེས་ན་ཕུང་པོ་འབྱུང་བར་མི་བྱེད་དོ། ||| If one understands such views, one will not cause the aggregates to occur.
།ཕུང་པོ་ཡོངས་སུ་ཤེས་ན་བདུད་མི་མཐོང་ངོ་། ||| If one understands the aggregates, one will not see Māra.
།བདུད་ཀྱི་ཡུལ་ལས་འདའ་བར་བྱ་བའི་ཕྱིར་སྒྲིབ་པ་མེད་པའི་རྣམ་པར་ཐར་པ་ལ་རེག་པར་འགྱུར་རོ། ||| One will reach unobscured freedom because one has transcended the domain of Māra.
།བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་མེད་པའི་རྣམ་པར་ཐར་པ་ཐོབ་ན་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| If bodhisattvas achieve unobscured freedom, they will comprehend omniscience.”
།བྱང་ཆུབ་སེམས་དཔའ་མྱ་ངན་མེད་སྦྱིན་གྱིས་སྨྲས་པ། ལས་ཉེས་པ་བྱེད་པ་ནི་ཕྱིས་འགྱོད་པར་འགྱུར། ལས་ལེགས་པར་བྱེད་པ་ནི་ཕྱིས་མྱ་ངན་བྱེད་པར་མི་འགྱུར་རོ། ||| The bodhisattva Aśokadatta said, “Performing faulty actions will later cause one to be remorseful, whereas good actions will not cause one any anguish later.
།དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔས་ལས་ལེགས་པ་བྱེད་པ། ལས་མི་སྨད་པ་བྱེད་པ། ལས་མི་འགྱོད་པ་བྱེད་པ། ལས་ཁ་ན་མ་ཐོ་བ་མེད་པ་བྱེད་པར་བྱའོ། ||| Therefore, bodhisattvas must engage in good actions, irreproachable actions, actions that will not cause remorse, and actions that are not evil.
།སེམས་ཅན་མྱ་ངན་གྱི་ཟུག་རྔུས་ཟུག་པ་རྣམས་ཀྱང་མྱ་ངན་ཞི་བར་བྱ་བ་དང་། ཟུག་རྔུ་དང་བྲལ་བར་བྱ་བའི་ཕྱིར་ཆོས་བཤད་པར་བྱ་སྟེ། ||| They will preach the Dharma in order to quell the misery and end the anguish of suffering beings.
དེ་ལྟར་སྤྱོད་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| Bodhisattvas who act like this will comprehend omniscience.”
།བྱང་ཆུབ་སེམས་དཔའ་དོན་ཐམས་ཅད་གྲུབ་པས་སྨྲས་པ། རིགས་ཀྱི་བུ་དག་སྐྱེས་བུ་གང་ཟག་ཚུལ་ཁྲིམས་དང་ལྡན་པའི་སེམས་ཀྱི་སྨོན་པ་འགྲུབ། སྨོན་ལམ་འགྲུབ་པར་འགྱུར་ལ། ཚུལ་ཁྲིམས་ཀྱི་རྩ་བ་ལ་ཡང་བག་བྱེད་པ་རྟེན། ||| The bodhisattva Sarvārthasiddha said, “Noble sons, people who have a disciplined mind will accomplish their aims and aspirations.
བག་བྱེད་པའི་རྩ་བ་ལ་ཡང་བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་རྣམས་རྟེན། བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་ཀྱི་རྩ་བ་ལ་ཡང་ཐམས་ཅད་མཁྱེན་པ་རྟེན་ཏོ། ||| The factors of awakening rest upon the foundation of carefulness, and omniscience rests upon the foundation of the factors of awakening.
།དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་བག་བྱེད་པ་དང་། བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་ལ་རྟེན་པ་ནི་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| Therefore, a bodhisattva who depends upon carefulness and the factors of awakening will comprehend omniscience.”
།ལྷའི་བུ་ཀུན་ནས་མེ་ཏོག་གིས་སྨྲས་པ། རིགས་ཀྱི་བུ་དག་འདི་ལྟ་སྟེ། དཔེར་ན་ཤིང་མེ་ཏོག་གིས་བརྒྱན་པ་ནི་འགྲོ་བ་མང་པོའི་ཉེ་བར་འཚོ་བ་ཡིན་ནོ། ||| The god Samantakusuma said, “Noble sons, to draw an analogy, a tree adorned by flowers will nourish many beings.
།རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པར་ཐར་པའི་ཆོས་ཀྱི་མེ་ཏོག་རྒྱས་པ་ནི་འགྲོ་བ་མང་པོའི་ཉེ་བར་འཚོ་བ་ཡིན་ནོ། ||| Likewise, noble sons, bodhisattva great beings who open the flower of the Dharma of liberation will nourish many beings.
།རིགས་ཀྱི་བུ་དག་འདི་ལྟ་སྟེ། དཔེར་ན་ལྷ་རྣམས་ཀྱི་ཤིང་པ་རི་ཡ་ཏྲ་ཀ་ཀོ་བ་དི་ར་མེ་ཏོག་རྒྱས་ན་སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷའི་བུ་རྣམས་མངོན་པར་འདུ་བར་འགྱུར་རོ། ||| Noble sons, to draw an analogy, when the flowers on the divine pāriyātrakakovidāra tree bloom, it attracts the gods of the Heaven of the Thirty-Three.
།རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པར་ཐར་པའི་ཆོས་ཀྱི་མེ་ཏོག་རྒྱས་ན་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་མངོན་པར་འདུ་བར་འགྱུར་རོ། ||| Likewise, noble sons, a bodhisattva great being who opens the flower of the Dharma of liberation will attract the world and its gods.
།རིགས་ཀྱི་བུ་དག་འདི་ལྟ་སྟེ། དཔེར་ན་ལྷའི་ནོར་བུ་རིན་པོ་ཆེ་སྐྱོན་ཐམས་ཅད་དང་བྲལ་ལ་ཡོན་ཏན་ཐམས་ཅད་དང་ལྡན་པ་དེ་བཞིན་དུ། ||| Noble sons, to draw an analogy, the precious gem of the gods is free of all imperfections and has all positive attributes.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་བསམ་པ་ཡོངས་སུ་དག་པ་སྐྱོན་ཐམས་ཅད་དང་བྲལ་ལ་ཡོན་ཏན་ཐམས་ཅད་དང་ལྡན་པས་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| Likewise, Noble sons, a bodhisattva with pure thought who is free from all imperfections and has all positive qualities will comprehend omniscience.”
།ལྷའི་བུ་མེ་ཏོག་འོད་ཟེར་ཅན་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། དཔེར་ན་ཉི་མའི་འོད་ཟེར་བཏང་ན་མུན་པ་བསལ་ཅིང་གཟུགས་ཀྱི་རྣམ་པ་ཐམས་ཅད་སྣང་བར་འགྱུར་རོ། ||| The god Luminous Flower said, “Noble sons, to draw an analogy, when the sun shines its light, it eliminates darkness and illuminates all the aspects of form.
།རིགས་ཀྱི་བུ་དག་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཤེས་རབ་ཀྱི་སྣང་བའི་འོད་ཟེར་དང་ལྡན་པ་ཡང་གང་གི་ཚེ་ན་ཆོས་ཀྱི་སྣང་བ་གཏོང་བ་དེའི་ཚེ། མ་རིག་པ་དང་གླེན་པའི་མུན་པས་བསྒྲིབས་པའི་སེམས་ཅན་རྣམས་ལ་སྣང་བ་ཆེན་པོ་བྱེད་ཅིང་ཆོས་ཀྱི་རང་བཞིན་ཡང་སྟོན་ཏེ། ||| Likewise, Noble sons, when bodhisattvas endowed with the light of insight shine the light of Dharma, they profoundly illuminate those beings who are obscured by the darkness of delusion and stupidity, and they reveal the nature of phenomena.
མུན་པས་ནི་སྣང་བ་ཟིལ་གྱིས་ནོན་པར་མི་འགྱུར་གྱི། སྣང་བས་ནི་ལམ་རྟོགས་པར་ནུས་པས་བྱང་ཆུབ་སེམས་དཔའ་ལམ་ལ་གནས་ན་སེམས་ཅན་ལམ་ངན་པར་ཞུགས་པའི་རྣམས་ལ་ཡང་དག་པའི་ལམ་སྟོན་ཏེ། ||| No darkness can overwhelm this light, and this light brings comprehension of the path. Therefore, bodhisattvas abiding on the path can show the correct path to beings who travel bad paths.
བྱང་ཆུབ་སེམས་དཔའ་ལམ་ལ་གནས་ན་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| When bodhisattvas abide on the path, they will comprehend omniscience.”
།ལྷའི་བུ་མེ་ཏོག་མན་དཱ་ར་བའི་དྲིས་སྨྲས་པ། །རིགས་ཀྱི་བུ་དག་འདི་ལྟ་སྟེ་དཔེར་ན། མེ་ཏོག་མན་དཱ་ར་བའི་ཁོ་ར་ཁོར་ཡུག་དཔག་ཚད་གཅིག་ཏུ་དྲིས་ཁྱབ་པར་བྱེད་དེ། དྲི་དེ་ཡང་རྣམ་པར་རྟོག་པ་མེད་དོ། ||| The god Māndārava Scent said, “Noble sons, to draw an analogy, the scent of a māndārava flower pervades the environment for an entire league, yet the scent does not form any concepts.
།རིགས་ཀྱི་བུ་དག་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་གཏོང་བ་དང་། ཚུལ་ཁྲིམས་དང་། ཐོས་པ་དང་། ཏིང་ངེ་འཛིན་དང་། ཤེས་རབ་ལ་གནས་པ་ཡང་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཆོས་ཀྱི་དྲིས་ཁྱབ་པར་བྱེད་དེ། ||| Similarly, Noble sons, a bodhisattva grounded in generosity, discipline, hearing, absorption, and insight fills the trichiliocosm with the scent of the Dharma.
དྲི་དེ་ཡང་ཉོན་མོངས་པའི་ནད་ཐམས་ཅད་སེལ་བར་བྱེད་དོ། ||| This scent eliminates all the illnesses of affliction.
།དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ཀྱི་དྲི་དང་ལྡན་ན་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| Therefore, if a bodhisattva is endowed with the scent of the Dharma, they will comprehend omniscience.”
།ལྷའི་བུ་ཆོས་ལ་གནས་པ་རྟག་ཏུ་བརྩོན་པས་སྨྲས་པ། ||| The god Constantly Striving to Abide by the Dharma said, “Listen, friends!
ཀྱེ་གྲོགས་པོ་དག་བྱང་ཆུབ་སེམས་དཔའ་བརྩོན་པས་བྱང་ཆུབ་པར་འགྱུར་གྱི། ||| Bodhisattvas will awaken through exertion, whereas they will not do so without it.
མི་བརྩོན་པས་ནི་མ་ཡིན་ནོ། །དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་རྟག་པར་བརྩོན་ཞིང་དགེ་བའི་རྩ་བ་ལ་ཆོག་མི་ཤེས་པར་བྱའོ། ||| Therefore, bodhisattvas should constantly exert themselves and never be complacent regarding their roots of virtue.
།དེས་ཆོས་བརྒྱད་ལ་བརྩོན་པར་བྱའོ། ||| They must exert themselves in eight practices.
།བརྒྱད་པོ་གང་ཞེ་ན། ||| What are the eight?
འདི་ལྟ་སྟེ། ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་གི་སྦྱོར་བ་ལ་བརྩོན་པར་བྱ་བ་དང་ཚངས་པའི་གནས་བཞི་བསྒྲུབ་པ་ལ་མངོན་པར་ཤེས་པ་ལྔ་ཤེས་ཤིང་རྟོགས་པར་ཁོང་དུ་ཆུད་པའི་ཡེ་ཤེས་དང་། བསྡུ་བའི་དངོས་པོ་བཞིས་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱེད་པ་སྟེ། བཞི་པོ་གང་ཞེ་ན། སྦྱིན་པ་དང་། ཚིག་འཇམ་པོ་དང་། དོན་སྤྱད་པ་དང་། དོན་མཚུངས་པར་བྱ་བ་དག་དང་། རྣམ་པར་ཐར་པའི་སྒོ་གསུམ་ལ་བཟོད་པ་ཐོབ་པ་དང་། གཞན་སངས་རྒྱས་ཀྱི་ཆོས་ལ་གཞོག་པ་དང་། བདག་བྱང་ཆུབ་ཀྱི་སེམས་མི་གཏོང་བ་དང་། ཐབས་མཁས་པས་སྔོ་བར་བྱེད་པ་དང་། གུས་པར་བྱས་ཤིང་དམ་པའི་ཆོས་ཡོངས་སུ་འཛིན་པ་སྟེ། ཆོས་བརྒྱད་པོ་དེ་དག་ལ་བརྩོན་པའི་བྱང་ཆུབ་སེམས་དཔས་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| They are (1) exertion in the practice of the six perfections; (2) the wisdom that accomplishes the four abodes of Brahmā and knows, realizes, and understands the five extraordinary abilities; (3) ripening beings with the four means of attracting disciples, which are generosity, kind talk, meaningful actions, and practicing what one preaches; (4) gaining acceptance of the three gateways of liberation; (5) establishing others in the qualities of buddhahood; (6) never giving up the mind of awakening; (7) making dedications with skillful means; and (8) being respectful and upholding the sublime Dharma. Bodhisattvas who exert themselves in these eight practices will comprehend omniscience.”
།དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་སྐྱེས་བུ་དམ་པ་དེ་དག་དང་། ལྷའི་བུ་དེ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཀྱེ་གྲོགས་པོ་དག་བྱང་ཆུབ་སེམས་དཔའ་གང་མ་འབྲེལ་པ་དང་། མི་བརྩོན་པ་དེས་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་སོ། ||| Then Mañjuśrī Kumārabhūta addressed these sublime beings and gods, “Listen, friends! Bodhisattvas who do not associate or exert themselves will comprehend omniscience.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ཁམས་གསུམ་དང་ངོ་། ||| That with which they are not associated is the three realms.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་རྟོག་པ་དང་། རྣམ་པར་རྟོག་པ་དང་། ཡོངས་སུ་རྟོག་པ་ཐམས་ཅད་ལའོ། ||| That in which they do not exert themselves is any thought, concept, or idea.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ནང་དང་ངོ་། ||| That with which they do not associate is the inner.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་ཕྱི་ལའོ། ||| That in which they do not exert themselves is the outer.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ཉན་ཐོས་ཀྱི་ས་དང་ངོ་། ||| That with which they do not associate is the level of hearers.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་རང་སངས་རྒྱས་ཀྱི་ས་ལའོ། ||| That in which they do not exert themselves is the level of solitary buddhas.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་འཁོར་བ་ན་སྤྱོད་པའི་ཉོན་མོངས་པ་དང་ཉེ་བའི་ཉོན་མོངས་པ་རྣམས་དང་ངོ་། ||| Those with which they are not associated are the afflictions and subsidiary afflictions experienced in saṃsāra.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་བྱིས་པ་ལྟ་བུ་སོ་སོའི་སྐྱེ་བོའི་ཆོས་ཐམས་ཅད་ལའོ། ||| Those in which they do not exert themselves are all the phenomena of ordinary childish beings.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་མིང་དང་ངོ་། ||| That with which they are not associated is name.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་གཟུགས་ལའོ། ||| That in which they do not exert themselves is form.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་རྒྱུ་དང་ངོ་། ||| That with which they are not associated is cause.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་འབྲས་བུ་ལའོ། ||| That in which they do not exert themselves is effect.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ལྟ་བའི་རྣམ་པ་དང་ངོ་། ||| That with which they are not associated is views.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་ལྟ་བ་དང་བྲལ་བ་ལའོ། ||| That in which they do not exert themselves is the absence of views.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ཆགས་པ་དང་ངོ་། ||| That with which they are not associated is passion.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་ཁོང་ཁྲོ་བ་ལའོ། ||| That in which they do not exert themselves is anger.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ངར་འཛིན་པ་དང་ངོ་། །མི་བརྩོན་ཞེས་བྱ་བ་ནི་བདག་གིར་འཛིན་པ་ལའོ། ||| That with which they are not associated is clinging to I. That in which they do not exert themselves is clinging to mine.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་སེར་སྣ་དང་ངོ་། ||| That with which they are not associated is stinginess.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་སྦྱིན་པའི་སྙེམས་པ་ལའོ། ||| That in which they do not exert themselves is arrogance about generosity.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ངང་ཚུལ་ངན་པ་དང་ངོ་། ||| That with which they are not associated is bad character.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་ཚུལ་ཁྲིམས་སྙེམས་པ་ལའོ། ||| That in which they do not exert themselves is arrogance about discipline.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་གནོད་སེམས་དང་ངོ་། ||| That with which they are not associated is malice.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་བཟོད་པའི་སྙེམས་པ་ལའོ། ||| That in which they do not exert themselves is arrogance about patience.
།མ་འབྲེལ་ཅེས་བྱ་བ་ནི་ལེ་ལོ་དང་ངོ་། ||| That with which they are not associated is laziness.
།མི་བརྩོན་ཞེས་བྱ་བ་ནི་བརྩོན་འགྲུས་སྙེམས་པ་ལའོ། ||| That in which they do not exert themselves is arrogance about diligence.
