༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
ཚོགས་པ་འདི་ནི་རྙེད་པ་ལ། །མཁས་པ་སྐྱོ་བར་མ་མཛད་ཅིག ། ||| If you meet with such a conjunction of circumstances, Learned one, you should not be despondent!
འདི་ནི་མི་མཁས་བྱིས་པ་སྙམ། ། ||| “For that would be the attitude of an unschooled child.
གང་ཕྱིར་རྒྱལ་ཆེན་ཁྱོད་དགོངས་པ། ། ||| What do you think, great king?
རྒྱལ་ཆེན་བྱིས་པ་བདག་མ་ལགས། །མི་དབང་ཁྱོད་ནི་བྱིས་པ་ལགས། ། ||| It is not I, great king, who am the child— It is you, lord of men, who are a child.
འདོད་པའི་དབང་དུ་སོང་ནས་ནི། །གང་གིས་ངན་འགྲོར་འགྲོ་བ་ཡི། །མཚམས་མེད་པ་ནི་ཁྱོད་ཀྱིས་མཛད། །དེ་ནི་བྱིས་པའི་བྱིས་པ་ཉིད། ། ||| “Under the sway of desire, You have committed a heinous crime That will propel you to the lower realms— This is the foolishness of a child!
ཁྱོད་ཀྱིས་སྡིག་པའི་ལས་མཛད་པ། །མཚམས་མེད་འཇིགས་པ་ཆེན་པོ་ལགས། །དེ་ཡིས་ཁྱོད་ནི་མནར་མེད་པ། །མི་བཟད་འཇིགས་པ་ཆེན་པོར་ལྟུང་། ། ||| “The evil deed you committed Is a terrible crime of immediate retribution For which you will plummet into the terrible hells Of unbearable and unceasing torment.
སངས་རྒྱས་ལ་ནི་སེམས་དད་མཛོད། ། ||| “Have faith in the Buddha!
དེས་ནི་ཐར་པ་འཐོབ་འགྱུར་ཞིང་། ། ||| For through it you will attain liberation.
མི་དབང་དེ་ནས་རྐྱེན་རྣམས་ཀྱིས། །ཁྱོད་ཀྱིས་རྫོགས་པའི་བྱང་ཆུབ་འཐོབ། ། ||| Lord of men, such conditions will then lead you To the attainment of perfect awakening.
ཁྱོད་ཀྱིས་སྡིག་པའི་གྲོགས་བསྟེན་པ། །ལྷ་སྦྱིན་གནོད་བྱེད་ཆེན་པོ་ལགས། །དེ་ཡི་རྗེས་སུ་ཕྱོགས་ནས་ནི། ། ||| “You have relied on evil companions; Devadatta is deeply harmful.
ཁྱོད་ཀྱིས་ཡབ་ནི་བཀྲོངས་པར་གྱུར། ། ||| Under his influence You killed your own father.
ཁྱོད་ཀྱི་ཡབ་ནི་ཆོས་སྤྱོད་པ། །སངས་རྒྱས་ཐུགས་ལས་སྐྱེས་པའི་སྲས། ། ||| “Your father practiced the Dharma; He was the Buddha’s heir, his heart son.
ཁྱོད་ཀྱིས་ང་རྒྱལ་དེ་ཡིས་ནི། །མཁས་པ་པོ་ནི་བསད་པར་གྱུར། ། ||| In your arrogance You murdered this wise man.
རྫོགས་སངས་མྱ་ངན་མ་འདས་པར། །ཁྱོད་ཀྱིས་གཟིགས་པར་མི་བགྱི་འམ། །དེ་ཡི་སྐུ་གདུང་རྣམས་ལ་ཡང་། །མཆོད་པ་རྒྱ་ཆེན་དག་ཀྱང་མཛོད། ། ||| “If you cannot see the perfect Buddha Before he passes into nirvāṇa, Then at least make extensive offerings To his sacred remains.
བདག་ནི་ཞིང་འདིར་མཆིས་པ་ཡང་། །འདོད་པའི་ཡོན་ཏན་ཕྱིར་མ་ལགས། །བདག་ནི་སངས་རྒྱས་བལྟར་མཆིས་ཀྱིས། ། ||| “I did not come to this realm For its sense pleasures; I came here to see the Buddha.
རྒྱལ་པོ་ཆེན་པོ་བཟོད་པར་མཛོད། ། ||| Great king, have patience.
ཤཱཀྱ་སེང་གེ་དྲང་སྲོང་ཆེ། །དེ་ནི་དེ་རིང་འདའ་འགྱུར་ཞེས། །སངས་རྒྱས་སེང་གེའི་སྒྲ་དེ་ཡི། །སྤྱན་སྔ་ནས་ནི་བདག་གིས་ཐོས། ། ||| “While in the presence of the Buddha Siṃhanāda, I heard that the lion of the Śākyas, The great sage, Will pass away today.
དེ་ལ་བལྟ་བའི་ཆེད་དུ་བདག །ཞིང་འདིར་མཆིས་པར་གྱུར་པ་ལགས། །རྒྱལ་རིགས་ཉེ་དུའི་ཚོགས་ཀུན་དང་། །ལྷན་ཅིག་འགྲོགས་ཏེ་མཆི་བར་བགྱི། ། ||| “It is in order to see him That I am here in this realm, So let us go, accompanied by All the royal kinsmen and their people.”
དེ་ནས་རྒྱལ་པོ་མ་སྐྱེས་དགྲས་ཁྱེའུ་དེ་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། འདི་ནས་གྱད་ཡུལ་ལམ་རིང་མ་སྨད་པ། །རྐང་པས་བགྲོད་པར་མི་ནུས་ཤིང་རྟས་སོང་། ། ||| King Ajātaśatru then replied to the child in verse: “The road from here to the Malla kingdom is long; One cannot possibly go by foot, only by carriage.
ཁྱེའུ་ཁྱོད་དོ་མོད་སྡོད་པར་གྱིས་ཤིག་དང་། །དཔུང་ཆེན་རྣམས་ཀྱིས་བདེ་བར་འདོང་བར་བྱ། ། ||| Child, you will stay here tonight, And we will travel in comfort with a large army.”
དེ་ནས་ཁྱེའུ་དེས་རྒྱལ་པོ་མ་སྐྱེས་དགྲ་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། མི་དབང་ཁྱོད་ལྟར་བདག་ལ་ལེ་ལོ་མེད། ། ||| The child then replied to King Ajātaśatru: “Lord of men, I am not lazy like you!
བསམ་ཡས་རྫུ་འཕྲུལ་སྟོབས་ནི་བདག་ལ་ཡོད། ། ||| I have inconceivable miraculous powers.
བདག་ནི་འདོད་ན་ཤར་ཕྱོགས་ཞིང་རྣམས་ནི། །དུ་བ་མ་དག་ཏུའང་ཐོགས་མེད་འགྲོ་འགྱུར་ཞིང་། ། ||| If I so wish, I could travel unhindered Throughout the many eastern realms.
བདག་ནི་གང་ནས་འོངས་པའི་འཇིག་རྟེན་ཁམས། །དེ་ཡི་བར་ན་སངས་རྒྱས་ཞིང་མང་གང་། །དེ་ཡང་མཐའ་ཡས་མང་པོ་ཚད་མེད་པས། །གྱད་ཡུལ་ལྟ་ཞིག་ཇི་ལྟར་གྱུར་ཀྱང་རུང་། ། ||| “Between here and the world from which I have come, There are so many buddha fields, Boundless and immeasurable, So reaching the Malla kingdom will be all right!”
དེ་ནས་ཁྱེའུ་དེ་རྒྱལ་པོ་མ་སྐྱེས་དགྲའི་པང་པ་ནས་བབས་ནས་རྐང་པས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ནས་བྱུང་སྟེ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། །གང་ཞིག་སྡིག་མེད་ཉོན་མོངས་ཡོད་མིན་ཞིང་། །སྟོབས་ཆེན་གསུང་མཆོག་མི་དབང་ལྟ་འདོད་པ། ། ||| The boy then jumped down from King Ajātaśatru’s lap and left Rājagṛha on foot, and as he left, he spoke this verse: “Anyone who does no wrong, who is free of affliction And longs to see the mighty one, supreme in speech, the lord of men, Come now, and follow me!
དེ་ནི་ཁོ་བོའི་ཕྱི་བཞིན་དེང་ཤོག་དང་། །ཤཱཀ་ཐུབ་མྱ་ངན་མ་འདས་དེ་མཐོང་འགྱུར། ། ||| We will see Śākyamuni before he passes away!”
ཁྱེའུ་དེ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ནས་བྱུང་མ་ཐག་ཏུ་དེ་ནས་སྐད་ཅིག་དེ་དང་ཐང་ཅིག་དེ་དང་། ཡུད་ཙམ་དེ་ལ་ལྷ་དང་མིར་བཅས་པའི་སྐྱེ་དགུ་ལས་སྲོག་ཆགས་བདུན་ཁྲི་ཉིས་སྟོང་འདུས་པར་གྱུར་ནས། ཁྱེའུ་དེ་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་བའི་ལྷ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་གྱིས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་དུ་བདར་ནས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་ངོ་། །བཅོམ་ལྡན་འདས་སེང་གེའི་གཟིམས་ཁྲི་ལ་སྐུའི་གློ་གཡས་པས་ཕབ་སྟེ་གཟིམས་མ་ཐག་ཏུ་དེ་ནས་སྐད་ཅིག་དེ་དང་། ||| As soon as the child departed the city of Rājagṛha, at that moment, right then, at that very instant, in addition to gods and humans, seventy-two thousand creatures of all kinds gathered around as the child, escorted by an entourage of billions upon billions of gods who pay homage at the feet of the Blessed One, proceeded to where the Blessed One was.
ཐང་ཅིག་དེ་དང་། ཡུད་ཙམ་དེ་ལ་ལྷོ་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་འབུམ་ཕྲག་ལྔ་འདས་པ་ན། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལྟ་མཛེས་རིན་ཆེན་བརྩེགས་ཞེས་བྱ་བའི་སངས་རྒྱས་ཀྱི་ཞིང་འཇིག་རྟེན་གྱི་ཁམས་རིན་པོ་ཆེ་བཀོད་པ་ཞེས་བྱ་བ་ནས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རབ་ཏུ་ཞི་བར་འཇུག་ཅེས་བྱ་བ་ཤི་འཕོས་ནས་སངས་རྒྱས་ཀྱི་ཞིང་འདིའི་འཛམ་བུའི་གླིང་འདི་ཉིད་དུ་མཉན་ཡོད་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོར་ཚོང་དཔོན་སེང་གེ་ལྟ་བུ་ཞེས་བྱ་བའི་ཁྱིམ་དུ་སྐྱེས་སོ། ། ||| As soon as the Blessed One had lain down on his right side upon the lion couch, between a pair of śāla trees, at that moment, right then, at that very instant, five trillion buddha fields away to the south in the world called Ratnavyūha, the buddha field of the thus-gone, worthy, perfect buddha Beautiful Heap of Jewels, a bodhisattva great being called Thoroughly at Peace passed away and was reborn in this buddha field of Jambudvīpa, in the great city of Śrāvastī, in the household of the eminent merchant called Leonine.
དེ་སྐྱེས་མ་ཐག་ཏུ་ཆེད་དུ་བརྗོད་པ་འདི་སྐད་ཆེད་དུ་བརྗོད་དོ། །གང་ཕྱིར་བསྐལ་པ་བྱེ་སྙེད་དུ། །གང་གིས་ཕྱག་ཀྱང་ཡང་ཡང་གཏུབས། ། ||| The moment he was born, he spoke up, and he spoke with purpose: “Over so many eons, Again and again, he severed his limbs.
སྤྱན་དང་རང་གི་ཤ་དག་དང་། །དེ་བཞིན་དབུ་ཡང་བཏང་མཛད་ཅིང་། ། ||| He gave away his own eyes, his own flesh, Even his own head.
སངས་རྒྱས་ཉིད་ནི་བཞེད་པ་ཡིས། ། ||| “In his wish to attain buddhahood, He gave away queens, princes, and princesses.
བསྐལ་པ་སྟོང་ཕྲག་བྱེ་བར་ཡང་། །བཙུན་མོ་སྲས་དང་སྲས་མོ་དང་། །བདོག་པ་ཐམས་ཅད་ཡང་ཡང་བཏང་། ། ||| He gave away all his possessions, again and again, For ten billion eons.
སེམས་ཅན་རྣམས་ནི་དགྲོལ་བའི་ཕྱིར། །བསྐལ་པ་བྱེ་བ་བརྒྱ་མང་དུ། །སྦྱིན་པ་རྒྱ་ཆེན་བཏང་གྱུར་པའི། །སྤྱན་དང་ལྡན་པ་བཞུགས་སམ་ཅི། ། ||| “He who gave so expansively Over so many billions of eons For the sake of liberating beings— Is that seer still here?”
དེ་ནས་ཚོང་དཔོན་སེང་གེ་ལྟ་བུས་ཁྱེའུ་དེ་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། གང་ཕྱིར་སྐྱེས་མ་ཐག་ཏུ་ཡང་། །ཚིག་མཆོག་རྗོད་པར་བྱེད་པ་ཁྱོད། ། ||| The eminent merchant Leonine replied to the child in verse: “How is it you speak such excellent words As soon as you are born?
ལྷ་འམ་འོན་ཏེ་ཀླུ་ཞིག་གམ། ། ||| Are you a god, or else a nāga?
གནོད་སྦྱིན་ཡིན་ནམ་སྲིན་པོ་ཡིན། ། ||| Are you a yakṣa, or a rākṣasa?
ཉེ་དུའི་ཚོགས་ནི་སྐྲག་གྱུར་ཅིང་། །འཇིགས་པས་ཕྱོགས་སུ་རྣམ་པར་རྒྱུག །ཁོ་བོ་སངས་རྒྱས་སྒྲ་ཡིས་ནི། །གཞན་དུ་འབྲོས་པར་མི་བྱེད་ཁྱེའུ། ། ||| “My relatives have taken fright, Running here and there in fear, But, child, the voice of a buddha Does not make me flee.”
དེ་ནས་ཁྱེའུ་དེས་ཚོང་དཔོན་དེ་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། ཁོ་བོ་ལྷ་མིན་ཀླུ་ཡང་མིན། །གནོད་སྦྱིན་མ་ཡིན་སྲིན་པོའང་མིན། ། ||| Then the child said to the merchant: “I am not just a god, nor a nāga, Not just a yakṣa or a rākṣasa.
འཇིག་རྟེན་ཐུན་མོང་ཡིན་པའི་ཕྱིར། ། ||| For they are ordinary worldly beings!
ཅི་འདྲ་ཚོང་དཔོན་མི་ཤེས་སམ། ། ||| Why, merchant, do you not know?
ཁོ་བོ་ལྷ་ཀླུ་གནོད་སྦྱིན་དང་། །མི་འམ་ཅི་དང་ལྟོ་འཕྱེ་ཆེ། །ལྷ་ཡི་ལྷ་ཞེས་བརྟན་པ་ནི། ། ||| “Called ‘god of gods,’ I am god, nāga, yakṣa, Kinnara, and mahoraga!
ཁྱུ་མཆོག་བཞིན་དུ་དམ་ཡང་འཆའ། ། ||| I am bound by my promise, like a bull.”
དེ་ནས་ཚོང་དཔོན་སེང་གེ་ལྟ་བུས་ཁྱེའུ་དེ་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། མཁས་པ་ཁྱོད་ཀྱིས་བསྒྲགས་པ་ཡི། །དེ་འདྲའི་ཚིག་ནི་ཐོས་གྱུར་ནས། །ཐེ་ཚོམ་ལྷག་པར་སྐྱེས་གྱུར་ཅིང་། ། ||| The merchant Leonine then said to the child in verse: “Wise one, I have heard The words you have spoken, But I have doubts about what they mean.
ཁོ་བོ་ལྷག་པར་བསྔགས་སོ་ཁྱེའུ། ། ||| I would speak further of it to you, child.
ཇི་ལྟར་ཁྱོད་ནི་ལྷ་དང་ཀླུ། ། ||| “Tell me, child: How is it you are god and nāga?
ཇི་ལྟར་གནོད་སྦྱིན་མི་འམ་ཅི། ། ||| How are you yakṣa and kinnara?
ཇི་ལྟར་ལྷ་ཡི་ལྷ་ཡིན་པ། །དེ་ནི་ཁྱེའུ་ཁྱོད་ང་ལ་སྨྲོས། ། ||| How are you god of gods?”
དེ་ནས་ཁྱེའུ་དེས་ཚོང་དཔོན་སེང་གེ་ལྟ་བུ་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། ལྷོ་ཡི་ཕྱོགས་ཆ་ལོགས་ན་ནི། །གསུང་བར་མཛད་པའི་བདག་པོ་ནི། །ལྟ་མཛེས་རིན་ཆེན་བརྩེགས་བཞུགས་པ། ། ||| The child replied to the merchant Leonine in verse: “In the south Lives the lord of speech Beautiful Heap of Jewels.
དེ་ནས་ཁོ་བོ་འདིར་འོངས་ཏེ། ། ||| It is from there that I have come.
ཁོ་བོ་ལན་བརྒྱར་བརྒྱ་བྱིན་དང་། །དབང་སྒྱུར་དུ་ཡང་ཁོ་བོ་གྱུར། ། ||| “But a hundred times I have been Śakra; I have reigned.
ཁོ་བོ་ལན་བརྒྱར་ཚངས་པ་དང་། །དེ་བཞིན་འཁོར་ལོས་སྒྱུར་བར་གྱུར། ། ||| A hundred times I have been Brahmā; I have been a universal monarch.
ཁོ་བོས་ཡུན་རིང་བརྗོད་བྱ་ན། །བསྐལ་པའམ་བསྐལ་པ་བྱེ་བར་ཡང་། །ཟད་པར་འགྱུར་བ་ཡོད་མིན་ཏེ། ། ||| “If I had to describe those births in detail, Millions upon millions of eons would pass, And still it would not be over.
མཁས་པ་ཁོ་བོ་འགྲོ་དགོས་སོ། ། ||| And, learned one, I must go.”
ཚོང་དཔོན་འོན་ཀྱང་རེ་ཞིག་རྗེས་སུ་བསྟན་པ་འདི་ལ་ཁྱོད་ཀྱིས་ཀུན་ཏུ་བསྟེན་པར་བྱ། ངེས་པར་བསྟེན་པར་བྱ། ||| “However, great merchant, you should henceforth rely on the following teaching.
གོམས་པར་བྱ་ཞིང་ལན་མང་དུ་བྱའོ། ། ||| Rely on it with confidence and contemplate it many times over.
ཚོང་དཔོན་རྗེས་སུ་བསྟན་པ་དེ་ཡང་གང་ཞེ་ན། ||| Great merchant, what is this teaching?
ཚོང་དཔོན་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལྟ་མཛེས་རིན་ཆེན་བརྩེགས་དེས་འདི་སྐད་ཅེས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆོས་གསུམ་དང་ལྡན་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་ཅིང་། མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ་ཞེས་གསུངས་པ་སྟེ། ||| Great merchant, the blessed, thus-gone, worthy, perfect Buddha Beautiful Heap of Jewels has said, ‘When bodhisattva great beings have three qualities, they will be irreversible on the path to unsurpassed, completely perfect awakening, and they will swiftly awaken to complete, unsurpassed buddhahood.’
གསུམ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| What are the three?
སེམས་མཐའ་ཡས་པའི་རྗེས་སུ་འཇུག་པ་དང་། ཡེ་ཤེས་ཟབ་མོའི་རྗེས་སུ་འཇུག་པ་དང་། སྙིང་པོ་དང་ལྡན་པའི་ཏིང་ངེ་འཛིན་ལ་རྗེས་སུ་སྒོམ་པ་སྟེ། ||| They are being immersed in the limitless mind, being immersed in profound wisdom, and cultivating the sāravatī absorption.
ཚོང་དཔོན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆོས་གསུམ་པོ་དེ་དག་དང་ལྡན་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་ཅིང་། མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| Eminent merchant, if bodhisattva great beings have these three qualities, they will be irreversible on the path to unsurpassed, completely perfect awakening and they will swiftly awaken to unsurpassed, completely perfect awakening.”
དེ་ནས་ཁྱེའུ་དེས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། །ཡེ་ཤེས་ཟབ་མོ་རྟོགས་དཀའ་དེ་ལ་ནི། །གང་དག་རྒྱུ་དང་རྒྱུ་མེད་ཀུན་མཁྱེན་པའི། །སངས་རྒྱས་གྲགས་ཆེན་རྣམ་དག་མ་གཏོགས་པ། །ལྷར་བཅས་སྐྱེ་དགུ་འདི་དག་སོམ་ཉི་བྱེད། ། ||| Then the child spoke these verses: “Apart from pure illustrious buddhas, Who understand all things caused and uncaused, The profound wisdom, so difficult to realize, Creates doubt for all types of beings, including gods.
བྱང་ཆུབ་གནས་མིན་གང་ཡིན་དེ་མེད་དེ། ། ||| “Since awakening is groundless, all there is is not.
ཡང་དག་ཡེ་ཤེས་གང་ལའང་ཆགས་པ་མེད། ། ||| Genuine wisdom is beyond attachment.
ཆགས་པ་རྣམ་སྤངས་ཟུག་རྔུ་བྲལ་གྱུར་པའི། །ཡེ་ཤེས་རྣམ་པར་བསྒོམས་ན་སངས་རྒྱས་འགྱུར། ། ||| It is by becoming familiar with the wisdom that has abandoned all forms of attachment And is devoid of pain that one becomes a buddha.
མཐའ་ཡས་སེམས་ལ་སེམས་ཡོད་མ་ཡིན་པར། །སེམས་ལ་འཇུག་པ་རབ་ཏུ་ཞི་བར་གསུངས། ། ||| “In the limitless mind, the mind does not exist; To be immersed in such a mind is complete peace.
སེམས་འདི་ཐམས་ཅད་དག་ལས་ལོག་གྱུར་པའི། །རྗེས་སུ་རབ་ཏུ་འཇུག་པས་སེམས་ཞེས་བྱ། ||| This mind is called mind because even when turned away from all things, It remains thoroughly immersed in them.
གཅད་ཅིང་གཅག་རུང་གང་ཡིན་དེ་མི་སྲ། ། ||| “That which can be cut or broken does not endure.
བདེ་གཤེགས་གསུངས་པའི་ཆོས་རྣམས་མི་ཕྱེད་ཅིང་། །དངོས་པོ་ཐམས་ཅད་ནམ་མཁའི་དངོས་འདྲ་བའི། །ཏིང་འཛིན་འདི་ནི་རྡོ་རྗེའི་རང་བཞིན་ཡིན། ། ||| This absorption, indivisible from the qualities taught by the well-gone ones, In which all entities are like the vault of the sky, Is indestructible.
གང་གིས་དེ་འདྲར་རང་བཞིན་སྟོང་ཤེས་ནས། །དངོས་པོ་ཀུན་ལ་མི་གནས་སྒོམ་བྱེད་པ། །དེ་ནི་ཉོན་མོངས་དྲ་བ་ཀུན་སྤངས་ཤིང་། །སྲིད་པའི་འདོད་ཆགས་བཅོམ་པའི་སངས་རྒྱས་འགྱུར། ། ||| “Those who meditate on the ephemerality of all entities, Understanding their empty nature in this way, Will loosen the web of afflictions And become buddhas who have conquered worldly desire.
ཐམས་ཅད་ཤེས་ཀྱང་རྣམ་ཤེས་ཡོད་མིན་ཞིང་། ། ||| “Everything is understood, yet there is no understanding.
ཐམས་ཅད་སྒོམ་ཡང་རྣམ་སྒོམ་ཡོད་མིན་ལ། ། ||| Everything is cultivated, yet there is no cultivation.
ཐམས་ཅད་རྟོགས་ཀྱང་རྟོགས་པ་ཡོད་མིན་ཞིང་། ། ||| Everything is realized, yet there is no realization.
ཐམས་ཅད་བརྗོད་ཀྱང་གང་ལའང་མི་གནས་ལ། ། ||| Everything is explained, yet there is nothing there at all.
ཟབ་ཆོས་ཆོས་ཀྱི་འདུ་ཤེས་ཡོད་མིན་ཞིང་། ། ||| “The profound Dharma lacks any notion of Dharma.
སེམས་ཅན་འགྲོལ་ཡང་སེམས་ཅན་འདུ་ཤེས་མེད། ། ||| Though beings are liberated, there is no notion of beings.
ཞི་དབེན་ཞི་བའི་འདུ་ཤེས་ཡོད་མིན་ཞིང་། ། ||| In peaceful disengagement, there is no notion of peace.
བྱང་ཆུབ་རྟོགས་ཀྱང་བྱང་ཆུབ་འདུ་ཤེས་མེད། ། ||| Though awakening is realized, there is no notion of awakening.
དཔའ་བརྟུལ་ལྟ་བའི་ཟུག་རྔུ་སྤངས་པ་དེ། །བསྟེན་དཀའ་འགྲོ་བ་ཀུན་ལས་འདས་གྱུར་ཅིང་། ། ||| “The courageous who abandon the thorns of views Surpass all unreliable beings.
སེམས་ཅན་ཀུན་གྱི་འཆི་འཕོ་འགྲོ་དང་ཀུན། །རབ་ཏུ་ཤེས་ཤིང་རབ་བྱུང་སངས་རྒྱས་འགྱུར། ། ||| They understand the entire process of death and rebirth, And by renouncing it they reach buddhahood.”
ཁྱེའུ་དེས་ཚིགས་སུ་བཅད་པ་དེ་དག་སྨྲས་མ་ཐག་ཏུ་དེ་ནས་སྐད་ཅིག་དེ་དང་ཐང་ཅིག་དེ་དང་། ཡུད་ཙམ་དེ་ལ་ཚོང་དཔོན་སེང་གེ་ལྟ་བུ་རང་གི་འཁོར་གྱིས་ཡོངས་སུ་བསྐོར་བ་དང་། སྲོག་ཆགས་ཉིས་སྟོང་གིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ཅིང་སེམས་ཡོངས་སུ་བསྔོས་ནས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ། ||| As soon as the child had spoken these verses, right then, at that very instant, the eminent merchant Leonine, his entire entourage, and two thousand other beings developed the mind set on unsurpassed, completely perfect awakening, and with their minds thus fully committed, they reached the acceptance of the unborn nature of phenomena.
ལྷ་བྱེ་བ་ཕྲག་བརྒྱད་ཀྱིས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ཅིང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་ཉིད་དུ་ངེས་པར་གྱུར་ཏོ། ། ||| Eighty million gods also generated the mind set on unsurpassed, completely perfect awakening and became certain of irreversibility on the path to unsurpassed, completely perfect awakening.
སྲོག་ཆགས་ཁྲག་ཁྲིག་འབུམ་ཕྲག་བཞི་ནི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་རྣམ་པར་དག་གོ། ། ||| And forty quadrillion living beings were able to see phenomena with Dharma eyes, free of dust, pure, undefiled, and immaculate.
དེ་ནས་ཁྱེའུ་དེས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། །ཤཱཀྱ་སེང་གེའི་སྤྱན་སྔ་འདིར། །ཁོ་བོ་འོངས་པ་དེ་དོན་ཡིན། །སྲོག་ཆགས་ཁྲག་ཁྲིག་འཁོར་བ་ཡི། །འཇིགས་པ་ཆེ་ལས་ཐར་གྱུར་ཅིང་། ། ||| The child then spoke these verses: “The reason I came here Was to enter the presence of the lion of the Śākyas, Who has freed millions upon millions of beings From the terrors of saṃsāra.
སྲོག་ཆགས་བྱེ་བ་མང་པོ་རྣམས། །བླ་ན་མེད་པའི་བྱང་ཆུབ་ཏུ། །སེམས་བསྐྱེད་པ་ཡང་སྐྱེས་གྱུར་ཏེ། །བཟོད་པ་ལ་ཡང་རབ་ཏུ་བཀོད། ། ||| “Many millions among them, With the mind set on unsurpassed awakening, A re now well established At the level of acceptance.
བདག་གི་ཕ་མ་ཕུ་ནུ་དང་། །ཉེ་དུ་རྣམས་ཀྱང་བཟོད་ལག་ན་གནས། །བྱེ་བ་ཕྲག་བརྒྱད་ལྷ་རྣམས་ནི། །ཐམས་ཅད་བྱང་ཆུབ་རབ་ཏུ་ཞུགས། ། ||| “My own parents, siblings, and relatives Are also settled in acceptance, And all eighty million gods Have embarked upon awakening.
དཔག་མེད་བསམ་གྱིས་མི་ཁྱབ་པའི། །ནོར་གྱི་ཕུང་པོ་ཆེ་རྙེད་པས། །བདག་ནི་སངས་རྒྱས་ཆོས་རྣམས་ཀྱིས། །དབུལ་བ་ཐག་རིང་ཟད་པར་གྱུར། །དེ་ནས་ཁྱེའུ་རབ་ཏུ་ཞི་བར་གནས་ཀྱིས་ཕ་མ་དང་ཕུ་ནུ་དང་། ||| “In the teachings of the Buddha, I have found a great heap of precious jewels Inestimable and beyond imagination, So I am far from want.”
