འཕགས་པ་སངས་རྒྱས་མི་སྤང་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Not Forsaking the Buddha
གང་ལས་བརྟེན་ཏེ་བྱང་ཆུབ་སེམས་དཔའི་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེས་པ་དེ་ལས་བརྟེན་ནས་དེ་ནི་ཉོན་མོངས་པ་རྣམས་ཀྱི་འདོད་པའི་ལོངས་སྤྱོད་ལ་གནས་པར་བརྗོད་པར་མི་བྱ། ||| Since that takes place on the basis of the bodhisattvas’ arousing of the mind of awakening, one should not say that bodhisattvas are afflicted beings who indulge in pleasures.
དེ་ནི་ནམ་དུ་ཡང་ཚངས་པར་སྤྱོད་པ་ལ་མི་གནས་པར་བརྗོད་པར་མི་བྱ། ||| One should not say that they ever fail to observe pure conduct.
དེ་ནི་གཟུགས་མེད་པའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་ཀྱང་གཟུགས་མེད་པར་ཉེ་བར་འགྲོ་བར་བརྗོད་པར་མི་བྱའོ། ། ||| Although they are absorbed in the formless absorptions one should not say that they enter the formless states.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ཉོན་མོངས་པའི་དབང་གིས་མི་སྐྱེ་སྟེ། བྱང་ཆུབ་སེམས་དཔའ་ནི་སྨོན་ལམ་གྱི་དབང་གིས་སྐྱེ་བའི་ཕྱིར་རོ། ། ||| Because bodhisattvas do not take rebirth under the sway of afflictions; rather, bodhisattvas take rebirth through the power of aspirations.
དེ་ནི་བྱིས་པའི་སྤྱོད་པ་ཐམས་ཅད་ལས་གྲོལ་བའོ། ། ||| They are beyond all childish behavior.
གང་བྱང་ཆུབ་སེམས་དཔའི་ཉོན་མོངས་པ་རྣམས་སྟོན་པར་འདོད་པ་དེས་ནི་ནམ་མཁའི་ཁམས་ཀྱི་གཟུགས་བསྟན་པར་འདོད་དུ་ཟད་དོ། ། ||| If you wanted to point out the afflictions of a bodhisattva, it would be no different from wanting to point out the physical form of space.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ་དཔེར་ན། ||| “Noble son, as an analogy,
ཀླུ་ཐམས་ཅད་ཀླུ་ཉིད་དུ་སྤྱིར་སོང་བ་ཡིན་པས་ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པ་ནི་ཀླུའི་བགྲང་བར་ཡང་འགྲོ་ལ་ཀླུའི་ཉེས་པ་གསུམ་གྱིས་ཀྱང་གོས་པར་མི་འགྱུར་རོ། ། ||| as the chief of all nāgas, the nāga king Anavatapta is counted as one of the nāgas. Nevertheless, he is not afflicted by the three troubles of nāgas.
གསུམ་གང་ཞེ་ན། ||| What are the three ways in which he is not afflicted?
མགོ་ལ་བྱེ་ཚན་མི་འབབ་པ་དང་། སྐྱོ་བ་པོའི་ལུས་དང་ལྷན་ཅིག་ཏུ་ཀུན་དུ་མི་གནས་པ་དང་། དེ་ལ་ནམ་མཁའ་ལྡིང་གི་འཇིགས་པ་མི་འབྱུང་བ་སྟེ། ||| Hot sand does not fall on his head, he is never infested with vermin, and he is not subject to the terror of garuḍas.
རིགས་ཀྱི་བུ་ཀླུའི་སྐྱོན་གསུམ་པོ་དེ་དག་གིས་གོས་པར་མི་འགྱུར་རོ། ། ||| Noble son, these three troubles of the nāgas do not afflict Anavatapta.
རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩེད་མོ་དང་། དགའ་བ་ཐམས་ཅད་ཉམས་སུ་མྱོང་བར་བྱེད་ཀྱང་སྲིད་པ་གསུམ་དུ་འདོད་པ་དང་། ཉོན་མོངས་པ་དང་། སྡུག་བསྔལ་རྣམས་ཀྱིས་ཟིལ་གྱིས་མི་ནོན་པར་བརྗོད་པར་བྱའོ། ། ||| Noble son, in the same way, even though bodhisattva great beings may engage in frolicking and all manner of joys, it must be said that they are not overcome by the desire, affliction, or suffering within the three existences.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ་དཔེར་ན། ||| “Noble son, as another analogy,
སེམས་ཅན་གྱི་རིས་ཉ་བ་ཞེས་བྱ་བ་ཡོད་དེ། དེ་ནི་ཆུ་ལ་སྤྱོད་ཆུ་ལ་བལྟ་ཡང་དེར་འཆི་བའི་དུས་བྱེད་པར་མི་འགྱུར་རོ། ། ||| there is a type of animal known as fisher that moves about in the water and looks into the water but does not die there.
རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཁོར་བ་ན་སྤྱོད་ཀྱང་དེ་ཉིད་དུ་བྱིས་པའི་སྤྱོད་པ་ལ་གནས་ནས་ཡེ་ཤེས་ཀྱི་སྤྱོད་པ་ཚོལ་ལོ། ། ||| Noble son, likewise, bodhisattva great beings may move about in cyclic existence, but while engaging in the conduct of childish beings, they in fact pursue the conduct of wisdom.
ཆོས་ཡང་དག་པར་བླངས་པས་ཀྱང་རྨོངས་པར་མི་འགྱུར་རོ། ། ||| Having taken up the Dharma, they do not become confused.
བྱིས་པ་དང་ལྷན་ཅིག་ཏུ་གནས་པས་སྲིད་པ་གསུམ་གྱི་སྡུག་བསྔལ་ཉམས་སུ་མྱོང་བར་ཡང་མི་འགྱུར་རོ། ། ||| They live alongside childish beings, but they do not experience the sufferings of the three existences.
དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་བདག་བསྲུང་བར་བྱའོ། ། ||| Therefore, bodhisattva great beings will protect themselves.”
དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then spoke the following verses:
བདེ་བར་གཤེགས་པ་གང་ཞིག་མཆོད་བྱ་དང་། །དེ་ལ་གང་ཞིག་ཕྱག་ཀྱང་འཚལ་འདོད་པ། །དེས་འདིར་བདེ་གཤེགས་སྲས་རྣམས་མཆོད་པར་བྱ། ། ||| “If someone wishes to worship the Well-Gone One And pay homage to him, They should worship the Well-Gone One’s offspring here.
འདི་ནི་རྒྱལ་བ་རྣམས་ལ་མཆོད་པ་མཆོག ། ||| This is the supreme act of worshiping the victors.
ང་ཡི་གོས་དང་ལྷུང་བཟེད་གདིང་བ་དང་། །མལ་ཆ་དང་ནི་འཆག་ས་གང་ཡིན་པ། །གང་དག་བྱང་ཆུབ་དོན་དུ་བརྩོན་བྱེད་པ། །དེ་དག་ལ་ནི་ང་ཡིས་གནང་བ་ཡིན། ། ||| “All my clothes, my alms bowl, sitting mat, Bedding, and walkway— I give all of them To those striving for awakening.
འདི་ལྟར་མི་མཆོག་སངས་རྒྱས་ཐམས་ཅད་ཀྱང་། །དེ་ལས་ངེས་པར་ཤིན་ཏུ་བྱུང་བའི་ཕྱིར། ། ||| “All the buddhas, those supreme humans, Have surely arisen from such beings.
སངས་རྒྱས་རྣམས་ལ་ཇི་ལྟར་མཆོད་བྱ་བ། །དེ་བཞིན་དེ་དག་ལ་ཡང་མཆོད་པར་བྱ། ། ||| So worship them in the very same way As you would worship the buddhas.
དེ་དང་དེ་དག་མགོན་དང་མཁས་པ་སྟེ། །ལོང་བ་རྣམས་ལ་མིག་ཀྱང་སྦྱིན་པར་བྱེད། ། ||| “These are the guardians and adepts; They give sight to those who are blind.
ལམ་ལ་རྨོངས་པ་རྣམས་ཀྱི་སྟོན་པ་སྟེ། །འཆི་བ་མེད་པའི་ཕྱོགས་སུ་འདྲེན་པ་ཡིན། ། ||| They show the path to those who are lost And guide them to the deathless state.
གལ་ཏེ་སེམས་ཅན་རྣམས་ཀྱིས་དེ་དག་ལ། །རྟག་ཏུ་དགའ་བས་ལོངས་སྤྱོད་ཀུན་བྱིན་ཡང་། ། ||| “Even if beings were to joyfully give them All types of wealth in a constant stream,
དེ་དག་རྣམས་ཀྱི་དང་པོའི་སེམས་བརྟེན་པ། །དེ་ལའང་ལན་གླན་བྱས་པར་མི་འགྱུར་རོ། ། ||| That would not be enough to match Their beginning to rely on the mind of awakening.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བག་ཚ་བ་མེད་པར་གནས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Undaunted then addressed the Blessed One:
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་གི་ལས་ཀྱི་སྒྲིབ་པ་དེ་གང་གིས་རྣམ་པར་དག་པར་འགྱུར་བའི་རྣམ་གྲངས་འགའ་ཞིག་མཆིས་ལགས་སམ། ||| “Blessed One, is there an instruction through which these bodhisattvas can purify their karmic obscuration?”
བཀའ་སྩལ་པ། ཡོད་དེ། ||| The Blessed One replied, “Yes, there is.
བག་ཚ་བ་མེད་པར་གནས་པ་གལ་ཏེ། རིགས་ཀྱི་བུ་དེ་དག་རབ་ཏུ་བྱུང་ནས་གཟུངས་སྔགས་ཀྱི་གཞི་འདི་དག་ཟློས་པར་བྱེད་ནའོ། ། ||| Undaunted, these noble sons should go forth as monks and recite these dhāraṇī mantra words:
སྱཱད་ཡ་ཐེ་དན། ཨཙྪ། ཨཙྪ་བ་ཏི། ཨ་ནཱ་བི་ལེ། ཨ་ཀླེ་ཥེ། ཨ་ཀྲྀ་ཏེ། ཨ་ནཱ་ཡཱུ་ཧེ། ཨ་བེ། ཨ་པ་ར་ཛི་ཏེ། བྷ་བ་ཏུ། ཨཾ་ག་མ། ཡུ་ཏཱ་ཛྙཱ་བ། པྲ་ཀྵི་པེ། ནི་རྒ་ཏེ། ཨུ་གྲ་ཧེ། ཧུ་ཧུ་མེ། ཙ་བ་ལེ། ས་དེ། ས་མེ། ས་མ་དེ། ཡོ་ཏི། ན་ཡོ། པ་རི་ཤོ་དྷི། ||| syād yathedam: accha acchavati anāvile akleśe akṛte anāyūhe ave aparajite bhavatu aṅgama yutājñāva prakṣipe nirgate ugrahe huhume cavale sade same samade yoti nayo pariśodhi.
རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དེ་དག་གིས་གཟུངས་སྔགས་ཀྱི་གཞི་འདི་དག་བཟླས་ལ། ||| “Noble sons or daughters should recite these dhāraṇī mantra words.
ཞག་བདུན་དུ་འཛིན་པ་མེད་པ་དང་། འཇོག་པ་མེད་པ་དང་། གཟུགས་མེད་པ་དང་། རྣམ་པར་རྟོག་པ་མེད་པ་དང་། རབ་ཏུ་དང་བ་མེད་པ་དང་། ཡུན་རིང་དུ་འགྲོ་བ་མེད་པ་དང་། བྱེད་པ་མེད་པ་དང་། གོས་པ་མེད་པ་དང་། མཉམ་པའི་སེམས་དང་བྲལ་བ་དང་། ཕུང་པོ་ལྔ་དང་བྲལ་བ་དང་། མི་བཟོད་པ་མེད་པའི་ཚུལ་གྱིས་སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་ཏིང་ངེ་འཛིན་བསྒོམ་པར་བྱ་དགོས་ཏེ ||| For seven days they should train in the absorption of recalling the buddhas in a way that is free from grasping, free from settling, free from form, free from concepts, free from sensory experience, free from diversion, free from action, free from contamination, free from indifference, free from the five aggregates, and free from impatience.
དེ་ནི་དེ་དག་ཕྱོགས་བཅུའི་སངས་རྒྱས་སྟོང་གི་ཞལ་མཐོང་བར་བྱེད་པ་དང་། ཉེས་པ་འཆགས་སུ་འཇུག་པར་བྱེད་པའོ། ། ||| If they do that, they will encounter a thousand buddhas in the ten directions, and they will be compelled to confess their faults.”
དེ་ནས་རིགས་ཀྱི་བུ་དེ་དག་གིས་རབ་ཏུ་བྱུང་སྟེ། གསང་སྔགས་ཀྱི་གཞི་འདི་དག་བཟླས་ནས་ ||| Accordingly, these noble sons went forth as monks and recited those secret mantra words.
ཞག་བདུན་དུ་བརྩོན་པར་འཛིན་པ་མེད་པ་ལ་སོགས་པས་སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་ཏིང་ངེ་འཛིན་བསྒོམས་ཏེ། ||| For seven days, free from grasping and the rest, they exerted themselves by training in the absorption of recalling the buddhas.
སངས་རྒྱས་སྟོང་ཡང་མཐོང་ངོ་། །ལས་ཀྱི་སྒྲིབ་པ་དེ་ཡང་བཤགས་སོ། ། ||| Thereby they came to see the thousand buddhas and confessed their karmic obscuration.
དེ་ཉིད་ཀྱི་ཚེ་ཐམས་ཅད་སྒྲུབ་པའི་ཡེ་ཤེས་ཀྱི་སྒོ་ཞེས་བྱ་བའི་གཟུངས་ཀྱང་ཐོབ་བོ། ། ||| At that very point, these noble sons attained the dhāraṇī called gateway to the wisdom that accomplishes all.
འཁོར་བ་ལས་བསྐལ་པ་སུམ་ཅུ་ཡང་ཕྱིར་བསྙིལ་ལོ། །བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཀྱང་ཕྱིར་མི་ལྡོག་པར་གྱུར་ཏོ། ། ||| They reduced their time in cyclic existence by thirty eons, and were established in irreversible progress toward unexcelled and perfect awakening.
བག་ཚ་བ་མེད་པར་གནས་པ་དེ་ལ་གང་རྒྱལ་པོ་ཟླ་བས་བྱིན་ཞེས་བྱ་བ་གང་གིས་ཆོས་སྨྲ་བ་དེ་ལ་མཆོད་པ་བྱས་པར་གྱུར་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཚེ་དཔག་ཏུ་མེད་པ་ཡིན་ཏེ ||| “Undaunted, the king Candradatta, who had worshiped that Dharma teacher, is now the thus-gone, worthy, and perfect buddha Amitāyus.
དེའི་ཚེ་དེའི་དུས་ན་རྒྱལ་པོ་ཟླ་བས་བྱིན་པར་གྱུར་ཏོ། ། ||| At that time, he was the king Candradatta.
གང་སྤོབས་པ་བརྩེགས་པ་ཞེས་བྱ་བ་ཆོས་སྨྲ་བ་བྱུང་བ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མི་འཁྲུགས་པ་ཡིན་ཏེ། ||| The Dharma teacher Pratibhānakūṭa is now the thus-gone, worthy, and perfect buddha Akṣobhya.
དེའི་ཚེ་དེའི་དུས་ན་ཆོས་སྨྲ་བ་སྤོབས་པ་བརྩེགས་པ་ཞེས་བྱ་བར་གྱུར་ཏོ། ། ||| At that time, he was the Dharma teacher Pratibhānakūṭa.
གང་དག་ཁྱིམ་པ་ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུའི་གཞོན་ནུར་གྱུར་པ་བཅུ་པོ་དེ་དག་ནི་རིགས་ཀྱི་བུ་འདི་དག་ཡིན་ཏེ། ||| The ten sons of householders like great śāla trees are now these noble sons.
དེའི་ཚེ་དེའི་དུས་ན་གང་དག་གིས་ཆོས་སྨྲ་བ་སྤོབས་པ་བརྩེགས་པ་དེ་ལ་འཆལ་པའི་ཚུལ་ཁྲིམས་ཀྱིས་གླེངས་པ་སྟེ། ཁྱིམ་བདག་ཤིང་སཱ་ལ་ཆེན་པོ་ལྟ་བུའི་གཞོན་ནུ་བཅུ་པོར་གྱུར་ཏོ། ། ||| At that time, they were the ten sons of householders like great śāla trees who accused the Dharma teacher Pratibhānakūṭa of having flawed discipline.
རིགས་ཀྱི་བུ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་ཇི་ལྟར་གནས་པས་གནས་ཀྱང་རུང་སྟེ། བྱང་ཆུབ་སེམས་དཔས་སྲོག་གི་ཕྱིར་ཡང་འཁྲུལ་པ་ལ་ལྟ་བར་མི་བྱའོ། ། ||| “Therefore, noble son, no matter how bodhisattvas may be living, do not view them as mistaken, even at the cost of your life.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why not?
རིགས་ཀྱི་བུ་ཆོས་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བྱང་ཆུབ་ཡོངས་སུ་སྦྱོང་བར་བྱེད་པའི་ཕྱིར་རོ། ། ||| Because, noble son, there are four qualities that purify the awakening of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are those four qualities?
སྟོང་པ་ཉིད་སྒོམ་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་ཞེ་འགྲས་པ་མེད་པའི་སེམས་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ལ་རྟག་ཏུ་ཕན་པ་ཉེ་བར་སྒྲུབ་པ་དང་། ཟང་ཟིང་མེད་པའི་སེམས་ཀྱིས་ཆོས་སྦྱིན་པ་ཡང་དག་པར་བསྟན་པ་སྟེ། ||| Training in emptiness, being free of animosity toward anyone, always gathering what is beneficial for bodhisattvas, and authentically manifesting the gift of the Dharma without having thoughts of material gain.
རིགས་ཀྱི་བུ་ཆོས་བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱིས་བྱང་ཆུབ་ཡོངས་སུ་སྦྱོང་བར་བྱེད་པའོ། ། ||| Noble son, these four qualities purify the awakening of bodhisattva great beings.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དོན་དེ་ཉིད་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One then expressed these same points in the following verses:
རྒྱལ་བས་གང་གིས་དེ་དག་རྣམ་དག་པ། །སྟོང་ལ་མོས་པ་ལམ་གྱི་དང་པོར་གསུངས། ། ||| “The victors have taught that interest in emptiness Is the first path by which bodhisattvas are purified.
དེ་ལ་རྟག་ཏུ་བག་ཡོད་གང་གནས་པ། །དེ་ནི་སངས་རྒྱས་ཐོབ་ནས་འཇིག་རྟེན་སྣང་། ། ||| Those who remain constantly heedful of this Will attain awakening and illuminate the world.
སེམས་ཅན་ཀུན་ལ་རྟག་ཏུ་དང་བ་དང་། ། ||| “Always being sincere toward all beings,
གང་ལའང་ཀྭ་ཞེས་རྗོད་པར་མི་འདོད་ཅིང་། ། ||| Never wishing to speak down to anyone,
ང་རྒྱལ་སྤངས་ནས་སྐྱེ་བོ་རྣམས་ལ་བཟོད། ། ||| And relinquishing pride and being patient with others—
འདི་ནི་སྦྱོང་བར་བྱེད་པའི་ལམ་གཉིས་པའོ། ། ||| This is the second path of purification.
སྡུག་པའི་དངོས་པོ་དྲི་མེད་གང་ཅིའང་རུང་། ། ||| “To give all pleasing and untainted objects
བྱང་ཆུབ་མཆོག་བརྩོན་རྣམས་ལ་དེ་སྦྱིན་ཞིང་། །དེ་དག་ལས་ནི་ལན་འདོད་མི་བྱ་སྟེ། ། ||| To those who strive for supreme awakening, Without wishing for anything in return—
བྱང་ཆུབ་རབ་མཆོག་གི་ནི་ལམ་གསུམ་པའོ། ། ||| This is the third path to supreme awakening.
སྙིང་རྗེ་ཅན་གྱིས་ངེས་པར་སྐྱེ་བོ་ལ། །ཟང་ཟིང་མེད་པར་རྟག་ཏུ་ཆོས་སྦྱིན་ཞིང་། །ལྷག་པའི་བསམ་པ་ཡིས་ནི་སྙིང་བརྩེ་བ། ། ||| “When a compassionate person gives the Dharma Constantly and correctly to others without hopes of material gain, And keeps a loving heart with pure intention—
དེ་བཞིན་མཁས་པས་སྤྱོད་པའི་ལམ་བཞི་པའོ། ། ||| This is the fourth path of purification by the learned.
རིགས་ཀྱི་བུ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གཟུངས་ལ་སྦྱོར་བར་བྱས་པས་ནི་དགོན་པ་ལ་བསྟེན་པར་བྱ། ||| “Noble son, furthermore, bodhisattva great beings who apply themselves to dhāraṇī should stay in an isolated place.
ཆོས་ཉན་དུ་འགྲོ་བར་བྱ། ||| They should go to listen to the Dharma.
གོས་གཙང་མ་དག་བཅང་བར་བྱ། ||| They should wear clean clothes.
གཅིག་པུ་གནས་པར་བྱ། ||| They should stay on their own.
སྤྱོད་ལམ་བཞིས་གནས་པར་བྱ། ||| They should observe the four types of conduct.
ཆོས་སྨྲ་བ་རྣམས་ལ་སྣ་ཚོགས་སྦྱིན་པ་བསྒྲུབ་པའི་བསམ་པ་ལ་སྦྱོར་བ་དང་མོས་པར་བྱ། ||| They should have the wish and inclination to practice various forms of generosity toward Dharma teachers.
དཀོན་མཆོག་གསུམ་ལ་གུས་པ་དང་བཅས་པར་བྱ། ||| They should venerate the Three Jewels.
གཞན་གྱི་དབང་དུ་མི་འགྱུར་བར་བྱ། ||| They should not let others influence them.
ཡོངས་སུ་མི་སྐྱོ་བ་དང་། ||| They should never feel discouraged.
རྟག་ཏུ་བརྩོན་འགྲུས་བརྩམས་པ་དང་། གཡོ་མེད་པ་དང་། སངས་རྒྱས་རྗེས་སུ་དྲན་པ་དང་མ་བྲལ་བ་དང་། མི་དམིགས་པ་དང་། མཚན་མ་མེད་པ་ལེགས་པར་བསྒོམ་པ་དང་། ཇི་སྐད་སྨྲས་པ་དེ་བཞིན་དུ་བྱེད་པར་བྱ། ||| They should cultivate diligence constantly, be unwavering, never part from the recollection of the buddhas, train thoroughly in nonobservation and the lack of characteristics, and practice what they preach.
སངས་རྒྱས་ལ་གསོལ་བ་གདབ་པར་མོས་པར་བྱ། ||| They should faithfully supplicate the buddhas.
ཉེས་པ་བཤགས་པ་དང་། རྗེས་སུ་ཡི་རང་བ་དང་། ཡོངས་སུ་བསྔོ་བ་ལ་མཁས་པར་བྱ། ||| They should become skilled in confession, rejoicing, and dedication.
མ་བརྟགས་པའི་སྤྱོད་ལམ་དུ་མི་བྱ། ||| They should not behave imprudently.
མི་སྐྲག་པ་དང་། སྟོན་པ་དང་། བླ་མ་ལ་གནས་བཅའ་བས་གནས་པར་བྱའོ། ། ||| They should live in places that are free of danger, and where the teachers and masters are present.
འཐུན་པར་འཛིན་པར་བྱའོ། ། ||| They should uphold what they have been taught.
ཆོས་དེ་དག་ལ་ཡོངས་སུ་མི་སྐྱོ་བས་བསྟེན་པར་བྱའོ། ། ||| They should apply these teachings without becoming weary.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པ་ན་སྲོག་ཆགས་སུམ་ཁྲི་ནི་སྔོན་སེམས་མ་བསྐྱེད་པ་ལས་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེས་སོ། ། ||| When the Blessed One gave this Dharma discourse, thirty thousand beings who had not previously given rise to the mind of awakening now gave rise to the mind of awakening.
སྲོག་ཆགས་ལྔ་སྟོང་ནི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་རྣམ་པར་དག་གོ། ། ||| Five thousand beings gained the pure vision of Dharma that is dust free and stainless with regard to all phenomena.
བྱང་ཆུབ་སེམས་དཔའ་སུམ་ཁྲི་ནི་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་སྐྱེས་སོ། ། ||| Thirty thousand bodhisattvas gained the acceptance that phenomena are nonarising.
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་པ་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གཅེས་སྤྲས་བྱེད་པའོ། ། ||| The Blessed One then said, “Hearing this Dharma discourse is something that is cherished dearly by bodhisattva great beings.
གང་གིས་བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དུ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་བཀང་ནས། དཀོན་མཆོག་གསུམ་ལ་སྦྱིན་པ་བྱིན་པར་བྱེད་ལ་གང་ཞིག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཉན་པར་བྱེད་ན། དེ་ནི་དེ་དག་ལས་མཆོག་ཏུ་བཀྲབས་པའོ། ། ||| If one person, for as many eons as there are grains of sand in the Ganges River, were to fill the trichiliocosm with the seven precious substances and present them as gifts to the Three Jewels, while another person were to listen to this Dharma discourse, the latter will have made the best choice.
གང་ཞིག་བསྐལ་པ་སྟོང་དུ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་མ་གཏོགས་པར་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་ལ་སྤྱོད་པར་བྱེད་ལ། གང་ཞིག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཉན་པར་བྱེད་ན་འདི་ནི་དེ་དག་ལས་མཆོག་ཏུ་བཀྲབས་པའོ། ། ||| If one person, for a thousand eons, were to engage in the five perfections excluding the perfection of insight, while another person were to listen to this Dharma discourse, the latter will have made the best choice.
གང་ཞིག་སངས་རྒྱས་སྟོང་ལ་སྔ་དྲོ་དང་། ཉི་མ་ཕྱེད་དང་། ཕྱེ་མ་རེད་ཀྱི་དུས་སུ་བསྙེན་བཀུར་བྱེད། གུས་པར་བྱེད། རྗེད་པར་བྱེད། མཆོད་པར་བྱེད་ལ། གང་ཞིག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཉན་པར་བྱེད་ན། འདི་ནི་དེ་དག་ལས་མཆོག་ཏུ་བཀྲབས་པའོ། ། ||| If one person were to serve, venerate, respect, and worship a thousand buddhas in the morning, at noon, and in the evening, while another were to listen to this Dharma discourse, the latter will have made the best choice.
རིགས་ཀྱི་བུ་དག་དེ་ལྟ་བས་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བསྲུང་བ་དང་། བཅང་བ་དང་། བཀླག་པ་དང་། བསྟན་པ་དང་། ཡི་གེར་བྲི་བར་བྱ་བའི་ཕྱིར་ཁྱེད་ཅག་ལ་གཏད་ཀྱིས། ||| “Noble sons, it is for these reasons that I have entrusted you with this Dharma discourse, so that you may preserve it, carry it, read it aloud, teach it, and copy it.
ངའི་བསྟན་པ་འདི་ལུས་དང་སྲོག་ཡོངས་སུ་གཏང་བ་དང་ཡང་བསྡོ་ཞིང་ཡོངས་སུ་བསྲུང་བར་བྱའོ། ། ||| You must preserve this teaching of mine, even at the cost of life and limb.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། བྱང་ཆུབ་སེམས་དཔའ་བག་ཚ་བ་མེད་པར་གནས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། དགེ་སློང་དེ་དག་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ། ||| When the Blessed One had said this, the bodhisattva Undaunted, the other bodhisattvas, the monks, and the entire retinue, as well as the world with its gods, humans, asuras, and gandharvas, rejoiced and praised what the Blessed One had said.
འཕགས་པ་སངས་རྒྱས་མི་སྤང་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །། ||| This concludes the noble Great Vehicle sūtra “Not Forsaking the Buddha.“
