འཕགས་པ་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Great Vehicle Sūtra The Questions of Guṇaratnasaṅkusumita
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་མཆོག་འོད་དཔལ་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་དེ་མཚན་ཐོས་པ་དེས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་བྱེ་བ་ཕྲག་དགུ་མཉེས་པར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha Glorious Supremely Golden Light please ninety million blessed buddhas just by hearing that name.
སེམས་ཅན་ཐམས་ཅད་མཆོག་ཏུ་འགྲོ་བར་བྱེད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain the absorption known as elevating all beings to greatness .
རྒྱུ་གང་གིས་ན་སེམས་ཅན་ཐམས་ཅད་མཆོག་ཏུ་འགྲོ་བར་བྱེད་ཅེས་བྱ་ཞེ་ན། ||| Why is it called elevating all beings to greatness ?
རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཏིང་ངེ་འཛིན་འདི་ལ་གནས་ནས། ཆོས་སྟོན་པར་འགྱུར་ཞིང་། ||| When a noble son or daughter rests in this absorption, subsequently teaches the Dharma,
དེ་ཆོས་སྟོན་པ་ན་ཏིང་ངེ་འཛིན་དེའི་ཆོས་ཉིད་ཐོབ་པས། སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ན། སེམས་ཅན་གང་དག་འཁོད་པ་དེ་དག་ཐམས་ཅད་བདེ་བ་དང་ལྡན་པར་འགྱུར་ཏེ། ||| and attains the nature of that absorption while teaching the Dharma, it brings happiness to all beings within the world systems of a great trichiliocosm.
དཔེར་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡིད་འོང་གི་སངས་རྒྱས་ཀྱི་ཞིང་ན། སེམས་ཅན་རྣམས་གཅིག་ཏུ་བདེ་བ་དང་ལྡན་ཞིང་། སེམས་ཅན་ངན་སོང་དུ་སྐྱེས་པ་ཐམས་ཅད་ཡོངས་སུ་ཐར་བར་འགྱུར་ཏེ། ||| For example, this is just like how all beings in the buddhafield of the thus-gone, worthy, perfect Buddha Manojña attain happiness together, and how all the beings in the lower realms there are freed,
དེ་དག་དེ་ནས་ཡོངས་སུ་གྲོལ་ནས་ལྷ་དང་མིའི་ལུས་ཐོབ་པར་འགྱུར་ཞིང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ངེས་པར་འགྱུར་བ་བཞིན་ནོ། ། ||| and how after being freed from the lower realms they attain the bodies of gods and humans and are certain to attain unexcelled and perfect buddhahood.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
གསེར་མཆོག་འོད་དཔལ་གྱི་ནི་མཚན་འཛིན་པ། །དེ་ལ་གཟི་བརྗིད་དཔལ་མདོག་སྟོབས་དབང་པོ། །ཚེ་རབས་ཀུན་ཏུ་རྙེད་པར་དཀའ་མ་ཡིན། ། ||| “ ‘Those who remember the name Glorious Supremely Golden Light Will, in all lives, have no trouble becoming Mighty lords with glorious and radiant appearances.
དེ་ལ་བློ་ཐོགས་མེད་པ་མཐའ་ཡས་འགྱུར། ། ||| Their minds will become unobstructed and limitless.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་ནུབ་བྱང་མཚམས་ན་སྡིག་པ་དང་བྲལ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ན་ ||| “Guṇaratnasaṅkusumita, to the northwest of here is a world system known as Free of Evil Deeds.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་རྣམ་མང་དཔལ་སྣང་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| There, the thus-gone, worthy, perfect Buddha King of Splendor with Many Glorious Appearances resides, alive and well.
བསྐལ་པ་དེ་ནི་ཁྱིམ་རྒྱས་པ་ཞེས་བྱའོ། ། ||| That eon is known as Flourishing of Householders.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གཟི་བརྗིད་ཀྱི་རྒྱལ་པོ་རྣམ་མང་དཔལ་སྣང་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་དེ་ནི་ཚེ་རྗེས་མ་ཐག་ཏུ་སྤོབས་པ་དཔག་ཏུ་མེད་པ་བཀོད་པ་ཞེས་བྱ་བའི་གཟུངས་འཐོབ་པར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha King of Splendor with Many Glorious Appearances will, immediately in their next lives, attain the dhāraṇī called array of immeasurable eloquence.
ཚེགས་ཆུང་ངུས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཚེ་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་འཛིན་པར་འགྱུར་རོ། ། ||| With little effort, they will come to possess the array of qualities of the buddhafield of the thus-gone, worthy, perfect Buddha Amitāyus.
སངས་རྒྱས་བྱེ་བ་ཕྲག་བརྒྱད་ཅུའི་ཆོས་སྟོན་པ་ཡང་ཐོས་པར་འགྱུར། འཛིན་པར་འགྱུར་རོ། ། ||| They will hear the discourses of eight hundred million buddhas and remember them.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
གང་ཞིག་རྒྱལ་བའི་མཚན་མཆོག་འདི་འཛིན་པ། །ཚེ་དཔག་མེད་ཀྱི་སངས་རྒྱས་ཞིང་དུ་དེ། །དེ་ནི་ཚེ་དཔག་མེད་ལྡན་ཆོས་ཤེས་འགྱུར། ། ||| “ ‘Those who remember the glorious name of this victor Will gain boundless life and understanding of the Dharma In the buddhafield of Amitāyus.
སྐྱེ་གཅིག་ཐོགས་པས་བྱང་ཆུབ་རྫོགས་འཚང་རྒྱ། ། ||| With just a single rebirth remaining, they will awaken to perfect buddhahood.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་བྱང་ཤར་མཚམས་ཀྱི་ཕྱོགས་ན་ ||| “Guṇaratnasaṅkusumita, to the northeast of here is a world system known as Transcending All Misery.
མྱ་ངན་ཐམས་ཅད་ལས་རྒལ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བསྐལ་པ་བྱེ་བ་གྲངས་མེད་པར་བྱང་ཆུབ་ཡང་དག་པར་བསྒྲུབས་པ་ཞེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེ་འཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| There, the thus-gone, worthy, perfect Buddha He Who Attained Awakening after Countless Millions of Eons resides, alive and well.
བསྐལ་པ་དེ་ནི་སྤོབས་པ་བཀོད་པ་ཞེས་བྱའོ། ། ||| That eon is known as Array of Eloquence.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བསྐལ་པ་བྱེ་བ་གྲངས་མེད་པར་བྱང་ཆུབ་ཡང་དག་པར་བསྒྲུབས་པ་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་དེ་ནི་ཚེ་རྗེས་མ་ཐག་ཏུ་རྣམ་པ་དྲུག་ཅུ་དང་ལྡན་པའི་སྒྲ་དབྱངས་ཀྱི་སྤོབས་པ་ཕུན་སུམ་ཚོགས་པ་འཐོབ་པར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha He Who Attained Awakening after Countless Millions of Eons will, immediately in their next lives, attain the excellent eloquence of speech endowed with the sixty qualities,
སངས་རྒྱས་བྱེ་བ་ཕྲག་བརྒྱད་ཅུ་ལ་དགེ་བའི་རྩ་བ་བསྐྱེད་པ་འཛིན་པར་འགྱུར་རོ། ། ||| and they will attain the development of roots of virtue before eight hundred million buddhas.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
སྒྲ་དབྱངས་ཡན་ལག་དྲུག་ཅུ་ཕུན་ཚོགས་ལྡན། །དེ་ནི་ཀུན་ཏུ་ཤེས་པ་འང་ཕ་རོལ་ཕྱིན། ། ||| “ ‘Endowed with the excellent sixty qualities of speech, As well as an understanding that is perfected,
རྒྱལ་བ་བྱེ་བ་བརྒྱད་ཅུ་མཆོད་བྱེད་པའི། །བསོད་ནམས་གང་ཡིན་བསམ་ཡས་དེས་འཐོབ་འགྱུར། ། ||| They will attain the inconceivable merit Of worshiping eighty million victors.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་སྟེང་གི་ཕྱོགས་ན་ ||| “Guṇaratnasaṅkusumita, above here is a world system known as Splendor Arrayed with Immeasurable Qualities.
ཡོན་ཏན་དཔག་ཏུ་མེད་པ་བཀོད་པའི་གཟི་བརྗིད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་བཟང་པོ་དང་། ནམ་མཁའ་ངེས་པར་སྒྲོགས་པ་བཀོད་པའི་འོད་ཅེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེའཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| There the thus-gone, worthy, perfect Buddha Array of Light Constantly Proclaiming Pure Gold and Space abides, alive and well.
བསྐལ་པ་དེ་ནི་ཚད་མེད་ལེན་ཅེས་བྱའོ། ། ||| That eon is known as Attaining the Immeasurable.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་གསེར་བཟང་པོ་དང་། ནམ་མཁའ་ངེས་པར་སྒྲོགས་པ་བཀོད་པའི་འོད་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་དེ་ནི་ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ་དཔག་ཏུ་མེད་པ་ཡོངས་སུ་སྦྱོང་བར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha Array of Light Constantly Proclaiming Pure Gold and Space purify an immeasurable aggregate of discipline.
ཏིང་ངེ་འཛིན་གྱི་ཕུང་པོ་དཔག་ཏུ་མེད་པ་དང་། ཤེས་རབ་ཀྱི་ཕུང་པོ་དཔག་ཏུ་མེད་པ་དང་། རྣམ་པར་གྲོལ་བའི་ཕུང་པོ་དཔག་ཏུ་མེད་པ་དང་། རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མཐོང་བའི་ཕུང་པོ་དཔག་ཏུ་མེད་པ་ཡོངས་སུ་སྦྱོང་བར་འགྱུར་རོ། ། ||| They also purify an immeasurable aggregate of absorption, an immeasurable aggregate of insight, an immeasurable aggregate of liberation, and an immeasurable aggregate of liberated wisdom vision.
ས་ནས་ས་ཡང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will also progress through the levels.
ཚིག་གཟུང་བར་འོས་པ་ཉིད་ཀྱང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain speech that is worthy of being accepted.
སྤོབས་པ་བུལ་བ་མེད་པ་ཕུན་སུམ་ཚོགས་པ་ཡང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain excellent eloquence free from hesitation.
མྱུར་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| They will swiftly and fully awaken to unexcelled and perfect buddhahood.
ཡི་གེ་དང་སྒྲའི་བརྡ་ཡང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will understand the symbols of letters and sounds.
རིགས་མཐོན་པོ་དང་རིགས་ཆེན་པོ་ཡང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain lofty castes and exalted lineages.
མངོན་པར་ཤེས་པ་ལྔ་ཡང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain the five superknowledges.
ཚེ་རབས་དྲན་པར་ཡང་འགྱུར་རོ། ། ||| They will remember their former lives.
སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་ཀྱང་འཐོབ་པར་འགྱུར་རོ། ། ||| They will attain the eighteen unique qualities of the buddhas.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
གང་ཞིག་རྒྱལ་བའི་མཚན་མཆོག་འཛིན་བྱེད་པ། །དེ་ནི་ཡན་ལག་བརྒྱད་དབྱངས་ཕུན་སུམ་འཐོབ། ། ||| “ ‘Those who remember the supreme name of this victor Will attain perfect speech endowed with the eight aspects,
དེ་ནི་སངས་རྒྱས་བྲལ་བར་ཡང་མི་སྐྱེ། ། ||| And they will never be reborn where there is no buddha.
མི་དེ་མི་ཐོགས་བྱང་ཆུབ་འཚང་རྒྱར་འགྱུར། ། ||| Such individuals will awaken to buddhahood without hindrance.’
ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་འོག་གི་ཕྱོགས་ན། ||| “Guṇaratnasaṅkusumita, below here is a world system known as Delighting in Inseparability.
ཐ་དད་པ་མེད་པ་ཉིད་ལ་དགའ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་ཐམས་ཅད་ཀྱི་ཚུལ་ལ་རྣམ་པར་འཕྲུལ་པའི་གཟི་བརྗིད་ཀྱི་འོད་ཅེས་བྱ་བ་ཞིག་ད་ལྟར་བཞུགས་ཏེའཚོ་ཞིང་གཞེས་པ་ཡོད་དོ། ། ||| There, the thus-gone, worthy, perfect Buddha Splendorous Light Manifesting in the Manner of All Phenomena abides, alive and well.
བསྐལ་པ་དེ་ནི་ཡེ་ཤེས་ཀུན་ནས་བསྡུས་པ་ཞེས་བྱའོ། ། ||| That eon is known as Gathering of Wisdom.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཆོས་ཐམས་ཅད་ཀྱི་ཚུལ་ལ་རྣམ་པར་འཕྲུལ་པའི་གཟི་བརྗིད་ཀྱི་འོད་དེའི་མཚན་འཛིན་པའི་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་དད་པ་ཅན་དེའི་ཚེ་རྗེས་མ་ཐག་ཏུ་སངས་རྒྱས་ཡོངས་སུ་འགྲུབ་པ་ཞེས་བྱ་བའི་གཟུངས་འཐོབ་པར་འགྱུར་རོ། ། ||| The faithful noble sons and daughters who remember the name of the blessed, thus-gone, worthy, perfect Buddha Splendorous Light Manifesting in the Manner of All Phenomena will, immediately in their next lives, attain the dhāraṇī called accomplishing buddhahood .
སྐྱེ་བ་གཅིག་གིས་ཐོགས་པར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| With just one rebirth remaining, they will fully awaken to unexcelled and perfect buddhahood.
སངས་རྒྱས་བྱེ་བ་ཕྲག་དགུ་བཅུའི་ཆོས་བསྟན་པ་ཡང་ཐོས་པར་འགྱུར་རོ། ། ||| They will hear the Dharma teachings of ninety million buddhas,
ཐོས་ནས་ཀྱང་ཐམས་ཅད་ཀུན་ཏུ་འཛིན་པར་འགྱུར་རོ། ། ||| and, upon hearing them, they will remember them all.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| Regarding this, it is said:
སངས་རྒྱས་མཚན་འཛིན་སངས་རྒྱས་བྱེ་བ་ཕྲག །དགུ་བཅུ་རྣམས་ཀྱི་ཆོས་བསྟན་ཐོས་འགྱུར་ཞིང་། །སྐྱེ་བ་གཅིག་ཐོགས་བླ་ན་མེད་པ་ཡི། །བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱར་འགྱུར། ། ||| “ ‘Those who remember the name of this buddha Will hear the teachings of ninety million buddhas, Will have just one birth remaining, And will fully awaken to unexcelled and perfect buddhahood.’ ”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་ཆེན་ཐམས་ཅད་དང་ལྡན་པའི་སྤོབས་པའི་སྐད་ཀྱིས་གཟུངས་འཐོབ་པར་གྱུར་ཏོ། ། ||| Then the bodhisattva great being Guṇaratnasaṅkusumita, as well as the bodhisattva great being Eloquent Voice Endowed with All Precious Qualities, attained dhāraṇī.
བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་བརྒྱད་ཅུས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པའི་ས་ཐོབ་བོ། །ལྷ་དང་མིའི་སྐྱེ་དགུ་སུམ་ཁྲིས་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ། ||| Eighty million bodhisattvas attained the level of progressing irreversibly toward unexcelled and perfect awakening, and thirty thousand gods and humans aroused the mind set upon unexcelled and perfect awakening.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| After the Blessed One said those words,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| the bodhisattva great being Guṇaratnasaṅkusumita, the entire assembly, and the world with its gods, humans, asuras, and gandharvas rejoiced and praised the Buddha’s words.
འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས། ཡོན་ཏན་རིན་ཆེན་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པས་ཞུས་པའི་ལེའུ་ཞེས་བྱ་སྟེ་སུམ་ཅུ་རྩ་བཞི་པ་རྫོགས་སོ།། །། ||| This concludes the section of “The Questions of Guṇaratnasaṅkusumita,” the thirty-fourth section of “The Noble Dharma Discourse, the Great Heap of Jewels,” in one hundred thousand sections.
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། པྲ་ཛྙ་བར་མ་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེ་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།། །། ||| This text was translated, edited, and finalized by the Indian scholars Jinamitra and Prajñāvarman, as well as the chief editor-translator Bandé Yeshé Dé and others.
